"","Table 7#4#5# Housing Sector Output, Gross Value Added, and Net V","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","    Owner-occupied","DOWNRC1","5,868.0","5,552.0","5,101.0","4,416.0","3,844.0","3,643.0","3,646.0","3,759.0","3,950.0","4,104.0","4,179.0","4,310.0","4,706.0","5,192.0","5,588.0","6,060.0","6,496.0","7,356.0","8,456.0","9,731.0","10,968.0","12,391.0","14,089.0","15,901.0","17,899.0","19,724.0","21,407.0","23,233.0","25,036.0","26,953.0","29,047.0","31,273.0","33,285.0","35,714.0","37,787.0","39,991.0","42,668.0","45,338.0","48,329.0","51,883.0","56,627.0"
"22","4","    Tenant-occupied","DTENRC1","4,542.0","4,454.0","4,280.0","3,858.0","3,415.0","3,277.0","3,323.0","3,490.0","3,763.0","4,003.0","4,132.0","4,298.0","4,580.0","4,827.0","4,837.0","4,816.0","4,670.0","4,918.0","5,290.0","5,895.0","6,505.0","7,058.0","7,745.0","8,406.0","9,194.0","9,756.0","10,094.0","10,514.0","11,151.0","11,822.0","12,532.0","13,279.0","14,150.0","15,115.0","16,045.0","17,034.0","18,156.0","19,238.0","20,390.0","22,168.0","24,042.0"
"23","5","  Farm housing","DFARRC1","913.0","865.0","775.0","664.0","614.0","640.0","683.0","693.0","733.0","745.0","741.0","744.0","767.0","821.0","879.0","955.0","1,052.0","1,303.0","1,447.0","1,505.0","1,408.0","1,464.0","1,607.0","1,736.0","1,765.0","1,711.0","1,741.0","1,734.0","1,787.0","1,861.0","2,031.0","2,098.0","2,202.0","2,258.0","2,360.0","2,443.0","2,481.0","2,599.0","2,747.0","2,838.0","3,046.0"
"24","6","Less: Intermediate goods and services consumed","B1027C1","1,578.0","1,452.0","1,327.0","1,096.0","1,036.0","1,125.0","1,186.0","1,340.0","1,430.0","1,357.0","1,453.0","1,530.0","1,707.0","1,671.0","1,570.0","1,593.0","1,615.0","2,466.0","3,079.0","3,607.0","3,994.0","4,430.0","4,931.0","5,249.0","5,699.0","5,856.0","6,095.0","6,397.0","6,515.0","6,697.0","6,653.0","6,747.0","6,861.0","7,089.0","7,329.0","7,858.0","8,422.0","8,927.0","9,373.0","10,965.0","12,461.0"
"25","7","Equals: Gross housing value added","A2009C1","9,745.0","9,419.0","8,829.0","7,842.0","6,837.0","6,435.0","6,466.0","6,602.0","7,016.0","7,495.0","7,599.0","7,822.0","8,346.0","9,169.0","9,734.0","10,238.0","10,603.0","11,111.0","12,114.0","13,524.0","14,887.0","16,483.0","18,510.0","20,794.0","23,159.0","25,335.0","27,147.0","29,084.0","31,459.0","33,939.0","36,957.0","39,903.0","42,776.0","45,998.0","48,863.0","51,610.0","54,883.0","58,248.0","62,093.0","65,924.0","71,254.0"
"26","8","          Nonfarm housing","B499RC1","8,884.0","8,602.0","8,098.0","7,216.0","6,258.0","5,832.0","5,822.0","5,949.0","6,325.0","6,793.0","6,901.0","7,121.0","7,623.0","8,396.0","8,906.0","9,339.0","9,612.0","9,906.0","10,775.0","12,133.0","13,585.0","15,130.0","17,025.0","19,190.0","21,529.0","23,755.0","25,540.0","27,484.0","29,809.0","32,222.0","35,083.0","37,968.0","40,746.0","43,917.0","46,687.0","49,358.0","52,597.0","55,853.0","59,597.0","63,346.0","68,487.0"
"27","9","            Owner-occupied","B1300C1","5,083.0","4,838.0","4,447.0","3,873.0","3,343.0","3,113.0","3,098.0","3,152.0","3,306.0","3,494.0","3,531.0","3,616.0","3,931.0","4,387.0","4,829.0","5,280.0","5,655.0","5,790.0","6,353.0","7,226.0","8,243.0","9,394.0","10,853.0","12,577.0","14,403.0","16,231.0","17,765.0","19,421.0","21,194.0","23,025.0","25,080.0","27,287.0","29,302.0","31,641.0","33,591.0","35,526.0","37,904.0","40,386.0","43,031.0","45,581.0","49,417.0"
"28","10","            Tenant-occupied","B1301C1","3,800.0","3,764.0","3,651.0","3,342.0","2,915.0","2,719.0","2,724.0","2,797.0","3,019.0","3,299.0","3,370.0","3,505.0","3,692.0","4,009.0","4,077.0","4,059.0","3,957.0","4,116.0","4,422.0","4,907.0","5,342.0","5,736.0","6,172.0","6,613.0","7,126.0","7,524.0","7,775.0","8,063.0","8,616.0","9,197.0","10,003.0","10,680.0","11,444.0","12,276.0","13,096.0","13,833.0","14,693.0","15,466.0","16,566.0","17,765.0","19,070.0"
"29","11","          Farm housing","B1302C1","862.0","816.0","731.0","626.0","579.0","604.0","644.0","653.0","691.0","702.0","698.0","701.0","723.0","773.0","828.0","899.0","990.0","1,205.0","1,338.0","1,391.0","1,302.0","1,353.0","1,485.0","1,604.0","1,630.0","1,580.0","1,607.0","1,601.0","1,649.0","1,717.0","1,874.0","1,935.0","2,031.0","2,082.0","2,176.0","2,252.0","2,286.0","2,395.0","2,496.0","2,578.0","2,767.0"
"30","12","Less: Consumption of fixed capital","A1028C1","1,555.0","1,551.0","1,417.0","1,147.0","1,128.0","1,248.0","1,233.0","1,299.0","1,451.0","1,507.0","1,537.0","1,618.0","1,801.0","1,951.0","2,096.0","2,265.0","2,415.0","2,677.0","3,370.0","3,852.0","4,094.0","4,417.0","4,980.0","5,334.0","5,595.0","5,845.0","6,232.0","6,688.0","6,985.0","7,233.0","7,561.0","7,949.0","8,278.0","8,618.0","8,923.0","9,401.0","10,073.0","10,843.0","11,612.0","12,669.0","14,051.0"
"31","13","Equals: Net housing value added \2\","B952RC1","8,190.0","7,868.0","7,413.0","6,695.0","5,710.0","5,188.0","5,233.0","5,303.0","5,566.0","5,988.0","6,063.0","6,203.0","6,544.0","7,219.0","7,638.0","7,974.0","8,188.0","8,435.0","8,744.0","9,673.0","10,793.0","12,066.0","13,530.0","15,459.0","17,564.0","19,490.0","20,915.0","22,396.0","24,474.0","26,706.0","29,396.0","31,954.0","34,499.0","37,381.0","39,939.0","42,209.0","44,810.0","47,404.0","50,481.0","53,255.0","57,203.0"
"32","14","          Compensation of employees","B1033C1","192.0","197.0","207.0","194.0","192.0","191.0","198.0","200.0","206.0","212.0","222.0","263.0","239.0","246.0","258.0","267.0","275.0","240.0","269.0","299.0","333.0","351.0","387.0","415.0","457.0","506.0","527.0","556.0","584.0","593.0","611.0","644.0","737.0","864.0","972.0","984.0","996.0","1,009.0","1,023.0","1,038.0","1,054.0"
"33","15","          Taxes on production and imports","B1031C1","1,973.0","2,057.0","2,050.0","1,951.0","1,726.0","1,741.0","1,792.0","1,767.0","1,800.0","1,861.0","1,833.0","1,908.0","1,927.0","1,988.0","2,064.0","2,136.0","2,200.0","2,088.0","2,209.0","2,377.0","2,654.0","2,812.0","3,150.0","3,493.0","3,812.0","4,098.0","4,562.0","5,056.0","5,590.0","6,159.0","6,709.0","7,439.0","8,221.0","8,922.0","9,819.0","10,709.0","11,660.0","12,567.0","14,053.0","15,838.0","17,646.0"
"34","16","          Less: Subsidies \3\","W154RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-22.0","-31.0","-38.0","-20.0","-28.0","-49.0","-91.0","-80.0","-100.0","-75.0","-75.0","-58.0","-44.0","126.0","146.0","159.0","176.0","192.0","208.0","231.0","253.0","278.0","347.0","459.0"
"35","17","          Net operating surplus","W165RC1","6,025.0","5,614.0","5,156.0","4,550.0","3,792.0","3,256.0","3,243.0","3,336.0","3,560.0","3,915.0","4,008.0","4,032.0","4,378.0","4,985.0","5,316.0","5,571.0","5,713.0","6,085.0","6,235.0","6,959.0","7,786.0","8,875.0","9,944.0","11,460.0","13,215.0","14,786.0","15,751.0","16,709.0","18,242.0","19,910.0","22,197.0","24,017.0","25,700.0","27,771.0","29,340.0","30,724.0","32,385.0","34,081.0","35,683.0","36,726.0","38,962.0"
"36","18","            Net interest","B1037C1","1,690.0","1,728.0","1,734.0","1,666.0","1,570.0","1,481.0","1,424.0","1,384.0","1,349.0","1,299.0","1,262.0","1,270.0","1,308.0","1,307.0","1,258.0","1,213.0","1,193.0","1,201.0","1,365.0","1,587.0","1,791.0","2,061.0","2,416.0","2,787.0","3,122.0","3,602.0","4,091.0","4,752.0","5,570.0","6,409.0","7,196.0","8,002.0","8,862.0","10,020.0","10,953.0","12,202.0","13,403.0","14,501.0","15,409.0","16,659.0","18,498.0"
"37","19","            Current transfer payments","W166RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-11.0","-34.0","-54.0","-52.0","-81.0","-106.0","-92.0","32.0","-38.0","-37.0","-30.0"
"38","20","            Proprietors' income with inventory valuation and capital consumption adjustments","B1034C1","-204.0","-206.0","-185.0","-148.0","-146.0","-162.0","-159.0","-168.0","-188.0","-197.0","-201.0","-211.0","-236.0","-258.0","-275.0","-294.0","-309.0","52.0","12.0","14.0","40.0","59.0","43.0","52.0","98.0","125.0","129.0","150.0","263.0","297.0","483.0","553.0","655.0","756.0","826.0","901.0","1,002.0","1,076.0","1,195.0","1,422.0","1,525.0"
"39","21","            Rental income of persons with capital consumption adjustment","B1035C1","4,526.0","4,077.0","3,591.0","3,013.0","2,350.0","1,921.0","1,962.0","2,107.0","2,387.0","2,802.0","2,936.0","2,965.0","3,300.0","3,931.0","4,332.0","4,654.0","4,833.0","4,798.0","4,829.0","5,325.0","5,915.0","6,709.0","7,434.0","8,569.0","9,940.0","11,000.0","11,463.0","11,735.0","12,320.0","13,104.0","14,221.0","15,163.0","15,842.0","16,661.0","17,180.0","17,257.0","17,576.0","17,971.0","18,557.0","18,060.0","18,304.0"
"40","22","            Corporate profits with inventory valuation and capital consumption adjustments","B1036C1","14.0","14.0","16.0","19.0","18.0","15.0","15.0","14.0","12.0","11.0","10.0","8.0","7.0","5.0","1.0","-2.0","-5.0","34.0","29.0","33.0","40.0","47.0","51.0","53.0","55.0","60.0","68.0","73.0","89.0","101.0","127.0","153.0","191.0","212.0","240.0","266.0","288.0","310.0","371.0","410.0","445.0"
"41","23","            Current surplus of government enterprises \3\","W153RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","181.0","180.0","203.0","175.0","223.0","204.0","208.0","191.0","190.0","214.0","219.0"
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","1. Equals personal consumption expenditures for housing excluding expenditures for group housing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","as shown in table 2.5.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2. Equals housing national income.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","3. Prior to 1959, subsidies and the current surplus of government enterprises are not shown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","separately;  subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
