"","Table 6#16B# Corporate Profits by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91"
"35","16","        Primary metal industries","A407RC1","1,296.0","1,460.0","1,672.0","1,856.0","2,060.0","1,612.0","1,484.0","884.0","1,588.0","2,160.0","2,652.0","2,912.0","3,084.0","3,284.0","3,148.0","2,876.0","2,692.0","1,184.0","1,544.0","2,272.0","2,684.0","2,804.0","2,908.0","1,596.0","1,536.0","1,560.0","1,648.0","2,012.0","2,540.0","2,812.0","3,060.0","3,108.0","3,380.0","3,240.0","2,336.0","3,124.0","3,500.0","3,256.0","3,088.0","2,388.0","1,456.0","1,552.0","2,024.0","2,376.0","3,124.0","4,300.0","-224.0","2,044.0","3,296.0","1,892.0","1,608.0","1,228.0","840.0","1,564.0","1,876.0","2,060.0","1,896.0","1,176.0","1,364.0","1,872.0","1,540.0","2,360.0","1,880.0","2,156.0","2,132.0","2,228.0","2,672.0","2,924.0","3,328.0","3,208.0","3,140.0","2,748.0","3,268.0","3,696.0","3,772.0","3,588.0","3,212.0","2,564.0","2,444.0","2,556.0","2,116.0","2,700.0","1,360.0","1,460.0","1,532.0","1,464.0","1,144.0","1,572.0"
"36","17","        Fabricated metal products","A408RC1","932.0","848.0","732.0","828.0","736.0","600.0","848.0","680.0","680.0","936.0","1,336.0","1,564.0","1,472.0","1,436.0","1,188.0","1,292.0","1,152.0","1,044.0","912.0","936.0","1,272.0","900.0","904.0","820.0","780.0","1,000.0","1,028.0","956.0","1,044.0","1,052.0","972.0","1,168.0","1,136.0","1,084.0","1,028.0","1,052.0","1,236.0","1,188.0","1,108.0","928.0","836.0","852.0","912.0","1,104.0","1,004.0","1,116.0","1,320.0","980.0","892.0","880.0","888.0","736.0","760.0","1,152.0","1,072.0","1,204.0","1,248.0","1,196.0","1,136.0","1,140.0","1,264.0","1,220.0","1,344.0","1,488.0","1,340.0","1,316.0","1,564.0","1,628.0","1,944.0","2,008.0","2,028.0","2,260.0","2,432.0","2,340.0","2,596.0","2,300.0","2,588.0","2,480.0","2,208.0","2,612.0","2,028.0","2,320.0","2,412.0","2,588.0","2,260.0","2,120.0","1,620.0","2,044.0"
"37","18","        Machinery,except electrical","A409RC1","1,384.0","1,256.0","1,136.0","1,236.0","1,284.0","1,308.0","1,420.0","1,232.0","1,252.0","1,456.0","1,812.0","2,068.0","2,060.0","2,100.0","2,256.0","2,776.0","2,540.0","2,344.0","2,112.0","2,204.0","2,288.0","2,148.0","1,848.0","1,232.0","1,824.0","1,780.0","1,664.0","1,548.0","1,672.0","1,720.0","1,532.0","1,908.0","1,996.0","2,084.0","2,188.0","2,228.0","2,316.0","2,192.0","1,992.0","1,532.0","1,328.0","1,368.0","1,528.0","1,688.0","1,740.0","2,300.0","2,452.0","2,136.0","2,080.0","1,936.0","1,672.0","1,596.0","1,608.0","1,856.0","1,912.0","2,220.0","2,272.0","2,412.0","2,456.0","2,408.0","2,484.0","2,620.0","2,584.0","2,584.0","3,252.0","3,164.0","3,440.0","3,500.0","3,604.0","3,944.0","4,112.0","4,396.0","4,600.0","4,544.0","4,676.0","4,616.0","4,256.0","4,340.0","4,040.0","4,284.0","3,684.0","4,000.0","4,472.0","4,624.0","4,092.0","4,108.0","3,612.0","3,200.0"
"38","19","        Electric and electronic equipment","A410RC1","744.0","692.0","540.0","620.0","612.0","708.0","852.0","900.0","956.0","1,024.0","1,384.0","1,604.0","1,408.0","1,224.0","1,220.0","1,340.0","1,408.0","1,468.0","1,428.0","1,572.0","1,692.0","1,536.0","1,316.0","920.0","1,188.0","1,196.0","1,112.0","1,252.0","1,152.0","1,116.0","1,104.0","972.0","984.0","1,232.0","1,376.0","1,196.0","1,668.0","1,552.0","1,448.0","1,440.0","1,152.0","1,172.0","1,300.0","1,504.0","1,628.0","1,744.0","1,792.0","1,632.0","1,560.0","1,348.0","1,276.0","1,064.0","1,072.0","1,232.0","1,368.0","1,720.0","1,636.0","1,444.0","1,288.0","1,508.0","1,592.0","1,712.0","1,672.0","1,584.0","1,580.0","1,516.0","1,716.0","1,992.0","2,324.0","2,556.0","2,772.0","3,216.0","3,272.0","3,144.0","3,052.0","2,648.0","2,840.0","2,916.0","2,948.0","3,152.0","3,008.0","2,736.0","2,860.0","2,884.0","3,100.0","2,504.0","2,192.0","1,412.0"
"39","20","        Motor vehicles and equipment","A411RC1","1,116.0","1,116.0","1,384.0","1,900.0","1,776.0","1,872.0","2,696.0","1,900.0","2,508.0","2,984.0","3,516.0","3,476.0","2,656.0","2,332.0","2,292.0","2,372.0","2,176.0","2,376.0","1,936.0","3,044.0","2,996.0","2,840.0","3,112.0","1,564.0","1,852.0","2,092.0","1,868.0","2,456.0","3,524.0","3,960.0","4,468.0","4,268.0","2,676.0","2,076.0","1,768.0","2,432.0","3,152.0","2,572.0","2,600.0","1,896.0","1,116.0","640.0","44.0","1,832.0","2,980.0","3,764.0","3,188.0","1,888.0","3,816.0","2,948.0","2,828.0","2,320.0","1,360.0","2,196.0","2,984.0","3,512.0","3,576.0","3,680.0","4,312.0","4,520.0","4,440.0","4,708.0","5,072.0","5,492.0","5,528.0","5,136.0","4,696.0","3,212.0","6,396.0","6,100.0","6,004.0","6,336.0","6,420.0","4,916.0","4,180.0","5,172.0","3,864.0","4,556.0","3,856.0","3,752.0","5,092.0","5,740.0","5,100.0","6,104.0","5,736.0","4,388.0","4,980.0","4,052.0"
"40","21","        Other","A412RC1","1,752.0","1,860.0","1,856.0","1,836.0","1,764.0","1,552.0","1,824.0","1,744.0","1,740.0","2,224.0","2,916.0","3,396.0","3,236.0","2,952.0","2,424.0","2,512.0","2,676.0","2,572.0","2,696.0","2,644.0","2,988.0","2,912.0","2,528.0","2,072.0","2,548.0","2,824.0","3,004.0","3,236.0","3,700.0","3,592.0","3,328.0","3,188.0","3,152.0","3,168.0","2,920.0","3,304.0","3,004.0","3,232.0","3,084.0","2,956.0","2,164.0","2,524.0","3,384.0","3,428.0","3,452.0","3,632.0","3,688.0","3,036.0","3,248.0","2,612.0","2,644.0","2,220.0","2,444.0","2,808.0","3,012.0","3,532.0","3,332.0","3,400.0","3,468.0","3,476.0","3,456.0","4,160.0","4,180.0","4,012.0","4,372.0","4,452.0","4,288.0","4,596.0","5,072.0","4,888.0","5,096.0","5,604.0","5,936.0","5,484.0","4,868.0","4,696.0","4,616.0","4,684.0","4,880.0","5,440.0","5,348.0","5,320.0","5,624.0","6,248.0","6,276.0","5,156.0","4,448.0","3,604.0"
"41","22","      Nondurable goods","A401RC1","9,680.0","10,216.0","9,976.0","10,256.0","8,888.0","8,016.0","8,072.0","7,532.0","7,848.0","8,548.0","9,140.0","10,304.0","10,400.0","11,384.0","12,364.0","11,548.0","10,324.0","9,784.0","9,592.0","10,116.0","10,580.0","10,392.0","10,204.0","8,916.0","9,448.0","9,276.0","9,088.0","10,004.0","10,876.0","11,676.0","11,920.0","12,784.0","12,428.0","12,160.0","11,724.0","11,556.0","11,304.0","10,996.0","10,656.0","10,132.0","9,136.0","9,264.0","10,644.0","11,576.0","12,484.0","13,204.0","13,148.0","12,612.0","12,936.0","12,140.0","12,180.0","11,440.0","11,200.0","12,160.0","12,440.0","12,472.0","12,196.0","12,072.0","11,940.0","12,876.0","12,608.0","13,044.0","13,864.0","13,680.0","14,296.0","14,400.0","14,508.0","14,796.0","15,900.0","16,280.0","16,540.0","17,424.0","18,472.0","18,872.0","18,244.0","18,664.0","18,356.0","17,096.0","17,768.0","18,656.0","18,732.0","19,564.0","19,920.0","19,360.0","18,672.0","18,488.0","18,380.0","17,024.0"
"42","23","        Food and kindred products","A402RC1","1,492.0","1,864.0","1,920.0","2,144.0","1,708.0","1,760.0","1,636.0","1,356.0","1,480.0","1,508.0","1,656.0","1,704.0","1,792.0","1,344.0","1,224.0","1,436.0","1,560.0","1,620.0","1,860.0","1,996.0","1,876.0","1,812.0","1,824.0","1,632.0","1,636.0","1,664.0","1,552.0","1,732.0","1,980.0","2,228.0","2,296.0","2,184.0","2,072.0","1,868.0","1,640.0","1,584.0","1,752.0","1,724.0","1,936.0","1,928.0","1,872.0","2,000.0","2,112.0","2,376.0","2,392.0","2,364.0","2,512.0","2,656.0","2,288.0","2,188.0","2,308.0","2,108.0","2,164.0","2,596.0","2,344.0","2,364.0","2,184.0","2,440.0","2,360.0","2,596.0","2,660.0","2,480.0","2,892.0","2,744.0","2,880.0","2,772.0","2,600.0","2,740.0","2,824.0","2,780.0","2,976.0","2,848.0","3,284.0","3,528.0","2,860.0","3,640.0","3,612.0","3,016.0","3,208.0","3,240.0","2,896.0","3,316.0","3,556.0","3,172.0","2,880.0","2,872.0","3,448.0","3,052.0"
"43","24","        Chemicals and allied products","A403RC1","1,692.0","1,644.0","1,636.0","1,940.0","1,864.0","1,640.0","1,676.0","1,884.0","1,892.0","2,192.0","2,472.0","2,660.0","2,644.0","2,876.0","2,948.0","2,652.0","2,600.0","2,364.0","1,884.0","2,220.0","2,496.0","2,328.0","2,264.0","1,688.0","1,972.0","2,132.0","2,220.0","2,440.0","2,696.0","3,040.0","3,028.0","3,304.0","3,056.0","2,700.0","2,716.0","2,796.0","2,868.0","2,872.0","2,716.0","2,648.0","2,240.0","2,276.0","2,584.0","3,000.0","3,288.0","3,740.0","3,656.0","3,272.0","3,528.0","3,120.0","3,024.0","2,804.0","2,844.0","3,284.0","3,456.0","3,540.0","3,328.0","3,172.0","3,128.0","3,328.0","3,316.0","3,632.0","3,888.0","3,892.0","4,152.0","4,028.0","4,052.0","4,068.0","4,360.0","4,644.0","4,632.0","4,932.0","5,116.0","5,084.0","4,904.0","4,604.0","4,384.0","4,036.0","4,216.0","4,728.0","5,132.0","5,320.0","5,340.0","5,300.0","4,956.0","4,724.0","4,532.0","4,260.0"
"44","25","        Petroleum and coal products","A404RC1","2,568.0","2,988.0","2,864.0","2,624.0","2,272.0","2,020.0","1,836.0","1,608.0","1,612.0","2,048.0","2,516.0","3,112.0","2,804.0","2,812.0","2,792.0","2,628.0","2,536.0","2,092.0","2,356.0","2,284.0","2,544.0","2,684.0","2,800.0","2,848.0","2,884.0","2,720.0","2,652.0","2,748.0","2,884.0","2,924.0","3,048.0","3,332.0","3,156.0","3,500.0","3,308.0","3,096.0","2,908.0","2,780.0","2,436.0","2,176.0","2,012.0","1,744.0","2,244.0","2,544.0","2,740.0","2,676.0","2,588.0","2,320.0","2,400.0","2,632.0","2,748.0","2,628.0","2,520.0","2,316.0","2,128.0","2,088.0","2,268.0","2,164.0","2,104.0","2,332.0","2,228.0","2,176.0","2,260.0","2,200.0","2,212.0","2,364.0","2,344.0","2,708.0","2,640.0","3,072.0","2,928.0","3,016.0","3,188.0","3,276.0","3,524.0","3,728.0","3,836.0","3,984.0","3,956.0","4,040.0","4,012.0","3,892.0","3,904.0","3,448.0","3,508.0","3,600.0","3,384.0","3,216.0"
"45","26","        Other","A405RC1","3,928.0","3,720.0","3,556.0","3,548.0","3,044.0","2,596.0","2,924.0","2,684.0","2,864.0","2,800.0","2,496.0","2,828.0","3,160.0","4,352.0","5,400.0","4,832.0","3,628.0","3,708.0","3,492.0","3,616.0","3,664.0","3,568.0","3,316.0","2,748.0","2,956.0","2,760.0","2,664.0","3,084.0","3,316.0","3,484.0","3,548.0","3,964.0","4,144.0","4,092.0","4,060.0","4,080.0","3,776.0","3,620.0","3,568.0","3,380.0","3,012.0","3,244.0","3,704.0","3,656.0","4,064.0","4,424.0","4,392.0","4,364.0","4,720.0","4,200.0","4,100.0","3,900.0","3,672.0","3,964.0","4,512.0","4,480.0","4,416.0","4,296.0","4,348.0","4,620.0","4,404.0","4,756.0","4,824.0","4,844.0","5,052.0","5,236.0","5,512.0","5,280.0","6,076.0","5,784.0","6,004.0","6,628.0","6,884.0","6,984.0","6,956.0","6,692.0","6,524.0","6,060.0","6,388.0","6,648.0","6,692.0","7,036.0","7,120.0","7,440.0","7,328.0","7,292.0","7,016.0","6,496.0"
"46","27","    Transportation and public utilities","A416RC1","2,776.0","3,244.0","3,016.0","3,052.0","2,944.0","3,116.0","3,180.0","2,928.0","3,328.0","3,816.0","4,476.0","4,720.0","4,304.0","4,616.0","4,600.0","5,108.0","5,260.0","4,604.0","4,828.0","5,152.0","5,268.0","5,160.0","5,016.0","4,592.0","4,508.0","4,712.0","4,764.0","4,880.0","5,492.0","5,812.0","5,640.0","5,788.0","5,900.0","5,992.0","5,920.0","5,840.0","6,056.0","5,840.0","5,924.0","5,600.0","5,280.0","5,728.0","6,184.0","6,576.0","7,124.0","7,328.0","6,756.0","7,072.0","7,572.0","7,608.0","7,372.0","7,532.0","7,312.0","7,772.0","7,936.0","8,580.0","8,492.0","8,416.0","8,648.0","8,408.0","9,036.0","9,392.0","9,652.0","9,884.0","10,256.0","10,160.0","10,140.0","10,144.0","10,440.0","10,860.0","11,200.0","11,696.0","11,868.0","12,280.0","11,948.0","11,736.0","10,920.0","10,676.0","10,840.0","11,184.0","10,980.0","10,888.0","11,056.0","11,036.0","11,332.0","11,208.0","10,276.0","9,808.0"
"47","28","      Transportation","A417RC1","1,344.0","1,720.0","1,560.0","1,432.0","1,268.0","1,272.0","1,188.0","1,044.0","1,380.0","1,676.0","2,212.0","2,392.0","1,800.0","1,924.0","1,776.0","2,112.0","2,156.0","1,572.0","1,780.0","1,920.0","1,956.0","1,820.0","1,564.0","1,124.0","940.0","972.0","940.0","1,064.0","1,472.0","1,548.0","1,512.0","1,392.0","1,448.0","1,540.0","1,344.0","1,412.0","1,336.0","1,160.0","1,240.0","844.0","500.0","724.0","1,016.0","1,264.0","1,432.0","1,476.0","728.0","928.0","1,164.0","920.0","672.0","764.0","612.0","872.0","1,024.0","1,304.0","1,132.0","972.0","1,020.0","1,044.0","1,048.0","1,456.0","1,416.0","1,672.0","1,772.0","1,616.0","1,628.0","1,376.0","1,704.0","2,092.0","2,320.0","2,360.0","2,428.0","2,524.0","1,996.0","2,060.0","1,452.0","1,168.0","1,304.0","1,340.0","1,184.0","960.0","852.0","856.0","904.0","848.0","472.0","436.0"
"48","29","      Communication","A418RC1","420.0","448.0","400.0","416.0","364.0","464.0","524.0","564.0","588.0","660.0","812.0","808.0","880.0","940.0","980.0","1,036.0","1,076.0","1,068.0","1,024.0","1,092.0","1,172.0","1,216.0","1,252.0","1,296.0","1,256.0","1,332.0","1,372.0","1,404.0","1,592.0","1,700.0","1,688.0","1,756.0","1,788.0","1,764.0","1,868.0","1,852.0","2,004.0","1,972.0","1,996.0","2,060.0","2,080.0","2,296.0","2,436.0","2,520.0","2,704.0","2,804.0","2,820.0","2,816.0","2,876.0","3,020.0","3,064.0","3,096.0","3,116.0","3,140.0","3,176.0","3,360.0","3,500.0","3,556.0","3,652.0","3,612.0","3,760.0","3,856.0","4,012.0","3,976.0","3,984.0","4,044.0","3,944.0","4,112.0","4,176.0","4,084.0","4,332.0","4,572.0","4,580.0","4,788.0","4,948.0","4,796.0","4,636.0","4,672.0","4,884.0","4,988.0","5,080.0","5,080.0","5,156.0","5,224.0","5,504.0","5,556.0","5,156.0","5,188.0"
"49","30","      Electric, gas, and sanitary services","A419RC1","1,012.0","1,076.0","1,056.0","1,204.0","1,312.0","1,380.0","1,468.0","1,320.0","1,360.0","1,480.0","1,452.0","1,520.0","1,624.0","1,752.0","1,844.0","1,960.0","2,028.0","1,964.0","2,024.0","2,140.0","2,140.0","2,124.0","2,200.0","2,172.0","2,312.0","2,408.0","2,452.0","2,412.0","2,428.0","2,564.0","2,440.0","2,640.0","2,664.0","2,688.0","2,708.0","2,576.0","2,716.0","2,708.0","2,688.0","2,696.0","2,700.0","2,708.0","2,732.0","2,792.0","2,988.0","3,048.0","3,208.0","3,328.0","3,532.0","3,668.0","3,636.0","3,672.0","3,584.0","3,760.0","3,736.0","3,916.0","3,860.0","3,888.0","3,976.0","3,752.0","4,228.0","4,080.0","4,224.0","4,236.0","4,500.0","4,500.0","4,568.0","4,656.0","4,560.0","4,684.0","4,548.0","4,764.0","4,860.0","4,968.0","5,004.0","4,880.0","4,832.0","4,836.0","4,652.0","4,856.0","4,716.0","4,848.0","5,048.0","4,956.0","4,924.0","4,804.0","4,648.0","4,184.0"
"50","31","    Wholesale trade","A414RC1","2,396.0","2,464.0","2,268.0","2,316.0","2,212.0","1,960.0","1,948.0","1,552.0","1,916.0","1,832.0","2,132.0","2,412.0","2,568.0","2,580.0","2,556.0","2,596.0","2,372.0","2,220.0","2,292.0","2,224.0","2,032.0","2,016.0","1,716.0","1,312.0","1,384.0","1,404.0","1,684.0","2,284.0","2,392.0","2,396.0","2,508.0","2,224.0","1,900.0","2,132.0","2,492.0","2,124.0","2,284.0","2,180.0","2,152.0","2,044.0","1,784.0","1,760.0","2,428.0","2,940.0","2,828.0","3,156.0","2,932.0","2,488.0","2,784.0","2,428.0","2,408.0","2,376.0","2,176.0","2,368.0","2,484.0","2,908.0","2,980.0","2,704.0","2,904.0","2,768.0","2,540.0","2,748.0","2,940.0","3,080.0","3,468.0","3,492.0","3,560.0","3,060.0","3,652.0","4,072.0","3,476.0","3,880.0","4,216.0","3,880.0","3,696.0","4,052.0","4,088.0","4,060.0","4,004.0","4,116.0","4,364.0","4,596.0","4,740.0","4,684.0","4,756.0","4,876.0","4,720.0","5,096.0"
"51","32","    Retail trade","A415RC1","3,240.0","3,452.0","3,140.0","3,160.0","3,240.0","2,728.0","2,652.0","2,448.0","2,964.0","3,232.0","2,780.0","3,024.0","3,444.0","2,132.0","2,332.0","2,620.0","1,972.0","2,892.0","2,520.0","3,484.0","2,636.0","2,656.0","2,380.0","1,468.0","1,520.0","1,568.0","3,140.0","3,048.0","3,660.0","2,848.0","2,552.0","2,388.0","1,844.0","2,340.0","3,172.0","2,920.0","2,640.0","2,532.0","2,704.0","2,324.0","1,632.0","2,348.0","2,852.0","3,692.0","3,244.0","3,372.0","2,952.0","3,728.0","2,804.0","2,920.0","2,824.0","2,496.0","2,656.0","2,960.0","2,988.0","3,372.0","3,572.0","3,472.0","3,360.0","3,308.0","3,676.0","3,628.0","3,468.0","3,600.0","4,208.0","4,528.0","4,648.0","4,652.0","4,716.0","4,812.0","4,968.0","5,064.0","4,860.0","4,848.0","4,672.0","5,072.0","5,228.0","5,460.0","5,944.0","6,040.0","6,092.0","6,312.0","6,624.0","6,432.0","6,340.0","6,840.0","6,676.0","5,816.0"
"52","33","    Other","A420RC1","3,248.0","3,532.0","3,700.0","3,684.0","3,468.0","3,176.0","2,904.0","2,840.0","3,076.0","3,484.0","3,772.0","3,816.0","3,596.0","3,756.0","3,600.0","3,436.0","3,512.0","3,164.0","3,156.0","3,240.0","3,100.0","2,964.0","2,944.0","2,948.0","3,064.0","3,276.0","3,348.0","3,448.0","3,620.0","3,524.0","3,132.0","3,664.0","3,864.0","3,860.0","3,876.0","3,888.0","3,780.0","3,916.0","3,740.0","3,672.0","3,508.0","3,404.0","3,496.0","3,424.0","3,612.0","3,448.0","3,280.0","3,132.0","3,212.0","3,248.0","3,308.0","3,384.0","3,408.0","3,252.0","3,368.0","3,616.0","3,588.0","3,456.0","3,488.0","3,800.0","3,924.0","4,120.0","4,264.0","4,276.0","4,648.0","4,832.0","4,736.0","4,744.0","5,160.0","5,288.0","5,440.0","5,636.0","5,664.0","5,772.0","6,076.0","6,204.0","6,120.0","6,064.0","6,172.0","6,224.0","6,368.0","6,624.0","6,608.0","6,612.0","6,288.0","6,316.0","6,404.0","5,332.0"
"53","34","Rest of the world","B394RC1","1,208.0","1,284.0","1,272.0","1,280.0","1,224.0","1,168.0","1,116.0","992.0","1,128.0","1,084.0","1,424.0","1,440.0","1,484.0","1,692.0","1,804.0","1,996.0","1,904.0","1,880.0","1,916.0","1,852.0","1,872.0","1,900.0","1,732.0","1,688.0","1,840.0","1,856.0","1,924.0","2,228.0","2,236.0","2,240.0","2,404.0","2,536.0","2,720.0","2,760.0","2,904.0","2,900.0","3,012.0","3,288.0","3,212.0","2,856.0","2,580.0","2,548.0","2,504.0","2,460.0","2,500.0","2,540.0","2,792.0","3,040.0","3,060.0","3,168.0","3,076.0","3,244.0","3,388.0","3,176.0","3,344.0","3,356.0","3,372.0","3,624.0","3,716.0","4,376.0","4,144.0","3,956.0","4,012.0","4,212.0","4,560.0","4,408.0","4,472.0","4,436.0","4,772.0","4,944.0","4,616.0","4,492.0","4,348.0","4,488.0","4,548.0","4,728.0","4,688.0","4,452.0","5,020.0","4,940.0","5,220.0","5,492.0","5,728.0","6,104.0","6,260.0","6,436.0","6,748.0","6,936.0"
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
