"","Table 6#16D# Corporate Profits by Industry                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12"
"19","12","    Other financial \2\","N398RC1",140.2,168,169.4,199.3,252.7,297.2,324.1,362.5,464.9
"20","13","  Nonfinancial","N399RC1",470.1,461.1,413.4,322,334,411.8,584,900.1,1034.7
"21","14","    Utilities","N419RC1",32.7,33.1,24.4,24.7,10.6,11.6,16.2,30.3,48.6
"22","15","    Manufacturing","N400RC1",157,150.6,144.3,52.6,48.2,76,150.2,254.8,311.7
"23","16","      Durable goods","N406RC1",83.4,72.3,60,-25.4,-9.9,-5.9,31.3,73.8,108
"24","17","        Fabricated metal products","N408RC1",16.7,16.5,15.5,9.9,8.9,7.9,12.3,20.6,26.2
"25","18","        Machinery","N409RC1",15.6,12.4,8.2,2.7,1.7,1.5,7,13.8,19.2
"26","19","        Computer and electronic products","N501RC1",3.9,-6.5,4,-48.5,-35.3,-15.6,-6.7,3.9,13.4
"27","20","        Electrical equipment, appliances, and components","N410RC1",6.1,6.3,5.6,1.9,-0.1,2.1,0.2,5.7,10
"28","21","        Motor vehicles, bodies and trailers, and parts","N411RC1",6.4,7.3,-1,-9.2,-5,-12.3,-11.2,-17.9,-17.9
"29","22","        Other durable goods \3\","N412RC1",34.6,36.4,27.7,17.8,20,10.5,29.7,47.7,57
"30","23","      Nondurable goods","N401RC1",73.6,78.3,84.3,78,58.1,81.9,118.9,181,203.7
"31","24","        Food and beverage and tobacco products","N402RC1",21.8,30.7,25.4,28,24.9,23.6,22.4,28.5,31.9
"32","25","        Petroleum and coal products","N404RC1",4.9,1.8,26.9,29.6,1.6,23.3,49.3,70.4,84.3
"33","26","        Chemical products","N403RC1",25.1,23,14.2,12.6,18.4,19.5,23.8,45.3,49.1
"34","27","        Other nondurable goods \4\","N405RC1",21.8,22.7,17.8,7.8,13.2,15.5,23.4,36.8,38.5
"35","28","    Wholesale trade","N414RC1",53.2,55.5,59.7,52.1,49.3,55.2,69.9,97.6,106
"36","29","    Retail trade","N415RC1",66.4,65.2,59.6,71,79.4,86.8,89.3,113.7,130.1
"37","30","    Transportation and warehousing","N417RC1",21,16.1,14.9,1.3,-0.9,7.3,11.8,21,34.7
"38","31","    Information","N502RC1",20.1,10.5,-17.6,-25.6,-8.5,3.2,37.7,77.5,87.7
"39","32","    Other nonfinancial \5\","N420RC1",119.8,130.1,128.2,145.9,155.8,171.7,208.8,305.2,315.8
"40","33","Rest of the world","B394RC1",103,121.5,145.7,169.7,155.8,165.5,176.3,197,243.1
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","1. Consists of finance and insurance and bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2. Consists of credit intermediation and related activities; securities, commodity contracts,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","and other financial investments and related activities; insurance carriers and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","activities; funds, trusts, and other financial vehicles; and bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","3. Consists of wood products; nonmetallic mineral products; primary metals; other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","transportation equipment; furniture and related products; and miscellaneous manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","4. Consists of textile mills and textile product mills; apparel; leather and allied products;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","paper products; printing and related support activities; and plastics and rubber products.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","5. Consists of agriculture, forestry, fishing, and hunting; mining; construction; real",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","estate and rental and leasing; professional, scientific, and  technical services;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","administrative and waste management services; educational services; health care and social",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","assistance; arts, entertainment, and recreation; accommodation and food services; and other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","services, except government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Note. Estimates in this table are based on the 1997 North American Industry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
