"","Table 7#4#5# Housing Sector Output, Gross Value Added, and Net V","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","    Owner-occupied","DOWNRC1","5,868.0","5,552.0","5,101.0","4,416.0","3,844.0","3,643.0","3,646.0","3,759.0","3,950.0","4,104.0","4,179.0","4,310.0","4,706.0","5,192.0","5,588.0","6,060.0","6,496.0","7,356.0","8,456.0","9,731.0","10,968.0","12,391.0","14,089.0","15,901.0","17,899.0","19,724.0","21,407.0","23,233.0","25,036.0","26,953.0","29,047.0","31,273.0","33,285.0","35,714.0","37,787.0","39,991.0","42,668.0","45,338.0","48,329.0","51,883.0","56,627.0"
"22","4","    Tenant-occupied","DTENRC1","4,542.0","4,454.0","4,280.0","3,858.0","3,415.0","3,277.0","3,323.0","3,490.0","3,763.0","4,003.0","4,132.0","4,298.0","4,580.0","4,827.0","4,837.0","4,816.0","4,670.0","4,918.0","5,290.0","5,895.0","6,505.0","7,058.0","7,745.0","8,406.0","9,194.0","9,756.0","10,094.0","10,514.0","11,151.0","11,822.0","12,532.0","13,279.0","14,150.0","15,115.0","16,045.0","17,034.0","18,156.0","19,238.0","20,390.0","22,168.0","24,042.0"
"23","5","  Farm housing","DFARRC1","913.0","865.0","775.0","664.0","614.0","640.0","683.0","693.0","733.0","745.0","741.0","744.0","767.0","821.0","879.0","955.0","1,052.0","1,303.0","1,447.0","1,505.0","1,408.0","1,464.0","1,607.0","1,736.0","1,765.0","1,711.0","1,741.0","1,734.0","1,787.0","1,861.0","2,031.0","2,098.0","2,202.0","2,258.0","2,360.0","2,443.0","2,481.0","2,599.0","2,747.0","2,838.0","3,046.0"
"24","6","Less: Intermediate goods and services consumed","B1027C1","1,434.0","1,308.0","1,178.0","958.0","901.0","993.0","1,052.0","1,205.0","1,292.0","1,216.0","1,307.0","1,381.0","1,551.0","1,507.0","1,395.0","1,408.0","1,452.0","2,278.0","2,882.0","3,385.0","3,742.0","4,160.0","4,621.0","4,900.0","5,289.0","5,377.0","5,564.0","5,821.0","5,904.0","6,066.0","5,961.0","5,987.0","6,049.0","6,205.0","6,379.0","6,764.0","7,168.0","7,477.0","7,686.0","8,998.0","10,126.0"
"25","7","Equals: Gross housing value added","A2009C1","9,889.0","9,563.0","8,978.0","7,980.0","6,972.0","6,567.0","6,600.0","6,737.0","7,154.0","7,636.0","7,745.0","7,971.0","8,502.0","9,333.0","9,909.0","10,423.0","10,766.0","11,299.0","12,311.0","13,746.0","15,139.0","16,753.0","18,820.0","21,143.0","23,569.0","25,814.0","27,678.0","29,660.0","32,070.0","34,570.0","37,649.0","40,663.0","43,589.0","46,882.0","49,813.0","52,705.0","56,138.0","59,698.0","63,780.0","67,891.0","73,589.0"
"26","8","  Nonfarm housing","B499RC1","9,027.0","8,747.0","8,247.0","7,353.0","6,393.0","5,963.0","5,956.0","6,084.0","6,463.0","6,934.0","7,047.0","7,270.0","7,779.0","8,559.0","9,081.0","9,523.0","9,775.0","10,094.0","10,973.0","12,355.0","13,837.0","15,400.0","17,335.0","19,539.0","21,938.0","24,234.0","26,070.0","28,059.0","30,421.0","32,853.0","35,775.0","38,728.0","41,558.0","44,800.0","47,637.0","50,453.0","53,851.0","57,303.0","61,284.0","65,313.0","70,823.0"
"27","9","    Owner-occupied","B1300C1","5,138.0","4,891.0","4,499.0","3,921.0","3,389.0","3,156.0","3,140.0","3,194.0","3,348.0","3,536.0","3,574.0","3,659.0","3,977.0","4,436.0","4,884.0","5,341.0","5,726.0","5,898.0","6,461.0","7,348.0","8,384.0","9,546.0","11,034.0","12,787.0","14,660.0","16,541.0","18,119.0","19,810.0","21,610.0","23,459.0","25,568.0","27,832.0","29,868.0","32,238.0","34,219.0","36,262.0","38,761.0","41,388.0","44,202.0","46,957.0","51,072.0"
"28","10","    Tenant-occupied","B1301C1","3,890.0","3,856.0","3,747.0","3,432.0","3,004.0","2,808.0","2,816.0","2,890.0","3,114.0","3,397.0","3,473.0","3,610.0","3,802.0","4,123.0","4,197.0","4,183.0","4,049.0","4,196.0","4,512.0","5,007.0","5,453.0","5,854.0","6,301.0","6,752.0","7,279.0","7,693.0","7,951.0","8,249.0","8,811.0","9,394.0","10,207.0","10,896.0","11,690.0","12,562.0","13,418.0","14,191.0","15,091.0","15,915.0","17,082.0","18,356.0","19,751.0"
"29","11","  Farm housing","B1302C1","862.0","816.0","731.0","626.0","579.0","604.0","644.0","653.0","691.0","702.0","698.0","701.0","723.0","773.0","828.0","899.0","990.0","1,205.0","1,338.0","1,391.0","1,302.0","1,353.0","1,485.0","1,604.0","1,630.0","1,580.0","1,607.0","1,601.0","1,649.0","1,717.0","1,874.0","1,935.0","2,031.0","2,082.0","2,176.0","2,252.0","2,286.0","2,395.0","2,496.0","2,578.0","2,767.0"
"30","12","Less: Consumption of fixed capital","A1028C1","1,905.0","1,886.0","1,710.0","1,380.0","1,347.0","1,493.0","1,481.0","1,554.0","1,725.0","1,783.0","1,803.0","1,889.0","2,095.0","2,260.0","2,425.0","2,626.0","2,803.0","3,115.0","3,922.0","4,456.0","4,707.0","5,048.0","5,676.0","6,080.0","6,385.0","6,693.0","7,163.0","7,711.0","8,061.0","8,360.0","8,785.0","9,270.0","9,673.0","10,110.0","10,529.0","11,154.0","11,998.0","12,965.0","13,907.0","15,224.0","17,059.0"
"31","13","Equals: Net housing value added \2\","B952RC1","7,984.0","7,677.0","7,267.0","6,599.0","5,625.0","5,074.0","5,119.0","5,183.0","5,428.0","5,852.0","5,943.0","6,081.0","6,408.0","7,073.0","7,483.0","7,797.0","7,963.0","8,185.0","8,390.0","9,290.0","10,432.0","11,705.0","13,144.0","15,063.0","17,184.0","19,120.0","20,515.0","21,949.0","24,009.0","26,210.0","28,864.0","31,393.0","33,915.0","36,772.0","39,284.0","41,551.0","44,140.0","46,733.0","49,873.0","52,667.0","56,531.0"
"32","14","  Compensation of employees","B1033C1","192.0","197.0","207.0","194.0","192.0","191.0","198.0","200.0","206.0","212.0","222.0","263.0","239.0","246.0","258.0","267.0","275.0","240.0","269.0","299.0","333.0","351.0","387.0","415.0","457.0","506.0","527.0","556.0","584.0","593.0","611.0","644.0","737.0","864.0","972.0","984.0","996.0","1,009.0","1,023.0","1,038.0","1,054.0"
"33","15","  Taxes on production and imports","B1031C1","1,973.0","2,057.0","2,050.0","1,951.0","1,726.0","1,741.0","1,792.0","1,767.0","1,800.0","1,861.0","1,833.0","1,908.0","1,927.0","1,988.0","2,064.0","2,136.0","2,200.0","2,088.0","2,209.0","2,377.0","2,654.0","2,812.0","3,150.0","3,493.0","3,812.0","4,098.0","4,562.0","5,056.0","5,590.0","6,159.0","6,709.0","7,439.0","8,221.0","8,922.0","9,819.0","10,709.0","11,660.0","12,567.0","14,053.0","15,838.0","17,646.0"
"34","16","  Less: Subsidies \3\","W154RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-22.0","-31.0","-38.0","-20.0","-28.0","-49.0","-91.0","-80.0","-100.0","-75.0","-75.0","-58.0","-44.0","126.0","146.0","159.0","176.0","192.0","208.0","231.0","253.0","278.0","347.0","459.0"
"35","17","  Net operating surplus","W165RC1","5,819.0","5,423.0","5,010.0","4,454.0","3,707.0","3,142.0","3,129.0","3,216.0","3,422.0","3,779.0","3,888.0","3,910.0","4,242.0","4,839.0","5,161.0","5,394.0","5,488.0","5,835.0","5,881.0","6,576.0","7,425.0","8,514.0","9,558.0","11,064.0","12,835.0","14,416.0","15,351.0","16,262.0","17,777.0","19,414.0","21,665.0","23,456.0","25,116.0","27,162.0","28,685.0","30,066.0","31,715.0","33,410.0","35,075.0","36,138.0","38,290.0"
"36","18","    Net interest","B1037C1","1,690.0","1,728.0","1,734.0","1,666.0","1,570.0","1,481.0","1,424.0","1,384.0","1,349.0","1,299.0","1,262.0","1,270.0","1,308.0","1,307.0","1,258.0","1,213.0","1,193.0","1,201.0","1,365.0","1,587.0","1,791.0","2,061.0","2,416.0","2,787.0","3,122.0","3,602.0","4,091.0","4,752.0","5,570.0","6,409.0","7,196.0","8,002.0","8,862.0","10,020.0","10,953.0","12,202.0","13,403.0","14,501.0","15,409.0","16,659.0","18,498.0"
"37","19","    Current transfer payments","W166RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-11.0","-34.0","-54.0","-52.0","-81.0","-106.0","-92.0","32.0","-38.0","-37.0","-30.0"
"38","20","    Proprietors' income with inventory valuation and capital consumption adjustments","B1034C1","-285.0","-284.0","-253.0","-201.0","-195.0","-214.0","-209.0","-219.0","-244.0","-253.0","-255.0","-266.0","-295.0","-319.0","-339.0","-363.0","-381.0","-12.0","-61.0","-60.0","-32.0","-10.0","-27.0","-15.0","35.0","65.0","70.0","91.0","206.0","234.0","412.0","487.0","595.0","695.0","758.0","822.0","911.0","979.0","1,101.0","1,310.0","1,356.0"
"39","21","    Rental income of persons with capital consumption adjustment","B1035C1","4,408.0","3,972.0","3,520.0","2,975.0","2,319.0","1,864.0","1,903.0","2,043.0","2,311.0","2,729.0","2,875.0","2,904.0","3,227.0","3,852.0","4,247.0","4,553.0","4,687.0","4,617.0","4,554.0","5,023.0","5,632.0","6,423.0","7,125.0","8,246.0","9,628.0","10,696.0","11,127.0","11,352.0","11,916.0","12,676.0","13,766.0","14,671.0","15,318.0","16,106.0","16,580.0","16,660.0","16,972.0","17,367.0","18,006.0","17,553.0","17,793.0"
"40","22","    Corporate profits with inventory valuation and capital consumption adjustments","B1036C1","7.0","7.0","9.0","14.0","13.0","10.0","10.0","8.0","6.0","5.0","5.0","3.0","1.0","-1.0","-5.0","-9.0","-12.0","28.0","22.0","26.0","33.0","40.0","44.0","46.0","50.0","54.0","63.0","68.0","84.0","95.0","121.0","150.0","192.0","218.0","252.0","284.0","312.0","339.0","408.0","440.0","454.0"
"41","23","    Current surplus of government enterprises \3\","W153RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","181.0","180.0","203.0","175.0","223.0","204.0","208.0","191.0","190.0","214.0","219.0"
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","1. Equals personal consumption expenditures for housing excluding expenditures for group housing as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","shown in table 2.5.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2. Equals housing national income.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","3. Prior to 1959, subsidies and the current surplus of government enterprises are not shown separately;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
