"","Table 2#1# Personal Income and Its Disposition","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"19","1","Personal income","A065RC1","800,258.0","864,598.0","932,137.0","1,023,574.0","1,138,525.0","1,249,341.0","1,366,884.0","1,498,451.0","1,654,571.0","1,859,721.0","2,078,195.0","2,317,464.0","2,596,506.0","2,779,472.0","2,970,275.0","3,281,770.0","3,516,329.0","3,725,688.0","3,955,860.0","4,276,349.0","4,619,874.0","4,906,423.0","5,073,390.0","5,413,049.0","5,648,990.0","5,937,283.0","6,280,973.0","6,667,027.0","7,080,668.0","7,593,685.0","7,988,413.0","8,637,061.0","8,991,584.0","9,153,855.0","9,491,109.0","10,052,896.0","10,614,037.0","11,393,944.0","12,000,178.0","12,502,228.0","12,094,789.0","12,477,120.0","13,254,522.0","13,915,118.0","14,068,385.0","14,694,185.0"
"20","2","  Compensation of employees","A033RC1","586,016.0","625,117.0","667,030.0","733,641.0","815,039.0","890,320.0","950,175.0","1,051,234.0","1,168,985.0","1,320,225.0","1,481,035.0","1,626,229.0","1,795,268.0","1,894,319.0","2,013,907.0","2,217,404.0","2,388,965.0","2,543,844.0","2,724,310.0","2,950,040.0","3,142,566.0","3,342,670.0","3,451,998.0","3,671,132.0","3,820,671.0","4,010,129.0","4,202,649.0","4,422,110.0","4,714,693.0","5,077,823.0","5,410,309.0","5,856,581.0","6,046,546.0","6,141,911.0","6,364,463.0","6,739,534.0","7,086,801.0","7,502,337.0","7,898,261.0","8,078,256.0","7,786,973.0","7,961,448.0","8,269,030.0","8,609,898.0","8,839,675.0","9,248,931.0"
"21","3","    Wages and salaries","A034RC1","518,333.0","551,560.0","584,549.0","638,785.0","708,762.0","772,282.0","814,838.0","899,745.0","994,158.0","1,120,570.0","1,253,314.0","1,373,422.0","1,511,373.0","1,587,517.0","1,677,513.0","1,844,915.0","1,982,550.0","2,102,335.0","2,256,267.0","2,439,782.0","2,583,051.0","2,741,199.0","2,814,478.0","2,965,541.0","3,079,340.0","3,236,589.0","3,418,022.0","3,616,469.0","3,876,844.0","4,181,616.0","4,458,006.0","4,825,865.0","4,954,436.0","4,996,411.0","5,137,847.0","5,421,933.0","5,691,959.0","6,057,402.0","6,395,167.0","6,531,869.0","6,251,396.0","6,377,525.0","6,633,159.0","6,930,265.0","7,114,400.0","7,477,771.0"
"22","4","      Private industries","A132RC1","412,733.0","434,328.0","457,769.0","500,898.0","559,963.0","611,770.0","638,598.0","710,839.0","791,570.0","900,552.0","1,016,178.0","1,111,961.0","1,225,524.0","1,279,980.0","1,352,718.0","1,496,777.0","1,608,687.0","1,705,115.0","1,833,150.0","1,987,745.0","2,101,945.0","2,222,150.0","2,265,713.0","2,393,540.0","2,490,330.0","2,627,093.0","2,788,996.0","2,968,375.0","3,204,957.0","3,480,303.0","3,724,240.0","4,046,078.0","4,132,438.0","4,123,256.0","4,224,538.0","4,469,269.0","4,700,448.0","5,022,433.0","5,306,321.0","5,387,763.0","5,076,250.0","5,186,434.0","5,438,403.0","5,732,025.0","5,906,761.0","6,240,525.0"
"23","5","      Government","B202RC1","105,600.0","117,232.0","126,780.0","137,887.0","148,799.0","160,512.0","176,240.0","188,906.0","202,588.0","220,018.0","237,136.0","261,461.0","285,849.0","307,537.0","324,795.0","348,138.0","373,863.0","397,220.0","423,117.0","452,037.0","481,106.0","519,049.0","548,765.0","572,001.0","589,010.0","609,496.0","629,026.0","648,094.0","671,887.0","701,313.0","733,766.0","779,787.0","821,998.0","873,155.0","913,309.0","952,664.0","991,511.0","1,034,969.0","1,088,846.0","1,144,106.0","1,175,146.0","1,191,091.0","1,194,756.0","1,198,240.0","1,207,639.0","1,237,246.0"
"24","6","    Supplements to wages and salaries","A038RC1","67,683.0","73,557.0","82,481.0","94,856.0","106,277.0","118,038.0","135,337.0","151,489.0","174,827.0","199,655.0","227,721.0","252,807.0","283,895.0","306,802.0","336,394.0","372,489.0","406,415.0","441,509.0","468,043.0","510,258.0","559,515.0","601,471.0","637,520.0","705,591.0","741,331.0","773,540.0","784,627.0","805,641.0","837,849.0","896,207.0","952,303.0","1,030,716.0","1,092,110.0","1,145,500.0","1,226,616.0","1,317,601.0","1,394,842.0","1,444,935.0","1,503,094.0","1,546,387.0","1,535,577.0","1,583,923.0","1,635,871.0","1,679,632.0","1,725,275.0","1,771,160.0"
"25","7","      Employer contributions for employee pension and insurance funds \1\","B040RC1","44,929.0","49,718.0","56,035.0","63,699.0","66,494.0","73,344.0","88,613.0","97,091.0","113,723.0","128,127.0","145,134.0","163,867.0","180,285.0","197,033.0","216,512.0","233,451.0","258,681.0","283,640.0","301,783.0","325,625.0","365,842.0","395,020.0","422,388.0","477,193.0","501,652.0","519,401.0","520,507.0","530,836.0","548,256.0","588,970.0","628,964.0","685,496.0","734,124.0","779,455.0","844,099.0","908,912.0","966,789.0","997,575.0","1,041,424.0","1,075,074.0","1,077,473.0","1,114,562.0","1,141,985.0","1,165,299.0","1,197,822.0","1,223,976.0"
"26","8","      Employer contributions for government social insurance","B039RC1","22,754.0","23,839.0","26,446.0","31,157.0","39,783.0","44,694.0","46,724.0","54,398.0","61,104.0","71,528.0","82,587.0","88,940.0","103,610.0","109,769.0","119,882.0","139,038.0","147,734.0","157,869.0","166,260.0","184,633.0","193,673.0","206,451.0","215,132.0","228,398.0","239,679.0","254,139.0","264,120.0","274,805.0","289,593.0","307,237.0","323,339.0","345,220.0","357,986.0","366,045.0","382,517.0","408,689.0","428,053.0","447,360.0","461,670.0","471,313.0","458,104.0","469,361.0","493,886.0","514,333.0","527,453.0","547,184.0"
"27","9","  Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1","77,005.0","77,803.0","83,904.0","95,094.0","112,521.0","112,213.0","118,238.0","130,974.0","144,492.0","165,974.0","179,438.0","171,569.0","179,680.0","171,191.0","186,250.0","228,247.0","241,052.0","256,479.0","286,468.0","325,843.0","341,938.0","354,449.0","355,956.0","402,362.0","430,510.0","459,500.0","484,456.0","547,371.0","587,854.0","644,194.0","700,438.0","757,771.0","836,785.0","871,037.0","900,067.0","962,053.0","978,957.0","1,053,685.0","979,170.0","1,026,474.0","972,996.0","1,032,693.0","1,143,667.0","1,241,371.0","1,285,096.0","1,346,675.0"
"28","10","    Farm","B042RC1","12,833.0","12,894.0","13,386.0","17,023.0","29,075.0","23,468.0","21,999.0","17,210.0","15,964.0","19,922.0","22,150.0","11,707.0","19,028.0","13,314.0","6,173.0","20,938.0","20,981.0","22,795.0","28,894.0","26,790.0","33,025.0","32,156.0","26,783.0","34,758.0","31,356.0","34,651.0","22,007.0","37,319.0","32,370.0","28,449.0","28,107.0","31,476.0","32,066.0","19,929.0","38,047.0","50,439.0","46,367.0","35,975.0","38,103.0","46,991.0","35,462.0","45,998.0","75,542.0","61,563.0","88,755.0","78,123.0"
"29","11","    Nonfarm","A045RC1","64,172.0","64,909.0","70,518.0","78,071.0","83,446.0","88,745.0","96,239.0","113,764.0","128,528.0","146,052.0","157,288.0","159,862.0","160,652.0","157,877.0","180,077.0","207,309.0","220,071.0","233,684.0","257,574.0","299,053.0","308,913.0","322,293.0","329,173.0","367,604.0","399,154.0","424,849.0","462,449.0","510,052.0","555,484.0","615,745.0","672,331.0","726,295.0","804,719.0","851,108.0","862,020.0","911,614.0","932,590.0","1,017,710.0","941,067.0","979,483.0","937,534.0","986,695.0","1,068,125.0","1,179,809.0","1,196,341.0","1,268,552.0"
"30","12","  Rental income of persons with capital consumption adjustment","A048RC1","20,374.0","20,724.0","21,930.0","22,826.0","23,257.0","23,338.0","22,529.0","20,621.0","16,194.0","16,911.0","16,568.0","19,734.0","25,415.0","26,138.0","27,488.0","27,886.0","29,505.0","21,904.0","20,208.0","25,115.0","24,411.0","31,357.0","42,006.0","64,326.0","93,639.0","117,470.0","129,187.0","146,951.0","152,047.0","169,864.0","183,105.0","187,722.0","207,542.0","217,302.0","238,023.0","255,418.0","238,441.0","207,521.0","189,410.0","262,106.0","333,700.0","402,755.0","485,295.0","525,324.0","563,392.0","610,834.0"
"31","13","  Personal income receipts on assets","W210RC1","98,686.0","112,650.0","122,341.0","133,297.0","150,636.0","175,357.0","195,274.0","212,617.0","243,420.0","277,982.0","318,344.0","385,990.0","472,859.0","541,250.0","584,287.0","665,067.0","712,807.0","755,344.0","779,851.0","839,369.0","951,948.0","991,186.0","985,467.0","982,147.0","988,603.0","1,029,402.0","1,114,029.0","1,176,471.0","1,258,453.0","1,342,541.0","1,329,669.0","1,453,513.0","1,441,314.0","1,390,424.0","1,420,488.0","1,503,739.0","1,666,452.0","1,938,402.0","2,166,648.0","2,167,053.0","1,817,994.0","1,739,645.0","1,913,866.0","2,123,762.0","2,060,393.0","2,117,531.0"
"32","14","    Personal interest income","A064RC1","74,447.0","88,343.0","97,314.0","106,461.0","120,756.0","142,170.0","162,352.0","173,646.0","198,697.0","227,254.0","260,907.0","322,017.0","399,229.0","463,688.0","500,999.0","574,424.0","615,417.0","649,314.0","667,701.0","709,626.0","794,151.0","822,362.0","805,297.0","793,096.0","783,869.0","794,185.0","856,042.0","874,296.0","920,526.0","987,099.0","983,270.0","1,070,184.0","1,072,159.0","991,795.0","988,235.0","941,667.0","1,088,141.0","1,214,730.0","1,350,133.0","1,361,614.0","1,264,253.0","1,195,028.0","1,231,621.0","1,288,826.0","1,271,345.0","1,302,033.0"
"33","15","    Personal dividend income","B703RC1","24,239.0","24,307.0","25,027.0","26,836.0","29,880.0","33,187.0","32,922.0","38,971.0","44,723.0","50,728.0","57,437.0","63,973.0","73,630.0","77,562.0","83,288.0","90,643.0","97,390.0","106,030.0","112,150.0","129,743.0","157,797.0","168,824.0","180,170.0","189,051.0","204,734.0","235,217.0","257,987.0","302,175.0","337,927.0","355,442.0","346,399.0","383,329.0","369,155.0","398,629.0","432,253.0","562,072.0","578,311.0","723,672.0","816,515.0","805,439.0","553,741.0","544,617.0","682,245.0","834,937.0","789,048.0","815,498.0"
"34","16","  Personal current transfer receipts","A577RC1","62,304.0","74,663.0","88,108.0","97,920.0","112,568.0","133,294.0","169,978.0","184,337.0","194,572.0","209,890.0","235,559.0","280,128.0","318,984.0","355,465.0","384,295.0","400,636.0","425,372.0","451,555.0","468,141.0","497,460.0","544,241.0","596,867.0","668,143.0","748,037.0","792,989.0","828,963.0","883,455.0","929,203.0","954,864.0","983,910.0","1,026,174.0","1,087,310.0","1,192,598.0","1,284,680.0","1,347,323.0","1,421,329.0","1,516,731.0","1,614,590.0","1,728,087.0","1,956,576.0","2,147,534.0","2,324,690.0","2,360,461.0","2,366,338.0","2,426,637.0","2,529,172.0"
"35","17","    Government social benefits to persons","A063RC1","58,973.0","71,737.0","85,412.0","94,808.0","108,628.0","128,556.0","163,134.0","177,643.0","189,482.0","203,427.0","227,334.0","271,498.0","307,809.0","343,079.0","370,499.0","380,909.0","403,112.0","428,607.0","447,913.0","476,864.0","521,070.0","574,674.0","650,507.0","731,750.0","778,935.0","815,708.0","864,727.0","906,325.0","935,418.0","957,915.0","992,202.0","1,044,876.0","1,145,830.0","1,250,485.0","1,321,063.0","1,404,558.0","1,491,019.0","1,593,114.0","1,697,481.0","1,919,953.0","2,108,840.0","2,281,740.0","2,310,219.0","2,323,598.0","2,385,476.0","2,487,179.0"
"36","18","      Social security \2\","W823RC1","26,382.0","31,380.0","36,617.0","40,948.0","50,665.0","57,607.0","65,895.0","74,501.0","83,239.0","91,380.0","102,581.0","118,586.0","138,644.0","153,708.0","164,426.0","173,027.0","183,275.0","193,631.0","200,995.0","213,916.0","227,380.0","244,135.0","264,204.0","281,776.0","297,935.0","312,161.0","327,675.0","342,005.0","356,592.0","369,182.0","379,864.0","401,393.0","425,084.0","446,909.0","463,531.0","485,512.0","512,728.0","544,096.0","575,653.0","605,542.0","664,470.0","690,174.0","713,261.0","762,139.0","799,044.0","834,640.0"
"37","19","      Medicare \3\","W824RC1","6,695.0","7,254.0","8,049.0","8,836.0","10,244.0","12,726.0","15,633.0","18,795.0","22,101.0","25,543.0","29,936.0","36,201.0","43,499.0","50,927.0","57,797.0","64,748.0","69,720.0","75,269.0","81,585.0","86,289.0","98,175.0","107,638.0","117,487.0","132,596.0","146,785.0","164,423.0","181,220.0","194,868.0","206,917.0","205,558.0","208,736.0","219,117.0","242,580.0","259,189.0","276,735.0","304,397.0","332,161.0","399,183.0","429,044.0","462,929.0","494,614.0","513,820.0","536,007.0","556,328.0","574,551.0","597,791.0"
"38","20","      Medicaid","W729RC1","4,551.0","5,455.0","6,744.0","8,211.0","9,611.0","11,176.0","13,863.0","15,457.0","16,737.0","18,619.0","21,067.0","23,855.0","27,746.0","30,159.0","33,871.0","36,572.0","39,673.0","43,645.0","47,836.0","53,027.0","60,838.0","73,144.0","96,911.0","116,248.0","130,104.0","139,429.0","149,570.0","158,188.0","163,124.0","170,195.0","184,555.0","199,493.0","227,259.0","250,009.0","264,526.0","289,813.0","304,413.0","299,104.0","324,178.0","338,322.0","369,248.0","396,633.0","405,674.0","417,275.0","439,719.0","487,380.0"
"39","21","      Unemployment insurance","W825RC1","2,327.0","4,186.0","6,160.0","6,033.0","4,570.0","7,021.0","18,140.0","16,386.0","13,129.0","9,417.0","9,692.0","16,097.0","15,885.0","25,227.0","26,411.0","15,991.0","15,861.0","16,467.0","14,625.0","13,328.0","14,410.0","18,162.0","26,787.0","39,617.0","34,848.0","23,942.0","21,734.0","22,274.0","20,103.0","19,693.0","20,509.0","20,741.0","31,899.0","53,481.0","53,174.0","36,424.0","31,774.0","30,367.0","32,739.0","51,147.0","131,210.0","138,854.0","107,161.0","83,795.0","62,333.0","35,788.0"
"40","22","      Veterans' benefits","W826RC1","6,612.0","7,457.0","8,404.0","9,374.0","10,242.0","11,581.0","13,950.0","13,765.0","13,349.0","13,597.0","14,153.0","14,660.0","15,782.0","16,290.0","16,445.0","16,275.0","16,551.0","16,589.0","16,463.0","16,735.0","17,214.0","17,687.0","18,131.0","18,620.0","19,307.0","19,703.0","20,543.0","21,425.0","22,306.0","23,266.0","24,139.0","25,004.0","26,597.0","29,541.0","31,829.0","34,048.0","36,381.0","38,876.0","41,700.0","45,039.0","51,536.0","57,961.0","63,265.0","70,111.0","79,056.0","83,709.0"
"41","23","      Other","W827RC1","12,406.0","16,005.0","19,438.0","21,406.0","23,296.0","28,445.0","35,653.0","38,739.0","40,927.0","44,871.0","49,905.0","62,099.0","66,253.0","66,768.0","71,549.0","74,296.0","78,032.0","83,006.0","86,409.0","93,569.0","103,053.0","113,908.0","126,987.0","142,893.0","149,956.0","156,050.0","163,985.0","167,565.0","166,376.0","170,021.0","174,399.0","179,128.0","192,411.0","211,356.0","231,268.0","254,364.0","273,562.0","281,488.0","294,167.0","416,974.0","397,762.0","484,298.0","484,851.0","433,950.0","430,773.0","447,871.0"
"42","24","    Other current transfer receipts, from business (net)","B931RC1","3,331.0","2,926.0","2,696.0","3,112.0","3,940.0","4,738.0","6,844.0","6,694.0","5,090.0","6,463.0","8,225.0","8,630.0","11,175.0","12,386.0","13,796.0","19,727.0","22,260.0","22,948.0","20,228.0","20,596.0","23,171.0","22,193.0","17,636.0","16,287.0","14,054.0","13,255.0","18,728.0","22,878.0","19,446.0","25,995.0","33,972.0","42,434.0","46,768.0","34,195.0","26,260.0","16,771.0","25,712.0","21,476.0","30,606.0","36,623.0","38,694.0","42,950.0","50,241.0","42,739.0","41,162.0","41,993.0"
"43","25","  Less: Contributions for government social insurance, domestic","A061RC1","44,127.0","46,359.0","51,176.0","59,204.0","75,496.0","85,181.0","89,310.0","101,334.0","113,094.0","131,260.0","152,749.0","166,188.0","195,701.0","208,894.0","225,953.0","257,470.0","281,370.0","303,438.0","323,113.0","361,482.0","385,231.0","410,108.0","430,182.0","454,951.0","477,425.0","508,180.0","532,800.0","555,078.0","587,241.0","624,651.0","661,285.0","705,840.0","733,196.0","751,497.0","779,256.0","829,178.0","873,345.0","922,591.0","961,398.0","988,237.0","964,407.0","984,108.0","917,798.0","951,575.0","1,106,809.0","1,158,959.0"
"44","26","Less: Personal current taxes","W055RC1","104,506.0","103,070.0","101,705.0","123,640.0","132,407.0","151,048.0","147,607.0","172,671.0","197,879.0","229,649.0","268,913.0","299,512.0","345,780.0","354,743.0","352,879.0","377,916.0","417,813.0","437,806.0","489,587.0","505,939.0","567,734.0","594,668.0","588,901.0","612,802.0","648,755.0","693,072.0","748,406.0","837,083.0","931,820.0","1,032,420.0","1,112,116.0","1,236,556.0","1,239,323.0","1,054,665.0","1,005,323.0","1,050,612.0","1,213,227.0","1,357,059.0","1,493,194.0","1,507,806.0","1,152,263.0","1,239,251.0","1,453,166.0","1,511,400.0","1,672,765.0","1,780,243.0"
"45","27","Equals: Disposable personal income","A067RC1","695,752.0","761,528.0","830,432.0","899,934.0","1,006,118.0","1,098,293.0","1,219,277.0","1,325,780.0","1,456,692.0","1,630,072.0","1,809,282.0","2,017,952.0","2,250,726.0","2,424,729.0","2,617,396.0","2,903,854.0","3,098,516.0","3,287,882.0","3,466,273.0","3,770,410.0","4,052,140.0","4,311,755.0","4,484,489.0","4,800,247.0","5,000,235.0","5,244,211.0","5,532,567.0","5,829,944.0","6,148,848.0","6,561,265.0","6,876,297.0","7,400,505.0","7,752,261.0","8,099,189.0","8,485,786.0","9,002,284.0","9,400,810.0","10,036,885.0","10,506,984.0","10,994,422.0","10,942,526.0","11,237,868.0","11,801,357.0","12,403,718.0","12,395,620.0","12,913,942.0"
"46","28","Less: Personal outlays","A068RC1","620,719.0","665,468.0","720,347.0","790,737.0","874,337.0","956,582.0","1,060,278.0","1,178,470.0","1,308,532.0","1,463,507.0","1,631,739.0","1,804,754.0","1,998,253.0","2,147,049.0","2,370,397.0","2,591,784.0","2,833,396.0","3,018,525.0","3,214,197.0","3,475,659.0","3,735,629.0","3,976,309.0","4,118,596.0","4,374,224.0","4,632,597.0","4,912,796.0","5,179,646.0","5,484,731.0","5,796,661.0","6,155,954.0","6,573,003.0","7,092,828.0","7,417,095.0","7,693,930.0","8,076,211.0","8,592,854.0","9,157,696.0","9,705,492.0","10,197,182.0","10,457,710.0","10,275,109.0","10,607,863.0","11,091,222.0","11,457,021.0","11,805,696.0","12,293,741.0"
"47","29","  Personal consumption expenditures","DPCERC1","604,486.0","647,688.0","700,990.0","769,431.0","851,143.0","931,999.0","1,032,755.0","1,150,172.0","1,276,673.0","1,426,173.0","1,589,496.0","1,754,616.0","1,937,512.0","2,073,913.0","2,286,519.0","2,498,155.0","2,722,674.0","2,898,411.0","3,092,050.0","3,346,889.0","3,592,814.0","3,825,630.0","3,960,151.0","4,215,654.0","4,471,002.0","4,741,018.0","4,984,178.0","5,268,071.0","5,560,720.0","5,903,033.0","6,307,022.0","6,792,396.0","7,103,104.0","7,384,053.0","7,765,529.0","8,260,018.0","8,794,112.0","9,303,992.0","9,750,505.0","10,013,648.0","9,846,968.0","10,202,191.0","10,689,299.0","11,050,627.0","11,392,289.0","11,865,941.0"
"48","30","  Personal interest payments \4\","B069RC1","13,990.0","15,213.0","16,551.0","18,140.0","19,805.0","21,152.0","23,692.0","23,904.0","27,018.0","31,903.0","36,201.0","43,234.0","49,212.0","59,332.0","68,750.0","76,562.0","91,970.0","99,011.0","98,925.0","103,134.0","114,770.0","120,107.0","121,792.0","118,083.0","115,956.0","121,956.0","142,565.0","159,094.0","172,079.0","183,392.0","190,164.0","217,544.0","223,195.0","213,009.0","209,842.0","221,761.0","248,783.0","275,133.0","305,887.0","289,619.0","273,934.0","250,770.0","241,374.0","240,642.0","244,156.0","254,248.0"
"49","31","  Personal current transfer payments","W211RC1","2,243.0","2,567.0","2,806.0","3,166.0","3,389.0","3,431.0","3,831.0","4,394.0","4,841.0","5,431.0","6,042.0","6,904.0","11,529.0","13,804.0","15,128.0","17,067.0","18,752.0","21,103.0","23,222.0","25,636.0","28,045.0","30,572.0","36,653.0","40,487.0","45,639.0","49,822.0","52,903.0","57,566.0","63,862.0","69,529.0","75,816.0","82,894.0","90,791.0","96,869.0","100,841.0","111,077.0","114,804.0","126,364.0","140,790.0","154,442.0","154,205.0","154,898.0","160,547.0","165,753.0","169,251.0","173,552.0"
"50","32","    To government","W062RC1","1,128.0","1,281.0","1,455.0","1,786.0","1,835.0","2,068.0","2,493.0","3,018.0","3,466.0","3,856.0","4,328.0","4,952.0","5,951.0","7,066.0","8,130.0","9,168.0","10,425.0","11,959.0","13,194.0","14,846.0","16,493.0","18,352.0","22,571.0","25,995.0","28,569.0","30,892.0","32,648.0","34,931.0","38,199.0","39,863.0","44,062.0","48,750.0","52,921.0","56,380.0","60,509.0","66,899.0","71,625.0","76,634.0","80,955.0","82,752.0","83,540.0","83,858.0","85,461.0","91,077.0","92,629.0","95,294.0"
"51","33","    To the rest of the world (net)","B070RC1","1,115.0","1,286.0","1,351.0","1,380.0","1,554.0","1,363.0","1,338.0","1,376.0","1,375.0","1,575.0","1,714.0","1,952.0","5,578.0","6,738.0","6,998.0","7,899.0","8,327.0","9,144.0","10,028.0","10,790.0","11,552.0","12,220.0","14,082.0","14,492.0","17,070.0","18,930.0","20,255.0","22,635.0","25,663.0","29,666.0","31,754.0","34,144.0","37,870.0","40,489.0","40,332.0","44,178.0","43,179.0","49,730.0","59,835.0","71,690.0","70,665.0","71,040.0","75,086.0","74,676.0","76,622.0","78,258.0"
