"","Table 1#12# National Income by Type of Income","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"33","14","  Taxes on corporate income","A054RC1","11,560.0","10,936.0","10,796.0","11,780.0","12,144.0","12,796.0","12,580.0","12,164.0","11,044.0","9,716.0","10,120.0","9,932.0","13,628.0","16,308.0","19,924.0","21,840.0","26,280.0","22,264.0","20,144.0","21,548.0","19,804.0","18,652.0","18,608.0","20,532.0","21,616.0","21,724.0","21,232.0","16,576.0","16,404.0","16,904.0","17,920.0","19,268.0","21,344.0","21,608.0","22,156.0","23,056.0","22,040.0","22,488.0","21,144.0","22,300.0","22,824.0","21,872.0","21,428.0","19,568.0","16,920.0","17,248.0","19,388.0","22,300.0","23,500.0","25,724.0","23,116.0","22,568.0","25,104.0","23,064.0","22,024.0","20,936.0","20,656.0","22,092.0","23,392.0","25,420.0","23,904.0","23,660.0","24,364.0","24,452.0","24,556.0","26,264.0","27,004.0","27,660.0","27,904.0","27,964.0","28,584.0","28,168.0","29,556.0","30,504.0","31,084.0","33,116.0","34,168.0","34,208.0","33,872.0","33,276.0","32,500.0","32,204.0","32,484.0","34,408.0","38,728.0","39,496.0","39,664.0","40,624.0","41,460.0","40,428.0","39,140.0","38,880.0"
"34","15","  Profits after tax with IVA and CCAdj","A551RC1","9,894.0","13,546.0","13,796.0","14,347.0","17,835.0","18,961.0","18,590.0","20,502.0","19,960.0","18,948.0","19,804.0","16,708.0","16,428.0","17,581.0","18,517.0","20,007.0","14,437.0","18,305.0","20,974.0","20,842.0","20,223.0","19,477.0","19,463.0","21,900.0","21,724.0","20,785.0","20,078.0","17,440.0","20,104.0","20,943.0","21,975.0","24,322.0","27,461.0","28,498.0","28,020.0","28,526.0","27,380.0","27,154.0","28,165.0","27,914.0","28,834.0","28,416.0","27,912.0","25,703.0","22,546.0","23,361.0","25,371.0","28,293.0","30,765.0","33,343.0","31,074.0","31,967.0","33,506.0","31,732.0","31,783.0","30,570.0","29,586.0","32,389.0","33,851.0","36,396.0","38,648.0","38,860.0","39,879.0","42,406.0","42,640.0","43,965.0","44,653.0","45,290.0","49,149.0","49,356.0","49,856.0","49,851.0","56,287.0","57,541.0","58,177.0","60,890.0","63,203.0","62,159.0","60,956.0","62,645.0","60,845.0","59,965.0","60,730.0","62,326.0","59,395.0","62,617.0","62,978.0","63,486.0","62,016.0","59,904.0","58,278.0","53,560.0"
"35","16","    Net dividends","B056RC1","6,004.0","6,312.0","6,520.0","6,448.0","7,028.0","6,676.0","7,088.0","7,352.0","7,224.0","7,204.0","7,112.0","7,412.0","8,288.0","8,372.0","9,156.0","9,536.0","8,380.0","8,632.0","8,580.0","8,688.0","8,156.0","8,712.0","8,600.0","8,772.0","8,432.0","9,176.0","9,044.0","8,892.0","9,436.0","8,880.0","9,308.0","9,504.0","10,048.0","10,168.0","10,780.0","10,916.0","11,164.0","11,188.0","11,180.0","11,588.0","11,608.0","11,792.0","11,896.0","11,672.0","11,552.0","11,676.0","11,656.0","11,380.0","12,084.0","12,464.0","12,764.0","12,968.0","13,172.0","13,248.0","13,536.0","13,508.0","13,564.0","13,640.0","13,932.0","14,468.0","14,564.0","14,992.0","15,180.0","15,372.0","15,760.0","16,092.0","16,332.0","16,760.0","17,456.0","18,020.0","18,412.0","18,888.0","19,208.0","19,888.0","20,540.0","21,184.0","21,268.0","20,876.0","20,532.0","20,004.0","21,064.0","21,680.0","22,072.0","21,224.0","22,604.0","23,372.0","23,968.0","24,196.0","23,964.0","24,124.0","24,268.0","24,600.0"
"36","17","    Undistributed profits with IVA and CCAdj","A127RC1","3,890.0","7,234.0","7,276.0","7,899.0","10,807.0","12,285.0","11,502.0","13,150.0","12,736.0","11,744.0","12,692.0","9,296.0","8,140.0","9,209.0","9,361.0","10,471.0","6,057.0","9,673.0","12,394.0","12,154.0","12,067.0","10,765.0","10,863.0","13,128.0","13,292.0","11,609.0","11,034.0","8,548.0","10,668.0","12,063.0","12,667.0","14,818.0","17,413.0","18,330.0","17,240.0","17,610.0","16,216.0","15,966.0","16,985.0","16,326.0","17,226.0","16,624.0","16,016.0","14,031.0","10,994.0","11,685.0","13,715.0","16,913.0","18,681.0","20,879.0","18,310.0","18,999.0","20,334.0","18,484.0","18,247.0","17,062.0","16,022.0","18,749.0","19,919.0","21,928.0","24,084.0","23,868.0","24,699.0","27,034.0","26,880.0","27,873.0","28,321.0","28,530.0","31,693.0","31,336.0","31,444.0","30,963.0","37,079.0","37,653.0","37,637.0","39,706.0","41,935.0","41,283.0","40,424.0","42,641.0","39,781.0","38,285.0","38,658.0","41,102.0","36,791.0","39,245.0","39,010.0","39,290.0","38,052.0","35,780.0","34,010.0","28,960.0"
"37","18","Net interest and miscellaneous payments","W255RC1","2,279.0","2,423.0","2,552.0","2,561.0","2,547.0","2,580.0","2,671.0","2,677.0","2,796.0","2,856.0","2,938.0","2,984.0","3,136.0","3,207.0","3,196.0","3,293.0","3,441.0","3,660.0","3,825.0","3,900.0","3,949.0","4,090.0","4,162.0","4,261.0","4,525.0","4,682.0","4,879.0","5,060.0","5,309.0","5,575.0","5,807.0","6,032.0","6,193.0","6,347.0","6,309.0","6,353.0","6,679.0","6,837.0","7,144.0","7,119.0","7,829.0","8,048.0","8,285.0","8,281.0","9,096.0","9,641.0","9,870.0","9,960.0","8,887.0","9,851.0","9,890.0","10,194.0","10,272.0","10,250.0","10,861.0","11,306.0","11,770.0","12,333.0","12,721.0","13,461.0","13,297.0","14,253.0","14,723.0","15,123.0","14,782.0","14,982.0","15,454.0","15,910.0","16,688.0","17,258.0","18,023.0","18,196.0","19,136.0","19,577.0","20,146.0","20,143.0","21,330.0","22,005.0","22,829.0","23,887.0","24,707.0","25,583.0","25,966.0","26,370.0","26,847.0","27,324.0","27,670.0","28,368.0","31,168.0","32,871.0","34,600.0","35,694.0"
"38","19","Taxes on production and imports","W056RC1","17,679.0","17,740.0","18,031.0","18,974.0","18,963.0","19,665.0","20,006.0","20,270.0","20,369.0","20,822.0","21,253.0","21,172.0","21,554.0","22,462.0","24,380.0","23,404.0","25,094.0","24,069.0","24,481.0","25,336.0","26,087.0","26,918.0","27,334.0","28,145.0","28,746.0","29,178.0","29,319.0","29,161.0","28,681.0","28,812.0","28,744.0","29,319.0","30,248.0","31,228.0","31,941.0","32,451.0","33,031.0","33,596.0","34,597.0","35,724.0","36,144.0","36,561.0","37,012.0","36,746.0","36,823.0","37,331.0","37,795.0","38,929.0","39,770.0","40,292.0","41,722.0","42,424.0","43,696.0","44,347.0","44,861.0","45,284.0","45,776.0","46,463.0","47,256.0","48,377.0","49,396.0","49,906.0","50,888.0","51,338.0","52,005.0","52,938.0","53,919.0","54,682.0","55,671.0","56,746.0","57,881.0","58,778.0","60,184.0","60,340.0","60,516.0","61,796.0","61,365.0","62,827.0","63,748.0","64,904.0","65,564.0","66,832.0","68,746.0","70,606.0","73,367.0","75,424.0","77,693.0","79,144.0","80,589.0","82,901.0","85,217.0","86,717.0"
"39","20","Less: Subsidies \2\","A107RC1","506.0","414.0","361.0","299.0","382.0","290.0","611.0","866.0","581.0","395.0","524.0","477.0","686.0","804.0","768.0","1,099.0","1,152.0","1,124.0","868.0","1,033.0","809.0","787.0","793.0","690.0","722.0","447.0","671.0","197.0","125.0","686.0","323.0","155.0","259.0","322.0","26.0","176.0","294.0","549.0","893.0","1,207.0","1,280.0","1,211.0","1,053.0","954.0","1,089.0","1,283.0","1,467.0","1,603.0","1,148.0","928.0","1,088.0","1,068.0","1,024.0","1,280.0","1,048.0","1,232.0","1,572.0","2,008.0","2,172.0","2,304.0","2,284.0","2,384.0","2,216.0","2,208.0","2,032.0","2,176.0","2,296.0","2,432.0","2,728.0","2,880.0","2,648.0","2,660.0","2,924.0","2,972.0","2,988.0","3,144.0","3,564.0","3,928.0","4,064.0","4,240.0","3,992.0","3,872.0","3,684.0","3,696.0","4,036.0","4,204.0","4,220.0","4,236.0","4,340.0","4,464.0","4,668.0","4,664.0"
"40","21","Business current transfer payments (net)","B029RC1","683.0","711.0","731.0","735.0","734.0","706.0","700.0","692.0","651.0","658.0","698.0","749.0","711.0","780.0","857.0","948.0","1,079.0","1,152.0","1,187.0","1,222.0","1,216.0","1,203.0","1,186.0","1,183.0","1,193.0","1,197.0","1,150.0","1,076.0","954.0","880.0","882.0","944.0","1,101.0","1,245.0","1,370.0","1,472.0","1,575.0","1,623.0","1,674.0","1,732.0","1,798.0","1,826.0","1,840.0","1,828.0","1,793.0","1,742.0","1,671.0","1,606.0","1,604.0","1,661.0","1,672.0","1,695.0","1,731.0","1,728.0","1,739.0","1,770.0","1,851.0","1,870.0","1,915.0","1,968.0","2,034.0","2,091.0","2,146.0","2,197.0","2,438.0","2,520.0","2,537.0","2,621.0","2,720.0","2,784.0","3,206.0","3,306.0","3,503.0","3,505.0","3,487.0","3,445.0","3,420.0","3,380.0","3,366.0","3,402.0","3,468.0","3,567.0","3,688.0","3,789.0","3,913.0","4,128.0","4,272.0","4,419.0","4,716.0","4,827.0","4,837.0","4,812.0"
"41","22","  To persons (net)","B931RC1","368.0","392.0","404.0","404.0","384.0","364.0","368.0","368.0","332.0","332.0","356.0","400.0","444.0","508.0","588.0","680.0","792.0","868.0","900.0","932.0","912.0","896.0","876.0","868.0","888.0","884.0","836.0","760.0","612.0","532.0","532.0","592.0","732.0","876.0","1,004.0","1,108.0","1,160.0","1,208.0","1,256.0","1,316.0","1,376.0","1,404.0","1,412.0","1,388.0","1,308.0","1,260.0","1,212.0","1,180.0","1,272.0","1,320.0","1,340.0","1,356.0","1,332.0","1,308.0","1,300.0","1,308.0","1,320.0","1,340.0","1,368.0","1,416.0","1,480.0","1,532.0","1,572.0","1,612.0","1,796.0","1,836.0","1,884.0","1,956.0","2,072.0","2,172.0","2,240.0","2,264.0","2,332.0","2,300.0","2,244.0","2,184.0","2,152.0","2,108.0","2,088.0","2,104.0","2,156.0","2,216.0","2,296.0","2,380.0","2,504.0","2,720.0","2,888.0","3,040.0","3,260.0","3,356.0","3,368.0","3,340.0"
"42","23","  To government (net)","W061RC1","315.0","319.0","327.0","331.0","350.0","342.0","332.0","324.0","319.0","326.0","342.0","349.0","267.0","272.0","269.0","268.0","287.0","284.0","287.0","290.0","304.0","307.0","310.0","315.0","305.0","313.0","314.0","316.0","342.0","348.0","350.0","352.0","369.0","369.0","366.0","364.0","415.0","415.0","418.0","416.0","422.0","422.0","428.0","440.0","485.0","482.0","459.0","426.0","332.0","341.0","332.0","339.0","399.0","420.0","439.0","462.0","531.0","530.0","547.0","552.0","554.0","559.0","574.0","585.0","642.0","684.0","653.0","665.0","648.0","612.0","966.0","1,042.0","1,171.0","1,205.0","1,243.0","1,261.0","1,268.0","1,272.0","1,278.0","1,298.0","1,312.0","1,351.0","1,392.0","1,409.0","1,409.0","1,408.0","1,384.0","1,379.0","1,456.0","1,471.0","1,469.0","1,472.0"
"43","24","  To the rest of the world (net)","W237RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"44","25","Current surplus of government enterprises \2\","A108RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","494.0","514.0","527.0","642.0","529.0","557.0","393.0","374.0","299.0","261.0","283.0","497.0","363.0","337.0","413.0","401.0","723.0","754.0","824.0","896.0","865.0","842.0","591.0","757.0","737.0","797.0","660.0","526.0","472.0","338.0","87.0","193.0","141.0","248.0","272.0","-43.0","323.0","344.0","344.0","206.0","13.0","-4.0","-32.0","42.0"
"45",NA,"Addenda for corporate cash flow:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","26","  Net cash flow with IVA","A904RC1","12,926.0","16,794.0","17,334.0","18,428.0","21,780.0","23,640.0","23,182.0","25,094.0","24,886.0","24,080.0","25,197.0","21,953.0","20,930.0","22,251.0","22,775.0","24,376.0","20,572.0","24,680.0","27,776.0","27,794.0","27,847.0","26,735.0","27,075.0","29,631.0","30,136.0","28,773.0","28,494.0","26,280.0","28,651.0","30,288.0","31,128.0","33,509.0","36,329.0","37,599.0","36,982.0","37,955.0","37,290.0","37,742.0","39,444.0","39,441.0","40,977.0","40,962.0","40,898.0","39,411.0","36,833.0","37,940.0","40,347.0","43,886.0","45,966.0","48,431.0","46,126.0","47,023.0","48,579.0","46,951.0","46,934.0","45,986.0","45,221.0","48,233.0","49,709.0","52,042.0","54,508.0","54,637.0","55,815.0","58,572.0","58,743.0","60,142.0","61,035.0","61,699.0","65,349.0","65,511.0","66,206.0","66,343.0","73,121.0","74,444.0","75,210.0","78,184.0","81,378.0","81,730.0","81,840.0","85,106.0","83,292.0","82,880.0","84,381.0","87,997.0","84,916.0","88,658.0","89,782.0","91,395.0","91,597.0","90,795.0","90,523.0","87,011.0"
"47","27","    Undistributed profits with IVA and CCAdj","A127RC1","3,890.0","7,234.0","7,276.0","7,899.0","10,807.0","12,285.0","11,502.0","13,150.0","12,736.0","11,744.0","12,692.0","9,296.0","8,140.0","9,209.0","9,361.0","10,471.0","6,057.0","9,673.0","12,394.0","12,154.0","12,067.0","10,765.0","10,863.0","13,128.0","13,292.0","11,609.0","11,034.0","8,548.0","10,668.0","12,063.0","12,667.0","14,818.0","17,413.0","18,330.0","17,240.0","17,610.0","16,216.0","15,966.0","16,985.0","16,326.0","17,226.0","16,624.0","16,016.0","14,031.0","10,994.0","11,685.0","13,715.0","16,913.0","18,681.0","20,879.0","18,310.0","18,999.0","20,334.0","18,484.0","18,247.0","17,062.0","16,022.0","18,749.0","19,919.0","21,928.0","24,084.0","23,868.0","24,699.0","27,034.0","26,880.0","27,873.0","28,321.0","28,530.0","31,693.0","31,336.0","31,444.0","30,963.0","37,079.0","37,653.0","37,637.0","39,706.0","41,935.0","41,283.0","40,424.0","42,641.0","39,781.0","38,285.0","38,658.0","41,102.0","36,791.0","39,245.0","39,010.0","39,290.0","38,052.0","35,780.0","34,010.0","28,960.0"
"48","28","    Consumption of fixed capital","A438RC1","9,036.0","9,560.0","10,058.0","10,529.0","10,973.0","11,355.0","11,680.0","11,944.0","12,150.0","12,336.0","12,505.0","12,657.0","12,790.0","13,042.0","13,414.0","13,905.0","14,515.0","15,007.0","15,382.0","15,640.0","15,780.0","15,970.0","16,212.0","16,503.0","16,844.0","17,164.0","17,460.0","17,732.0","17,983.0","18,225.0","18,461.0","18,691.0","18,912.0","19,261.0","19,734.0","20,333.0","21,058.0","21,760.0","22,439.0","23,095.0","23,727.0","24,314.0","24,858.0","25,356.0","25,811.0","26,227.0","26,604.0","26,941.0","27,241.0","27,512.0","27,756.0","27,972.0","28,161.0","28,367.0","28,591.0","28,832.0","29,091.0","29,368.0","29,662.0","29,974.0","30,304.0","30,649.0","31,008.0","31,382.0","31,771.0","32,185.0","32,622.0","33,085.0","33,572.0","34,103.0","34,678.0","35,296.0","35,958.0","36,695.0","37,509.0","38,398.0","39,363.0","40,347.0","41,352.0","42,377.0","43,423.0","44,511.0","45,639.0","46,811.0","48,025.0","49,297.0","50,628.0","52,017.0","53,465.0","54,939.0","56,441.0","57,971.0"
"49","29","    Less: Capital transfers paid (net)","W976RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-4.0","-8.0","-8.0","-12.0","-16.0","-16.0","-20.0","-20.0","-24.0","-24.0","-24.0","-24.0","-28.0","-28.0","-28.0","-32.0","-44.0","-40.0","-60.0","-52.0","-84.0","-100.0","-96.0","-92.0","-108.0","-116.0","-128.0","-140.0","-120.0","-120.0","-108.0","-156.0","-92.0","-84.0","-92.0","-84.0","-84.0","-72.0","-84.0","-84.0","-84.0","-96.0","-64.0","-80.0","-80.0","-100.0","-64.0","-88.0","-88.0","-84.0","-84.0","-84.0","-100.0","-116.0","-144.0","-88.0","-80.0","-76.0","-72.0","-80.0"
"50",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","30","  Proprietors' income with IVA and CCAdj","A041RC1","36,188.0","33,263.0","33,893.0","34,972.0","36,382.0","40,231.0","40,605.0","39,898.0","35,414.0","34,937.0","34,239.0","34,171.0","36,247.0","36,812.0","38,456.0","38,542.0","40,901.0","42,537.0","43,241.0","43,698.0","41,691.0","42,957.0","44,745.0","42,762.0","42,951.0","42,347.0","41,216.0","41,557.0","42,680.0","42,099.0","42,249.0","41,993.0","43,665.0","44,272.0","44,635.0","44,519.0","44,863.0","45,251.0","46,410.0","46,753.0","46,927.0","47,712.0","48,804.0","47,701.0","50,266.0","50,326.0","50,123.0","49,917.0","50,082.0","50,339.0","50,355.0","50,607.0","49,747.0","50,715.0","50,871.0","51,020.0","52,327.0","52,646.0","53,326.0","54,494.0","55,324.0","54,967.0","54,888.0","55,761.0","55,973.0","55,800.0","56,228.0","57,589.0","57,915.0","58,821.0","59,286.0","60,504.0","61,947.0","63,177.0","63,967.0","65,558.0","69,226.0","67,204.0","67,162.0","68,144.0","68,901.0","68,497.0","70,526.0","69,972.0","71,681.0","73,177.0","74,951.0","75,506.0","75,631.0","77,111.0","77,967.0","77,313.0"
"52","31","    Farm","B042RC1","15,980.0","12,355.0","14,098.0","14,935.0","14,486.0","17,972.0","17,924.0","16,436.0","12,707.0","12,132.0","11,615.0","11,502.0","12,228.0","12,227.0","13,104.0","13,932.0","15,015.0","15,397.0","15,148.0","15,654.0","13,714.0","14,516.0","15,974.0","13,045.0","13,010.0","12,398.0","11,732.0","11,537.0","12,860.0","11,663.0","11,788.0","10,685.0","10,922.0","11,279.0","10,692.0","9,971.0","10,193.0","10,364.0","10,879.0","10,917.0","9,949.0","10,517.0","11,049.0","10,688.0","13,326.0","12,977.0","12,142.0","11,244.0","10,869.0","9,861.0","9,360.0","10,084.0","9,643.0","10,618.0","11,009.0","11,326.0","11,548.0","10,870.0","11,044.0","11,532.0","11,861.0","11,079.0","10,668.0","11,264.0","11,403.0","10,829.0","10,679.0","11,127.0","9,873.0","9,514.0","9,295.0","10,439.0","11,431.0","11,962.0","12,207.0","12,518.0","14,857.0","12,675.0","12,304.0","12,238.0","11,927.0","11,144.0","11,959.0","11,535.0","11,605.0","11,237.0","11,786.0","12,000.0","11,565.0","12,549.0","13,142.0","14,078.0"
"53","32","      Proprietors' income with IVA","A043RC1","16,241.0","12,642.0","14,412.0","15,278.0","14,859.0","18,370.0","18,340.0","16,865.0","13,142.0","12,569.0","12,048.0","11,925.0","12,636.0","12,634.0","13,523.0","14,377.0","15,500.0","15,914.0","15,689.0","16,211.0","14,279.0","15,084.0","16,541.0","13,605.0","13,558.0","12,935.0","12,258.0","12,054.0","13,369.0","12,160.0","12,270.0","11,148.0","11,363.0","11,711.0","11,129.0","10,425.0","10,678.0","10,877.0","11,416.0","11,474.0","10,524.0","11,105.0","11,646.0","11,289.0","13,928.0","13,581.0","12,749.0","11,855.0","11,485.0","10,477.0","9,969.0","10,680.0","10,219.0","11,179.0","11,557.0","11,865.0","12,081.0","11,398.0","11,569.0","12,054.0","12,383.0","11,598.0","11,184.0","11,775.0","11,908.0","11,329.0","11,176.0","11,621.0","10,365.0","10,007.0","9,790.0","10,939.0","11,938.0","12,476.0","12,729.0","13,047.0","15,394.0","13,223.0","12,864.0","12,813.0","12,519.0","11,752.0","12,582.0","12,173.0","12,257.0","11,907.0","12,479.0","12,721.0","12,318.0","13,332.0","13,953.0","14,914.0"
"54","33","      Capital consumption adjustment","B044RC1","-261.0","-287.0","-314.0","-343.0","-373.0","-398.0","-416.0","-429.0","-435.0","-437.0","-433.0","-423.0","-408.0","-407.0","-419.0","-445.0","-485.0","-517.0","-541.0","-557.0","-565.0","-568.0","-567.0","-560.0","-548.0","-537.0","-526.0","-517.0","-509.0","-497.0","-482.0","-463.0","-441.0","-432.0","-437.0","-454.0","-485.0","-513.0","-537.0","-557.0","-575.0","-588.0","-597.0","-601.0","-602.0","-604.0","-607.0","-611.0","-616.0","-616.0","-609.0","-596.0","-576.0","-561.0","-548.0","-539.0","-533.0","-528.0","-525.0","-522.0","-522.0","-519.0","-516.0","-511.0","-505.0","-500.0","-497.0","-494.0","-492.0","-493.0","-495.0","-500.0","-507.0","-514.0","-522.0","-529.0","-537.0","-548.0","-560.0","-575.0","-592.0","-608.0","-623.0","-638.0","-652.0","-670.0","-693.0","-721.0","-753.0","-783.0","-811.0","-836.0"
"55","34","    Nonfarm","A045RC1","20,208.0","20,908.0","19,795.0","20,037.0","21,896.0","22,259.0","22,681.0","23,462.0","22,707.0","22,805.0","22,624.0","22,669.0","24,019.0","24,585.0","25,352.0","24,610.0","25,886.0","27,140.0","28,093.0","28,044.0","27,977.0","28,441.0","28,771.0","29,717.0","29,941.0","29,949.0","29,484.0","30,020.0","29,820.0","30,436.0","30,461.0","31,308.0","32,743.0","32,993.0","33,943.0","34,548.0","34,670.0","34,887.0","35,531.0","35,836.0","36,978.0","37,195.0","37,755.0","37,013.0","36,940.0","37,349.0","37,981.0","38,673.0","39,213.0","40,478.0","40,995.0","40,523.0","40,104.0","40,097.0","39,862.0","39,694.0","40,779.0","41,776.0","42,282.0","42,962.0","43,463.0","43,888.0","44,220.0","44,497.0","44,570.0","44,971.0","45,549.0","46,462.0","48,042.0","49,307.0","49,991.0","50,065.0","50,516.0","51,215.0","51,760.0","53,040.0","54,369.0","54,529.0","54,858.0","55,906.0","56,974.0","57,353.0","58,567.0","58,437.0","60,076.0","61,940.0","63,165.0","63,506.0","64,066.0","64,562.0","64,825.0","63,235.0"
"56","35","      Proprietors' income (without IVA and CCAdj)","B046RC1","22,457.0","21,931.0","21,575.0","22,004.0","22,943.0","23,445.0","23,604.0","23,294.0","22,333.0","22,141.0","22,173.0","22,714.0","24,106.0","25,225.0","27,118.0","26,790.0","27,968.0","27,635.0","27,789.0","27,919.0","28,029.0","28,365.0","28,664.0","29,460.0","30,084.0","30,065.0","30,022.0","29,947.0","29,777.0","30,300.0","30,502.0","31,514.0","32,638.0","33,401.0","34,252.0","34,907.0","35,054.0","35,466.0","35,688.0","36,324.0","37,261.0","37,505.0","37,852.0","37,375.0","37,112.0","37,552.0","38,080.0","38,996.0","39,593.0","40,798.0","41,010.0","40,636.0","40,379.0","40,223.0","39,870.0","39,869.0","41,005.0","41,955.0","42,573.0","43,289.0","43,587.0","44,101.0","44,516.0","44,446.0","44,608.0","45,074.0","45,693.0","46,538.0","48,026.0","49,274.0","50,091.0","50,206.0","50,788.0","51,558.0","52,244.0","53,705.0","54,962.0","55,224.0","55,735.0","56,441.0","57,462.0","58,062.0","59,367.0","59,312.0","60,992.0","62,735.0","63,958.0","64,377.0","65,068.0","65,308.0","65,372.0","64,232.0"
"57","36","      Inventory valuation adjustment","B179RC1","-2,200.0","-756.0","-1,392.0","-1,536.0","-628.0","-812.0","-612.0","412.0","552.0","784.0","524.0","-8.0","-40.0","-592.0","-1,692.0","-2,052.0","-1,904.0","-272.0","536.0","332.0","112.0","192.0","188.0","312.0","-108.0","-96.0","-532.0","64.0","4.0","96.0","-72.0","-224.0","160.0","-352.0","-264.0","-336.0","-456.0","-676.0","-272.0","-604.0","-368.0","-368.0","-120.0","-344.0","-80.0","-72.0","64.0","-136.0","-208.0","-140.0","164.0","56.0","-116.0","32.0","164.0","20.0","24.0","88.0","-24.0","-76.0","68.0","-56.0","-172.0","144.0","48.0","-44.0","-112.0","-68.0","-28.0","-4.0","-104.0","-88.0","-100.0","-96.0","-172.0","-296.0","-196.0","-260.0","-408.0","-32.0","24.0","-180.0","-276.0","-384.0","-428.0","-356.0","-388.0","-480.0","-688.0","-400.0","-172.0","-596.0"
"58","37","      Capital consumption adjustment","B047RC1","-49.0","-267.0","-388.0","-431.0","-419.0","-374.0","-311.0","-244.0","-178.0","-120.0","-73.0","-37.0","-47.0","-48.0","-74.0","-128.0","-178.0","-223.0","-232.0","-207.0","-164.0","-116.0","-81.0","-55.0","-35.0","-20.0","-6.0","9.0","39.0","40.0","31.0","18.0","-55.0","-56.0","-45.0","-23.0","72.0","97.0","115.0","116.0","85.0","58.0","23.0","-18.0","-92.0","-131.0","-163.0","-187.0","-172.0","-180.0","-179.0","-169.0","-159.0","-158.0","-172.0","-195.0","-250.0","-267.0","-267.0","-251.0","-192.0","-157.0","-124.0","-93.0","-86.0","-59.0","-32.0","-8.0","44.0","37.0","4.0","-53.0","-172.0","-247.0","-312.0","-369.0","-397.0","-435.0","-469.0","-503.0","-512.0","-529.0","-524.0","-491.0","-488.0","-439.0","-405.0","-391.0","-314.0","-346.0","-375.0","-401.0"
