"","Table 5#7#6A# Change in Real Private Inventories by Industry, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"35","16","  Retail trade","A153RX1","-1,456.0","1,835.0","-3,431.0","10,279.0","10,933.0","1,253.0","2,331.0","4,630.0","-4,320.0","-1,998.0","8,682.0","-7,346.0","2,151.0","5,955.0","10,031.0","13,443.0","10,611.0","2,030.0","-7,716.0","-3,784.0","-6,026.0","-4,991.0","4,239.0","6,161.0","1,994.0","4,972.0","1,883.0","-2,762.0","495.0","626.0","1,631.0","-2,316.0","9,373.0","5,882.0","4,219.0","7,552.0","1,584.0","432.0","-1,366.0","389.0","555.0","4,322.0","3,910.0","2,113.0","-4,748.0","-2,972.0","-225.0","2,651.0","5,526.0","8,981.0","1,033.0","-1,040.0","17,335.0","790.0","2,500.0","-1,368.0","-10,572.0","603.0","2,602.0","1,727.0","5,711.0","2,857.0","5,599.0","6,224.0","3,871.0","90.0","4,655.0","8,290.0","6,622.0","8,284.0","7,275.0","-4,487.0","16,305.0","7,089.0","3,586.0","7,703.0","9,075.0","13,863.0","-865.0","8,831.0","1,712.0","-3,440.0","-4,016.0","5,623.0","9,091.0","9,474.0","-656.0","17,103.0","5,124.0","5,005.0","13,379.0","7,408.0"
"36","17","    Durable goods","C630RX1","6,407.0","1,626.0","1,896.0","1,687.0","7,514.0","863.0","388.0","1,966.0","-2,140.0","-3,509.0","9,235.0","-7,627.0","-2,833.0","3,910.0","3,979.0","13,568.0","3,352.0","3,635.0","-1,033.0","-2,946.0","-3,103.0","-3,160.0","410.0","3,696.0","2,824.0","2,332.0","2,920.0","-3,173.0","-1,504.0","353.0","113.0","-2,249.0","5,095.0","4,807.0","946.0","3,774.0","1,146.0","-3,108.0","-1,791.0","-388.0","-270.0","3,217.0","3,565.0","2,192.0","-4,210.0","-3,670.0","-1,787.0","893.0","3,190.0","4,968.0","-1,015.0","-3,053.0","10,490.0","1,631.0","717.0","-628.0","-8,585.0","-1,129.0","-1,116.0","-598.0","1,039.0","313.0","4,099.0","2,514.0","580.0","-984.0","2,460.0","6,233.0","4,515.0","3,005.0","4,096.0","-5,722.0","10,969.0","4,710.0","3,185.0","2,066.0","4,636.0","8,741.0","-2,172.0","3,943.0","-3,729.0","-4,718.0","-2,909.0","2,977.0","5,126.0","8,403.0","-3,125.0","13,472.0","1,897.0","-392.0","8,534.0","4,574.0"
"37","18","      Motor vehicle dealers \2\","C631RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","3,093.0","4,935.0","-1,856.0","-4,156.0","11,585.0","2,146.0","938.0","-841.0","-8,852.0","58.0","-32.0","35.0","949.0","-262.0","3,068.0","3,111.0","1,409.0","-1,007.0","1,772.0","5,777.0","3,365.0","1,597.0","4,853.0","-8,874.0","8,933.0","5,955.0","3,138.0","3,693.0","780.0","6,784.0","-4,307.0","5,662.0","-3,768.0","-7,453.0","-4,464.0","3,546.0","4,946.0","6,712.0","-5,344.0","13,414.0","690.0","-1,613.0","6,383.0","4,012.0"
"38","19","      Other \2\","A632RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","393.0","537.0","547.0","539.0","276.0","-219.0","-94.0","95.0","-710.0","-1,026.0","-945.0","-546.0","178.0","475.0","1,220.0","-192.0","-574.0","-91.0","789.0","1,023.0","1,370.0","1,403.0","-95.0","1,718.0","2,773.0","-394.0","405.0","-967.0","3,400.0","2,493.0","1,280.0","-771.0","-407.0","1,458.0","826.0","-70.0","722.0","2,231.0","1,290.0","1,635.0","1,118.0","862.0","2,597.0","948.0"
"39","20","    Nondurable goods","C633RX1","-7,224.0","237.0","-5,055.0","8,247.0","3,430.0","365.0","1,850.0","2,566.0","-2,114.0","1,685.0","-1,028.0","644.0","5,179.0","1,850.0","5,918.0","-699.0","7,151.0","-1,763.0","-6,690.0","-722.0","-2,804.0","-1,681.0","3,905.0","2,288.0","-1,069.0","2,557.0","-1,311.0","676.0","2,201.0","260.0","1,576.0","128.0","4,014.0","667.0","3,352.0","3,599.0","343.0","4,165.0","671.0","891.0","918.0","781.0","-78.0","-370.0","-18.0","1,260.0","1,945.0","1,799.0","2,091.0","3,663.0","2,392.0","2,649.0","5,984.0","-1,135.0","1,845.0","-714.0","-1,024.0","2,030.0","4,191.0","2,597.0","4,926.0","2,715.0","1,087.0","3,689.0","3,481.0","1,279.0","2,057.0","1,443.0","1,718.0","5,323.0","2,932.0","2,018.0","4,454.0","2,036.0","103.0","5,801.0","4,252.0","4,582.0","1,583.0","4,796.0","6,166.0","1,854.0","-863.0","2,516.0","3,664.0","246.0","2,945.0","2,434.0","3,227.0","5,760.0","4,300.0","2,549.0"
"40","21","  Other","A154RX1","-3,601.0","1,292.0","3,894.0","4,047.0","-2,329.0","-425.0","169.0","636.0","0.0","-2,833.0","-4,071.0","-4,402.0","1,148.0","995.0","1,866.0","8,721.0","1,375.0","2,655.0","3,188.0","4,608.0","3,894.0","1,288.0","-289.0","-3,840.0","-2,127.0","-4,154.0","-2,816.0","-3,258.0","665.0","-355.0","132.0","231.0","-1,553.0","169.0","-1,346.0","-2,275.0","3,047.0","2,032.0","2,081.0","4,414.0","1,590.0","-211.0","3,568.0","3,126.0","-29.0","0.0","-99.0","-103.0","657.0","2,445.0","610.0","2,959.0","131.0","2,748.0","1,627.0","327.0","2,947.0","3,899.0","2,991.0","6,120.0","-364.0","767.0","-429.0","-506.0","3,447.0","3,225.0","1,136.0","3,932.0","1,631.0","5,277.0","2,594.0","1,776.0","1,713.0","3,664.0","1,020.0","1,880.0","-78.0","-480.0","1,390.0","4,544.0","3,031.0","5,674.0","8,710.0","7,024.0","3,195.0","20.0","3,017.0","347.0","2,914.0","4,916.0","3,672.0","817.0"
"41","22","    Durable goods","C636RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","998.0","380.0","-582.0","583.0","67.0","-45.0","184.0","697.0","1,604.0","925.0","1,603.0","1,516.0","535.0","557.0","442.0","-140.0","468.0","303.0","-185.0","-718.0","877.0","597.0","-689.0","551.0","1,212.0","1,321.0","-113.0","-113.0","-1,228.0","-919.0","-175.0","946.0","-614.0","921.0","1,256.0","1,057.0","-1,176.0","-1,742.0","-1,212.0","-1,143.0","-2,006.0","-86.0","2,486.0","-450.0"
"42","23","    Nondurable goods","C637RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-461.0","2,079.0","1,303.0","2,379.0","56.0","2,882.0","1,463.0","-451.0","1,223.0","2,960.0","1,233.0","4,570.0","-988.0","148.0","-947.0","-355.0","3,009.0","2,967.0","1,381.0","4,876.0","665.0","4,747.0","3,477.0","1,194.0","397.0","2,278.0","1,182.0","2,061.0","1,275.0","522.0","1,606.0","3,604.0","3,759.0","4,804.0","7,542.0","6,034.0","4,563.0","1,972.0","4,486.0","1,685.0","5,367.0","5,138.0","924.0","1,292.0"
"43","24","Residual","A969RX1","-400.0","-3,300.0","-7,000.0","-5,300.0","1,400.0","1,900.0","1,700.0","2,200.0","-1,800.0","1,100.0","3,100.0","1,300.0","-2,000.0","-2,000.0","300.0","-8,100.0","-1,600.0","-6,700.0","-6,000.0","-3,200.0","-3,100.0","2,500.0","1,400.0","1,700.0","1,900.0","2,600.0","2,600.0","2,200.0","-400.0","-800.0","200.0","-1,400.0","1,600.0","-100.0","300.0","2,400.0","800.0","-500.0","-3,400.0","-1,300.0","-100.0","2,000.0","1,000.0","-900.0","-2,100.0","-1,100.0","600.0","-400.0","300.0","-900.0","-3,400.0","-3,400.0","4,400.0","-2,300.0","300.0","-2,100.0","-6,600.0","-3,500.0","500.0","-900.0","3,200.0","-900.0","2,200.0","-200.0","800.0","-900.0","-1,400.0","-3,200.0","0.0","-1,100.0","300.0","0.0","3,200.0","1,100.0","2,600.0","-200.0","2,200.0","1,100.0","4,100.0","-2,300.0","-500.0","1,000.0","-3,700.0","-2,000.0","1,400.0","800.0","-1,400.0","1,200.0","400.0","-1,300.0","-1,200.0","2,700.0"
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","1. Beginning with 1991, includes change in farm materials and supplies inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2. Prior to 1981, inventories of auto and home supply stores are included in motor vehicle dealers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Beginning with 1981, these inventories are included in 'other durable goods.'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Note. Estimates for nonfarm industries other than manufacturing and trade for 1986 and earlier periods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","are based on the 1972 Standard Industrial Classification (SIC). Manufacturing estimates for 1981 and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","earlier periods and trade estimates for 1966 and earlier periods are based on the 1972 SIC; later estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","for these industries are based on the 1987 SIC. The resulting discontinuities are small.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Note. Chained (2009) dollar series for real change in private inventories are calculated as the period-to-period",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","change in chained-dollar end-of-period inventories. Quarterly changes in end-of-period inventories are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","stated at annual rates. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","than one period, the corresponding chained-dollar estimates are usually not additive. The residual line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","is the difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
