"","Table 4#1# Foreign Transactions in the National Income and Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"37","18","Imports of goods and services","B021RC1","7,519.0","8,203.0","7,663.0","8,347.0","9,624.0","10,036.0","10,456.0","10,124.0","9,604.0","9,364.0","8,936.0","9,092.0","9,501.0","10,229.0","13,033.0","13,685.0","14,866.0","15,178.0","14,310.0","13,990.0","14,958.0","14,630.0","15,250.0","16,342.0","15,795.0","16,447.0","16,307.0","15,507.0","14,780.0","16,184.0","15,304.0","15,460.0","16,169.0","17,097.0","17,421.0","18,109.0","18,925.0","18,973.0","19,253.0","18,541.0","20,100.0","20,270.0","19,762.0","19,634.0","19,455.0","20,075.0","19,739.0","20,823.0","21,396.0","22,544.0","22,868.0","22,504.0","23,288.0","23,455.0","22,879.0","21,742.0","21,658.0","21,899.0","23,326.0","23,870.0","24,314.0","24,884.0","25,111.0","25,550.0","25,185.0","25,890.0","26,704.0","26,764.0","26,978.0","27,726.0","28,429.0","29,285.0","28,457.0","31,679.0","32,030.0","33,948.0","34,990.0","36,240.0","38,171.0","38,829.0","39,432.0","39,020.0","39,543.0","41,653.0","44,399.0","45,416.0","48,241.0","48,171.0","43,803.0","52,671.0","52,364.0","53,126.0"
"38","19","  Goods \1\","A255RC1","5,612.0","6,292.0","5,828.0","6,160.0","7,340.0","7,644.0","7,708.0","7,536.0","7,164.0","6,852.0","6,620.0","6,860.0","7,184.0","7,808.0","10,464.0","10,868.0","11,772.0","12,040.0","10,808.0","10,084.0","10,696.0","10,604.0","10,768.0","11,284.0","10,988.0","11,516.0","11,152.0","10,244.0","9,976.0","11,048.0","10,224.0","10,164.0","11,104.0","11,232.0","11,296.0","12,476.0","13,020.0","12,692.0","12,620.0","12,880.0","13,188.0","13,376.0","13,060.0","13,540.0","12,580.0","12,668.0","12,780.0","13,780.0","14,484.0","15,532.0","15,796.0","15,428.0","15,700.0","15,888.0","15,056.0","14,236.0","14,064.0","14,256.0","15,760.0","16,132.0","16,440.0","16,920.0","17,084.0","17,032.0","16,916.0","17,568.0","18,152.0","18,216.0","18,344.0","19,080.0","19,720.0","20,424.0","19,552.0","22,436.0","22,808.0","24,192.0","24,852.0","25,612.0","27,160.0","27,712.0","27,704.0","26,796.0","27,012.0","29,532.0","32,116.0","33,152.0","35,408.0","35,108.0","30,772.0","39,116.0","38,536.0","38,828.0"
"39","20","    Durable","A333RC1","1,659.0","1,886.0","1,796.0","1,923.0","2,324.0","2,419.0","2,439.0","2,354.0","2,208.0","2,140.0","2,013.0","2,115.0","2,264.0","2,525.0","3,471.0","3,696.0","4,021.0","4,114.0","3,692.0","3,445.0","3,785.0","3,973.0","4,169.0","4,509.0","4,405.0","4,420.0","4,092.0","3,543.0","3,411.0","3,680.0","3,769.0","3,640.0","4,148.0","4,343.0","4,472.0","4,905.0","5,121.0","5,093.0","4,946.0","5,528.0","5,219.0","5,412.0","5,184.0","5,329.0","4,882.0","4,664.0","4,963.0","5,351.0","5,892.0","6,708.0","6,942.0","6,968.0","7,148.0","6,632.0","6,160.0","5,524.0","5,424.0","5,628.0","6,444.0","6,672.0","6,876.0","7,004.0","6,984.0","6,920.0","6,984.0","7,312.0","7,672.0","7,608.0","7,808.0","8,240.0","8,696.0","8,864.0","9,048.0","10,420.0","10,632.0","11,556.0","12,016.0","12,604.0","13,876.0","14,612.0","14,286.0","13,952.0","14,274.0","15,672.0","17,936.0","18,420.0","19,270.0","19,678.0","17,264.0","22,168.0","21,818.0","21,778.0"
"40","21","    Nondurable","A340RC1","3,953.0","4,406.0","4,032.0","4,237.0","5,016.0","5,225.0","5,269.0","5,182.0","4,956.0","4,712.0","4,607.0","4,745.0","4,920.0","5,283.0","6,993.0","7,172.0","7,751.0","7,926.0","7,116.0","6,639.0","6,911.0","6,631.0","6,599.0","6,775.0","6,583.0","7,096.0","7,060.0","6,701.0","6,565.0","7,368.0","6,455.0","6,524.0","6,956.0","6,889.0","6,824.0","7,571.0","7,899.0","7,599.0","7,674.0","7,352.0","7,969.0","7,964.0","7,876.0","8,211.0","7,698.0","8,004.0","7,817.0","8,429.0","8,592.0","8,824.0","8,854.0","8,460.0","8,552.0","9,256.0","8,896.0","8,712.0","8,640.0","8,628.0","9,316.0","9,460.0","9,564.0","9,916.0","10,100.0","10,112.0","9,932.0","10,256.0","10,480.0","10,608.0","10,536.0","10,840.0","11,024.0","11,560.0","10,504.0","12,016.0","12,176.0","12,636.0","12,836.0","13,008.0","13,284.0","13,100.0","13,418.0","12,844.0","12,738.0","13,860.0","14,180.0","14,732.0","16,138.0","15,430.0","13,508.0","16,948.0","16,718.0","17,050.0"
"41","22","  Services \1\","B656RC1","1,907.0","1,911.0","1,835.0","2,187.0","2,284.0","2,392.0","2,748.0","2,588.0","2,440.0","2,512.0","2,316.0","2,232.0","2,317.0","2,421.0","2,569.0","2,817.0","3,094.0","3,138.0","3,502.0","3,906.0","4,262.0","4,026.0","4,482.0","5,058.0","4,807.0","4,931.0","5,155.0","5,263.0","4,804.0","5,136.0","5,080.0","5,296.0","5,065.0","5,865.0","6,125.0","5,633.0","5,905.0","6,281.0","6,633.0","5,661.0","6,912.0","6,894.0","6,702.0","6,094.0","6,875.0","7,407.0","6,959.0","7,043.0","6,912.0","7,012.0","7,072.0","7,076.0","7,588.0","7,567.0","7,823.0","7,506.0","7,594.0","7,643.0","7,566.0","7,738.0","7,874.0","7,964.0","8,027.0","8,518.0","8,269.0","8,322.0","8,552.0","8,548.0","8,634.0","8,646.0","8,709.0","8,861.0","8,905.0","9,243.0","9,222.0","9,756.0","10,138.0","10,628.0","11,011.0","11,117.0","11,728.0","12,224.0","12,531.0","12,121.0","12,283.0","12,264.0","12,833.0","13,063.0","13,031.0","13,555.0","13,828.0","14,298.0"
"42","23","Income payments","A655RC1","466.0","465.0","461.0","556.0","533.0","545.0","649.0","573.0","666.0","647.0","667.0","675.0","708.0","732.0","761.0","783.0","863.0","877.0","864.0","852.0","813.0","873.0","883.0","918.0","917.0","915.0","947.0","996.0","955.0","948.0","934.0","939.0","975.0","1,065.0","1,094.0","1,099.0","1,118.0","1,097.0","1,159.0","1,175.0","1,195.0","1,194.0","1,228.0","1,236.0","1,256.0","1,172.0","1,234.0","1,300.0","1,379.0","1,457.0","1,549.0","1,648.0","1,842.0","1,788.0","1,770.0","1,701.0","1,724.0","1,741.0","1,814.0","1,873.0","1,803.0","1,839.0","1,858.0","1,887.0","1,912.0","2,010.0","2,103.0","2,188.0","2,230.0","2,293.0","2,305.0","2,448.0","2,489.0","2,550.0","2,635.0","2,734.0","2,801.0","2,884.0","3,103.0","3,217.0","3,232.0","3,239.0","3,242.0","3,442.0","3,699.0","3,987.0","4,137.0","4,245.0","4,750.0","5,373.0","6,112.0","6,421.0"
"43","24","  Wage and salary payments","B4189C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"44","25","  Income payments on assets","W161RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"45","26","    Interest","B1869C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"46","27","    Dividends","B3376C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"47","28","    Reinvested earnings on foreign direct investment in the United States","B3476C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"48","29","Current taxes and transfer payments to the rest of the world \2\","A123RC1","2,448.0","2,516.0","2,820.0","2,728.0","3,768.0","3,660.0","5,500.0","5,176.0","5,672.0","5,904.0","5,804.0","5,164.0","4,388.0","4,204.0","3,548.0","3,944.0","3,424.0","3,476.0","3,548.0","3,664.0","2,200.0","2,844.0","3,032.0","2,160.0","2,588.0","2,628.0","2,436.0","2,424.0","2,132.0","1,916.0","2,688.0","2,580.0","3,044.0","2,472.0","2,364.0","2,340.0","2,348.0","2,516.0","2,480.0","2,556.0","2,348.0","2,660.0","2,316.0","2,328.0","2,232.0","2,344.0","2,412.0","2,468.0","4,512.0","4,720.0","4,008.0","4,480.0","3,920.0","4,676.0","3,632.0","4,352.0","4,040.0","4,916.0","3,652.0","4,268.0","4,500.0","5,024.0","3,760.0","4,296.0","4,512.0","5,552.0","3,728.0","4,084.0","4,080.0","5,204.0","3,864.0","4,320.0","4,288.0","6,060.0","4,204.0","4,404.0","4,732.0","6,368.0","4,452.0","4,944.0","5,412.0","6,044.0","5,408.0","4,996.0","5,260.0","5,724.0","6,068.0","6,556.0","4,900.0","6,760.0","5,472.0","6,636.0"
"49","30","  From persons","LA0000021","724.0","616.0","692.0","620.0","752.0","692.0","644.0","624.0","544.0","524.0","480.0","476.0","472.0","444.0","416.0","420.0","392.0","368.0","392.0","404.0","392.0","384.0","436.0","436.0","472.0","476.0","488.0","460.0","388.0","408.0","668.0","444.0","428.0","420.0","412.0","424.0","496.0","496.0","512.0","512.0","544.0","516.0","488.0","472.0","440.0","436.0","404.0","460.0","456.0","472.0","480.0","480.0","448.0","468.0","488.0","512.0","508.0","472.0","508.0","516.0","540.0","556.0","560.0","560.0","676.0","620.0","664.0","664.0","660.0","700.0","732.0","752.0","736.0","820.0","816.0","820.0","752.0","792.0","816.0","776.0","860.0","1,352.0","980.0","900.0","936.0","944.0","1,104.0","1,012.0","992.0","1,180.0","1,120.0","1,168.0"
"50","31","  From government","B088RC1","1,724.0","1,900.0","2,128.0","2,108.0","3,016.0","2,968.0","4,856.0","4,552.0","5,128.0","5,380.0","5,324.0","4,688.0","3,916.0","3,760.0","3,132.0","3,524.0","3,032.0","3,108.0","3,156.0","3,260.0","1,808.0","2,460.0","2,596.0","1,724.0","2,116.0","2,152.0","1,948.0","1,964.0","1,744.0","1,508.0","2,020.0","2,136.0","2,616.0","2,052.0","1,952.0","1,916.0","1,852.0","2,020.0","1,968.0","2,044.0","1,804.0","2,144.0","1,828.0","1,856.0","1,792.0","1,908.0","2,008.0","2,008.0","3,980.0","4,172.0","3,444.0","3,912.0","3,392.0","4,128.0","3,060.0","3,740.0","3,432.0","4,336.0","3,036.0","3,632.0","3,840.0","4,348.0","3,080.0","3,604.0","3,704.0","4,792.0","2,928.0","3,268.0","3,260.0","4,336.0","2,964.0","3,384.0","3,368.0","5,052.0","3,204.0","3,384.0","3,772.0","5,356.0","3,412.0","3,928.0","4,308.0","4,444.0","4,184.0","3,840.0","4,068.0","4,524.0","4,696.0","5,272.0","3,632.0","5,288.0","4,044.0","5,132.0"
"51","32","  From business","W164RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","76.0","76.0","84.0","88.0","80.0","80.0","84.0","100.0","100.0","108.0","108.0","120.0","120.0","120.0","120.0","132.0","132.0","140.0","136.0","152.0","160.0","168.0","168.0","184.0","184.0","188.0","184.0","200.0","208.0","220.0","224.0","240.0","244.0","248.0","244.0","256.0","256.0","256.0","268.0","272.0","276.0","292.0","308.0","336.0"
"52","33","    Balance on current account, NIPAs","A124RC1","9,405.0","9,873.0","10,081.0","7,797.0","4,916.0","3,024.0","932.0","796.0","2,192.0","1,708.0","648.0","-1,032.0","-957.0","-1,245.0","-2,681.0","-2,489.0","-1,710.0","350.0","2,190.0","2,678.0","3,522.0","1,126.0","-1,054.0","-1,234.0","-1,347.0","-1,827.0","-1,179.0","-931.0","-488.0","336.0","-76.0","908.0","483.0","-229.0","807.0","427.0","943.0","2,231.0","3,023.0","4,531.0","5,556.0","4,806.0","4,914.0","3,594.0","1,477.0","821.0","1,049.0","-143.0","-1,524.0","-2,108.0","-580.0","-876.0","1,724.0","2,487.0","3,697.0","4,778.0","5,333.0","4,017.0","3,759.0","3,745.0","3,051.0","4,768.0","4,130.0","3,248.0","3,878.0","5,318.0","4,625.0","5,964.0","8,241.0","6,741.0","7,561.0","7,326.0","5,748.0","7,038.0","5,950.0","5,895.0","4,683.0","3,916.0","2,720.0","3,915.0","4,372.0","3,556.0","3,177.0","2,827.0","1,656.0","2,218.0","1,472.0","782.0","1,605.0","645.0","1,452.0","2,714.0"
"53",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","34","  Net lending or net borrowing (-), NIPAs","W162RC1","9,405.0","9,873.0","10,081.0","7,797.0","4,916.0","3,024.0","932.0","796.0","2,192.0","1,708.0","648.0","-1,032.0","-957.0","-1,245.0","-2,681.0","-2,489.0","-1,710.0","350.0","2,190.0","2,678.0","3,522.0","1,126.0","-1,054.0","-1,234.0","-1,347.0","-1,827.0","-1,179.0","-931.0","-488.0","336.0","-76.0","908.0","483.0","-229.0","807.0","427.0","943.0","2,231.0","3,023.0","4,531.0","5,556.0","4,806.0","4,914.0","3,594.0","1,477.0","821.0","1,049.0","-143.0","-1,524.0","-2,108.0","-580.0","-876.0","1,724.0","2,487.0","3,697.0","4,778.0","5,333.0","4,017.0","3,759.0","3,745.0","3,051.0","4,768.0","4,130.0","3,248.0","3,878.0","5,318.0","4,625.0","5,964.0","8,241.0","6,741.0","7,561.0","7,326.0","5,748.0","7,038.0","5,950.0","5,895.0","4,683.0","3,916.0","2,720.0","3,915.0","4,372.0","3,556.0","3,177.0","2,827.0","1,656.0","2,218.0","1,472.0","782.0","1,601.0","645.0","1,448.0","2,714.0"
"55","35","    Balance on current account, NIPAs","A124RC1","9,405.0","9,873.0","10,081.0","7,797.0","4,916.0","3,024.0","932.0","796.0","2,192.0","1,708.0","648.0","-1,032.0","-957.0","-1,245.0","-2,681.0","-2,489.0","-1,710.0","350.0","2,190.0","2,678.0","3,522.0","1,126.0","-1,054.0","-1,234.0","-1,347.0","-1,827.0","-1,179.0","-931.0","-488.0","336.0","-76.0","908.0","483.0","-229.0","807.0","427.0","943.0","2,231.0","3,023.0","4,531.0","5,556.0","4,806.0","4,914.0","3,594.0","1,477.0","821.0","1,049.0","-143.0","-1,524.0","-2,108.0","-580.0","-876.0","1,724.0","2,487.0","3,697.0","4,778.0","5,333.0","4,017.0","3,759.0","3,745.0","3,051.0","4,768.0","4,130.0","3,248.0","3,878.0","5,318.0","4,625.0","5,964.0","8,241.0","6,741.0","7,561.0","7,326.0","5,748.0","7,038.0","5,950.0","5,895.0","4,683.0","3,916.0","2,720.0","3,915.0","4,372.0","3,556.0","3,177.0","2,827.0","1,656.0","2,218.0","1,472.0","782.0","1,605.0","645.0","1,452.0","2,714.0"
"56","36","    Less: Capital account transactions (net) \3\","W167RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","4.0","0.0","4.0","0.0"
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","government, are included in services. Beginning with 1986, repairs and alterations of equipment are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2. Prior to 1999, current taxes, contributions for government social insurance, and transfer receipts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","from the rest of the world (line 13) are not separately displayed, and line 29 includes current taxes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","and transfer payments to the rest of the world net of current taxes, contributions for government social",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","insurance, and transfer receipts from the rest of the world.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","3. Consists of capital transfers and the acquisition and disposal of nonproduced nonfinancial assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Prior to 1982, reflects only capital grants paid to the U.S. territories and the Commonwealths of Puerto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Rico and Northern Mariana Islands.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
