"","Table 2#7B# Wages and Salaries by Industry, Monthly","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177"
"21","2","Private industries","A132RC1","4,159,349.0","4,182,914.0","4,192,463.0","4,163,505.0","4,145,872.0","4,135,436.0","4,119,531.0","4,106,500.0","4,097,980.0","4,092,921.0","4,095,662.0","4,097,124.0","4,086,962.0","4,084,824.0","4,100,835.0","4,114,435.0","4,126,750.0","4,149,627.0","4,125,328.0","4,132,570.0","4,141,254.0","4,139,013.0","4,140,591.0","4,136,884.0","4,116,995.0","4,120,260.0","4,141,129.0","4,156,316.0","4,197,432.0","4,214,916.0","4,224,437.0","4,252,341.0","4,276,977.0","4,310,967.0","4,346,933.0","4,335,748.0","4,333,687.0","4,333,203.0","4,351,668.0","4,386,254.0","4,447,670.0","4,465,197.0","4,512,297.0","4,541,693.0","4,555,381.0","4,568,353.0","4,558,746.0","4,577,078.0","4,587,869.0","4,600,477.0","4,603,903.0","4,633,524.0","4,648,620.0","4,673,989.0","4,723,655.0","4,739,684.0","4,765,063.0","4,794,206.0","4,808,204.0","4,826,178.0","4,919,178.0","4,967,355.0","4,985,303.0","5,003,312.0","4,971,450.0","4,986,507.0","5,006,667.0","5,012,966.0","5,040,617.0","5,076,430.0","5,116,037.0","5,183,371.0","5,235,469.0","5,279,012.0","5,300,797.0","5,291,169.0","5,280,961.0","5,293,291.0","5,298,577.0","5,285,622.0","5,320,240.0","5,326,910.0","5,364,650.0","5,399,156.0","5,396,337.0","5,407,527.0","5,430,474.0","5,396,150.0","5,393,691.0","5,391,377.0","5,382,726.0","5,396,492.0","5,399,525.0","5,416,888.0","5,372,599.0","5,269,374.0","5,125,361.0","5,049,204.0","5,016,544.0","5,062,722.0","5,090,814.0","5,087,402.0","5,061,780.0","5,060,682.0","5,061,309.0","5,080,773.0","5,108,791.0","5,109,614.0","5,068,171.0","5,030,486.0","5,057,773.0","5,129,369.0","5,187,166.0","5,189,633.0","5,219,996.0","5,240,927.0","5,247,284.0","5,272,984.0","5,276,765.0","5,316,652.0","5,370,208.0","5,397,327.0","5,408,405.0","5,405,773.0","5,408,434.0","5,436,076.0","5,503,374.0","5,489,507.0","5,480,833.0","5,445,847.0","5,422,767.0","5,492,286.0","5,589,301.0","5,651,760.0","5,682,272.0","5,696,201.0","5,669,398.0","5,681,578.0","5,669,822.0","5,691,373.0","5,770,820.0","5,806,542.0","5,892,957.0","5,982,280.0","5,748,679.0","5,798,109.0","5,817,647.0","5,844,670.0","5,898,200.0","5,937,701.0","5,915,398.0","5,942,642.0","5,958,367.0","5,967,424.0","6,020,756.0","6,031,533.0","6,086,680.0","6,125,623.0","6,167,422.0","6,163,382.0","6,176,767.0","6,200,878.0","6,228,962.0","6,281,124.0","6,302,132.0","6,337,133.0","6,401,811.0","6,414,389.0","6,422,871.0","6,420,168.0","6,417,985.0","6,434,541.0","6,464,139.0","6,480,098.0"
"22","3","  Goods-producing industries","N231RC1","1,067,282.0","1,070,580.0","1,071,502.0","1,063,782.0","1,053,934.0","1,045,155.0","1,043,216.0","1,029,869.0","1,025,843.0","1,022,334.0","1,020,247.0","1,018,840.0","1,011,309.0","1,012,134.0","1,016,205.0","1,014,585.0","1,016,955.0","1,019,572.0","1,011,129.0","1,008,210.0","1,008,682.0","1,005,511.0","1,004,687.0","1,006,271.0","997,195.0","994,291.0","998,521.0","994,572.0","1,003,429.0","1,006,701.0","998,302.0","1,005,830.0","1,017,319.0","1,031,266.0","1,043,068.0","1,035,022.0","1,023,428.0","1,018,155.0","1,022,290.0","1,033,788.0","1,051,972.0","1,056,225.0","1,068,462.0","1,076,868.0","1,076,973.0","1,069,868.0","1,066,511.0","1,071,909.0","1,080,397.0","1,084,539.0","1,083,903.0","1,087,714.0","1,090,850.0","1,094,142.0","1,105,838.0","1,113,519.0","1,114,998.0","1,121,552.0","1,116,214.0","1,117,146.0","1,156,297.0","1,176,380.0","1,177,784.0","1,173,451.0","1,164,746.0","1,163,937.0","1,163,694.0","1,164,172.0","1,164,630.0","1,173,053.0","1,178,973.0","1,196,215.0","1,205,304.0","1,202,886.0","1,208,156.0","1,215,369.0","1,210,688.0","1,207,357.0","1,207,827.0","1,198,085.0","1,210,269.0","1,202,431.0","1,215,219.0","1,222,137.0","1,215,583.0","1,212,111.0","1,224,384.0","1,211,173.0","1,210,281.0","1,210,876.0","1,200,939.0","1,200,392.0","1,193,069.0","1,198,637.0","1,189,051.0","1,155,274.0","1,112,251.0","1,090,906.0","1,070,431.0","1,065,044.0","1,055,637.0","1,049,785.0","1,042,134.0","1,040,614.0","1,036,947.0","1,040,827.0","1,046,900.0","1,044,068.0","1,030,361.0","1,015,198.0","1,024,536.0","1,041,401.0","1,058,663.0","1,052,160.0","1,059,520.0","1,066,391.0","1,067,106.0","1,070,302.0","1,074,100.0","1,080,151.0","1,092,232.0","1,088,070.0","1,096,569.0","1,093,460.0","1,095,821.0","1,096,886.0","1,112,473.0","1,112,986.0","1,111,483.0","1,104,107.0","1,092,897.0","1,112,814.0","1,138,176.0","1,150,980.0","1,152,090.0","1,160,883.0","1,146,634.0","1,151,072.0","1,151,413.0","1,146,802.0","1,156,960.0","1,151,248.0","1,163,609.0","1,195,990.0","1,149,721.0","1,183,096.0","1,186,252.0","1,178,760.0","1,187,094.0","1,194,346.0","1,187,791.0","1,195,787.0","1,198,698.0","1,197,977.0","1,208,612.0","1,212,876.0","1,221,287.0","1,233,629.0","1,246,010.0","1,242,778.0","1,250,422.0","1,257,867.0","1,258,351.0","1,267,348.0","1,274,071.0","1,285,482.0","1,297,930.0","1,295,326.0","1,294,171.0","1,287,923.0","1,286,473.0","1,285,118.0","1,285,575.0","1,284,195.0"
"23","4","    Manufacturing","N552RC1","742,331.0","740,491.0","737,667.0","733,277.0","721,785.0","712,486.0","711,101.0","698,327.0","695,042.0","691,825.0","689,639.0","686,481.0","679,118.0","679,167.0","683,373.0","683,572.0","687,218.0","689,314.0","680,899.0","677,724.0","677,487.0","675,118.0","673,666.0","674,198.0","667,853.0","666,745.0","670,322.0","664,175.0","670,104.0","671,367.0","663,633.0","668,608.0","676,471.0","687,630.0","696,212.0","687,733.0","677,980.0","672,759.0","673,363.0","681,253.0","693,396.0","694,155.0","703,031.0","709,207.0","709,600.0","704,660.0","700,600.0","703,118.0","707,526.0","705,937.0","703,437.0","705,675.0","707,482.0","707,038.0","711,849.0","714,821.0","713,839.0","720,256.0","713,855.0","712,707.0","733,250.0","743,055.0","742,581.0","740,263.0","733,988.0","733,269.0","734,470.0","733,887.0","732,606.0","737,021.0","737,729.0","749,941.0","754,337.0","752,234.0","754,054.0","757,848.0","753,567.0","749,966.0","752,317.0","745,376.0","751,211.0","742,533.0","751,074.0","755,877.0","749,673.0","747,604.0","753,371.0","745,263.0","745,740.0","748,604.0","743,043.0","740,809.0","735,145.0","738,369.0","730,307.0","709,045.0","683,859.0","674,237.0","664,104.0","665,698.0","658,062.0","653,822.0","648,957.0","648,910.0","650,460.0","657,619.0","665,274.0","664,039.0","653,750.0","642,537.0","651,272.0","665,119.0","679,466.0","673,693.0","679,059.0","682,069.0","685,053.0","687,699.0","691,274.0","697,672.0","705,878.0","700,561.0","709,889.0","704,431.0","705,637.0","703,548.0","713,005.0","710,915.0","708,725.0","707,231.0","698,867.0","711,836.0","726,419.0","732,548.0","731,263.0","739,091.0","729,916.0","733,227.0","734,141.0","730,036.0","734,669.0","727,978.0","734,679.0","757,470.0","722,919.0","747,712.0","748,578.0","741,781.0","744,215.0","749,052.0","743,987.0","750,034.0","750,941.0","748,999.0","755,081.0","758,551.0","763,417.0","769,437.0","778,534.0","771,343.0","775,305.0","778,632.0","776,934.0","781,801.0","785,538.0","792,604.0","799,454.0","797,320.0","796,335.0","792,592.0","790,997.0","790,334.0","790,881.0","789,899.0"
"24","5","  Services-producing industries","N233RC1","3,092,067.0","3,112,333.0","3,120,961.0","3,099,722.0","3,091,938.0","3,090,281.0","3,076,316.0","3,076,631.0","3,072,137.0","3,070,587.0","3,075,415.0","3,078,284.0","3,075,653.0","3,072,690.0","3,084,630.0","3,099,851.0","3,109,796.0","3,130,056.0","3,114,199.0","3,124,360.0","3,132,572.0","3,133,502.0","3,135,904.0","3,130,613.0","3,119,801.0","3,125,969.0","3,142,608.0","3,161,744.0","3,194,003.0","3,208,215.0","3,226,136.0","3,246,511.0","3,259,658.0","3,279,701.0","3,303,866.0","3,300,726.0","3,310,259.0","3,315,048.0","3,329,378.0","3,352,466.0","3,395,698.0","3,408,972.0","3,443,835.0","3,464,825.0","3,478,408.0","3,498,485.0","3,492,235.0","3,505,169.0","3,507,473.0","3,515,937.0","3,520,000.0","3,545,810.0","3,557,770.0","3,579,847.0","3,617,817.0","3,626,165.0","3,650,065.0","3,672,654.0","3,691,989.0","3,709,031.0","3,762,882.0","3,790,976.0","3,807,518.0","3,829,861.0","3,806,704.0","3,822,570.0","3,842,974.0","3,848,794.0","3,875,987.0","3,903,377.0","3,937,064.0","3,987,156.0","4,030,166.0","4,076,126.0","4,092,641.0","4,075,799.0","4,070,274.0","4,085,934.0","4,090,750.0","4,087,537.0","4,109,970.0","4,124,480.0","4,149,431.0","4,177,019.0","4,180,754.0","4,195,416.0","4,206,090.0","4,184,977.0","4,183,409.0","4,180,501.0","4,181,787.0","4,196,100.0","4,206,456.0","4,218,251.0","4,183,547.0","4,114,100.0","4,013,111.0","3,958,298.0","3,946,112.0","3,997,678.0","4,035,177.0","4,037,617.0","4,019,646.0","4,020,068.0","4,024,362.0","4,039,946.0","4,061,891.0","4,065,546.0","4,037,810.0","4,015,287.0","4,033,237.0","4,087,967.0","4,128,502.0","4,137,473.0","4,160,477.0","4,174,535.0","4,180,178.0","4,202,682.0","4,202,666.0","4,236,501.0","4,277,976.0","4,309,257.0","4,311,836.0","4,312,314.0","4,312,613.0","4,339,189.0","4,390,901.0","4,376,521.0","4,369,350.0","4,341,739.0","4,329,870.0","4,379,473.0","4,451,125.0","4,500,780.0","4,530,181.0","4,535,317.0","4,522,765.0","4,530,506.0","4,518,408.0","4,544,571.0","4,613,861.0","4,655,294.0","4,729,349.0","4,786,290.0","4,598,959.0","4,615,013.0","4,631,395.0","4,665,910.0","4,711,106.0","4,743,355.0","4,727,607.0","4,746,855.0","4,759,670.0","4,769,447.0","4,812,144.0","4,818,657.0","4,865,393.0","4,891,994.0","4,921,412.0","4,920,604.0","4,926,345.0","4,943,011.0","4,970,611.0","5,013,776.0","5,028,060.0","5,051,650.0","5,103,881.0","5,119,064.0","5,128,701.0","5,132,245.0","5,131,512.0","5,149,423.0","5,178,564.0","5,195,903.0"
"25","6","    Trade, transportation, and utilities","N234RC1","852,407.0","852,649.0","853,906.0","849,640.0","848,701.0","849,174.0","845,213.0","843,909.0","842,971.0","839,791.0","841,174.0","840,459.0","840,711.0","840,371.0","845,133.0","844,047.0","847,585.0","850,909.0","849,073.0","849,218.0","849,811.0","846,385.0","848,356.0","849,546.0","848,134.0","851,114.0","855,391.0","853,952.0","856,182.0","856,365.0","858,170.0","865,841.0","870,545.0","880,179.0","883,632.0","878,167.0","879,193.0","879,818.0","881,488.0","890,817.0","900,965.0","905,277.0","913,963.0","918,226.0","922,333.0","924,650.0","919,899.0","924,002.0","926,519.0","928,914.0","927,817.0","934,493.0","935,416.0","939,245.0","948,942.0","948,661.0","950,590.0","955,309.0","958,660.0","963,640.0","975,831.0","985,053.0","987,520.0","992,420.0","984,404.0","988,323.0","994,640.0","994,056.0","997,169.0","1,003,092.0","1,008,254.0","1,017,530.0","1,020,524.0","1,032,806.0","1,042,082.0","1,043,338.0","1,043,349.0","1,049,237.0","1,043,516.0","1,036,817.0","1,040,927.0","1,047,858.0","1,053,563.0","1,052,231.0","1,050,616.0","1,053,563.0","1,055,749.0","1,049,372.0","1,047,396.0","1,047,063.0","1,042,980.0","1,043,316.0","1,046,395.0","1,047,095.0","1,037,482.0","1,022,611.0","1,004,179.0","989,663.0","978,208.0","982,040.0","986,839.0","981,221.0","974,603.0","979,564.0","982,859.0","983,157.0","986,096.0","986,848.0","981,315.0","972,000.0","976,010.0","990,345.0","999,595.0","1,000,908.0","1,006,761.0","1,006,225.0","1,010,005.0","1,013,665.0","1,010,777.0","1,019,468.0","1,029,273.0","1,035,859.0","1,037,710.0","1,040,840.0","1,037,588.0","1,044,963.0","1,056,814.0","1,050,862.0","1,049,350.0","1,046,934.0","1,045,582.0","1,058,527.0","1,078,007.0","1,088,530.0","1,087,126.0","1,083,398.0","1,080,945.0","1,086,286.0","1,086,076.0","1,088,872.0","1,098,795.0","1,100,363.0","1,114,622.0","1,118,401.0","1,100,716.0","1,101,314.0","1,106,138.0","1,106,691.0","1,116,063.0","1,119,436.0","1,117,578.0","1,124,548.0","1,125,200.0","1,128,962.0","1,135,840.0","1,139,361.0","1,149,588.0","1,150,191.0","1,161,512.0","1,166,066.0","1,165,041.0","1,165,956.0","1,171,357.0","1,181,886.0","1,184,295.0","1,192,091.0","1,205,937.0","1,211,840.0","1,209,733.0","1,212,177.0","1,208,036.0","1,211,777.0","1,217,334.0","1,217,812.0"
"26","7","    Other services-producing industries \1\","N235RC1","2,239,660.0","2,259,685.0","2,267,055.0","2,250,083.0","2,243,237.0","2,241,107.0","2,231,103.0","2,232,721.0","2,229,167.0","2,230,796.0","2,234,241.0","2,237,824.0","2,234,942.0","2,232,320.0","2,239,497.0","2,255,803.0","2,262,210.0","2,279,147.0","2,265,126.0","2,275,142.0","2,282,761.0","2,287,117.0","2,287,548.0","2,281,067.0","2,271,666.0","2,274,855.0","2,287,217.0","2,307,793.0","2,337,821.0","2,351,850.0","2,367,966.0","2,380,670.0","2,389,113.0","2,399,522.0","2,420,234.0","2,422,559.0","2,431,066.0","2,435,230.0","2,447,890.0","2,461,649.0","2,494,733.0","2,503,695.0","2,529,872.0","2,546,599.0","2,556,075.0","2,573,835.0","2,572,336.0","2,581,167.0","2,580,953.0","2,587,023.0","2,592,182.0","2,611,317.0","2,622,354.0","2,640,602.0","2,668,875.0","2,677,504.0","2,699,475.0","2,717,345.0","2,733,329.0","2,745,392.0","2,787,051.0","2,805,922.0","2,819,998.0","2,837,442.0","2,822,300.0","2,834,247.0","2,848,334.0","2,854,738.0","2,878,818.0","2,900,285.0","2,928,810.0","2,969,626.0","3,009,642.0","3,043,320.0","3,050,559.0","3,032,461.0","3,026,924.0","3,036,697.0","3,047,234.0","3,050,720.0","3,069,043.0","3,076,621.0","3,095,869.0","3,124,788.0","3,130,138.0","3,141,853.0","3,150,342.0","3,135,605.0","3,136,013.0","3,133,438.0","3,138,807.0","3,152,784.0","3,160,062.0","3,171,155.0","3,146,065.0","3,091,489.0","3,008,931.0","2,968,635.0","2,967,904.0","3,015,638.0","3,048,338.0","3,056,397.0","3,045,043.0","3,040,505.0","3,041,503.0","3,056,789.0","3,075,795.0","3,078,698.0","3,056,495.0","3,043,287.0","3,057,227.0","3,097,622.0","3,128,908.0","3,136,564.0","3,153,715.0","3,168,310.0","3,170,174.0","3,189,017.0","3,191,889.0","3,217,032.0","3,248,703.0","3,273,398.0","3,274,127.0","3,271,474.0","3,275,025.0","3,294,227.0","3,334,087.0","3,325,658.0","3,320,001.0","3,294,805.0","3,284,289.0","3,320,946.0","3,373,119.0","3,412,250.0","3,443,055.0","3,451,920.0","3,441,820.0","3,444,220.0","3,432,332.0","3,455,699.0","3,515,066.0","3,554,931.0","3,614,727.0","3,667,889.0","3,498,242.0","3,513,699.0","3,525,257.0","3,559,219.0","3,595,044.0","3,623,918.0","3,610,029.0","3,622,307.0","3,634,469.0","3,640,485.0","3,676,304.0","3,679,296.0","3,715,805.0","3,741,803.0","3,759,900.0","3,754,537.0","3,761,303.0","3,777,055.0","3,799,254.0","3,831,891.0","3,843,765.0","3,859,560.0","3,897,944.0","3,907,224.0","3,918,967.0","3,920,068.0","3,923,476.0","3,937,646.0","3,961,230.0","3,978,091.0"
"27","8","Government","B202RC1","799,888.0","805,330.0","808,311.0","811,591.0","814,761.0","820,271.0","824,941.0","828,624.0","832,091.0","835,617.0","839,861.0","842,688.0","858,822.0","861,900.0","864,187.0","866,678.0","870,802.0","873,774.0","875,486.0","878,879.0","879,176.0","880,710.0","882,867.0","884,581.0","899,890.0","905,590.0","908,960.0","910,601.0","912,050.0","914,615.0","916,772.0","915,352.0","914,677.0","918,249.0","919,841.0","923,113.0","937,412.0","942,123.0","945,839.0","948,811.0","950,751.0","952,237.0","953,673.0","955,855.0","957,495.0","960,108.0","963,227.0","964,436.0","980,933.0","982,933.0","983,588.0","985,623.0","987,754.0","989,560.0","992,817.0","993,890.0","996,691.0","997,788.0","1,001,668.0","1,004,887.0","1,015,353.0","1,018,886.0","1,022,312.0","1,025,305.0","1,027,988.0","1,031,105.0","1,035,842.0","1,039,885.0","1,046,640.0","1,049,258.0","1,052,200.0","1,054,856.0","1,071,858.0","1,077,043.0","1,079,567.0","1,080,535.0","1,082,019.0","1,084,800.0","1,087,354.0","1,092,320.0","1,097,550.0","1,100,036.0","1,103,902.0","1,109,174.0","1,121,833.0","1,128,536.0","1,132,306.0","1,134,849.0","1,137,305.0","1,141,416.0","1,145,825.0","1,151,374.0","1,155,843.0","1,159,341.0","1,160,307.0","1,160,336.0","1,166,806.0","1,166,387.0","1,167,466.0","1,173,529.0","1,176,409.0","1,178,026.0","1,177,674.0","1,177,906.0","1,177,467.0","1,179,027.0","1,179,926.0","1,181,129.0","1,186,131.0","1,186,918.0","1,189,251.0","1,191,766.0","1,200,480.0","1,198,174.0","1,194,318.0","1,190,408.0","1,186,199.0","1,190,458.0","1,189,645.0","1,189,342.0","1,191,233.0","1,190,879.0","1,192,862.0","1,196,653.0","1,197,342.0","1,202,342.0","1,200,162.0","1,199,857.0","1,195,078.0","1,190,876.0","1,189,137.0","1,190,650.0","1,197,940.0","1,200,730.0","1,201,239.0","1,198,034.0","1,196,023.0","1,194,331.0","1,194,378.0","1,196,519.0","1,197,602.0","1,199,553.0","1,200,215.0","1,202,318.0","1,202,459.0","1,203,907.0","1,203,395.0","1,204,473.0","1,205,793.0","1,204,746.0","1,199,456.0","1,203,655.0","1,212,242.0","1,214,386.0","1,217,538.0","1,219,615.0","1,220,610.0","1,223,432.0","1,226,231.0","1,230,624.0","1,234,391.0","1,237,567.0","1,240,766.0","1,243,238.0","1,245,479.0","1,246,572.0","1,248,244.0","1,249,798.0","1,253,701.0","1,256,735.0","1,259,046.0","1,261,117.0","1,263,533.0","1,265,862.0"
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","1. Other services-producing industries consists of information; finance and insurance; real estate and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","rental and leasing; professional, scientific, and technical services; management of companies and enterprises,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","administrative and support and waste management and remediation services; educational services; health",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","care and social assistance; arts, entertainment, and recreation; accommodation and food services; and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","other services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Note. Estimates in this table are based on the 2002 North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
