"","Table 6#1B# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987"
"19","1","      National income without capital consumption adjustment","A422RC1","894,021.0","936,075.0","1,014,084.0","1,117,797.0","1,253,263.0","1,352,937.0","1,463,133.0","1,629,570.0","1,813,182.0","2,046,103.0","2,268,376.0","2,453,692.0","2,734,444.0","2,844,791.0","3,037,685.0","3,391,067.0","3,600,964.0","3,774,308.0","4,050,603.0"
"20","2","Domestic industries","A423RC1","887,912.0","929,682.0","1,006,481.0","1,109,227.0","1,240,650.0","1,337,427.0","1,450,141.0","1,612,718.0","1,792,888.0","2,024,518.0","2,236,451.0","2,419,506.0","2,701,523.0","2,808,294.0","3,000,603.0","3,354,808.0","3,575,611.0","3,757,353.0","4,033,117.0"
"21","3","  Private industries","A736RC1","760,304.0","789,059.0","852,157.0","940,142.0","1,060,020.0","1,142,238.0","1,236,282.0","1,382,893.0","1,546,209.0","1,755,353.0","1,945,558.0","2,101,205.0","2,350,979.0","2,429,524.0","2,595,931.0","2,918,454.0","3,100,938.0","3,252,806.0","3,498,215.0"
"22","4","    Agriculture, forestry, and fishing","J424RC1","21,478.0","22,119.0","23,976.0","28,159.0","43,864.0","42,641.0","43,526.0","41,803.0","41,130.0","47,927.0","56,752.0","50,865.0","61,806.0","58,889.0","47,613.0","63,066.0","63,039.0","61,978.0","66,601.0"
"23","5","    Mining","J734RC1","9,217.0","10,429.0","10,776.0","11,845.0","14,118.0","20,794.0","24,964.0","26,281.0","31,812.0","35,059.0","42,550.0","64,607.0","89,226.0","80,829.0","64,176.0","67,420.0","58,078.0","42,422.0","42,996.0"
"24","6","    Construction","J735RC1","45,589.0","47,935.0","52,588.0","58,224.0","65,970.0","70,390.0","70,434.0","80,630.0","89,327.0","105,401.0","118,637.0","124,836.0","125,548.0","123,985.0","130,897.0","152,371.0","167,063.0","186,077.0","201,490.0"
"25","7","    Manufacturing","J426RC1","240,960.0","234,291.0","246,115.0","271,859.0","306,147.0","322,697.0","338,878.0","389,086.0","441,341.0","497,618.0","545,969.0","564,959.0","626,859.0","611,327.0","641,537.0","715,963.0","744,333.0","744,939.0","790,836.0"
"26","8","      Durable goods","J428RC1","144,193.0","134,963.0","142,061.0","160,452.0","183,982.0","188,850.0","192,623.0","224,314.0","259,344.0","297,395.0","322,121.0","324,674.0","355,802.0","337,996.0","359,290.0","419,814.0","434,325.0","444,166.0","464,794.0"
"27","9","      Nondurable goods","J427RC1","96,766.0","99,330.0","104,054.0","111,407.0","122,164.0","133,848.0","146,255.0","164,773.0","181,998.0","200,223.0","223,849.0","240,287.0","271,058.0","273,332.0","282,248.0","296,149.0","310,008.0","300,776.0","326,042.0"
"28","10","    Transportation and public utilities","J737RC1","70,300.0","74,700.0","82,044.0","90,778.0","99,142.0","106,908.0","116,939.0","134,442.0","149,563.0","168,255.0","180,518.0","197,237.0","219,726.0","236,218.0","255,575.0","281,298.0","286,270.0","303,523.0","320,943.0"
"29","11","      Transportation","J429RC1","31,349.0","32,884.0","36,284.0","40,349.0","44,900.0","49,445.0","49,185.0","57,876.0","64,573.0","73,237.0","80,734.0","84,372.0","88,378.0","86,687.0","94,272.0","106,423.0","109,653.0","119,246.0","127,668.0"
"30","12","      Communications","J430RC1","20,892.0","22,846.0","24,298.0","27,087.0","29,513.0","32,071.0","34,699.0","39,456.0","43,622.0","49,788.0","53,799.0","60,126.0","69,156.0","75,622.0","80,814.0","84,935.0","90,731.0","96,617.0","98,045.0"
"31","13","      Electric, gas, and sanitary services","J431RC1","18,058.0","18,969.0","21,464.0","23,340.0","24,727.0","25,390.0","33,055.0","37,109.0","41,369.0","45,231.0","45,984.0","52,740.0","62,190.0","73,911.0","80,489.0","89,940.0","85,884.0","87,660.0","95,230.0"
"32","14","    Wholesale trade","J433RC1","64,248.0","68,258.0","73,769.0","82,080.0","91,935.0","104,008.0","113,270.0","120,670.0","133,044.0","150,116.0","169,547.0","179,564.0","199,306.0","203,158.0","215,736.0","249,432.0","260,226.0","274,609.0","285,569.0"
"33","15","    Retail trade","J434RC1","89,726.0","95,452.0","103,922.0","112,812.0","124,487.0","130,293.0","145,606.0","164,666.0","181,943.0","203,532.0","220,390.0","227,379.0","249,830.0","264,279.0","292,508.0","326,570.0","355,131.0","382,441.0","402,493.0"
"34","16","    Finance, insurance, and real estate","J435RC1","113,206.0","121,537.0","135,016.0","146,687.0","159,577.0","174,490.0","193,849.0","211,285.0","234,222.0","267,614.0","295,185.0","334,012.0","378,229.0","413,033.0","464,242.0","517,079.0","566,097.0","595,338.0","650,092.0"
"35","17","    Services","J437RC1","105,580.0","114,338.0","123,951.0","137,698.0","154,780.0","170,017.0","188,816.0","214,030.0","243,827.0","279,831.0","316,010.0","357,746.0","400,449.0","437,806.0","483,647.0","545,255.0","600,701.0","661,479.0","737,195.0"
"36","18","  Government","B436RC1","127,608.0","140,623.0","154,324.0","169,085.0","180,630.0","195,189.0","213,859.0","229,825.0","246,679.0","269,165.0","290,893.0","318,301.0","350,544.0","378,770.0","404,672.0","436,354.0","474,673.0","504,547.0","534,902.0"
"37","19","Rest of the world","A192RC1","6,115.0","6,393.0","7,594.0","8,558.0","12,619.0","15,520.0","13,004.0","16,847.0","20,292.0","21,581.0","31,931.0","34,185.0","32,935.0","36,510.0","37,085.0","36,290.0","25,365.0","16,957.0","17,488.0"
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Note. Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
