"","Table 5#8#5A# Private Inventories and Domestic Final Sales of Bu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"34","15","      Nonmerchant wholesalers","A805RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","5,176.0","5,252.0","5,403.0","5,383.0","5,516.0","5,633.0","5,776.0","5,761.0","5,673.0","5,669.0","5,713.0","5,750.0","5,881.0","5,969.0","6,060.0","6,188.0","6,259.0","6,308.0","6,409.0","6,506.0","6,550.0","6,596.0","6,631.0","6,667.0","6,721.0","6,727.0","6,840.0","6,878.0","6,908.0","6,997.0","7,164.0","7,330.0","7,538.0","7,761.0","7,883.0","7,951.0","8,110.0","8,101.0","8,150.0","8,143.0","8,183.0","8,369.0","8,474.0","8,597.0","8,743.0"
"35","16","        Durable goods","B806RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,342.0","2,383.0","2,501.0","2,443.0","2,553.0","2,658.0","2,735.0","2,743.0","2,688.0","2,651.0","2,671.0","2,706.0","2,794.0","2,876.0","2,948.0","3,034.0","3,064.0","3,117.0","3,224.0","3,285.0","3,295.0","3,318.0","3,327.0","3,339.0","3,375.0","3,387.0","3,474.0","3,509.0","3,539.0","3,633.0","3,719.0","3,874.0","4,028.0","4,187.0","4,259.0","4,334.0","4,453.0","4,501.0","4,502.0","4,535.0","4,595.0","4,750.0","4,815.0","4,931.0","5,070.0"
"36","17","        Nondurable goods","B807RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,834.0","2,869.0","2,902.0","2,940.0","2,963.0","2,975.0","3,041.0","3,018.0","2,985.0","3,018.0","3,042.0","3,044.0","3,087.0","3,093.0","3,112.0","3,154.0","3,195.0","3,191.0","3,185.0","3,221.0","3,255.0","3,278.0","3,304.0","3,328.0","3,346.0","3,340.0","3,366.0","3,369.0","3,369.0","3,364.0","3,445.0","3,456.0","3,510.0","3,574.0","3,624.0","3,617.0","3,657.0","3,600.0","3,648.0","3,608.0","3,588.0","3,619.0","3,659.0","3,666.0","3,673.0"
"37","18","  Retail trade","A382RC1","10,033.0","10,162.0","10,086.0","10,999.0","11,894.0","12,041.0","12,464.0","12,753.0","12,226.0","11,858.0","12,319.0","11,841.0","11,981.0","12,376.0","13,520.0","14,928.0","16,145.0","16,327.0","15,726.0","15,393.0","14,961.0","14,530.0","14,804.0","15,160.0","15,316.0","15,713.0","15,943.0","15,722.0","15,776.0","15,810.0","15,955.0","15,815.0","16,478.0","16,910.0","17,294.0","17,952.0","18,179.0","18,357.0","18,343.0","18,586.0","18,751.0","19,113.0","19,472.0","19,736.0","19,476.0","19,268.0","19,288.0","19,507.0","19,919.0","20,589.0","20,657.0","20,516.0","21,809.0","21,849.0","22,008.0","21,879.0","21,059.0","21,004.0","21,170.0","21,322.0","21,717.0","21,855.0","22,305.0","22,667.0","22,863.0","22,923.0","23,244.0","23,931.0","24,406.0","24,992.0","25,504.0","25,194.0","26,431.0","27,032.0","27,300.0","28,030.0","28,801.0","29,805.0","29,854.0","30,587.0","30,548.0","30,496.0","30,357.0","30,915.0","31,777.0","32,707.0","32,761.0","34,215.0","34,873.0","35,418.0","36,515.0","37,477.0"
"38","19","    Durable goods","B383RC1","4,090.0","4,219.0","4,412.0","4,617.0","5,151.0","5,273.0","5,503.0","5,759.0","5,624.0","5,341.0","5,893.0","5,375.0","5,221.0","5,520.0","5,913.0","7,093.0","7,527.0","7,842.0","7,736.0","7,551.0","7,366.0","7,133.0","7,154.0","7,445.0","7,682.0","7,918.0","8,167.0","7,930.0","7,818.0","7,854.0","7,885.0","7,776.0","8,194.0","8,581.0","8,743.0","9,196.0","9,367.0","9,178.0","9,082.0","9,231.0","9,263.0","9,538.0","9,855.0","10,144.0","9,862.0","9,579.0","9,430.0","9,591.0","9,887.0","10,306.0","10,206.0","9,918.0","10,745.0","10,846.0","10,882.0","10,794.0","10,083.0","9,982.0","9,856.0","9,799.0","9,848.0","9,863.0","10,168.0","10,341.0","10,355.0","10,254.0","10,448.0","10,993.0","11,351.0","11,573.0","11,867.0","11,438.0","12,294.0","12,652.0","12,891.0","13,056.0","13,441.0","14,145.0","13,941.0","14,384.0","14,076.0","13,741.0","13,638.0","14,018.0","14,489.0","15,209.0","15,038.0","16,241.0","16,545.0","16,435.0","17,167.0","17,762.0"
"39","20","      Motor vehicle dealers \4\","B864RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","3,396.0","3,616.0","3,967.0","3,834.0","3,500.0","4,315.0","4,466.0","4,532.0","4,443.0","3,808.0","3,812.0","3,801.0","3,804.0","3,852.0","3,834.0","4,046.0","4,242.0","4,329.0","4,231.0","4,352.0","4,790.0","5,010.0","5,096.0","5,403.0","4,811.0","5,420.0","5,826.0","6,026.0","6,263.0","6,302.0","6,730.0","6,395.0","6,899.0","6,626.0","6,144.0","5,925.0","6,253.0","6,618.0","7,103.0","6,757.0","7,717.0","7,855.0","7,729.0","8,186.0","8,641.0"
"40","21","      Other \4\","A865RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","6,195.0","6,271.0","6,339.0","6,372.0","6,418.0","6,430.0","6,380.0","6,350.0","6,351.0","6,275.0","6,170.0","6,055.0","5,995.0","5,996.0","6,029.0","6,122.0","6,099.0","6,026.0","6,023.0","6,096.0","6,203.0","6,341.0","6,477.0","6,464.0","6,627.0","6,874.0","6,826.0","6,865.0","6,793.0","7,139.0","7,415.0","7,546.0","7,485.0","7,450.0","7,597.0","7,713.0","7,765.0","7,871.0","8,106.0","8,281.0","8,524.0","8,690.0","8,706.0","8,981.0","9,121.0"
"41","22","    Nondurable goods","B384RC1","5,943.0","5,943.0","5,674.0","6,382.0","6,743.0","6,768.0","6,961.0","6,994.0","6,602.0","6,517.0","6,426.0","6,466.0","6,760.0","6,856.0","7,607.0","7,835.0","8,618.0","8,485.0","7,990.0","7,842.0","7,595.0","7,397.0","7,650.0","7,715.0","7,634.0","7,795.0","7,776.0","7,792.0","7,958.0","7,956.0","8,070.0","8,039.0","8,284.0","8,329.0","8,551.0","8,756.0","8,812.0","9,179.0","9,261.0","9,355.0","9,488.0","9,575.0","9,617.0","9,592.0","9,614.0","9,689.0","9,858.0","9,916.0","10,032.0","10,283.0","10,451.0","10,598.0","11,064.0","11,003.0","11,126.0","11,085.0","10,976.0","11,022.0","11,314.0","11,523.0","11,869.0","11,992.0","12,137.0","12,326.0","12,508.0","12,669.0","12,796.0","12,938.0","13,055.0","13,419.0","13,637.0","13,756.0","14,137.0","14,380.0","14,409.0","14,974.0","15,360.0","15,660.0","15,913.0","16,203.0","16,472.0","16,755.0","16,719.0","16,897.0","17,288.0","17,498.0","17,723.0","17,974.0","18,328.0","18,983.0","19,348.0","19,715.0"
"42","23","  Other","A385RC1","2,890.0","3,032.0","3,253.0","3,464.0","3,440.0","3,552.0","3,713.0","3,796.0","3,790.0","3,552.0","3,379.0","3,260.0","3,353.0","3,425.0","3,639.0","4,111.0","4,299.0","4,388.0","4,468.0","4,627.0","4,756.0","4,769.0","4,782.0","4,698.0","4,663.0","4,571.0","4,515.0","4,383.0","4,394.0","4,349.0","4,401.0","4,440.0","4,414.0","4,452.0","4,522.0","4,549.0","4,727.0","4,854.0","4,953.0","5,205.0","5,287.0","5,286.0","5,423.0","5,531.0","5,514.0","5,455.0","5,488.0","5,682.0","5,728.0","5,779.0","5,889.0","6,080.0","6,011.0","5,967.0","6,099.0","6,065.0","6,149.0","6,167.0","6,322.0","6,554.0","6,502.0","6,493.0","6,587.0","6,583.0","6,758.0","6,744.0","6,850.0","7,060.0","7,090.0","7,221.0","7,436.0","7,659.0","7,741.0","7,917.0","8,072.0","8,269.0","8,336.0","8,453.0","8,586.0","8,878.0","9,083.0","9,327.0","9,764.0","10,143.0","10,394.0","10,305.0","10,430.0","10,579.0","10,874.0","11,213.0","11,658.0","11,989.0"
"43","24","    Durable goods","B386RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","582.0","633.0","662.0","630.0","656.0","659.0","647.0","647.0","671.0","740.0","783.0","849.0","911.0","940.0","961.0","977.0","968.0","988.0","1,004.0","1,006.0","972.0","1,016.0","1,045.0","1,015.0","1,039.0","1,095.0","1,160.0","1,162.0","1,160.0","1,126.0","1,100.0","1,086.0","1,126.0","1,104.0","1,146.0","1,224.0","1,277.0","1,257.0","1,184.0","1,141.0","1,117.0","1,069.0","1,022.0","1,140.0","1,126.0"
"44","25","    Nondurable goods","B387RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","5,100.0","5,095.0","5,117.0","5,259.0","5,424.0","5,352.0","5,320.0","5,452.0","5,394.0","5,409.0","5,384.0","5,473.0","5,643.0","5,562.0","5,532.0","5,610.0","5,615.0","5,770.0","5,740.0","5,844.0","6,088.0","6,074.0","6,176.0","6,421.0","6,620.0","6,646.0","6,757.0","6,910.0","7,109.0","7,210.0","7,353.0","7,500.0","7,752.0","7,979.0","8,181.0","8,540.0","8,866.0","9,137.0","9,121.0","9,289.0","9,462.0","9,805.0","10,191.0","10,518.0","10,863.0"
"45","26","    Final sales of domestic business \5\","A809RC1","15,869.0","16,188.0","16,775.0","17,248.0","17,481.0","17,731.0","18,017.0","18,055.0","17,977.0","18,031.0","17,858.0","17,916.0","18,151.0","18,755.0","20,176.0","19,988.0","20,948.0","20,963.0","21,498.0","22,068.0","22,177.0","22,410.0","22,203.0","23,098.0","23,652.0","23,801.0","23,897.0","23,695.0","23,803.0","24,058.0","24,345.0","24,794.0","25,432.0","25,845.0","26,502.0","26,812.0","27,057.0","27,527.0","28,006.0","28,642.0","29,102.0","29,119.0","29,589.0","29,549.0","28,893.0","28,849.0","29,508.0","30,126.0","31,267.0","31,906.0","32,381.0","32,255.0","32,915.0","33,316.0","33,224.0","33,413.0","33,550.0","33,930.0","34,241.0","35,137.0","35,604.0","36,342.0","36,543.0","36,876.0","37,234.0","38,120.0","38,737.0","39,373.0","40,519.0","41,207.0","41,941.0","42,278.0","43,250.0","44,278.0","45,107.0","46,578.0","47,773.0","48,204.0","48,780.0","49,234.0","49,524.0","50,361.0","50,989.0","51,902.0","53,515.0","54,718.0","56,074.0","57,128.0","58,553.0","59,409.0","60,334.0","60,905.0"
"46","27","    Final sales of goods and structures of domestic business \5\","A810RC1","12,117.0","12,412.0","12,889.0","13,347.0","13,564.0","13,711.0","13,960.0","13,946.0","13,821.0","13,869.0","13,728.0","13,803.0","13,981.0","14,516.0","15,743.0","15,502.0","16,361.0","16,170.0","16,643.0","17,162.0","17,190.0","17,307.0","17,036.0","17,866.0","18,283.0","18,359.0","18,374.0","18,195.0","18,175.0","18,377.0","18,510.0","18,928.0","19,442.0","20,037.0","20,481.0","20,586.0","20,725.0","21,139.0","21,497.0","21,908.0","22,392.0","22,349.0","22,707.0","22,434.0","21,909.0","21,862.0","22,244.0","22,811.0","23,624.0","24,025.0","24,385.0","24,116.0","24,695.0","24,917.0","24,932.0","24,938.0","25,003.0","25,085.0","25,438.0","26,110.0","26,456.0","26,905.0","27,175.0","27,366.0","27,641.0","28,250.0","28,842.0","29,236.0","30,113.0","30,510.0","31,130.0","31,229.0","32,014.0","32,722.0","33,489.0","34,691.0","35,765.0","35,788.0","36,328.0","36,463.0","36,519.0","37,206.0","37,613.0","38,206.0","39,386.0","40,120.0","41,132.0","41,853.0","43,021.0","43,389.0","44,052.0","44,187.0"
"47",NA,"Ratios of private inventories to final sales of domestic business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","28","  Private inventories to final sales","A811RC2","5.86","5.82","5.93","6.20","5.92","5.93","5.79","5.66","5.58","5.30","5.31","5.16","5.18","5.19","5.14","5.72","5.86","5.90","5.81","5.77","5.68","5.54","5.53","5.15","4.97","4.90","4.90","4.94","4.93","4.82","4.75","4.64","4.58","4.48","4.37","4.32","4.39","4.46","4.40","4.35","4.32","4.35","4.33","4.33","4.53","4.50","4.45","4.37","4.25","4.20","4.12","4.13","4.16","4.08","4.14","4.08","4.05","3.97","4.02","3.98","4.01","3.95","4.02","4.00","3.97","3.90","3.85","3.81","3.71","3.66","3.65","3.65","3.67","3.68","3.65","3.64","3.66","3.72","3.76","3.77","3.79","3.77","3.77","3.75","3.72","3.72","3.67","3.64","3.65","3.68","3.69","3.73"
"49","29","  Nonfarm inventories to final sales","A812RC2","2.79","2.79","2.72","2.77","2.83","2.85","2.93","2.96","2.92","2.78","2.78","2.73","2.72","2.71","2.68","2.99","3.07","3.20","3.16","3.11","3.12","3.03","3.10","3.00","2.96","3.00","3.03","3.02","2.98","2.92","2.88","2.82","2.80","2.81","2.82","2.88","2.93","2.96","2.95","2.95","2.94","2.95","2.94","2.92","2.95","2.90","2.84","2.82","2.75","2.77","2.76","2.81","2.84","2.82","2.86","2.80","2.76","2.73","2.75","2.71","2.72","2.70","2.73","2.72","2.73","2.69","2.69","2.68","2.64","2.63","2.63","2.65","2.66","2.65","2.66","2.62","2.64","2.69","2.74","2.81","2.86","2.84","2.86","2.87","2.83","2.82","2.79","2.79","2.79","2.80","2.83","2.87"
"50","30","  Nonfarm inventories to final sales of goods and structures","A813RC2","3.65","3.63","3.54","3.57","3.64","3.69","3.78","3.83","3.80","3.62","3.61","3.54","3.53","3.50","3.44","3.86","3.94","4.15","4.08","3.99","4.02","3.92","4.03","3.88","3.84","3.89","3.94","3.93","3.90","3.83","3.78","3.70","3.66","3.63","3.65","3.75","3.83","3.85","3.85","3.85","3.82","3.85","3.83","3.85","3.89","3.83","3.76","3.72","3.64","3.68","3.66","3.76","3.79","3.77","3.81","3.75","3.71","3.70","3.70","3.65","3.67","3.65","3.68","3.67","3.67","3.63","3.61","3.61","3.55","3.55","3.55","3.59","3.60","3.59","3.58","3.52","3.52","3.63","3.67","3.79","3.88","3.84","3.87","3.90","3.85","3.84","3.80","3.81","3.80","3.83","3.88","3.95"
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","1. Inventories are as of the end of the quarter. The quarter-to-quarter change in inventories calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","from current-dollar inventories in this table is not the current-dollar change in private inventories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","component of GDP. The former is the difference between two inventory stocks, each valued at its respective",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","end-of-quarter prices. The latter is the change in the physical volume of inventories valued at average",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","prices of the quarter, whereas, the change in private inventories is stated at annual rates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","2. Beginning with the fourth quarter of 1990, farm inventories includes materials and supplies inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","3. Prior to the fourth quarter of 1958, inventories held by construction establishments are included",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","in line 5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","4. Prior to 1981, inventories of auto and home supply stores are included in motor vehicle dealers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Beginning with 1981, these inventories are included in 'other durable goods.'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","5. Quarterly totals at monthly rates. Final sales of domestic business equals final sales of domestic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","product less gross output of general government, gross value added of nonprofit institutions, compensation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","paid to domestic workers, and imputed rental of owner-occupied nonfarm housing. It includes a small",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","amount of final sales by farm and by government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Note. Estimates for nonfarm industries other than manufacturing and trade for 1986 and earlier periods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","are based on the 1972 Standard Industrial Classification (SIC). Manufacturing estimates for 1981 and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","earlier periods and trade estimates for 1966 and earlier periods are based on the 1972 SIC; later estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
