"","Table 1#14# Gross Value Added of Domestic Corporate Business in ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"33","14","        Net dividends","A449RC1","5,368.0","5,624.0","5,852.0","5,684.0","6,240.0","5,824.0","6,264.0","6,472.0","6,356.0","6,344.0","6,256.0","6,668.0","7,388.0","7,552.0","8,016.0","8,460.0","7,360.0","7,488.0","7,404.0","7,380.0","7,008.0","7,636.0","7,480.0","7,720.0","7,304.0","7,960.0","7,948.0","7,792.0","8,112.0","7,544.0","7,924.0","7,860.0","8,480.0","8,700.0","9,192.0","9,224.0","9,328.0","9,380.0","9,316.0","9,844.0","9,844.0","9,752.0","9,892.0","9,936.0","9,932.0","9,932.0","9,860.0","9,604.0","10,300.0","10,744.0","10,868.0","10,920.0","11,284.0","11,292.0","11,668.0","11,396.0","11,192.0","11,420.0","11,460.0","11,952.0","12,208.0","12,420.0","12,624.0","12,172.0","13,008.0","13,552.0","13,744.0","13,944.0","14,208.0","14,880.0","15,188.0","15,688.0","15,664.0","16,316.0","17,284.0","18,232.0","18,508.0","18,008.0","17,736.0","17,060.0","18,244.0","19,008.0","18,588.0","17,480.0","19,708.0","19,668.0","20,536.0","20,756.0","20,244.0","20,428.0","20,204.0","20,736.0"
"34","15","        Undistributed profits with IVA and CCAdj","W274RC1","3,643.0","6,963.0","6,969.0","7,539.0","10,387.0","11,854.0","11,054.0","12,750.0","12,379.0","11,436.0","12,431.0","9,048.0","7,912.0","8,946.0","9,077.0","10,107.0","5,593.0","9,125.0","11,766.0","11,465.0","11,310.0","9,961.0","10,067.0","12,328.0","12,548.0","10,926.0","10,398.0","7,961.0","10,152.0","11,543.0","12,127.0","14,234.0","16,745.0","17,558.0","16,424.0","16,766.0","15,332.0","15,014.0","15,944.0","15,170.0","15,978.0","15,377.0","14,808.0","12,911.0","10,035.0","10,880.0","13,007.0","16,229.0","17,965.0","20,060.0","17,414.0","18,008.0","19,162.0","17,272.0","17,038.0","15,930.0","15,006.0","17,793.0","19,047.0","21,088.0","23,068.0","22,816.0","23,539.0","25,858.0","25,488.0","26,457.0","26,897.0","27,135.0","30,381.0","30,068.0","30,195.0","29,727.0","35,852.0","36,281.0","36,277.0","38,166.0","40,347.0","39,664.0","38,672.0","40,857.0","37,913.0","36,505.0","37,122.0","39,906.0","34,467.0","37,457.0","36,714.0","36,626.0","35,511.0","33,040.0","31,326.0","25,888.0"
"35","16","    Gross value added of financial corporate business \1\","A454RC1","5,643.0","5,344.0","5,076.0","5,281.0","5,619.0","5,948.0","6,219.0","6,500.0","6,688.0","6,753.0","6,767.0","6,923.0","6,978.0","7,150.0","7,388.0","7,707.0","7,871.0","7,998.0","8,215.0","8,792.0","8,710.0","9,032.0","9,392.0","9,766.0","9,861.0","10,109.0","10,398.0","10,543.0","10,564.0","10,706.0","10,783.0","11,085.0","11,388.0","11,637.0","11,878.0","12,111.0","12,349.0","12,757.0","13,064.0","13,458.0","13,545.0","13,611.0","13,955.0","14,229.0","14,554.0","14,578.0","14,563.0","15,028.0","15,322.0","15,479.0","16,180.0","16,555.0","17,180.0","17,489.0","17,561.0","17,740.0","18,270.0","18,360.0","18,393.0","18,608.0","19,042.0","19,304.0","19,407.0","19,260.0","19,444.0","19,459.0","19,639.0","20,043.0","20,877.0","21,334.0","21,805.0","22,299.0","22,280.0","22,688.0","23,200.0","24,462.0","24,883.0","24,836.0","25,282.0","25,533.0","26,734.0","27,725.0","28,582.0","29,408.0","30,069.0","30,888.0","31,734.0","32,572.0","34,806.0","35,736.0","36,594.0","37,668.0"
"36","17","    Gross value added of nonfinancial corporate business \1\","A455RC1","115,535.0","120,551.0","123,636.0","129,090.0","136,027.0","139,072.0","141,511.0","143,529.0","139,986.0","135,935.0","136,694.0","132,521.0","139,741.0","149,418.0","161,112.0","169,149.0","174,249.0","176,704.0","178,302.0","181,239.0","182,614.0","181,382.0","183,788.0","195,653.0","200,141.0","202,136.0","201,300.0","192,552.0","192,783.0","193,443.0","195,574.0","202,849.0","212,459.0","219,305.0","223,820.0","229,966.0","231,567.0","235,417.0","237,645.0","244,349.0","248,938.0","248,999.0","249,672.0","244,096.0","235,306.0","234,952.0","243,766.0","254,976.0","264,186.0","275,857.0","271,573.0","274,972.0","285,040.0","282,952.0","282,451.0","279,448.0","278,120.0","286,403.0","293,504.0","303,635.0","308,991.0","314,324.0","319,330.0","324,535.0","328,106.0","335,591.0","341,036.0","346,500.0","354,779.0","361,158.0","368,610.0","373,480.0","387,978.0","395,536.0","403,305.0","416,103.0","428,304.0","436,893.0","443,555.0","451,509.0","453,245.0","456,602.0","465,298.0","477,555.0","491,186.0","505,761.0","516,903.0","529,781.0","541,991.0","551,250.0","560,035.0","565,056.0"
"37","18","Consumption of fixed capital","B456RC1","8,743.0","9,247.0","9,728.0","10,185.0","10,619.0","10,992.0","11,307.0","11,562.0","11,758.0","11,936.0","12,097.0","12,241.0","12,368.0","12,610.0","12,969.0","13,444.0","14,036.0","14,512.0","14,874.0","15,122.0","15,255.0","15,438.0","15,672.0","15,955.0","16,288.0","16,598.0","16,883.0","17,143.0","17,380.0","17,612.0","17,840.0","18,064.0","18,283.0","18,623.0","19,082.0","19,660.0","20,359.0","21,037.0","21,695.0","22,333.0","22,950.0","23,519.0","24,041.0","24,514.0","24,940.0","25,333.0","25,692.0","26,018.0","26,311.0","26,579.0","26,822.0","27,041.0","27,235.0","27,442.0","27,664.0","27,899.0","28,148.0","28,414.0","28,697.0","28,997.0","29,314.0","29,645.0","29,989.0","30,348.0","30,720.0","31,117.0","31,538.0","31,984.0","32,454.0","32,961.0","33,506.0","34,088.0","34,707.0","35,403.0","36,176.0","37,026.0","37,953.0","38,899.0","39,865.0","40,850.0","41,855.0","42,896.0","43,972.0","45,085.0","46,234.0","47,437.0","48,693.0","50,003.0","51,367.0","52,759.0","54,180.0","55,630.0"
"38","19","Net value added","A457RC1","106,792.0","111,304.0","113,908.0","118,905.0","125,408.0","128,080.0","130,204.0","131,967.0","128,228.0","123,999.0","124,597.0","120,280.0","127,373.0","136,808.0","148,143.0","155,705.0","160,213.0","162,192.0","163,428.0","166,117.0","167,359.0","165,944.0","168,116.0","179,698.0","183,853.0","185,538.0","184,417.0","175,409.0","175,403.0","175,831.0","177,734.0","184,785.0","194,176.0","200,682.0","204,738.0","210,306.0","211,208.0","214,380.0","215,950.0","222,016.0","225,988.0","225,480.0","225,631.0","219,582.0","210,366.0","209,619.0","218,074.0","228,958.0","237,875.0","249,278.0","244,751.0","247,931.0","257,805.0","255,510.0","254,787.0","251,549.0","249,972.0","257,989.0","264,807.0","274,638.0","279,677.0","284,679.0","289,341.0","294,187.0","297,386.0","304,474.0","309,498.0","314,516.0","322,325.0","328,197.0","335,104.0","339,392.0","353,271.0","360,133.0","367,129.0","379,077.0","390,351.0","397,994.0","403,690.0","410,659.0","411,390.0","413,706.0","421,326.0","432,470.0","444,952.0","458,324.0","468,210.0","479,778.0","490,624.0","498,491.0","505,855.0","509,426.0"
"39","20","  Compensation of employees","A460RC1","75,764.0","77,180.0","79,456.0","82,652.0","85,560.0","86,220.0","88,876.0","89,212.0","87,232.0","85,120.0","84,196.0","83,060.0","86,568.0","91,456.0","97,312.0","102,212.0","106,740.0","109,872.0","110,584.0","112,036.0","114,856.0","114,980.0","117,200.0","124,044.0","126,804.0","129,140.0","129,188.0","127,660.0","125,688.0","124,904.0","124,908.0","128,280.0","131,740.0","136,200.0","139,788.0","143,816.0","146,648.0","149,520.0","151,164.0","155,748.0","157,840.0","158,488.0","159,544.0","157,772.0","153,484.0","151,516.0","155,528.0","160,308.0","165,476.0","171,636.0","171,864.0","174,200.0","180,080.0","181,360.0","180,700.0","179,496.0","179,104.0","182,244.0","185,992.0","190,724.0","194,428.0","198,828.0","200,884.0","202,884.0","205,092.0","208,492.0","211,696.0","215,144.0","218,832.0","223,484.0","228,236.0","232,076.0","237,524.0","241,968.0","247,196.0","254,912.0","262,200.0","270,092.0","276,940.0","282,172.0","284,812.0","287,244.0","293,048.0","299,152.0","309,218.0","317,004.0","324,520.0","332,731.0","343,316.0","352,192.0","360,757.0","367,991.0"
"40","21","    Wages and salaries","B461RC1","71,932.0","73,268.0","75,392.0","78,444.0","81,568.0","82,232.0","84,828.0","85,136.0","83,148.0","80,924.0","79,944.0","78,740.0","81,632.0","86,224.0","91,696.0","96,240.0","100,260.0","103,148.0","103,784.0","105,020.0","107,788.0","107,868.0","109,956.0","116,576.0","119,144.0","121,328.0","121,248.0","119,692.0","117,548.0","116,816.0","116,696.0","119,860.0","122,832.0","126,952.0","130,240.0","134,020.0","136,372.0","138,984.0","140,356.0","144,628.0","146,200.0","146,632.0","147,480.0","145,636.0","141,732.0","139,828.0","143,620.0","148,024.0","152,688.0","157,816.0","157,664.0","159,572.0","164,812.0","165,924.0","165,292.0","164,184.0","163,780.0","166,584.0","169,892.0","174,044.0","177,076.0","180,856.0","182,528.0","184,180.0","186,120.0","189,124.0","191,964.0","195,056.0","198,372.0","202,580.0","206,884.0","210,348.0","215,324.0","219,228.0","223,724.0","230,356.0","236,152.0","242,840.0","248,700.0","253,268.0","256,060.0","258,264.0","263,416.0","268,732.0","277,564.0","284,639.0","291,410.0","298,876.0","307,367.0","315,418.0","323,093.0","329,499.0"
"41","22","    Supplements to wages and salaries","B462RC1","3,832.0","3,912.0","4,064.0","4,208.0","3,992.0","3,988.0","4,048.0","4,076.0","4,084.0","4,196.0","4,252.0","4,320.0","4,936.0","5,232.0","5,616.0","5,972.0","6,480.0","6,724.0","6,800.0","7,016.0","7,068.0","7,112.0","7,244.0","7,468.0","7,660.0","7,812.0","7,940.0","7,968.0","8,140.0","8,088.0","8,212.0","8,420.0","8,908.0","9,248.0","9,548.0","9,796.0","10,276.0","10,536.0","10,808.0","11,120.0","11,640.0","11,856.0","12,064.0","12,136.0","11,752.0","11,688.0","11,908.0","12,284.0","12,788.0","13,820.0","14,200.0","14,628.0","15,268.0","15,436.0","15,408.0","15,312.0","15,324.0","15,660.0","16,100.0","16,680.0","17,352.0","17,972.0","18,356.0","18,704.0","18,972.0","19,368.0","19,732.0","20,088.0","20,460.0","20,904.0","21,352.0","21,728.0","22,200.0","22,740.0","23,472.0","24,556.0","26,048.0","27,252.0","28,240.0","28,904.0","28,752.0","28,980.0","29,632.0","30,420.0","31,654.0","32,365.0","33,110.0","33,855.0","35,949.0","36,774.0","37,664.0","38,492.0"
"42","23","  Taxes on production and imports less subsidies","W325RC1","10,876.0","10,952.0","11,164.0","11,776.0","11,880.0","12,376.0","12,564.0","12,692.0","12,700.0","12,896.0","13,124.0","13,100.0","13,400.0","14,064.0","15,332.0","14,656.0","15,720.0","14,940.0","15,156.0","15,644.0","16,132.0","16,680.0","16,948.0","17,428.0","17,752.0","17,976.0","18,016.0","17,796.0","17,356.0","17,288.0","17,128.0","17,496.0","18,264.0","19,012.0","19,548.0","19,816.0","20,152.0","20,460.0","20,984.0","21,616.0","21,968.0","22,236.0","22,296.0","21,696.0","22,200.0","22,076.0","22,212.0","22,736.0","23,380.0","23,784.0","24,748.0","25,676.0","25,872.0","26,312.0","26,928.0","27,288.0","27,436.0","27,392.0","27,660.0","27,992.0","28,672.0","29,516.0","30,360.0","30,928.0","31,212.0","31,480.0","31,812.0","32,164.0","32,744.0","33,492.0","34,264.0","35,012.0","35,508.0","35,920.0","36,276.0","36,384.0","36,604.0","36,872.0","37,076.0","37,340.0","37,808.0","38,484.0","39,692.0","41,260.0","43,060.0","44,848.0","46,464.0","47,768.0","48,752.0","49,772.0","50,676.0","51,524.0"
"43","24","  Net operating surplus","W326RC1","20,152.0","23,172.0","23,288.0","24,477.0","27,968.0","29,484.0","28,764.0","30,063.0","28,296.0","25,983.0","27,277.0","24,120.0","27,405.0","31,288.0","35,499.0","38,837.0","37,753.0","37,380.0","37,688.0","38,437.0","36,371.0","34,284.0","33,968.0","38,226.0","39,297.0","38,422.0","37,213.0","29,953.0","32,359.0","33,639.0","35,698.0","39,009.0","44,172.0","45,470.0","45,402.0","46,674.0","44,408.0","44,400.0","43,802.0","44,652.0","46,180.0","44,756.0","43,791.0","40,114.0","34,682.0","36,027.0","40,334.0","45,914.0","49,019.0","53,858.0","48,139.0","48,055.0","51,853.0","47,838.0","47,159.0","44,765.0","43,432.0","48,353.0","51,155.0","55,922.0","56,577.0","56,335.0","58,097.0","60,375.0","61,082.0","64,502.0","65,990.0","67,208.0","70,749.0","71,221.0","72,604.0","72,304.0","80,239.0","82,245.0","83,657.0","87,781.0","91,547.0","91,030.0","89,674.0","91,147.0","88,770.0","87,978.0","88,586.0","92,058.0","92,674.0","96,472.0","97,226.0","99,279.0","98,556.0","96,527.0","94,422.0","89,911.0"
"44","25","    Net interest and miscellaneous payments","B471RC1","767.0","755.0","759.0","759.0","785.0","821.0","885.0","911.0","978.0","999.0","1,006.0","981.0","961.0","931.0","894.0","900.0","983.0","1,055.0","1,113.0","1,155.0","1,191.0","1,235.0","1,250.0","1,262.0","1,291.0","1,301.0","1,328.0","1,371.0","1,528.0","1,618.0","1,696.0","1,753.0","1,729.0","1,734.0","1,699.0","1,684.0","1,777.0","1,811.0","1,890.0","1,896.0","2,136.0","2,232.0","2,335.0","2,365.0","2,628.0","2,821.0","2,932.0","3,013.0","2,705.0","3,043.0","3,081.0","3,207.0","3,252.0","3,226.0","3,312.0","3,418.0","3,568.0","3,727.0","3,865.0","4,082.0","4,095.0","4,387.0","4,597.0","4,749.0","4,660.0","4,729.0","4,859.0","4,981.0","5,092.0","5,212.0","5,356.0","5,471.0","5,697.0","5,845.0","6,069.0","6,210.0","6,614.0","6,945.0","7,352.0","7,769.0","8,155.0","8,493.0","8,701.0","8,963.0","9,331.0","9,758.0","10,328.0","11,032.0","11,918.0","12,887.0","13,988.0","15,211.0"
"45","26","    Business current transfer payments (net)","W327RC1","549.0","565.0","582.0","590.0","603.0","597.0","608.0","613.0","579.0","578.0","588.0","608.0","567.0","578.0","615.0","644.0","690.0","720.0","725.0","773.0","796.0","813.0","816.0","871.0","928.0","975.0","977.0","956.0","901.0","840.0","823.0","842.0","899.0","962.0","1,015.0","1,040.0","1,051.0","1,031.0","1,014.0","1,044.0","1,068.0","1,093.0","1,096.0","1,136.0","1,173.0","1,193.0","1,168.0","1,160.0","1,204.0","1,261.0","1,275.0","1,280.0","1,250.0","1,251.0","1,269.0","1,295.0","1,360.0","1,387.0","1,438.0","1,497.0","1,570.0","1,598.0","1,593.0","1,556.0","1,613.0","1,591.0","1,565.0","1,612.0","1,709.0","1,754.0","2,012.0","2,007.0","2,044.0","2,043.0","2,096.0","2,226.0","2,476.0","2,599.0","2,678.0","2,714.0","2,666.0","2,677.0","2,715.0","2,753.0","2,842.0","2,952.0","2,977.0","2,977.0","3,015.0","3,032.0","3,041.0","3,099.0"
"46","27","    Corporate profits with IVA and CCAdj","A463RC1","18,836.0","21,852.0","21,947.0","23,128.0","26,580.0","28,066.0","27,271.0","28,539.0","26,739.0","24,406.0","25,683.0","22,531.0","25,877.0","29,779.0","33,990.0","37,293.0","36,080.0","35,605.0","35,850.0","36,509.0","34,384.0","32,236.0","31,902.0","36,093.0","37,078.0","36,146.0","34,908.0","27,626.0","29,930.0","31,181.0","33,179.0","36,414.0","41,544.0","42,774.0","42,688.0","43,950.0","41,580.0","41,558.0","40,898.0","41,712.0","42,976.0","41,431.0","40,360.0","36,613.0","30,881.0","32,013.0","36,234.0","41,741.0","45,110.0","49,554.0","43,783.0","43,568.0","47,351.0","43,361.0","42,578.0","40,052.0","38,504.0","43,239.0","45,852.0","50,343.0","50,912.0","50,350.0","51,907.0","54,070.0","54,809.0","58,182.0","59,566.0","60,615.0","63,948.0","64,255.0","65,236.0","64,826.0","72,498.0","74,357.0","75,492.0","79,345.0","82,457.0","81,486.0","79,644.0","80,664.0","77,949.0","76,808.0","77,170.0","80,342.0","80,501.0","83,762.0","83,921.0","85,270.0","83,623.0","80,608.0","77,393.0","71,601.0"
"47","28","      Taxes on corporate income","B465RC1","11,080.0","10,476.0","10,320.0","11,232.0","11,500.0","12,092.0","11,812.0","11,320.0","10,108.0","8,776.0","9,180.0","8,984.0","12,484.0","15,156.0","18,764.0","20,652.0","24,932.0","20,864.0","18,684.0","19,936.0","18,228.0","16,976.0","16,836.0","18,668.0","19,764.0","19,836.0","19,268.0","14,608.0","14,320.0","14,800.0","15,844.0","17,148.0","19,460.0","19,692.0","20,216.0","21,092.0","20,084.0","20,440.0","19,024.0","20,128.0","20,436.0","19,496.0","18,948.0","17,044.0","14,032.0","14,348.0","16,552.0","19,324.0","20,800.0","22,876.0","19,904.0","19,148.0","21,432.0","19,368.0","18,412.0","17,356.0","17,096.0","18,660.0","19,964.0","21,956.0","20,488.0","20,128.0","20,796.0","20,952.0","20,924.0","22,672.0","23,404.0","24,016.0","23,732.0","23,712.0","24,284.0","23,824.0","25,888.0","26,732.0","27,140.0","28,788.0","29,904.0","29,904.0","29,404.0","28,756.0","27,536.0","27,196.0","27,440.0","29,140.0","32,860.0","33,380.0","33,436.0","34,460.0","34,980.0","33,920.0","32,556.0","31,920.0"
"48","29","      Profits after tax with IVA and CCAdj","W328RC1","7,756.0","11,376.0","11,627.0","11,896.0","15,080.0","15,974.0","15,459.0","17,219.0","16,631.0","15,630.0","16,503.0","13,547.0","13,393.0","14,623.0","15,226.0","16,641.0","11,148.0","14,741.0","17,166.0","16,573.0","16,156.0","15,260.0","15,066.0","17,425.0","17,314.0","16,310.0","15,640.0","13,018.0","15,610.0","16,381.0","17,335.0","19,266.0","22,084.0","23,082.0","22,472.0","22,858.0","21,496.0","21,118.0","21,874.0","21,584.0","22,540.0","21,935.0","21,412.0","19,569.0","16,849.0","17,665.0","19,682.0","22,417.0","24,310.0","26,678.0","23,879.0","24,420.0","25,919.0","23,993.0","24,166.0","22,696.0","21,408.0","24,579.0","25,888.0","28,387.0","30,424.0","30,222.0","31,111.0","33,118.0","33,885.0","35,510.0","36,162.0","36,599.0","40,216.0","40,543.0","40,952.0","41,002.0","46,610.0","47,625.0","48,352.0","50,557.0","52,553.0","51,582.0","50,240.0","51,908.0","50,413.0","49,612.0","49,730.0","51,202.0","47,641.0","50,382.0","50,485.0","50,810.0","48,643.0","46,688.0","44,837.0","39,681.0"
"49","30","        Net dividends","B467RC1","5,092.0","5,352.0","5,576.0","5,416.0","5,936.0","5,528.0","5,928.0","6,116.0","6,004.0","5,988.0","5,892.0","6,276.0","6,936.0","7,080.0","7,524.0","7,960.0","6,964.0","7,120.0","7,056.0","7,028.0","6,660.0","7,236.0","7,056.0","7,260.0","6,848.0","7,440.0","7,416.0","7,268.0","7,572.0","7,048.0","7,424.0","7,384.0","7,984.0","8,216.0","8,704.0","8,756.0","8,880.0","8,944.0","8,868.0","9,336.0","9,288.0","9,148.0","9,232.0","9,236.0","9,232.0","9,224.0","9,132.0","8,872.0","9,480.0","9,856.0","9,944.0","9,984.0","10,324.0","10,340.0","10,696.0","10,460.0","10,256.0","10,464.0","10,536.0","11,048.0","11,392.0","11,680.0","11,880.0","11,408.0","12,056.0","12,424.0","12,544.0","12,752.0","13,080.0","13,808.0","14,244.0","14,852.0","14,960.0","15,696.0","16,644.0","17,480.0","17,576.0","16,936.0","16,572.0","15,920.0","17,104.0","17,896.0","17,560.0","16,532.0","18,648.0","18,604.0","19,376.0","19,524.0","19,028.0","19,160.0","18,812.0","19,104.0"
"50","31","        Undistributed profits with IVA and CCAdj","W332RC1","2,664.0","6,024.0","6,051.0","6,480.0","9,144.0","10,446.0","9,531.0","11,103.0","10,627.0","9,642.0","10,611.0","7,271.0","6,457.0","7,543.0","7,702.0","8,681.0","4,184.0","7,621.0","10,110.0","9,545.0","9,496.0","8,024.0","8,010.0","10,165.0","10,466.0","8,870.0","8,224.0","5,750.0","8,038.0","9,333.0","9,911.0","11,882.0","14,100.0","14,866.0","13,768.0","14,102.0","12,616.0","12,174.0","13,006.0","12,248.0","13,252.0","12,787.0","12,180.0","10,333.0","7,617.0","8,441.0","10,550.0","13,545.0","14,830.0","16,822.0","13,935.0","14,436.0","15,595.0","13,653.0","13,470.0","12,236.0","11,152.0","14,115.0","15,352.0","17,339.0","19,032.0","18,542.0","19,231.0","21,710.0","21,829.0","23,086.0","23,618.0","23,847.0","27,136.0","26,735.0","26,708.0","26,150.0","31,650.0","31,929.0","31,708.0","33,077.0","34,977.0","34,646.0","33,668.0","35,988.0","33,309.0","31,716.0","32,170.0","34,670.0","28,993.0","31,778.0","31,109.0","31,286.0","29,615.0","27,528.0","26,025.0","20,577.0"
"51",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,"  Corporate business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","32","    Profits before tax (without IVA and CCAdj)","A446RC1","32,583.0","30,709.0","30,313.0","32,999.0","34,539.0","36,306.0","35,687.0","34,432.0","31,294.0","27,524.0","28,635.0","28,213.0","32,349.0","38,840.0","47,077.0","51,781.0","50,909.0","42,901.0","38,862.0","41,871.0","39,685.0","37,787.0","37,982.0","42,120.0","44,021.0","44,135.0","43,345.0","33,904.0","36,179.0","37,285.0","39,549.0","42,311.0","47,479.0","48,204.0","49,327.0","51,335.0","49,565.0","50,782.0","48,034.0","50,835.0","51,506.0","48,952.0","47,926.0","44,022.0","37,985.0","38,727.0","43,468.0","49,846.0","53,002.0","57,859.0","51,757.0","50,329.0","55,718.0","51,260.0","49,078.0","46,806.0","45,791.0","48,919.0","51,689.0","55,955.0","54,968.0","54,402.0","56,041.0","56,318.0","56,284.0","60,108.0","61,757.0","63,193.0","66,245.0","66,389.0","68,019.0","67,254.0","74,272.0","76,862.0","78,661.0","83,821.0","86,473.0","86,713.0","86,005.0","84,233.0","81,115.0","81,166.0","82,126.0","86,907.0","90,056.0","92,098.0","92,412.0","94,515.0","94,433.0","91,367.0","87,954.0","86,475.0"
"54","33","    Profits after tax (without IVA and CCAdj)","A448RC1","21,023.0","19,773.0","19,517.0","21,219.0","22,395.0","23,510.0","23,107.0","22,268.0","20,250.0","17,808.0","18,515.0","18,281.0","18,721.0","22,532.0","27,153.0","29,941.0","24,629.0","20,637.0","18,718.0","20,323.0","19,881.0","19,135.0","19,374.0","21,588.0","22,405.0","22,411.0","22,113.0","17,328.0","19,775.0","20,381.0","21,629.0","23,043.0","26,135.0","26,596.0","27,171.0","28,279.0","27,525.0","28,294.0","26,890.0","28,535.0","28,682.0","27,080.0","26,498.0","24,454.0","21,065.0","21,479.0","24,080.0","27,546.0","29,502.0","32,135.0","28,641.0","27,761.0","30,614.0","28,196.0","27,054.0","25,870.0","25,135.0","26,827.0","28,297.0","30,535.0","31,064.0","30,742.0","31,677.0","31,866.0","31,728.0","33,844.0","34,753.0","35,533.0","38,341.0","38,425.0","39,435.0","39,086.0","44,716.0","46,358.0","47,577.0","50,705.0","52,305.0","52,505.0","52,133.0","50,957.0","48,615.0","48,962.0","49,642.0","52,499.0","51,328.0","52,602.0","52,748.0","53,891.0","52,973.0","50,939.0","48,814.0","47,595.0"
"55","34","    Undistributed profits after tax (without IVA and CCAdj)","A450RC1","15,655.0","14,149.0","13,665.0","15,535.0","16,155.0","17,686.0","16,843.0","15,796.0","13,894.0","11,464.0","12,259.0","11,613.0","11,333.0","14,980.0","19,137.0","21,481.0","17,269.0","13,149.0","11,314.0","12,943.0","12,873.0","11,499.0","11,894.0","13,868.0","15,101.0","14,451.0","14,165.0","9,536.0","11,663.0","12,837.0","13,705.0","15,183.0","17,655.0","17,896.0","17,979.0","19,055.0","18,197.0","18,914.0","17,574.0","18,691.0","18,838.0","17,328.0","16,606.0","14,518.0","11,133.0","11,547.0","14,220.0","17,942.0","19,202.0","21,391.0","17,773.0","16,841.0","19,330.0","16,904.0","15,386.0","14,474.0","13,943.0","15,407.0","16,837.0","18,583.0","18,856.0","18,322.0","19,053.0","19,694.0","18,720.0","20,292.0","21,009.0","21,589.0","24,133.0","23,545.0","24,247.0","23,398.0","29,052.0","30,042.0","30,293.0","32,473.0","33,797.0","34,497.0","34,397.0","33,897.0","30,371.0","29,954.0","31,054.0","35,019.0","31,620.0","32,934.0","32,212.0","33,135.0","32,729.0","30,511.0","28,610.0","26,859.0"
"56","35","    Inventory valuation adjustment","B058RC1","-9,652.0","-4,676.0","-4,048.0","-5,220.0","-2,876.0","-2,868.0","-2,796.0","-68.0","1,404.0","2,836.0","2,984.0","200.0","-700.0","-3,316.0","-7,304.0","-8,540.0","-8,724.0","-1,012.0","3,464.0","1,476.0","1,272.0","1,156.0","700.0","796.0","-432.0","-1,596.0","-2,004.0","44.0","-12.0","-36.0","-684.0","-540.0","-1,108.0","-884.0","-2,192.0","-2,760.0","-2,912.0","-3,644.0","-1,192.0","-3,024.0","-2,424.0","-1,508.0","-1,280.0","-944.0","-220.0","312.0","-244.0","-868.0","-628.0","-996.0","-332.0","848.0","-868.0","-604.0","516.0","264.0","-76.0","1,016.0","324.0","-180.0","444.0","-124.0","-752.0","536.0","984.0","216.0","-232.0","-752.0","-236.0","-144.0","-900.0","-696.0","-400.0","-1,120.0","-1,520.0","-1,940.0","-1,196.0","-2,664.0","-3,612.0","-956.0","-372.0","-1,324.0","-1,728.0","-2,792.0","-4,676.0","-2,924.0","-2,952.0","-4,052.0","-4,932.0","-5,220.0","-4,936.0","-8,392.0"
