"","Table 3#9#6# Real Government Consumption Expenditures and Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"36","18","    Consumption expenditures","A997RX1","429,363.0","423,251.0","435,346.0","458,958.0","494,634.0","519,940.0","525,714.0","530,969.0","539,472.0","576,702.0","613,288.0","636,008.0","626,240.0","611,262.0","570,500.0","548,892.0"
"37","19","    Gross investment","A788RX1","90,528.0","91,448.0","96,692.0","109,434.0","121,606.0","133,186.0","140,023.0","147,908.0","156,156.0","171,397.0","174,988.0","177,494.0","168,663.0","156,655.0","145,858.0","139,967.0"
"38","20","      Structures","A808RX1","8,531.0","8,191.0","7,781.0","8,723.0","9,774.0","9,050.0","8,533.0","8,509.0","10,256.0","13,460.0","17,128.0","16,737.0","13,024.0","7,680.0","5,966.0","4,665.0"
"39","21","      Equipment","Y050RX1","37,015.0","38,320.0","41,373.0","48,048.0","52,629.0","59,033.0","62,691.0","68,620.0","72,322.0","84,354.0","86,029.0","89,671.0","85,283.0","82,761.0","76,515.0","73,153.0"
"40","22","      Intellectual property products","Y052RX1","45,966.0","45,684.0","48,026.0","53,099.0","59,754.0","65,338.0","68,887.0","70,764.0","73,590.0","73,601.0","71,831.0","71,095.0","70,294.0","66,180.0","63,325.0","62,112.0"
"41","23","        Software","Y053RX1","6,313.0","6,238.0","5,904.0","5,776.0","5,643.0","5,909.0","6,118.0","6,319.0","6,588.0","6,880.0","6,836.0","7,341.0","7,691.0","7,735.0","7,707.0","7,875.0"
"42","24","        Research and development","Y076RX1","39,428.0","39,228.0","41,966.0","47,234.0","54,093.0","59,427.0","62,772.0","64,447.0","67,004.0","66,721.0","64,995.0","63,762.0","62,629.0","58,500.0","55,694.0","54,337.0"
"43","25","  Nondefense","A825RX1","298,499.0","305,384.0","319,689.0","343,348.0","357,486.0","364,516.0","369,354.0","382,142.0","383,116.0","404,224.0","429,409.0","457,093.0","441,392.0","445,314.0","427,450.0","427,020.0"
"44","26","    Consumption expenditures","A542RX1","214,098.0","222,701.0","235,430.0","253,265.0","264,078.0","270,396.0","274,033.0","282,542.0","282,295.0","299,759.0","320,414.0","339,188.0","323,452.0","330,313.0","317,947.0","319,112.0"
"45","27","    Gross investment","A798RX1","83,298.0","82,194.0","84,116.0","89,987.0","93,348.0","94,148.0","95,352.0","99,594.0","100,792.0","104,458.0","108,995.0","117,917.0","118,027.0","115,006.0","109,486.0","107,843.0"
"46","28","      Structures","A830RX1","16,815.0","12,612.0","11,830.0","14,178.0","14,325.0","12,662.0","9,705.0","10,486.0","11,893.0","11,404.0","12,018.0","16,082.0","16,400.0","13,761.0","10,858.0","11,052.0"
"47","29","      Equipment","Y066RX1","9,443.0","8,817.0","8,414.0","10,509.0","11,136.0","12,142.0","13,892.0","16,112.0","15,368.0","17,329.0","17,689.0","19,128.0","18,158.0","18,545.0","16,070.0","16,945.0"
"48","30","      Intellectual property products","Y067RX1","59,338.0","62,257.0","65,366.0","66,774.0","69,276.0","70,213.0","71,897.0","72,920.0","73,600.0","75,722.0","79,288.0","82,762.0","83,500.0","82,728.0","82,506.0","79,858.0"
"49","31","        Software","Y068RX1","11,373.0","12,188.0","12,808.0","11,522.0","11,572.0","11,972.0","12,863.0","13,475.0","14,394.0","15,201.0","14,996.0","16,040.0","16,866.0","17,259.0","17,330.0","17,676.0"
"50","32","        Research and development","Y069RX1","47,892.0","49,969.0","52,452.0","55,288.0","57,772.0","58,296.0","59,069.0","59,467.0","59,208.0","60,518.0","64,292.0","66,730.0","66,673.0","65,538.0","65,251.0","62,315.0"
"51","33","State and local","A829RX1","1,643,634.0","1,689,147.0","1,751,460.0","1,802,393.0","1,795,291.0","1,792,764.0","1,792,327.0","1,808,844.0","1,836,138.0","1,842,436.0","1,871,406.0","1,820,750.0","1,760,985.0","1,728,072.0","1,710,151.0","1,720,819.0"
"52","34","  Consumption expenditures","A991RX1","1,327,626.0","1,355,493.0","1,401,325.0","1,439,525.0","1,430,329.0","1,431,722.0","1,439,965.0","1,450,724.0","1,474,108.0","1,477,363.0","1,508,360.0","1,469,710.0","1,430,383.0","1,417,550.0","1,411,385.0","1,420,933.0"
"53","35","  Gross investment","A799RX1","316,201.0","333,989.0","350,624.0","363,483.0","365,781.0","361,600.0","352,329.0","358,212.0","362,088.0","365,170.0","363,046.0","351,007.0","330,282.0","309,845.0","297,932.0","299,033.0"
"54","36","    Structures","A842RX1","269,877.0","284,692.0","300,776.0","313,190.0","313,874.0","308,020.0","296,203.0","296,462.0","292,546.0","291,856.0","289,775.0","279,461.0","260,877.0","240,921.0","227,280.0","227,050.0"
"55","37","    Equipment","Y070RX1","30,886.0","32,620.0","33,307.0","33,992.0","34,284.0","34,244.0","34,770.0","37,805.0","43,300.0","45,492.0","44,545.0","42,199.0","39,936.0","39,149.0","40,710.0","41,633.0"
"56","38","    Intellectual property products","Y071RX1","17,924.0","19,173.0","20,022.0","20,452.0","21,400.0","22,406.0","23,310.0","24,985.0","26,399.0","27,825.0","28,726.0","29,339.0","29,481.0","29,963.0","30,475.0","30,993.0"
"57","39","      Software","Y072RX1","8,592.0","9,201.0","9,439.0","9,206.0","9,737.0","10,427.0","10,852.0","11,309.0","11,714.0","12,211.0","12,224.0","12,270.0","12,895.0","13,413.0","13,853.0","14,549.0"
"58","40","      Research and development","Y073RX1","9,250.0","9,882.0","10,519.0","11,254.0","11,656.0","11,950.0","12,428.0","13,660.0","14,680.0","15,611.0","16,502.0","17,067.0","16,599.0","16,576.0","16,659.0","16,508.0"
"59","41","Residual","A979RX1","-14,800.0","-15,200.0","-16,200.0","-14,900.0","-11,200.0","-6,900.0","-3,500.0","-1,600.0","-800.0","-200.0","100.0","0.0","200.0","591.0","1,145.0","1,576.0"
"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","1. Government consumption expenditures are services (such as education and national defense) produced",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","by government that are valued at their cost of production. Excludes government sales to other sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","and government own-account investment (construction, software, and research and development).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","2. Gross government investment consists of general government and government enterprise expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","for fixed assets; inventory investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity index and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","the 2009 current-dollar value of the corresponding series, divided by 100. Because the formula for the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","are usually not additive. The residual line is the difference between the first line and the sum of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
