"","Table 4#2#5# Exports and Imports of Goods and Services by Type o","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"54","36","    Other","B853RC1","3,110.0","3,597.0","3,888.0","5,177.0","7,295.0","8,793.0","9,214.0","11,311.0","12,733.0","17,475.0","21,989.0","26,969.0","31,328.0","32,232.0","34,991.0","48,377.0","47,634.0","54,934.0","63,713.0","75,956.0","81,403.0","82,976.0","83,396.0","90,547.0","103,822.0","127,557.0","155,161.0","154,230.0","166,805.0","175,542.0","190,833.0","231,492.0","193,706.0","184,213.0","196,916.0","233,002.0","263,517.0","292,539.0","309,156.0","321,975.0","249,196.0","301,854.0","358,176.0","389,386.0","389,724.0","420,897.0"
"55","37","  Automotive vehicles, engines, and parts","B651RC1","5,057.0","5,682.0","7,556.0","8,991.0","10,708.0","12,425.0","12,085.0","16,782.0","19,359.0","25,038.0","26,629.0","28,257.0","30,990.0","34,294.0","43,045.0","56,522.0","64,906.0","78,060.0","85,174.0","87,948.0","87,400.0","88,200.0","85,459.0","91,462.0","102,055.0","118,129.0","123,724.0","128,742.0","139,429.0","148,636.0","178,241.0","194,954.0","188,745.0","202,777.0","209,172.0","227,332.0","238,715.0","255,962.0","258,498.0","233,204.0","159,188.0","225,641.0","255,226.0","298,498.0","309,572.0","328,499.0"
"56","38","  Consumer goods, except food and automotive","A652RC1","6,487.0","7,403.0","8,388.0","11,104.0","12,892.0","14,380.0","13,211.0","17,165.0","21,796.0","29,373.0","31,262.0","34,267.0","38,374.0","39,672.0","47,277.0","61,094.0","66,336.0","79,355.0","88,824.0","96,424.0","103,633.0","104,961.0","107,652.0","122,423.0","133,698.0","145,902.0","159,720.0","172,532.0","195,212.0","218,477.0","243,650.0","284,634.0","287,055.0","311,332.0","338,383.0","378,111.0","412,735.0","447,648.0","479,757.0","485,680.0","429,852.0","485,121.0","515,867.0","518,821.0","533,957.0","559,392.0"
"57","39","    Durable goods","B697RC1","3,979.0","4,412.0","5,044.0","6,945.0","8,054.0","9,153.0","7,664.0","9,591.0","13,404.0","18,044.0","19,106.0","21,078.0","23,387.0","23,439.0","27,437.0","34,856.0","38,309.0","45,624.0","48,982.0","52,812.0","56,989.0","55,654.0","56,879.0","63,932.0","70,223.0","77,155.0","83,676.0","90,885.0","100,830.0","113,577.0","127,826.0","151,902.0","148,922.0","163,656.0","175,062.0","202,174.0","224,606.0","244,675.0","264,275.0","266,312.0","225,038.0","259,162.0","271,901.0","276,638.0","289,220.0","301,273.0"
"58","40","    Nondurable goods","B698RC1","2,508.0","2,991.0","3,344.0","4,159.0","4,838.0","5,227.0","5,547.0","7,574.0","8,392.0","11,329.0","12,156.0","13,189.0","14,987.0","16,233.0","19,840.0","26,238.0","28,027.0","33,731.0","39,842.0","43,612.0","46,644.0","49,307.0","50,773.0","58,491.0","63,475.0","68,747.0","76,044.0","81,647.0","94,382.0","104,900.0","115,824.0","132,732.0","138,133.0","147,676.0","163,321.0","175,937.0","188,129.0","202,973.0","215,482.0","219,368.0","204,814.0","225,959.0","243,966.0","242,183.0","244,737.0","258,120.0"
"59","41","  Other","A653RC1","2,304.0","2,482.0","2,677.0","3,033.0","3,258.0","3,701.0","3,312.0","3,802.0","5,092.0","6,014.0","6,812.0","9,054.0","12,348.0","13,328.0","13,630.0","15,780.0","18,304.0","19,478.0","21,806.0","24,344.0","26,896.0","31,652.0","32,912.0","34,644.0","35,806.0","40,580.0","43,062.0","44,696.0","51,246.0","59,424.0","67,234.0","76,402.0","77,742.0","79,326.0","76,718.0","78,916.0","84,888.0","87,150.0","88,830.0","86,500.0","79,988.0","93,060.0","97,090.0","102,437.0","105,512.0","111,256.0"
"60","42","Imports of services \1\","B656RC1","13,678.0","14,905.0","15,792.0","17,282.0","19,316.0","22,945.0","23,729.0","26,514.0","29,813.0","34,841.0","39,887.0","45,258.0","49,944.0","52,642.0","55,961.0","68,791.0","73,934.0","82,861.0","93,945.0","101,869.0","106,239.0","121,657.0","122,824.0","122,864.0","127,212.0","136,612.0","145,123.0","156,518.0","170,120.0","184,939.0","197,401.0","221,155.0","218,700.0","229,637.0","247,742.0","289,114.0","310,712.0","347,605.0","379,396.0","415,630.0","392,884.0","415,178.0","441,634.0","458,020.0","469,776.0","483,415.0"
"61","43","  Transport","Y804RC1","3,536.0","4,058.0","4,420.0","5,116.0","6,484.0","8,037.0","7,971.0","9,420.0","10,720.0","12,020.0","14,090.0","15,397.0","16,961.0","16,483.0","18,229.0","20,581.0","22,086.0","24,270.0","26,294.0","28,621.0","30,419.0","35,496.0","34,990.0","34,373.0","35,936.0","39,082.0","41,700.0","43,215.0","47,099.0","50,335.0","49,620.0","57,606.0","53,840.0","51,491.0","57,863.0","69,158.0","75,643.0","77,962.0","79,326.0","83,988.0","64,133.0","74,628.0","81,377.0","84,985.0","90,634.0","94,219.0"
"62","44","  Travel (for all purposes including education)","Y805RC1","3,373.0","3,980.0","4,373.0","5,042.0","5,526.0","5,980.0","6,417.0","6,856.0","7,451.0","8,475.0","9,413.0","10,397.0","11,830.0","12,788.0","13,572.0","23,390.0","25,066.0","26,469.0","29,894.0","32,794.0","34,169.0","38,193.0","36,227.0","39,608.0","41,866.0","45,067.0","46,373.0","49,665.0","53,803.0","58,452.0","59,591.0","65,787.0","60,729.0","59,941.0","61,883.0","74,024.0","79,988.0","84,206.0","89,235.0","92,545.0","81,421.0","86,623.0","89,700.0","100,338.0","104,107.0","110,787.0"
"63","45","  Charges for the use of intellectual property n.e.c.","B908RC1","223.0","225.0","241.0","293.0","385.0","456.0","583.0","593.0","618.0","791.0","961.0","853.0","804.0","795.0","944.0","1,170.0","1,172.0","1,401.0","1,857.0","2,603.0","2,528.0","3,135.0","4,035.0","5,160.0","5,032.0","5,853.0","6,919.0","7,838.0","9,161.0","11,236.0","13,303.0","16,607.0","16,659.0","19,492.0","19,258.0","23,692.0","25,576.0","25,038.0","26,479.0","29,623.0","31,297.0","32,551.0","36,087.0","38,661.0","38,999.0","42,124.0"
"64","46","  Other business services \3\","Y806RC1","569.0","630.0","735.0","786.0","904.0","1,917.0","2,305.0","2,907.0","3,221.0","3,946.0","4,599.0","5,135.0","5,984.0","7,042.0","6,843.0","7,740.0","8,845.0","13,272.0","16,742.0","17,770.0","19,179.0","22,444.0","25,928.0","24,324.0","26,607.0","30,282.0","33,741.0","38,093.0","41,401.0","45,623.0","56,167.0","61,599.0","66,909.0","74,104.0","79,596.0","89,915.0","95,786.0","126,606.0","149,275.0","174,017.0","178,491.0","183,550.0","197,304.0","200,168.0","204,627.0","206,134.0"
"65","47","  Government goods and services n.e.c.","Y807RC1","5,442.0","5,431.0","5,410.0","5,374.0","5,269.0","5,754.0","5,584.0","5,803.0","6,776.0","8,450.0","9,533.0","12,066.0","12,851.0","13,918.0","14,655.0","14,049.0","14,844.0","15,417.0","16,844.0","17,525.0","17,183.0","19,449.0","18,525.0","16,098.0","14,342.0","12,777.0","12,666.0","13,748.0","14,469.0","15,034.0","14,212.0","14,516.0","15,322.0","19,353.0","23,619.0","26,296.0","27,454.0","27,353.0","28,260.0","28,880.0","31,460.0","31,960.0","31,293.0","27,861.0","25,334.0","24,163.0"
"66","48","  Other","B910RC1","535.0","581.0","613.0","671.0","748.0","801.0","869.0","935.0","1,027.0","1,159.0","1,291.0","1,410.0","1,514.0","1,616.0","1,718.0","1,861.0","1,921.0","2,032.0","2,314.0","2,556.0","2,761.0","2,940.0","3,119.0","3,301.0","3,429.0","3,551.0","3,724.0","3,959.0","4,187.0","4,259.0","4,508.0","5,040.0","5,241.0","5,256.0","5,523.0","6,029.0","6,265.0","6,440.0","6,821.0","6,577.0","6,082.0","5,866.0","5,873.0","6,007.0","6,076.0","5,987.0"
"67",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","49","  Exports of durable goods","A332RC1","23,927.0","27,365.0","27,868.0","31,437.0","42,286.0","57,718.0","65,237.0","70,901.0","74,421.0","87,516.0","109,630.0","135,651.0","143,169.0","128,450.0","123,763.0","135,209.0","139,869.0","145,341.0","166,941.0","211,915.0","242,504.0","265,287.0","285,566.0","304,193.0","317,867.0","353,771.0","398,603.0","426,368.0","488,418.0","492,407.0","508,701.0","573,371.0","525,285.0","492,771.0","501,816.0","565,704.0","629,786.0","715,015.0","782,920.0","829,232.0","671,646.0","801,435.0","893,988.0","939,889.0","956,343.0","994,853.0"
"69","50","  Exports of nondurable goods","A339RC1","14,817.0","17,673.0","18,329.0","21,150.0","33,486.0","45,777.0","47,254.0","50,583.0","53,990.0","62,393.0","77,636.0","94,778.0","102,037.0","94,100.0","90,285.0","96,080.0","87,618.0","86,107.0","98,614.0","120,140.0","132,248.0","137,978.0","144,571.0","151,117.0","149,858.0","164,601.0","193,840.0","202,416.0","211,471.0","200,159.0","203,022.0","223,885.0","218,550.0","220,390.0","239,604.0","268,680.0","296,797.0","334,555.0","383,501.0","469,572.0","393,472.0","478,158.0","572,874.0","586,110.0","604,576.0","623,135.0"
"70","51","  Exports of agricultural goods \4\","B181RC1","6,095.0","7,374.0","7,831.0","9,514.0","17,977.0","22,410.0","22,243.0","23,380.0","24,332.0","29,896.0","35,464.0","42,043.0","44,094.0","37,258.0","37,134.0","38,430.0","29,630.0","27,174.0","29,525.0","38,278.0","41,080.0","40,217.0","40,106.0","44,073.0","43,602.0","47,097.0","57,241.0","61,520.0","58,469.0","53,156.0","49,655.0","52,802.0","54,890.0","54,512.0","60,884.0","62,943.0","64,886.0","72,870.0","92,115.0","117,968.0","100,980.0","118,972.0","140,034.0","145,140.0","148,240.0","154,268.0"
"71","52","  Exports of nonagricultural goods","A182RC1","32,649.0","37,664.0","38,366.0","43,073.0","57,795.0","81,085.0","90,248.0","98,104.0","104,079.0","120,013.0","151,802.0","188,386.0","201,112.0","185,292.0","176,914.0","192,859.0","197,857.0","204,274.0","236,030.0","293,777.0","333,672.0","363,048.0","390,031.0","411,237.0","424,123.0","471,275.0","535,202.0","567,264.0","641,420.0","639,410.0","662,068.0","744,454.0","688,945.0","658,649.0","680,536.0","771,441.0","861,697.0","976,700.0","1,074,306.0","1,180,836.0","964,138.0","1,160,621.0","1,326,828.0","1,380,859.0","1,412,678.0","1,463,720.0"
"72","53","  Imports of durable goods","A333RC1","20,757.0","22,775.0","26,602.0","33,290.0","40,803.0","50,321.0","45,639.0","56,814.0","69,194.0","89,025.0","100,447.0","111,933.0","126,049.0","125,129.0","147,323.0","192,439.0","204,165.0","238,794.0","264,183.0","294,777.0","310,284.0","314,526.0","315,526.0","346,702.0","386,398.0","454,045.0","510,757.0","533,395.0","588,528.0","637,724.0","715,844.0","822,911.0","757,671.0","774,215.0","806,319.0","936,532.0","1,025,695.0","1,131,176.0","1,176,247.0","1,162,953.0","893,778.0","1,106,929.0","1,238,696.0","1,328,526.0","1,360,318.0","1,450,117.0"
"73","54","  Imports of nondurable goods","A340RC1","16,056.0","18,080.0","19,948.0","23,644.0","31,040.0","54,199.0","53,361.0","67,818.0","83,436.0","88,385.0","112,341.0","136,638.0","141,766.0","125,412.0","125,354.0","143,877.0","139,129.0","131,212.0","150,586.0","157,347.0","174,509.0","193,546.0","185,197.0","198,227.0","206,364.0","222,768.0","246,691.0","274,053.0","297,128.0","293,027.0","335,366.0","428,564.0","419,025.0","425,121.0","489,873.0","575,031.0","693,679.0","768,482.0","827,524.0","986,426.0","696,516.0","842,885.0","1,006,036.0","977,298.0","941,559.0","938,396.0"
"74","55","  Imports of nonpetroleum goods","A187RC1","34,164.0","37,928.0","42,900.0","52,284.0","63,428.0","77,912.0","71,982.0","90,060.0","107,648.0","134,856.0","152,358.0","169,057.0","189,442.0","188,590.0","217,589.0","278,266.0","291,910.0","335,727.0","371,825.0","412,492.0","433,881.0","445,776.0","448,983.0","493,350.0","541,280.0","625,537.0","701,419.0","734,702.0","813,885.0","879,847.0","979,092.0","1,125,334.0","1,067,272.0","1,090,048.0","1,155,785.0","1,321,642.0","1,456,199.0","1,582,991.0","1,657,082.0","1,673,250.0","1,322,584.0","1,596,167.0","1,782,583.0","1,871,482.0","1,914,117.0","2,037,586.0"
"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","government, are included in services. Beginning with 1986, repairs and alterations of equipment are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","2. Includes net exports of goods under merchanting, beginning in 1999, reclassified from services to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","3. Includes maintenance and repair services, insurance services, financial services, telecommunication,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","computer and information services and other other business services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","4. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","of nondurable nonautomotive consumer goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
