"","Table 1#13# National Income by Sector, Legal Form of Organizatio","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"53","35","      Taxes on production and imports less subsidies plus business current transfer payments","W473RC1","3,290.0","3,577.0","3,841.0","3,827.0","4,116.0","4,049.0","4,423.0","4,674.0","4,982.0","4,557.0","3,713.0","3,193.0","2,406.0","1,355.0","1,169.0","1,681.0","1,824.0","3,238.0","4,681.0","5,973.0","6,029.0","6,043.0","6,106.0","6,120.0","4,213.0","3,397.0","1,264.0","1,390.0","2,397.0","4,053.0","5,377.0","7,044.0","7,259.0","7,004.0","7,958.0","9,387.0","11,118.0","12,743.0","12,737.0","13,524.0","12,771.0","12,903.0","11,351.0","12,787.0","14,252.0","14,185.0"
"54","36","    Government enterprises","W474RC1","11,944.0","12,789.0","13,790.0","15,674.0","16,304.0","18,274.0","18,980.0","22,225.0","23,178.0","26,029.0","28,401.0","30,604.0","34,975.0","38,269.0","42,799.0","47,360.0","54,015.0","56,472.0","59,017.0","66,563.0","72,136.0","74,966.0","82,726.0","90,042.0","91,858.0","96,734.0","102,765.0","106,832.0","110,625.0","113,362.0","117,751.0","119,779.0","118,978.0","125,881.0","126,988.0","130,526.0","129,080.0","131,044.0","129,485.0","128,362.0","128,166.0","128,422.0","127,640.0","131,478.0","133,878.0","136,199.0"
"55","37","      Compensation of employees","A1658C1","11,939.0","13,988.0","15,488.0","16,830.0","18,508.0","20,957.0","23,334.0","24,931.0","26,512.0","28,876.0","31,613.0","35,655.0","40,146.0","42,063.0","45,111.0","48,735.0","52,708.0","54,509.0","56,850.0","61,523.0","65,464.0","71,733.0","74,887.0","80,113.0","81,087.0","84,905.0","87,147.0","89,942.0","93,171.0","97,100.0","101,581.0","109,051.0","113,816.0","118,888.0","123,099.0","132,323.0","135,477.0","140,356.0","145,926.0","149,569.0","148,796.0","151,308.0","152,152.0","150,766.0","152,665.0","154,458.0"
"56","38","        Wages and salaries","B1659C1","10,171.0","11,736.0","12,524.0","13,538.0","14,908.0","16,783.0","18,536.0","19,761.0","20,927.0","22,882.0","24,998.0","28,246.0","31,691.0","33,137.0","35,299.0","38,107.0","40,821.0","42,467.0","44,964.0","48,286.0","50,563.0","54,638.0","57,093.0","60,161.0","60,963.0","63,783.0","65,700.0","68,002.0","70,383.0","73,306.0","75,991.0","81,550.0","84,154.0","87,841.0","89,716.0","94,823.0","96,534.0","99,919.0","103,804.0","106,277.0","105,363.0","104,545.0","104,784.0","103,605.0","104,318.0","105,543.0"
"57","39","        Supplements to wages and salaries","B1660C1","1,768.0","2,252.0","2,964.0","3,292.0","3,600.0","4,174.0","4,798.0","5,170.0","5,585.0","5,994.0","6,615.0","7,409.0","8,455.0","8,926.0","9,812.0","10,628.0","11,887.0","12,042.0","11,886.0","13,237.0","14,901.0","17,095.0","17,794.0","19,952.0","20,124.0","21,122.0","21,447.0","21,940.0","22,788.0","23,794.0","25,590.0","27,501.0","29,662.0","31,047.0","33,383.0","37,500.0","38,943.0","40,437.0","42,122.0","43,292.0","43,433.0","46,763.0","47,368.0","47,161.0","48,347.0","48,915.0"
"58","40","      Current surplus of government enterprises \1\","A108RC1","5.0","-1,199.0","-1,698.0","-1,156.0","-2,204.0","-2,683.0","-4,354.0","-2,706.0","-3,334.0","-2,847.0","-3,212.0","-5,051.0","-5,171.0","-3,794.0","-2,312.0","-1,375.0","1,307.0","1,963.0","2,167.0","5,040.0","6,672.0","3,233.0","7,839.0","9,929.0","10,771.0","11,829.0","15,618.0","16,890.0","17,454.0","16,262.0","16,170.0","10,728.0","5,162.0","6,993.0","3,889.0","-1,797.0","-6,397.0","-9,312.0","-16,441.0","-21,207.0","-20,630.0","-22,886.0","-24,512.0","-19,288.0","-18,787.0","-18,260.0"
"59","41","Households and institutions","W503RC1","72,351.0","78,745.0","86,990.0","94,466.0","102,252.0","111,260.0","122,076.0","132,073.0","141,896.0","157,895.0","174,527.0","198,457.0","225,468.0","252,690.0","279,761.0","306,813.0","329,649.0","358,204.0","393,494.0","436,898.0","474,200.0","517,329.0","553,355.0","592,415.0","635,323.0","677,156.0","720,912.0","758,880.0","802,205.0","854,940.0","911,128.0","972,677.0","1,029,202.0","1,090,573.0","1,136,263.0","1,187,514.0","1,237,454.0","1,293,209.0","1,335,884.0","1,440,686.0","1,510,347.0","1,528,309.0","1,576,126.0","1,624,787.0","1,659,221.0","1,717,570.0"
"60","42","  Households","W504RC1","46,041.0","49,359.0","54,129.0","58,190.0","61,957.0","66,443.0","72,124.0","77,690.0","82,478.0","91,586.0","100,162.0","113,375.0","129,009.0","144,393.0","159,263.0","173,559.0","186,777.0","201,695.0","217,468.0","238,056.0","256,290.0","277,490.0","293,645.0","312,142.0","335,000.0","361,472.0","388,102.0","409,402.0","433,015.0","459,924.0","491,688.0","526,536.0","563,052.0","588,143.0","606,837.0","631,299.0","663,845.0","693,091.0","710,652.0","774,197.0","812,704.0","818,830.0","839,272.0","854,322.0","868,488.0","899,396.0"
"61","43","    Compensation of employees","W151RC1","4,439.0","4,501.0","4,555.0","4,637.0","4,819.0","4,588.0","4,634.0","5,411.0","5,931.0","6,538.0","6,378.0","6,103.0","6,163.0","6,250.0","6,283.0","7,292.0","7,341.0","7,739.0","7,729.0","8,344.0","8,963.0","9,428.0","9,191.0","10,222.0","10,848.0","11,241.0","12,033.0","12,156.0","12,195.0","14,133.0","12,884.0","13,766.0","13,059.0","12,821.0","14,238.0","15,173.0","15,358.0","16,473.0","18,131.0","19,202.0","17,552.0","15,461.0","16,481.0","17,670.0","18,268.0","20,813.0"
"62","44","      Wages and salaries","B1661C1","4,376.0","4,440.0","4,492.0","4,572.0","4,746.0","4,513.0","4,555.0","5,326.0","5,845.0","6,434.0","6,271.0","5,999.0","6,036.0","6,135.0","6,166.0","7,147.0","7,192.0","7,586.0","7,572.0","8,170.0","8,778.0","9,223.0","8,971.0","9,956.0","10,533.0","10,915.0","11,693.0","11,814.0","11,856.0","13,782.0","12,547.0","13,419.0","12,761.0","12,523.0","13,910.0","14,827.0","15,000.0","16,118.0","17,694.0","18,585.0","16,748.0","14,765.0","15,865.0","16,752.0","17,649.0","20,166.0"
"63","45","      Supplements to wages and salaries","B1662C1","63.0","61.0","63.0","65.0","73.0","75.0","79.0","85.0","86.0","104.0","107.0","104.0","127.0","115.0","117.0","145.0","149.0","153.0","157.0","174.0","185.0","205.0","220.0","267.0","315.0","326.0","340.0","342.0","339.0","351.0","338.0","348.0","298.0","299.0","329.0","346.0","358.0","354.0","437.0","617.0","805.0","697.0","616.0","918.0","619.0","647.0"
"64","46","    Rental income of persons with CCAdj","B1156C1","14,414.0","14,508.0","15,481.0","15,311.0","14,544.0","14,850.0","13,900.0","11,998.0","7,048.0","7,139.0","5,727.0","5,631.0","5,770.0","2,147.0","1,260.0","-1,181.0","-4,181.0","-9,459.0","-9,849.0","-3,586.0","-3,339.0","-68.0","5,803.0","19,815.0","42,601.0","62,165.0","68,533.0","82,712.0","84,954.0","101,291.0","115,189.0","120,852.0","134,778.0","146,301.0","165,348.0","180,194.0","158,055.0","124,340.0","96,397.0","147,234.0","216,751.0","268,070.0","326,959.0","355,385.0","393,907.0","433,143.0"
"65","47","    Net interest","A2015C1","14,516.0","15,945.0","18,182.0","20,979.0","24,023.0","27,514.0","32,056.0","36,084.0","42,618.0","50,310.0","60,193.0","71,542.0","83,273.0","99,284.0","112,722.0","125,571.0","139,322.0","155,167.0","166,407.0","177,596.0","191,990.0","205,568.0","211,244.0","213,364.0","209,983.0","213,054.0","232,289.0","239,293.0","252,757.0","262,840.0","279,084.0","305,843.0","326,252.0","329,310.0","320,328.0","322,142.0","365,676.0","418,596.0","460,617.0","470,331.0","430,087.0","388,476.0","355,237.0","325,973.0","295,454.0","288,162.0"
"66","48","    Taxes on production and imports less subsidies plus business current transfer payments","W478RC1","12,675.0","14,407.0","15,913.0","17,265.0","18,575.0","19,495.0","21,537.0","24,201.0","26,898.0","27,617.0","27,886.0","30,124.0","33,832.0","36,748.0","38,996.0","41,877.0","44,294.0","48,248.0","53,180.0","55,702.0","58,677.0","62,563.0","67,408.0","68,741.0","71,569.0","75,013.0","75,247.0","75,241.0","83,109.0","81,660.0","84,530.0","86,075.0","88,963.0","99,710.0","106,923.0","113,788.0","124,758.0","133,682.0","135,506.0","137,430.0","148,314.0","146,821.0","140,594.0","155,293.0","160,859.0","157,279.0"
"67","49","  Nonprofit institutions serving households","W505RC1","26,310.0","29,386.0","32,861.0","36,276.0","40,295.0","44,817.0","49,952.0","54,383.0","59,418.0","66,309.0","74,365.0","85,082.0","96,459.0","108,297.0","120,498.0","133,254.0","142,872.0","156,509.0","176,026.0","198,842.0","217,910.0","239,839.0","259,710.0","280,273.0","300,323.0","315,684.0","332,810.0","349,478.0","369,190.0","395,016.0","419,440.0","446,141.0","466,150.0","502,430.0","529,426.0","556,215.0","573,609.0","600,118.0","625,232.0","666,489.0","697,643.0","709,479.0","736,854.0","770,466.0","790,732.0","818,174.0"
"68","50","    Compensation of employees","W152RC1","25,038.0","27,899.0","31,041.0","34,308.0","38,191.0","42,555.0","47,331.0","51,646.0","56,439.0","62,960.0","70,547.0","80,426.0","90,681.0","101,073.0","111,845.0","122,622.0","132,198.0","144,378.0","163,306.0","184,762.0","202,783.0","224,226.0","243,234.0","262,796.0","280,562.0","296,387.0","312,153.0","327,506.0","346,028.0","370,825.0","394,667.0","421,117.0","440,364.0","476,240.0","503,480.0","530,426.0","548,005.0","574,433.0","598,638.0","639,010.0","669,077.0","680,986.0","707,460.0","741,481.0","762,016.0","789,154.0"
"69","51","      Wages and salaries","W481RC1","23,345.0","25,873.0","28,592.0","31,339.0","34,536.0","38,348.0","42,475.0","46,148.0","50,078.0","56,185.0","62,889.0","71,844.0","80,879.0","90,186.0","98,545.0","106,707.0","114,645.0","125,003.0","141,568.0","161,261.0","175,940.0","193,830.0","209,355.0","224,817.0","239,747.0","253,431.0","266,849.0","280,575.0","296,867.0","316,265.0","334,762.0","357,998.0","373,978.0","399,575.0","418,570.0","437,369.0","451,233.0","474,821.0","498,261.0","531,334.0","549,385.0","562,550.0","581,167.0","607,983.0","624,385.0","647,573.0"
"70","52","      Supplements to wages and salaries","W482RC1","1,693.0","2,026.0","2,449.0","2,969.0","3,655.0","4,207.0","4,856.0","5,498.0","6,361.0","6,775.0","7,659.0","8,581.0","9,803.0","10,887.0","13,299.0","15,915.0","17,554.0","19,375.0","21,737.0","23,502.0","26,843.0","30,396.0","33,879.0","37,979.0","40,815.0","42,957.0","45,304.0","46,931.0","49,162.0","54,559.0","59,905.0","63,119.0","66,386.0","76,666.0","84,909.0","93,057.0","96,772.0","99,613.0","100,377.0","107,676.0","119,692.0","118,437.0","126,293.0","133,498.0","137,631.0","141,581.0"
"71","53","    Rental income of persons","W159RC1",".....",".....","147.0","155.0","129.0","99.0","92.0","89.0","160.0","170.0","194.0","349.0","540.0","771.0","928.0","951.0","1,116.0","1,136.0","1,141.0","1,129.0","1,106.0","1,177.0","1,275.0","1,571.0","1,786.0","2,118.0","2,625.0","2,900.0","3,238.0","3,660.0","3,818.0","3,773.0","4,286.0","4,677.0","4,692.0","4,820.0","4,866.0","5,022.0","5,602.0","6,157.0","7,308.0","7,995.0","9,248.0","9,635.0","9,564.0","10,090.0"
"72","54","    Net interest","B1131C1","567.0","682.0","769.0","843.0","946.0","1,104.0","1,388.0","1,428.0","1,515.0","1,891.0","2,343.0","2,954.0","3,744.0","4,787.0","5,910.0","7,713.0","7,459.0","8,745.0","9,090.0","10,270.0","11,075.0","11,244.0","11,703.0","12,227.0","14,263.0","13,247.0","14,084.0","14,974.0","15,585.0","15,992.0","16,153.0","16,183.0","16,129.0","15,667.0","15,025.0","14,304.0","13,539.0","12,838.0","12,333.0","12,151.0","11,534.0","10,768.0","10,248.0","9,413.0","9,102.0","8,842.0"
"73","55","    Taxes on production and imports","B1320C1","705.0","805.0","905.0","969.0","1,028.0","1,059.0","1,140.0","1,221.0","1,304.0","1,288.0","1,281.0","1,354.0","1,493.0","1,666.0","1,816.0","1,968.0","2,099.0","2,250.0","2,490.0","2,680.0","2,945.0","3,190.0","3,498.0","3,679.0","3,712.0","3,931.0","3,948.0","4,098.0","4,338.0","4,538.0","4,801.0","5,068.0","5,371.0","5,847.0","6,229.0","6,664.0","7,199.0","7,825.0","8,660.0","9,171.0","9,725.0","9,730.0","9,897.0","9,937.0","10,051.0","10,088.0"
"74","56","General government","A194RC1","116,051.0","128,334.0","141,192.0","154,332.0","165,297.0","178,275.0","196,570.0","209,779.0","225,951.0","246,047.0","266,151.0","292,349.0","320,681.0","346,832.0","368,593.0","395,743.0","428,145.0","454,908.0","482,649.0","518,212.0","559,586.0","604,689.0","645,038.0","684,892.0","707,268.0","731,603.0","752,980.0","773,546.0","802,430.0","838,368.0","886,795.0","942,844.0","1,005,587.0","1,072,754.0","1,143,446.0","1,210,543.0","1,268,656.0","1,325,879.0","1,395,059.0","1,467,923.0","1,517,365.0","1,572,165.0","1,584,993.0","1,592,527.0","1,608,572.0","1,645,375.0"
"75","57","  Compensation of employees","A194RC1","116,051.0","128,334.0","141,192.0","154,332.0","165,297.0","178,275.0","196,570.0","209,779.0","225,951.0","246,047.0","266,151.0","292,349.0","320,681.0","346,832.0","368,593.0","395,743.0","428,145.0","454,908.0","482,649.0","518,212.0","559,586.0","604,689.0","645,038.0","684,892.0","707,268.0","731,603.0","752,980.0","773,546.0","802,430.0","838,368.0","886,795.0","942,844.0","1,005,587.0","1,072,754.0","1,143,446.0","1,210,543.0","1,268,656.0","1,325,879.0","1,395,059.0","1,467,923.0","1,517,365.0","1,572,165.0","1,584,993.0","1,592,527.0","1,608,572.0","1,645,375.0"
"76","58","    Wages and salaries","B1663C1","95,429.0","105,496.0","114,256.0","124,349.0","133,891.0","143,729.0","157,704.0","169,145.0","181,661.0","197,136.0","212,138.0","233,215.0","254,158.0","274,400.0","289,496.0","310,031.0","333,042.0","354,753.0","378,153.0","403,751.0","430,543.0","464,411.0","491,672.0","511,840.0","528,047.0","545,713.0","563,326.0","580,092.0","601,504.0","628,007.0","657,775.0","698,237.0","737,844.0","785,314.0","823,593.0","857,841.0","894,977.0","935,050.0","985,042.0","1,037,829.0","1,069,783.0","1,086,546.0","1,089,972.0","1,094,635.0","1,103,321.0","1,131,703.0"
"77","59","    Supplements to wages and salaries","B1664C1","20,622.0","22,838.0","26,936.0","29,983.0","31,406.0","34,546.0","38,866.0","40,634.0","44,290.0","48,911.0","54,013.0","59,134.0","66,523.0","72,432.0","79,097.0","85,712.0","95,103.0","100,155.0","104,496.0","114,461.0","129,043.0","140,278.0","153,366.0","173,052.0","179,221.0","185,890.0","189,654.0","193,454.0","200,926.0","210,361.0","229,020.0","244,607.0","267,743.0","287,440.0","319,853.0","352,702.0","373,679.0","390,829.0","410,017.0","430,094.0","447,582.0","485,619.0","495,021.0","497,891.0","505,252.0","513,671.0"
"78","60","Rest of the world","A192RC1","6,115.0","6,393.0","7,594.0","8,558.0","12,619.0","15,520.0","13,004.0","16,847.0","20,292.0","21,581.0","31,931.0","34,185.0","32,935.0","36,510.0","37,085.0","36,290.0","25,365.0","16,957.0","17,488.0","22,657.0","24,789.0","34,692.0","31,586.0","31,077.0","31,998.0","23,865.0","28,758.0","31,782.0","24,102.0","18,234.0","27,131.0","37,007.0","51,803.0","48,599.0","67,114.0","89,132.0","92,569.0","67,600.0","125,581.0","172,011.0","151,048.0","205,969.0","246,639.0","237,574.0","250,360.0","263,109.0"
"79","61","  Compensation of employees","A4187C1","22.0","23.0","21.0","-1.0","-13.0","-22.0","-43.0","-37.0","-62.0","-99.0","-71.0","-98.0","-156.0","-192.0","-173.0","-211.0","-215.0","-1,782.0","-1,356.0","-867.0","-1,285.0","-2,307.0","-2,751.0","-2,965.0","-3,320.0","-4,015.0","-4,090.0","-4,125.0","-4,402.0","-4,563.0","-7,170.0","-6,565.0","-7,205.0","-7,799.0","-8,242.0","-9,243.0","-11,116.0","-11,361.0","-10,506.0","-11,701.0","-8,682.0","-8,034.0","-8,082.0","-8,646.0","-9,074.0","-9,431.0"
"80","62","  Corporate profits","B394RC1","6,595.0","7,100.0","7,855.0","9,534.0","14,898.0","17,469.0","14,631.0","16,548.0","19,113.0","22,869.0","34,611.0","35,471.0","29,679.0","32,587.0","35,056.0","36,569.0","38,098.0","39,474.0","48,009.0","56,985.0","67,131.0","76,087.0","76,471.0","73,090.0","76,931.0","77,966.0","92,947.0","101,970.0","107,554.0","102,761.0","122,003.0","146,179.0","170,400.0","158,757.0","166,628.0","205,032.0","239,077.0","256,164.0","353,383.0","406,697.0","357,190.0","395,181.0","421,908.0","410,339.0","414,789.0","418,225.0"
"81","63","  Net interest","A1627C1","-502.0","-730.0","-282.0","-971.0","-2,268.0","-1,940.0","-1,595.0","336.0","1,241.0","-1,189.0","-2,603.0","-1,188.0","3,412.0","4,100.0","2,200.0","-100.0","-12,525.0","-20,735.0","-29,168.0","-33,460.0","-41,055.0","-39,089.0","-42,132.0","-39,050.0","-41,612.0","-50,086.0","-60,101.0","-66,065.0","-79,051.0","-79,966.0","-87,702.0","-102,607.0","-111,390.0","-102,360.0","-91,273.0","-106,654.0","-135,392.0","-177,199.0","-217,292.0","-222,983.0","-197,459.0","-181,179.0","-167,188.0","-164,119.0","-155,354.0","-145,685.0"
"82",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",NA,"  Corporate business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","64","    Corporate profits with IVA and CCAdj","A445RC1","91,821.0","79,144.0","92,792.0","107,677.0","118,492.0","108,236.0","124,228.0","157,790.0","186,670.0","215,699.0","214,369.0","188,088.0","217,815.0","197,270.0","244,711.0","301,313.0","316,390.0","284,899.0","317,973.0","357,895.0","347,109.0","341,065.0","374,858.0","402,180.0","445,068.0","543,948.0","610,070.0","684,084.0","758,214.0","701,349.0","708,225.0","635,025.0","583,644.0","748,412.0","889,738.0","1,078,313.0","1,238,650.0","1,390,341.0","1,175,609.0","878,365.0","1,039,782.0","1,351,238.0","1,394,720.0","1,587,826.0","1,622,600.0","1,654,718.0"
"85","65","      Profits before tax (without IVA and CCAdj)","E561RC1","90,057.0","79,163.0","91,417.0","106,350.0","131,234.0","144,057.0","140,142.0","179,665.0","209,382.0","247,540.0","266,531.0","247,289.0","246,947.0","199,740.0","228,832.0","261,671.0","251,553.0","226,720.0","282,781.0","331,371.0","322,274.0","327,966.0","352,846.0","389,469.0","429,012.0","523,738.0","592,304.0","636,772.0","689,335.0","625,315.0","644,144.0","600,908.0","520,236.0","630,182.0","802,824.0","1,049,578.0","1,414,245.0","1,595,259.0","1,395,034.0","975,748.0","1,115,360.0","1,445,507.0","1,384,899.0","1,720,475.0","1,746,838.0","1,789,559.0"
"86","66","      Inventory valuation adjustment","B058RC1","-5,870.0","-6,552.0","-4,584.0","-6,610.0","-19,569.0","-38,221.0","-10,544.0","-14,113.0","-15,698.0","-23,709.0","-40,138.0","-42,133.0","-24,626.0","-7,505.0","-7,445.0","-3,979.0","21.0","7,061.0","-16,239.0","-22,174.0","-16,348.0","-12,892.0","4,927.0","-2,821.0","-4,021.0","-12,436.0","-18,284.0","3,071.0","14,090.0","15,743.0","-3,954.0","-16,809.0","8,044.0","6,136.0","-9,558.0","-39,453.0","-32,132.0","-35,675.0","-39,523.0","-36,958.0","6,660.0","-41,007.0","-68,289.0","-14,191.0","3,233.0","-2,935.0"
"87","67","      Capital consumption adjustment","A059RC1","7,634.0","6,533.0","5,960.0","7,937.0","6,828.0","2,399.0","-5,370.0","-7,763.0","-7,012.0","-8,132.0","-12,024.0","-17,065.0","-4,505.0","5,035.0","23,325.0","43,620.0","64,818.0","51,119.0","51,431.0","48,697.0","41,185.0","25,993.0","17,085.0","15,531.0","20,075.0","32,646.0","36,049.0","44,242.0","54,792.0","60,290.0","68,036.0","50,925.0","55,360.0","112,092.0","96,481.0","68,188.0","-143,463.0","-169,242.0","-179,902.0","-60,424.0","-82,240.0","-53,262.0","78,111.0","-118,458.0","-127,471.0","-131,906.0"
"88",NA,"  Sole proprietors and partnerships:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","68","    Proprietors' income with IVA and CCAdj","A1645C1","76,557.0","77,356.0","83,429.0","94,537.0","111,921.0","111,651.0","117,690.0","130,405.0","143,879.0","165,343.0","178,772.0","171,001.0","179,080.0","170,467.0","185,252.0","226,990.0","240,034.0","255,497.0","284,842.0","323,995.0","340,028.0","352,913.0","354,165.0","400,462.0","428,571.0","457,069.0","481,969.0","545,045.0","585,225.0","642,227.0","698,995.0","756,425.0","835,415.0","869,790.0","898,868.0","959,780.0","976,570.0","1,050,753.0","975,655.0","1,022,234.0","968,342.0","1,027,801.0","1,138,958.0","1,235,950.0","1,279,477.0","1,340,860.0"
"90","69","      Farm proprietors' income with IVA and CCAdj","B042RC1","12,833.0","12,894.0","13,386.0","17,023.0","29,075.0","23,468.0","21,999.0","17,210.0","15,964.0","19,922.0","22,150.0","11,707.0","19,028.0","13,314.0","6,173.0","20,938.0","20,981.0","22,795.0","28,894.0","26,790.0","33,025.0","32,156.0","26,783.0","34,758.0","31,356.0","34,651.0","22,007.0","37,319.0","32,370.0","28,449.0","28,107.0","31,476.0","32,066.0","19,929.0","38,047.0","50,439.0","46,367.0","35,975.0","38,103.0","46,991.0","35,462.0","45,998.0","75,542.0","61,563.0","88,755.0","78,123.0"
"91","70","        Proprietors' income with IVA","A043RC1","13,629.0","13,801.0","14,454.0","18,210.0","30,335.0","25,300.0","24,639.0","20,148.0","19,274.0","23,689.0","26,601.0","17,298.0","25,606.0","20,447.0","13,135.0","27,605.0","27,156.0","28,900.0","34,757.0","32,518.0","38,766.0","37,845.0","32,470.0","40,382.0","36,836.0","40,075.0","27,439.0","42,587.0","37,370.0","33,236.0","32,851.0","36,137.0","36,702.0","24,448.0","42,571.0","55,284.0","51,817.0","41,843.0","44,238.0","53,504.0","41,822.0","51,845.0","81,404.0","67,418.0","94,562.0","84,086.0"
"92","71","        Capital consumption adjustment","B044RC1","-796.0","-907.0","-1,068.0","-1,187.0","-1,260.0","-1,832.0","-2,640.0","-2,938.0","-3,310.0","-3,767.0","-4,451.0","-5,591.0","-6,578.0","-7,133.0","-6,962.0","-6,667.0","-6,175.0","-6,105.0","-5,863.0","-5,728.0","-5,741.0","-5,689.0","-5,687.0","-5,624.0","-5,480.0","-5,424.0","-5,432.0","-5,268.0","-5,000.0","-4,787.0","-4,744.0","-4,661.0","-4,636.0","-4,519.0","-4,524.0","-4,845.0","-5,450.0","-5,868.0","-6,135.0","-6,513.0","-6,360.0","-5,847.0","-5,862.0","-5,855.0","-5,807.0","-5,963.0"
"93","72","      Nonfarm proprietors' income with IVA and CCAdj","A1646C1","63,724.0","64,462.0","70,043.0","77,514.0","82,846.0","88,183.0","95,691.0","113,195.0","127,915.0","145,421.0","156,622.0","159,294.0","160,052.0","157,153.0","179,079.0","206,052.0","219,053.0","232,702.0","255,948.0","297,205.0","307,003.0","320,757.0","327,382.0","365,704.0","397,215.0","422,418.0","459,962.0","507,726.0","552,855.0","613,778.0","670,888.0","724,949.0","803,349.0","849,861.0","860,821.0","909,341.0","930,203.0","1,014,778.0","937,552.0","975,243.0","932,880.0","981,803.0","1,063,416.0","1,174,387.0","1,190,722.0","1,262,737.0"
"94","73","        Proprietor's income (without IVA and CCAdj)","A1647C1","64,483.0","65,420.0","71,256.0","78,318.0","84,795.0","92,091.0","98,086.0","115,366.0","129,721.0","147,346.0","158,018.0","160,617.0","156,011.0","153,025.0","166,180.0","183,419.0","187,493.0","196,362.0","225,866.0","267,942.0","277,667.0","301,534.0","310,553.0","347,181.0","378,728.0","408,611.0","446,373.0","487,468.0","522,718.0","576,903.0","625,650.0","672,101.0","728,392.0","761,176.0","767,122.0","813,195.0","867,890.0","944,104.0","861,147.0","833,336.0","791,262.0","837,092.0","879,546.0","1,017,361.0","1,004,750.0","1,064,639.0"
"95","74","        Inventory valuation adjustment","B179RC1","-464.0","-533.0","-557.0","-721.0","-1,887.0","-3,393.0","-1,105.0","-1,060.0","-1,111.0","-1,887.0","-2,637.0","-2,890.0","-1,255.0","-503.0","-516.0","-402.0","-186.0","-38.0","-811.0","-1,200.0","-1,320.0","-1,118.0","-120.0","-537.0","-431.0","-738.0","-1,469.0","-404.0","987.0","1,281.0","-885.0","-1,730.0","984.0","433.0","-1,329.0","-4,551.0","-4,007.0","-3,587.0","-6,452.0","-4,590.0","1,368.0","-6,257.0","-9,952.0","-1,812.0","61.0","1,110.0"
"96","75","        Capital consumption adjustment","A2205C1","-295.0","-425.0","-656.0","-83.0","-62.0","-515.0","-1,290.0","-1,111.0","-695.0","-38.0","1,241.0","1,567.0","5,296.0","4,631.0","13,415.0","23,035.0","31,746.0","36,378.0","30,893.0","30,463.0","30,656.0","20,341.0","16,949.0","19,060.0","18,918.0","14,545.0","15,058.0","20,662.0","29,150.0","35,594.0","46,123.0","54,578.0","73,973.0","88,252.0","95,028.0","100,697.0","66,320.0","74,261.0","82,857.0","146,497.0","140,250.0","150,968.0","193,822.0","158,838.0","185,911.0","196,987.0"
"97",NA,"  Other private business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","76","    Proprietors' income with IVA and CCAdj","A1654C1","448.0","447.0","475.0","557.0","600.0","562.0","548.0","569.0","613.0","631.0","666.0","568.0","600.0","724.0","998.0","1,257.0","1,018.0","982.0","1,626.0","1,848.0","1,910.0","1,536.0","1,791.0","1,900.0","1,939.0","2,431.0","2,487.0","2,326.0","2,629.0","1,967.0","1,443.0","1,346.0","1,370.0","1,247.0","1,199.0","2,273.0","2,387.0","2,932.0","3,515.0","4,240.0","4,654.0","4,892.0","4,709.0","5,420.0","5,619.0","5,816.0"
"99","77","      Proprietors' income with IVA","B1207C1","512.0","527.0","574.0","663.0","721.0","732.0","796.0","853.0","936.0","994.0","1,085.0","1,085.0","1,193.0","1,345.0","1,616.0","1,860.0","1,607.0","1,565.0","2,209.0","2,464.0","2,555.0","2,211.0","2,465.0","2,560.0","2,596.0","3,094.0","3,173.0","2,992.0","3,274.0","2,571.0","2,021.0","1,944.0","1,966.0","1,835.0","1,775.0","2,892.0","3,076.0","3,699.0","4,361.0","5,167.0","5,563.0","5,807.0","6,180.0","6,938.0","7,128.0","7,325.0"
