"","Table 1#12# National Income by Type of Income","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"19","1","    National income","A032RC1","899,520.0","940,149.0","1,017,016.0","1,122,976.0","1,256,980.0","1,350,769.0","1,451,148.0","1,614,767.0","1,798,653.0","2,029,939.0","2,248,153.0","2,426,752.0","2,722,132.0","2,840,412.0","3,060,514.0","3,443,987.0","3,684,189.0","3,848,203.0","4,119,198.0","4,493,372.0","4,782,194.0","5,036,095.0","5,186,125.0","5,499,748.0","5,754,784.0","6,140,229.0","6,479,476.0","6,899,394.0","7,380,370.0","7,857,280.0","8,324,399.0","8,907,019.0","9,184,633.0","9,436,823.0","9,864,188.0","10,540,946.0","11,239,820.0","12,004,751.0","12,321,373.0","12,427,821.0","12,126,078.0","12,739,542.0","13,352,255.0","14,061,878.0","14,458,333.0","15,076,508.0"
"20","2","Compensation of employees","A033RC1","586,016.0","625,117.0","667,030.0","733,641.0","815,039.0","890,320.0","950,175.0","1,051,234.0","1,168,985.0","1,320,225.0","1,481,035.0","1,626,229.0","1,795,268.0","1,894,319.0","2,013,907.0","2,217,404.0","2,388,965.0","2,543,844.0","2,724,310.0","2,950,040.0","3,142,566.0","3,342,670.0","3,451,998.0","3,671,132.0","3,820,671.0","4,010,129.0","4,202,649.0","4,422,110.0","4,714,693.0","5,077,823.0","5,410,309.0","5,856,581.0","6,046,546.0","6,141,911.0","6,364,463.0","6,739,534.0","7,086,801.0","7,502,337.0","7,898,261.0","8,078,256.0","7,786,973.0","7,961,448.0","8,269,030.0","8,609,898.0","8,839,675.0","9,248,931.0"
"21","3","  Wages and salaries","A034RC1","518,333.0","551,560.0","584,549.0","638,785.0","708,762.0","772,282.0","814,838.0","899,745.0","994,158.0","1,120,570.0","1,253,314.0","1,373,422.0","1,511,373.0","1,587,517.0","1,677,513.0","1,844,915.0","1,982,550.0","2,102,335.0","2,256,267.0","2,439,782.0","2,583,051.0","2,741,199.0","2,814,478.0","2,965,541.0","3,079,340.0","3,236,589.0","3,418,022.0","3,616,469.0","3,876,844.0","4,181,616.0","4,458,006.0","4,825,865.0","4,954,436.0","4,996,411.0","5,137,847.0","5,421,933.0","5,691,959.0","6,057,402.0","6,395,167.0","6,531,869.0","6,251,396.0","6,377,525.0","6,633,159.0","6,930,265.0","7,114,400.0","7,477,771.0"
"22","4","    Government","B202RC1","105,600.0","117,232.0","126,780.0","137,887.0","148,799.0","160,512.0","176,240.0","188,906.0","202,588.0","220,018.0","237,136.0","261,461.0","285,849.0","307,537.0","324,795.0","348,138.0","373,863.0","397,220.0","423,117.0","452,037.0","481,106.0","519,049.0","548,765.0","572,001.0","589,010.0","609,496.0","629,026.0","648,094.0","671,887.0","701,313.0","733,766.0","779,787.0","821,998.0","873,155.0","913,309.0","952,664.0","991,511.0","1,034,969.0","1,088,846.0","1,144,106.0","1,175,146.0","1,191,091.0","1,194,756.0","1,198,240.0","1,207,639.0","1,237,246.0"
"23","5","    Other","A132RC1","412,733.0","434,328.0","457,769.0","500,898.0","559,963.0","611,770.0","638,598.0","710,839.0","791,570.0","900,552.0","1,016,178.0","1,111,961.0","1,225,524.0","1,279,980.0","1,352,718.0","1,496,777.0","1,608,687.0","1,705,115.0","1,833,150.0","1,987,745.0","2,101,945.0","2,222,150.0","2,265,713.0","2,393,540.0","2,490,330.0","2,627,093.0","2,788,996.0","2,968,375.0","3,204,957.0","3,480,303.0","3,724,240.0","4,046,078.0","4,132,438.0","4,123,256.0","4,224,538.0","4,469,269.0","4,700,448.0","5,022,433.0","5,306,321.0","5,387,763.0","5,076,250.0","5,186,434.0","5,438,403.0","5,732,025.0","5,906,761.0","6,240,525.0"
"24","6","  Supplements to wages and salaries","A038RC1","67,683.0","73,557.0","82,481.0","94,856.0","106,277.0","118,038.0","135,337.0","151,489.0","174,827.0","199,655.0","227,721.0","252,807.0","283,895.0","306,802.0","336,394.0","372,489.0","406,415.0","441,509.0","468,043.0","510,258.0","559,515.0","601,471.0","637,520.0","705,591.0","741,331.0","773,540.0","784,627.0","805,641.0","837,849.0","896,207.0","952,303.0","1,030,716.0","1,092,110.0","1,145,500.0","1,226,616.0","1,317,601.0","1,394,842.0","1,444,935.0","1,503,094.0","1,546,387.0","1,535,577.0","1,583,923.0","1,635,871.0","1,679,632.0","1,725,275.0","1,771,160.0"
"25","7","    Employer contributions for employee pension and insurance funds \1\","B040RC1","44,929.0","49,718.0","56,035.0","63,699.0","66,494.0","73,344.0","88,613.0","97,091.0","113,723.0","128,127.0","145,134.0","163,867.0","180,285.0","197,033.0","216,512.0","233,451.0","258,681.0","283,640.0","301,783.0","325,625.0","365,842.0","395,020.0","422,388.0","477,193.0","501,652.0","519,401.0","520,507.0","530,836.0","548,256.0","588,970.0","628,964.0","685,496.0","734,124.0","779,455.0","844,099.0","908,912.0","966,789.0","997,575.0","1,041,424.0","1,075,074.0","1,077,473.0","1,114,562.0","1,141,985.0","1,165,299.0","1,197,822.0","1,223,976.0"
"26","8","    Employer contributions for government social insurance","B039RC1","22,754.0","23,839.0","26,446.0","31,157.0","39,783.0","44,694.0","46,724.0","54,398.0","61,104.0","71,528.0","82,587.0","88,940.0","103,610.0","109,769.0","119,882.0","139,038.0","147,734.0","157,869.0","166,260.0","184,633.0","193,673.0","206,451.0","215,132.0","228,398.0","239,679.0","254,139.0","264,120.0","274,805.0","289,593.0","307,237.0","323,339.0","345,220.0","357,986.0","366,045.0","382,517.0","408,689.0","428,053.0","447,360.0","461,670.0","471,313.0","458,104.0","469,361.0","493,886.0","514,333.0","527,453.0","547,184.0"
"27","9","Proprietors' income with IVA and CCAdj","A041RC1","77,005.0","77,803.0","83,904.0","95,094.0","112,521.0","112,213.0","118,238.0","130,974.0","144,492.0","165,974.0","179,438.0","171,569.0","179,680.0","171,191.0","186,250.0","228,247.0","241,052.0","256,479.0","286,468.0","325,843.0","341,938.0","354,449.0","355,956.0","402,362.0","430,510.0","459,500.0","484,456.0","547,371.0","587,854.0","644,194.0","700,438.0","757,771.0","836,785.0","871,037.0","900,067.0","962,053.0","978,957.0","1,053,685.0","979,170.0","1,026,474.0","972,996.0","1,032,693.0","1,143,667.0","1,241,371.0","1,285,096.0","1,346,675.0"
"28","10","  Farm","B042RC1","12,833.0","12,894.0","13,386.0","17,023.0","29,075.0","23,468.0","21,999.0","17,210.0","15,964.0","19,922.0","22,150.0","11,707.0","19,028.0","13,314.0","6,173.0","20,938.0","20,981.0","22,795.0","28,894.0","26,790.0","33,025.0","32,156.0","26,783.0","34,758.0","31,356.0","34,651.0","22,007.0","37,319.0","32,370.0","28,449.0","28,107.0","31,476.0","32,066.0","19,929.0","38,047.0","50,439.0","46,367.0","35,975.0","38,103.0","46,991.0","35,462.0","45,998.0","75,542.0","61,563.0","88,755.0","78,123.0"
"29","11","  Nonfarm","A045RC1","64,172.0","64,909.0","70,518.0","78,071.0","83,446.0","88,745.0","96,239.0","113,764.0","128,528.0","146,052.0","157,288.0","159,862.0","160,652.0","157,877.0","180,077.0","207,309.0","220,071.0","233,684.0","257,574.0","299,053.0","308,913.0","322,293.0","329,173.0","367,604.0","399,154.0","424,849.0","462,449.0","510,052.0","555,484.0","615,745.0","672,331.0","726,295.0","804,719.0","851,108.0","862,020.0","911,614.0","932,590.0","1,017,710.0","941,067.0","979,483.0","937,534.0","986,695.0","1,068,125.0","1,179,809.0","1,196,341.0","1,268,552.0"
"30","12","Rental income of persons with CCAdj","A048RC1","20,374.0","20,724.0","21,930.0","22,826.0","23,257.0","23,338.0","22,529.0","20,621.0","16,194.0","16,911.0","16,568.0","19,734.0","25,415.0","26,138.0","27,488.0","27,886.0","29,505.0","21,904.0","20,208.0","25,115.0","24,411.0","31,357.0","42,006.0","64,326.0","93,639.0","117,470.0","129,187.0","146,951.0","152,047.0","169,864.0","183,105.0","187,722.0","207,542.0","217,302.0","238,023.0","255,418.0","238,441.0","207,521.0","189,410.0","262,106.0","333,700.0","402,755.0","485,295.0","525,324.0","563,392.0","610,834.0"
"31","13","Corporate profits with IVA and CCAdj","A051RC1","98,416.0","86,244.0","100,647.0","117,212.0","133,390.0","125,705.0","138,859.0","174,338.0","205,783.0","238,569.0","248,980.0","223,560.0","247,494.0","229,857.0","279,767.0","337,881.0","354,488.0","324,374.0","365,983.0","414,879.0","414,241.0","417,152.0","451,329.0","475,271.0","521,998.0","621,914.0","703,016.0","786,053.0","865,769.0","804,110.0","830,229.0","781,202.0","754,043.0","907,169.0","1,056,364.0","1,283,344.0","1,477,728.0","1,646,506.0","1,528,991.0","1,285,063.0","1,396,972.0","1,746,421.0","1,816,629.0","1,998,165.0","2,037,389.0","2,072,944.0"
"32","14","  Taxes on corporate income","A054RC1","39,977.0","34,757.0","38,165.0","42,341.0","49,973.0","52,785.0","51,646.0","65,288.0","74,441.0","84,858.0","90,016.0","87,190.0","84,339.0","66,499.0","80,648.0","97,531.0","99,406.0","109,675.0","130,441.0","141,630.0","146,068.0","145,424.0","138,591.0","148,688.0","171,034.0","193,141.0","217,838.0","231,469.0","245,421.0","248,366.0","258,784.0","265,092.0","203,296.0","192,336.0","243,767.0","306,093.0","412,384.0","473,360.0","445,530.0","309,100.0","269,444.0","370,571.0","379,095.0","447,623.0","468,890.0","513,858.0"
"33","15","  Profits after tax with IVA and CCAdj","A551RC1","58,439.0","51,487.0","62,482.0","74,871.0","83,417.0","72,920.0","87,213.0","109,050.0","131,342.0","153,711.0","158,964.0","136,370.0","163,155.0","163,358.0","199,119.0","240,350.0","255,082.0","214,699.0","235,542.0","273,249.0","268,173.0","271,728.0","312,738.0","326,583.0","350,964.0","428,773.0","485,178.0","554,584.0","620,348.0","555,744.0","571,445.0","516,110.0","550,747.0","714,833.0","812,597.0","977,251.0","1,065,344.0","1,173,146.0","1,083,461.0","975,963.0","1,127,528.0","1,375,850.0","1,437,534.0","1,550,542.0","1,568,499.0","1,559,086.0"
"34","16","    Net dividends","B056RC1","24,239.0","24,307.0","25,027.0","26,836.0","29,907.0","33,219.0","32,960.0","39,014.0","44,769.0","50,793.0","57,520.0","64,070.0","73,756.0","77,716.0","83,464.0","90,807.0","97,546.0","106,180.0","112,312.0","129,919.0","157,974.0","169,062.0","180,513.0","189,516.0","205,320.0","235,973.0","258,950.0","303,528.0","339,452.0","357,072.0","347,896.0","384,684.0","370,577.0","400,180.0","433,972.0","564,089.0","580,527.0","726,006.0","818,909.0","808,614.0","574,630.0","563,951.0","703,674.0","859,379.0","924,032.0","860,048.0"
"35","17","    Undistributed profits with IVA and CCAdj","A127RC1","34,200.0","27,180.0","37,455.0","48,035.0","53,510.0","39,701.0","54,253.0","70,036.0","86,573.0","102,918.0","101,444.0","72,300.0","89,399.0","85,642.0","115,655.0","149,543.0","157,536.0","108,519.0","123,230.0","143,330.0","110,199.0","102,666.0","132,225.0","137,067.0","145,644.0","192,800.0","226,228.0","251,056.0","280,896.0","198,672.0","223,549.0","131,426.0","180,170.0","314,653.0","378,625.0","413,162.0","484,817.0","447,140.0","264,552.0","167,349.0","552,898.0","811,899.0","733,860.0","691,162.0","644,467.0","699,038.0"
"36","18","Net interest and miscellaneous payments","W255RC1","33,584.0","40,467.0","45,228.0","49,288.0","57,247.0","73,493.0","85,867.0","89,907.0","105,888.0","118,771.0","141,022.0","186,184.0","238,362.0","277,469.0","291,756.0","336,078.0","348,039.0","365,200.0","369,505.0","394,738.0","442,661.0","450,058.0","408,505.0","383,721.0","371,362.0","365,948.0","376,494.0","381,850.0","414,687.0","477,843.0","487,959.0","564,984.0","566,442.0","490,536.0","466,176.0","403,490.0","496,762.0","580,945.0","663,444.0","693,400.0","563,393.0","489,398.0","488,061.0","527,730.0","513,547.0","532,281.0"
"37","19","Taxes on production and imports","W056RC1","83,856.0","91,413.0","100,493.0","107,928.0","117,220.0","124,902.0","135,292.0","146,388.0","159,664.0","170,898.0","180,101.0","200,330.0","235,644.0","240,933.0","263,281.0","289,773.0","308,133.0","323,373.0","347,545.0","374,464.0","398,867.0","424,990.0","457,091.0","483,376.0","503,125.0","545,248.0","557,903.0","580,754.0","611,615.0","639,473.0","673,585.0","708,556.0","727,690.0","762,602.0","808,004.0","863,941.0","934,530.0","991,945.0","1,034,562.0","1,041,917.0","1,026,146.0","1,057,110.0","1,102,626.0","1,132,054.0","1,177,995.0","1,213,737.0"
"38","20","Less: Subsidies \2\","A107RC1","4,534.0","4,777.0","4,675.0","6,636.0","5,230.0","3,307.0","4,494.0","5,125.0","7,100.0","8,936.0","8,531.0","9,800.0","11,473.0","15,017.0","21,304.0","21,065.0","21,360.0","24,895.0","30,282.0","29,502.0","27,428.0","26,993.0","27,488.0","30,088.0","36,681.0","32,523.0","34,812.0","35,234.0","33,810.0","36,368.0","45,209.0","45,840.0","58,722.0","41,390.0","49,057.0","46,387.0","60,910.0","51,467.0","54,584.0","52,558.0","58,348.0","55,861.0","60,065.0","58,035.0","59,360.0","57,929.0"
"39","21","Business current transfer payments (net)","B029RC1","4,798.0","4,357.0","4,157.0","4,779.0","5,740.0","6,788.0","9,036.0","9,136.0","8,081.0","10,374.0","12,752.0","13,997.0","16,913.0","19,316.0","21,681.0","29,158.0","34,060.0","35,961.0","33,294.0","32,755.0","38,266.0","39,179.0","38,889.0","39,719.0","39,389.0","40,714.0","44,965.0","52,649.0","50,061.0","64,079.0","67,813.0","85,315.0","99,145.0","80,663.0","76,259.0","81,350.0","93,908.0","82,591.0","98,560.0","114,370.0","124,876.0","128,464.0","131,524.0","104,659.0","119,386.0","127,295.0"
"40","22","  To persons (net)","B931RC1","3,331.0","2,926.0","2,696.0","3,112.0","3,940.0","4,738.0","6,844.0","6,694.0","5,090.0","6,463.0","8,225.0","8,630.0","11,175.0","12,386.0","13,796.0","19,727.0","22,260.0","22,948.0","20,228.0","20,596.0","23,171.0","22,193.0","17,636.0","16,287.0","14,054.0","13,255.0","18,728.0","22,878.0","19,446.0","25,995.0","33,972.0","42,434.0","46,768.0","34,195.0","26,260.0","16,771.0","25,712.0","21,476.0","30,606.0","36,623.0","38,694.0","42,950.0","50,241.0","42,739.0","41,162.0","41,993.0"
"41","23","  To government (net)","W061RC1","1,467.0","1,431.0","1,461.0","1,667.0","1,800.0","2,050.0","2,192.0","2,442.0","2,991.0","3,911.0","4,527.0","5,367.0","5,738.0","6,930.0","7,885.0","9,431.0","11,800.0","13,013.0","13,066.0","12,159.0","15,095.0","16,986.0","21,253.0","23,553.0","25,639.0","27,903.0","24,857.0","30,726.0","29,831.0","34,300.0","36,451.0","41,919.0","43,882.0","46,228.0","48,306.0","52,369.0","53,397.0","58,289.0","61,982.0","70,569.0","88,455.0","87,193.0","89,230.0","72,550.0","91,920.0","94,798.0"
"42","24","  To the rest of the world (net)","W237RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-121.0","-304.0","-444.0","1,380.0","-955.0","784.0","3,784.0","-2,610.0","962.0","8,495.0","240.0","1,693.0","12,210.0","14,799.0","2,826.0","5,972.0","7,178.0","-2,273.0","-1,679.0","-7,947.0","-10,631.0","-13,696.0","-9,496.0"
"43","25","Current surplus of government enterprises \2\","A108RC1","5.0","-1,199.0","-1,698.0","-1,156.0","-2,204.0","-2,683.0","-4,354.0","-2,706.0","-3,334.0","-2,847.0","-3,212.0","-5,051.0","-5,171.0","-3,794.0","-2,312.0","-1,375.0","1,307.0","1,963.0","2,167.0","5,040.0","6,672.0","3,233.0","7,839.0","9,929.0","10,771.0","11,829.0","15,618.0","16,890.0","17,454.0","16,262.0","16,170.0","10,728.0","5,162.0","6,993.0","3,889.0","-1,797.0","-6,397.0","-9,312.0","-16,441.0","-21,207.0","-20,630.0","-22,886.0","-24,512.0","-19,288.0","-18,787.0","-18,260.0"
"44",NA,"Addenda for corporate cash flow:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","26","  Net cash flow with IVA","A904RC1","89,981.0","89,109.0","105,214.0","121,669.0","135,647.0","135,964.0","168,010.0","195,262.0","227,190.0","262,358.0","285,039.0","284,664.0","334,481.0","358,361.0","401,569.0","452,719.0","484,404.0","458,387.0","494,522.0","542,762.0","535,393.0","557,930.0","611,829.0","622,910.0","663,954.0","734,334.0","818,354.0","880,832.0","954,908.0","918,000.0","997,295.0","975,906.0","1,079,817.0","1,235,194.0","1,320,211.0","1,386,361.0","1,524,189.0","1,575,727.0","1,462,070.0","1,490,729.0","1,897,101.0","2,094,924.0","2,071,508.0","2,049,551.0","2,055,199.0","2,163,046.0"
"46","27","    Undistributed profits with IVA and CCAdj","A127RC1","34,200.0","27,180.0","37,455.0","48,035.0","53,510.0","39,701.0","54,253.0","70,036.0","86,573.0","102,918.0","101,444.0","72,300.0","89,399.0","85,642.0","115,655.0","149,543.0","157,536.0","108,519.0","123,230.0","143,330.0","110,199.0","102,666.0","132,225.0","137,067.0","145,644.0","192,800.0","226,228.0","251,056.0","280,896.0","198,672.0","223,549.0","131,426.0","180,170.0","314,653.0","378,625.0","413,162.0","484,817.0","447,140.0","264,552.0","167,349.0","552,898.0","811,899.0","733,860.0","691,162.0","644,467.0","699,038.0"
"47","28","    Consumption of fixed capital","A438RC1","55,704.0","61,804.0","67,620.0","73,440.0","81,980.0","96,040.0","113,516.0","125,028.0","140,456.0","159,276.0","183,352.0","212,088.0","244,880.0","272,520.0","285,876.0","303,168.0","326,864.0","349,868.0","371,292.0","399,432.0","427,204.0","455,264.0","480,888.0","496,248.0","519,756.0","550,444.0","593,612.0","629,776.0","674,012.0","719,328.0","774,596.0","844,480.0","894,852.0","920,532.0","941,496.0","982,724.0","1,051,580.0","1,128,560.0","1,197,484.0","1,259,212.0","1,260,580.0","1,262,460.0","1,298,828.0","1,350,988.0","1,405,020.0","1,467,324.0"
"48","29","    Less: Capital transfers paid (net)","W976RC1","-77.0","-125.0","-139.0","-194.0","-157.0","-223.0","-241.0","-198.0","-161.0","-164.0","-243.0","-276.0","-202.0","-199.0","-38.0","-8.0","-4.0","0.0","0.0","0.0","2,010.0","0.0","1,284.0","10,405.0","1,446.0","8,910.0","1,486.0","0.0","0.0","0.0","850.0","0.0","-4,795.0","-9.0","-90.0","9,525.0","12,208.0","-27.0","-34.0","-64,168.0","-83,623.0","-20,565.0","-38,820.0","-7,401.0","-5,712.0","3,316.0"
"49",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","30","  Proprietors' income with IVA and CCAdj","A041RC1","77,005.0","77,803.0","83,904.0","95,094.0","112,521.0","112,213.0","118,238.0","130,974.0","144,492.0","165,974.0","179,438.0","171,569.0","179,680.0","171,191.0","186,250.0","228,247.0","241,052.0","256,479.0","286,468.0","325,843.0","341,938.0","354,449.0","355,956.0","402,362.0","430,510.0","459,500.0","484,456.0","547,371.0","587,854.0","644,194.0","700,438.0","757,771.0","836,785.0","871,037.0","900,067.0","962,053.0","978,957.0","1,053,685.0","979,170.0","1,026,474.0","972,996.0","1,032,693.0","1,143,667.0","1,241,371.0","1,285,096.0","1,346,675.0"
"51","31","    Farm","B042RC1","12,833.0","12,894.0","13,386.0","17,023.0","29,075.0","23,468.0","21,999.0","17,210.0","15,964.0","19,922.0","22,150.0","11,707.0","19,028.0","13,314.0","6,173.0","20,938.0","20,981.0","22,795.0","28,894.0","26,790.0","33,025.0","32,156.0","26,783.0","34,758.0","31,356.0","34,651.0","22,007.0","37,319.0","32,370.0","28,449.0","28,107.0","31,476.0","32,066.0","19,929.0","38,047.0","50,439.0","46,367.0","35,975.0","38,103.0","46,991.0","35,462.0","45,998.0","75,542.0","61,563.0","88,755.0","78,123.0"
"52","32","      Proprietors' income with IVA","A043RC1","13,629.0","13,801.0","14,454.0","18,210.0","30,335.0","25,300.0","24,639.0","20,148.0","19,274.0","23,689.0","26,601.0","17,298.0","25,606.0","20,447.0","13,135.0","27,605.0","27,156.0","28,900.0","34,757.0","32,518.0","38,766.0","37,845.0","32,470.0","40,382.0","36,836.0","40,075.0","27,439.0","42,587.0","37,370.0","33,236.0","32,851.0","36,137.0","36,702.0","24,448.0","42,571.0","55,284.0","51,817.0","41,843.0","44,238.0","53,504.0","41,822.0","51,845.0","81,404.0","67,418.0","94,562.0","84,086.0"
"53","33","      Capital consumption adjustment","B044RC1","-796.0","-907.0","-1,068.0","-1,187.0","-1,260.0","-1,832.0","-2,640.0","-2,938.0","-3,310.0","-3,767.0","-4,451.0","-5,591.0","-6,578.0","-7,133.0","-6,962.0","-6,667.0","-6,175.0","-6,105.0","-5,863.0","-5,728.0","-5,741.0","-5,689.0","-5,687.0","-5,624.0","-5,480.0","-5,424.0","-5,432.0","-5,268.0","-5,000.0","-4,787.0","-4,744.0","-4,661.0","-4,636.0","-4,519.0","-4,524.0","-4,845.0","-5,450.0","-5,868.0","-6,135.0","-6,513.0","-6,360.0","-5,847.0","-5,862.0","-5,855.0","-5,807.0","-5,963.0"
