"","Table 3#2# Federal Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233"
"11","3","  Income taxes","B231RC",15.1,16.4,17,16.9,18.2,18.5,18.7,19.8,20.1,17.8,17.1,17.3,16.5,15.6,14.9,14.5,15.2,16.1,17.4,21,22.8,24.7,26.1,27.9,29.1,30,30.4,31.2,31.5,31.5,31.2,31,28.1,27.9,27.9,28.3,29,30.1,31,31.8,32.7,33.6,34.2,35.2,35.7,36.1,36.3,35.9,35.2,34.7,35.9,36.2,37.2,38.3,38.7,39.7,41.1,41.8,42.3,42.1,42.2,42.5,42.8,43.4,44.6,46,47.2,48.4,48.8,49,49.1,49.6,48,43.7,45.4,46.9,50.5,51.9,50.4,51.5,54.4,58,59.8,62.2,62.9,62.6,65.2,66.9,68.8,71.4,81,84.5,90.7,93.3,90.8,91.9,90.6,91.4,86.3,87.2,83.6,85.1,86.3,88.2,100.3,102.4,103.1,105.3,104.5,106.9,111,116,119.5,124.8,129.7,132,132.3,94.6,125.7,130.4,132.7,138.4,144.2,149.7,154.9,160.6,162.3,170.8,173.1,182.7,195.1,204.9,211.3,219.7,229.2,238.3,237.6,243.6,252.2,266.6,277.8,288.4,300.8,295.3,294.6,301.1,289.1,295.2,289,294.7,276.8,284.4,287.4,294.1,306.9,317.3,352.6,307.1,339.6,344.7,341.3,343.9,351.4,363.7,357.9,409.7,394.4,408,401.7,399.6,401.6,408.7,437.9,446.8,455.5,465.8,461.3,470.1,475.1,474.3,457.3,459.2,461.9,467,459.1,468,477.2,496.8,481.7,502.7,511.2,526.1,521.8,552.9,542.5,552.9,563.5,590.3,587,601.6,630.7,667.4,668.4,685.1,717.2,733.6,751.5,773.1,797.5,816.6,836.2,855.3,866,882,901.8,926.3,974.8,987.3,1010.4,1023.3,1047.3,1049.1,889.8,1015.1,864.8,847,822.3,811.4,794.1,799.9
"12","4","  Nontaxes","B233RC",0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.6,0.6,0.7,0.8,0.9,1,1,1,1,1,1,1,1.1,1.2,1.2,1.3,1.2,1.2,1.2,1.7,1.7,1.8,2.3,2.3,2.5,2.9,2.9,2.9,3,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4.1,4,4.1,4.1,4.2,4.3,4.4,4.6,4.8,5,5.2,5.5,5.6,5.9,6,6.3,6.6,6.8,7,7.2,7.5,7.7,7.9,8.1,8.2,8.2,8.4,8.6,8.8,9,9.2,9.4,9.6,9.7,9.9,10.1,10.3,10.6,10.7,10.6,10.4,10,9.6,9.1,9,9.2,9.3
"13","5","Corporate profits tax accruals","B075RC",5.8,7.6,10,11.2,10.9,10.4,10.2,11.1,11.5,12.1,11.9,11.5,10.4,9.1,9.5,9.3,13,15.6,19.1,20.9,25.3,21.4,19.4,20.7,19,17.9,17.8,19.7,20.8,20.9,20.4,15.9,15.7,16.2,17.1,18.4,20.4,20.7,21.2,22,21,21.4,20.1,21.2,21.7,20.8,20.4,18.6,16,16.3,18.4,21.1,22.3,24.4,21.9,21.4,23.7,21.7,20.7,19.7,19.4,20.7,22,23.9,22.3,22.1,22.7,22.8,22.9,24.5,25.2,25.8,25.9,26,26.5,26.1,27.5,28.4,28.9,30.8,31.7,31.7,31.4,30.9,29.7,29.4,29.6,31.4,35.2,35.9,36.1,37,37.4,36.5,35.3,35.1,30.4,30.5,31.5,30.1,33.3,33.9,33.1,33.5,35,35.2,36.3,39.9,43.1,43.5,42.2,44.3,42.5,44.8,49.3,43.8,36.9,39.5,48.4,49.4,55.7,54.8,54.4,53.4,56.9,61.7,63.8,64,60.8,72.9,73.9,78,75.1,75.4,74.7,72.5,78.7,62.1,67.1,73.4,71.9,64.1,67.2,59.6,48.9,50.4,50.9,46,47.5,59.9,68,70,80.7,79.4,70,70.8,75.5,74.1,78.5,76.9,82.2,81.2,81.8,90.1,91.1,102.5,109.3,109.9,102.3,109.5,113.6,119.1,126.7,119.2,110.3,112.7,112.2,118.5,124.4,117.4,107.1,109,111.9,111.8,120.1,124.6,107,123.4,126.7,138.6,135.9,152.8,138.9,153.4,163.1,171.5,172.6,177.5,185.9,181.3,187.3,192,190.9,192.3,194.3,198.4,209.8,209.5,205.1,203.4,208.3,200.3,208.9,211.4,211.7,219.9,233.7,230.5,222.1,208.9,186.9,183.2,168,142.9,170.5,180.2,181.1,187.5,200.7,196.4
"14","6","  Federal Reserve banks","B677RC",0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.5,0.5,0.7,0.8,1,1.2,0.9,0.9,0.9,0.8,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,1.5,1.6,1.6,1.7,1.2,1.3,1.3,1.4,1.5,1.6,1.7,1.8,1.9,1.9,1.9,2,2.3,2.4,2.5,2.6,2.8,3,3.1,3.3,3.4,3.5,3.6,3.5,3.4,3.3,3.4,3.4,3.2,3.2,3.2,3.3,3.7,4.2,4.6,4.9,5.1,5.5,5.8,5.8,5.5,5.4,5.2,5.5,5.8,5.8,5.9,6,5.9,6,5.9,6,6.3,6.6,7.2,7.9,8.2,8.8,9.5,10.6,11.6,12.3,11,11.9,13,13.6,14.5,15,15.1,15.7,15.4,14.6,13.9,13.9,14.3,14.8,15.4,15.7,16.3,16.7,18.2,18.2,17.5,17.3,18.7,17.9,17.3,17.2,17.2,17.7,18,18.1,16.7,16.6,17.5,18.6,21.2,22.1,21.5,21.8,22.6,23.2,24.7,24,21.5,20.8,20.5,20.3,17.8,17.4,16.2,15.7,16.4,16,15.7,15.8,18.6,19.5,20.9,22.9,22.8,23.8,23.6,23.3,19.9,20,20.1,20.3,20,20.5,20.9,21.3,26.4,26.6,26.8,26.6,24,24.6,25.3,27.7,24.7,25,25.6,26.1,29.6,28,26.6,24.3,22.7,23.2,22.2,20.6,20.4,20.1
"15","7","  Other","A678RC",5.8,7.6,10,11.2,10.9,10.3,10.1,11,11.4,12,11.7,11.3,10.2,8.9,9.3,9.2,12.9,15.4,18.9,20.7,25,21.1,19.1,20.4,18.7,17.6,17.5,19.3,20.4,20.5,20,15.6,15.4,15.9,16.9,18.2,20.2,20.4,20.9,21.7,20.6,21,19.7,20.8,21.3,20.3,19.8,18,15.4,15.8,17.9,20.7,21.6,23.6,20.9,20.2,22.7,20.8,19.8,18.9,18.7,20.1,21.3,23.2,21.5,21.3,21.9,22,22.1,23.6,24.3,24.8,24.4,24.4,24.9,24.5,26.3,27.1,27.6,29.4,30.2,30.2,29.7,29,27.8,27.5,27.8,29.4,33,33.5,33.5,34.4,34.6,33.5,32.2,31.8,27,27,27.9,26.6,29.9,30.7,29.8,30.1,31.8,32,33.1,36.6,39.3,39.4,37.6,39.4,37.4,39.3,43.5,38.1,31.4,34.2,43.2,43.9,50,49,48.5,47.4,51,55.7,57.9,58,54.5,66.3,66.7,70.1,66.9,66.6,65.2,62,67.1,49.8,56.1,61.5,58.9,50.6,52.7,44.5,33.8,34.7,35.5,31.4,33.6,46,53.7,55.2,65.3,63.7,53.7,54.1,57.4,56,61,59.5,63.5,63.3,64.5,72.8,73.9,84.8,91.3,91.8,85.5,92.9,96.1,100.5,105.5,97.1,88.8,90.8,89.6,95.3,99.7,93.4,85.6,88.2,91.4,91.4,102.3,107.3,90.8,107.7,110.2,122.6,120.1,136.9,120.3,133.9,142.2,148.6,149.8,153.8,162.2,157.9,167.3,172,170.8,172,174.2,177.9,188.9,188.2,178.7,176.8,181.5,173.7,184.9,186.8,186.3,192.2,209,205.6,196.5,182.8,157.3,155.2,141.4,118.6,147.8,157,158.8,166.9,180.3,176.3
"16","8","Indirect business tax and nontax accruals \2\","A076RC",7.6,7.9,8.1,8.1,8.1,7.8,7.7,8.2,7.8,8.2,8.2,8.2,8.1,8.2,8.3,8,8,8.7,10,9,10.1,9,9.1,9.5,10,10.4,10.4,10.7,11,11.2,11,10.6,10,9.9,9.5,9.7,10.3,10.8,10.9,10.9,10.9,10.9,11.4,12,11.9,11.9,12,11.6,11.4,11.6,11.4,11.9,12.2,12.5,12.8,12.9,13.7,13.6,13.5,13.4,13.4,13.5,13.7,14.2,14.5,14.5,15,14.9,15,15.4,15.4,15.6,15.7,16,16.5,17,17.5,16.8,15.9,16.2,15.1,15.9,15.8,16.2,16.1,16.4,16.5,16.8,17.5,18.1,18.6,18.7,18.6,19.2,19.6,19.3,19.2,19.5,19.5,19.5,20.8,20.2,20.4,20.5,19.8,19.9,20.2,20.6,21.3,21.8,21.2,21.7,21.6,22.1,22.3,22.3,21.9,23.4,25.4,26.1,23.1,23.7,24.1,24.2,24.5,25.2,26.3,26.4,27.3,28.9,29.2,30.2,29.9,30.2,29.9,30.5,32.8,39.1,41.9,44.8,57.8,58.8,56.6,55.9,52,49,49.2,49.5,49.9,54.2,54.5,55.3,57.2,57.9,57.8,57.5,56.7,61.4,56.7,55.2,54.6,53.1,52.9,54.2,55.1,57.6,56.9,57.8,58.2,57.8,59.5,60.2,62.2,61.3,63.4,62,62.4,63,64.1,66.2,75.9,77.8,78.9,81.5,80.8,79.9,79.1,85.5,81.7,83.9,83.8,91.5,94.4,94.5,96.1,95.9,94.6,95.3,90,92,90.4,89,89.7,111.3,88.5,95.6,95.9,94.7,96,96.5,98.6,98.5,97.5,98.2,100.8,104.4,107,109.5,109.8,110.1,112.3,112.2,109.5,107.3,108.4,110.2,112.4,111.5,111.2,111.9
"17","9","  Excise taxes","B234RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9,11,11.4,11.4,12.1,12.1,12.1,11.9,11.9,12.1,12.1,12.5,12.8,12.8,13.2,13.1,13.2,13.5,13.6,13.7,13.8,14.1,14.2,14.5,15,14.1,13.1,13.3,12.1,12.8,12.7,13,13,13.3,13.5,13.5,14.1,14.6,15,15.1,15.4,15.3,15.8,15.6,15.5,15.8,15.8,15.7,16.9,16.1,15.8,15.1,15.2,15.6,15.7,15.9,16.2,16.7,16.7,17,16.5,16.7,16.5,16.5,15.8,16.3,16.6,16.8,16.7,17,17.1,17.3,17.1,17.4,17.6,17.9,17.8,18.5,18.5,19.1,18.6,18.7,18.4,18.6,20.7,27,29.3,30.4,43.2,43.8,40.7,39.1,34.8,31.8,32.4,32.8,34.2,36.9,36.4,36.1,36.4,35.6,35.3,35,33.8,33.6,34.5,32.7,32.2,30.2,30.2,30.1,29.5,30,30.7,30.9,32.1,32.1,32.9,33,34.4,32.8,33.6,32.5,33.2,33.3,33.8,34.4,43.1,45.1,45,46.3,46.1,45.3,43.4,45.9,44.1,44.8,44.6,52.2,53.8,54.9,55.3,56.9,57.1,57.7,58.3,58.2,55.2,54.4,54,59.3,53.1,58.9,59.5,59.7,60.1,60.6,62.1,62.5,63.3,64.1,64.5,64.8,67.6,67.5,67.2,66.7,66.7,67.7,65.9,64.9,68.4,69.9,69.8,70.3,69.5,69
"18","10","  Customs duties","B235RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.1,1.1,1.1,1.2,1.1,1,1,1,1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.4,1.4,1.6,1.7,1.7,1.8,1.9,1.9,1.9,1.9,1.9,1.8,2,2.1,2.2,2.4,2.3,2,2.6,2.5,2.4,2.4,2.4,2.5,2.6,2.6,2.7,3.2,4,3.1,2.8,2.9,3.1,3.4,3.3,3.2,3.2,3.4,3.6,3.8,3.9,4.1,5.2,6.9,7.3,4.3,4.6,4.7,4.6,5,5.3,5.8,5.5,6.4,7.1,7.3,7.5,7.6,7.6,7.3,7.4,7.2,6.9,7.2,7.3,7.9,8.3,8.8,9.3,9.1,8.7,8.3,8.3,7.6,9,9.6,10.1,10.9,12.1,12.3,12.3,12.3,11.7,12,12.7,12.8,13.4,14.3,14.2,14.9,15.9,15.4,15.9,16.3,16.1,16.5,16.7,17,17.5,17.7,17.6,17.7,17.8,17.5,17,16.5,16.2,16.7,17.9,17.7,18,18.7,18.9,18.6,20.3,20.4,19.9,20.6,21.3,22,21.9,20,19.9,19.7,19.7,20.1,19.3,19.7,17.7,19,20.5,19.8,19.1,19.4,19.4,19.8,19.6,18.2,17.9,19.7,20.9,19.9,22,21.6,20.9,22,20.7,19.9,19.9,18.8,19.4,22.4,20.6,20.9,21
"19","11","  Nontaxes","B236RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.9,1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.3,1.1,1.2,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.2,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.7,1.8,1.4,1.5,1.7,1.9,1.9,1.9,1.9,2,2,2,2.1,2.1,2.2,2.3,2.4,2.5,2.9,3,3.1,3.3,3.4,3.6,3.8,4,4.3,4.5,4.8,5.2,5.4,7.1,6.8,6.7,7,7.4,8.1,8.4,8.5,8.4,8.2,8.3,8.5,9,9.8,10.1,10.2,10.2,10.6,16.1,10.2,9.8,9.5,9.4,8.3,10,10.7,11.8,10.7,11,9.8,9.6,10.1,10.5,10.8,11,12.1,11.9,11.5,11.9,12.9,14.7,16.2,16.6,17.1,17.3,17,16.6,17,20.7,19,18.9,18.7,19.4,20,18.3,18.7,17.1,17.5,17.7,12,14.2,15,15.4,16,34.4,16.4,16.2,16.6,15.8,16.5,16.5,16.6,16.4,16,16.2,16.5,18.7,19.5,20,21,22.5,23.6,23.8,23.6,22.5,21.2,20.9,20.2,20.5,20.8,21.9
"20","12","Contributions for social insurance","B077RC",6.5,6.9,6.6,5.8,6.2,5.8,5,4.6,4.6,4.3,4.4,4.3,5,4.9,4.6,4.3,5.1,5.1,5.3,5.6,6.4,6.5,6.3,6.4,6.7,6.6,6.6,6.8,6.8,6.8,6.9,6.7,7.8,7.7,7.7,7.8,8.5,8.7,8.9,8.9,9.5,9.6,9.6,9.8,11,11,11.1,10.9,10.9,10.9,11,11.1,13.3,13.5,13.4,13.5,16,16,16,15.9,16.3,16.4,16.6,16.8,18.4,18.6,18.6,18.7,20.7,20.9,21.1,21.4,21.4,21.6,21.8,22,22.2,22.4,22.8,23.2,29.6,30,31.1,31.4,32.8,33.7,34.4,35.1,36.7,37.5,38.1,38.7,41.9,42.7,43.6,44.2,44.9,45.2,45.6,45.4,49.3,49.9,50.1,50.7,56.9,57.5,58.2,59,72.2,73.3,74.5,76,81.5,83.1,84.7,84.8,85.9,86.2,87.9,89.9,96.9,98.3,100,101.4,106.8,109.4,111.5,113.6,123,126.7,129.2,132.5,144.6,147.1,150.4,153.3,159.5,160.4,162.7,167.8,187.7,190.2,193.7,195.8,203.1,204.4,205.9,206.1,216.4,219.6,223,228.3,246.4,251.2,255.2,258.4,270.8,274.1,277.9,283.1,292.5,294.9,298.9,303.6,309.6,313.3,317.7,323.1,344,350.8,355.9,361.7,371.1,374,377.4,382.6,394.5,398.5,403.9,403.4,413.4,416.4,420.6,423.8,436,440.7,444.4,446.2,454.6,462.1,465.7,472.2,483.6,491.6,496.4,504.1,511.6,516.6,522.5,527.7,531.8,540.2,547.2,554.2,565,572.2,580.2,590.5,601.1,608.9,617.2,625.3,641.8,646.3,652.6,662.2,684.5,685.7,696.6,701.5,715.8,717.1,718.1,716.6,731.1,736.7,739.3,741.4,754.6,758.5
"21","13","    Current expenditures","A956RC",49.3,45.5,42.6,41.1,37.5,37.2,39.7,35.8,36.4,37.5,40.3,41.2,43.4,44.5,44,42.4,49.8,42.8,38.3,42.4,47.3,51.6,55.5,58.7,57.9,61.4,64.2,64.9,65.8,67.8,66.1,67.6,65,63.7,63.7,64.4,64.8,63.6,67.2,66,65.7,68.9,67.7,71,74.4,75.6,75.6,78.7,76.9,81.9,83.2,84,81.2,83.8,84.4,85.7,82.9,85.1,86.1,89.1,88.9,92.6,92.7,93.7,97.5,99.1,100.6,102.6,103.6,103.7,105.2,107.4,109.1,110.1,109.1,108.9,110.3,112.9,118.6,122.5,125.5,131.4,136.6,140.9,150.3,151.5,153.2,157.9,163.1,169.4,171.4,175.2,173.8,179.4,182.6,186.1,186.9,201.4,201.6,204.7,208.8,217.6,218.5,221.5,231.2,241.1,232.2,255.4,255.8,259.4,258.5,265,274.4,284.1,297.3,308.9,324,346.2,351.2,360.1,362.3,364.6,375.7,385,389.6,397.5,410.2,422.8,431.6,437.3,447.4,460.5,467.6,478.9,496.4,515.6,539.3,560,593.2,613.7,634.8,646.1,670.3,686,700.2,712.8,740.5,774.8,777.7,800.4,809.2,803.9,829.9,847.2,860.9,886.5,904.5,917.4,930.9,945.5,954,978.4,994.5,987.2,997.9,1013.7,1017.2,1044.7,1056.2,1055,1064.3,1089.5,1109.7,1131.7,1150.3,1169.6,1205.7,1224.5,1235.7,1249,1217.5,1279.7,1311.8,1341.3,1388.3,1409.2,1428.4,1449.6,1449.8,1458.9,1476.7,1500.4,1481.2,1488.2,1515.5,1539.3,1556.4,1574.6,1589.3,1582.4,1623.4,1632.6,1633.5,1654.2,1659.2,1675.8,1679.2,1701,1688.4,1700.8,1703.2,1731.1,1734.5,1734.2,1758.9,1793.6,1786.4,1825.7,1835.9,1860.3,1899.1,1927.8,1947.7,1971,2030.5,2079.3,2074.6,2117.4,2145.1,2259.2
"22","14","Consumption expenditures","A957RC",29.5,27.2,26.1,25.3,21.8,21.5,20.5,19.5,19.5,20.9,21.7,22.5,23.7,24.3,23,22.1,22,22,20.6,23.6,28.8,32.6,37.4,38.8,40.8,43.8,45.3,46.9,47.7,49.2,47.6,48.8,45.9,43.6,43.1,43.3,43.3,42.8,45.3,44.4,43.9,46.2,43.9,46.3,49.1,49,49,50.7,49.2,51.9,50.6,52.1,50.3,52.7,52.4,52.6,49.9,51,51.7,53.5,51.2,53.4,53.3,54.8,57.6,59.3,60,61,61.4,61.9,62.6,63.7,64,65,64.3,63.3,63.8,65.8,67.8,72.1,72.1,76.8,79.5,80.4,86.7,87.5,88.1,90.9,95.1,96.2,97.5,99.2,96.8,99.5,101.3,102.3,101.5,99.8,100.3,99.9,102.4,103.5,104.1,104.7,110.2,111.3,108.4,109.9,111.3,112.1,110.5,112.6,116.7,117.3,121.3,126.2,127.9,130.3,131.3,135.2,135,137.3,137.6,142.1,145.8,150,152.1,157.3,159.3,162.9,165,169.8,173.9,178.7,178.1,189.2,196.9,208.5,210,220.6,229.8,238.9,240.1,250.8,257.1,258.3,267.4,278.4,281.8,288.6,297.9,283.9,299.3,312.6,315.2,320.8,330.4,335,342.4,348.1,347.5,357,365.7,362.9,369.8,372.9,372.7,383.1,381.8,380.2,377.3,391.8,389.4,400.9,403.3,404.8,415.5,418.2,416.4,429.6,443.8,441.5,437.8,433.4,439.5,441.6,451.1,450.9,442.1,439.6,444.4,444.4,437.6,435.3,447.2,438.7,439.2,441.3,444.6,431.8,441.8,447,442.9,449.4,451.3,461.5,457.5,457.2,444.2,456.5,449.9,461.8,465.5,461.6,473.4,486,480,501.3,494.2,497.7,517.3,524.9,527.9,543.6,566.3,581,589.8,608.9,626.6,664.2
"23","15","Transfer payments (net)","A086RC",12.6,11.2,10.3,9.6,9.4,9.2,12.8,10,10.5,10.2,11.9,11.6,12.8,13.5,13.8,13.2,20.5,13.4,10.3,11.1,10.6,11,11.3,11.3,9.4,10.1,11.1,10.2,10.6,10.6,10.5,11.1,11.6,12,12.8,13.5,13.9,13.4,13.5,13.5,13.7,14.1,14.4,14.6,15.1,16.5,16.3,17.5,18.6,20.5,20.9,20.2,20.3,19.9,20.3,21.1,20.5,21.2,22.1,23,24.8,25.6,25.5,25,25.6,25.1,25.5,26.2,27.1,26.2,26.4,27,27.5,27.1,27.1,27.3,28.1,28,31.2,29.9,31.2,30.4,31.8,34.7,37.4,37.8,38.9,38.9,40.5,43.4,44.6,45.6,46.1,47.5,47.5,48.4,49.8,59.1,58.8,61.8,62.8,69.9,69.5,70.5,72.6,72.4,72.7,82.6,83.6,86,86.9,89.1,96.4,104.1,109.2,115.1,124.1,137.8,139.4,141.1,143.2,141.8,150.6,149.4,152.1,151.9,157.4,158.5,161.2,160.8,168.4,170.8,175.3,178.7,193,196.7,206.2,209.2,237.9,241.9,243.6,244.9,263.9,266.4,270.9,276.7,292,309.6,306.4,312.3,307,312.5,310.1,312.2,315.9,326.6,331.8,334.2,339.7,341.7,346.9,355.1,361.3,360.8,361.8,366.3,366.7,373.8,384.3,383.1,387.7,396.3,408.3,413,423.9,435.4,448.5,454.5,457.2,461,401.2,456.8,486.6,509,548.9,562.4,565.1,584.5,584.4,593.5,599.4,614,608.1,611.6,618,636.6,641.8,648.8,655.4,662.5,686.9,684.7,689.2,705.8,709.3,714.1,717.1,729.4,727.9,726.3,729.7,738.5,739.1,743.2,743.9,756.9,758.5,774.6,781.3,803.5,816.3,832.2,849.3,870.9,916.9,927.6,934.1,948.5,970.7,988.3
"24","16","  To persons","B087RC",9.8,8.8,8.3,7.7,7.7,7.3,10.7,7.8,7.5,7.2,7,7,7.7,8.2,8.5,8.5,16.6,9.6,7.2,7.5,7.5,7.9,8.1,8,7.7,7.6,8.5,8.5,8.6,8.4,8.6,9.2,9.9,10.5,10.9,11.4,11.4,11.4,11.6,11.6,11.9,12.1,12.5,12.6,13.4,14.5,14.6,15.7,16.8,18.6,19,18.3,18.4,18.3,18.5,19.1,18.9,19.5,20.1,21,22.7,23.4,23.5,22.9,23.3,23.1,23.5,24.1,25.3,24.2,24.3,24.8,25.5,24.9,25.1,25.1,26.2,25.7,29.2,27.9,28.7,28.3,29.8,32.8,35.3,35.7,36.5,37.1,38.9,41.5,42.6,43.4,44.6,45.3,45.8,46.7,48,57.3,56.8,59.7,60.8,67.7,67,68,70,69.9,70.2,80.4,81.8,83.1,84.5,86.8,93.7,100.4,106.3,111.9,120.5,134.1,136.7,137.6,140.6,138.8,144.5,146.9,149.1,148.2,153.7,155.8,157.7,157,164.9,167.2,171.5,174.7,189.1,192.9,200.8,205.9,234.2,235.2,239.6,240.8,258.5,260.8,264.5,271.5,286.8,301.8,301.5,306.5,300.1,301.8,303.7,305.5,306.4,312.9,322.4,324,327.8,328.9,338.2,341.7,347.5,348.5,353.3,357.3,357.7,359.6,375.1,375.8,378.3,381,399.4,405.3,412.9,421.5,438.4,440.3,445.2,457.5,479.3,489.8,493.7,506.8,537.2,547.6,552.7,558.7,572.9,579.2,584.4,588,597.9,599.9,603.4,611.8,631.3,639.5,645.9,652.4,670,676.1,680.2,685.9,702.1,706.3,709.2,709.8,719.8,719.2,720.3,719.3,730.8,733.4,735.3,738.2,749.9,765.1,769.7,779,809.9,824.5,840.4,855.6,894.1,917,924.4,934,950.7,970.7
