"","Table 3#1# Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77"
"17","10","  To the rest of the world (net)","B088RC",0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,-0.1,-0.1,0.4,2.3,2,3.9,5.1,3.6,3.1,2.1,2,1.8,2.1,1.9,1.8,1.8,1.8,1.8,2.1,2.1,2.1,2.1,2,2.2,2.1,1.9,1.8,1.9,2.3,2.5,2.4,3.1,3.4,3.6,3.3,3.6,3.9,4.8,4.8,6.1,7,9.1,11.1,12.1,10.2,10.3,10.4,10,-29,16.2,16.7,15.3,9.8,13.6,10.6,11,11.4,13.6,9.6,14.4
"18","11","Net interest paid \1\","A085RC",0.7,0.7,0.9,1,1.1,1.1,1.1,1,1.1,1.2,1.2,1.3,1.3,1.5,2.1,2.6,3.4,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.2,5.2,5.7,6.2,6,7.1,7.9,7.5,8.2,8.9,9.6,10,10.7,11.5,13.1,14.5,16.2,17,18.4,21.2,23.1,26.9,33.1,35.5,39.3,44.8,53.2,71.6,86.6,99.4,120.7,136.5,145.1,156.7,168.3,187,204.3,223.1,232,235.8,244,268,274.4,275.3,278.8,263.1,260.1,236,205.8
"19","12","  Interest paid","A180RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4,10.2,11.1,12,12.9,13.7,15.1,16.4,18.8,20.7,23.4,24.5,26.3,31.3,35.6,40,46.3,50.8,60.2,72.9,89.1,116.7,138.9,156.9,187.3,211.5,226.1,236.5,253.7,276.9,297.8,314.6,316.3,316,326.9,357.5,366.6,371.2,372.2,360,363.6,341.1,314.1
"20","13","    To persons and business \1\","A204RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1,9.9,10.8,11.6,12.5,13.2,14.5,15.8,18.1,19.9,22.3,22.6,23.6,27.4,31.3,35.4,41.8,45.3,51.6,61.8,76.4,99.4,119.6,137.9,166.1,188.4,201.5,210.3,222,238.6,257.1,273.7,277.2,276.7,282.7,300.1,299,283.2,281.1,285.4,280.6,260.4,241
"21","14","    To the rest of the world","B093RC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.7,0.8,1,1.8,2.7,3.8,4.3,4.5,4.5,5.5,8.7,11.1,12.7,17.3,19.3,19,21.2,23.1,24.6,26.2,31.7,38.4,40.8,40.9,39.1,39.4,44.2,57.4,67.6,88.1,91.1,74.5,83,80.7,73
"22","15","  Less: Interest received by government \1\","A205RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.6,2.9,3.1,3.3,3.7,4.4,4.9,5.7,6.2,7.1,7.5,7.9,10,12.5,13.1,13.2,15.3,20.9,28.2,35.9,45.1,52.4,57.5,66.6,75,81.1,79.8,85.4,90,93.6,91.5,84.3,80.2,82.9,89.5,92.2,96,93.4,96.9,103.5,105.1,108.2
"23","16","Less: Dividends received by government","B081RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5
"24","17","Subsidies less current surplus of government enterprises","A031RC",0,0,0.1,0.1,0.1,0.4,0.5,0.2,0.2,0.4,0.7,0.6,0.3,0.4,0.4,0.9,1,1.2,0.2,0.3,0.3,0.6,0.7,0.4,0.1,-0.1,-0.2,0.4,0.7,0.9,0.1,0.2,1.2,1.4,0.9,1.4,1.7,3,2.9,3,3.5,4.8,4.9,6.1,5.6,4.2,7.7,6.9,9.7,10.6,11,14.5,16.1,18.1,24.3,22.9,20.4,23.6,30.1,27.4,22.6,25.3,21.5,22.4,29.6,25.2,22.2,22.6,19.1,23.5,32.5,34.1,47.3,32.5
"25","18","  Subsidies","A107RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,1.1,2,2.3,2.2,2.7,3,3.9,3.8,4.2,4.5,4.7,4.7,6.6,5.2,3.3,4.5,5.1,7,8.8,8.3,9.7,11.2,14.1,21.2,21,21.3,24.9,31.3,30,27.2,26.8,27.3,29.9,36.7,32.6,33.2,33.7,33,35.4,44,44.1,55.3,46.2
"26","19","  Less: Current surplus of government enterprises","A108RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.9,0.8,0.9,1.4,1.3,1.3,1,0.9,1.2,1,0,-0.2,0.5,-0.4,-0.9,-3.2,-1.8,-2.6,-1.9,-2.6,-4.8,-4.9,-4,-3.1,-1.9,0.8,1.3,1.2,2.6,4.6,1.5,5.8,7.5,7.1,7.5,11.1,11.1,13.9,11.8,11.5,10.1,8,13.7
"27","20","Less: Wage accruals less disbursements","A184RC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.3,0,-0.5,0.1,0.1,0.1,0.3,-0.2,0,0.1,0,-0.4,0.2,-0.2,0,0,0,0,0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0
"28","21","    Current surplus or deficit (-), national income and product accounts","A922RC",2.5,1.6,-1.1,-0.7,-0.5,-1,-0.8,-0.9,2.2,0.6,-0.1,1.6,4.1,-7.2,-12.7,-25.4,-27.5,-3.7,6.6,4.7,-4.3,6.8,12.1,6.6,5.2,1.5,9.1,11.8,7.3,-2.7,7,11.3,6.8,7.6,10.9,7.2,9.7,10.5,-1.4,6.2,17.6,-7.3,-20.4,-6.9,4.5,-4.6,-66.9,-45.7,-32,-8.2,1.7,-44.9,-46.2,-134.8,-169.1,-144.2,-154.9,-171.4,-135.7,-121.8,-110.7,-170.3,-223.1,-302.5,-272.7,-203.7,-176.7,-115.4,-22.3,84.5,150.2,224.8,40.7,-254.1
"29","22","Social insurance funds","A221RC",0.1,0.1,0.1,0,0,0,0,0.2,1.4,1,1,1,1.6,2.2,3.3,3.9,4.3,3.3,3.2,2.5,1.6,-0.2,2.7,2.7,2.2,1.3,1.6,1.8,1.2,-2.6,-0.7,0.6,-2.1,-0.3,1.1,1.6,0.9,6.5,5,4,6.4,1.8,-2.1,0.4,7.2,4.4,-14.9,-13.8,-11.6,-1.5,3.6,-12.5,-11.1,-31.3,-34.2,-3.9,3.9,9.6,18.5,43.7,47.9,46.9,29.8,12.3,11.1,27.4,23.9,19.4,31.6,58.6,96.8,118.4,93.2,51.9
"30","23","Other","A391RC",2.5,1.5,-1.2,-0.7,-0.6,-1,-0.8,-1.2,0.8,-0.4,-1.1,0.6,2.5,-9.4,-16,-29.3,-31.8,-7,3.4,2.2,-5.8,6.9,9.5,3.9,3,0.2,7.5,10,6.2,0,7.7,10.7,8.9,7.9,9.8,5.7,8.8,4,-6.4,2.2,11.2,-9.1,-18.3,-7.3,-2.8,-8.9,-52,-31.9,-20.4,-6.7,-1.9,-32.5,-35.1,-103.6,-134.9,-140.3,-158.7,-181,-154.2,-165.5,-158.6,-217.2,-252.9,-314.8,-283.7,-231.1,-200.6,-134.8,-53.9,25.9,53.4,106.4,-52.5,-306
"31",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","24","  Net lending or net borrowing (-)","AD01RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.9,-8,-8.2,-4,-7.8,-5.1,-7.9,-20.7,-11.6,1.8,-21,-30.7,-16.1,-3.3,-14.2,-84.9,-60,-43.4,-28.7,-23.2,-72.2,-69.8,-156.9,-197.8,-185.2,-212.8,-234.5,-205.4,-186,-177,-250.9,-299.3,-370.7,-330.1,-256.5,-226.5,-171.7,-78.7,24.4,67,142.2,-46.9,-354.5
"33","25","    Current surplus or deficit (-), national income and product accounts","A922RC",2.5,1.6,-1.1,-0.7,-0.5,-1,-0.8,-0.9,2.2,0.6,-0.1,1.6,4.1,-7.2,-12.7,-25.4,-27.5,-3.7,6.6,4.7,-4.3,6.8,12.1,6.6,5.2,1.5,9.1,11.8,7.3,-2.7,7,11.3,6.8,7.6,10.9,7.2,9.7,10.5,-1.4,6.2,17.6,-7.3,-20.4,-6.9,4.5,-4.6,-66.9,-45.7,-32,-8.2,1.7,-44.9,-46.2,-134.8,-169.1,-144.2,-154.9,-171.4,-135.7,-121.8,-110.7,-170.3,-223.1,-302.5,-272.7,-203.7,-176.7,-115.4,-22.3,84.5,150.2,224.8,40.7,-254.1
"34","26","    Plus: Consumption of fixed capital","A264RC",0.9,0.9,0.9,0.8,0.9,1.1,1.1,1.2,1.3,1.4,1.4,1.5,2,3.5,6.3,9,10.2,11,10.7,9.7,8.8,8,8.7,9.6,10.5,11.2,11.8,12.9,13.7,14,14.6,15.2,15.7,16.7,17.6,18.3,19.1,20.2,21.7,23.4,25.2,27.3,29.2,31.5,33.8,37.9,41.8,44.4,47.2,50.8,55.5,62.7,71,79,83.3,88.8,94,100.8,107.8,115,123.2,131.8,140,145.3,152.6,160.3,168.1,174.3,180.9,187.6,197.9,210.9,222.4,229.6
"35","27","    Plus: Capital transfers received (net)","AD04RC",0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1,1.1,0.9,0.8,0.9,1.1,1.1,1.2,1.2,1.6,1.8,1.7,1.8,2.1,2.4,2.5,2.8,3.2,3.5,3.8,3.9,4,4.5,4.6,5.7,6.6,6.4,6.1,6.2,7,9.1,7,7.3,8.5,9.1,9.9,8.3,8.4,8.9,10,10.6,11.2,12.4,8.5,10.3,15.8,17.1,19,19.6,23.1,26.8,32.4,32.4,35.9,35.4,32.9
"36","28","    Less: Gross investment","A782RC",2.8,3.2,3,2.1,1.9,2.7,2.8,4.1,3.8,4.2,4.5,4.4,10.8,28.5,39.1,36.6,24.1,3.5,4.6,7,9.7,9.8,17.6,22.3,24,22.5,21,22.9,24.4,26.5,29.3,28.3,31.3,33.3,33.6,34.6,35.6,40.4,43.8,44.7,44.4,44.8,44,46.3,49.4,57.4,64.5,66.4,67.5,77.1,88.5,100.3,106.9,112.3,122.8,139.4,158.8,173.2,184.3,186.2,197.7,215.8,220.3,223.1,220.9,225.6,238.2,250.1,264.6,277.1,304.7,319.8,335.8,351.9
"37","29","    Less: Net purchases of nonproduced assets","AD07RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.5,1.7,1.7,1.9,1.8,2,1.2,0.5,1.1,0.8,1.2,0.9,-1.5,-3.8,1.5,-0.6,0.2,1.2,-0.8,-1.9,-3.2,-1.4,-2.5,-1.2,2,0.7,3.8,4.3,4.3,5.1,6.1,6.2,6.2,6.5,-0.6,3.6,-0.5,3,8.8,9.6,9.6,11
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39"," 1. Prior to 1960, interest paid to persons and business (line 13) and interest received by government (line 15) are not shown ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","separately, but are included in net interest paid (line 11).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
