"","Table 1#2B# Real Gross Domestic Product, Chained (1952) Dollars","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24"
"19","12","  Change in private inventories","A014BX1B",3.3,-1.4,-1.1,-2.9,8,-1.5,6.7,-3.3,5.8,8.1,3.5,2.1,-2,4.7,3.5,1,0,3.9,3.5,3.1,6.4
"20","13","Net exports of goods and services","A019BX1B",-2.7,-6.2,-6.3,-4.7,7.2,10.3,4.3,4.5,0.4,3.1,1,-1.5,0.1,-0.1,1.4,2.3,-1.7,-3.7,0,0.6,-0.8
"21","14","  Exports","A020BX1B",6.5,5.4,5.8,8.2,17.9,20.5,16.1,16,14,17.1,16.3,15.3,16,17.7,20.6,22.4,19.4,19.5,23.6,24,25.3
"22","15","    Goods","A253BX1B",5.2,4.1,4.4,6.6,15.2,17.5,13.6,13.5,11.6,14.2,13.4,12.5,13.3,14.6,17.2,18.5,15.7,15.6,19.3,19.4,20.2
"23","16","    Services","A646BX1B",1.2,1.3,1.4,1.6,2.7,2.9,2.6,2.5,2.3,3,2.9,2.7,2.7,3.1,3.5,3.9,3.6,3.9,4.3,4.6,5
"24","17","  Imports","A021BX1B",9.2,11.6,12.2,12.9,10.7,10.2,11.9,11.4,13.5,14.1,15.3,16.7,15.9,17.8,19.3,20.1,21,23.2,23.6,23.4,26.1
"25","18","    Goods","A255BX1B",6.1,7,7.3,7.3,8.4,8.1,9.2,8.9,10.8,10.6,10.8,11.5,10.6,11.8,12.9,13.3,13.6,16,15.7,15.7,18
"26","19","    Services","B656BX1B",2.8,3.9,4.2,4.8,2.3,2.1,2.6,2.5,2.7,3.4,4.5,5.3,5.3,6,6.4,6.8,7.4,7.3,7.8,7.7,8.1
"27","20","Government consumption expenditures and gross investment","A822BX1B",98.5,146.9,165.7,144.3,49.8,42.6,45.6,50.9,50.9,69.3,83.9,89.7,83.6,80.4,80.5,84.1,86.8,91.7,91.7,96.1,101.9
"28","21","  Federal","A823BX1B",78.7,124.9,142.9,122.5,33.1,24.6,26.5,28.9,27.3,45.1,59.2,63.8,55.4,50.3,49.4,51.2,51.1,54.7,53.1,55.2,59.7
"29","22","    National defense","A824BX1B",75.6,123.6,141.5,121.6,29.3,19.7,19.8,20.7,20.4,39,52.4,55.6,47.6,42.9,42.6,44.4,44.2,45.3,44.4,46.2,48.9
"30","23","    Nondefense","A825BX1B",4.1,3.1,3.5,2.8,4,5,6.8,8.5,7.1,6.1,6.8,8.2,7.8,7.4,6.8,6.7,6.9,9.4,8.7,8.9,10.8
"31","24","  State and local","A829BX1B",16,14.6,14.1,14.5,15.9,18.2,19.3,22.3,24.1,24.3,24.7,25.9,28.2,30.2,31.2,33,35.8,37,38.7,41,42.3
"32","25","Residual","A960BX1B",0.1,4.4,4.4,5.4,0.5,0.1,-1.9,-0.2,-0.7,-0.3,0.1,0.5,1,-0.3,-0.2,0.6,1.4,1.2,0.9,1.7,1.5
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","  Note.  Chained (1952) dollar series are calculated as the product of the chain-type quantity index and the 1952 current-dollar ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","value of the corresponding series, divided by 100.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Because the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","The residual line is the difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","  Percent changes from preceding period for selected items in this table are shown in table 8.1;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","contributions to the percent change in real gross domestic product are shown in table 8.2.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","  Chain-type quantity indexes for the series in this table are shown in table 7.1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
