"","Table 3#6# Contributions for Social Insurance","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"20","13","    Pension benefit guaranty","B1043C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.5,0.6,0.7,0.8,0.9,0.9,1,0.9,1.2,1,1,0.9,0.8,0.9
"21","14","    Veterans life insurance","CON210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1.3,1.4,0.6,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","15","    Workers' compensation","CON220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.5,0.6,0.6,0.7,0.8,0.9,0.9,0.9,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.8,1.8,1.9,1.9,1.9,1.9,2,2,2.2,2.2
"23","16","    Military medical insurance \1\","B1606C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.9,1.1,1.3,1.3,1.5,1.7,1.7,1.6,1.4,1.3,1.2,1.2,1.1,1.1,1.1,1.1
"24","17","  State and local social insurance funds","A744RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1,1.2,1.4,1.7,2.2,2.7,3.1,3.1,3.2,3.2,3.1,3.3,3.8,4.4,5.2,6.2,7.1,8,9.2,10.3,11.1,11.5,11,10.2,9.2,8.6,8,7.3,7.2
"25","18","    Temporary disability insurance","S25210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","19","    Workers' compensation","S25300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1,1.2,1.3,1.7,2.1,2.7,3,3,3.1,3.1,3,3.3,3.7,4.4,5.2,6.1,7.1,8,9.2,10.3,11.1,11.4,11,10.2,9.2,8.6,7.9,7.3,7.2
"27","20","Personal contributions","B228RC",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.4,0.4,0.5,0.6,0.9,1.5,1.8,1.9,1.6,1.6,1.6,1.5,2.1,2.5,2.8,2.9,3.5,3.9,4.3,5,5,6,7.2,7.4,7.9,9.3,9.8,10.3,14.5,16.8,18.7,21.4,22.5,24.7,28,35.7,40.5,42.6,46.9,52,59.7,70.2,77.2,92.1,99.1,106.1,118.4,133.6,145.6,156.8,176.8,191.6,203.7,215.1,226.6,237.8,254.1,268.8,280.4,297.9,316.3,337.4,358.4,372.3
"28","21","  Federal social insurance funds","A1585C",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.4,0.4,0.5,0.6,0.9,1.4,1.8,1.9,1.5,1.6,1.5,1.5,2.1,2.5,2.7,2.8,3.4,3.9,4.3,5,5,5.9,7.1,7.3,7.8,9.1,9.6,10.1,14.2,16.6,18.4,21,22.2,24.4,27.6,35.3,40,42.1,46.4,51.4,59,69.4,76.8,91.4,98.3,105,117.1,132.5,144,154.8,174.6,189.7,201.7,212.7,223.7,234.8,251,266.2,278.2,296.3,314.8,335.7,356.5,370.3
"29","22","    Old-age, survivors, disability, and hospital insurance","A1586C",NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.6,0.6,0.7,0.8,0.8,0.8,1.3,1.6,2,2.1,2.6,3.1,3.4,4.1,4.2,5.1,6.2,6.4,6.9,8.2,8.7,9.2,12.9,14.9,16.6,19.1,20,22,25,32.5,37.2,39.1,43.2,47.9,55.3,65.3,72.4,86.4,92.6,99.1,110,124.8,136.1,145.9,162.9,174.7,188.7,198.5,208.1,217.4,231.4,244.4,257.4,275,293.4,313.3,334,345.5
"30","23","      Employees","A1587C",NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.6,0.6,0.7,0.8,0.8,0.8,1.3,1.6,1.8,1.8,2.4,2.8,3,3.6,3.6,4.5,5.5,5.6,6.1,7.3,7.7,8.1,11.8,13.1,15,17.3,18.2,20.1,22.9,30,34.1,35.8,39.7,44.1,51,60.3,66.8,80.4,85.8,91.9,101.6,113.9,123.7,131.6,147.1,157.1,169.8,177.4,185.7,193.8,206.6,217.7,229.8,246.1,263,280.9,299.9,309.9
"31","24","        Old-age, survivors, and disability insurance","L30622",NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.6,0.6,0.7,0.8,0.8,0.8,1.3,1.6,1.8,1.8,2.4,2.8,3,3.6,3.6,4.5,5.5,5.6,6.1,7.3,7.7,8.1,10.8,11.6,12.9,15.1,15.9,17.8,20.2,24.8,28.8,30.2,33.5,37.2,42.5,49.9,55.2,64.6,69,73.3,81,91.2,97.7,103.9,117.8,125.7,136.4,140.4,146.6,152.9,161.2,169.4,178.4,190.8,203.5,217.2,231.4,239.8
"32","25","        Hospital insurance","L30623",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.5,2.1,2.2,2.3,2.3,2.7,5.2,5.3,5.6,6.2,6.9,8.5,10.5,11.6,15.9,16.8,18.7,20.6,22.7,26.1,27.7,29.4,31.4,33.4,37.1,39.1,40.9,45.4,48.3,51.4,55.3,59.5,63.6,68.5,70.2
"33","26","      Self-employed","CON520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.3,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1,1,1.1,1.8,1.6,1.8,1.9,1.9,2.1,2.5,3.1,3.4,3.5,3.9,4.3,5,5.6,5.9,6.8,7.1,8.4,10.9,12.4,14.2,15.7,17.7,18.9,21.1,22.4,23.6,24.8,26.7,27.7,29,30.4,32.4,34.1,35.6
"34","27","    Supplementary medical insurance","CON530",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.6,0.8,0.9,1.1,1.3,1.4,1.5,1.8,1.9,2,2.2,2.5,2.7,3,3.4,3.9,4.2,5.1,5.6,5.7,6.7,9.4,12.7,10.7,11.9,12.9,15.2,17.3,19.6,18.6,19.2,19.3,20.3,20.4,22.7
"35","28","    State unemployment insurance","CON544",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.4,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.1,0,0,0,0,0
"36","29","    Railroad retirement","CON550",NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.7,0.8,0.8,1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.3,1.2,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.4
"37","30","    Veterans life insurance","CON574",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.6,0.9,1,0.6,0.5,0.4,0.4,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.6,0.6
"38","31","  State and local social insurance funds \2\","B738RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.1,0.1,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.8,0.5,0.7,0.9,1,1.3,1.1,1.6,2,2.2,1.9,2,2.4,2.8,3,3.1,2.6,2.2,1.6,1.6,1.7,1.9,2
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40"," 1. Consists of payments for medical services for dependents of active duty military personnel at nonmilitary facilities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41"," 2. Consists of contributions for temporary disability insurance.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
