"","Table 1#2# Real Gross Domestic Product","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229"
"11","3","  Durable goods","B003RX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,435.2,453.8,472.8,459,481.7,481.5,474.9,488.1,485.6,492.5,502.7,486,506.7,489.3,483.5,468.8,452.6,454,460.2,452.8,468.7,471.4,482.1,493.8,495.4,513.3,524.7,539.9,546.9,551.7,557.7,574.3,570.4,577.4,590.7,595.7,601.7,620.4,618.1,625.7,641.5,636.5,670.5,680.9,692.5,719.7,727.1,767.3,777.6,804.2,824.1,844.2,879.5,871.3,888.5,876.5,900.6,912.4,922.6,992,975.9,980.7,1032.4,1010.6,1005.4,1061.2
"12","4","  Nondurable goods","B004RX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1266,1275,1276,1281,1295.8,1307.4,1321.4,1336,1341,1341.8,1354.7,1366.4,1370.2,1372.6,1375.9,1359.8,1358.9,1368.7,1369.4,1358.9,1381.2,1379.1,1388.1,1410.3,1410.2,1425.5,1438.1,1447.4,1465.3,1477.6,1490.9,1506.5,1514.3,1525.3,1531.7,1544.6,1553.9,1569.9,1578.6,1593.9,1605.6,1608.2,1631.7,1634.1,1656.3,1680.5,1693.6,1715.3,1736.1,1756.7,1767.7,1799.9,1809.7,1831.6,1840.9,1853.1,1863.7,1862.3,1868.3,1885,1921.4,1920.9,1925.8,1950,1978.9,1984.5
"13","5","  Services","B005RX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2346.8,2367.8,2390.6,2411.9,2443.7,2461.7,2491.6,2511.8,2525.8,2535.1,2549.2,2573.6,2583,2614.9,2635.9,2631.1,2629.6,2651.1,2658.3,2668.3,2698.9,2720.9,2734.1,2765,2772.7,2784.9,2816,2836.4,2855.4,2879.6,2896.8,2912.9,2927.3,2957.4,2977,2992,3018.8,3039.2,3057.7,3072.2,3103.7,3130.6,3160.6,3193,3228.4,3262.3,3295.2,3307.6,3343.6,3379.7,3417.4,3440.7,3477.7,3508.2,3541.7,3570.6,3576.3,3589.3,3597.5,3616.6,3642.2,3666.2,3687,3707,3714.9,3728.6
"14","6","Gross private domestic investment","A006RX",165,159.4,158.6,191.5,209.8,220.4,221.1,210.1,178.3,153.9,167.4,157.6,198.1,220.4,239.7,271.8,242.9,249.2,230.1,210.6,215.6,197.7,207.8,223.3,227.5,228.5,222.8,205,203.4,203,213.3,223.3,247.2,262.8,266.4,272,262.9,260,257.1,254.4,250,249.9,255.6,234.1,216.7,211.3,228.4,249.6,263,286.2,266.6,275.6,305.3,274,272.4,239.5,245,263.3,285.5,290.2,307.3,304.5,310,299.5,315.4,320.8,331.5,335.2,348.9,347.5,355.7,358.3,394.9,394.6,408.4,410.1,444.1,436.5,432.7,435.8,424.9,405,415.2,423.6,433.8,451.8,437.3,442.2,470.8,467.1,477.2,452.6,438,439.4,446.5,421,475.9,490.2,496.5,480.6,513.6,544.9,554.1,559.4,595.2,618.2,597.5,615.3,579.2,577.3,543.4,547,450.8,436.4,474.9,486.8,535.1,559.8,561.1,565.9,595.5,635,670.7,656.4,667.2,709.7,728.8,746.3,746,745.7,732.1,717.8,711.7,647.4,599.8,662.2,726.3,693.4,733.9,708.8,634.8,631.6,623.5,571.1,590.7,650.7,691.4,762.2,845,873.2,890.7,876.9,848.9,862.8,854.1,887.8,886.2,868.3,838,838.2,863.4,863.9,860.5,929.3,884.6,902.5,907.5,916.7,952.7,941.1,929.3,922.9,934,933,912.6,849.6,815.1,808.8,829.8,864.2,843.8,901.8,912.1,941.6,964.8,967,964.1,1015.6,1057.3,1118.5,1101.8,1150.5,1162.4,1128.5,1119.1,1152.4,1172.3,1233.4,1281.4,1283.7,1325.4,1400.6,1408.6,1438.5,1543.3,1516.8,1559.7,1612.1,1640.3,1620.5,1663.4,1717.8,1727.8,1798.1,1770.3,1755.2,1661.8,1583.5,1562.7,1490.3,1554,1583.9,1598,1622.4,1600.4,1603.9
"15","7","  Fixed investment","A007RX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,837.2,853.1,868,865.6,871.5,886.7,891.2,899.2,905.5,906.7,923.3,909.3,922.8,900.3,892.7,862.7,833.1,829.5,832.1,835.4,847.4,881.4,894.4,922.8,929.9,944.3,958.7,1000.6,1014.9,1039.9,1050.9,1078,1101.9,1095,1107.1,1132.7,1165.2,1203.7,1231.6,1250.2,1275.4,1311.1,1356.7,1371.3,1431.4,1471.4,1485.4,1531.7,1560.5,1587.6,1610.6,1622.2,1673.6,1700.9,1701.7,1691.3,1682.1,1633.5,1615.7,1578.4,1576.4,1572.6,1571.6,1588.5,1587.9,1614.5
"16","8","    Nonresidential","A008RX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,554,566.8,585.1,584,590.5,603.4,606.7,613.8,623.1,632.2,651.1,641.6,650,639.4,645.4,632.1,616.2,611.9,607.7,604.6,603.6,626.1,637.6,655,661.7,676.6,684.2,711.8,720,734.1,747.2,777.1,806.4,811.4,816.7,835.5,861.6,885.6,914.3,936.2,960.8,992.7,1037,1047,1099.5,1132.3,1136.6,1175.4,1197.5,1220.4,1243.3,1252.4,1297.1,1329.1,1340.7,1329.9,1311.4,1261,1241.7,1206.4,1188.4,1181.1,1178.7,1185.3,1172.1,1194.8
"17","9","      Structures","B009RX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217.3,219,228.3,232.5,225.4,229.6,226.9,226.6,230.8,228,236.7,235.2,240,238.9,238.2,227.3,222.3,216.6,202.9,198.5,196.5,196.2,197.5,199.1,198.6,197.6,197.8,201.5,193.2,202.9,202.3,203.8,208.1,211,210.9,210.4,215.9,221.3,225.4,237.3,241.1,239.3,248.5,252.7,255.7,264.8,263,265.1,262.4,258.9,254.7,258.5,267,272.3,280.2,282.7,280.4,274.4,276.3,252.7,243.2,231.7,218.2,212.6,211,214.7
"18","10","      Equipment and software","B010RX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,348.1,358.8,368.7,364.3,376,384.7,390.1,397,402.4,413.2,424.1,416.3,420.3,411.1,417.4,413.9,402.8,403.4,410.9,411.7,412.3,434.1,444.1,459.4,466.3,481.4,488.5,512.2,527.4,532.6,545.7,573.7,598.5,600.7,606,625,645.8,664.3,688.9,698.8,719.6,753.7,788.9,794.5,845,868.6,875.1,912.9,939.1,967.1,996.1,1001.2,1038,1065.3,1067.7,1053.1,1036.1,989.9,966.4,960.3,953.7,961.4,977.2,992.1,979.9,999.4
"19","11","    Residential","A011RX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,291.3,294.1,289.3,288,287,289,290.2,290.8,287,277.9,274.5,269.9,275.2,262.5,247.2,229.2,214.7,215.6,223.4,230.6,245,256.6,257.9,269.2,269.5,268.6,275.7,290.1,296.5,307.5,305.2,301.8,295.8,283.5,290.4,297.3,303.6,318.1,317.3,314,314.7,318.7,320.3,324.9,333,340.5,349.5,357.4,364.1,368.4,369.2,371.7,379.1,376.2,367.2,367.2,374.5,374,374.3,371,383.6,386.1,387.1,395.9,405.5,410
"20","12","  Change in private inventories","A014RX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.9,17.3,-2.1,69.3,17.2,18.9,18.5,18.9,51.5,38.9,10.2,17.9,15.7,36.3,24.1,-9.9,-15.5,-19.6,-1.3,32.4,0,24.9,21.4,22,36.2,23.4,4.7,15.7,47.8,85.8,56.3,77.4,62.2,32.5,9,18,5.6,30.3,51.2,32.9,49.3,88.3,51.3,66.1,113.1,42,71.8,80,80,31.2,47.6,92.2,45.3,91.5,63.1,59.9,-26.9,-58.3,-61.8,-98.4,-28.9,4.9,18.8,25.8,4.8,-20.9
"21","13","Net exports of goods and services","A019RX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-161.3,-159.5,-153.2,-150.8,-124.2,-104.4,-108.8,-111.2,-85.2,-76.2,-81.5,-74.7,-62.3,-61.7,-67.6,-34.6,-18.2,-10.7,-23.9,-10.4,-6.7,-23,-22,-27.3,-44.4,-51.7,-72.3,-67.9,-80.1,-86.2,-92.2,-87.7,-92.5,-97.5,-67.3,-56.4,-75,-90.4,-115.9,-74.6,-94,-100.6,-119.6,-139.2,-180.8,-223.1,-241.2,-239.2,-283.2,-319.6,-339.6,-339.5,-368.8,-394.6,-413.1,-418.5,-404.5,-414.8,-419,-425.3,-446.6,-487.4,-488,-532.2,-510.3,-543.6
"22","14","  Exports","A020RX",80.7,79.8,75.9,67.3,64.2,58.1,59.5,57.4,64.2,63.7,58.4,50.6,49.7,50.3,51.6,55.7,58.6,64.3,65.9,65.3,68.5,61,56.2,56.6,55.6,56,58.3,56.3,53.8,61.6,59.5,62.3,64.6,63.1,67.2,67.5,70.7,75.5,78.1,81.6,86.9,84.3,81.9,79.3,71.4,71.7,72,71.9,69.1,70.6,76.4,73.5,83.8,87.3,89.3,89.3,89.9,85.7,89.2,90.8,90.1,96.1,95.9,92.5,92.8,101.3,102.1,106.7,112.6,111.7,115,117.4,103.2,119.6,117.5,125.6,124,123.1,123.9,126.1,127.9,126.6,125.3,128.3,131.3,133.5,141.8,138.7,124.1,150.5,148.8,151.4,155,160.1,159.9,162.1,160.7,160.6,169.4,151,168.8,166.4,173.8,184.9,201.8,210.5,212.4,221.1,228.6,238.4,226.7,232.6,232.2,222.7,226.5,238.7,237.9,240.1,246.8,249.7,245.9,252.5,254.5,246,251.8,278.2,281.1,292.3,292.3,292.9,303.1,321.2,331.3,337.5,336.2,334.3,340.2,342,334.8,337.5,323.8,326,311.3,297.5,302.4,303.4,307.9,314.1,321.4,329.4,336.5,343.1,342.8,341.3,336.2,346.2,355.9,360,368.6,382.6,383.6,399.3,416.7,432.2,456.1,468.8,477.3,491.8,510.5,530.8,530.8,545.5,565.8,577.6,572.8,586.5,584.5,613.3,616.9,638.3,643.9,647.1,650.8,662.2,661.4,674.4,660.8,694.3,696.7,725.1,742.4,767.1,780.6,788.9,821.9,841.4,846.1,860.1,867,923.5,940.3,979.2,1004.2,1002.1,1003.4,993.1,987.6,1025.6,1007.5,1018.1,1044.1,1075.6,1095.8,1133.9,1165.5,1153.7,1135.8,1098.8,1048,1021.8,1030.6,1065.5,1077.7,1061.6,1058.1,1054.9
"23","15","    Goods","A253RX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,252.1,262.8,278.6,292.1,309.9,318.5,323.4,338.4,348.7,366.8,362.9,374.5,388.3,396,389.3,399.2,405.2,421.5,421.8,435.8,441.5,445.9,449.3,462.4,454.5,464.9,451.4,482.7,478,500,516.8,538,549.8,556.5,576.7,592,599.2,605.5,617.2,651.7,672.8,705.8,726.8,727.1,726.7,710.6,711.5,742.8,725.4,733.7,756.8,784.2,797.1,827.4,865,849.2,836,800.1,760,744.6,738.1,765.8,773.5,750.3,753.9,750.1
"24","16","    Services","A646RX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.5,139.6,140.4,141.7,147.5,151.6,155.4,153.6,162.8,163.8,168.8,171.5,178.1,182.3,184.8,188.6,179.5,192.4,196,203.4,203.1,201.7,202,199.9,207.5,210,210.1,211.9,219.4,225.6,226,229.3,230.8,232.5,245.3,249.5,247,254.6,249.8,271.6,267.6,273.7,277.7,275.4,277,282.4,276.3,283.3,282.3,284.6,287.9,292.4,299.6,307.6,303,306.3,301.6,299.7,288.7,278.2,292.2,299.7,304,310,303.5,304.1
"25","17","  Imports","A021RX",48.1,49,43.5,45.8,51.7,53.7,56.5,55.6,53.8,53.1,51,51.9,53.1,56.1,69.3,69.5,69.5,67.1,61.4,59.7,66.8,66.5,70.5,76.7,75,78.8,78.5,74.6,70.2,76.5,72.1,72.9,76.8,81.3,82.8,85.9,89.1,88.8,89.6,85.8,92.4,93.2,91.3,91.5,92.6,96.5,95.5,101.1,102.3,108,109.4,106.7,110.5,111.1,107.8,102.7,102.2,103.5,110.4,113,116.4,119,120.5,122,119.1,121.9,125,124.6,124.5,127.3,130.7,134.3,129.4,144.7,145.3,152.4,156.3,160.2,169.2,171.1,173.5,172.4,174.7,184,194.7,197.7,209.5,207.7,188.2,225.3,222.4,219.9,219.2,223.5,223,226.5,223.8,240.7,246,229.3,262.8,253.4,258.7,270.3,282.8,274.7,267.1,269.1,260,273.8,269,266.3,239.6,220.4,238.7,251.5,267.2,278.8,290.2,299.8,313.9,316.8,312.4,316.8,338,339.1,343.6,348.3,347.3,349.2,343.9,351.3,351.7,326.1,302.6,318.9,332.5,333,329.3,338.7,329.1,323.7,338.7,325.4,332.8,358.4,386.3,405.3,437.8,456.2,468,481.8,471.1,494.2,489.3,508.3,507.3,528.8,543.6,548.1,544.9,558.9,569.9,583,580.3,573.2,586.1,603,595.7,606.9,612.3,620.2,628.1,639.3,640.4,621,602.7,623.9,640.8,648.7,650.6,670.1,672.9,689.5,705.8,726.1,733.1,762.2,776.8,811.3,834.6,854.8,873.1,886.4,889.1,897.8,921.1,950.4,982.9,998.1,1034.3,1079.8,1123.8,1141.2,1184.2,1216.2,1228.9,1264.8,1290.7,1337.7,1383.7,1415.2,1464.6,1528.5,1578.6,1572.2,1540.3,1513.6,1467,1447.2,1477.1,1552.9,1565.7,1593.8,1568.4,1598.5
"26","18","    Goods","A255RX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,431.9,440.7,451.3,459.3,458,453.3,464.5,479.7,472.2,482.8,485.9,492.6,495.2,504.8,504.5,487.2,472.8,491.1,510.1,516.5,520.9,542.4,551.7,559.9,576.1,594.5,599.4,623.8,636.1,669.5,692.8,713.3,725.5,740.3,742.1,748.4,769.7,797.4,825.6,840.7,869.6,913,948,961.9,995.9,1024.9,1034.2,1070.6,1096.7,1140.7,1182.3,1210.2,1249.6,1308.8,1351.1,1345.1,1313.1,1281.1,1249.2,1238.7,1250,1329.2,1340.3,1360.8,1337.4,1379.8
