"","Table 7#1# Quantity and Price Indexes for Gross Domestic Product","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229"
"26","14","    Chain-type quantity index","B004RA",27.91,28.38,28.47,28.09,28.1,28.39,28.16,28.56,28.7,28.76,28.54,28.94,29.29,29.61,30.14,29.5,30.25,29.91,30.58,30.92,30.72,31.45,31.96,32.38,32.63,32.78,32.55,32.53,32.77,32.66,33.08,33.64,33.89,34.48,34.74,35.46,35.81,35.72,35.75,36.01,36.13,36.3,36.84,36.66,36.22,36.48,37.09,37.52,37.95,38.26,38.46,38.72,38.71,39.17,38.9,38.93,39.18,39.59,39.62,40.18,40.53,40.72,41.03,41.28,41.45,41.62,41.96,41.98,42.78,43.56,44.35,44.5,45.01,45.51,46.18,47.78,48.22,48.64,48.97,48.78,49.15,49.39,49.43,49.7,50.79,51.44,52.23,52.23,52.72,52.99,53.07,53.4,53.95,54.06,54.41,54.84,55.03,55.23,55.24,55.7,56.04,57.42,58.23,59.24,59.89,59.37,59.72,59.5,58.72,58.51,58.63,57.81,58.05,59.3,59.79,59.97,61.16,61.98,62.51,63.05,63.42,63.3,63.41,64.57,64.98,65.68,66.37,67.17,67.52,67.24,67.97,68.51,68.35,67.47,67.33,67.68,68.33,68.54,68.53,68.63,68.73,68.83,69.22,69.88,70.23,70.93,71.99,72.71,73.1,74.41,74.65,75.07,75.49,76.1,76.57,77.17,78.17,79.01,79.19,79.92,80.43,81,81.06,81.39,82.32,83.06,83.95,84.87,85.2,85.25,86.06,86.81,87.05,87.2,87.41,86.39,86.33,86.95,87,86.33,87.75,87.61,88.19,89.6,89.59,90.57,91.37,91.95,93.09,93.87,94.72,95.71,96.2,96.9,97.31,98.13,98.72,99.73,100.29,101.26,102,102.17,103.67,103.81,105.23,106.76,107.6,108.98,110.29,111.6,112.3,114.35,114.97,116.36,116.96,117.73,118.4,118.31,118.69,119.76,122.07,122.03,122.35,123.88,125.72,126.08
"27","15","    Chain-type price index","B004RG",19.97,20.17,20.54,21.17,21.49,21.7,21.89,21.63,21.32,21.05,20.82,20.69,20.56,20.67,21.27,21.72,22.65,22.81,22.74,23.02,23.04,22.98,23.05,23.13,23,22.9,22.95,22.94,23.01,23.11,23.02,22.92,22.92,22.85,22.87,22.85,22.9,23.12,23.34,23.41,23.64,23.77,24.01,24.07,24.47,24.52,24.45,24.37,24.46,24.52,24.65,24.75,24.76,24.92,24.99,25.12,25.17,25.04,25.1,25.08,25.18,25.26,25.31,25.44,25.49,25.49,25.66,25.72,25.85,25.86,25.93,26.02,26.12,26.34,26.5,26.59,26.92,27.16,27.38,27.58,27.64,27.74,28.02,28.23,28.53,28.82,29.12,29.44,29.69,30.11,30.55,30.93,31.35,31.71,31.95,32.25,32.36,32.68,32.98,33.19,33.54,33.68,33.99,34.38,35.05,36.06,36.98,38.16,39.93,41.29,42.44,43.61,44.27,44.53,45.46,46.11,46.28,46.41,47.02,47.62,48.48,49.41,49.98,50.56,51.28,52.53,53.47,54.43,55.9,57.7,59.44,60.99,63.18,64.65,66,67.43,69.33,70.09,70.75,71.3,71.74,71.86,72.79,72.97,72.94,73.81,74.35,74.46,75.3,75.47,75.72,76.05,76.63,77.16,77.4,78.01,77.8,76.44,76.76,77.04,78.55,79.36,80.1,80.65,81,81.88,82.89,83.59,84.6,86.56,86.67,87.23,89.16,89.84,91.46,93.45,93.29,93.59,93.84,94.31,94.51,94.94,95.53,95.82,96.14,96.13,95.93,96.38,96.21,96.45,97.26,97.4,97.46,97.83,98.1,98.31,99.09,99.98,100.02,100.92,101.33,101.18,101.31,101.53,101.17,100.99,101.36,101.7,102.15,103.3,104.18,105.12,106.49,107.28,108.04,108.53,109,109.8,109.42,108.45,108.52,109.75,109.92,110.25,111.51,110.97
"28","16","    Implicit price deflator","A004RD",19.97,20.17,20.54,21.17,21.49,21.7,21.89,21.63,21.32,21.05,20.82,20.69,20.56,20.67,21.27,21.72,22.64,22.81,22.73,23.02,23.04,22.98,23.04,23.13,23,22.89,22.95,22.94,23.01,23.11,23.02,22.92,22.92,22.85,22.87,22.85,22.9,23.12,23.34,23.41,23.64,23.77,24.01,24.07,24.47,24.52,24.45,24.37,24.46,24.52,24.65,24.75,24.75,24.92,24.99,25.12,25.17,25.04,25.1,25.08,25.18,25.26,25.31,25.44,25.49,25.49,25.65,25.72,25.85,25.86,25.92,26.02,26.11,26.34,26.5,26.59,26.92,27.16,27.38,27.58,27.64,27.74,28.02,28.23,28.53,28.81,29.12,29.44,29.69,30.11,30.55,30.93,31.34,31.71,31.95,32.25,32.36,32.68,32.97,33.19,33.54,33.67,33.98,34.37,35.05,36.06,36.98,38.16,39.94,41.3,42.44,43.61,44.27,44.52,45.45,46.1,46.27,46.41,47.02,47.62,48.47,49.4,49.97,50.56,51.27,52.51,53.46,54.41,55.88,57.68,59.43,60.98,63.18,64.66,66,67.44,69.34,70.09,70.75,71.3,71.74,71.86,72.78,72.97,72.93,73.8,74.34,74.46,75.3,75.47,75.72,76.05,76.62,77.15,77.4,78.01,77.8,76.44,76.76,77.04,78.55,79.36,80.09,80.64,80.99,81.86,82.88,83.58,84.59,86.55,86.67,87.23,89.16,89.84,91.47,93.46,93.3,93.6,93.83,94.31,94.5,94.93,95.53,95.82,96.14,96.13,95.93,96.38,96.21,96.44,97.26,97.39,97.46,97.83,98.1,98.31,99.08,99.97,100.02,100.91,101.32,101.18,101.31,101.53,101.17,100.99,101.36,101.69,102.13,103.29,104.16,105.1,106.48,107.28,108.04,108.53,109,109.8,109.42,108.45,108.52,109.75,109.92,110.26,111.51,110.97
"29",NA,"  Services:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","17","    Current dollars","A005RT",1.62,1.65,1.69,1.72,1.77,1.81,1.87,1.9,1.91,1.93,1.94,1.96,2,2.07,2.12,2.17,2.23,2.26,2.3,2.34,2.39,2.45,2.51,2.58,2.64,2.7,2.76,2.78,2.83,2.89,2.95,3,3.06,3.1,3.14,3.23,3.29,3.34,3.41,3.48,3.53,3.57,3.63,3.7,3.74,3.82,3.9,3.95,4.03,4.12,4.21,4.31,4.38,4.45,4.48,4.56,4.61,4.71,4.76,4.86,4.93,5.03,5.09,5.17,5.22,5.29,5.42,5.52,5.63,5.73,5.85,5.96,6.04,6.15,6.27,6.41,6.52,6.65,6.77,6.93,7.05,7.18,7.34,7.46,7.64,7.86,8.05,8.25,8.43,8.64,8.83,9.07,9.28,9.45,9.69,9.91,10.13,10.37,10.62,10.89,11.19,11.4,11.66,12,12.22,12.53,12.82,13.09,13.37,13.79,14.14,14.56,14.99,15.42,15.8,16.3,16.79,17.14,17.68,18.32,18.84,19.34,20.02,20.57,21.28,22.04,22.6,23.14,23.83,24.48,25.12,25.99,26.79,27.33,28.37,29.44,29.99,30.92,31.77,32.55,33.24,33.92,34.84,36.03,36.97,38.07,39.02,40.07,40.83,41.73,42.69,43.7,44.98,45.99,47.19,48.33,49.07,49.86,50.77,51.87,53.16,54.23,55.32,56.56,57.89,59.1,60.6,61.8,62.91,63.8,64.79,66.26,67.17,69.04,70.54,71.27,72.12,73.39,74.32,75.47,77.42,78.74,79.6,81.4,82.29,83.47,84.93,86.18,87.23,88.57,89.92,91.04,92.38,94.1,95.38,96.49,97.95,99.36,100.7,102,103.97,105.65,107.33,109.07,110.84,112.69,114.43,115.51,117.32,119.18,121.21,122.84,125.27,127.16,129.2,131.27,133.13,134.39,135.07,136.95,138.83,140.78,142.63,144.46,145.87,147.46
"31","18","    Chain-type quantity index","B005RA",14.82,15.01,14.99,14.94,15.22,15.44,15.64,15.76,15.84,15.94,15.9,15.95,16.2,16.66,16.89,17.08,17.34,17.44,17.59,17.65,17.9,18.14,18.39,18.69,18.85,19.12,19.23,19.12,19.34,19.75,20.08,20.28,20.59,20.71,20.91,21.31,21.54,21.8,22.07,22.39,22.52,22.69,22.83,23.11,23.19,23.58,23.89,23.99,24.33,24.76,25.1,25.42,25.73,25.99,26,26.26,26.51,26.98,27.09,27.59,27.84,28.27,28.52,28.88,29.03,29.35,29.94,30.35,30.8,31.26,31.7,32.14,32.44,32.9,33.35,33.92,34.25,34.66,34.96,35.44,35.88,36.32,36.83,37.13,37.55,38.21,38.72,39.21,39.6,40.02,40.4,40.94,41.35,41.59,42.11,42.41,42.78,43.21,43.59,44.27,44.97,45.47,46.04,46.95,47.41,47.93,48.24,48.51,48.56,48.96,49.16,49.58,49.92,50.57,50.91,51.54,52.28,52.69,53.33,54.21,54.68,55,55.82,56.43,57.25,58.06,58.44,58.72,59.46,59.89,60.05,60.57,60.78,60.36,61.03,61.79,61.4,61.98,62.08,62.15,62.33,62.56,62.99,63.95,64.69,65.74,66.47,67.32,67.81,68.36,69.14,70.05,71.19,71.88,72.93,73.77,74.01,74.41,75.1,75.94,77.02,77.71,78.46,79.16,80.2,80.79,81.77,82.44,82.9,83.2,83.67,84.47,84.77,85.82,86.51,86.35,86.3,87.01,87.24,87.57,88.58,89.3,89.73,90.75,91,91.4,92.42,93.09,93.71,94.51,95.07,95.6,96.07,97.06,97.71,98.2,99.08,99.74,100.35,100.83,101.86,102.75,103.73,104.79,105.95,107.07,108.15,108.55,109.73,110.92,112.16,112.92,114.14,115.14,116.24,117.19,117.37,117.8,118.07,118.69,119.54,120.32,121.01,121.66,121.92,122.37
"32","19","    Chain-type price index","B005RG",10.93,11.02,11.3,11.54,11.6,11.74,11.93,12.04,12.06,12.1,12.17,12.28,12.37,12.4,12.56,12.71,12.87,12.98,13.08,13.27,13.36,13.49,13.65,13.79,14,14.15,14.36,14.53,14.63,14.65,14.7,14.79,14.88,14.95,15.04,15.15,15.26,15.33,15.44,15.54,15.67,15.75,15.88,16.03,16.13,16.2,16.33,16.47,16.57,16.65,16.78,16.94,17.02,17.13,17.25,17.36,17.41,17.48,17.55,17.61,17.71,17.79,17.86,17.91,17.99,18.03,18.09,18.18,18.26,18.35,18.44,18.54,18.62,18.7,18.8,18.91,19.03,19.2,19.37,19.56,19.66,19.78,19.92,20.1,20.36,20.58,20.8,21.04,21.3,21.59,21.87,22.15,22.44,22.72,23.01,23.38,23.68,24.01,24.36,24.6,24.89,25.09,25.33,25.56,25.78,26.16,26.57,26.98,27.53,28.17,28.77,29.38,30.04,30.5,31.05,31.62,32.12,32.53,33.15,33.8,34.46,35.17,35.87,36.47,37.19,37.96,38.68,39.42,40.09,40.89,41.85,42.92,44.09,45.3,46.5,47.65,48.85,49.9,51.19,52.38,53.34,54.23,55.32,56.36,57.16,57.92,58.71,59.54,60.22,61.05,61.75,62.39,63.2,64,64.72,65.52,66.31,67.01,67.61,68.31,69.03,69.8,70.52,71.46,72.19,73.16,74.12,74.98,75.9,76.69,77.45,78.45,79.24,80.46,81.55,82.54,83.57,84.35,85.19,86.19,87.41,88.18,88.72,89.71,90.44,91.34,91.9,92.58,93.09,93.73,94.59,95.24,96.16,96.95,97.63,98.27,98.87,99.62,100.35,101.17,102.08,102.83,103.48,104.09,104.62,105.26,105.82,106.41,106.92,107.45,108.08,108.79,109.76,110.45,111.16,112.03,113.43,114.08,114.4,115.39,116.15,117,117.88,118.74,119.64,120.51
"33","20","    Implicit price deflator","A005RD",10.93,11.02,11.3,11.53,11.6,11.73,11.93,12.04,12.06,12.1,12.17,12.28,12.36,12.4,12.56,12.71,12.87,12.98,13.08,13.27,13.36,13.49,13.65,13.79,14,14.15,14.36,14.53,14.63,14.65,14.7,14.79,14.88,14.95,15.04,15.15,15.26,15.32,15.44,15.54,15.67,15.75,15.88,16.03,16.12,16.2,16.33,16.46,16.57,16.65,16.78,16.94,17.02,17.12,17.25,17.36,17.4,17.47,17.55,17.61,17.71,17.79,17.86,17.91,17.99,18.03,18.09,18.18,18.26,18.35,18.44,18.53,18.62,18.7,18.8,18.91,19.03,19.2,19.37,19.56,19.65,19.78,19.92,20.1,20.35,20.58,20.79,21.03,21.3,21.58,21.86,22.15,22.43,22.72,23.01,23.37,23.68,24.01,24.36,24.6,24.88,25.08,25.32,25.56,25.77,26.15,26.57,26.98,27.53,28.17,28.77,29.37,30.03,30.49,31.04,31.62,32.11,32.52,33.15,33.79,34.45,35.16,35.86,36.46,37.18,37.95,38.67,39.41,40.08,40.88,41.84,42.91,44.08,45.29,46.49,47.64,48.85,49.89,51.18,52.38,53.33,54.22,55.31,56.35,57.15,57.91,58.7,59.52,60.21,61.04,61.74,62.38,63.19,63.98,64.71,65.51,66.3,67.01,67.61,68.3,69.02,69.79,70.51,71.45,72.18,73.15,74.11,74.97,75.9,76.69,77.44,78.44,79.24,80.45,81.54,82.54,83.56,84.35,85.18,86.18,87.4,88.17,88.71,89.7,90.43,91.33,91.9,92.58,93.08,93.72,94.58,95.23,96.15,96.95,97.62,98.26,98.86,99.61,100.34,101.16,102.07,102.83,103.47,104.08,104.61,105.25,105.81,106.41,106.92,107.44,108.07,108.78,109.75,110.44,111.15,112.02,113.42,114.08,114.4,115.38,116.14,117,117.88,118.74,119.64,120.5
"34",NA,"Gross private domestic investment:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","21","  Current dollars","A006RT",2.71,2.6,2.63,3.3,3.62,3.87,4.04,3.95,3.29,2.74,3,2.83,3.57,4.01,4.52,5.3,4.99,5.22,4.78,4.37,4.44,4.01,4.33,4.6,4.66,4.68,4.62,4.21,4.15,4.12,4.4,4.65,5.17,5.48,5.63,5.94,5.87,5.75,5.83,5.73,5.77,5.79,5.89,5.22,4.87,4.72,5.27,5.89,6.13,6.62,6.15,6.38,7.17,6.41,6.33,5.48,5.66,6.1,6.62,6.77,7.19,7.07,7.18,6.92,7.28,7.42,7.64,7.84,8.1,8.09,8.24,8.41,9.31,9.32,9.63,9.8,10.61,10.52,10.47,10.67,10.4,9.95,10.34,10.69,11.04,11.54,11.24,11.62,12.53,12.53,12.9,12.4,12.12,12.39,12.56,11.99,13.79,14.39,14.75,14.41,15.54,16.62,17.09,17.58,18.72,19.8,19.45,20.73,19.64,20.3,19.75,20.59,17.6,17.44,19.13,19.93,22.11,23.46,23.86,24.54,26.29,28.58,30.43,31.01,31.88,34.55,36.12,37.8,38.5,39.5,39.9,40.02,40.58,37.68,35.54,40.01,45.26,44.21,47.54,46.73,42.26,42.59,42.36,38.9,39.89,43.75,46.51,51.46,57.08,59.22,60.61,59.84,58.03,59.09,58.56,61.34,61.48,60.69,59.04,59.31,61.37,61.67,61.58,66.92,64.19,65.92,66.44,67.75,70.91,70.44,69.87,69.74,70.95,71.06,69.96,65.41,63.29,62.81,64.5,66.96,65.25,69.78,70.71,73.21,75.48,75.94,75.89,80.13,83.85,89.03,88.04,92.23,93.57,91.18,90.41,92.99,94.34,99.1,103.21,103.35,106.56,112.47,113.12,115.43,123.01,120.58,123.82,127.89,130.2,128.58,131.8,136.26,137.72,143.75,142.14,141.42,134.48,128.52,126.73,120.77,125.49,127.78,128.54,131.02,129.65,129.56
"36","22","  Chain-type quantity index","B006RA",13.28,12.82,12.76,15.41,16.88,17.74,17.79,16.9,14.35,12.38,13.47,12.68,15.94,17.74,19.29,21.88,19.55,20.05,18.52,16.95,17.35,15.91,16.72,17.97,18.31,18.39,17.93,16.5,16.37,16.33,17.17,17.97,19.89,21.15,21.44,21.89,21.15,20.93,20.69,20.47,20.12,20.11,20.57,18.84,17.44,17.01,18.38,20.09,21.17,23.03,21.45,22.18,24.57,22.05,21.92,19.27,19.72,21.19,22.97,23.35,24.73,24.51,24.95,24.1,25.38,25.81,26.68,26.97,28.08,27.96,28.63,28.83,31.78,31.75,32.86,33,35.74,35.13,34.82,35.07,34.19,32.59,33.41,34.08,34.91,36.36,35.19,35.59,37.89,37.59,38.4,36.42,35.24,35.36,35.93,33.88,38.29,39.45,39.95,38.67,41.33,43.85,44.59,45.02,47.89,49.75,48.08,49.51,46.61,46.46,43.73,44.02,36.27,35.12,38.21,39.17,43.06,45.05,45.15,45.54,47.92,51.1,53.97,52.82,53.69,57.11,58.65,60.06,60.03,60,58.91,57.77,57.27,52.09,48.27,53.29,58.44,55.8,59.06,57.04,51.08,50.82,50.17,45.96,47.54,52.36,55.64,61.33,68,70.27,71.68,70.56,68.31,69.43,68.73,71.44,71.31,69.87,67.44,67.45,69.47,69.52,69.25,74.78,71.19,72.62,73.03,73.77,76.66,75.73,74.78,74.26,75.16,75.08,73.44,68.37,65.59,65.08,66.77,69.55,67.9,72.57,73.4,75.77,77.64,77.82,77.58,81.73,85.08,90.01,88.66,92.58,93.54,90.82,90.05,92.74,94.33,99.25,103.12,103.3,106.66,112.71,113.35,115.76,124.19,122.06,125.51,129.73,132,130.4,133.86,138.23,139.04,144.7,142.46,141.25,133.72,127.43,125.75,119.93,125.05,127.46,128.59,130.56,128.78,129.07
"37","23","  Chain-type price index","B006RG",19.49,20.29,21,21.32,21.57,22.01,22.62,22.73,22.69,22.67,22.43,22.35,22.32,22.65,23.27,23.75,24.59,24.95,25.05,25.27,25.39,25.48,25.52,25.41,25.34,25.45,25.63,25.56,25.59,25.7,25.67,25.68,25.66,25.83,26.14,26.49,27.05,27.33,27.79,28,28.26,28.38,28.57,28.68,28.43,28.57,28.6,28.65,28.65,28.76,28.83,28.88,28.92,28.96,28.95,28.86,28.85,28.87,28.82,28.83,28.87,28.89,28.88,28.84,28.86,28.8,28.7,28.78,28.68,28.91,28.95,29.25,29.27,29.32,29.37,29.71,29.57,30.05,30.06,30.42,30.56,30.68,30.86,31.22,31.51,31.81,31.98,32.66,33.01,33.35,33.62,34.06,34.32,35.07,34.96,35.38,36,36.54,36.95,37.27,37.72,37.97,38.36,38.91,39.26,39.96,40.78,41.25,42.04,43.35,45.1,46.83,48.51,49.62,50.21,50.87,51.33,52.22,52.96,53.76,54.9,55.94,57.05,58.17,59.29,60.55,61.74,63.01,64.3,65.95,67.59,68.99,70.63,72.33,73.78,75.3,77.5,79.19,80.46,81.92,82.84,83.9,84.42,84.48,84.07,83.68,83.51,83.65,83.89,84.35,84.61,84.76,84.96,85.03,85.35,85.86,86.21,86.79,87.56,88.19,88.49,88.67,88.82,89.47,90.15,90.72,91.01,91.96,92.48,93.04,93.44,93.94,94.46,94.73,95.34,95.78,96.59,96.5,96.54,96.23,96.11,96.18,96.36,96.64,97.25,97.63,97.88,98.03,98.59,98.94,99.3,99.59,100.04,100.4,100.42,100.31,100.03,99.84,100.11,100.02,99.94,99.78,99.77,99.71,99.07,98.79,98.64,98.57,98.63,98.59,98.46,98.58,99.09,99.38,99.81,100.11,100.62,100.88,100.79,100.73,100.35,100.24,99.96,100.37,100.69,100.38
"38","24","  Implicit price deflator","A006RD",20.43,20.31,20.64,21.42,21.44,21.82,22.72,23.37,22.96,22.12,22.3,22.31,22.4,22.62,23.42,24.24,25.54,26.02,25.8,25.81,25.6,25.23,25.92,25.6,25.45,25.45,25.75,25.52,25.34,25.24,25.64,25.87,25.99,25.91,26.26,27.15,27.75,27.47,28.19,28,28.71,28.78,28.66,27.72,27.93,27.78,28.66,29.33,28.96,28.72,28.68,28.77,29.18,29.08,28.89,28.45,28.71,28.78,28.84,29.01,29.08,28.86,28.8,28.71,28.69,28.73,28.65,29.06,28.85,28.95,28.8,29.17,29.29,29.36,29.3,29.71,29.68,29.94,30.08,30.43,30.42,30.55,30.96,31.37,31.62,31.74,31.95,32.65,33.07,33.32,33.6,34.05,34.39,35.03,34.95,35.38,36,36.49,36.93,37.27,37.6,37.9,38.32,39.05,39.08,39.8,40.46,41.86,42.14,43.69,45.17,46.78,48.52,49.67,50.06,50.87,51.34,52.08,52.86,53.89,54.86,55.92,56.39,58.71,59.38,60.49,61.58,62.93,64.14,65.83,67.73,69.28,70.86,72.33,73.63,75.09,77.44,79.24,80.49,81.92,82.74,83.79,84.42,84.66,83.91,83.56,83.6,83.91,83.94,84.29,84.56,84.8,84.95,85.1,85.21,85.87,86.21,86.86,87.54,87.93,88.33,88.71,88.94,89.49,90.18,90.78,90.98,91.85,92.5,93.02,93.44,93.91,94.4,94.64,95.27,95.67,96.49,96.51,96.6,96.29,96.1,96.16,96.34,96.62,97.23,97.58,97.81,98.05,98.55,98.92,99.29,99.62,100.04,100.4,100.4,100.28,100.01,99.85,100.09,100.05,99.91,99.79,99.8,99.72,99.05,98.79,98.65,98.58,98.64,98.6,98.47,98.57,99.05,99.34,99.78,100.13,100.56,100.86,100.78,100.7,100.35,100.25,99.96,100.35,100.67,100.39
"39",NA,"  Fixed investment:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","25","    Current dollars","A007RT",2.74,2.77,2.94,3.26,3.41,3.48,3.55,3.55,3.34,3.23,3.19,3.29,3.49,3.88,4.29,4.28,4.26,4.13,4.09,4.09,4.16,4.24,3.98,4.28,4.45,4.5,4.54,4.48,4.41,4.5,4.68,4.79,4.98,5.23,5.41,5.49,5.49,5.59,5.68,5.69,5.74,5.71,5.81,5.72,5.32,5.19,5.27,5.61,5.96,6.18,6.27,6.2,6.42,6.3,6.13,6.1,6.01,6.1,6.24,6.45,6.59,6.8,6.85,6.81,6.89,7.2,7.36,7.61,7.88,7.93,8.06,8.2,8.59,8.84,9.1,9.42,9.72,9.76,9.76,9.57,9.39,9.68,9.83,10.26,10.62,10.66,10.89,11.41,11.89,12.07,12.38,12.23,12.27,12.27,12.45,12.61,13.12,13.85,14.28,14.79,15.66,16.04,16.38,17.4,18.31,18.79,19.13,19.18,19.09,19.37,19.78,19.41,18.86,19.03,19.72,20.39,21.44,22.19,22.74,24.28,25.72,27.68,28.64,29.79,30.57,33.4,34.95,36.38,37.49,38.22,39.89,40.3,40.77,37.97,39.21,41.75,43.18,44.34,45.09,45.84,45.08,43.98,42.92,43.15,43.77,45.47,48.01,50.76,52.47,54.97,56.23,57.36,58.13,58.76,58.67,60.13,60.5,60.9,61.07,61.83,60.58,61.83,63.02,63.37,64.38,65.93,66.59,67.86,68.69,69.22,70.78,70.1,71.55,70.03,69.89,67.96,66.11,65.83,66.01,66.06,66.95,69.71,70.88,73.36,74.37,75.81,77.19,80.71,82.31,84.66,85.92,88.36,90.72,90.48,91.54,93.63,96.12,99.1,101.64,103.15,105.18,108.02,111.8,112.92,117.26,120.19,121.15,124.83,127.26,129.47,131.2,132.3,137.26,139.94,140.61,140.22,140.05,136.41,134.86,131.71,131.06,130.66,130.27,132.24,132.82,134.59
