"","Table 7#11# Chain-Type Quantity and Price Indexes for Government","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229"
"11","2","Federal","B823RA",32.23,32.22,32.09,30.97,32.05,33.96,34.61,36.57,37.13,38.52,38.11,36.18,34.43,35.13,33.89,37.91,45.13,54.83,64.22,69.44,73.22,76.08,78.11,79.25,82.18,84.89,82.48,81.25,76.74,72.84,69.13,68.3,66.56,64.9,65.69,63.24,62.77,64.38,63.24,65.55,66.61,65.65,65.95,66.87,64.45,66.56,66.21,67.7,69.2,71.27,71.99,71.19,67.97,68.32,69.11,69.83,69.5,71.06,71.83,73.46,76.07,77.19,78.13,78.13,76.3,76.55,78.91,76.87,76.69,77.05,75.2,74.48,73.79,75.01,76.57,78.64,80.5,84.55,85.95,87.38,93.35,92.15,92.86,92.98,94.58,93.92,93.25,93.03,91.85,91.07,90.59,88.78,86.64,84.51,83.19,82.51,79.96,78.75,77.9,76.34,78.06,78.57,75.23,74.27,74.79,74.08,70.77,71.45,72.36,72.61,72.13,72.76,72.41,72.71,72.24,72.5,71.72,71.66,71.45,71.67,71.98,73.18,73.43,72.98,73.25,74.92,75.21,75.9,75.96,76.78,76.72,77.06,79.27,81.24,80.29,80.45,82.12,84.61,84.55,85.05,85.19,86.02,87.42,89.91,90.76,92.59,95.21,91.89,92.7,95.73,95.41,98.17,99.49,101.65,105.02,105.02,104.39,107.5,111.77,110.12,110.72,112.36,112.53,114.18,110.92,109.71,108.79,112.22,109.67,112.13,113.19,112.54,114.34,114.5,113.45,114.34,115.24,115.39,113.39,111.17,111.32,111.2,112.55,112.7,109.03,107.64,107.02,106.72,103.63,102.56,105.94,102.72,102.35,102.39,101.66,97.28,99.53,101.61,99.6,99.26,98.15,100.6,100.34,99.39,96.89,99.72,98.74,100.02,99.17,99.81,101.6,104.03,100.41,104.21,102.27,102.78,105.15,106.7,107.01,110.46,112.46,114.5,115.71,118.79,118.99,125.95
"12","3","  National defense","B824RA",39.4,36.81,38.58,38.82,38.72,38.37,37.74,39.59,40.52,41.2,41.1,38.5,36.9,37.12,39.55,45.01,56.77,70.37,84.72,92.25,96.51,101.64,104.08,105.76,108.83,109.87,108.29,106.16,98.78,94.91,89.94,86.81,86.22,82.88,83.9,81.05,80.75,82.84,82.67,85.4,85.72,86.51,87.29,86.22,85.26,86.14,85.97,86.61,87.99,87.76,88.87,88.12,86.45,86.11,86.82,86.57,88.51,89.31,90.07,92.18,95.49,95.71,95.21,94.75,92.82,93.27,93.81,91.62,90.59,90.15,87.96,86.72,85.21,86.38,87.18,90.36,93.71,98.56,101.85,105.48,111.77,112.06,113.71,113,115.77,115.77,113.75,113.29,111.11,109.7,108.76,107.4,104.01,100.1,98.51,97.49,94.02,90.51,88.02,86.85,87.86,88.14,83.42,82.13,82.64,81.82,76.79,78.21,78.08,79.79,76.81,76.94,77.14,77.29,76.73,76.69,75.4,75.48,75.36,75.14,75.61,76.79,76.56,74.72,75.16,76.69,76.92,77.27,77.56,78.89,78.73,79.57,81.52,81.64,81.97,82.83,84.38,86.98,87.75,88.82,89.93,92.58,94.38,96.93,97.22,99.32,100.05,102.57,102.85,104.12,103.75,107.58,108.82,111.62,116.11,116.74,115.79,119.85,124.77,121.35,122.96,125.99,127.85,127.62,126.02,124.81,123.46,126.3,121.85,124.43,125.91,124.54,124.92,124.62,122.49,124.57,125.83,125.25,122.13,117.97,116.22,116.22,117.9,116.98,112.23,110.64,109.88,109.54,104.57,104.9,108.63,103.02,102.76,102.8,101.77,98.14,99.82,101.68,99.55,98.95,95.7,98.12,98.15,97.61,92.99,95.8,97.05,96.85,95.57,95.51,98.7,101.07,95.61,99,97.46,98.58,100.56,101.23,102.38,105.87,108.82,110.87,112.74,115.74,114.76,126.12
"13","4","    Consumption expenditures","B997RA",50.33,46.96,47.66,47.58,46.31,45.48,44.97,46.62,46.64,46.42,46.03,43.54,43.59,43.88,45.93,52.27,62.81,74.54,86.66,89.83,96.24,102.41,104.6,106.26,107.53,106.84,106.14,107.23,96.76,94.34,92.14,88.98,89.31,83.51,87.89,86.16,84.83,88.07,85.27,89.63,91.35,93.68,93.68,92.76,91.37,92.35,89.67,89.9,87.3,88.65,89.42,90.15,88.74,89.93,89.31,89.74,89.06,91.07,90.9,93.52,96.79,98.32,96.9,97.71,97.88,99.4,98.24,98.15,96.83,97.13,94.64,93.1,92.57,95.34,95.6,100.49,101.44,108.56,110.86,114.11,121.17,122.89,122.95,123.42,128.74,129.45,127.04,127.38,122.96,124.64,122,122.84,117.11,112.45,111.24,109.4,107.98,104.54,101.71,100.62,100.06,99.82,94.65,93.51,92.91,92.18,87.81,88.2,88.67,89.38,85.97,85.56,85.53,85.59,84.41,84.22,82.88,84.28,82.74,82.51,82.71,84.09,84.61,83.1,83.98,84.74,85.01,83.99,85.05,86.57,83.96,85.69,87.35,88.25,89.28,89.25,91.49,93.27,93.86,94.79,96.78,97.84,100.89,102.46,102.88,104.26,104.35,106.07,106.1,107.32,107.45,109.57,111.41,112.15,115.69,116.77,116.45,119.6,121.53,118.72,121.16,123.06,124.12,125.31,125.43,123.9,122.47,125.79,120.66,124.01,123.95,124.07,123.91,122.7,119.99,122.51,125.7,124.08,121.12,117.85,115.44,114.96,116.74,116.65,112.49,110.97,111.28,109.92,105.85,105.56,108.54,104.01,103.25,103.25,103.13,98.72,99.39,100.93,99.4,100.28,97.79,100.08,98.85,98.14,93.9,96.79,96.49,97.29,96.8,95.16,97.85,100.87,94.85,98.88,96.99,98.34,100.7,100.82,101.61,105.55,108.05,110.42,111.8,115.56,114.22,125.98
"14","5","      Durable goods \2\","B998RA",5.57,5.82,11.05,11.05,17.41,17.05,19.19,21.75,21.11,24.65,26.69,22.74,35.99,36.84,42.15,48.91,53.63,88.6,107.41,132.81,154.65,174.41,183.1,195.7,208.25,221.16,187.63,175.71,152.33,154.97,132.62,132.99,123.99,129.02,117.97,105.09,106.88,120.01,109.12,114.82,114.74,122.48,117.51,115.4,120.58,128.05,117.98,117.65,99.04,102.18,101.11,99.1,83.55,82.7,80.47,81.5,64.77,69.07,66.97,68.9,82.71,87.81,80.83,79.86,86.05,86.53,76.98,78.78,70.16,73.95,63.58,65.69,77.42,92.31,70.14,75.78,81.76,121.23,104.42,133.46,119.27,113.58,110.3,113.24,134.1,135.61,134.1,136.64,118.73,119.32,108.47,113.25,107.3,105.61,105.01,101.53,84.07,77.47,79.07,68.66,82.39,83.55,76.33,75.66,75.88,69.7,59.3,70.68,56.76,64.11,46.69,58.69,74.93,74.98,69.67,67.71,58.52,68.44,56.84,65.5,71.23,91.45,70.63,80.7,89,94.18,88.19,88.17,89.06,98.29,90.22,102.99,97.43,99.32,102.44,88.73,103.07,117.17,105.21,116.17,110.05,119.76,126.43,128.78,140.96,147.98,146.99,147.61,153.15,155.54,135.77,149.35,153.21,154.53,169.45,165.48,154.14,173.44,184.05,171.41,168.42,176.35,190.78,185.64,181.74,176.81,174.28,189.18,170.29,177.58,172.41,160.1,166.81,162.91,155.47,152.27,160.95,161.79,156.62,148.62,143.9,138.56,143.79,143.14,128.91,150.25,125.96,120.25,111.42,109.21,120.36,106.15,104.02,94.27,113.01,90.44,93.46,106.45,105.51,94.58,97.56,106.6,98.37,101.55,96.44,99.06,107.82,103.83,96.28,110.08,118.56,107.85,108.69,108.74,108.75,105.99,107.25,115.9,125.48,115.45,118.29,118.91,125.79,120.4,117.54,137.74
"15","6","      Nondurable goods","B725RA",35.62,28.19,26.26,25.08,60.45,58.47,46.61,63.4,87.4,62.74,63.72,57.58,56.62,61.09,80.52,87.89,192.23,190.11,188.15,186.24,226.52,246.94,257.17,263.43,402.55,377.13,405.76,415.73,254.81,254.32,255.16,284.87,127.42,126.81,115.06,107.91,115.56,114.94,123,116.3,126.67,131.55,137.18,175.41,154.09,147.15,148.99,129.54,163.52,168.57,157.99,159.52,184.08,186.94,159.64,166.85,200.98,209.36,198.45,215.07,240.23,253.95,259.71,263.93,247.35,242.13,233.47,242.68,262.68,259.57,252.46,254.55,218.66,187.95,262.87,309.46,289.1,365.1,337.32,303.02,476.31,501.57,521.61,506.12,583.92,606.34,547.74,557.54,526.43,530.21,504.16,474.98,394.63,329.39,324.47,366.97,325.34,299.07,269.83,260.26,317.85,312.6,273.15,257.65,248.82,243.33,180.44,193.98,190.32,212.22,176.12,167.73,168.25,169.24,122.07,152.23,128.64,121.82,131.1,119.8,116.69,104.42,127.21,119.15,110.95,114.66,131.37,112.95,114.18,120.57,127.15,125.8,140.2,124.75,135.33,136.4,137.88,145.72,140.05,147.82,138.63,142.06,141.2,143.81,131.86,158.96,153.64,139.93,125.58,140.24,140.5,147.03,154.3,135.47,135.75,121.5,158.46,185.04,166.67,180.45,158.62,161.86,173.39,185.6,169.47,171.78,149.23,162.86,163.17,162.57,161.82,144.17,137.64,142.4,122.05,158.49,163.25,135.81,135.86,131.96,126.31,145.63,136.11,120.89,117.02,124.28,132.42,110.16,103.57,105.21,116.66,116.47,88.35,94.48,95.76,79.15,93.57,106.91,107.87,91.65,100.25,95.9,106.27,99.48,98.17,98.55,114.64,104.58,99.28,112.06,139.26,112.52,131.17,130.28,117.15,109.75,112.62,128.04,127.68,147.67,149.88,152.03,151.3,140.58,139.6,143.81
"16","7","      Services","B489RA",56.63,52.95,53.26,53.25,49.58,48.74,48.37,49.29,48.49,48.71,47.97,45.78,44.19,44.26,45.22,51.46,59.28,68.44,80.27,80.68,83.69,87.42,88.39,88.35,83.62,81.82,84.76,87.38,83.82,80.64,81.14,76.25,83.82,76.28,83.38,83.38,81.29,83.33,81.24,85.87,87.51,89,89.5,87.28,85.71,86.08,84.26,85.24,83.66,84.63,86.07,87.16,86.86,88.3,88.86,88.96,89.34,90.82,91.3,93.56,94.6,95.21,94.33,95.28,95.16,97.04,97.33,96.67,95.67,95.6,94.3,92.16,91.07,93.24,94.23,97.79,98.71,99.64,105.24,106.37,111.24,113.22,113.12,113.74,115.12,115.12,114.14,113.96,111.91,113.66,112.62,113.76,109.99,106.53,105.35,102.65,104.04,101.54,98.85,98.97,95.67,95.38,91.21,90.35,89.87,89.77,87.45,86.5,88.4,87.89,86.81,85.55,83.98,83.98,84.76,83.67,83.81,84.74,83.74,83.08,82.91,83.09,84.72,82.41,82.94,83.21,83.48,82.97,84.07,84.7,82.22,83.05,84.76,86.44,86.74,87.91,89.11,89.45,91.57,91.21,94.55,94.7,97.63,99.09,98.96,98.64,99.07,101.58,101.67,102.26,104.27,105.15,106.61,108.03,110.66,112.81,112.18,113.13,114.84,112.49,116.13,117.45,116.99,118.42,119.39,118.03,117.35,119.34,115.22,118.37,118.78,120.54,120.01,118.85,117.16,118.94,121.66,120.69,117.84,114.97,112.83,112.17,113.99,114.4,111.06,107.39,109.51,109.08,105.47,105.29,107.38,103.51,103.6,104.21,102.55,99.9,100.01,100.34,98.69,100.96,97.74,99.7,98.69,97.85,93.59,96.56,95.22,96.6,96.72,93.65,95.34,100.09,92.93,97.35,95.64,97.52,99.93,99.05,99.27,103.74,106.22,108.71,109.77,114.49,113.24,124.65
"17","8","        Compensation of general government employees, except own-account investment \3\","B395RA",82.94,74.05,75.78,83.11,75.41,73.44,77.18,80.7,82.49,81.97,81.08,78.64,76.08,78.49,83.47,104.08,121.22,143.49,162.27,165.65,169.61,172.3,171.84,167.86,168.76,168.17,167.47,162.99,159.2,156.55,156.26,153.99,152,148.28,147.41,146.83,145.41,143.86,144.84,144.82,143.9,143.73,144.07,138.72,134.11,133.32,134.86,134.33,131.54,130.73,130.39,130.39,129.53,131.7,130.68,130.71,130.54,130.92,132.89,138.86,140.52,140.22,138.72,136.54,135.72,136.61,137.47,136.71,135.76,136.41,137.41,136.9,135.22,135.27,136.51,140.01,144.13,147.65,152.83,157.85,164.4,163.51,164.75,164.57,165.28,167.57,167.87,165.1,165.32,166.82,168.01,166.49,158.77,155.63,153.32,150.56,146.83,143.87,141.43,139.1,134.04,130.84,131.01,131.41,127.81,125.31,123.54,123.34,123.44,123.19,122.54,123.19,122.48,121.42,120.98,120.38,119.84,119.08,118.44,118.14,117.75,117.65,117.97,117.96,118.4,118.59,118.98,118.49,117.9,117.43,117.54,117.53,117.35,117.86,118.77,119.27,120.61,121.41,122.59,123.18,123.68,124.7,125.02,125.41,126.42,126.44,126.8,126.73,127.49,128.14,128.62,128.99,129.78,130.45,131.32,131.07,131.19,130.93,131.31,131.51,131.35,132.09,133.27,133.01,131.77,130.83,130.5,130.19,130.01,130.6,131.3,130.99,130.13,129.72,129.55,130.29,133.49,131.21,128.18,125.01,123.51,122.62,121.31,120,118.98,117.17,116,113.69,112.46,111.35,110.08,107.94,106.59,105.4,104.11,101.57,100.84,100.69,100.05,98.42,97.51,96.55,96.35,95.09,94.42,93.43,93.42,92.22,91.49,90.86,91.19,90,90.23,90.74,90.73,90.49,91.23,91.06,90.94,91.13,91.99,93.03,93.44,92.44,94.28,96.6
"18","9","        Consumption of general government fixed capital \4\","B432RA",83.06,78.13,73.66,69.55,66.25,62.9,59.83,56.98,54.83,52.62,50.64,48.48,46.51,45.17,44.03,43.26,42.73,42.88,43.46,44.51,46.13,47.5,48.96,50.6,52.04,53.5,54.55,55.71,56.9,57.55,58.11,58.47,58.59,58.8,58.97,58.83,59.03,59.08,59.29,59.2,59.3,59.28,59.36,59.47,59.27,59.4,59.39,59.62,60.02,60.52,60.94,61.54,62,62.32,62.79,63.12,63.4,63.77,64.15,64.6,65.37,65.76,66.3,66.77,67.17,67.5,67.77,68.01,68.19,68.2,68.16,68.19,68.14,67.99,68.04,68.06,67.96,68.16,68.42,68.75,69.26,69.8,70.21,70.68,71.15,71.4,71.64,71.7,71.93,71.85,71.74,71.56,71.55,71.11,70.71,70.41,69.76,69.07,68.4,67.39,66.91,66.28,65.63,64.98,64.29,63.77,63.18,62.6,61.92,61.46,60.87,60.77,60.36,60.16,59.9,59.75,59.72,59.58,59.43,59.28,59.03,58.91,58.89,58.65,58.58,58.5,58.71,58.56,58.64,58.75,58.83,58.86,59.14,59.38,59.51,59.83,60.21,60.47,60.94,61.2,61.67,62.11,62.62,63.12,63.76,64.52,65.25,66.03,67.04,67.89,68.91,70.08,71.4,72.76,74.26,75.7,77.18,78.62,80.19,81.73,83.32,84.77,86.1,87.32,88.46,89.56,90.58,91.57,92.49,93.33,94.15,95.04,95.95,96.8,97.59,98.33,98.92,99.51,100.1,100.5,100.91,101.17,101.43,101.64,101.8,101.81,101.86,101.79,101.7,101.49,101.35,101.19,100.9,100.69,100.5,100.36,100.27,100.04,99.93,99.76,99.69,99.6,99.47,99.36,99.16,99.07,99.05,99.04,99.05,99.08,99.13,99.18,99.23,99.24,99.21,99.16,99.09,99,99,99.01,99.06,99.22,99.42,99.7,100.13,100.58
"19","10","        Other services","B726RA",1.77,4.12,7.03,5.72,5.15,7.14,6.41,8.35,7.32,9.69,10.19,8.81,8.56,8.24,8.1,9.18,14.52,19.22,29.71,28.48,30.26,34.74,35.6,36.33,26.5,22.42,27.31,33.45,28.42,23.52,24.21,15.88,31,19.07,32.34,32.74,29.57,34.17,29.48,38.5,42.03,44.94,45.66,44.35,44.16,45.27,40.8,42.9,41.34,43.77,47.3,49.48,48.95,50.45,52.29,52.2,52.99,56.03,55.22,55.47,55.95,57.33,55.87,59.54,59.58,63.27,63,61.74,59.87,59.08,54.92,49.86,48.61,54.3,55.65,61.55,60.3,59.21,68.74,66.82,72.79,78.04,76.36,77.65,80.12,77.83,74.84,76.91,71.19,74.35,70.76,75.3,73.02,67.17,66.72,62.42,70.95,67.7,63.4,67.18,63.93,67.48,55.48,53,56.51,59.71,55.35,53.22,59.52,58.69,56.79,52.33,48.87,50.33,53.39,50.99,52.11,55.98,53.86,52.4,52.58,53.35,57.88,51.14,52.28,52.93,53.07,52.3,56.21,58.55,50.98,53.42,58.48,62.65,62.33,64.95,66.59,66.38,70.9,68.8,78.04,76.78,84.98,88.55,86.25,84.54,84.75,92.01,90.35,90.59,95.64,96.95,99.46,102.02,108.18,114.48,110.86,113.16,116.93,107.49,118.49,120.56,116.17,120.27,124.41,120.42,117.82,124.11,109.8,118.84,118.44,124.05,122.86,118.92,112.9,117.08,120.77,120.59,115.24,110.21,104.96,103.94,112.17,115.49,105.59,95.9,105.05,107.39,97.01,98.37,107.82,98.09,100.84,105.08,101.58,96.68,98.4,99.97,95.36,106.27,96.54,105.24,102.09,101.41,87.75,99.99,95.31,102.22,103.94,94.19,99.56,118.4,92.5,107.41,101.34,108.53,115.79,113.05,114.02,129.5,136.73,143.65,146.55,165.1,156.8,193.39
"20","11","    Gross investment","B788RA",5.03,4.96,9.74,10.85,13.98,14.98,14.08,16.21,19.48,22.57,23.33,20.73,14.8,14.81,18,20.48,33.91,50.63,68.9,86.73,84.86,86.62,89.15,90.56,98.02,103.34,99.73,89.54,91.26,84.03,72.42,69.75,66.79,70.52,62.29,56.79,59.35,58.17,64.93,63.07,59.7,56.37,59.03,57.72,57.97,58.46,65.03,66.65,78.08,73.75,75.59,71.13,68.99,64.73,68.78,66.78,75.38,72.85,75.96,76.45,79.46,76.16,78.16,74.44,67.21,64.79,69.7,62.21,62.1,59.69,58.6,58.38,54.34,50.88,53.1,50.99,60.84,58.63,64.35,68.65,72.04,68.17,74.27,70.22,65.21,63.14,62.49,59.7,64.34,54.06,58.21,50.4,54.35,53.09,50.48,52.04,42.67,39.24,38.04,36.71,42.6,44.49,41.49,39.8,43.92,42.87,35.96,40.75,38.58,43.54,42.14,44.19,45.14,45.67,47.32,47.83,46.77,42.14,47.05,46.85,48.29,48.69,45.85,42.9,41.8,45.98,46.02,51.19,48.69,49.34,58.01,55.58,58.66,55.84,53.55,57.8,56.63,62.37,63.83,65.47,63.16,72,68.93,75.32,75.04,79.98,83.21,88.93,90.29,91.76,89.29,100.3,98.96,110.56,119.26,117.91,114.02,122.15,140.75,134.44,132.24,140.75,146.56,139.4,129.29,129.7,128.74,129.25,128.15,126.83,136.07,127.19,130.27,134.63,135.45,135.31,126.61,131.43,127.43,118.63,120.35,122.93,124.06,118.68,110.76,108.8,102.34,107.41,97.68,101.33,109.04,97.67,100.04,100.26,94.45,95.04,102.19,105.87,100.43,91.51,83.84,87.03,94.27,94.7,87.9,90.22,100.57,94.53,88.5,97.9,104.08,102.58,100.5,100.05,100.58,100.3,99.88,104.02,107.51,108.08,113.93,113.83,119.04,116.96,118.42,127.04
"21","12","      Structures","B808RA",4.9,13.76,30.88,47.66,55.31,55.02,59.33,50.19,57.59,48.47,49.83,59.39,52.32,53.68,65.93,106.42,171.95,251.04,297.63,335.26,367.92,409.4,443.01,446.2,462.88,437.22,408.1,387.09,406.32,354.61,338.52,333.1,302.42,289.7,262.52,246.17,236.87,250.07,268.78,271.35,268.99,256.78,266.21,258.53,275.33,273.1,294.73,324.73,312.49,302.15,276.74,235.62,233.28,236.48,257.92,267.82,298.5,272.44,242.97,245.35,238.41,241.87,194.55,200.58,185.94,189.29,232.73,106.92,142.92,129.83,138.03,137.39,114.44,118.48,128.62,126.97,131.21,126.74,134.88,123.46,127.41,109.72,123.03,115.62,112.98,103.92,119.06,126.91,121.93,128.17,129.25,117.35,102.3,98.67,103,103.02,115.1,121.51,138.65,137.21,120.09,116.39,115.71,111.98,110.03,112.17,117.86,118.87,113.3,114.21,98.64,94.7,97.05,95.83,107.44,106.71,105.31,85.48,81.1,89.37,99.9,100.5,84.41,80.7,81.66,102.87,93.53,92.51,78.35,76.05,80.54,78.19,89.34,88.55,100.54,83.93,81.52,91.97,76.72,94.38,97,94.63,101.31,113.11,120.42,120.54,119.69,122.18,112.95,114.95,119.77,119.51,124.73,147.05,150.26,149.45,150.48,153.84,165.75,151.16,161.21,166.17,166,176.48,156.46,169.81,146.9,145.31,130.99,122.58,124.71,118.55,120.65,120.15,120.57,100.55,89.21,88.52,80.82,82.43,94.78,99.23,86.25,95.97,82.32,83.7,88.55,87.07,88.19,89.24,96.96,94.18,105.73,93.13,90.27,96.85,100.61,108.79,96.83,93.78,85.77,81.24,82.36,81.17,80.05,71.09,81.96,71.29,76.22,74.49,70.03,67.98,65.48,70.58,74.8,66.47,69.51,69.08,62.97,70.49,63.21,66.47,66.3,64.31,66.62,71.71
"22","13","      Equipment and software","B873RA",5.34,4.17,8.01,8.2,11.03,12.18,11.17,13.82,16.64,20.16,20.8,17.71,12.19,12.13,14.71,15.29,25.5,38.28,54.19,70.08,66.64,66.33,67.2,68.5,75.11,81.87,79.74,70.49,71.22,66.58,55.72,53.32,51.88,56.24,49.35,44.66,47.65,45.85,51.68,49.7,46.46,43.73,45.92,44.99,44.43,45.03,50.52,50.66,62.69,58.87,61.95,59.49,57.47,53.07,56.07,53.59,60.7,59.43,63.94,64.32,67.64,64.18,68.47,64.47,57.98,55.41,58.21,56.76,54.95,53.18,51.7,51.51,48.6,44.95,46.67,44.65,54.26,52.27,57.59,62.47,65.66,62.66,68.09,64.42,59.54,57.94,56.52,53.31,58.24,47.52,51.65,44.43,49.23,48.17,45.31,46.89,36.68,32.81,30.59,29.34,36.34,38.47,35.45,33.95,38.38,37.14,29.49,34.47,32.54,37.71,37.37,39.86,40.71,41.39,42.27,42.89,41.87,38.43,43.98,43.13,43.86,44.25,42.47,39.6,38.34,41.2,41.94,47.52,45.97,46.86,55.88,53.46,55.81,52.83,49.28,55.4,54.32,59.62,62.52,62.77,60.05,69.81,65.93,71.84,70.93,76.25,79.8,85.77,88.04,89.46,86.37,98.34,96.43,107.02,116.21,114.8,110.43,119,138.23,132.74,129.33,138.23,144.71,135.6,126.54,125.53,127.01,127.75,128.19,127.7,137.8,128.58,131.78,136.74,137.61,139.86,131.46,136.95,133.4,123.31,123.73,126.1,128.96,121.69,114.49,112.11,104.19,110.12,98.95,102.95,110.66,98.14,99.28,101.23,95.01,94.79,102.41,105.46,100.95,91.18,83.55,87.85,95.98,96.66,89.01,93.05,103.31,98.02,90.26,101.4,109.27,107.87,105.88,104.52,104.43,105.52,104.5,109.4,114.54,113.87,122.04,121.32,127.46,125.39,126.68,135.85
"23","14","  Nondefense","B825RA",17.94,23.98,19.9,16.06,19.42,26.18,29.68,32.01,31.79,34.75,33.7,33.14,31.09,32.71,23.61,24.61,22.32,24.34,23.87,24.66,27.38,25.65,26.84,26.85,29.62,35.63,31.56,32.13,33.31,29.31,28.1,31.95,27.84,29.57,29.91,28.2,27.38,28.03,24.79,26.33,29.04,24.21,23.51,28.76,23.17,27.89,27.17,30.54,32.18,39.02,38.92,38.02,31.59,33.34,34.3,36.98,32.1,35.19,36,36.65,37.88,40.8,44.62,45.54,43.89,43.74,49.66,47.91,49.39,51.33,50.15,50.46,51.34,52.67,55.71,55.58,54.53,57.01,54.74,51.87,57.19,53.09,51.96,53.7,53.01,51.09,53.01,53.28,54.04,54.48,54.91,52.23,52.53,53.81,53.04,53,52.25,55.4,57.69,55.41,58.49,59.49,58.93,58.65,59.21,58.69,58.89,58.02,61.07,58.33,63.03,64.69,63.2,63.78,63.51,64.36,64.61,64.28,63.9,65.02,64.99,66.24,67.48,69.84,69.8,71.75,72.19,73.57,73.17,72.93,73.08,72.36,75.13,81.02,77.37,76.05,77.99,80.27,78.44,77.72,75.76,72.69,73.28,75.66,77.75,78.99,85.68,69.71,71.62,78.59,78.33,78.7,80.23,81.04,81.99,80.61,80.67,81.76,84.64,86.81,85.22,83.9,80.46,86.12,79.3,78.1,78.08,82.79,84.28,86.46,86.62,87.52,92.31,93.45,94.7,93.05,93.21,94.9,95.22,97.08,101.25,100.87,101.51,103.92,102.51,101.52,101.19,100.98,101.7,97.78,100.46,102.14,101.52,101.56,101.44,95.56,98.94,101.49,99.7,99.87,103.15,105.66,104.78,103.01,104.81,107.68,102.21,106.45,106.5,108.53,107.53,110.06,110.14,114.76,112.04,111.31,114.47,117.76,116.4,119.78,119.91,121.93,121.83,125.07,127.62,125.87
"24","15","    Consumption expenditures","B542RA",17.81,26.02,23.98,18.44,20.14,30.61,35.19,36.31,37.43,41.42,36.35,34.16,33.69,34.52,21.34,26.08,22.71,24.83,25.56,23.36,28.57,26.99,28.93,28.75,33.6,41.34,36.11,36.83,39.36,32.44,32.29,37.98,32.71,35.68,36.89,34.03,32.63,32.64,27.38,29.62,33.4,26.6,25.39,32.79,23.97,30.72,29.41,33.84,36.17,45.09,45.4,44.14,35.13,36.51,37.56,40.22,33.02,37.63,38.27,38.4,40,43.26,47.89,48.11,46.15,45.23,52.05,49.48,50.78,53.65,51.22,50.7,51.77,52.59,56.4,55.7,53.88,57.63,54.83,52.01,60.39,56.2,54.66,56.96,56.84,54.84,57.95,58.34,59.61,60.32,61.39,58.27,58.97,60.25,59.33,59.09,58.28,62.03,64.52,61.95,65.61,66.71,66.25,66.02,65.99,65.64,65.93,64.83,69.41,63.94,71.39,72.69,70.4,71.81,71.44,71.93,72.17,71.06,70.76,72.32,72.5,73.55,74.14,77.35,76.68,78.16,77.5,80.07,80.27,79.88,79.33,79.85,81.68,89.22,84.17,82.91,85.1,88.39,85.88,85.17,83.43,79.36,80.49,83.6,84.4,86.14,93.99,73.83,75.52,83.99,83.91,83.92,85.12,86.79,86.93,85.33,85.14,86.99,90.72,92.47,90.24,87.34,83.18,90.16,83.2,81.67,81.29,87.53,88.96,90.93,91.05,91.83,96.2,97.75,99.82,98.36,97.77,98.59,98.69,99.45,104.25,104.19,104.93,106.56,103.74,102.95,102.89,104.03,105.31,100.84,103.64,104.55,102.93,103.53,103.91,97.38,99.31,100.84,99.39,100.46,103.07,104.47,104.46,103.88,103.08,104.24,99.04,103.72,103.62,102.9,103.06,103.67,105.21,109.79,107.96,107.3,110.23,113.35,112.89,114.55,114.99,116.48,117.48,120.74,123.94,120.56
