"","Table 6#6D# Wage and Salary Accruals Per Full-Time Equivalent Em","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12"
"65","58","      Federal Reserve banks, credit intermediation, and related activities","N4458C0",43172,44635,46191,49191,51181,54795,56235,59052,60100
"66","59","      Securities, commodity contracts, and investments","N4459C0",112758,122358,144201,154425,144063,148465,160876,177609,205550
"67","60","      Insurance carriers and related activities","N4460C0",46713,48337,51450,53166,54734,57401,61580,64136,66561
"68","61","      Funds, trusts, and other financial vehicles","N4461C0",51895,62861,73969,69619,71437,74771,88047,89736,92908
"69","62","    Real estate and rental and leasing","N4462C0",32593,33579,36178,36227,37389,38667,41128,43374,46095
"70","63","      Real estate","N4463C0",33445,34993,38005,37678,38598,40052,42911,45330,48295
"71","64","      Rental and leasing services and lessors of intangible assets \4\","N4464C0",30854,30768,32683,33278,34719,35527,37063,38784,40934
"72","65","    Professional, scientific, and technical services","N4465C0",49992,53242,58886,61756,62038,63669,66539,69083,72413
"73","66","      Legal services","N4466C0",53013,54863,59470,65112,66587,68772,71396,73754,77257
"74","67","      Computer systems design and related services","N4467C0",55092,64181,76726,78833,77988,79199,82816,85143,89263
"75","68","      Miscellaneous professional, scientific, and technical services \5\","N4468C0",47788,49780,53723,56279,56878,58503,61250,63945,67038
"76","69","    Management of companies and enterprises \6\","N4469C0",67858,71330,75984,72270,72971,76010,80935,86558,90682
"77","70","    Administrative and waste management services","N4470C0",26471,27216,25181,26784,27654,29232,28933,30522,31911
"78","71","      Administrative and support services","N4471C0",25976,26603,24524,26111,26937,28494,28082,29702,31078
"79","72","      Waste management and remediation services","N4472C0",37075,40958,40755,41645,43223,44952,47426,48566,50387
"80","73","    Educational services","N4473C0",26628,27579,28974,30086,31259,32526,33288,34184,35399
"81","74","    Health care and social assistance","N4474C0",32732,33520,35127,36011,37374,38752,40232,41384,42746
"82","75","      Ambulatory health care services","N4475C0",42211,43193,45758,47779,49221,50277,51695,53102,54441
"83","76","      Hospitals","N4490C0",36072,37079,38368,38871,40688,43148,45425,47059,49257
"84","77","      Nursing and residential care facilities","N4491C0",20690,21256,22445,23355,24429,25051,25949,26392,27368
"85","78","      Social assistance","N4492C0",19408,20357,21608,21431,22077,22739,23302,23601,24036
"86","79","    Arts, entertainment, and recreation","N4493C0",28345,29682,31259,31115,32154,34234,35282,35194,37043
"87","80","      Performing arts, spectator sports, museums, and related activities","N4494C0",47812,51201,53634,56649,59390,63846,65863,65763,71171
"88","81","      Amusements, gambling, and recreation industries","N4495C0",20884,21458,22710,22088,22629,23990,24857,24870,25303
"89","82","    Accommodation and food services","N4496C0",15588,16065,16830,17973,18419,18950,20189,20072,20811
"90","83","      Accommodation","N4497C0",22261,23316,24763,24345,24793,25878,30967,27925,29330
"91","84","      Food services and drinking places","N4498C0",14011,14337,14942,16353,16863,17294,17952,18254,18890
"92","85","    Other services, except government","N4499C0",23928,24492,25495,26091,27062,28069,29063,29803,30993
"93","86","  Government","A4476C0",37281,38692,40501,41895,43694,45406,47345,49105,50899
"94","87","    Federal","A4477C0",42721,44225,46646,48815,52820,56482,60585,64530,66464
"95","88","      General government","A4478C0",41789,43485,45395,48000,52645,57087,61288,65883,67696
"96","89","        Civilian","B4479C0",47588,49535,51479,54114,58815,62774,67819,71513,73406
"97","90","        Military \7\","B4480C0",34980,36372,38045,40915,45595,50577,53834,59265,60850
"98","91","      Government enterprises","B4481C0",46746,47354,52109,52375,53603,53685,57326,58248,60719
"99","92","    State and local","A4482C0",35702,37122,38773,40046,41288,42465,43866,45124,46937
"100","93","      General government","A4483C0",35547,36950,38577,39856,41139,42268,43642,44877,46687
"101","94","        Education","B4484C0",35308,36578,37956,39801,40940,42239,43429,44721,46754
"102","95","        Other \8\","B4485C0",35819,37380,39309,39918,41365,42302,43886,45055,46611
"103","96","      Government enterprises \8\","B4486C0",38005,39691,41722,42857,43432,45296,47061,48647,50548
"104","97","Rest of the world","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","1. NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","2. Consists of furniture and home furnishings stores; electronics and appliance stores; building",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","material and garden equipment and supplies dealers; health and personal care stores; gasoline",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","stations; clothing and clothing accessories stores; sporting goods, hobby, book, and music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","stores; miscellaneous store retailers; and nonstore retailers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","3. Consists of scenic and sightseeing transportation; transportation support activities; and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","couriers and messengers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","4. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","5. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","engineering, and related services; specialized design services; management, scientific, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","technical consulting services; scientific research and development services; advertising and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","related services; and other professional, scientific, and technical services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","6. Consists of offices of bank and other holding companies and of corporate, subsidiary, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","regional managing offices.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","7. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","8. Employees of Indian tribal governments are classified in state and local government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Note. Estimates in this table are based on the 1997 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
