"","Table 2#5#3 Real Personal Consumption Expenditures by Function, ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"33","26","      Electricity, gas, and other fuels","DEGFRA3",13.667,13.895,13.365,13.01,13.045,13.517,14.092,15.063,15.369,15.078,16.088,17.321,17.955,18.809,19.293,19.716,21.013,23.076,25.116,26.473,25.878,28.61,30.256,31.335,32.353,34.559,37.343,39.486,41.003,43.587,44.854,45.917,46.655,48.926,51.289,53.977,56.573,59.253,61.64,63.032,64.773
"34","27","        Electricity","DELCRA3",1.922,2.127,2.258,2.287,2.254,2.412,2.583,2.78,2.996,3.217,3.428,3.714,3.963,4.203,4.325,4.666,4.978,5.764,6.471,7.26,8.104,9.209,10.22,11.216,12.245,13.349,14.345,15.561,16.685,17.62,18.712,19.796,20.759,22.126,23.273,24.701,26.027,27.744,29.441,31.42,33.326
"35","28","        Natural gas","DGHERA3",11.716,12.081,11.952,11.517,10.637,10.638,10.831,11.13,11.383,11.257,11.59,12.356,12.423,13.467,14.021,14.431,15.259,16.348,18.774,20.933,22.432,25.587,28.976,31.573,34.093,38.545,43.37,48.275,51.336,57.284,62.371,65.429,68.936,74.019,77.243,80.553,83.678,86.902,91.031,93.845,98.405
"36","29","        Fuel oil and other fuels","DFULRA3",215.619,210.672,191.189,182.983,192.478,198.911,206.361,223.195,220.959,205.032,222.129,239.137,246.492,253.339,258.083,255.479,272.856,293.475,309.104,310.604,274.005,294.441,293.786,285.512,275.934,281.312,298.964,299.566,297.031,308.333,294.541,283.741,267.055,267.105,279.85,293.443,307.808,316.523,317.124,299.656,284.105
"37","30","  Furnishings, household equipment, and routine household maintenance","DFHHRA3",9.452,8.249,7.916,6.707,6.39,7.003,7.677,9.074,9.475,8.766,9.757,10.529,11.558,10.407,8.929,8.33,8.579,11.773,13.041,13.604,13.711,15.54,15.011,14.857,15.266,15.158,17.004,17.812,17.685,17.646,18.374,18.444,18.803,19.818,20.786,22.668,23.969,25.713,26.297,27.426,27.778
"38","31","    Furniture, furnishings, and floor coverings \5\","DFURRA3",8.053,6.606,6.504,5.245,4.463,4.718,5.694,7.226,7.059,6.539,7.537,8.058,9.048,7.988,7.124,6.383,6.495,9.139,9.735,10.353,10.31,11.499,10.961,11.266,11.753,11.788,13.518,14.077,13.777,13.763,14.244,14.119,14.124,15.074,16.374,18.415,19.56,20.703,20.82,21.957,22.131
"39","32","    Household textiles","DTEXRA3",7.123,6.26,6.483,5.911,5.678,5.795,6.12,7.654,7.985,7.849,9.696,10.298,10.918,10.225,10.433,10.189,9.9,12.316,10.448,11.245,12.84,14.443,14.276,14.368,14.185,13.606,14.614,14.99,14.99,14.571,15.33,15.117,15.468,16.673,17.09,18.839,20.135,21.842,22.372,23.048,22.152
"40","33","    Household appliances \6\","DHAPRA3",2.853,2.621,2.396,1.706,2.107,2.625,3.147,3.689,4.097,3.466,3.811,4.476,5.567,3.464,1.27,0.819,1.429,6.111,9.606,9.939,9.267,11.793,10.881,10.765,11.348,11.688,13.309,14.784,14.948,14.736,15.869,15.732,16.056,16.559,17.557,19.12,19.732,21.895,22.789,24.778,26.267
"41","34","    Glassware, tableware, and household utensils \7\","DUTERA3",10.367,7.554,8.051,8.139,7.459,7.476,6.915,8.247,9.17,8.416,8.479,9.101,10.862,10.192,8.457,7.884,9.409,14.812,15.408,16.303,15.239,15.864,15.433,14.71,14.842,14.736,15.398,14.709,13.478,12.889,13.239,12.834,12.816,13.235,13.109,14.393,16.059,18.145,18.972,19.44,19.604
"42","35","    Tools and equipment for house and garden","DTOORA3",2.829,2.524,2.126,1.738,1.649,1.794,1.875,2.297,2.475,2.278,2.568,2.827,3.236,3.243,3.178,3.274,3.582,4.871,5.089,5.525,5.67,6.369,6.502,5.812,5.298,4.602,4.882,5.001,4.993,4.963,5.279,5.542,5.652,6.163,6.524,7.235,8.322,9.767,10.47,11.063,11.289
"43","36","    Other household goods and services \8\","DOGSRA3",25.566,24.143,22.116,19.106,18.542,21.055,22.055,23.875,25.327,23.875,25.526,26.964,26.78,27.754,25.065,24.36,23.764,23.606,26.427,26.442,27.312,29.943,29.735,28.59,29.469,29.008,32.835,34.51,35.059,35.959,36.835,38.144,39.731,41.566,42.649,44.72,46.496,48.493,49.517,50.31,50.986
"44","37","  Health","DHLTRA3",4.49,4.371,4.223,3.935,3.722,3.958,4.016,4.286,4.477,4.42,4.669,4.819,5.12,5.486,5.757,6.115,6.296,7.248,7.415,8.008,8.216,8.68,9.087,9.541,9.982,10.55,10.935,11.693,12.376,13.199,14.155,14.535,15.368,16.874,17.974,19.759,20.682,21.802,22.758,24.642,26.522
"45","38","    Medical products, appliances, and equipment","DMPARA3",1.601,1.537,1.411,1.255,1.265,1.49,1.555,1.669,1.846,1.863,1.99,2.082,2.39,2.719,3.204,3.372,3.539,3.89,3.737,3.923,4.072,4.415,4.863,5.043,5.229,5.243,5.55,6.1,6.508,6.677,7.084,7.655,8.466,9.545,10.134,10.583,11.129,11.716,12.075,13.392,14.564
"46","39","      Pharmaceutical and other medical products \9\","DPHMRA3",1.452,1.373,1.273,1.149,1.154,1.315,1.368,1.468,1.597,1.643,1.748,1.815,2.048,2.338,2.78,2.917,3.074,3.365,3.216,3.39,3.538,3.864,4.294,4.436,4.576,4.595,4.971,5.478,5.954,6.176,6.678,7.337,8.274,9.209,9.949,10.259,10.713,11.153,11.995,13.241,14.346
"47","40","        Pharmaceutical products","DPNPRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.563,7.188,8.116,9.036,9.883,10.147,10.584,10.993,11.934,13.158,14.244
"48","41","        Other medical products","DOMPRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.162,17.018,18.527,20.509,14.846,17.937,19.488,21.824,16.779,19.469,21.863
"49","42","      Therapeutic appliances and equipment","DTAERA3",2.492,2.508,2.235,1.893,1.936,2.516,2.647,2.842,3.285,3.156,3.404,3.631,4.353,4.913,5.659,6,6.229,6.92,6.737,7.002,7.157,7.62,8.197,8.584,9.026,9.015,8.966,9.782,9.843,9.731,9.647,9.767,9.962,11.838,11.718,12.878,13.904,15.237,13.378,15.117,16.675
"50","43","    Outpatient services","DOUTRA3",6.107,5.714,5.444,5.019,4.591,4.827,4.804,5.234,5.348,5.072,5.379,5.504,5.73,5.939,5.758,6.268,6.425,7.908,8.437,9.325,9.309,9.646,9.975,10.372,10.838,11.69,11.775,12.368,13.006,13.947,14.84,15.341,15.806,17.106,17.946,20.555,21.262,21.437,21.3,22.077,23.061
"51","44","      Physician services \10\","DPHYRA3",7.025,6.619,6.334,5.94,5.519,5.876,5.962,6.55,6.711,6.317,6.618,6.738,6.932,7.189,6.882,7.817,7.914,9.961,11.083,12.27,12.323,12.783,13.323,13.768,14.323,15.421,15.31,16.095,16.891,18.294,19.095,19.434,19.57,20.888,21.755,24.939,25.243,25.235,26.154,26.948,28.5
"52","45","      Dental services","DDENRA3",13.999,13.08,12.462,11.312,10.096,10.512,10.031,10.818,11.057,10.795,11.829,12.346,13.38,13.802,13.779,13.569,14.08,16.547,15.687,17.28,16.966,17.55,17.834,19.115,20.309,22.251,23.389,24.493,25.732,26.626,26.694,27.221,28.234,29.481,29.147,33.023,33.932,34.633,37.207,38.749,42.082
"53","46","      Paramedical services","DPMSRA3",2.208,2.013,1.883,1.663,1.491,1.504,1.488,1.585,1.594,1.476,1.547,1.548,1.549,1.624,1.558,1.735,1.85,2.25,2.468,2.722,2.719,2.811,2.882,2.911,3.006,3.161,3.137,3.303,3.523,3.863,5.112,5.789,6.479,7.713,8.848,10.22,11.344,11.581,9.294,9.78,9.292
"54","47","        Home health care","DHHCRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","48","        Medical laboratories","DMLBRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","49","        Other professional medical services \11\","DOMDRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","50","    Hospital and nursing home services","DHPNRA3",4.525,5.006,5.291,5.281,5.028,4.925,5.053,5.124,5.28,5.542,5.738,5.941,6.018,6.412,6.784,6.95,7.044,7.499,7.539,8,8.542,9.113,9.302,10.023,10.585,11.286,12.041,12.965,13.774,14.973,16.354,16.107,17.124,18.839,20.49,22.018,23.337,25.971,28.782,32.238,35.534
"58","51","      Hospitals \12\","DHSPRA3",5.509,6.095,6.442,6.429,6.122,5.996,6.152,6.238,6.428,6.747,6.986,7.233,7.327,7.806,8.26,8.462,8.576,9.129,9.179,9.74,10.4,11.095,11.325,12.203,12.887,13.74,14.659,15.784,16.77,18.23,19.895,18.827,19.697,21.506,23.02,24.002,25.666,28.253,31.042,34.505,37.502
"59","52","      Nursing homes","DNRSRA3",0.894,0.989,1.045,1.043,0.993,0.973,0.998,1.012,1.043,1.095,1.134,1.174,1.189,1.267,1.34,1.373,1.392,1.482,1.49,1.581,1.688,1.801,1.838,1.98,2.091,2.23,2.379,2.562,2.721,2.958,3.28,5.677,7.095,8.35,10.316,13.516,13.578,16.137,18.77,21.9,25.895
"60","53","  Transportation","DTRNRA3",6.658,5.529,4.914,3.998,4.195,4.674,5.374,6.175,6.459,5.532,6.417,7.278,8.181,4.778,4.668,4.895,5.658,9.667,11.23,12.018,13.615,15.612,14.679,14.293,16.2,15.848,19.102,18.004,18.684,17.286,19.213,20.12,19.269,21.325,23.018,24.288,26.817,27.82,28.057,31.158,32.769
"61","54","    Motor vehicles","DMTRRA3",10.648,6.978,5.064,2.97,4.016,5.058,7.554,9.589,9.731,5.725,8.032,10.342,11.493,1.213,1.117,0.814,0.772,4.135,6.997,8.27,11.173,14.53,12.223,10.692,13.9,13.309,18.483,15.319,15.883,12.667,15.219,16.132,14.14,17.005,19.325,20.348,23.966,24.19,23.389,27.213,27.805
"62","55","      New motor vehicles","DNMVRA3",5.847,3.816,2.769,1.615,2.201,2.773,4.154,5.269,5.343,3.124,4.402,5.701,6.342,0.255,0.257,0.084,0.08,4.118,7.016,7.948,10.844,14.345,11.631,9.792,13.381,12.85,18.152,14.525,14.905,11.158,14.44,15.536,13.367,16.773,19.399,20.658,24.709,24.981,23.67,28.379,28.858
"63","56","      Net purchases of used motor vehicles","DNPVRA3",9.194,7.459,5.426,3.733,4.149,5.169,6.923,9.112,9.514,7.01,8.566,9.256,10.099,9.377,8.284,7.732,7.332,5.919,9.679,14.005,18.011,20.898,22.269,24.185,21.054,18.328,21.623,22.696,24.93,26.109,23,22.568,21.719,21.23,22.007,21.82,23.626,23.635,25.286,25.306,26.522
"64","57","    Motor vehicle operation","DMVORA3",5.521,5.184,5.13,4.562,4.592,5,5.238,5.716,6.076,6.093,6.722,7.255,8.277,5.671,4.256,4.676,6.319,11.588,12.085,12.555,13.231,14.092,14.802,15.814,16.448,16.625,18.198,19.268,20.214,21.072,22.377,23.355,23.908,25.152,26.19,27.721,28.968,30.77,31.894,34.116,36.586
"65","58","      Motor vehicle parts and accessories","DMVPRA3",3.601,3.124,3.025,2.382,2.082,2.499,2.636,2.866,2.934,2.751,3.39,3.919,4.906,1.928,2.262,2.593,3.759,7.836,7.53,7.01,6.498,8.034,6.936,7.53,6.834,6.298,7.54,8.161,9.211,9.873,11.159,12.013,12.782,14.026,14.715,15.804,16.228,17.349,17.996,20.014,22.706
"66","59","      Motor vehicle fuels, lubricants, and fluids","DMFLRA3",7.694,7.768,8.089,7.454,7.467,7.958,8.44,9.119,9.814,10.097,10.76,11.405,12.723,9.59,6.084,6.276,8.268,15.006,15.967,16.983,18.467,19.15,20.817,22.533,23.778,24.533,26.669,28.282,29.371,30.766,32.346,33.454,33.799,35.232,36.314,38.302,40.111,42.614,43.999,47.063,50.227
"67","60","      Motor vehicle maintenance and repair","DVMRRA3",5.24,4.357,3.786,3.293,3.755,4.126,4.091,4.654,4.845,4.613,5.334,5.81,6.639,4.697,4.365,5.362,7.326,12.637,13.429,14.237,15.025,15.542,16.595,17.154,18.451,18.421,19.784,20.658,21.55,22.055,23.406,24.545,25.303,26.566,28.076,29.621,30.953,32.737,34.093,35.661,37.408
"68","61","      Other motor vehicle services","DOVSRA3",0.874,0.765,0.694,0.622,0.684,0.73,0.763,0.851,0.913,0.895,1.014,1.098,1.229,0.982,0.928,1.074,1.361,2.078,2.269,2.421,2.565,2.799,3.551,3.61,3.822,3.96,4.281,4.548,4.664,4.651,4.728,4.989,5.273,5.623,6.002,6.51,7.009,7.486,7.929,8.676,9.476
"69","62","    Public transportation","DPUBRA3",22.523,20.371,18.093,15.852,15.074,15.765,16.329,18.163,19.21,18.293,19.064,20.144,22.184,29.483,39.514,41.756,41.847,41.674,38.585,36.708,32.139,29.332,28.906,28.672,27.93,25.906,25.35,25.385,24.999,23.31,23.601,23.697,23.097,23.36,23.747,24.871,26.238,27.693,29.681,32.263,35.185
"70","63","      Ground transportation \13\","DGRDRA3",109.262,98.836,87.772,76.773,73.012,76.231,78.842,87.593,92.685,88.157,91.652,96.369,105.903,141.56,190.329,200.695,199.302,196.24,181.144,172.216,149.298,134.305,130.033,127.27,121.936,110.743,105.823,104.196,100.443,92.402,90.649,89.594,85.455,84.128,82.537,82.841,83.501,84.571,84.263,85.729,88.141
"71","64","      Air transportation","DAITRA3",0.02,0.02,0.02,0.032,0.032,0.049,0.069,0.092,0.092,0.104,0.144,0.229,0.288,0.264,0.263,0.343,0.61,0.969,0.989,0.959,1.083,1.337,1.765,2.095,2.468,2.807,3.333,3.766,4.253,4.283,5.06,5.428,5.73,6.322,7.139,8.388,9.855,11.341,13.91,16.806,19.88
"72","65","      Water transportation","DWATRA3",0.294,0.198,0.161,0.175,0.131,0.151,0.149,0.168,0.168,0.149,0.151,0.143,0.156,0.113,0.131,0.126,0.151,0.139,0.143,0.131,0.124,0.113,0.113,0.113,0.124,0.119,0.124,0.131,0.131,0.131,0.139,0.132,0.146,0.162,0.158,0.17,0.185,0.242,0.344,0.393,0.452
"73","66","  Communication","DCMCRA3",1.226,1.234,1.187,1.035,0.943,0.972,1.037,1.132,1.212,1.224,1.298,1.371,1.531,1.714,1.947,2.109,2.293,2.455,2.558,2.748,2.871,3.002,3.263,3.481,3.719,3.901,4.298,4.617,4.92,5.086,5.286,5.591,5.944,6.311,6.74,7.232,7.943,8.715,9.381,10.06,10.982
"74","67","    Telephone and facsimile equipment","DTCERA3",0.301,0.284,0.254,0.226,0.189,0.193,0.191,0.241,0.245,0.242,0.26,0.273,0.289,0.271,0.254,0.231,0.232,0.298,0.292,0.342,0.384,0.437,0.455,0.421,0.394,0.359,0.4,0.411,0.419,0.411,0.431,0.447,0.476,0.527,0.572,0.636,0.665,0.71,0.733,0.775,0.772
"75","68","    Postal and delivery services","DPSSRA3",24.049,24.211,24.11,21.445,19.814,20.436,21.403,23.604,24.775,26.256,27.388,27.682,29.866,32.589,36.101,40.665,44.557,44.966,44.723,45.853,44.98,47.71,49.897,51.02,53.977,54.571,57.665,60.734,62.764,64.084,62.245,64.029,66.979,72.489,71.819,75.787,79.527,83.778,88.263,86.724,91.1
