"","Table 3#10#3# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"33","26","          Compensation of general government employees","B237RA3",13.163,13.545,13.185,12.36,10.933,10.645,12.916,12.926,13.656,14.445,15.585,27.174,87.95,219.606,421.159,508.742,475.498,145.965,79.489,77.291,81.722,86.302,149.481,172.093,168.544,158.028,149.973,146.06,144.006,135.567,131.939,131.806,134.487,140.225,137.756,137.73,137.88,151.843,165.216,167.385,167.594
"34","27","          Consumption of general government fixed capital \2\","B432RA3",1.731,1.698,1.664,1.639,1.614,1.612,1.622,1.731,1.766,1.846,1.912,2.141,4.681,17.015,43.079,73.329,91.361,86.652,70.775,57.583,48.726,42.548,41.61,46.382,51.96,55.839,57.055,57.486,57.803,57.916,59.119,60.854,62.091,64.027,65.591,66.405,66.257,66.448,67.774,68.897,68.755
"35","28","        Intermediate goods and services purchased \3\","W087RA3",0.66,0.698,0.626,0.776,0.821,0.439,0.786,0.898,0.675,0.744,0.982,1.334,10.077,50.834,86.146,102.038,97.331,13.421,4.368,7.907,9.9,11.995,31.435,47.354,51.18,37.931,33.829,34.747,41.732,42.072,34.157,34.873,35.833,40.454,41.74,38.58,39.248,50.99,61.48,66.328,60.059
"36","29","          Durable goods","A998RA3",0.24,0.38,0.406,0.383,0.488,0.455,0.42,0.777,0.845,0.83,1.098,1.661,27.219,164.648,307.39,336.183,366.524,12.458,6.228,14.414,17.718,30.299,72.664,128.806,144.185,104.934,88.97,84.171,88.13,91.277,65.252,55.459,45.513,56.339,56.766,47.952,49.729,72.412,71.443,82.766,69.064
"37","30","          Nondurable goods","A725RA3",5.368,6.436,7.606,9.228,8.732,2.18,8.623,8.924,3.428,4.845,4.726,8.634,49.986,349.089,565.105,617.898,461.511,45.206,16.765,32.273,38.378,40.625,106.582,139.298,223.753,147.103,67.598,66.629,80.583,82.074,68.634,73.585,90.79,114.972,106.979,118.117,127.615,182.022,279.961,320.557,284.493
"38","31","          Services","A489RA3",0.221,0.208,0.144,0.192,0.217,0.156,0.205,0.23,0.234,0.24,0.358,0.41,2.004,4.567,4.945,14.94,15.301,9.806,2.627,3.974,5.204,5.029,14.394,19.429,15.622,13.143,17.148,19.264,25.799,25.44,22.829,25.944,28.371,29.753,31.963,29.228,28.947,34.518,41.034,41.708,39.475
"39","32","      Less: Own-account investment \4\","W088RA3",4.717,5.057,6.747,8.871,9.04,8.004,11.581,11.686,11.228,11.182,11.288,21.912,80.863,213.331,128.254,57.285,77.26,14.459,12.048,20.304,26.553,31.922,55.634,81.088,85.049,74.778,63.103,63.415,71.26,78.845,58.23,60.782,61.878,64.745,60.217,59.881,62.976,73.145,28.228,28.566,30.356
"40","33","            Sales to other sectors","W089RA3",21.847,15.83,9.172,3.326,3.446,4.747,3.08,2.036,3.79,4.297,3.808,1.861,24.894,117.507,353.94,579.918,1021.195,904.595,1.668,19.896,9.635,7.987,89.215,2.537,4.261,8.859,66.139,49.989,67.593,89.335,43.949,54.773,40.469,49.903,40.315,53.982,74.327,133.646,52.473,27.248,26.282
"41","34","    Nondefense consumption expenditures \1\","A542RA3",4.762,5.22,5.122,4.579,6.883,12.157,9.289,21.018,18.02,20.926,23.206,20.818,14.891,12.802,9.371,13.904,8.754,15.415,16.621,23.354,28.473,22.089,18.441,21.663,28.24,27.156,26.667,23.415,22.684,22.661,32.777,28.741,28.447,34.662,37.746,40.393,42.261,42.467,44.434,44.473,46.77
"42","35","      Gross output of general government","W128RA3",4.341,4.76,4.671,4.192,8.49,13.332,12.675,22.12,18.852,21.129,23.367,21.225,15.576,13.3,10.029,15.079,13.76,20.395,18.978,24.055,28.4,22.937,19.198,22.457,28.778,27.919,28.858,24.116,24.414,23.913,34.095,29.726,29.494,35.525,38.82,41.14,42.837,43.134,45.324,45.503,47.752
"43","36","        Value added","W129RA3",8.055,9.441,8.772,8.515,14.651,23.264,25.218,49.704,40.876,47.099,47.344,44.438,31.909,17.188,18.624,12.436,16.488,32.535,38.389,42.596,41.043,44.909,41.979,41.193,38.272,36.649,36.92,37.602,38.442,39.51,39.569,42.297,43.325,45.677,48.574,50.265,51.977,54.776,57.837,59.514,60.322
"44","37","          Compensation of general government employees","W130RA3",13.054,15.591,14.196,13.607,24.329,39.069,41.406,84.07,67.761,78.138,77.965,72.187,48.327,19.415,21.178,9.358,15.951,40.65,49.591,56.09,53.421,59.361,54.597,53.298,48.854,46.367,46.871,47.989,49.291,50.866,51.012,55.109,56.53,59.511,62.968,64.436,65.656,68.261,71.62,73.309,73.965
"45","38","          Consumption of general government fixed capital \2\","B546RA3",1.13,1.148,1.254,1.348,1.533,2.051,3.004,3.838,4.433,5.048,5.633,6.184,7.215,8.368,8.971,9.279,9.585,9.906,10.067,10.229,10.414,10.532,10.707,10.785,10.717,10.709,10.607,10.506,10.457,10.479,10.398,10.319,10.455,11.149,12.311,13.791,15.722,17.977,19.671,20.831,21.64
"46","39","        Intermediate goods and services purchased \3\","W131RA3",1.751,1.728,1.858,1.423,4.049,6.231,4.542,5.428,5.307,5.372,7.966,6.646,5.142,7.587,4.104,11.844,8.791,9.788,6.044,10.063,15.61,7.883,4.696,9.041,18.131,17.813,18.864,12.405,12.363,11.094,25.465,17.429,16.426,24.019,27.138,29.6,31.072,29.569,30.872,29.982,32.98
"47","40","          Durable goods","A543RA3",0.504,0.612,0.508,0.407,3.94,9.081,13.208,9.783,8.801,9.76,9.619,10.005,19.875,12.799,11.849,7.36,13.133,10.366,11.413,8.393,7.133,7.243,7.181,6.627,6.066,6.868,5.673,5.791,5.323,4.157,3.148,3.79,6.865,11.107,15.434,20.01,25.561,26.552,23.3,18.592,16.214
"48","41","          Nondurable goods","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","42","            Commodity Credit Corporation inventory change","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","43","            Other nondurable goods","B828RA3",2.849,3.038,2.181,0.713,6.029,11.236,6.82,9.927,12.107,11.381,10.889,8.514,5.932,7.57,8.257,10.321,19.687,33.724,7.854,15.064,17.252,7.759,13.612,8.498,8.478,8.228,9.499,14.744,20.376,9.096,25.024,19.772,23.079,22.952,25.589,27.484,27.635,32.356,34.946,28.06,35.27
"51","44","          Services","A544RA3",3.372,3.213,3.985,3.566,6.993,8.778,5.708,7.14,6.038,6.346,7.489,6.42,5.165,6.314,13.038,12.418,17.835,16.402,7.129,10.093,9.323,8.822,6.462,11.009,11.042,11.915,12.381,13.571,13.312,12.259,16.055,18.834,22.28,25.961,32.611,37.364,38.593,41.923,38.679,34.15,33.354
"52","45","      Less: Own-account investment \4\","W136RA3",7.25,7.946,9.616,11.601,319.335,337.79,599.74,443.074,362.737,313.046,335.196,335.142,290.056,228.202,134.423,58.911,84.809,13.183,13.121,23.37,29.455,35.144,66.736,96.876,99.919,85.036,69.505,68.207,75.597,81.844,115.911,107.965,114.152,112.294,100.821,96.563,98.885,106.089,114.963,101.069,92.151
"53","46","            Sales to other sectors","W137RA3",1.009,1.153,0.577,0.324,0.324,0.577,0.432,0.504,0.757,0.865,1.878,2.269,2.438,4.349,21.436,70.117,165.449,191.623,92.565,43.343,22.289,44.698,29.572,26.911,24.823,35.542,89.318,33.595,66.132,47.51,51.621,37.092,37.032,38.182,54.058,46.187,40.968,42.316,50.456,60.763,64.736
"54","47","State and local consumption expenditures \1\","A991RA3",9.961,10.608,11.221,11.389,11.208,11.486,12.182,9.912,10.747,10.807,11.482,12.153,12.589,12.894,12.779,12.529,12.824,13.222,14.113,14.262,15.525,16.489,16.437,16.66,17.224,17.954,19.137,19.831,20.886,22.518,23.459,24.803,26.163,26.91,28.228,30.09,32.063,34.024,35.589,37.896,40.299
"55","48","      Gross output of general government","W138RA3",8.98,9.683,10.281,10.375,10.542,11.867,12.072,12.557,12.289,13.615,13.702,13.519,13.396,12.653,11.759,11.446,11.712,12.05,12.979,13.177,14.45,15.38,15.333,15.6,16.104,16.818,17.959,18.636,19.628,21.219,22.256,23.431,24.74,25.653,27.074,28.896,30.912,32.902,34.567,36.928,39.167
"56","49","        Value added","W139RA3",12.832,13.35,13.806,13.742,13.842,14.682,15.392,14.573,15.008,15.626,15.916,16.11,16.241,16.024,15.627,15.268,15.586,16.397,17.429,17.882,19.068,19.73,20.247,20.916,21.828,22.795,23.85,25.344,26.735,28.375,29.558,31.123,32.729,33.923,35.695,37.834,40.136,42.52,44.306,46.962,49.108
"57","50","          Compensation of general government employees","B251RA3",14.066,14.567,14.995,14.796,14.85,15.858,16.71,15.597,16.049,16.713,16.931,17.052,17.163,16.882,16.425,16.029,16.495,17.567,18.876,19.377,20.782,21.477,21.982,22.679,23.673,24.698,25.803,27.449,28.941,30.718,31.903,33.578,35.294,36.498,38.38,40.669,43.13,45.665,47.462,50.31,52.558
"58","51","          Consumption of general government fixed capital \2\","B986RA3",6.13,6.549,6.97,7.348,7.575,7.721,7.852,8.053,8.329,8.662,9.077,9.43,9.581,9.576,9.426,9.252,9.103,9.01,9.066,9.274,9.587,9.993,10.412,10.833,11.29,11.863,12.533,13.226,13.997,14.85,15.793,16.681,17.603,18.566,19.632,20.852,22.176,23.604,25.114,26.608,28.053
"59","52","        Intermediate goods and services purchased \3\","W140RA3",3.48,4.129,4.689,4.901,5.09,6.536,6.254,7.734,6.932,8.548,8.432,7.953,7.637,6.638,5.563,5.368,5.524,5.366,5.984,5.903,6.989,7.987,7.399,7.212,7.202,7.521,8.564,8.231,8.62,9.921,10.639,11.194,11.978,12.435,13.26,14.489,15.941,17.231,18.61,20.411,22.679
"60","53","          Durable goods","B989RA3",3.232,2.962,3.322,3.034,3.296,4.673,4.101,8.666,7.397,9.949,9.408,7.253,5.68,3.443,1.423,1.106,1.225,1.874,2.777,3.611,3.88,3.946,4.171,4.537,4.736,5.229,5.105,5.666,6.897,6.941,7.807,8.239,8.728,9.343,9.946,10.632,11.927,12.855,13.524,15.698,17.941
"61","54","          Nondurable goods","B337RA3",4.304,5.193,6.057,6.64,6.849,8.532,7.762,9.803,8.534,10.786,10.546,9.965,9.56,8.269,6.956,6.698,6.664,5.907,6.547,6.236,7.908,8.9,7.633,7.6,7.498,7.715,8.982,8.344,8.539,10.447,12.723,13.372,14.234,14.747,15.511,16.626,17.822,18.64,19.611,21.217,23.153
"62","55","          Services","A988RA3",2.886,3.46,3.812,3.813,3.974,5.232,5.364,5.969,5.591,6.576,6.616,6.476,6.422,5.83,5.055,4.921,5.232,5.459,6.034,6.03,6.743,7.883,7.744,7.345,7.379,7.758,8.803,8.566,8.982,10.018,9.655,10.165,10.935,11.336,12.225,13.592,15.223,16.856,18.584,20.451,22.918
"63","56","      Less: Own-account investment \4\","W144RA3",13.981,15.687,14.261,9.343,31.388,103.742,76.987,255.195,184.544,269.988,233.391,178.014,141.781,68.848,10.225,2.691,3.093,5.687,9.491,11.945,15.887,16.741,18.657,22.023,20.899,21.845,21.599,24.169,24.461,26.191,35.485,33.267,34.837,36.996,41.601,41.071,42.212,44.542,43.196,45.515,45.821
"64","57","            Sales to other sectors","W145RA3",3.733,4.561,5.223,5.389,5.333,5.64,5.728,4.745,4.949,5.333,5.689,6.094,6.312,6.365,6.292,6.271,6.366,6.222,7.039,7.277,8.324,9.055,8.862,9.072,9.404,9.999,11.04,11.436,12.149,13.51,14.26,14.815,15.827,17.576,19.311,21.146,23.527,25.673,28.262,31,32.472
"65","58","              Tuition and related educational charges","B1065A3",4.561,5.352,5.928,5.559,5.146,5.009,5.005,4.867,4.81,4.878,4.81,4.81,4.688,4.59,4.233,4.078,4.191,3.968,4.351,5.222,5.941,5.811,5.768,6.098,6.585,7.131,8.005,9.088,10.472,11.893,12.8,14.15,15.493,17.516,20.005,23.408,27.18,30.798,34.338,38.635,42.494
"66","59","              Health and hospital charges","B1066A3",6.404,8.008,8.951,8.608,7.706,7.278,6.829,6.66,6.554,6.679,6.549,6.505,6.291,5.891,5.644,5.36,5.353,4.696,4.462,5.24,5.876,5.618,5.669,5.785,6.06,6.675,7.471,8.542,9.701,12.209,12.805,11.867,12.094,14.161,14.686,15.861,18.106,20.688,23.46,27.395,28.357
"67","60","              Other sales","W146RA3",2.426,2.955,3.493,3.943,4.252,4.86,5.118,3.8,4.134,4.635,5.214,5.827,6.241,6.461,6.501,6.593,6.713,6.784,8.042,7.892,9.087,10.373,10.058,10.265,10.558,11.087,12.163,12.032,12.296,12.886,13.592,14.745,16.016,17.284,19.349,20.985,22.801,24.039,25.928,27.117,28.133
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","4. Own-account investment is measured in current dollars by compensation of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
