"","Table 2#8#4# Price Indexes for Personal Consumption Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135"
"12","4","  Nondurable goods","DNDGRG3",21.631,21.641,21.625,21.638,21.614,21.663,21.686,21.727,21.783,21.836,21.799,21.804,21.769,21.77,21.809,21.947,21.937,21.932,21.967,22.015,22.028,22.065,22.143,22.175,22.169,22.18,22.133,22.032,22.012,21.975,22.045,22.057,22.039,22.013,22.014,21.989,22.024,22.121,22.13,22.183,22.153,22.113,22.046,22.106,22.362,22.307,22.302,22.251,22.331,22.349,22.277,22.249,22.277,22.365,22.457,22.513,22.412,22.452,22.504,22.563,22.639,22.645,22.639,22.646,22.609,22.655,22.692,22.676,22.745,22.76,22.798,22.833,22.858,22.843,22.897,22.958,23.032,23.256,23.26,23.202,23.164,23.207,23.236,23.341,23.428,23.591,23.7,23.778,23.755,23.785,23.801,23.968,24.051,24.08,24.087,24.1,24.081,24.092,24.075,24.065,24.102,24.195,24.295,24.387,24.44,24.471,24.562,24.58,24.708,24.807,24.86,24.94,25.043,25.098,25.168,25.283,25.349,25.474,25.546,25.572,25.672,25.69,25.799,25.945,26.046,26.246,26.363,26.42,26.547,26.571,26.72,26.882
"13","5","Services","DSERRG3",13.049,13.066,13.088,13.133,13.154,13.201,13.248,13.287,13.326,13.37,13.405,13.434,13.447,13.468,13.475,13.504,13.54,13.567,13.601,13.625,13.654,13.671,13.703,13.72,13.718,13.738,13.744,13.773,13.79,13.818,13.841,13.853,13.886,13.901,13.921,13.937,13.979,14.002,14.026,14.04,14.072,14.098,14.112,14.122,14.131,14.146,14.169,14.184,14.224,14.235,14.24,14.251,14.28,14.29,14.306,14.32,14.338,14.375,14.398,14.414,14.435,14.467,14.495,14.514,14.541,14.562,14.58,14.62,14.636,14.659,14.675,14.697,14.719,14.742,14.756,14.778,14.805,14.819,14.844,14.875,14.908,14.936,14.971,15.003,15.035,15.068,15.092,15.151,15.201,15.261,15.301,15.337,15.395,15.457,15.498,15.533,15.569,15.607,15.631,15.676,15.709,15.761,15.793,15.832,15.887,15.938,15.986,16.038,16.105,16.181,16.25,16.306,16.369,16.439,16.494,16.561,16.627,16.698,16.759,16.83,16.909,16.968,17.053,17.127,17.218,17.279,17.368,17.43,17.515,17.602,17.675,17.762
"14",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","6","  PCE excluding food and energy","DPCCRG3",18.517,18.529,18.548,18.593,18.615,18.668,18.711,18.741,18.79,18.822,18.857,18.886,18.892,18.926,18.928,18.963,18.994,19.007,19.041,19.069,19.084,19.096,19.147,19.142,19.145,19.165,19.171,19.197,19.223,19.252,19.282,19.302,19.341,19.348,19.352,19.37,19.394,19.426,19.471,19.474,19.501,19.537,19.553,19.554,19.591,19.589,19.603,19.609,19.648,19.668,19.678,19.701,19.735,19.768,19.786,19.803,19.839,19.883,19.902,19.931,19.959,19.998,20.018,20.037,20.055,20.07,20.091,20.118,20.128,20.136,20.166,20.194,20.221,20.245,20.256,20.28,20.317,20.311,20.332,20.37,20.394,20.387,20.425,20.487,20.494,20.545,20.572,20.645,20.701,20.768,20.83,20.869,20.933,21.003,21.056,21.12,21.14,21.178,21.21,21.268,21.315,21.369,21.441,21.507,21.582,21.662,21.731,21.783,21.879,21.972,22.059,22.14,22.224,22.31,22.385,22.472,22.563,22.655,22.741,22.811,22.899,22.979,23.087,23.176,23.27,23.35,23.459,23.526,23.621,23.722,23.814,23.902
"16","7","  Food \1\","DFXARG3",19.967,19.892,19.854,19.799,19.755,19.821,19.856,19.782,19.873,19.878,19.792,19.785,19.755,19.732,19.835,20.036,20.036,20.002,20,20.007,20.019,20.131,20.207,20.286,20.259,20.277,20.248,20.202,20.108,20.031,20.082,20.052,20.007,20.01,19.973,20.007,20.097,20.205,20.255,20.265,20.226,20.204,20.137,20.204,20.444,20.38,20.398,20.266,20.444,20.476,20.388,20.293,20.288,20.482,20.559,20.566,20.489,20.464,20.571,20.615,20.763,20.768,20.769,20.784,20.74,20.838,20.902,20.891,21.012,21.029,21.047,21.058,21.016,20.958,21.033,21.106,21.213,21.581,21.588,21.437,21.359,21.384,21.424,21.561,21.685,21.994,22.174,22.275,22.147,22.15,22.073,22.383,22.442,22.44,22.364,22.314,22.193,22.157,22.093,21.98,22.013,22.173,22.265,22.359,22.333,22.372,22.411,22.432,22.549,22.638,22.674,22.747,22.822,22.814,22.88,22.968,23.054,23.212,23.251,23.256,23.337,23.298,23.369,23.509,23.653,23.932,24.073,24.148,24.303,24.297,24.524,24.74
"17","8","  Energy goods and services \2\","DNRGRG3",11.957,12.125,12.136,12.2,12.171,12.151,12.139,12.29,12.25,12.429,12.451,12.475,12.42,12.411,12.342,12.414,12.395,12.45,12.547,12.644,12.632,12.572,12.694,12.634,12.669,12.678,12.579,12.381,12.457,12.473,12.559,12.619,12.633,12.567,12.617,12.493,12.527,12.617,12.457,12.621,12.607,12.506,12.398,12.532,12.769,12.691,12.7,12.786,12.695,12.682,12.595,12.568,12.618,12.482,12.599,12.713,12.543,12.627,12.591,12.609,12.568,12.56,12.536,12.529,12.491,12.502,12.501,12.481,12.517,12.555,12.58,12.63,12.704,12.697,12.747,12.761,12.76,12.8,12.786,12.784,12.81,12.893,12.879,12.926,12.917,12.893,12.905,12.905,12.944,12.942,12.992,13.007,13.082,13.106,13.133,13.155,13.202,13.213,13.188,13.262,13.252,13.27,13.282,13.301,13.398,13.323,13.435,13.347,13.421,13.446,13.432,13.384,13.432,13.476,13.479,13.574,13.523,13.549,13.592,13.525,13.612,13.639,13.763,13.861,13.855,13.918,13.885,13.905,13.908,13.937,13.904,13.968
"18","9","  Market-based PCE \3\","DPCMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","10","  Market-based PCE excluding food and energy \3\","DPCXRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1. Food consists of food and beverages purchased for off-premises consumption; food",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","services, which include purchased meals and beverages, are not classified as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2. Consists of gasoline and other energy goods and of electricity and gas services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","3. Market-based PCE is a supplemental measure that is based on household expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","for which there are observable price measures.  It excludes most imputed transactions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","(for example, financial services furnished without payment) and the final consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","expenditures of nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
