"","Table 6#1D# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42"
"18","10","      Nondurable goods","N5010C1",462,476.5,475.9,449.9,446.2,442.3,436.7,443.8,450.4,444.2,463.4,484.3,489,504.7,521.3,533.1,559.2,549.6,562.2,572.2,590.2,629.4,626.6,592,611.3,638.5,580.8,602.1,563.2,569.7,591,577.3,544.6,522.7,519,515.2,539.8,561.8,NA
"19","11","    Wholesale trade","N5011C1",561.3,557,560.6,575.5,565.7,566.4,555.6,560.1,564.2,575.3,591,598.8,614.4,633.3,649.5,639.9,671.9,695.9,686.3,699.3,730.6,734.4,747.1,752.7,765.6,777,774.5,759.4,736.8,745.7,761.2,782.8,734.8,697.6,695.4,696.5,724.4,749.3,NA
"20","12","    Retail trade","N5012C1",695.3,695.4,699.1,708.8,714.6,718.6,725.1,734.5,748.8,760.5,762.5,767.3,783.7,786,790.1,797.1,822.3,862.2,861.8,892.2,896.3,890.8,908,920.2,906.9,915.7,895.5,890.5,844.6,841,832.2,818.2,815.3,813.5,804.9,815.5,854.8,861,NA
"21","13","    Transportation and warehousing","N5013C1",273.2,275.9,254.5,262.3,260.1,259.5,262.5,268.5,272.9,268.4,278.5,283.8,291.8,305,303.9,304.6,323.9,330.1,335.1,342.5,356.6,362.1,360.4,363.8,357.1,365.2,361.3,360.4,361.9,367.2,365.1,363.3,345.5,334.6,332,339.5,353.8,371.5,NA
"22","14","    Information","N5014C1",306.3,312.9,293.3,275.2,298.2,301.3,297.1,302.3,262.3,300.8,339.5,336.5,332,353.1,372.7,372.7,396.5,413.7,410.5,411.6,414,431,432.9,420.1,437.7,447.1,452,475.7,466.7,484,454.9,365.5,400.4,418.3,424.4,449.2,466.7,457.5,NA
"23","15","    Finance, insurance, real estate, rental, and leasing","N5015C1",1675.5,1652.5,1648.9,1644.5,1651.6,1660.4,1629,1633.4,1638.8,1665.3,1693.7,1730.7,1748.5,1764.5,1788,1839.6,1959,1938,2015.9,2081.1,2098.8,2139.2,2124.9,2200.5,2164.6,2157.4,2175.9,2143.2,2104.6,2106.9,2022.7,2013.1,2100.1,2176.2,2235.9,2290.4,2313.2,2322.6,NA
"24","16","    Professional and business services \1\","N5016C1",1150.6,1171.5,1182.1,1181,1193.5,1208.8,1221.1,1226.6,1278.1,1274.7,1263,1275.5,1299.4,1323.6,1367.4,1406.5,1450.6,1458.6,1516.6,1535.4,1591.5,1599.2,1635.3,1666.7,1661.2,1675,1691.7,1711.6,1767,1768.4,1755.6,1657.1,1706.1,1679.1,1659.3,1694.3,1719.5,1745.1,NA
"25","17","    Educational services, health care, and social assistance","N5017C1",737.7,746.4,757,770.8,793.3,810.8,826,839.4,856.5,866.6,877.6,893.2,913.5,931.1,950.1,956,970.2,990.7,1003,1010.2,1036.3,1053.9,1064.6,1082.6,1094.7,1103.9,1120.8,1139.8,1154.4,1174.3,1194.3,1216.8,1221.7,1239.9,1251.4,1266.6,1277.4,1300.2,NA
"26","18","    Arts, entertainment, recreation, accommodation, and food services","N5018C1",343.5,350.2,353.2,350.1,355,361,364.6,370.5,369.8,372.6,378.7,387,399.6,406.4,410.7,407.7,420.4,434.5,438,446.5,453.4,456.5,460.7,471.9,482.6,487.4,490.9,500,482.4,480.6,475,463.1,453.9,451.9,454.1,452,464.2,470.9,NA
"27","19","    Other services, except government","N5019C1",271.2,271.3,272,271.3,288.7,293.3,298.7,302,295.6,297.4,298.7,302.1,308.8,310.9,315,317.8,332.9,337.2,336.8,338.4,345.1,350.1,352.7,359,361.4,364.2,364.2,369.5,362,359.2,358.4,359.6,350.5,353.9,353.3,353.5,356.1,359.1,NA
"28","20","  Government","B436RC1",1046.8,1061,1083.9,1091.5,1119.8,1132,1149.2,1167.1,1199.6,1214.9,1223.2,1231.3,1258.6,1271.3,1280.3,1292.9,1321.9,1329.3,1340.6,1349.6,1376.5,1389.9,1406.3,1421.4,1449.3,1460.7,1475.2,1489.1,1517.5,1533.9,1552,1567.7,1581.1,1599.5,1601.7,1606.6,1623.5,1633.1,1626.3
"29","21","Rest of the world","A192RC1",41.1,49.6,27,89.9,51,32.8,47.4,65.2,51.8,65.6,65.6,91.8,110.6,85.8,96.8,71.6,106.8,96.2,107.1,78.4,80.5,75.5,61.9,71.7,70.3,79.5,144.8,198.6,192.4,175.5,204.3,126,122.5,129.7,167.2,165.5,191.2,195.3,189.8
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","1. Consists of professional, scientific, and technical services; management of companies and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","enterprises; and administrative and waste management services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Note. Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
