"","Table 1#15# Price, Costs, and Profit Per Unit of Real Gross Valu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","  Consumption of fixed capital","A456RD3",0.015,0.015,0.016,0.017,0.016,0.015,0.014,0.012,0.012,0.014,0.012,0.011,0.01,0.01,0.009,0.009,0.01,0.012,0.014,0.016,0.017,0.016,0.017,0.018,0.018,0.019,0.018,0.019,0.021,0.023,0.022,0.021,0.022,0.021,0.02,0.02,0.02,0.02,0.022,0.023,0.024
"12","5","  Taxes on production and imports less subsidies plus business current transfer payments (net)","W330RD3",0.01,0.011,0.012,0.014,0.017,0.017,0.016,0.015,0.014,0.015,0.014,0.013,0.013,0.012,0.012,0.013,0.015,0.018,0.02,0.02,0.021,0.021,0.021,0.023,0.022,0.022,0.022,0.023,0.024,0.025,0.025,0.026,0.027,0.026,0.026,0.026,0.026,0.025,0.026,0.028,0.03
"13","6","  Net interest and miscellaneous payments","A471RD3",0.004,0.005,0.007,0.008,0.008,0.007,0.006,0.005,0.005,0.005,0.004,0.003,0.003,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.002,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.005,0.006,0.007
"14","7","Corporate profits with IVA and CCAdj (unit profits from current production)","A463RD3",0.028,0.022,0.009,-0.004,-0.005,0.007,0.011,0.016,0.017,0.011,0.015,0.021,0.029,0.035,0.038,0.037,0.032,0.027,0.035,0.042,0.039,0.044,0.047,0.042,0.039,0.038,0.045,0.041,0.04,0.036,0.042,0.039,0.039,0.042,0.044,0.046,0.05,0.049,0.046,0.046,0.042
"15","8","  Taxes on corporate income","A465RD3",0.004,0.002,0.002,0.002,0.002,0.003,0.003,0.004,0.004,0.003,0.004,0.007,0.015,0.02,0.023,0.02,0.018,0.015,0.018,0.018,0.015,0.023,0.028,0.023,0.022,0.019,0.022,0.021,0.02,0.017,0.02,0.018,0.018,0.017,0.018,0.018,0.019,0.019,0.017,0.02,0.019
"16","9","  Profits after tax with IVA and CCAdj","A466RD3",0.024,0.02,0.007,-0.005,-0.007,0.004,0.008,0.012,0.013,0.008,0.011,0.014,0.013,0.014,0.015,0.016,0.014,0.012,0.017,0.024,0.024,0.02,0.019,0.019,0.017,0.019,0.023,0.021,0.02,0.019,0.022,0.021,0.021,0.025,0.026,0.028,0.031,0.031,0.029,0.026,0.023
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1. The implicit price deflator for gross value added of nonfinancial corporate business",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","divided by 100. Estimates for nonfinancial corporate business for 2000 and earlier periods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","are based on the 1987 Standard Industrial Classification (SIC); later estimates for these",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","industries are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Note. The current-dollar gross value added is deflated using the gross value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","added chain-type price index for nonfinancial industries from the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","GDP-by-industry accounts.  For periods when this price index is not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","available, the chain-type price index for GDP goods and structures is used.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","IVA Inventory valuation adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","CCAdj Capital consumption adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
