"","Table 6#18B# Taxes on Corporate Income by Industry              ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"23","16","      Stone, clay, and glass products","B3116C0",213,200,407,508,387,457,427,612,559,484,432,585,487,467,437,480,490,482,433,365,464,539
"24","17","      Primary metal industries","B3117C0",677,522,1194,1910,1023,1379,876,1538,1493,1399,937,1162,964,836,669,875,1058,1267,1449,1077,835,834
"25","18","      Fabricated metal products","B3118C0",407,288,580,827,601,621,512,618,641,628,503,582,467,535,568,615,675,904,1091,1123,1284,1169
"26","19","      Machinery, except electrical","B3119C0",655,522,884,1522,1391,1236,925,1052,1298,1188,853,1168,1005,1028,1177,1273,1581,1842,2270,2016,2430,2315
"27","20","      Electric and electronic equipment","B3120C0",331,275,694,875,912,917,656,674,692,812,677,923,736,760,797,848,899,1248,1501,1454,1610,1570
"28","21","      Motor vehicles and equipment","B3121C0",646,820,1668,1566,1483,1730,1194,2251,1312,1418,567,1527,1604,1353,2136,2574,2344,2948,2477,1952,2950,2619
"29","22","      Other transportation equipment","B3122C0",109,89,183,255,380,513,430,429,439,479,366,309,254,322,393,438,505,612,614,555,680,507
"30","23","      Instruments and related products","B3123C0",83,69,145,253,244,263,241,261,292,273,266,356,338,341,392,404,439,551,703,718,891,944
"31","24","      Miscellaneous manufacturing industries","B3124C0",145,110,199,219,173,165,153,195,201,183,166,202,165,186,205,202,193,210,227,225,283,300
"32","25","    Nondurable goods","A3125C0",3453,2570,4531,5999,4568,4815,4092,5097,5230,4665,4240,5523,5158,5235,5178,5703,5968,6621,7536,7093,8675,8544
"33","26","      Food and kindred products","B3126C0",668,631,849,899,887,942,890,1019,994,979,1058,1208,1176,1214,1167,1299,1307,1366,1582,1474,1763,1822
"34","27","      Tobacco manufactures","B3127C0",96,103,137,173,168,204,174,207,219,235,276,304,313,345,338,354,327,320,334,358,420,437
"35","28","      Textile mill products","B3128C0",592,277,546,539,305,307,223,320,314,258,221,359,337,300,336,353,418,497,477,419,584,541
"36","29","      Apparel and other textile products","B3129C0",125,83,136,105,100,100,96,122,120,105,111,143,143,170,189,201,230,263,299,342,430,398
"37","30","      Paper and allied products","B3130C0",308,221,462,824,549,532,479,584,680,533,469,574,508,491,469,440,452,506,600,481,594,627
"38","31","      Printing and publishing","B3131C0",228,202,260,334,334,349,323,412,441,434,383,473,468,463,483,535,631,715,804,762,932,1008
"39","32","      Chemicals and allied products","B3132C0",619,618,1279,1749,1297,1338,1158,1499,1488,1485,1272,1771,1613,1655,1660,1843,1962,2128,2267,2052,2661,2549
"40","33","      Petroleum and coal products","B3133C0",657,326,574,958,625,742,517,606,652,340,165,329,304,269,218,347,296,457,734,760,689,608
"41","34","      Rubber and miscellaneous plastics products","B3134C0",100,67,216,345,236,236,167,248,246,224,220,282,226,257,243,250,261,273,331,328,452,426
"42","35","      Leather and leather products","B3135C0",60,42,72,73,67,65,65,80,76,72,65,80,70,71,75,81,84,96,108,117,150,128
"43","36","  Transportation and public utilities","A3136C0",1306,1157,1866,2482,2644,2703,2492,3028,3185,3122,3151,3741,3896,4197,4226,4596,4715,4834,5251,4907,5487,5479
"44","37","    Transportation","A3137C0",680,461,901,1040,1007,911,596,840,839,714,556,710,584,647,550,683,704,850,928,624,627,597
"45","38","      Railroad transportation","B3138C0",465,267,570,597,615,543,266,446,440,361,269,313,226,276,179,249,200,209,249,82,92,122
"46","39","      Local and interurban passenger transit","B3139C0",37,25,32,46,48,43,28,34,37,34,37,53,48,48,48,44,46,61,49,48,45,35
"47","40","      Trucking and warehousing","B3140C0",63,59,104,100,94,100,91,116,104,107,97,141,110,132,137,134,149,203,200,170,265,261
"48","41","      Water transportation","B3141C0",64,58,75,129,88,72,54,76,91,93,49,60,64,59,52,71,82,73,94,80,102,72
"49","42","      Transportation by air","B3142C0",4,9,39,66,58,59,69,75,62,19,18,32,19,5,24,61,112,195,220,143,35,5
"50","43","      Pipelines, except natural gas","B3143C0",26,25,57,71,71,63,56,54,65,61,64,80,80,81,70,91,82,72,67,58,46,56
"51","44","      Transportation services","B3144C0",21,18,24,31,33,31,32,39,40,39,22,31,37,46,40,33,33,37,49,43,42,46
"52","45","    Communication","A3145C0",185,196,320,532,589,678,706,899,975,1071,1227,1456,1586,1672,1774,1937,1931,1950,2187,2208,2657,2721
"53","46","      Telephone and telegraph","B3146C0",168,181,297,488,543,623,645,814,886,974,1129,1340,1455,1552,1610,1744,1782,1789,2012,2075,2473,2518
"54","47","      Radio and television","B3147C0",17,15,23,44,46,55,61,85,89,97,98,116,131,120,164,193,149,161,175,133,184,203
"55","48","    Electric, gas, and sanitary services","B3148C0",441,500,645,910,1048,1114,1190,1289,1371,1337,1368,1575,1726,1878,1902,1976,2080,2034,2136,2075,2203,2161
"56","49","  Wholesale trade","B3149C0",943,624,1256,1475,985,916,817,1119,1235,1170,1000,1258,1090,1140,1212,1219,1323,1539,1622,1610,2081,2265
"57","50","  Retail trade","B3150C0",1259,903,1447,1343,1242,1169,1137,1379,1384,1330,1236,1494,1295,1196,1347,1449,1607,1721,1800,2124,2631,2798
"58","51","  Finance, insurance, and real estate","A3151C0",970,1158,1455,1775,2030,2250,2463,2322,2441,2782,3290,3455,4047,3900,3952,4083,4670,4376,4810,5541,6674,7262
"59","52","    Banking","J3152C0",452,521,637,848,1009,1121,1211,1009,1206,1582,1809,1760,2342,2055,2041,2064,2683,2269,2579,2982,3520,4281
"60","53","      Federal Reserve banks","B3153C0",167,193,197,255,292,343,276,252,402,543,524,911,897,687,799,880,1582,1297,1649,1907,2464,3019
"61","54","      Commercial and mutual banks","J3154C0",285,328,440,593,717,778,935,757,804,1039,1285,849,1445,1368,1242,1184,1101,972,930,1075,1056,1262
"62","55","    Credit agencies other than banks","J3155C0",75,90,167,215,237,256,267,294,318,332,336,348,377,403,423,503,452,456,413,385,483,489
"63","56","    Security and commodity brokers","B3156C0",6,7,12,10,16,14,24,27,21,26,38,62,59,101,57,72,80,113,149,243,417,157
"64","57","    Insurance carriers","B3157C0",116,255,235,254,332,412,474,487,392,386,599,741,723,773,824,819,816,856,1032,1199,1379,1417
"65","58","    Insurance agents, brokers, and service","B3158C0",23,18,22,28,28,30,32,29,38,39,39,52,51,54,55,55,69,59,78,72,111,93
"66","59","    Real estate","B3159C0",230,217,294,320,308,332,367,396,367,340,390,410,407,429,448,466,403,448,421,470,580,629
"67","60","    Holding and other investment offices","B3160C0",68,50,88,100,100,85,88,80,99,77,79,82,88,85,104,104,167,175,138,190,184,196
"68","61","  Services","A3161C0",252,219,248,330,319,318,329,367,418,438,398,488,480,506,496,555,569,657,750,824,973,1033
"69","62","    Hotels and other lodging places","B3162C0",46,38,44,52,50,46,46,46,51,49,35,46,37,34,30,26,20,39,54,73,119,121
"70","63","    Personal services","B3163C0",24,23,24,31,30,32,32,37,42,47,47,51,50,46,49,53,63,63,67,81,96,88
"71","64","    Business services","B3164C0",52,52,68,100,94,101,98,122,141,167,162,191,194,199,218,224,224,265,313,322,368,414
"72","65","    Auto repair, services, and parking","B3165C0",10,7,10,14,15,15,12,17,20,17,23,36,30,32,31,40,40,38,43,42,56,62
"73","66","    Miscellaneous repair services","B3166C0",5,4,6,9,7,8,5,10,16,18,6,6,6,8,9,8,13,15,15,13,18,18
"74","67","    Motion pictures","B3167C0",71,59,52,59,51,45,65,63,59,39,34,45,49,71,53,53,66,67,87,67,83,57
"75","68","    Amusement and recreation services","B3168C0",27,23,25,35,38,37,39,38,43,50,47,58,55,61,58,64,69,68,78,81,96,116
"76","69","    Other services","A3169C0",17,13,19,30,34,34,32,34,46,51,44,55,59,55,48,87,74,102,93,145,137,157
"77","70","      Health services","B3170C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,23,21,19,44,61,73
"78","71","      Legal services","B3171C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2,6,0,0,0,2
"79","72","      Educational services","B3172C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,7,9,8,14,8
"80","73","      Other \2\","B3173C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,42,68,65,93,62,74
"81","74","Rest of the world","B3174C0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","1. Consists of taxes on corporate income paid to federal, state, and local government and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","taxes paid by domestic corporations to foreign governments on income earned abroad.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","2. Consists of social services, membership organizations, and miscellaneous professional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
