"","Table 3#20# State Government Current Receipts and Expenditures  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"45","37","    Current expenditures","W751RC1",20.8,22.6,24.5,26.6,28.9,31.4,35.1,40.2,46.4,53.6,61.4
"46","38","    Gross government investment","W767RC1",6.4,5.7,6.6,7,8,8.5,9.1,10.4,11.1,11.6,12.4
"47","39","    Capital transfer payments","W080RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","40","    Net purchases of nonproduced assets","W768RC1",0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.6,0.6,0.2
"49","41","    Less: Consumption of fixed capital","W769RC1",1.8,1.9,2,2.1,2.3,2.5,2.7,3,3.3,3.6,4.1
"50","42","  Net lending or net borrowing (-)","W770RC1",-1.7,-1.7,-2.4,-2.4,-3,-2.6,-3.2,-2.6,-5.4,-3.6,-3.7
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Note. State receipts plus local receipts and state expenditures plus local expenditures do not sum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","to the consolidated state and local government account totals because grants-in-aid from states",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","to local governments and from local to state governments are netted in the consolidated account",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","totals. In addition, the receipt category ""surplus of government enterprises"" and the expenditure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","category ""subsidies"" do not sum to the consolidated account totals because the level of government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","making subsidy payments accounts for them as subsidies while recipient governments account for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","them as surpluses of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
