"","Table 6#11B# Employer Contributions for Employee Pension and Ins","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"13","5","    Mining","B4905C0",540,608,635,719,820,1015,1357,1626,1996,2546,3050,3747,4517,4637,4280,4055,3716,3537,3673
"14","6","    Construction","B4906C0",1210,1525,1685,1901,2297,2744,3383,4285,5458,6370,7226,7529,6374,5843,7976,9724,11526,13726,14388
"15","7","    Manufacturing","B4907C0",14228,14941,16228,18317,21028,24072,26587,32102,38650,42845,48334,53969,59431,61867,62231,63254,64912,67149,71579
"16","8","      Durable goods","J4908C0",9571,9916,10873,12442,14460,16345,17850,21558,25907,28692,32414,36227,39495,40467,40451,41088,42028,43468,46698
"17","9","      Nondurable goods","J4909C0",4657,5025,5355,5875,6568,7727,8737,10544,12743,14153,15920,17742,19937,21400,21780,22165,22884,23681,24881
"18","10","    Transportation and public utilities","B4910C0",3160,4235,4941,5898,6204,6893,8326,10213,11499,12811,14252,16236,17364,20138,20808,21623,22442,23578,24234
"19","11","      Transportation","J4911C0",1232,1563,1834,2207,2269,2525,3212,4128,4778,5310,5918,6525,6551,7160,8714,10115,11395,12930,14011
"20","12","      Communication","B4912C0",1251,1813,2134,2608,2806,3125,3382,3785,4139,4695,5345,6244,7091,8408,7518,6926,6394,5828,5144
"21","13","      Electric, gas, and sanitary services","J4913C0",677,859,973,1083,1129,1243,1732,2300,2582,2807,2989,3468,3722,4570,4575,4582,4653,4820,5080
"22","14","    Wholesale trade","J4914C0",1522,1772,2010,2425,2717,3157,3604,4151,4860,6594,7550,8563,9598,10271,10565,11023,11667,12380,12890
"23","15","    Retail trade","J4915C0",1994,2280,2483,2934,3355,3664,4258,5080,5939,7728,8783,9831,10703,11501,13019,14253,15649,17381,17972
"24","16","    Finance, insurance, and real estate","J4916C0",1723,2064,2431,2923,3226,3410,4579,5737,6625,7261,7877,9082,9590,11217,11622,12018,12572,13700,14957
"25","17","    Services","J4917C0",2095,2630,3136,3938,4613,5488,6714,8027,9804,12902,14852,17319,20078,22807,26854,31159,34575,37580,39530
"26","18","  Government","B4918C0",9901,11601,14186,15940,18164,22516,28386,33468,39841,43669,49793,58211,66299,73370,80058,93619,103575,107484,112546
"27","19","Rest of the world","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,"        By type"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","20","Employer contributions for employee pension and insurance funds","B040RC0",36524,41819,47914,55195,62678,73273,87583,105199,125263,143358,162389,185210,204681,222356,238139,261493,281464,297451,313112
"30","21","  Pension and profit-sharing","B4934C0",20608,23350,27579,31838,36429,43262,51968,61256,72124,80450,90520,102791,110709,117433,123666,136500,143374,148255,151065
"31","22","    Private pension and profit-sharing","B4921C0",11823,13050,15108,17903,20934,24218,28053,33419,39082,44724,49875,55298,57175,58897,61346,62723,64203,66195,67249
"32","23","      Defined benefit pension and profit-sharing","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","24","      Defined contribution pension and profit-sharing","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","25","    Publicly administered government employee retirement plans","B4935C0",8785,10300,12471,13935,15495,19044,23915,27837,33042,35726,40645,47493,53534,58536,62320,73777,79171,82060,83816
"35","26","      Federal civilian \1\","B4945C0",1611,2047,3209,3424,3474,4905,6921,8082,11039,11287,13157,15913,18743,19929,21235,21417,22946,23465,24392
"36","27","      Federal military \2\","B1583C0",2661,3162,3673,4161,4695,5657,6824,7696,8503,9428,10649,12480,14021,15367,16304,26059,28233,28284,29045
"37","28","      State and local","S251100",4513,5091,5589,6350,7326,8482,10170,12059,13500,15011,16839,19100,20770,23240,24781,26301,27992,30311,30379
"38","29","  Private insurance funds","B4936C0",15916,18469,20335,23357,26249,30011,35615,43943,53139,62908,71869,82419,93972,104923,114473,124993,138090,149196,162048
"39","30","    Group insurance","B4922C0",12331,14537,16123,18666,20826,23832,28554,35131,42078,49737,56444,65142,76031,87276,96333,105179,115558,123472,132320
"40","31","      Group health insurance","B4923C0",9926,12101,13662,16161,18309,21106,25498,32024,38753,46012,52575,61016,71681,82616,91459,100287,109999,117409,126198
"41","32","      Group life insurance","B4924C0",2405,2436,2461,2505,2517,2726,3056,3107,3325,3725,3869,4126,4350,4660,4874,4892,5559,6063,6122
"42","33","    Workers' compensation","B4925C0",3473,3821,4016,4425,5157,5983,6827,8368,10413,12311,14358,15779,16464,15964,16471,17922,20414,23421,27192
"43","34","    Supplemental unemployment","B4926C0",112,111,196,266,266,196,234,444,648,860,1067,1498,1477,1683,1669,1892,2118,2303,2536
"44",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","35","  Benefits paid by pension and insurance funds","B4928C0",32355,38005,43018,48558,54586,64135,75025,86939,99920,114065,133753,158992,186175,214306,238073,269101,299961,346680,370020
"46","36","    Pension and profit-sharing","B4937C0",15182,17589,20438,23830,27257,31979,37566,43635,49851,56916,65975,78352,93627,107591,123383,144198,160847,193039,198453
"47","37","      Private pension and profit-sharing","B4929C0",6452,7366,8599,10013,11227,12952,14836,17498,20875,24257,29071,35338,44276,53011,65377,83269,94282,122363,122432
"48","38","      Publicly administered government employee retirement plans","B4938C0",8730,10223,11839,13817,16030,19027,22730,26137,28976,32659,36904,43014,49351,54580,58006,60929,66565,70676,76021
"49","39","        Federal civilian \1\","B4946C0",2553,3024,3504,4145,5041,6290,7724,8860,9929,11271,12951,15482,18179,19875,21183,22101,23517,24354,26462
"50","40","        Federal military \2\","B1593C0",2661,3162,3673,4161,4695,5657,6824,7696,8503,9428,10649,12480,14021,15367,16304,15319,17550,17879,18398
"51","41","        State and local","S121000",3516,4037,4662,5511,6294,7080,8182,9581,10544,11960,13304,15052,17151,19338,20519,23509,25498,28443,31161
"52","42","    Private insurance funds","B4939C0",17173,20416,22580,24728,27329,32156,37459,43304,50069,57149,67778,80640,92548,106715,114690,124903,139114,153641,171567
"53","43","      Group insurance","B4940C0",14899,17736,19657,21628,23895,27815,32423,37757,43540,49652,58466,69000,80648,92059,100426,109104,121133,132717,148136
"54","44","        Group health insurance","B4930C0",12231,14799,16451,18153,20153,23814,28132,33219,38577,44189,52505,62399,73229,83954,91961,100177,111488,122619,137578
"55","45","        Group life insurance","B4931C0",2668,2937,3206,3475,3742,4001,4291,4538,4963,5463,5961,6601,7419,8105,8465,8927,9645,10098,10558
"56","46","      Workers' compensation","B4932C0",2174,2434,2627,2866,3324,3941,4540,5312,6222,7140,8448,9711,10855,11957,12790,14607,16778,18767,20535
"57","47","      Supplemental unemployment","B4933C0",100,246,296,234,110,400,496,235,307,357,864,1929,1045,2699,1474,1192,1203,2157,2896
"58","48","  Employee contributions for publicly administered government employee retirement plans","B4941C0",4253,4951,5423,5956,6399,6899,7468,8147,8844,9523,10187,10853,11857,12833,13211,13885,14747,15782,16980
"59","49","    Federal civilian","B4947C0",1535,1887,1988,2144,2246,2456,2658,2866,3040,3269,3496,3776,4013,4274,4455,4661,4784,4734,5361
"60","50","    State and local","S251200",2718,3064,3435,3812,4153,4443,4810,5281,5804,6254,6691,7077,7844,8559,8756,9224,9963,11048,11619
"61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","1. Consists of civil service, foreign service, Public Health Service officers, Tennessee Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Authority, Thrift Savings Fund, and several small retirement programs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","2. Includes the Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
