"","Table 3#9#1# Percent Change From Preceding Period in Real Govern","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","        Structures","A760RL1",-5.5,-7.4,-1,-4.6,-0.2,-0.9,-0.5,-1.5,-5.2,9.8,2,0.5,-8.6,-8.1,-0.1,9.2,9.8,6.4,3.3,0.6,0.1,6.9,2.3,1.7,-1.6,-0.3,3.6,4.1,4.6,-0.1,5.9,3.2,4.9,4.7,1.1,-2.6,-4.8,0.5,-0.7,0.9,0.1
"12","5","        Equipment and software","A871RL1",-8.8,-5.9,-30.5,-12.7,12.1,21.7,7.9,8.4,1.8,3.8,14.8,7.6,7.5,10.2,18.3,16,18,12,8.3,-1.8,8.4,6,-1.6,0,-6.1,-3.5,0.8,3.3,0,9.4,9.8,3.4,3.4,6.9,4.8,7.4,6.6,8.1,5.8,10.4,0.4
"13","6","Federal","A823RL1",-3.4,-7.4,-7.7,-4.1,-4.2,0.9,0.3,0,2.1,2.5,2.4,4.7,4.8,3.9,6.6,3.1,7.8,5.7,3.6,-1.6,1.6,2,-0.2,-1.8,-3.9,-3.8,-2.7,-1.2,-1,-1.1,1.9,0.5,4.1,7.3,6.6,4.1,1.3,2.1,1.2,7.3,5.7
"14","7","    Consumption expenditures","A957RL1",-2.2,-7.3,-5,-2.8,-5.7,-0.9,-0.8,-1.2,2,2,1.4,4.3,4.4,3.4,4.9,1.3,5.9,4.3,2.3,-0.4,1.5,1.5,0.2,-2.2,-3.2,-2.8,-2.9,-1.8,0.1,-2.1,1.3,1,4.3,6.7,6.6,3.9,0.8,1.4,0.8,6.5,5.8
"15","8","    Gross investment","A787RL1",-10.9,-8.1,-25.9,-15.2,9,15,8.6,8.5,3,5.5,8.4,7.2,6.7,6.5,16.3,12.5,17.1,11.8,9.3,-7.2,2,4.5,-2.2,0.2,-7.6,-9.1,-1.2,2.2,-7.2,5,5.7,-2.5,2.6,11.6,6.5,5.6,4.7,7.2,4.3,12.1,5.3
"16","9","      Structures","A801RL1",-6.5,-7.4,16.6,-2.3,3.7,-5,1.3,0.1,2.6,11,-9.1,5.6,-2.4,-7.7,5.3,0.5,10.5,7.5,9.1,-17.7,-11.7,2.9,-4.5,10.9,3.5,-6.8,5.2,-2.4,-10.6,0.6,-6.4,-18.5,-5.1,14.6,8.6,-13,-11.3,3.7,13.9,3.1,23.2
"17","10","      Equipment and software","A872RL1",-12.1,-8.3,-38.6,-22.5,12.3,28.1,12.3,12.5,3.2,3.1,16.7,7.9,10.3,11.4,19.5,15.6,18.6,12.7,9.4,-4.7,5.1,4.9,-1.8,-1.8,-10,-9.7,-2.9,3.6,-6.2,6.2,9.1,1.5,4.2,11,6,9.9,7.8,7.9,2.6,13.9,2
"18","11","  National defense","A824RL1",-4.9,-9.1,-11.3,-7.8,-5.5,-0.8,-0.9,-0.3,1.2,0.9,3,4.4,6.3,7.6,7.2,4.9,8.5,6.4,4.7,-0.5,-0.5,0,-1.1,-5,-5.3,-4.9,-3.7,-1.3,-2.8,-2.1,1.9,-0.5,3.8,7.4,8.7,5.7,1.5,1.6,2.2,7.5,5.4
"19","12","    Consumption expenditures","A997RL1",-3.9,-9.1,-7.8,-6.1,-7.2,-3.2,-2.5,-1.7,1,1.1,1.3,3.9,5.7,6.7,5.3,3.1,6,4.6,3.7,1.1,-0.7,-0.7,-0.1,-5.2,-3.9,-4.5,-3.6,-1.4,-1.5,-2.7,1.6,-0.9,3.6,6.5,8.6,5.2,1.1,0.8,1.7,6.5,5.3
"20","13","    Gross investment","A788RL1",-11.4,-9,-36.3,-25.3,12.7,22,11,9,2,-0.6,14.3,7,10.2,12.5,17.3,14.2,20.4,14.6,9.2,-7.5,0.6,3,-5.8,-3.8,-12.2,-7.3,-4.5,-0.9,-10.6,1.6,3.7,2.1,4.9,13.1,9.5,8.9,4.4,7,5.8,14.4,6
"21","14","      Structures","A808RL1",7.4,-17.8,25.9,-9.8,-1.7,-8.5,-2.8,-11.6,1,1.3,-15.1,16.6,-4.7,17.9,18.7,-3.1,22.2,8.7,7.8,-7.5,-19.6,-7.1,-26.2,10.4,-3.3,4.1,11.4,-8.6,-5.7,-7.2,-11.2,-4,-5,6.9,21.3,-7.7,-4.5,0,18,9.3,40.1
"22","15","      Equipment and software","A873RL1",-13.6,-7.7,-44.9,-30.3,17.7,32.3,14.4,13.4,2.2,-0.9,19.4,5.7,12.4,11.8,17.2,16.5,20.2,15.3,9.4,-7.5,3.5,4.2,-3.7,-4.9,-13.1,-8.6,-6.5,0.3,-11.3,3,5.9,2.9,6.1,13.8,8.1,11.1,5.4,7.8,4.5,15.1,1.7
"23","16","  Nondefense","A825RL1",2.7,-1.1,4.7,7.1,-0.6,5.2,3.4,1,4.3,6.2,1.1,5.6,1.3,-4.8,5.2,-1.9,5.9,3.4,-0.1,-5.3,8.3,8.2,2.3,6.6,-0.7,-1.4,-0.4,-0.8,2.7,0.8,2.1,2.4,4.6,7.2,2.8,1,0.9,3.2,-0.8,6.7,6.5
"24","17","    Consumption expenditures","A542RL1",5.2,-0.3,4.7,7.6,-1.2,5.6,3.3,-0.1,4.2,4.1,1.7,5.2,1.6,-4.4,3.7,-3.6,5.7,3.6,-2,-5.1,8.7,8.1,1.1,5.9,-1.4,0.9,-1.5,-2.5,3.5,-0.9,0.8,4.7,5.5,6.9,3.1,1.2,0.3,2.6,-1.1,6.7,6.9
"25","18","    Gross investment","A798RL1",-9.2,-5.3,4.8,3.7,2.8,3,3.9,7.3,5.1,18.4,-2.4,7.8,-0.3,-7.1,13.5,7.4,6.8,2.4,9.7,-6.5,6.7,9.2,8.2,10.4,2.8,-12.7,5.8,8.3,-1.2,10.3,8.7,-9,-1,9,1.2,-0.4,5.3,7.8,1.1,7,3.9
"26","19","      Structures","A830RL1",-15.1,0.7,10.5,3.3,7.5,-2.6,3.9,6.7,3.3,15.6,-6.6,1.2,-1.3,-18.1,-2.6,3.1,2.3,6.6,10.3,-26.3,-2.9,12,12,11.2,7,-12,1.7,1.4,-13.4,5.3,-3.8,-25.8,-5.1,19.6,1.1,-16.7,-16.6,7,10.4,-2.5,6.2
"27","20","      Equipment and software","B880RL1",-2,-11.7,-2.2,4.2,-4.4,12.8,3.8,8.3,8.1,23,4.9,18.3,1.2,9.5,32.1,11.2,10.5,-0.8,9.3,10.9,12.4,7.7,6.2,9.8,0.3,-13.3,8.8,13,6.8,13.1,15.6,-0.9,0.6,5.1,1.2,7.1,13.7,8.1,-1.8,10.6,3.1
"28","21","State and local","A829RL1",3.4,2.8,3.1,2.2,2.9,3.8,3.7,0.7,0.4,3.3,1.5,-0.1,-2,0,1.2,3.6,6.2,6.4,1.4,3.7,3.7,4.1,2.1,2.2,1.5,2.6,2.7,2.3,3.6,3.9,4.5,2.8,3.7,3.3,-0.1,-0.2,-0.2,0.9,1.4,0.3,-0.9
"29","22","  Consumption expenditures","A991RL1",6.3,6,4.9,3.8,3.5,4.6,4.9,1.4,1.9,2,0.7,-0.2,-0.4,1.5,1.1,1.9,5.2,6.3,1.2,3.4,3.3,3.2,2,2.3,2,2.5,2.3,1.8,2.7,4.2,3.6,2.2,3.4,3.3,-0.3,0,0.4,0.7,1.6,0,-0.7
"30","23","  Gross investment","A799RL1",-4.2,-6.3,-2.8,-3.3,0.6,0.9,-0.9,-1.8,-6,9,5,0.5,-8.5,-6.2,1.3,12.2,10.8,6.8,2.6,5.2,5.4,7.9,2.3,1.4,-1,2.9,4.4,4.6,7.6,2.9,8.1,5.5,4.9,3.5,1,-0.9,-2.8,1.7,0.7,1.4,-1.9
"31","24","    Structures","A842RL1",-5.3,-7.4,-3.3,-4.9,-0.8,-0.2,-0.8,-1.8,-6.6,9.5,4.3,-0.5,-9.8,-8.2,-1.1,11.1,9.7,6.2,2.2,4.4,2.1,7.5,3.3,0.4,-2.3,0.8,3.4,5.1,6.7,-0.1,7.3,5.4,5.7,4,0.5,-1.7,-4.4,0.3,-1.7,0.8,-1.7
"32","25","    Equipment and software","B881RL1",7.9,4.2,1.2,11.6,11.8,9,-1.7,-1.7,-2.1,5.9,9.5,6.7,-0.7,6.1,13.8,17.5,15.8,9.4,4.4,8.2,18.6,9.2,-1.1,4.8,3.4,10,7.6,2.9,10.5,14,10.9,5.9,2.2,1.2,2.9,3.1,4.5,8.6,11.8,4.2,-2.6
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","are valued at their cost of production.  Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
