"","Table 2#7B# Wage and Salary Disbursements by Industry, Monthly  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121"
"11","3","  Goods-producing industries","N231RC1",1070.4,1073.5,1073.5,1064.1,1053.4,1044.3,1042.5,1028.7,1023.7,1018.5,1016.4,1016.9,1013.1,1015.8,1019.9,1016.4,1017.5,1019.4,1010.9,1007.5,1006.9,1002.4,1002.2,1006.4,1001.9,1001.2,1005.2,998.5,1005.1,1006.7,997.1,1003.6,1014.3,1027.6,1039.4,1032.1,1022.2,1018.1,1022.7,1034,1052,1056,1067.7,1076.8,1078.9,1075.1,1072.7,1076.6,1080.7,1082.8,1082.3,1088.7,1094,1099.3,1113.3,1121.4,1121.1,1123.8,1116.4,1117.1,1156.7,1177.9,1179.9,1175.8,1167.4,1167.1,1167.7,1169.6,1172.1,1183.3,1189.5,1204.5,1209.1,1203.7,1207.2,1214.4,1210.4,1208.2,1210.5,1202.9,1217.4,1212.2,1227.8,1237.4,1225.4,1218.3,1233.8,1216.6,1223.7,1227.1,1210.5,1209.3,1198.9,1192.2,1186.5,1149.2,1118.5,1101.9,1080.2,1072.1,1064.3,1052.5,1045.7,1050.9,1043.5,1040.8,1050.5,1046.9,1037.4,1028.8,1030.3,1045.7,1062.9,1054.2,1061.3,1068.7,1068.6,1074.1
"12","4","    Manufacturing","N552RC1",739.5,738,736,732.6,721.9,713.1,711.8,698.9,695.2,691.3,689,686.5,680.4,681,685.1,684.6,687.6,689,680.1,676.2,675.2,672.2,671.1,673,669.1,669.3,672.9,665.6,670.6,670.9,662.4,666.7,674,684.7,693.2,685.2,676.3,671.7,672.6,680.2,692,692.5,700.8,707.3,709.1,706.7,703.3,704.6,706.1,703.1,700.8,704.7,708.1,709.2,715.3,718.3,716.1,719.9,712.1,710.8,731.9,742.3,742.1,739.9,733.5,732.7,733.7,734,734.5,741.7,743.3,754.5,755.8,751.6,752.1,755.8,751.4,747.6,749.6,743.7,751.6,746.3,757.4,763.6,752.6,746.7,755.6,744.1,750.4,757.4,746.4,745.5,737,730,726.9,702,685.9,681.3,668.7,665.6,660.2,651.5,647.7,651.8,649.7,652,662.3,660.6,655.6,651,651.3,664.6,679.6,673.1,678.7,681.7,681.6,685
"13","5","  Services-producing industries","N233RC1",3095.2,3115.8,3122.8,3098.6,3089.7,3087.9,3074.6,3074.3,3068.2,3064.1,3069.9,3077,3080.1,3082.5,3094.6,3104.8,3111,3128.8,3111.9,3120.8,3127.3,3126.7,3131.3,3132.2,3130.5,3141.7,3157.9,3171.1,3198.3,3208.5,3223.6,3241.3,3252,3270,3294.2,3293.5,3307.9,3315.4,3330.6,3352.9,3395.4,3408.4,3443.3,3465.6,3481.8,3505.9,3501.2,3513.4,3513.9,3520.9,3524.7,3552.1,3566.4,3591.6,3633.6,3641.6,3660.7,3674.2,3688.3,3705.1,3762.9,3792.9,3809.2,3829.9,3806.6,3824.1,3848,3857.7,3888.4,3919.5,3953.5,4000.7,4035.9,4078.7,4095.6,4083,4082.1,4102.4,4113.8,4116.2,4144.2,4162.7,4192,4224.7,4235.5,4244.7,4249,4228.4,4210.9,4203.9,4203.5,4216.6,4212,4213.1,4173.2,4098.5,4020.7,3979.4,3976.8,4031.3,4060.9,4053.2,4037.1,4047.2,4040.6,4056.4,4065.7,4069.8,4070.1,4070.8,4080.2,4126.5,4144.9,4152.9,4172,4193.3,4201.5,4229.1
"14","6","    Trade, transportation, and utilities","N234RC1",852.5,852.9,854.1,849.6,848.5,848.7,844.4,842.8,841.6,838.5,840,839.8,840.8,840.9,845.8,844.7,848,851,848.6,848.3,848.6,845,847.3,849.5,849.7,853.7,858.2,856.3,857.9,857.3,858.2,865,868.8,877.5,880.8,875.9,878.3,879.8,881.7,890.6,900.5,904.6,913.2,917.8,922.7,926.4,922.3,926.2,927.7,929.7,928.7,936.1,938,942.7,953.4,952.8,953.1,955.1,956.5,961.5,974.9,984.9,987.7,993.1,985.4,989.6,996.3,996.5,1000.5,1007.9,1013.2,1021.7,1022.5,1033.4,1042.3,1044.3,1045,1050.7,1046.1,1039.8,1045.2,1052.6,1059.6,1060.5,1059.6,1061.5,1062,1057.7,1054.4,1054.4,1052.2,1053.7,1050,1049.7,1036.8,1018.5,1008.4,996.7,985.8,988.5,994.5,986.7,982.6,988.8,989.4,988.9,988.2,987.6,987.9,986.4,989.6,1002.7,1007.2,1006.2,1012.1,1014,1017.2,1023.5
"15","7","    Other services-producing industries \1\","N235RC1",2242.6,2262.9,2268.7,2249,2241.2,2239.2,2230.2,2231.5,2226.6,2225.7,2229.8,2237.2,2239.4,2241.6,2248.8,2260.1,2263,2277.9,2263.3,2272.5,2278.7,2281.7,2283.9,2282.7,2280.8,2288,2299.7,2314.7,2340.3,2351.1,2365.4,2376.3,2383.3,2392.6,2413.5,2417.5,2429.5,2435.6,2448.9,2462.3,2494.9,2503.8,2530.1,2547.8,2559.1,2579.5,2578.9,2587.2,2586.2,2591.2,2596,2616,2628.4,2648.9,2680.2,2688.8,2707.5,2719.1,2731.8,2743.6,2787.9,2808,2821.5,2836.8,2821.2,2834.5,2851.6,2861.2,2887.9,2911.6,2940.3,2979,3013.4,3045.3,3053.3,3038.7,3037.1,3051.8,3067.8,3076.4,3099,3110.1,3132.4,3164.1,3175.9,3183.2,3187,3170.7,3156.5,3149.5,3151.3,3162.9,3162,3163.3,3136.4,3079.9,3012.3,2982.6,2991,3042.7,3066.4,3066.5,3054.4,3058.4,3051.2,3067.6,3077.5,3082.2,3082.2,3084.4,3090.6,3123.7,3137.7,3146.6,3159.9,3179.3,3184.3,3205.6
"16","8","Government","B202RC1",799.8,805.2,808.2,811.5,814.6,820.2,824.8,828.5,832,835.5,839.7,842.6,858.8,861.8,864.1,866.6,870.8,873.7,875.4,878.8,879.1,880.7,882.8,884.6,899,904.1,907.1,908.9,913.3,919.3,916.8,915.4,914.7,918.3,919.9,923.1,936,939.9,945.4,953.4,950.9,952.4,953.9,956,957.6,960.3,963.4,964.6,980.9,982.9,983.6,985.6,987.7,989.5,992.8,993.9,996.7,997.8,1001.7,1004.9,1015.5,1019.1,1022.5,1025.5,1028.2,1031.3,1036,1040.1,1046.8,1049.4,1052.4,1055,1072.1,1077.3,1079.8,1080.7,1082.2,1085,1087.5,1092.5,1097.7,1100.2,1104,1109.3,1122.2,1127.4,1131.5,1134.6,1137.8,1142.2,1146.9,1150.8,1155,1158.8,1160.7,1159.7,1168.2,1167,1167.6,1173.5,1176.6,1178.6,1176.8,1176.4,1173.5,1174.8,1175.1,1174.8,1183.7,1185.2,1187.6,1190.1,1195.9,1193.4,1191.9,1184,1179.4,1181.9
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1. Other services-producing industries consists of information; finance and insurance; real",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","estate and rental and leasing; professional, scientific, and technical services; management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","of companies and enterprises; administrative and support and waste management and remediation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","services; educational services; health care and social assistance; arts, entertainment, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","recreation; accommodation and food services; and other services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Note. Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
