"","Table 2#3#2# Contributions to Percent Change in Real Personal Co","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"15","5","    Furnishings and durable household equipment","DFDHRZ2",NA,0.7,1.1,1.18,-1,1.32,0.52,-1.44,-1.67,0.58,1.89,1.93,-0.65,-0.89,7.27,-5.35,3,-4.36,0.5,0.77,-0.2,-0.04,0.23,1.23,-0.52,0.25,-0.05,0.04,-0.44,-0.06,0.3,0.92,1.18,0.24,0.76,-0.1,0.18,0.61,-0.47,0,-0.24,-0.06,-0.13,-0.49,0,-0.33,0.66,0.3,0.38,0.43,0.1,0.1,-0.32,0.17,-0.56,-0.09,-0.03,0.25,0.33,0.39,0.06,0.22,0.46,0.14,0.33,0.19,0.48,0.29,0.89,0.64,0.22,0.29,0.02,0.25,0.56,1,0.31,-0.04,0.59,-0.15,0.07,0.19,0.02,0.18,0.32,0.44,0.62,-0.14,0.14,0.19
"16","6","    Recreational goods and vehicles","DREQRZ2",NA,0.19,0.31,0.19,-0.33,0.15,-0.03,-0.35,0.15,-0.16,0.03,0.01,0.63,-0.24,1.92,-0.99,0.66,-0.58,0.3,0.22,-0.05,-0.11,-0.03,0.35,0.35,-0.06,-0.12,-0.08,0.01,0.13,0.28,0.3,0.18,0.28,0.26,0.18,0.05,0.26,0.05,0.13,-0.14,-0.16,0.16,-0.19,0.04,-0.17,0.24,0.18,0.4,0.1,-0.01,0.03,-0.09,0.13,-0.22,0.06,0.03,0.21,0.21,0.14,-0.03,0.15,0.24,0.18,0.1,0.27,0.11,0.14,0.54,0.49,0.28,0.26,0.19,0.45,0.37,0.84,0.49,0.35,0.57,0.34,0.02,0.12,0.27,0.53,0.22,0.12,0.51,0.06,0.26,0.15
"17","7","    Other durable goods","DODGRZ2",NA,-0.04,0.22,0.02,-0.03,0.02,0.04,0.05,-0.12,0,-0.05,0.14,0.01,0.12,0.43,-0.16,0.21,-0.06,0.1,0.15,-0.04,0.09,0.1,0.23,0.04,-0.05,-0.08,-0.07,-0.13,0.23,0.3,0.1,-0.18,0.22,0.03,0.23,-0.07,0.11,0.13,0.11,-0.18,-0.16,0.3,-0.06,-0.11,-0.05,0.13,0.09,-0.1,0.09,0.02,0.09,-0.08,0.09,-0.08,-0.01,-0.01,0.06,0.1,0.18,0.09,0.18,0.03,0.13,-0.05,0.08,0.09,-0.04,0.2,0.12,0.24,0.01,0.2,-0.05,0.23,0.45,0.45,-0.11,0.05,-0.08,-0.01,0.16,-0.05,0.11,0.14,0.33,0.09,0.05,0.1,-0.01
"18","8","  Nondurable goods","DNDGRZ2",NA,3.41,0.97,-2.39,0.81,1.96,-1.21,2.32,0.43,0.31,-1.71,3.08,2.36,2.1,3.24,-3.78,3.22,-2.51,3.77,2.2,-1.38,4.41,3.19,2.76,1.13,0.8,-1.57,0.25,1.69,-0.52,2.2,2.94,1.76,3.11,1.06,3.27,1.74,-0.51,0.05,1.32,1.01,0.65,2.34,-1.01,-1.37,1.53,3,2.16,2.03,1.24,0.56,0.98,0.45,1.83,-0.9,0.11,0.92,2.15,0.12,2.2,1.32,0.65,1.2,0.89,0.84,0.53,1.41,-0.18,2.63,2.91,2.97,0.28,1.47,1.42,2.27,5.66,1.13,1.41,1.1,-0.4,1.67,1.12,-0.13,0.66,2.93,1.81,2.35,0.03,1.61,0.32
"19","9","    Food and beverages purchased for off-premises consumption","DFXARZ2",NA,2.1,-0.27,-2.28,0.45,1.91,-2.02,1.86,0.16,0.02,-0.38,-0.07,2.17,0.39,0.21,-0.78,0.56,-0.13,1.65,-0.52,-0.39,2.65,1.29,0.77,1.89,0.16,-0.52,0.09,1.62,-0.19,2,1.5,0.56,1.34,0.7,1.24,1.24,-0.33,0.07,0.73,0.68,0.82,0.8,-0.18,-0.62,-0.11,0.77,0.98,1.49,0.5,0.47,0.51,-0.26,0.5,-0.45,-0.15,0.63,0.85,-0.14,0.39,-0.05,-0.08,0.6,-0.33,0,0.4,0.45,0.17,0.45,1.21,1.02,0.25,0.77,0.51,0.95,3.09,-0.29,0.16,0.21,-0.31,1.31,0.37,-0.35,0.85,0.8,1.17,1.16,0.21,0.8,-0.27
"20","10","    Clothing and footwear","DCLORZ2",NA,-0.56,0.67,-0.12,-0.52,0.22,0.39,1.01,0.11,-0.47,-1.35,1.85,0.01,0.79,1.57,-1.76,0.72,-1.52,0.74,0.47,-0.35,1.38,1.15,0.9,-1.32,0.93,-0.7,-0.52,0.38,-0.03,-0.14,0.85,0.47,1.02,-0.27,0.73,-0.02,0.1,0.31,-0.06,-0.43,-0.14,0.73,-0.81,-0.26,0.64,0.72,0.52,0.08,0.78,-0.24,0.3,0.11,0.23,-0.5,-0.12,0.28,0.32,0.25,0.86,0.16,0.35,0.14,0.25,-0.12,0.19,0.54,-0.27,1.24,0.81,0.46,0.3,0.03,-0.05,0.62,1.15,0.64,0.11,0.35,-0.27,0.02,0.23,0.13,-0.18,0.84,0.21,0.52,-0.21,0.3,0.11
"21","11","    Gasoline and other energy goods","DGOERZ2",NA,0.57,0.17,-0.05,0.41,-0.03,0.06,-0.41,-0.42,0.13,-0.05,0.28,0.25,0.85,0.41,-0.47,0.61,-0.22,0.39,0.33,-0.13,0.15,0.21,0.16,-0.01,-0.11,0.18,-0.05,0.12,0.06,0.4,0.52,0.31,0.46,0.17,0.49,0.15,-0.01,-0.28,0.4,0.23,-0.26,0.38,-0.05,0.13,0.58,0.32,0.12,-0.04,-0.02,-0.1,-0.01,0.18,0.47,-0.32,0,-0.24,0.48,-0.42,0.05,0.51,0.04,-0.02,0.42,0.44,-0.19,-0.06,0.15,0.31,0.43,0.53,-0.07,-0.07,0.44,0.41,0.2,0.02,0.42,0.23,0.09,-0.03,0.17,-0.04,0.31,0.37,0.03,0.19,-0.03,0.36,0.21
"22","12","    Other nondurable goods","DONGRZ2",NA,1.3,0.4,0.06,0.46,-0.14,0.37,-0.15,0.58,0.62,0.07,1.02,-0.07,0.07,1.05,-0.76,1.34,-0.65,1,1.92,-0.51,0.23,0.54,0.93,0.57,-0.18,-0.53,0.73,-0.44,-0.36,-0.06,0.07,0.42,0.28,0.47,0.8,0.37,-0.27,-0.05,0.26,0.53,0.22,0.44,0.03,-0.61,0.42,1.19,0.53,0.5,-0.02,0.43,0.18,0.42,0.62,0.37,0.38,0.25,0.5,0.43,0.9,0.69,0.34,0.49,0.54,0.52,0.14,0.48,-0.22,0.63,0.47,0.97,-0.19,0.75,0.52,0.29,1.21,0.76,0.72,0.31,0.09,0.36,0.35,0.12,-0.32,0.92,0.41,0.49,0.06,0.14,0.26
"23","13","Services","DSERRZ2",NA,2.24,-0.44,-0.95,1.45,2.29,0.74,1.52,1.01,0.84,-0.22,0.65,2.39,4.3,2.67,0.94,4.12,0.99,1.93,0.33,2.18,2.7,2.19,2.53,1.76,2.08,1.13,-1.15,1.69,3.18,3.12,2.2,2.13,1.29,1.84,3.51,1.73,1.73,1.9,2.38,0.7,1.49,1.25,1.84,-0.28,2.62,2.65,1.41,2.82,3.05,2.63,2.25,1.59,2.03,-0.25,1.8,1.91,2.86,0.59,3.47,1.83,2.9,1.67,2.48,0.78,2.13,3.42,2.65,3.23,2.78,2.61,2.64,2.31,2.95,2.73,3.45,2.03,2.07,1.61,2.1,1.79,1.94,2.67,1.67,3.25,3.16,2.62,2.17,1.78,2.42
"24","14","  Household consumption expenditures (for services)","DHCERZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.59,2.36,2.02,1.37,1.94,-0.27,1.86,2,2.63,0.51,3.28,1.75,2.97,1.75,2.55,0.76,1.95,3.19,2.43,2.9,2.71,2.62,2.64,2.33,2.77,2.46,3.23,1.95,2.16,1.7,2.18,1.67,1.74,2.38,1.43,3.15,3.16,2.6,2.15,1.79,2.38
"25","15","    Housing and utilities","DHUTRZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66,1.18,0.94,0.93,0.68,0.69,1.14,0.56,1.07,0.6,1.33,0.9,1.04,0.91,1.37,0.65,0.16,1.26,0.66,1.01,0.69,0.91,1.11,0.73,1.07,0.92,0.89,0.59,0.74,0.81,0.72,0.47,1.03,0.73,1.12,0.9,0.32,1.05,1,1.02,0.66
"26","16","    Health care","DHLCRZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,0.07,-0.05,0.25,0.14,-0.51,0.4,0.21,0.56,0.17,0.32,0.49,0.56,0.58,0.5,0.28,0.19,0.15,0.37,0.89,0.89,0.81,0.46,0.41,-0.07,-0.43,0,0.4,0.8,0.65,0.64,0.08,0.04,-0.03,0.06,0.68,0.98,0.63,0.67,0.46,0.35
"27","17","    Transportation services","DTRSRZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,0.22,0.13,0.07,0.03,0.03,0.02,-0.02,0.07,0.05,0.17,0.09,0.14,0.03,0.12,0.12,0.13,0.15,0.16,0.14,0.15,0.17,0.12,0.08,0.17,0.19,0.17,0.11,0.23,-0.01,0.32,0.13,0.04,0.17,0.14,0.22,0.19,0.22,0.18,0.19,0.18
"28","18","    Recreation services","DRCARZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,0.05,0.09,0.18,0.09,0.03,0.08,0.08,0.1,0.09,0.21,0.01,0.31,-0.18,0.12,0.11,0.04,0.39,-0.31,0.33,-0.07,0.08,0.28,0.05,-0.01,0.01,0.16,0.04,0.22,0.19,0.24,0.06,-0.2,0.34,-0.51,0.48,0.28,0.12,0.2,0.13,0.15
"29","19","    Food services and accommodations","DFSARZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,0.53,0.28,-0.41,0.38,-0.33,0.03,0.19,-0.19,-0.05,0.43,0.24,0.24,0.27,0.29,0.04,0.08,0.04,0.32,0.57,0.32,0.2,0.19,0.57,0.69,0.36,0.5,0.45,0.05,0.15,-0.22,-0.2,-0.21,0.26,0.25,0.95,0.22,0.28,0.03,-0.02,0.53
"30","20","    Financial services and insurance","DIFSRZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41,0.25,0.29,0.02,0.24,0.04,-0.09,0.76,0.42,-0.46,0.2,-0.24,0.35,-0.14,0.08,-0.23,0.41,0.58,0.61,-0.09,0.27,0.45,0.02,0.28,0.29,0.33,0.67,0.13,-0.11,-0.19,-0.3,0.68,0.31,0.6,-0.06,-0.22,1.05,0.15,0.09,-0.46,0.22
"31","21","    Other services","DOTSRZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72,0.06,0.33,0.33,0.38,-0.23,0.28,0.22,0.6,0.11,0.62,0.26,0.33,0.28,0.06,-0.22,0.93,0.61,0.62,0.05,0.46,0,0.45,0.22,0.63,1.07,0.85,0.22,0.23,0.09,0.79,0.45,0.72,0.32,0.43,0.14,0.13,0.15,-0.03,0.46,0.28
"32","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,0.27,0.24,0.22,0.09,0.02,-0.06,-0.09,0.23,0.08,0.19,0.08,-0.07,-0.08,-0.07,0.02,0.18,0.24,0.22,0.34,0.07,0,0,-0.03,0.18,0.27,0.22,0.08,-0.08,-0.09,-0.09,0.12,0.2,0.28,0.25,0.1,0,0.02,0.02,-0.01,0.04
"33","23","    Gross output of nonprofit institutions \2\","DNPERZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76,0.34,0.15,0.36,0.12,-0.47,0.22,0.01,0.92,0.1,0.37,0.28,0.08,0.13,0.12,0.26,0.44,0.39,0.42,0.69,0.23,0.11,0,0.35,0.44,0.48,0.44,0.4,0.29,0.07,0.13,0.27,0.53,0.55,0.47,0.33,0.47,0.14,0.35,0.29,0.31
"34","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,0.07,-0.09,0.14,0.03,-0.48,0.28,0.1,0.69,0.02,0.18,0.2,0.15,0.2,0.19,0.24,0.26,0.15,0.2,0.36,0.16,0.12,0,0.37,0.25,0.21,0.23,0.32,0.37,0.16,0.21,0.15,0.33,0.27,0.23,0.23,0.47,0.12,0.32,0.3,0.28
"35",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","25","  PCE excluding food and energy \4\","DPCCRZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.89,3.61,-0.13,3.71,4.09,-0.78,0.45,-0.43,4.23,2.62,7.58,3.57,5.02,2.58,5.41,1.95,4.07,4.72,3.19,6.98,5.58,5.82,0.82,8.5,3.21,5.65,8.35,6.21,0.19,4.11,1.78,1.08,4.6,2.56,1.01,8.57,5.22,6.13,1.53,3.13,2.82
"37","26","  Energy goods and services \5\","DNRGRZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.09,0.15,0.08,0.43,0.56,-0.35,0.24,-0.31,1.01,-0.52,0.29,0.8,0.07,0.11,0.71,0.77,-0.59,0.39,0.02,0.71,0.44,0.71,0.06,-0.07,0.77,0.45,0.28,0.12,0.7,0.33,0.21,-0.05,0.59,-0.14,0.63,0.52,-0.1,0.46,0.1,0.62,0.03
"38","27","  Market-based PCE \6\","DPCMRZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","28","  Market-based PCE excluding food and energy \6\","DPCXRZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
