"","Table 2#3#4# Price Indexes for Personal Consumption Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"22","15","    Housing and utilities","DHUTRG3",18.184,18.975,19.947,20.703,21.632,22.829,24.624,26.406,28.746,30.775,33.263,36.746,40.8,44.563,47.446,49.86,52.486,54.983,56.96,59.215,61.601,64.277,66.41,68.263,70.236,72.049,73.998,76.187,78.263,80.108,82.014,84.783,88.718,91.297,94.164,96.66,100,104.282,107.958,111.871,113.24
"23","16","    Health care","DHLCRG3",10.914,11.738,12.343,12.867,13.475,14.755,16.414,17.996,19.496,21.142,23.202,26.012,29.188,32.474,35.444,38.097,40.408,42.81,45.564,49.116,53.435,57.995,62.476,66.868,70.442,73.304,75.978,77.766,79.324,80.82,82.594,84.919,87.769,90.065,93.481,96.932,100,103.039,106.842,109.73,112.693
"24","17","    Transportation services","DTRSRG3",20.265,21.831,23.364,24.254,25.326,27.497,30.537,32.815,35.092,37.414,40.741,47.289,53.041,55.979,58.104,60.397,61.589,62.206,64.842,67.873,70.857,73.565,75.584,77.732,80.436,81.417,83.214,84.263,86.13,87.648,88.956,91.625,92.643,93.072,95.07,96.459,100,104.215,106.631,112.406,115.633
"25","18","    Recreation services","DRCARG3",22.476,23.514,24.548,25.177,26.071,27.879,29.934,31.416,32.919,34.887,37.191,40.004,42.553,44.873,46.821,48.845,50.953,52.922,54.974,57.083,59.921,63.192,66.478,68.541,70.736,72.246,73.839,76.299,78.766,80.716,83.311,86.536,89.372,91.943,94.761,97.27,100,103.37,106.237,109.542,110.815
"26","19","    Food services and accommodations","DFSARG3",18.121,19.461,20.499,21.257,22.71,25.337,27.619,29.447,31.579,34.34,38.047,41.732,45.46,48.059,50.135,52.396,54.648,56.888,59.203,61.748,64.544,67.499,70.194,71.684,73.09,74.373,76.128,78.179,80.497,82.654,84.79,87.16,89.644,91.818,93.773,96.889,100,103.35,107.394,111.644,114.375
"27","20","    Financial services and insurance","DIFSRG3",17.765,18.677,19.797,21.01,21.506,23.229,24.948,25.955,27.949,31.638,33.361,35.942,38.658,40.89,44.831,47.666,49.7,52.479,53.873,57.147,59.147,62.102,64.836,69.726,70.503,71.664,74.514,77.523,82.117,84.071,84.91,85.66,85.177,87.519,91.48,96.488,100,102.303,106.85,110.015,109.533
"28","21","    Other services","DOTSRG3",18.373,19.258,20.395,21.439,22.699,25.154,26.957,28.642,30.113,31.693,33.994,37.082,40.878,44.06,46.547,48.916,50.698,53.357,54.646,56.933,59.081,61.488,64.426,67.158,69.489,72.092,74.479,76.639,78.786,80.394,82.357,83.942,86.539,89.912,93.234,96.358,100,103.422,106.436,110.819,113.329
"29","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRG3",58.721,61.268,64.628,67.272,71.595,81.93,89.516,94.258,100.718,107.37,117.927,129.131,135.99,129.701,120.696,115.921,113.63,110.239,108.437,107.544,101.09,93.192,86.681,79.268,75.32,75.252,75.316,76.668,79.859,85.104,88.129,92.985,97.282,98.066,96.567,96.198,100,102.104,103.606,104.298,101.105
"30","23","    Gross output of nonprofit institutions \2\","DNPERG3",15.062,16.044,16.815,17.608,18.735,20.988,23.099,24.893,26.751,28.785,31.674,35.46,39.333,42.394,44.678,46.836,48.715,50.416,52.626,55.727,58.789,61.571,64.43,66.767,68.823,70.801,72.809,74.808,76.723,79.019,81.179,84.377,87.611,90.203,93.108,96.179,100,103.617,106.832,109.594,111.137
"31","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRG3",9.823,10.552,11.03,11.577,12.317,13.686,15.104,16.411,17.671,19.074,21.002,23.686,26.724,29.952,32.815,35.354,37.465,39.567,42.072,45.462,49.701,54.117,58.676,63.096,66.607,69.112,71.652,73.828,75.372,76.845,78.744,81.427,84.316,87.498,91.913,96.172,100,104.129,107.955,111.494,114.836
"32",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","25","  PCE excluding food and energy \4\","DPCCRG3",23.4,24.498,25.651,26.48,27.492,29.673,32.159,34.114,36.303,38.731,41.55,45.356,49.318,52.501,55.22,57.513,59.695,61.945,64.3,67.088,69.856,72.838,75.673,78.218,80.068,81.836,83.721,85.346,86.981,88.242,89.555,91.111,92.739,94.345,95.784,97.788,100,102.292,104.696,107.151,108.774
"34","26","  Energy goods and services \5\","DNRGRG3",13.846,14.176,14.678,15.058,16.357,21.326,23.429,25,27.112,28.639,35.713,46.658,52.932,53.857,54.36,55.046,55.626,48.741,49.28,49.657,52.591,57.038,57.29,57.557,58.081,58.307,58.766,61.517,62.163,56.906,59.237,70.117,71.79,67.582,76.18,85.021,100,111.413,119.358,136.449,110.25
"35","27","  Market-based PCE \6\","DPCMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.483,67.004,70.105,73.524,76.354,78.53,80.403,81.965,83.644,85.27,86.545,87.074,88.306,90.421,92.139,93.157,94.983,97.246,100,102.762,105.405,109.016,109.372
"36","28","  Market-based PCE excluding food and energy \6\","DPCXRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.475,68.287,71.319,74.601,77.744,80.316,82.42,84.138,85.921,87.325,88.616,89.611,90.722,92.092,93.715,95.11,96.403,98.078,100,102.234,104.365,106.778,108.826
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","4. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","5. Consists of gasoline and other energy goods and of electricity and gas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","6. Market-based PCE is a supplemental measure that is based on household expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","for which there are observable price measures.  It excludes most imputed transactions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","(for example, financial services furnished without payment) and the final consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","expenditures of nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
