"","Table 7#11# Interest Paid and Received by Sector and Legal Form ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27"
"32","24","    To federal government","B1133C1",0,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.8,0.9
"33","25","Monetary interest received","A2068C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.1,48.6,54.4,60.4,67.2,74.4,84.1,92.2,104.6,123.4
"34","26","  Domestic business \1\","A2069C1",5.9,6.3,7.1,7.8,8.6,9.6,10.8,12.1,12.9,14.6,16.7,18.9,20,23.2,26.4,27.7,30.9,34.3,37.9,41.6,47,51.3,59.3,70.9
"35","27","    Corporate business","A2070C1",5.9,6.3,7.1,7.7,8.5,9.5,10.7,11.9,12.7,14.3,16.5,18.7,19.8,22.9,26,27.3,30.4,33.8,37.4,41.2,46.7,50.9,58.8,70.2
"36","28","      Financial","B1134C1",5.3,5.8,6.5,7.1,7.7,8.7,9.8,11,11.8,13.3,15.2,17.2,18.4,21.1,23.9,25.1,28,31,34.3,38,42.9,46.6,53.4,63
"37","29","      Nonfinancial","B1135C1",0.6,0.5,0.6,0.6,0.7,0.8,0.9,0.9,0.9,1.1,1.3,1.5,1.4,1.9,2.2,2.2,2.4,2.8,3.1,3.3,3.8,4.2,5.4,7.3
"38","30","    Financial sole proprietorships and partnerships \4\","B1136C1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.4,0.3,0.4,0.5,0.7
"39","31","    Other private business","B1137C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","32","  Persons \4\","B1138C1",4.6,5.1,5.7,6.3,6.9,7.5,8,8.8,9.7,10.4,11.6,13.2,14.3,15.6,17.3,18.5,20.8,23.1,26,29,32.4,35.5,38.8,44.2
"41","33","    Publicly administered government employee retirement plans \5\","B1169C1",0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.9,1,1.1,1.3,1.5,1.7,1.9,2.2,2.6,2.7,2.9
"42","34","    Other \6\","B1170C1",4.4,4.9,5.4,6,6.6,7.2,7.6,8.4,9.3,9.9,11,12.6,13.7,14.7,16.3,17.4,19.5,21.7,24.3,27.1,30.2,32.9,36,41.3
"43","35","  Government","A2071C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,1.8,2,2.2,2.3,2.7,3.2,3.7,4.4,4.6
"44","36","    Federal","B1139C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.1,1.3,1.3,1.2,1.4,1.6,1.9,2.2,1.9
"45","37","    State and local","B1140C1",0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.7,0.7,0.8,0.9,1.1,1.3,1.6,1.9,2.2,2.8
"46","38","  Rest of the world","A2072C1",0,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.6,0.6,0.6,0.8,1,1.1,1.5,1.6,2.2,3.6
"47","39","    From business","B1141C1",0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,0.3,0.3,0.4,0.5,0.6,0.9,1,1.5,2.8
"48","40","    From federal government","B093RC1",0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.7,0.8
"49",NA,"          Imputed interest"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","41","Total imputed interest paid (43+70)","W294RC1",2.9,2.9,2.8,2.8,3,3,3.3,4,4.3,4.9,5.3,5.6,5.8,6.4,7.1,7.7,8,8.2,9.3,9.4,9.6,11,11.2,15
"51","42","Total imputed interest received (49+89)","W295RC1",2.9,2.9,2.8,2.8,3,3,3.3,4,4.3,4.9,5.3,5.6,5.8,6.4,7.1,7.7,8,8.2,9.3,9.4,9.6,11,11.2,15
"52",NA,"Depositor and insurance services:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","43","  Imputed interest paid","A2073C1",3.5,3.7,3.8,3.9,4.3,4.6,5.1,5.9,6.2,7,7.8,8.3,8.6,9.5,10.5,11.1,11.7,12.1,13.5,14.1,15.2,16.9,18.2,22.7
"54","44","    Domestic corporate business, financial","W353RC1",3.5,3.7,3.8,3.9,4.3,4.6,5.1,5.9,6.2,7,7.8,8.3,8.6,9.5,10.5,11.1,11.7,12.1,13.5,14.1,15.2,16.9,18.2,22.7
"55","45","      Banks, credit agencies, and investment companies","B1310C1",2.3,2.3,2.4,2.4,2.6,2.7,3,3.6,3.8,4.4,4.8,5,5,5.6,6.2,6.4,6.6,6.5,7.5,7.7,8.3,9.4,10.2,13.8
"56","46","      Life insurance carriers","B1311C1",1.1,1.3,1.3,1.4,1.6,1.7,1.8,2,2.2,2.4,2.7,3,3.3,3.5,3.9,4.3,4.7,5.1,5.5,5.9,6.3,6.8,7.2,8.1
"57","47","      Property and casualty insurance companies","W354RC1",0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.9
"58","48","    Rest of the world","W355RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","49","  Imputed interest received","A2074C1",3.5,3.7,3.8,3.9,4.3,4.6,5.1,5.9,6.2,7,7.8,8.3,8.6,9.5,10.5,11.1,11.7,12.1,13.5,14.1,15.2,16.9,18.2,22.7
"60","50","    Domestic business \1\","A2075C1",0.9,0.9,1,1,1,1.1,1.3,1.4,1.4,1.6,1.8,1.9,1.9,2.2,2.4,2.5,2.5,2.6,2.8,2.8,3.1,3.6,3.9,5.2
"61","51","      Corporate business","A2076C1",0.6,0.7,0.7,0.7,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.4,1.6,1.8,1.8,1.9,1.9,2.1,2.1,2.3,2.7,3,4
"62","52","        Financial","B1143C1",0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.9,1,1.3
"63","53","        Nonfinancial","B1144C1",0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1,1.1,1.1,1.1,1.2,1.2,1.3,1.4,1.5,1.5,1.6,1.9,2.1,2.8
"64","54","      Sole proprietorships and partnerships","A2077C1",0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.9,1.1
"65","55","        Farm","B1146C1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.3
"66","56","        Nonfarm","B1145C1",0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.9
"67","57","      Other private business","B2078C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","58","    Households and nonprofit institutions","W314RC1",2.1,2.5,2.4,2.5,2.9,3,3.3,3.9,4.2,4.8,5.4,5.7,6,6.5,7.2,7.8,8.3,8.6,9.6,10.2,11,12.1,12.9,15.7
"69","59","      Households","W315RC1",2.1,2.5,2.4,2.5,2.9,3,3.3,3.9,4.2,4.8,5.4,5.7,6,6.5,7.2,7.8,8.3,8.5,9.6,10.2,11,12.1,12.9,15.7
"70","60","        Owner-occupied housing","W316RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1
"71","61","        Persons","A1147C1",2.1,2.4,2.4,2.5,2.8,3,3.3,3.9,4.2,4.8,5.3,5.7,6,6.5,7.2,7.7,8.2,8.5,9.5,10.2,11,12,12.9,15.7
"72","62","          From banks credit agencies, and investment companies","B1611C1",1,1.1,1.1,1.1,1.2,1.2,1.3,1.8,1.9,2.3,2.6,2.6,2.5,2.8,3.1,3.2,3.4,3.2,3.8,4,4.4,4.9,5.2,7.2
"73","63","          From life insurance carriers","B1612C1",1.1,1.3,1.3,1.4,1.6,1.7,1.8,2,2.2,2.4,2.7,3,3.3,3.5,3.9,4.3,4.7,5.1,5.5,5.9,6.3,6.8,7.2,8.1
"74","64","          From property and casualty insurance companies","W356RC1",0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4
"75","65","      Nonprofit institutions","W317RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","66","    Government","A2079C1",0.4,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,0.9,0.8,1,1.1,1.4
"77","67","      Federal","B1148C1",0.3,0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.4,0.4,0.5,0.5,0.6
"78","68","      State and local","B1149C1",0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.8
"79","69","    Rest of the world","W357RC1",0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4
"80",NA,"Borrower services:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","70","  Imputed interest paid","W358RC1",-0.6,-0.8,-1,-1.1,-1.3,-1.6,-1.7,-1.9,-2,-2.1,-2.5,-2.7,-2.8,-3.1,-3.4,-3.4,-3.7,-3.9,-4.2,-4.8,-5.6,-5.9,-7,-7.8
"82","71","    Domestic business \1\","W296RC1",-0.4,-0.5,-0.7,-0.7,-0.8,-1,-1.1,-1.2,-1.2,-1.3,-1.5,-1.6,-1.7,-1.9,-2,-2.1,-2.2,-2.3,-2.5,-2.8,-3.4,-3.6,-4.3,-4.6
"83","72","      Corporate business","W297RC1",-0.3,-0.4,-0.6,-0.6,-0.7,-0.9,-0.9,-1,-1,-1.1,-1.3,-1.4,-1.4,-1.5,-1.7,-1.7,-1.8,-1.9,-2,-2.4,-2.8,-3,-3.6,-3.8
"84","73","        Financial","W298RC1",-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.3,-0.4,-0.3,-0.4,-0.4,-0.4,-0.5,-0.5,-0.5,-0.6,-0.6
"85","74","        Nonfinancial","W300RC1",-0.3,-0.4,-0.5,-0.5,-0.6,-0.7,-0.7,-0.8,-0.8,-0.8,-1,-1.1,-1.1,-1.2,-1.3,-1.4,-1.5,-1.5,-1.6,-1.9,-2.3,-2.5,-3,-3.2
"86","75","      Sole proprietorships and partnerships","W301RC1",0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.4,-0.4,-0.5,-0.6
"87","76","        Farm","W302RC1",0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3
"88","77","        Nonfarm","W303RC1",0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.3,-0.3
"89","78","      Other private business","W304RC1",0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2
"90","79","        Rental income of persons and proprietors' income","W359RC1",0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2
"91","80","    Households and nonprofit institutions","W305RC1",-0.1,-0.2,-0.3,-0.3,-0.4,-0.5,-0.6,-0.7,-0.7,-0.8,-0.9,-1,-1,-1.1,-1.2,-1.3,-1.4,-1.5,-1.6,-1.8,-2,-2.1,-2.5,-2.6
"92","81","      Households","W306RC1",-0.1,-0.2,-0.3,-0.3,-0.4,-0.5,-0.5,-0.6,-0.7,-0.8,-0.9,-1,-1,-1.1,-1.2,-1.3,-1.3,-1.4,-1.5,-1.7,-2,-2.1,-2.4,-2.5
"93","82","        Owner-occupied housing","W307RC1",-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.4,-0.4,-0.4,-0.4,-0.4,-0.5,-0.5,-0.5,-0.6,-0.6,-0.7,-0.8,-0.8
"94","83","        Persons","W308RC1",-0.1,-0.1,-0.2,-0.2,-0.2,-0.3,-0.3,-0.4,-0.4,-0.5,-0.5,-0.6,-0.6,-0.7,-0.8,-0.8,-0.9,-0.9,-1,-1.2,-1.4,-1.4,-1.7,-1.7
"95","84","      Nonprofit institutions","W309RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1
"96","85","    Government","W310RC1",-0.1,-0.1,-0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,-0.5
"97","86","      Federal","W311RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98","87","      State and local","W312RC1",-0.1,-0.1,-0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,-0.5
"99","88","    Rest of the world","W313RC1",0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2
"100","89","  Imputed interest received","W360RC1",-0.6,-0.8,-1,-1.1,-1.3,-1.6,-1.7,-1.9,-2,-2.1,-2.5,-2.7,-2.8,-3.1,-3.4,-3.4,-3.7,-3.9,-4.2,-4.8,-5.6,-5.9,-7,-7.8
"101","90","    Domestic corporate business, financial","W361RC1",-0.6,-0.8,-1,-1.1,-1.3,-1.6,-1.7,-1.9,-2,-2.1,-2.5,-2.7,-2.8,-3.1,-3.4,-3.4,-3.7,-3.9,-4.2,-4.8,-5.6,-5.9,-7,-7.8
"102","91","      Banks, credit agencies, and investment companies","W362RC1",-0.6,-0.8,-1,-1.1,-1.3,-1.6,-1.7,-1.9,-2,-2.1,-2.5,-2.7,-2.8,-3.1,-3.4,-3.4,-3.7,-3.9,-4.2,-4.8,-5.6,-5.9,-7,-7.8
"103",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","92","  Net interest (93+97+98+99)","B060RC1",1.8,2.3,2.4,2.7,3,3.4,3.8,4.5,5.3,5.9,6.5,7.7,9.2,9.3,10.2,12,13.7,14.7,16.9,19.1,21.7,24.7,26.2,31.8
"105","93","    Domestic business (2+44+71-26-50-90)","A1626C1",0.8,1.1,1,1.1,1.2,1.3,1.5,1.8,2.2,2.4,2.5,3,3.7,3.2,3.4,4.3,5,5.3,6.5,7.6,9.5,11.6,12.1,17.2
"106","94","      Corporate (3+44+72-27-51-90)","W499RC1",0,0.2,-0.1,-0.2,-0.3,-0.4,-0.5,-0.3,-0.1,-0.1,-0.3,-0.2,0.2,-0.5,-0.5,0,0.2,-0.1,0.3,0.7,1.7,3.2,3,6.8
"107","95","      Sole proprietorships and partnerships (8+75-30-54)","B1649C1",0.3,0.4,0.5,0.5,0.6,0.7,0.8,0.8,0.8,0.9,1,1.1,1.3,1.3,1.4,1.5,1.7,2,2.5,2.9,3.5,3.8,4.2,5.1
"108","96","      Other private business (11+78-31-57)","B1657C1",0.6,0.6,0.7,0.8,0.9,1.1,1.2,1.3,1.5,1.6,1.8,2,2.2,2.4,2.6,2.8,3.1,3.4,3.7,4,4.3,4.6,4.9,5.3
"109","97","    Owner-occupied housing (16+82-60)","W318RC1",0.9,1.1,1.3,1.4,1.6,1.9,2.2,2.5,2.9,3.3,3.9,4.6,5.2,5.9,6.6,7.2,8.1,8.8,9.8,10.7,11.5,12.2,13.1,14.5
"110","98","    Nonprofit institutions (18+84)","B1131C1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.6
"111","99","    Rest of the world (22+48+88-38-69)","A1627C1",0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0,0.2,0.1,0.1,0.3,0.4,0.5,0.5,0.6,0.5,0.6,0.4,-0.5
"112","100","  Net interest paid by government (19+85-35-66)","A085RC1",4.2,4.3,4.4,4.5,4.7,4.8,4.9,5,5.2,5.3,5.8,6.3,6.1,7.3,8,7.7,8.4,9,9.7,10.1,11,11.7,13.3,14.1
"113","101","  Personal interest payments (17+83)","B069RC1",0.7,0.9,1.3,1.6,2,2.2,2.6,3.2,3.4,4,4.6,4.9,5,5.5,6.2,6.5,7,7.9,8.9,9.9,10.7,11.1,12.2,14
"114","102","  Personal interest income (92+100+101) or (32+61+65)","A064RC1",6.7,7.6,8.1,8.8,9.7,10.5,11.3,12.7,14,15.2,16.9,18.9,20.3,22,24.5,26.2,29.1,31.7,35.6,39.2,43.4,47.5,51.6,59.9
"115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","1. Excludes interest paid or received by government enterprises, which is included in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","government sector.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","2. Consists of interest paid on the deposit liabilities of commercial and mutual savings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","banks, savings and loan associations, and credit unions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","3. Consists of nonmortgage interest paid by households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","4. Interest received by nonfinancial sole proprietorships and partnerships is considered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","interest received by persons and is included in line 32.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","5. Beginning with October 2002, includes the Uniformed Services Retiree Health Care Fund.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","6. Includes nonprofit institutions primarily serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","Note. In this table, imputed interest paid (line 41) is the sum of (1) premium supplements paid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","to property and casualty insurance carriers by households and institutions, governments,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
