"","Table 2#3#5U# Personal Consumption Expenditures by Major Type of","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220"
"11","2","Goods","DGDSRC0",169723,172618,174526,173564,175059,178398,177504,177103,175643,177565,179178,182848,185535,187793,189528,193023,195046,196687,199869,201017,206648,210932,216253,215176,222675,225584,230768,239672,246405,246956,252094,253022,253480,258504,260475,263505,274392,280854,290386,292834,298845,302664,306617,310588,314093,317558,321724,321802,333881,339822,343865,350898,357742,368369,377676,391474,407267,412682,420716,425878,435503,448598,463992,458056,467992,481542,502751,513052,530733,538969,550451,565061,580396,592927,603898,624307,629245,661000,672364,691665,707868,722167,753280,768437,792001,777829,801864,827481,860091,863785,881052,872542,886290,887949,901827,921095,925912,962633,990799,1015791,1037897,1063642,1066643,1086621,1110395,1126011,1156935,1157099,1170880,1174747,1216749,1220140,1215880,1251383,1281198,1276730,1308828,1326763,1341167,1372484,1388977,1421091,1441929,1443225,1489564,1479261,1496676,1499702,1485838,1497013,1508728,1498153,1533847,1548207,1573142,1597875,1606982,1634170,1649165,1679070,1705669,1726816,1758889,1794840,1788099,1803889,1826231,1843910,1871010,1915884,1925867,1957924,1986709,1974514,2020482,2045357,2045218,2090573,2121783,2182510,2207106,2275625,2314431,2362808,2417876,2442740,2475537,2500382,2506786,2518367,2523993,2586881,2569558,2599243,2631974,2639052,2673931,2683775,2769387,2785076,2838573,2860252,2897895,2971744,3000902,3049159,3126767,3130080,3181066,3211646,3255948,3250263,3296723,3349158,3378732,3431163,3422347,3466857,3456078,3181421,3125537,3142019,3244373,3265543,3318184,3321682,3360983,3458619,3561419,3604271,3643556,3690044,3755907,3741480,3792510,3842758,3872967
"12","3","  Durable goods","DDURRC0",43649,45464,46336,44103,45456,46434,45925,44689,42241,43320,44581,46683,47702,49047,49567,51546,52589,53882,54701,55739,57995,59477,61376,59377,64915,64817,66700,69128,72311,69720,72323,72626,71104,74482,74698,75641,80858,83084,87544,87826,90010,90448,90629,90844,89611,91009,92010,87326,98053,100989,103442,107303,110704,114065,117591,123418,131813,131296,130799,128203,126650,130582,136325,127148,131786,136693,146787,153393,163297,165898,169845,175455,183930,189223,193990,200704,198170,216187,216742,222300,223277,222101,230932,229049,232055,211916,225364,236230,246046,240936,251926,236842,246437,249227,252108,264356,268909,289584,302363,319270,331440,341270,342075,353839,368010,373251,396451,383753,391628,407293,445708,441133,418497,439101,460541,449949,470441,473223,470389,486162,486449,493343,505640,491885,515394,498408,493569,480946,471690,475248,484335,477454,496179,500989,512092,523065,527853,547844,556638,573796,588823,598720,609310,631828,621246,626905,642542,652259,659838,676342,679363,689639,705604,696574,722792,737149,737921,769795,785952,826355,821324,856434,873104,878561,923546,905010,915046,919516,930929,923893,928850,1001714,981300,986442,1010381,990286,981358,1011355,1043330,1043631,1057492,1062936,1075828,1095201,1105231,1134731,1142280,1111166,1150529,1145809,1156921,1166629,1175552,1186981,1194461,1196789,1162966,1146569,1106636,1019270,1016312,1010436,1052701,1038883,1049111,1070198,1082625,1115708,1133941,1131831,1144839,1175078,1204584,1200278,1218879,1251980,1273536
"13","4","    Motor vehicles and parts","DMOTRC0",18090,19335,20073,17658,19343,19942,20130,18912,16475,17127,17870,19416,20345,21303,21146,22751,23440,24220,24378,24947,25637,25876,27107,24587,29803,29031,29793,29952,31713,28734,29679,29583,27788,30514,30241,29862,33715,34446,36819,36675,37648,37131,37673,37340,34926,36242,36415,30569,40977,42504,43688,45763,46750,48431,49577,52700,57071,55834,54038,50489,47025,48140,52135,45364,47653,48551,55500,58869,65798,66961,68708,71220,78285,78729,79879,82290,80468,92443,91180,92601,92680,86786,91801,89432,91768,74693,84156,87103,96733,89827,98766,86737,97178,96916,98652,107309,106024,121549,127089,137119,143397,147234,146100,152035,162848,165666,185417,166330,169549,180300,208067,192160,169526,186315,204254,192628,205898,202318,196832,203806,206096,207677,216833,200478,218403,206218,202933,192921,181698,181444,191685,188165,198408,202283,206549,211953,210885,223647,225960,238369,247101,245670,247732,258868,250106,251630,257579,263521,269108,273434,273747,277651,291029,279468,296895,304939,294232,315038,320680,350869,333629,357349,361030,350913,379272,353586,358780,361274,372481,365645,368932,426100,393772,395262,421367,394986,389141,403151,412253,399554,400067,399719,403472,412231,407366,423867,424167,377364,393259,392238,398167,395579,396839,402910,400624,399303,378864,354116,332642,291477,299157,303624,341250,320033,321094,336453,346327,367012,374490,362244,367391,390255,402078,395955,404454,425530,435867
"14","5","    Furnishings and durable household equipment","DFDHRC0",15144,15547,15648,15733,15522,15709,15261,15207,15187,15412,15685,16005,16063,16239,16633,16761,17057,17234,17707,18044,18903,19525,19694,19946,19929,20182,20735,21797,22178,22216,23096,23082,23244,23566,23761,24145,24917,25771,26821,26848,27297,27850,27539,27667,27769,28001,28111,28726,29022,29501,30159,31092,32272,32815,33978,35025,37112,37708,38159,38865,40123,41225,41808,40406,40846,41939,43149,44514,45847,46407,47419,49015,51128,52557,53903,55831,55322,59034,59850,61813,62542,64337,66868,67268,67446,65971,67350,70606,71451,71805,72000,70588,70092,71285,71926,73940,76084,77862,81235,83900,85802,88770,89392,91367,91976,93435,95133,97937,100123,101938,105248,106508,107870,108892,110669,110714,112287,114541,115240,118550,120105,121273,121792,122383,124564,121244,119810,118143,118395,119879,118945,117917,121980,122968,125128,127077,128331,130822,132567,133750,135196,139262,142481,145104,144180,145002,148105,149680,148780,153860,154385,157115,157854,158893,161714,163500,168136,171610,174929,179642,184587,188129,193579,198445,204170,207707,210122,210423,212659,213203,214433,219465,224779,226505,224841,227347,224529,229630,235178,237824,242323,244673,248309,252674,255308,259652,262564,267602,273868,270292,270926,270729,273233,271233,270918,269805,264241,265140,257485,244684,237812,234648,234017,235230,238942,242398,240669,243385,245891,249580,253452,257892,264560,263958,266661,268136,271455
"15","6","    Recreational goods and vehicles","DREQRC0",6289,6374,6392,6420,6359,6473,6290,6334,6352,6518,6681,6771,6720,6835,7036,7182,7274,7545,7660,7779,8234,8694,8952,9203,9381,9823,10166,10976,11509,11922,12620,13061,13126,13258,13581,14346,14727,14934,15741,15933,16410,16736,16736,17048,17838,17632,17934,18294,18352,19036,19346,20055,21192,22028,22975,24171,25474,25094,25537,25281,25533,26618,27572,26617,27786,30179,31111,32374,33289,33666,34273,35461,35855,37305,38374,39383,40047,41548,41696,43515,44471,46326,46431,46112,45539,44638,46534,49251,48531,49643,51165,50175,49926,51119,51535,52567,54870,57205,59694,62852,65816,67131,67956,70472,72999,73346,73707,76249,77741,79626,84939,89760,89772,91688,93007,92742,96272,99270,100198,103769,100770,103640,105231,105981,106704,105749,105223,104557,106159,108052,109176,107474,109458,108897,111345,114279,118577,122220,124758,128338,131789,138439,142006,149126,148846,151260,156839,157944,159665,164689,166330,169036,170572,172416,176299,179242,184096,189218,195558,199416,204068,210175,215452,221140,231393,232780,235322,236770,235544,237686,238978,246851,250997,251344,250886,252803,253378,259562,271182,278718,284801,288083,292834,296307,304922,311768,314813,319758,331555,330340,333079,341384,342563,345872,352478,356684,349898,355709,346704,323731,321130,311921,315799,320375,322986,325435,326960,331271,336486,338708,341048,344227,350199,351012,355054,359545,363056
"16","7","    Other durable goods","DODGRC0",4126,4208,4223,4292,4232,4310,4244,4236,4227,4263,4345,4491,4574,4670,4752,4852,4818,4883,4956,4969,5221,5382,5623,5641,5802,5781,6006,6403,6911,6848,6928,6900,6946,7144,7115,7288,7499,7933,8163,8370,8655,8731,8681,8789,9078,9134,9550,9737,9702,9948,10249,10393,10490,10791,11061,11522,12156,12660,13065,13568,13969,14599,14810,14761,15501,16024,17027,17636,18363,18864,19445,19759,18662,20632,21834,23200,22333,23162,24016,24371,23584,24652,25832,26237,27302,26614,27324,29270,29331,29661,29995,29342,29241,29907,29995,30540,31931,32968,34345,35399,36425,38135,38627,39965,40187,40804,42194,43237,44215,45429,47454,52705,51329,52206,52611,53865,55984,57094,58119,60037,59478,60753,61784,63043,65723,65197,65603,65325,65438,65873,64529,63898,66333,66841,69070,69756,70060,71155,73353,73339,74737,75349,77091,78730,78114,79013,80019,81114,82285,84359,84901,85837,86149,85797,87884,89468,91457,93929,94785,96428,99040,100781,103043,108063,108711,110937,110822,111049,110245,107359,106507,109298,111752,113331,113287,115150,114310,119012,124717,127535,130301,130461,131213,133989,137635,139444,140736,146442,151847,152939,154749,158937,162917,166966,170441,170997,169963,171604,169805,159378,158213,160243,161635,163245,166089,165912,168669,174040,177074,181299,182948,182704,187747,189353,192710,198769,203158
"17","8","  Nondurable goods","DNDGRC0",126074,127154,128190,129461,129603,131964,131579,132414,133402,134245,134597,136165,137833,138746,139961,141477,142457,142805,145168,145278,148653,151455,154877,155799,157760,160767,164068,170544,174094,177236,179771,180396,182376,184022,185777,187864,193534,197770,202842,205008,208835,212216,215988,219744,224482,226549,229714,234476,235828,238833,240423,243595,247038,254304,260085,268056,275454,281386,289917,297675,308853,318016,327667,330908,336206,344849,355964,359659,367436,373071,380606,389606,396466,403704,409908,423603,431075,444813,455622,469365,484591,500066,522348,539388,559946,565913,576500,591251,614045,622849,629126,635700,639853,638722,649719,656739,657003,673049,688436,696521,706457,722372,724568,732782,742385,752760,760484,773346,779252,767454,771041,779007,797383,812282,820657,826781,838387,853540,870778,886322,902528,927748,936289,951340,974170,980853,1003107,1018756,1014148,1021765,1024393,1020699,1037668,1047218,1061050,1074810,1079129,1086326,1092527,1105274,1116846,1128096,1149579,1163012,1166853,1176984,1183689,1191651,1211172,1239542,1246504,1268285,1281105,1277940,1297690,1308208,1307297,1320778,1335831,1356155,1385782,1419191,1441327,1484247,1494330,1537730,1560491,1580866,1575857,1594474,1595143,1585167,1588258,1612801,1621593,1648766,1692573,1672420,1726057,1741445,1781081,1797316,1822067,1876543,1895671,1914428,1984487,2018914,2030537,2065837,2099027,2083634,2121171,2162177,2184271,2234374,2259381,2320288,2349442,2162151,2109225,2131583,2191672,2226660,2269073,2251484,2278358,2342911,2427478,2472440,2498717,2514966,2551323,2541202,2573631,2590778,2599431
"18","9","    Food and beverages purchased for off-premises consumption","DFXARC0",61240,61261,61769,62119,61765,62939,62513,63009,63704,63934,63601,63749,64301,64367,64997,64962,65243,65346,66350,66542,67648,68892,70398,71023,71659,73218,74788,78106,79541,80589,81217,81092,81869,81971,82498,83900,85710,87920,90158,91538,93066,94114,95928,98376,101637,102599,104057,105730,105682,107247,107132,108438,109715,113835,115772,118566,121140,124031,129669,132017,137625,139639,145762,149127,151462,154809,159768,160228,163337,165833,168542,171476,175037,178888,180281,184875,188634,193791,198479,203545,210921,215700,220077,226781,232794,235963,241285,246626,250608,253984,256698,260062,262258,265873,268587,271846,270915,275722,279786,281721,285441,290612,293517,294838,297823,300540,303773,309677,314516,314120,316276,320746,321893,323996,325238,326124,332985,339885,347087,351271,357772,361995,367828,373958,382993,390002,395755,395953,400563,406296,405069,399885,402724,402249,404850,408032,408289,411418,414433,419748,423942,430151,435240,439104,440815,442461,443819,447897,453374,460108,464283,469750,473505,471791,476392,477422,478576,483651,488782,495018,502918,509294,515596,526466,524140,535554,541342,548789,552018,559304,562044,565461,566233,567505,569226,575465,582567,580798,591862,594885,603775,607394,614486,626197,632857,639449,647555,658111,662752,669914,675511,688588,698703,704600,714455,727071,732518,749245,757122,746692,739726,739765,741068,748705,758038,753315,757715,773482,791797,807298,817257,824399,827030,827455,829183,832590,838106
"19","10","    Clothing and footwear","DCLORC0",24785,25501,25440,25739,25877,26197,25866,25817,26063,26279,26616,27325,27365,27779,28016,28275,28193,28421,29002,28856,30147,31011,31443,31739,31889,31901,32750,34095,35102,35524,36293,36328,36759,37376,37956,38097,39753,40763,42141,42382,43367,44046,44841,45073,44879,45017,45288,46616,47357,48986,49500,50344,51049,52479,54150,56287,58311,58964,59392,60305,61630,62714,63568,61777,64118,66474,68077,68801,70258,71015,73007,74484,75696,77390,79847,84288,84709,89074,90498,92989,93176,94669,98109,99530,100218,100590,103933,107268,110921,112453,114727,114610,116065,114873,117179,118863,120499,125300,127905,132079,134380,138195,137287,140626,143070,145660,148005,150646,153434,156979,158876,159512,164184,166687,169457,170581,172747,175026,179295,185788,186202,189582,191482,194322,195670,195682,195928,193698,196226,200294,201335,198537,205755,208875,213453,216853,215434,217917,220185,222674,224881,225452,227681,231727,228497,229680,233430,233373,234990,239775,240423,242979,243688,244403,249883,252009,254621,257668,257448,261484,267506,271455,272167,273260,275940,280083,282522,284781,280641,278398,275289,277146,279184,278670,275506,281979,279059,283300,291088,291197,298061,295173,297534,304021,308319,313989,312502,321264,323080,325361,328189,332619,336827,334130,334585,336183,332467,339050,333261,318851,317639,313242,317296,319793,327089,329390,331023,339052,342268,347465,351139,355858,363134,362966,368884,368416,371204
"20","11","    Gasoline and other energy goods","DGOERC0",15127,15276,15208,15548,15496,15861,15917,15962,15756,15729,15729,15677,16064,16197,16127,16875,17126,16746,16863,16954,17194,17434,17937,18072,18296,18937,19435,19858,19886,20432,20965,21339,21451,21812,21886,22355,22978,22978,23442,23469,24261,25029,25057,25525,25858,26098,26333,26854,27385,27354,27742,28106,28337,28366,29506,31364,32524,33454,34235,37087,39208,44174,45647,46369,45652,46948,49400,50079,51134,51593,53228,56097,56562,57323,57900,59482,60205,60596,61166,63846,68799,75076,86106,91569,101649,102881,100975,102086,113447,114406,112599,113319,111964,106083,108679,106674,102964,105309,109281,108270,108041,109584,106991,108186,108140,111509,111049,111428,106606,89533,84804,83822,91653,96230,97925,99667,98420,99618,100873,100492,103503,116218,110673,111361,116415,113800,125454,141128,124728,119582,119775,120428,120106,124100,126849,128976,128645,126443,125055,127385,127371,124823,132233,132495,134528,135756,132615,130719,139096,147835,143460,148590,152162,144325,146479,147678,136557,132637,133311,130931,127937,146216,155862,165228,178420,187700,193987,195235,191103,196164,185702,161363,154060,174708,180368,189112,218947,191661,211295,215999,234678,240591,247380,275045,276004,275051,330890,333201,323014,341592,361641,314738,330583,363385,368006,397085,418310,444022,466938,312564,261438,275714,321481,338709,357921,335245,344152,372213,419165,431379,435032,427638,440543,428467,443126,448884,443154
"21","12","    Other nondurable goods","DONGRC0",24922,25116,25773,26055,26465,26967,27283,27626,27879,28303,28651,29414,30103,30403,30821,31365,31895,32292,32953,32926,33664,34118,35099,34965,35916,36711,37095,38485,39565,40691,41296,41637,42297,42863,43437,43512,45093,46109,47101,47619,48141,49027,50162,50770,52108,52835,54036,55276,55404,55246,56049,56707,57937,59624,60657,61839,63479,64937,66621,68266,70390,71489,72690,73635,74974,76618,78719,80551,82707,84630,85829,87549,89171,90103,91880,94958,97527,101352,105479,108985,111695,114621,118056,121508,125285,126479,130307,135271,139069,142006,145102,147709,149566,151893,155274,159356,162625,166718,171464,174451,178595,183981,186773,189132,193352,195051,197657,201595,204696,206822,211085,214927,219653,225369,228037,230409,234235,239011,243523,248771,255051,259953,266306,271699,279092,281369,285970,287977,292631,295593,298214,301849,309083,311994,315898,320949,326761,330548,332854,335467,340652,347670,354425,359686,363013,369087,373825,379662,383712,391824,398338,406966,411750,417421,424936,431099,437543,446822,456290,468722,487421,492226,497702,519293,515830,534393,542640,552061,552095,560608,572108,581197,588781,591918,596493,602210,612000,616661,631812,639364,644567,654158,662667,671280,678491,685939,693540,706338,721691,728970,733686,747689,755058,760062,767225,774035,776086,787971,792121,784044,790422,802862,811827,819453,826025,833534,845468,858164,874248,886298,895289,907071,920616,922314,932438,940888,946967
"22","13","Services","DSERRC0",140335,143460,146756,149831,151876,154408,155251,157576,159563,162593,163877,167474,170068,173448,175583,178362,179904,182392,186200,189722,193724,197418,200999,204657,207858,211884,215876,220928,224631,229181,233196,238077,241936,246046,251337,255847,262951,270274,276920,283407,289598,297146,303512,311540,319111,325588,333359,339985,346928,355040,363414,372604,383133,391037,400258,411237,420036,430227,440637,450594,459157,474606,488010,503782,520086,535303,547879,566539,582642,594073,611976,631109,651265,666740,686969,704790,729833,755706,775375,795297,814716,841029,864400,892762,915954,932209,966858,1009110,1032308,1060166,1082372,1105677,1129879,1154730,1188869,1231332,1266329,1293744,1335729,1363370,1387589,1420485,1456115,1485349,1533047,1561409,1598916,1626636,1656357,1684440,1713886,1749774,1788870,1820494,1857066,1896222,1944679,1986257,2039227,2080833,2118747,2148898,2184824,2230283,2269154,2332588,2378531,2396322,2423904,2466279,2499967,2540422,2606300,2645308,2694510,2748371,2777927,2817945,2867112,2901986,2944735,2983032,3027427,3061824,3100551,3153605,3196654,3236177,3285533,3332896,3378544,3426765,3480353,3529467,3592859,3652757,3712300,3779642,3846212,3895703,3950339,4014342,4084444,4162053,4265110,4332911,4406193,4480738,4551353,4600311,4627255,4680285,4739418,4804143,4859229,4914139,4971956,5043594,5112579,5176159,5259490,5333673,5418585,5502078,5591029,5681184,5769002,5865984,5945099,6037623,6115768,6206575,6304968,6371789,6438991,6517562,6596165,6659628,6679702,6679888,6642901,6621856,6644418,6696956,6750921,6826575,6882600,6943330,7004885,7080619,7147616,7183773,7251326,7325686,7361919,7406860,7499770
"23","14","  Household consumption expenditures (for services)","DHCERC0",135483,138471,141625,144567,146546,149109,149990,152360,154380,157177,158331,161761,164275,167703,169908,172745,174225,176520,180088,183387,187085,190723,194282,197932,201086,204859,208537,213294,216843,221409,225462,230367,234064,237845,242725,246847,253749,261011,267540,273869,279905,287226,293307,301026,308365,314643,322061,328620,335234,342998,350901,359540,369963,377636,386787,396818,405956,415593,425913,435517,443461,458133,471443,486787,502819,517709,529469,547610,562724,574166,592012,610620,630189,645672,665045,681692,706340,731597,750599,769781,787774,813450,836793,863696,885845,900905,934491,975336,997759,1024555,1045690,1067463,1090912,1115170,1148286,1190086,1224672,1251573,1292485,1318809,1342275,1373430,1407897,1435569,1483957,1511640,1548150,1574878,1602830,1628911,1657866,1693381,1731828,1763005,1797767,1835923,1881147,1920452,1971154,2011197,2049428,2077717,2112121,2156624,2193973,2254184,2296655,2313329,2341391,2382748,2415165,2454285,2517393,2553826,2600559,2653337,2684531,2724151,2772096,2805705,2846400,2882129,2923350,2955658,2995387,3047098,3089086,3126737,3172163,3216747,3260869,3311099,3369584,3419386,3480916,3536562,3590154,3651187,3711852,3756682,3809984,3871034,3937677,4010857,4108442,4171351,4238355,4305334,4371527,4415395,4438390,4489078,4543119,4601333,4650488,4701971,4760590,4832016,4900979,4965659,5050085,5124057,5208837,5293344,5390886,5475870,5554963,5638651,5715491,5801108,5869513,5959045,6056231,6126334,6182250,6252832,6324950,6377818,6389163,6385110,6360547,6345499,6366607,6415448,6472493,6546321,6603587,6662399,6722133,6790482,6848052,6888453,6956361,7019370,7060600,7103865,7201482
"24","15","    Housing and utilities","DHUTRC0",51312,52171,53398,54512,55463,56191,57034,58193,58795,59975,60641,61795,62851,63865,64945,66243,67114,67434,68684,69597,70616,71498,72611,73871,74752,76062,77215,78446,79458,80627,81729,83090,84072,85603,86892,88808,90472,91499,93456,95566,97712,99524,102197,104494,106212,107939,110471,113065,115841,118633,121302,124148,126807,129575,132238,136119,138559,141794,145318,148269,151488,156434,160795,165599,169970,174897,178722,182518,186962,190900,196503,204286,210162,213282,221138,226642,234466,241253,246733,254664,262397,268138,275988,287089,296109,305653,316937,328573,333837,347861,357660,368451,378127,381666,388879,399200,405576,415679,426573,436818,441280,454149,463916,473733,487646,492024,505202,517799,521744,531664,540557,548772,555327,567035,577081,587794,600015,607002,620042,630753,640091,647246,658369,676702,675231,692182,706053,711956,719717,733894,740371,748179,755129,766941,774463,788213,797011,805825,821890,833279,849502,863945,871783,880635,891370,908171,923572,932008,948823,957663,961960,976541,987946,1001344,1014697,1035642,1040927,1061188,1076292,1082548,1101001,1118115,1136933,1144131,1159621,1184388,1208100,1242108,1271151,1281324,1295739,1302760,1313006,1328430,1339205,1358416,1375352,1389916,1397408,1412869,1428574,1449323,1470733,1500884,1531778,1566313,1600387,1631830,1643203,1676818,1707832,1716860,1735889,1749735,1763365,1775616,1802039,1825184,1838565,1858366,1870169,1868762,1870063,1877228,1882484,1885636,1896779,1902824,1909668,1926023,1945248,1938852,1935245,1968328,1983491,1976358,2011722
"25","16","    Health care","DHLCRC0",14464,14728,14939,15195,15547,16089,15987,16497,16641,17051,17222,17567,18138,18817,19483,20105,20469,20759,21096,21583,22672,23735,24726,25464,26061,26194,25869,26027,26731,28059,29307,30616,31193,31664,32136,32722,34128,35947,37326,38902,40259,41601,42540,43831,45474,46654,48272,50256,51257,52882,54632,56129,57619,59037,60637,62079,64445,66479,68055,69722,71857,74612,77426,80434,84534,87718,89522,94225,97328,100338,103356,106376,109719,114804,117979,120260,125249,129524,132784,137249,141661,146077,151006,156614,162440,165681,174674,183848,191413,199026,206166,211047,215362,221097,228279,235991,243577,250173,256245,262505,269178,273638,278739,284352,290984,297707,306086,314004,320589,325844,332633,341572,350593,360978,371927,380547,392680,404418,416734,426373,437112,444815,454494,468414,483084,499376,515239,527102,536322,548092,561328,577295,593101,607776,620468,629794,638783,644977,652806,658668,667116,675466,684685,694578,707806,715580,723568,732589,736339,748009,754783,769130,776346,785383,796489,805572,820166,829312,836745,841958,848878,856132,867807,881542,893835,910022,926690,943151,966200,985031,1006119,1028907,1052407,1074898,1094207,1109978,1123030,1139082,1156031,1174464,1195045,1218006,1241558,1259348,1287796,1300878,1316295,1330594,1351218,1367409,1377619,1398368,1434292,1447476,1462153,1486851,1513026,1526494,1538997,1551956,1573504,1595439,1613130,1624274,1626794,1648349,1674716,1702243,1726717,1749580,1754245,1775938,1800423,1803451,1825909,1842608,1862293
"26","17","    Transportation services","DTRSRC0",8386,8585,8830,8983,9091,9127,9202,9297,9357,9501,9606,9785,9923,10129,10187,10295,10401,10526,10682,10872,11086,11248,11448,11617,11745,12007,12266,12515,12627,12945,13084,13612,13886,14072,14425,14721,15188,15628,16093,16580,17128,17726,18232,18823,19400,19706,20344,20725,21189,22047,22846,23356,23990,24286,24709,25192,25570,25918,26225,26598,27365,28079,28827,29615,30457,31418,32607,33695,34892,35730,36442,37557,39437,40832,42313,42998,43720,44991,45830,46257,48139,49916,51311,53454,54188,53833,56035,57412,59299,58834,60497,60528,60037,60918,62396,63564,64970,67107,70341,73178,76751,79170,80359,83783,87355,89632,91044,92549,93374,94046,95436,97178,99500,101803,104447,106637,109379,112617,115904,118700,121107,121817,121993,122471,124655,126738,126862,127233,122886,122767,123874,125166,129306,130819,135354,139007,141732,144102,147304,151259,155542,160090,164175,167782,170630,175505,180763,184886,187498,192189,196997,203137,208428,212751,216594,219458,222301,224951,229075,232315,236021,240612,246112,250396,255535,260745,264676,268052,268161,266341,260517,255881,256584,256774,256132,257436,259725,260397,264980,267723,270638,272152,274272,277769,280782,284122,287847,291093,293069,297169,298245,301492,305028,306116,307817,309129,309324,309433,306948,297940,289819,283521,282025,282560,283302,286483,288845,291893,296562,301072,304399,306054,309391,313047,313646,314932,319207
"27","18","    Recreation services","DRCARC0",5642,5875,6010,6156,6341,6443,6521,6615,6743,6855,6980,7202,7247,7556,7429,7587,7708,7786,8220,7990,8353,8315,8459,8789,8868,8903,8968,9163,9288,9629,9882,10273,10418,10261,10812,10314,11085,11583,11874,12268,12577,12950,12949,13226,13676,13864,14123,14346,14598,14927,15190,15753,15857,16111,16450,16899,17593,18205,18501,19093,19589,20416,21372,22413,23056,23159,23800,24596,25174,25892,27097,27976,28178,29022,30024,31025,31663,32280,33380,34077,35263,36345,37281,38012,39066,39898,41256,43129,44683,46548,48199,49075,50677,51654,53142,54426,56375,58815,60331,62195,63641,65115,66968,68745,70987,73147,74788,76908,78432,79267,80644,83134,84578,86126,87961,90443,93812,97619,100942,104564,107777,109733,112027,113124,117217,120886,123463,125507,124856,125994,127706,130172,135071,138345,141052,144734,147895,151516,156124,157967,160564,163111,166417,168546,173685,179594,183293,187797,189818,193625,198349,200540,204108,207286,209510,212366,216549,218040,222027,225730,229602,235452,242450,247642,250208,254211,258150,259328,263430,263203,262995,264579,267909,271052,273549,278818,281078,286639,293300,299329,306733,312071,315939,318427,322985,325793,328870,335289,341936,347614,353159,363076,367829,374131,377944,381495,384752,385559,382344,374980,372800,369100,369575,371256,374294,374538,380330,384870,385915,394315,397634,400273,404626,409496,413096,413696,417634
"28","19","    Food services and accommodations","DFSARC0",18949,19465,20093,20446,20295,20658,20457,20528,20812,20781,20874,21388,21691,22048,22451,22836,23011,23205,23272,23735,24360,24813,25040,25298,26044,26867,27498,28313,29013,29409,30005,30110,30335,30503,31147,31843,33468,34200,35101,35609,36030,37345,37727,38742,40284,41662,42262,42287,42529,43237,44176,45246,47025,48245,49599,50674,52731,53504,55530,57566,57850,59723,61404,63477,65539,68028,68957,72760,75095,76754,79297,80061,84800,85598,85665,86595,90232,95187,99992,103005,107068,108528,111431,116658,118460,119475,122103,126847,131637,133861,134590,135573,137129,141017,144565,147322,150098,151971,155080,157049,161618,162685,167010,168351,170546,174569,175366,176715,181356,185258,187811,192323,198093,202182,205120,212123,214895,222439,230327,235726,237496,239795,244803,248292,257001,262063,266674,265200,266442,274091,275802,277246,285059,280601,284249,295341,293500,297763,301743,301418,302128,307896,311225,313426,312686,316180,318504,319492,321033,325591,328522,334446,340022,342081,347750,348388,354175,360828,364286,372747,373129,377865,381999,393332,402915,408979,413740,414870,421157,420286,421091,422379,431725,436972,440380,443654,448381,459218,470269,478805,487720,493707,502962,511924,520312,530921,536769,547625,562082,563669,571102,583943,588381,595651,604024,613937,612359,620044,622014,618590,610779,605968,604588,607643,617947,628096,634790,643221,654788,666346,676257,686399,700505,709030,714080,730742,738986
