"","Table 7U# Chain-Type Price Indexes for BEA Retail and Food Servi","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24"
"12","5","S4 PN4412ZZMG     Other motor vehicle dealers","T070053",87.326,88.58,91.112,93.615,94.754,94.596,94.738,96.209,97.727,98.871,98.498,98.168,98.681,100,102.556,102.306,102.402,102.983,105.865,108.856,110.483
"13","6","S2 PN4413ZZMG     Automotive parts, accessories and tire stores","T070063",91.155,90.141,90.067,90.607,91.009,91.019,90.642,90.587,91.451,93.701,95.398,96.649,97.595,100,104.102,107.6,112.876,116.681,118.795,122.831,125.669
"14","7","S1 PN44DZZZMG   Furniture, home furnishings, electronics and appliance stores","T070073",148.707,149.2,150.446,149.569,147.52,143.673,138.549,132.025,127.408,121.205,115.028,108.434,103.927,100,95.764,90.532,86.245,82.166,76.774,72.988,69.063
"15","8","S1 PN442ZZZMG     Furniture and home furnishings stores","T070083",100.156,101.337,103.468,104.291,105.228,105.514,105.895,105.421,105.419,104.473,102.848,100.681,99.986,100,99.949,98.557,97.497,97.069,93.314,92.143,91.268
"16","9","S4 PN4421ZZMG       Furniture Stores","T070093",100.884,102.485,105.155,106.267,107.612,107.558,107.401,107.055,106.671,105.03,102.973,101.403,100.884,100,100.488,99.32,98.053,97.534,93.125,91.649,91.827
"17","10","S4 PN4422ZZMG       Home furnishings stores","T070103",99.519,100.073,101.437,101.864,102.256,102.993,104.08,103.443,103.912,103.827,102.729,99.878,98.99,100,99.356,97.721,96.885,96.555,93.535,92.713,90.646
"18","11","S1 PN443ZZZMG     Electronics and appliance stores","T070113",227.188,225.7,224.503,220.106,212.305,200.778,185.789,169.098,157.024,142.733,130.034,117.543,108.337,100,91.56,82.938,76.247,69.867,63.693,58.585,53.169
"19","12","S1 PN444ZZZMG   Building material and garden equipment and supplies dealers","T070123",84.481,91.535,93.937,93.992,95.113,97.332,94.398,94.382,93.867,93.213,92.415,93.347,98.855,100,100.289,101.047,101.376,100.157,100.429,101.691,103.702
"20","13","S2 PN4441ZZMG     Building material and supplies dealers","T070133",83.901,92.091,94.527,94.266,94.551,97.249,94.846,95.294,94.215,93.146,92.433,92.953,98.498,100,100.293,100.192,99.983,98.644,99.207,100.579,102.881
"21","14","S3 PN4442ZZMG     Lawn and garden equipment and supplies stores","T070143",87.534,88.029,90.226,92.182,98.399,97.752,91.78,89.064,92.01,94.05,92.663,96.647,101.868,100,100.246,108.517,113.233,112.909,111.104,111.687,111.953
"22","15","S1 PN445ZZZMG   Food and beverage stores","T070153",75.052,76.286,77.366,78.838,81.511,83.219,84.575,86.712,89.126,91.858,93.377,95.098,98.066,100,101.859,105.518,111.781,113.448,114.702,119.442,122.261
"23","16","S1 PN4451ZZMG     Grocery stores","T070163",74.721,75.989,77.129,78.655,81.363,83.052,84.428,86.551,88.947,91.721,93.228,94.971,98.011,100,101.895,105.648,112.075,113.625,114.938,119.994,122.957
"24","17","S3 PN4452ZZMG     Specialty food stores","T070173",74.914,76.217,77.644,79.222,82.127,83.955,85.276,86.676,88.582,91.456,92.941,94.9,98.234,100,101.717,105.855,112.891,113.787,114.278,119.482,122.501
"25","18","S2 PN4453ZZMG     Beer, wine, liquor stores","T070183",80.127,80.769,80.675,81.225,83.191,85.148,86.219,88.912,91.82,93.908,95.609,96.906,98.702,100,101.469,103.732,107.67,111.069,111.962,112.874,113.969
"26","19","S1 PN448ZZZMG   Clothing and clothing accessories stores","T070193",120.03,119.492,118.181,115.849,114.221,113.503,111.213,109.623,108.165,106.628,103.954,101.278,100.878,100,100.118,100.383,100.877,101.801,101.477,103.839,106.775
"27","20","S2 PN4481ZZMG     Clothing stores","T070203",120.951,120.23,118.403,115.541,114.131,114.009,111.81,110.732,109.608,107.569,104.687,101.899,101.312,100,99.581,98.94,98.114,98.697,97.852,99.554,102.765
"28","21","S2 PN4482ZZMG     Shoe stores","T070213",110.228,110.453,109.386,107.848,107.06,106.912,105.807,103.281,101.755,100.931,99.49,97.879,97.612,100,100.615,102.836,105.55,107.636,108.373,109.04,112.015
"29","22","S3 PN4483ZZMG     Jewelry, luggage, and leather goods stores","T070223",124.568,124.058,125.093,124.472,120.898,116.799,112.851,109.914,107.084,107.144,104.298,101.199,101.555,100,102.306,105.493,111.148,113.014,115.043,123.412,124.35
"30","23","S1 PN452ZZZMG   General merchandise stores","T070233",100.369,100.814,101.21,101.185,101.976,102.347,101.973,102.022,102.255,102.351,101.385,100.037,100.049,100,100.088,99.827,100.551,99.08,96.62,96.275,95.072
"31","24","S1 PN4521ZZMG     Department stores","T070243",108.599,108.853,109.035,108.43,108.653,108.695,107.745,107.115,106.665,105.857,104.02,101.691,100.828,100,99.427,98.39,97.588,96.579,93.629,92.648,92.003
"32","25","S2 PN4529ZZMG     Other general merchandise stores","T070253",89.819,90.684,91.526,92.607,94.479,95.45,96.017,97.072,98.213,99.362,99.27,98.78,99.483,100,100.529,100.742,102.32,100.609,98.376,98.321,96.865
"33","26","S1 PN44EZZZMG   Other retail stores","T070263",74.763,75.35,76.116,77.038,79.589,80.079,77.439,79.996,86.938,86.678,85.317,88.909,93.59,100,104.374,108.809,116.525,106.057,112.201,121.476,123.232
"34","27","S1 PN446ZZZMG     Health and personal care stores","T070273",72.76,74.668,76.316,77.187,78.873,80.056,81.839,84.871,87.664,90.922,93.764,95.56,97.702,100,103.111,104.532,106.683,109.44,111.956,114.696,117.349
"35","28","S1 PN447ZZZMG     Gasoline stations","T070283",54.759,54.509,54.64,55.478,58.609,58.944,53.092,57.66,70.933,69.24,66.247,74.973,85.468,100,110.011,119.506,135.155,106.13,123.34,149.532,154.716
"36","29","S1 PN451ZZZMG     Sporting goods, hobby, book, and music stores","T070293",107.698,108.209,109.073,109.208,109.836,109.243,108.115,106.133,105.12,104.635,103.291,101.962,101.317,100,99.011,97.468,96.789,96.412,95.122,95.009,94.946
"37","30","S4 PN4511ZZMG       Sporting goods, hobby, and musical instrument stores","T070303",117.746,117.898,118.769,118.59,118.736,117.682,115.259,112.072,109.913,108.126,105.442,103.148,101.926,100,98.726,96.226,94.85,94.189,92.893,93.082,93.3
"38","31","S4 PN4512ZZMG       Book, periodical, and music Stores","T070313",88.953,90.065,90.902,91.549,92.945,93.117,94.136,94.23,95.283,97.271,98.598,99.292,99.91,100,99.733,100.875,102.355,102.919,101.671,100.441,99.29
"39","32","S1 PN453ZZZMG     Miscellaneous store retailers","T070323",91.393,92.658,94.32,96.582,98.319,99.318,99.785,100.741,101.425,101.373,100.752,99.651,100.299,100,99.704,100.904,103.48,105.195,104.529,104.481,103.989
"40","33","S3 PN4531ZZMG       Florists","T070333",97.479,95.922,96.366,98.997,96.682,94.318,95.452,93.754,97.352,100.14,100.249,99.799,102.569,100,99.046,97.891,95.665,96.375,93.968,93.51,93.349
"41","34","S3 PN4532ZZMG       Office supplies, stationery, and gift stores","T070343",106.507,108.014,109.73,112.644,115.39,117.397,117.697,116.036,114.363,112.359,109.861,106.429,103.653,100,96.711,96.474,96.64,94.158,91.248,88.76,86.339
"42","35","S4 PN4533ZZMG       Used merchandise stores","T070353",108.32,108.774,109.306,109.042,109.315,108.874,107.567,106.843,106.757,105.673,103.773,101.855,101.537,100,98.789,100.493,103.114,102.48,99.849,99.372,98.945
"43","36","S4 PN4539ZZMG       Other miscellaneous store retailers","T070363",76.667,78.53,80.574,82.705,84.678,85.822,86.562,89.857,91.826,92.897,93.734,94.33,97.309,100,102.224,104.734,109.788,115.516,117.412,119.574,120.638
"44","37","S1 PN454ZZZMG     Nonstore retailers","T070373",91.16,92.033,92.741,93.201,96.204,96.408,94.455,94.528,99.352,98.415,95.727,95.937,97.035,100,101.127,104.376,110.881,105.879,106.095,107.68,106.845
"45","38","S2 PN4541ZZMG       Electronic shopping and mail-order houses","T070383",108.101,109.454,110.757,111.094,111.789,111.593,110.963,110.216,109.556,108.217,105.9,102.621,100.963,100,99.219,101.464,103.26,102.771,101.044,99.643,98.433
"46","39","S4 PN4542ZZMG       Vending machine operators","T070393",74.077,75.447,76.668,78.278,81.045,82.924,84.61,86.693,88.699,91.6,93.267,95.223,98.349,100,101.637,110.321,135.303,136.456,136.942,143.079,146.524
"47","40","S4 PN4543ZZMG       Direct selling establishments","T070403",66.838,67.169,67.284,67.595,71.925,72.214,68.646,69.369,81.439,80.635,77.008,82.509,88.387,100,106.041,111.72,131.915,110.958,118.512,132.687,133.47
"48","41","S1 PN722ZZZMG Food services and drinking places","T070413",72.489,73.818,75.013,76.661,78.561,80.735,82.742,84.827,87.053,89.839,92.26,94.168,97.008,100,103.123,106.896,111.623,115.411,116.715,119.409,122.806
"49","42","S4 PN7221ZZMG   Full-service restaurants","T070423",72.322,73.692,74.907,76.574,78.514,80.704,82.844,85.071,87.252,90.127,92.45,94.439,97.117,100,103.271,107.09,111.532,114.67,116.195,118.936,122.023
"50","43","S4 PN7222ZZMG   Limited-service eating places","T070433",73.012,74.234,75.381,76.985,78.804,80.931,82.756,84.628,86.894,89.542,92.067,93.833,96.865,100,102.901,106.625,111.807,116.48,117.485,120.121,123.92
"51","44","S4 PN7223ZZMG   Special food Services","T070443",73.165,74.439,75.608,77.247,79.112,81.248,83.37,85.563,87.684,90.433,92.643,94.539,97.15,100,103.15,106.889,111.116,114.272,115.797,118.534,121.632
"52","45","S4 PN7224ZZMG   Drinking places (alcoholic beverages)","T070453",68.523,70.38,71.821,73.696,75.973,78.433,80.598,83.03,85.501,88.703,91.482,93.884,96.987,100,103.673,107.506,111.891,115.018,116.549,119.272,122.396
"53",NA,"              Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","46","S1 PN04472BMG   Retail and food services except motor vehicle and parts dealers","T070463",85.615,86.938,87.847,88.565,90.292,91.168,90.188,91.345,94.068,94.391,93.807,94.856,97.464,100,101.829,103.932,107.783,104.524,106.002,109.921,111.118
"55","47","S1 PN44GZZZMG   Retail trade except motor vehicle and parts dealers","T070473",87.691,89.009,89.864,90.421,92.116,92.776,91.312,92.323,95.122,95.068,94.034,94.955,97.53,100,101.645,103.511,107.239,102.995,104.498,108.584,109.476
"56","48","S2 PN44BZZZMG   GAFO-Department store merchandise stores \1\","T070483",113.368,113.672,113.948,113.488,113.451,112.94,111.396,109.785,108.669,107.222,104.917,102.284,101.205,100,99.004,97.709,97.22,95.693,93.086,92.442,91.402
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","S1=Based on Census advance data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","S2=Based on Census preliminary and final data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","S3=Based on unpublished Census data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","S4=Based on unpublished Census data, seasonally adjusted by BEA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","1. Includes industries PN442ZZZMG, PN443ZZZMG, PN448ZZZMG, PN451ZZZMG,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","PN452ZZZMG, and PN4532ZZMG.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
