"","Table 2#3#4U# Price Indexes for Personal Consumption Expenditure","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57"
"30","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRG3",49.469,46.3,46.765,47.428,48.189,48.409,49.76,51.587,53.261,55.299,58.741,61.288,64.65,67.295,71.619,81.958,89.546,94.29,100.753,107.406,117.967,129.175,136.036,129.745,120.737,115.96,113.669,110.277,108.474,107.58,101.124,93.224,86.71,79.295,75.345,75.277,75.342,76.694,79.886,85.133,88.159,93.017,97.315,98.099,96.591,96.201,100,102.059,103.546,104.295,101.118,100.042,100.644,100.239
"31","23","    Gross output of nonprofit institutions \2\","DNPERG3",10.811,11.082,11.288,11.501,11.778,12.063,12.414,12.845,13.433,14.14,15.062,16.045,16.815,17.608,18.735,20.988,23.099,24.893,26.752,28.785,31.674,35.46,39.333,42.395,44.679,46.837,48.715,50.416,52.627,55.728,58.789,61.572,64.43,66.768,68.823,70.802,72.81,74.808,76.723,79.02,81.18,84.378,87.612,90.204,93.109,96.179,100,103.621,106.839,109.591,111.062,113.078,115.204,117.254
"32","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRG3",6.494,6.995,7.157,7.309,7.513,7.767,7.997,8.268,8.697,9.21,9.822,10.551,11.029,11.577,12.317,13.686,15.103,16.411,17.671,19.074,21.001,23.685,26.723,29.951,32.814,35.353,37.464,39.565,42.07,45.461,49.7,54.116,58.674,63.094,66.605,69.109,71.65,73.825,75.369,76.843,78.741,81.424,84.313,87.495,91.91,96.172,100,104.144,107.976,111.484,114.802,118.042,120.77,123.815
"33",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","25","  PCE excluding food and energy \4\","DPCCRG3",18.699,19.033,19.272,19.534,19.788,20.091,20.345,20.805,21.442,22.362,23.412,24.51,25.664,26.493,27.505,29.687,32.174,34.13,36.32,38.749,41.569,45.377,49.342,52.526,55.247,57.541,59.724,61.974,64.331,67.12,69.889,72.872,75.709,78.256,80.106,81.875,83.761,85.386,87.022,88.284,89.597,91.154,92.783,94.39,95.823,97.815,100,102.265,104.631,107.02,108.536,110.214,111.802,113.711
"35","26","  Energy goods and services \5\","DNRGRG3",12.236,12.518,12.565,12.606,12.615,12.543,12.801,13.004,13.295,13.492,13.852,14.181,14.684,15.064,16.363,21.335,23.438,25.01,27.123,28.651,35.727,46.677,52.954,53.879,54.382,55.068,55.649,48.761,49.3,49.677,52.612,57.061,57.313,57.58,58.104,58.331,58.79,61.542,62.188,56.929,59.261,70.146,71.819,67.61,76.21,85.049,100,111.432,119.387,136.645,110.004,121.364,140.957,143.543
"36","27","  Market-based PCE \6\","DPCMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.519,67.041,70.144,73.565,76.396,78.573,80.448,82.01,83.69,85.318,86.593,87.122,88.355,90.471,92.19,93.209,95.028,97.272,100,102.739,105.34,108.909,109.163,110.82,113.641,115.741
"37","28","  Market-based PCE excluding food and energy \6\","DPCXRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.511,68.325,71.359,74.642,77.787,80.361,82.465,84.184,85.969,87.374,88.665,89.66,90.772,92.143,93.767,95.163,96.449,98.106,100,102.209,104.304,106.666,108.641,109.76,111.311,113.321
"38",NA,"Personal consumption expenditures by major function (From NIPA table 2.5.4):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","29","      Personal consumption expenditures","DPCERG3",18.314,18.615,18.81,19.032,19.254,19.536,19.819,20.322,20.834,21.645,22.626,23.685,24.692,25.536,26.913,29.716,32.198,33.966,36.171,38.705,42.137,46.663,50.833,53.64,55.948,58.065,59.965,61.427,63.618,66.151,69.025,72.18,74.789,76.989,78.679,80.302,82.078,83.864,85.433,86.246,87.636,89.818,91.53,92.778,94.658,97.121,100,102.723,105.499,108.943,109.004,111.087,113.79,115.79
"40","30","Household consumption expenditures \7\","DPHCRG3",17.949,18.268,18.46,18.676,18.893,19.173,19.446,19.936,20.436,21.233,22.188,23.228,24.211,25.036,26.381,29.11,31.537,33.269,35.428,37.912,41.268,45.709,49.827,52.679,55.067,57.235,59.168,60.673,62.9,65.465,68.454,71.768,74.534,76.924,78.737,80.399,82.215,84.011,85.543,86.255,87.607,89.726,91.374,92.634,94.606,97.144,100,102.74,105.551,109.072,109.233,111.415,114.184,116.261
"41","31","  Food and beverages purchased for off-premises consumption","DFXARG3",19.841,20.007,20.108,20.26,20.473,20.886,21.308,22.207,22.235,22.909,23.936,25.271,25.847,27.079,30.506,35.145,37.787,38.49,40.757,44.657,49.043,53.166,56.954,58.452,59.124,60.9,61.563,63.012,65,66.938,70.469,73.911,76.232,76.817,77.891,79.195,80.912,83.38,84.969,86.037,87.446,89.499,92.13,93.542,95.296,98.255,100,101.688,105.647,112.066,113.366,113.724,118.23,120.887
"42","32","  Clothing, footwear, and related services","DCAFRG3",48.715,49.513,49.826,50.043,50.537,51.036,51.549,53.047,55.261,58.282,61.388,63.731,65.986,67.173,69.451,74.787,78.355,81.062,84.641,86.651,88.844,92.564,96,97.682,99.195,99.931,102.194,101.978,104.986,108.419,110.218,113.887,116.192,117.155,116.727,115.017,112.55,111.362,111.542,109.708,108.474,107.404,105.632,103.156,100.852,100.688,100,99.789,99.029,98.574,99.607,99.081,100.841,104.427
"43","33","  Housing, utilities, and fuels","DHUFRG3",15.019,15.268,15.493,15.651,15.825,15.942,16.089,16.322,16.615,17.002,17.539,18.299,19.244,19.951,20.922,22.485,24.26,26.016,28.374,30.359,33.19,37.094,41.365,44.991,47.675,50.059,52.564,54.697,56.652,58.852,61.244,64.068,66.101,67.871,69.795,71.551,73.448,75.725,77.761,79.459,81.344,84.444,88.292,90.712,93.729,96.358,100,104.404,108.145,112.389,113.104,113.614,115.6,117.745
"44","34","  Furnishings, household equipment, and routine household maintenance","DFHHRG3",32.907,33.47,33.599,33.695,33.84,34.021,34.144,34.7,35.592,37.136,38.524,39.832,40.97,41.767,42.97,47.43,53.168,56.228,59.092,62.357,66.623,72.271,77.883,82.298,84.613,86.093,87.738,88.988,90.704,92.431,93.801,95.318,96.826,98.013,98.665,99.84,100.686,101.562,101.831,102.312,102.204,102.99,103.015,102.071,99.824,99.204,100,100.565,100.374,101.088,101.775,99.079,98.469,98.909
"45","35","  Health","DHLTRG3",8.311,8.75,8.871,9.002,9.175,9.42,9.657,10.017,10.541,11.098,11.779,12.571,13.153,13.637,14.196,15.421,17.083,18.645,20.151,21.812,23.852,26.641,29.834,33.138,36.124,38.791,41.161,43.598,46.358,49.831,54.038,58.532,62.988,67.28,70.671,73.381,75.825,77.593,79.102,80.646,82.606,85.024,88.013,90.493,93.711,96.999,100,103.179,106.553,109.296,112.281,115.219,117.583,119.995
"46","36","  Transportation","DTRNRG3",20.604,20.691,20.824,21.126,21.215,21.327,21.527,21.667,22.194,22.892,23.649,24.493,25.533,25.89,26.841,30.719,33.531,35.727,37.905,40.231,46.312,55.47,61.103,61.772,62.396,63.489,64.632,61.894,64.569,66.029,69.161,72.232,73.476,74.638,76.561,78.578,80.846,82.983,83.725,81.547,83.373,88.608,88.397,87.2,89.439,93.11,100,105.02,108.74,115.928,104.857,113.984,126.191,129.396
"47","37","  Communication","DCMCRG3",47.612,48.477,48.68,48.733,49.666,49.947,49.396,48.513,49.245,50.095,50.871,51.437,54.732,57.853,59.249,62.524,64.533,68.327,69.144,70.469,70.721,71.879,79.381,87.677,92.68,98.709,102.353,105.575,103.571,103.733,104.125,104.093,106.354,106.694,107.245,109.242,109.801,110.253,111.013,110.081,107.594,104.288,102.981,103.484,103.051,101.12,100,99.525,96.872,98.158,99.594,99.333,98.043,98.131
"48","38","  Recreation","DRRLRG3",42.95,43.818,44.377,44.827,45.561,46.369,46.675,47.171,48.231,50.122,51.9,53.439,55.711,56.833,58.207,62.168,66.842,69.518,72.156,75.366,79.614,85.595,91.074,95.169,97.174,98.745,100.265,100.961,102.638,104.757,107.634,110.402,113.31,114.42,114.873,115.568,115.593,114.87,113.047,110.612,108,106.869,105.473,103.843,102.181,101.28,100,98.894,97.224,96.871,95.294,92.728,90.928,89.955
"49","39","  Education","DEDURG3",5.748,5.869,5.978,6.105,6.24,6.38,6.606,6.905,7.187,7.518,7.975,8.509,8.971,9.442,10.134,11.404,12.389,13.289,14.153,14.921,16.204,17.977,20.091,22.38,24.321,26.411,28.425,30.414,32.572,34.986,37.456,40.088,43.324,46.898,50.241,53.185,56.094,59.081,61.932,64.76,67.951,71.37,75.206,80.093,86.195,93.331,100,106.339,112.519,119.082,125.742,131.65,137.909,144.178
"50","40","  Food services and accommodations","DFSARG3",13.05,13.403,13.673,14.012,14.315,14.537,14.824,15.396,16.25,17.098,18.122,19.461,20.499,21.258,22.711,25.337,27.62,29.447,31.58,34.341,38.048,41.734,45.461,48.061,50.136,52.397,54.65,56.89,59.204,61.75,64.546,67.501,70.196,71.686,73.092,74.375,76.13,78.181,80.499,82.656,84.792,87.162,89.647,91.821,93.775,96.894,100,103.365,107.41,111.62,114.211,115.765,118.699,122.112
"51","41","  Financial services and insurance","DIFSRG3",11.639,12.148,12.558,13.076,13.091,13.639,13.986,14.829,15.169,16.293,17.749,18.66,19.779,20.991,21.487,23.208,24.926,25.932,27.924,31.609,33.331,35.909,38.623,40.852,44.791,47.623,49.655,52.432,53.824,57.095,59.093,62.045,64.777,69.662,70.439,71.599,74.446,77.453,82.042,83.994,84.833,85.582,85.099,87.439,91.399,96.478,100,102.262,106.822,110.197,108.99,116.468,118.374,120.969
"52","42","  Other goods and services","DOISRG3",14.14,14.445,14.541,14.679,14.971,15.338,15.689,16.095,16.639,17.359,18.333,19.331,20.132,21.031,21.973,23.906,25.903,27.279,28.769,30.516,32.981,37.274,40.544,43.348,46.952,49.163,50.902,52.976,55.785,58.855,62.334,66.055,69.562,72.351,74.205,75.286,77.091,78.539,80.142,82.368,86.474,89.259,91.866,93.913,95.446,97.408,100,103.229,107.377,111.493,116.553,119.894,122.891,125.159
"53","43","  Net foreign travel and expenditures abroad by U.S. residents","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","44","Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRG3",49.469,46.3,46.765,47.428,48.189,48.409,49.76,51.587,53.261,55.299,58.741,61.288,64.65,67.295,71.619,81.958,89.546,94.29,100.753,107.406,117.967,129.175,136.036,129.745,120.737,115.96,113.669,110.277,108.474,107.58,101.124,93.224,86.71,79.295,75.345,75.277,75.342,76.694,79.886,85.133,88.159,93.017,97.315,98.099,96.591,96.201,100,102.059,103.546,104.295,101.118,100.042,100.644,100.239
"55","45","  Gross output of nonprofit institutions \2\","DNPERG3",10.811,11.082,11.288,11.501,11.778,12.063,12.414,12.845,13.433,14.14,15.062,16.045,16.815,17.608,18.735,20.988,23.099,24.893,26.752,28.785,31.674,35.46,39.333,42.395,44.679,46.837,48.715,50.416,52.627,55.728,58.789,61.572,64.43,66.768,68.823,70.802,72.81,74.808,76.723,79.02,81.18,84.378,87.612,90.204,93.109,96.179,100,103.621,106.839,109.591,111.062,113.078,115.204,117.254
"56","46","  Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRG3",6.494,6.995,7.157,7.309,7.513,7.767,7.997,8.268,8.697,9.21,9.822,10.551,11.029,11.577,12.317,13.686,15.103,16.411,17.671,19.074,21.001,23.685,26.723,29.951,32.814,35.353,37.464,39.565,42.07,45.461,49.7,54.116,58.674,63.094,66.605,69.109,71.65,73.825,75.369,76.843,78.741,81.424,84.313,87.495,91.91,96.172,100,104.144,107.976,111.484,114.802,118.042,120.77,123.815
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
