"","Table 5#8#4A# Price Indexes for Gross Government Fixed Investmen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32"
"13","6","Structures \2\","B760RG3",16.374,17.809,19.264,20.426,22.247,26.35,29.249,29.927,31.168,33.01,36.341,40.866,45.431,48.436,49.016,49.524,50.463,52.022,54.046,55.705,57.32,59.216,60.108,60.523,62.162,64.178,66.938,68.9,70.949
"14","7","  Federal","B801RG3",15.007,16.204,17.636,18.957,21.202,23.847,26.973,28.361,30.308,31.993,35.737,39.537,43.195,45.933,46.724,48.405,49.634,50.296,52.05,53.818,56.784,58.701,60.262,61.05,63.101,65.2,67.87,69.757,71.303
"15","8","    National defense","B808RG3",12.654,13.643,14.987,16.272,19.539,22.016,24.131,25.231,27.683,28.843,34.12,36.888,39.092,40.842,41.431,44.276,45.666,45.773,48.01,49.887,53.631,55.268,56.945,58.116,61.575,63.761,66.525,68.303,70.44
"16","9","      New","B814RG3",12.37,13.374,14.678,15.958,19.385,21.924,24.067,25.299,27.677,28.844,34.122,36.919,39.099,40.851,41.439,44.283,45.673,45.78,48.018,49.894,53.633,55.272,56.949,58.119,61.576,63.761,66.525,68.304,70.441
"17","10","        Buildings","B815RG3",12.437,13.22,14.543,14.842,16.763,17.883,19.135,19.914,22.596,23.902,31.317,33.158,35.103,39.267,40.587,45.006,44.743,41.511,43.92,48.31,55.022,56.935,58.119,56.865,59.463,61.811,64.409,65.902,67.935
"18","11","          Residential","B816RG3",11.581,11.871,12.533,12.969,14.885,15.321,16.289,17.177,19.968,21.156,30.482,30.998,31.597,36.432,38.279,45.273,44.221,38.202,40.779,45.998,54.567,56.217,57.186,54.839,58.436,61.45,63.986,65.193,67.043
"19","12","          Industrial","B817RG3",16.729,18.163,20.381,20.485,22.145,26.163,28.618,28.364,29.873,31.47,34.56,39.085,43.934,47.074,47.497,47.894,48.804,50.319,52.343,54.386,56.406,58.957,60.508,60.572,61.663,62.646,65.397,67.598,70.125
"20","13","        Military facilities \3\","B818RG3",12.279,13.35,14.64,16.348,20.492,23.782,26.414,27.886,30.05,31.129,35.228,38.504,40.783,40.729,40.778,42.479,44.944,47.4,49.475,49.896,51.929,53.369,55.423,58.472,62.445,64.523,67.362,69.272,71.453
"21","14","      Net purchases of used structures","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","15","    Nondefense","B830RG3",16.884,18.251,19.739,21.069,22.466,25.24,29.097,30.684,32.384,34.383,37.516,41.918,46.404,49.781,50.728,51.411,52.482,53.677,54.919,56.52,58.534,60.67,62.143,62.723,64.047,66.101,68.715,70.67,71.859
"23","16","      New","B831RG3",16.887,18.25,19.729,21.058,22.455,25.227,29.083,30.669,32.366,34.294,37.425,41.821,46.374,49.755,50.694,51.355,52.429,53.589,54.873,56.608,58.592,60.75,62.227,62.791,64.166,66.224,68.826,70.791,72.087
"24","17","        Buildings","B832RG3",16.643,17.914,19.582,20.875,22.555,25.522,27.97,28.359,30.015,32.147,35.375,39.718,43.959,47.201,48.438,49.785,51.283,52.763,54.41,56.921,59.002,60.997,62.08,62.335,64.253,66.401,69.046,70.748,72.087
"25","18","          Residential","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","19","          Industrial","B834RG3",17.269,18.919,20.353,21.276,23.095,27.279,29.723,29.484,31.044,32.664,35.895,40.618,45.525,48.877,49.357,49.747,50.678,52.292,54.418,56.523,58.609,61.228,62.881,62.984,64.083,65.18,67.93,70.279,72.087
"27","20","          Educational \4\","B835RG3",16.273,16.898,18.943,20.084,21.772,23.944,26.483,27.396,29.746,32.386,35.965,39.841,43.648,46.318,47.694,49.587,51.124,52.556,54.099,56.959,59.107,60.867,61.768,62.133,64.223,66.722,69.294,70.982,72.087
"28","21","          Hospital","B836RG3",15.847,17.315,19.26,20.841,22.245,25.09,27.568,27.819,28.654,30.241,33.194,37.034,40.829,44.426,46.935,49.334,51.541,53.004,54.678,56.708,58.616,60.635,62.142,62.262,63.977,66.343,69.226,70.791,72.087
"29","22","          Other \5\","B837RG3",16.245,17.286,18.862,20.172,21.808,24.175,26.58,27.494,29.545,32.454,35.789,39.934,43.529,46.372,47.815,49.646,51.269,52.68,54.155,56.956,59.095,60.898,61.751,62.066,64.269,66.701,69.245,70.818,72.087
"30","23","        Highways and streets \6\","B838RG3",17.943,19.884,21.362,22.075,23.789,30.646,34.046,33.02,33.507,33.746,36.567,42.309,49.992,54.411,53.529,51.594,51.915,54.505,57.737,58.822,59.138,61.493,62.489,62.531,63.232,64.873,68.336,71.332,72.087
"31","24","        Conservation and development","B839RG3",17.156,18.472,19.935,21.393,22.669,24.851,29.351,31.835,33.718,35.802,38.965,43.226,47.521,50.822,51.876,52.505,53.416,54.152,54.857,56.168,58.362,60.644,62.558,63.538,64.565,66.649,68.979,70.902,72.087
"32","25","        Other \7\","B840RG3",16.98,18.521,19.976,21.501,23.02,27.669,30.965,31.281,32.968,34.293,37.333,42.441,47.878,52.165,51.964,51.443,52.227,53.834,55.978,57.146,58.441,60.594,62.132,62.578,63.43,65.334,68.216,70.618,72.087
"33","26","      Net purchases of used structures","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","27","  State and local","B842RG3",16.631,18.105,19.567,20.702,22.444,26.817,29.676,30.221,31.323,33.196,36.443,41.104,45.847,48.905,49.438,49.695,50.573,52.315,54.395,56.029,57.424,59.319,60.118,60.481,62.058,64.063,66.837,68.811,70.923
"35","28","    New","B843RG3",16.632,18.144,19.624,20.75,22.489,26.94,29.818,30.338,31.405,33.241,36.48,41.156,45.933,49.014,49.546,49.77,50.656,52.394,54.478,56.104,57.482,59.386,60.194,60.554,62.105,64.095,66.875,68.867,70.982
"36","29","      Buildings","B844RG3",15.977,17.109,18.52,19.748,21.435,23.924,26.253,27.128,28.971,31.785,35.329,39.28,42.923,45.519,46.667,48.252,49.643,51.319,53.187,55.216,57.185,59.103,59.976,60.294,62.296,64.568,67.144,68.787,70.982
"37","30","        Residential","B845RG3",16.102,16.592,17.504,18.611,20.46,22.628,24.707,26.245,29.019,33.146,37.136,41.15,44.454,46.136,46.493,47.778,48.699,50.702,52.831,54.805,56.857,58.382,58.63,59.212,61.959,65.148,67.753,69.095,70.982
"38","31","        Industrial","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","32","        Educational \8\","B847RG3",15.658,16.838,18.277,19.504,21.14,23.575,25.914,26.784,28.604,31.401,34.854,38.779,42.278,44.947,46.32,48.17,49.753,51.491,53.328,55.349,57.284,59.122,59.939,60.269,62.297,64.772,67.283,68.811,70.982
"40","33","        Hospital","B848RG3",15.696,16.83,18.289,19.475,21.175,23.64,25.928,26.832,28.574,31.377,34.956,38.812,42.298,44.928,46.359,48.181,49.749,51.402,53.369,55.325,57.31,59.12,59.946,60.271,62.368,64.622,67.282,68.803,70.982
"41","34","        Other \5\","B849RG3",16.226,17.458,18.952,20.205,21.912,24.537,26.886,27.605,29.267,31.765,35.275,39.239,43.163,45.936,47.04,48.425,49.739,51.286,53.105,55.165,57.147,59.236,60.304,60.544,62.323,64.184,66.817,68.69,70.982
"42","35","      Highways and streets \9\","B851RG3",17.241,19.26,20.747,21.518,23.426,30.72,33.441,32.599,32.187,32.435,35.07,40.719,47.718,52.362,51.423,49.519,49.88,52.245,55.438,56.377,56.76,58.837,59.876,59.9,60.519,62.133,65.512,68.327,70.982
"43","36","      Conservation and development","B857RG3",16.282,17.356,18.737,20.176,21.44,24.099,28.739,30.778,32.708,34.674,38.035,41.882,45.982,49.344,50.322,50.938,51.816,52.529,53.177,54.489,56.717,58.768,60.598,61.606,62.633,64.635,66.815,68.799,70.982
"44","37","      Sewer systems","B858RG3",15.581,16.856,18.753,20.851,22.44,25.627,28.935,30.853,33.163,36.406,40.085,44.544,47.525,48.755,50.412,52.091,53.344,54.394,55.207,56.959,58.681,59.79,59.552,60.633,63.422,66.075,67.855,69.421,70.982
"45","38","      Water systems","B859RG3",16.482,17.466,18.948,20.428,21.911,25.436,30.346,31.957,33.155,36.438,40.174,44.495,47.523,48.763,50.411,52.179,53.342,54.39,55.229,56.953,58.647,59.789,59.547,60.558,63.476,66.073,67.849,69.43,70.982
"46","39","      Other \7\","B860RG3",17.688,19.494,20.903,21.972,23.519,29.139,33.206,33.917,34.746,35.967,39.466,44.044,48.92,52.054,52.827,52.91,53.379,54.41,55.827,58.32,60.118,62.78,64.16,64.633,65.467,66.598,69.501,70.72,70.982
"47","40","    Net purchases of used structures","B870RG3",15.765,16.291,17.282,18.527,20.255,22.402,24.582,25.972,28.265,31.665,35.351,39.333,42.624,44.705,45.267,46.716,47.323,49.16,51.104,53,54.931,56.51,57.025,57.478,59.862,62.366,64.895,66.187,68.11
"48","41","Equipment and software \2\","A871RG3",46.848,50.158,52.665,63.314,63.895,66.996,72.339,77.337,81.965,86.954,90.82,96.211,103.791,110.026,112.305,113.303,111.606,108.04,105.175,105.147,106.507,108.245,110.194,110.23,111.731,113.293,114.257,112.832,109.431
"49","42","  Federal","B872RG3",42.741,46.053,48.529,63.378,63.285,64.881,68.618,73.609,78.153,82.769,85.654,90.375,97.559,103.839,106.144,107.184,104.963,100.437,96.746,96.338,97.399,99.158,100.974,101.221,103.141,105.286,107.072,106.378,103.521
"50","43","    National defense","B873RG3",36.449,39.059,41.251,59.229,58.68,59.518,62.677,67.888,72.519,77.916,80.522,85.195,92.371,98.899,101.726,102.97,100.43,95.379,91.265,90.495,91.4,93.148,95.039,95.798,98.098,100.967,103.202,103.479,100.821
"51","44","      Aircraft","B874RG3",NA,NA,NA,79.359,79.365,78.877,81.29,82.406,86.283,90.241,94.533,99.917,105.136,117.856,124.147,124.838,112.485,98.673,84.444,79.082,77.848,83.035,88.769,91.652,95.446,107.012,113.987,119.159,108.441
"52","45","      Missiles","B875RG3",NA,NA,NA,105.776,100.184,100.076,103.016,133.587,148.103,159.31,130.283,115.716,121.464,117.593,123.596,128.817,130.238,122.678,119.376,117.761,115.802,112.542,108.704,107.086,110.504,109.126,106.177,102.577,97.344
"53","46","      Ships","B876RG3",NA,NA,NA,23.219,24.708,27.176,30.071,31.947,35.571,39.813,42.757,47.101,51.131,53.232,54.978,58.507,59.463,60.863,62.065,64.083,66.885,68.615,72.221,73.863,75.245,77.696,82.04,82.238,83.559
"54","47","      Vehicles","B877RG3",NA,NA,NA,31.408,31.256,30.649,32.959,40.112,43.802,47.259,48.81,56.683,77.006,94.211,91.984,83.365,82.565,77.412,83.946,84.557,85.634,87.027,89.169,92.426,96.405,100.279,101.728,103.21,103.382
"55","48","      Electronics and software","B878RG3",NA,NA,NA,116.461,119.295,128.127,135.134,137.597,141.849,140.688,148.005,152.133,159.166,161.959,159.639,155.968,152.387,147.273,144.224,143.693,143.219,142.397,141.887,136.551,136.109,133.572,132.08,126.216,120.698
"56","49","      Other equipment","B879RG3",NA,NA,NA,6.148,17.377,37.392,38.878,41.789,44.007,48.36,51.967,57.042,63.228,68.564,70.313,72.262,73.14,74.058,75.212,77.835,80.997,83.27,84.874,87.042,89.364,90.813,92.126,93.678,94.225
"57","50","    Nondefense","B880RG3",65.582,72.911,76.062,76.766,78.779,84.155,90.654,92.949,95.782,95.368,99.431,103.544,109.561,113.201,112.115,111.891,112.005,112.034,112.17,114.131,115.902,117.474,118.713,116.7,117.076,116.521,116.704,113.147,109.823
"58","51","  State and local","B881RG3",52.054,54.309,56.382,57.455,59.286,65.262,73.959,78.487,82.771,88.241,94.724,101.536,109.327,114.346,116.129,116.773,117.519,118.673,119.948,121.475,123.719,125.169,127.321,126.688,126.862,126.934,126.185,123.351,119.031
"59",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","52","  Government enterprise gross fixed investment","A882RG3",16.585,17.853,19.202,20.432,21.861,25.335,28.866,30.271,31.876,34.248,37.565,41.691,45.418,47.596,48.538,49.358,50.186,51.29,52.44,54.16,55.898,57.592,58.304,58.787,60.265,61.819,63.723,65.005,77.961
"61","53","    Federal","A883RG3",35.054,38.068,40.019,41.081,43.035,47.096,53.501,56.68,59.788,63.534,68.277,74.802,81.284,85.735,86.685,87.347,88.363,89.592,90.784,92.825,95.847,98.727,100.389,99.202,99.358,100.292,101.934,101.527,100.323
"62","54","      Structures","B884RG3",17.35,18.489,19.99,21.49,22.846,25.065,29.342,31.566,33.612,36.176,39.466,43.831,47.999,51.398,52.619,53.565,54.615,55.74,56.746,58.511,60.846,63.003,64.47,65.252,66.424,68.721,71.045,72.919,74.2
"63","55","      Equipment and software","B885RG3",64.972,72.417,73.36,71.319,73.535,80.267,88.425,91.918,95.762,99.94,104.867,112.332,120.368,123.984,123.093,122.004,121.87,122.058,122.334,123.497,126.744,129.953,131.428,127.616,126.38,125.132,125.37,122.327,118.584
"64","56","    State and local","A886RG3",14.89,16.01,17.28,18.5,19.867,23.249,26.502,27.742,29.204,31.44,34.604,38.481,41.937,43.903,44.832,45.655,46.461,47.546,48.686,50.358,51.97,53.547,54.173,54.822,56.457,58.064,59.97,61.396,75.734
"65","57","      Structures","B887RG3",13.419,14.442,15.624,16.786,18.098,21.296,24.188,25.242,26.545,28.578,31.49,35.048,38.164,39.92,40.728,41.445,42.131,43.115,44.184,45.798,47.247,48.707,49.129,49.675,51.255,52.805,54.781,56.267,71.773
"66","58","      Equipment and software","A888RG3",29.722,31.404,32.684,33.559,34.614,38.001,45.231,49.077,52.376,56.374,61.1,67.232,73.998,78.147,80.391,82.292,84.348,86.33,87.903,89.511,92.628,95.096,98.164,99.926,101.693,103.579,104.564,105.089,103.881
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","1. Consists of general government and government enterprise expenditures for fixed assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","2. Structures and software include compensation of government employees engaged in new",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","own-account investment and related expenditures for goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","3. Consists of Department of Defense new structures, except family housing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","4. Excludes educational structures associated with hospitals, nondefense industrial, other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","buildings, conservation and development, and other nondefense structures, which are included",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","in those categories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","5. Consists primarily of general office buildings, police and fire stations, courthouses,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","auditoriums, garages, and passenger terminals.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","6. Excludes highways and streets associated with hospitals, other buildings, and other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","nondefense structures, which are included in those categories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","7. Consists primarily of electric and gas facilities, transit systems, and airfields.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","8. Excludes the value of construction for educational facilities built at hospital sites.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","9. Excludes highways and streets associated with other nonbuilding structures, which are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","included in that category.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
