"","Table 1#1#10# Percentage Shares of Gross Domestic Product       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"11","4","    Durable goods","DDURRE1",9.2,8.7,9.1,9.4,9.4,8.7,8.7,9.2,9.5,9.3,8.8,8.1,7.8,7.8,8.3,8.7,9,9.4,9.3,9.3,9,8.6,8,8,8.3,8.6,8.6,8.6,8.6,8.9,9.2,9.2,9.2,9.3,9.2,9.1,8.9,8.6,8.5,7.8,7.4,7.4,7.6,7.8
"12","5","    Nondurable goods","DNDGRE1",21.8,22,21.3,20.8,20.7,21.4,21.3,20.7,20.1,19.6,20,20.6,20,19.9,19.2,18.4,18,17.4,17.2,16.9,17,17.1,17,16.6,16.4,16.1,15.9,15.8,15.5,15.1,15.3,15.5,15.4,15.2,15.3,15.3,15.5,15.5,15.5,15.9,15.5,15.8,16.4,16.3
"13","6","  Services","DSERRE1",30.5,31.7,31.9,32,31.5,32.1,33.1,33.2,33.4,33.3,33.3,34.3,34.2,36.2,37.2,36.6,37.5,38.1,38.9,39.5,39.6,40.4,41.4,42.2,42.6,42.4,42.8,42.8,42.8,43.3,43.3,43.9,44.9,45.4,45.6,45.4,45.4,45.4,45.7,46.6,47.6,47.3,47.1,46.8
"14","7","Gross private domestic investment","A006RE1",15.9,14.7,15.8,16.8,17.7,16.6,14.1,16,17.8,19.1,19.2,17.2,18.3,15.9,16,18.7,17.5,16.7,16.6,16.1,16,14.8,13.4,13.6,14.3,15.5,15.4,15.8,16.7,17.2,17.5,17.8,16.2,15.5,15.5,16.6,17.2,17.4,16.4,14.6,11.1,12,12.3,13.1
"15","8","  Fixed investment","A007RE1",15,14.5,15.1,16,16.5,15.7,14.4,15.1,16.7,18,18.5,17.4,17.4,16.4,16.1,17.1,16.9,16.6,16,15.7,15.5,14.6,13.4,13.4,14,14.6,15,15.4,15.8,16.5,16.9,17.3,16.5,15.4,15.4,16.1,16.8,16.9,16.2,14.9,12.2,11.6,12.1,12.8
"16","9","    Nonresidential","A008RE1",10.6,10.5,10.1,10.4,11.1,11.3,10.6,10.5,11.3,12.2,13,13,13.4,13.1,11.8,12.5,12.5,11.7,11.1,11.1,11.1,10.7,10,9.7,10,10.3,10.9,11.2,11.6,12.1,12.3,12.7,11.9,10.6,10.2,10.3,10.7,11.3,11.7,11.6,9.7,9.2,9.8,10.3
"17","10","      Structures","B009RE1",3.8,3.9,3.8,3.8,4,4.1,3.7,3.6,3.7,4.1,4.6,4.9,5.4,5.5,4.4,4.5,4.6,4,3.7,3.6,3.5,3.5,3.1,2.7,2.7,2.6,2.8,2.9,3,3.1,3,3.2,3.2,2.7,2.5,2.6,2.8,3.2,3.7,4.1,3.2,2.6,2.7,3
"18","11","      Equipment and software","B010RE1",6.8,6.6,6.3,6.6,7.1,7.2,6.9,6.9,7.6,8.2,8.4,8.1,8.1,7.7,7.4,7.9,7.9,7.7,7.4,7.5,7.6,7.2,6.9,6.9,7.3,7.7,8.1,8.3,8.6,8.9,9.3,9.6,8.7,7.9,7.7,7.7,7.9,8,7.9,7.5,6.4,6.6,7.1,7.4
"19","12","    Residential","A011RE1",4.3,4,4.9,5.6,5.5,4.4,3.8,4.5,5.4,5.7,5.5,4.4,3.9,3.2,4.3,4.6,4.5,4.9,4.9,4.7,4.4,3.9,3.4,3.7,4,4.3,4.1,4.3,4.2,4.4,4.6,4.5,4.6,4.8,5.2,5.7,6.1,5.7,4.5,3.3,2.5,2.3,2.2,2.4
"20","13","  Change in private inventories","A014RE1",0.9,0.2,0.7,0.7,1.1,0.9,-0.4,0.9,1.1,1.1,0.7,-0.2,1,-0.5,-0.2,1.7,0.5,0.1,0.6,0.4,0.5,0.3,0,0.3,0.3,0.9,0.4,0.4,0.9,0.7,0.7,0.5,-0.4,0.1,0.1,0.5,0.4,0.4,0.2,-0.3,-1.1,0.4,0.2,0.4
"21","14","Net exports of goods and services","A019RE1",0.1,0.4,0.1,-0.3,0.3,-0.1,1,-0.1,-1.1,-1.1,-0.9,-0.5,-0.4,-0.6,-1.5,-2.6,-2.7,-3,-3.1,-2.2,-1.6,-1.3,-0.4,-0.5,-1,-1.3,-1.2,-1.2,-1.2,-1.8,-2.8,-3.8,-3.6,-4,-4.5,-5.2,-5.7,-5.8,-5.1,-5,-2.8,-3.5,-3.8,-3.6
"22","15","  Exports","B020RE1",5.3,5.8,5.6,5.7,6.9,8.4,8.5,8.2,7.8,8.1,9,10.1,9.8,8.7,7.8,7.7,7.2,7.2,7.7,8.7,9.2,9.5,10,10,9.8,10.2,10.9,11.1,11.5,10.8,10.6,11,10,9.4,9.3,10,10.3,11,11.8,12.9,11.4,12.7,13.9,13.9
"23","16","    Goods","A253RE1",3.9,4.3,4,4.2,5.3,6.7,6.7,6.5,6.1,6.3,7.2,8.1,7.6,6.6,5.9,5.7,5.3,5.1,5.4,6.4,6.7,6.8,7.1,7.1,6.9,7.2,7.9,7.9,8.3,7.7,7.5,7.9,7.1,6.6,6.5,6.9,7.2,7.7,8.3,9.1,7.6,8.8,9.8,9.8
"24","17","    Services","A646RE1",1.4,1.5,1.5,1.5,1.5,1.7,1.8,1.7,1.8,1.8,1.8,2,2.1,2.1,2,2,1.9,2.1,2.2,2.3,2.4,2.7,2.9,2.9,2.9,3,3.1,3.2,3.2,3.1,3.1,3.1,2.9,2.8,2.8,3.1,3.2,3.3,3.6,3.8,3.7,3.9,4.1,4.1
"25","18","  Imports","B021RE1",5.1,5.4,5.5,6,6.6,8.5,7.5,8.3,9,9.3,9.9,10.5,10.2,9.3,9.3,10.3,9.9,10.2,10.7,10.9,10.8,10.9,10.4,10.5,10.8,11.5,12.2,12.3,12.7,12.7,13.4,14.8,13.6,13.4,13.9,15.2,16.1,16.7,16.9,17.9,14.1,16.2,17.7,17.5
"26","19","    Goods","A255RE1",3.7,3.9,4.1,4.6,5.2,7,6,6.8,7.5,7.7,8.3,8.9,8.6,7.7,7.7,8.6,8.1,8.3,8.8,8.9,8.8,8.8,8.4,8.6,8.9,9.6,10.2,10.3,10.6,10.6,11.2,12.5,11.4,11.2,11.6,12.7,13.5,14.1,14.3,15,11.4,13.4,14.8,14.6
"27","20","    Services","B656RE1",1.4,1.4,1.4,1.4,1.4,1.5,1.4,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.8,1.8,1.9,2,2,1.9,2.1,2,1.9,1.9,1.9,2,2,2,2.1,2.2,2.3,2.2,2.2,2.3,2.5,2.5,2.7,2.7,2.9,2.8,2.8,2.9,2.9
"28","21","Government consumption expenditures and gross investment","A822RE1",22.5,22.5,21.9,21.3,20.4,21.2,21.8,21,20.4,19.8,19.5,20.3,20.1,20.9,20.7,20.3,20.8,21.3,21.1,20.4,20.1,20.4,20.6,20.1,19.4,18.8,18.5,18.1,17.7,17.4,17.4,17.4,18,18.6,19,18.8,18.8,18.8,19.1,20.1,21.2,21.1,20.3,19.5
"29","22","  Federal","A823RE1",11.5,10.9,10.1,9.7,8.9,9,9.1,8.8,8.6,8.3,8.2,8.7,9,9.6,9.7,9.5,9.8,9.8,9.7,9,8.8,8.7,8.8,8.4,7.9,7.3,7,6.7,6.4,6,5.9,5.8,5.9,6.4,6.8,7,6.9,7,7,7.6,8.2,8.4,8.1,7.7
"30","23","    National defense","A824RE1",9.1,8.4,7.5,7,6.4,6.4,6.3,6.1,6,5.7,5.7,6,6.3,6.9,7.1,7.2,7.4,7.4,7.4,7,6.6,6.4,6.4,5.9,5.4,5,4.7,4.5,4.2,3.9,3.9,3.7,3.8,4.1,4.5,4.6,4.7,4.7,4.7,5.2,5.6,5.6,5.4,5.2
"31","24","    Nondefense","A825RE1",2.4,2.5,2.6,2.6,2.5,2.6,2.8,2.7,2.7,2.6,2.6,2.7,2.7,2.6,2.6,2.4,2.4,2.4,2.3,2.1,2.2,2.3,2.4,2.5,2.4,2.3,2.3,2.2,2.2,2.1,2.1,2.1,2.1,2.3,2.3,2.3,2.3,2.3,2.2,2.4,2.6,2.8,2.7,2.6
"32","25","  State and local","A829RE1",11,11.6,11.8,11.6,11.5,12.2,12.7,12.2,11.8,11.5,11.3,11.6,11.1,11.4,11,10.8,11.1,11.5,11.4,11.3,11.3,11.6,11.8,11.7,11.5,11.4,11.5,11.4,11.3,11.3,11.5,11.6,12,12.2,12.2,11.9,11.8,11.9,12.1,12.6,13.1,12.7,12.2,11.8
