"","Table 3#9#4# Price Indexes for Government Consumption Expenditur","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","3","      Gross investment \2\","A782RG3",13.707,13.886,14.785,14.986,15.2,15.48,16.02,16.031,16.118,15.838,15.325,15.472,15.11,15.055,15.395,16.156,16.829,17.167,17.391,17.541,17.443,17.55,17.796,17.708,17.553,17.388,17.351,17.115,17.014,17.207,17.311,17.496,17.148,17.28,17.745,18.049,18.626,19.014,19.375,19.521,19.789,20.027,20.155,20.098,19.721,19.871,20.082,20.151,20.217,20.128,20.094,20.046,19.959,19.966,20.047,20.048,20.044,20.11,20.122,20.272,20.278,20.376,20.519,20.695,20.631,20.741,20.701,20.832,20.85,20.968,20.968,20.993,21.039,21.179,21.242,21.369,21.434,21.837,21.93,22.168,22.216,22.317,22.556,22.747,23.07,23.268,23.321,23.799,24.142,24.715
"12","4","        Structures","A760RG3",8.865,8.993,9.506,9.673,9.923,10.199,10.506,10.543,10.464,10.347,9.883,10.024,9.618,9.499,9.789,10.189,10.805,11.13,11.395,11.479,11.344,11.513,11.77,11.609,11.66,11.561,11.562,11.303,11.064,11.307,11.161,11.229,10.941,10.969,11.364,11.497,11.81,12.172,12.467,12.574,12.654,12.902,12.937,12.795,12.506,12.669,12.799,12.795,12.885,12.759,12.667,12.596,12.553,12.541,12.606,12.603,12.54,12.597,12.57,12.685,12.749,12.804,12.902,12.943,12.962,13.022,13.05,13.1,13.14,13.179,13.224,13.265,13.379,13.518,13.592,13.683,13.79,14.089,14.201,14.341,14.421,14.438,14.626,14.759,15.073,15.189,15.209,15.568,15.9,16.294
"13","5","        Equipment and software","A871RG3",26.858,27.156,29.23,29.387,29.16,29.206,30.541,30.43,31.333,30.431,30.134,30.117,30.558,31.132,31.257,33.462,33.613,33.777,33.781,34.142,34.178,34.118,34.331,34.465,33.719,33.371,33.222,33.049,33.376,33.372,34.33,34.894,34.461,34.949,35.485,36.368,37.771,38.041,38.476,38.705,39.663,39.667,40.152,40.555,40.06,40.004,40.461,40.853,40.767,40.905,41.158,41.233,41.006,41.095,41.195,41.214,41.487,41.548,41.725,41.938,41.696,41.93,42.195,42.847,42.46,42.735,42.398,42.824,42.726,43.145,42.911,42.83,42.479,42.487,42.415,42.627,42.396,42.98,42.897,43.439,43.297,43.727,44.036,44.363,44.453,44.898,45.085,45.737,45.799,46.794
"14","6","Federal","B823RG3",10.413,10.347,9.963,9.949,9.991,10.002,10.142,10.163,10.561,10.547,10.34,10.565,10.528,10.378,10.421,10.442,11.036,10.79,10.814,10.952,10.785,10.957,11.05,11.226,11.065,11.106,11.034,11.117,11.234,11.265,11.373,11.477,11.633,11.925,12.044,12.188,12.359,12.571,12.649,12.671,12.981,13.056,13.162,13.299,13.472,13.62,13.749,13.811,13.677,13.594,13.478,13.506,13.505,13.543,13.75,13.91,13.874,13.908,13.885,13.964,14.084,14.129,14.218,14.377,14.439,14.458,14.405,14.724,14.842,14.9,15.117,15.12,15.177,15.228,15.401,15.709,15.73,15.746,16.077,16.104,16.081,16.271,16.437,16.757,16.91,17.12,17.437,17.681,17.71,17.971
"15","7","    Consumption expenditures","B957RG3",9.082,9.014,8.574,8.568,8.617,8.612,8.697,8.722,9.078,9.081,8.96,9.13,9.098,8.953,8.992,8.921,9.487,9.191,9.187,9.312,9.124,9.314,9.391,9.58,9.455,9.527,9.455,9.572,9.69,9.728,9.795,9.873,10.083,10.372,10.462,10.567,10.662,10.846,10.885,10.889,11.162,11.223,11.299,11.423,11.648,11.797,11.902,11.947,11.796,11.699,11.56,11.588,11.607,11.646,11.851,12.029,11.993,12.012,11.984,12.029,12.191,12.228,12.286,12.422,12.519,12.519,12.482,12.808,12.935,12.968,13.212,13.219,13.304,13.349,13.54,13.857,13.884,13.853,14.21,14.206,14.188,14.359,14.51,14.827,14.976,15.169,15.482,15.693,15.706,15.909
"16","8","    Gross investment","B787RG3",19.208,19.321,21.514,21.181,20.952,21.148,22.06,21.981,22.601,22.339,21.165,21.92,21.852,21.771,21.86,23.039,23.629,23.928,24.163,24.409,24.363,24.411,24.635,24.711,24.26,24.081,23.994,23.816,23.92,23.907,24.347,24.678,24.341,24.629,24.995,25.489,26.382,26.805,27.226,27.417,28.039,28.244,28.639,28.875,28.468,28.575,28.915,29.142,29.19,29.222,29.311,29.338,29.164,29.189,29.414,29.421,29.395,29.55,29.569,29.917,29.709,29.816,30.161,30.504,30.265,30.459,30.278,30.502,30.509,30.803,30.719,30.68,30.465,30.566,30.511,30.652,30.605,31.106,31.088,31.422,31.363,31.687,31.961,32.214,32.339,32.647,32.852,33.389,33.612,34.494
"17","9","      Structures","B801RG3",8.271,7.542,8.793,8.463,8.466,8.761,9.149,9.237,9.373,9.522,8.185,9.037,8.724,8.427,8.57,8.79,9.358,9.614,9.901,10,9.92,10.037,10.195,10.195,10.148,10.15,10.135,10.005,9.883,9.914,9.79,9.844,9.763,9.808,10.014,10.08,10.265,10.618,10.866,10.976,11.036,11.258,11.39,11.377,11.188,11.367,11.507,11.597,11.542,11.485,11.413,11.372,11.332,11.292,11.525,11.515,11.27,11.431,11.3,11.648,11.536,11.487,11.792,11.704,11.694,11.753,11.783,11.743,11.856,11.919,12.008,12.031,12.055,12.214,12.188,12.232,12.409,12.659,12.742,12.789,12.9,12.991,13.155,13.372,13.602,13.653,13.846,14.138,14.567,14.985
"18","10","      Equipment and software","B872RG3",24.125,24.353,26.591,26.65,26.288,26.252,27.412,27.177,28.117,27.437,27.185,27.166,27.632,28.173,28.052,30.1,30.152,30.312,30.351,30.672,30.692,30.639,30.84,30.977,30.241,29.93,29.798,29.635,29.95,29.892,30.796,31.309,30.814,31.25,31.654,32.423,33.739,34.082,34.526,34.726,35.741,35.815,36.348,36.787,36.314,36.255,36.685,36.978,37.141,37.274,37.518,37.614,37.363,37.452,37.555,37.573,37.842,37.905,38.085,38.3,38.068,38.306,38.576,39.237,38.848,39.117,38.77,39.192,39.091,39.518,39.28,39.186,38.792,38.784,38.722,38.922,38.644,39.229,39.115,39.617,39.434,39.873,40.181,40.416,40.438,40.88,41.056,41.673,41.692,42.754
"19","11","  National defense","B824RG3",10.464,10.462,9.604,9.619,9.8,9.898,10.091,10.154,10.392,10.334,10.223,10.341,10.302,10.165,10.316,10.471,10.85,10.629,10.658,10.811,10.565,10.736,10.821,10.995,10.811,10.852,10.779,10.857,11.015,11.024,11.156,11.262,11.382,11.683,11.852,12.012,12.203,12.41,12.466,12.51,12.838,12.886,12.994,13.11,13.27,13.387,13.54,13.602,13.433,13.361,13.266,13.301,13.285,13.326,13.49,13.661,13.59,13.642,13.608,13.692,13.779,13.833,13.934,14.041,14.154,14.161,14.082,14.439,14.509,14.516,14.726,14.73,14.788,14.866,15.059,15.381,15.349,15.351,15.724,15.715,15.673,15.867,16.042,16.393,16.476,16.674,16.98,17.205,17.233,17.518
"20","12","    Consumption expenditures","B997RG3",9.107,9.106,8.308,8.305,8.47,8.547,8.69,8.748,8.955,8.936,8.834,8.948,8.891,8.756,8.893,8.967,9.313,9.048,9.061,9.184,8.918,9.119,9.192,9.378,9.236,9.301,9.235,9.345,9.51,9.516,9.609,9.681,9.857,10.16,10.306,10.424,10.53,10.713,10.728,10.753,11.042,11.083,11.163,11.264,11.465,11.585,11.715,11.76,11.575,11.493,11.373,11.408,11.417,11.463,11.619,11.811,11.73,11.77,11.732,11.78,11.916,11.965,12.029,12.105,12.269,12.257,12.19,12.575,12.66,12.659,12.882,12.884,12.966,13.019,13.23,13.557,13.538,13.495,13.891,13.859,13.833,14.012,14.173,14.516,14.607,14.791,15.091,15.28,15.291,15.513
"21","13","    Gross investment","B788RG3",18.815,18.643,19.182,19.559,19.585,19.865,20.671,20.713,21.174,20.611,20.451,20.509,20.752,20.776,20.945,22.221,22.701,23.011,23.14,23.516,23.383,23.335,23.52,23.615,23.112,22.998,22.864,22.716,22.828,22.86,23.296,23.684,23.344,23.626,23.976,24.487,25.399,25.784,26.186,26.381,27.029,27.143,27.504,27.741,27.44,27.495,27.857,28.089,28.086,28.103,28.191,28.235,28.026,28.032,28.254,28.259,28.269,28.425,28.415,28.774,28.493,28.584,28.971,29.327,29.021,29.203,29.035,29.077,28.982,29.071,29.093,29.121,28.919,29.244,29.153,29.283,29.117,29.632,29.594,29.835,29.644,29.923,30.179,30.476,30.417,30.662,30.858,31.431,31.676,32.613
"22","14","      Structures","B808RG3",5.625,6.866,7.39,7.337,7.004,7.174,7.233,7.14,7.35,7.33,7.128,7.025,6.907,6.674,6.804,7.146,7.768,7.975,8.233,8.324,8.214,8.287,8.383,8.376,8.348,8.32,8.27,8.191,8.067,8.098,7.966,8.066,8.024,8.047,8.225,8.244,8.396,8.707,8.922,9.021,9.051,9.22,9.284,9.238,9.214,9.382,9.514,9.615,9.552,9.493,9.426,9.392,9.333,9.295,9.57,9.544,9.186,9.383,9.179,9.679,9.439,9.337,9.81,9.609,9.555,9.647,9.709,9.549,9.709,9.75,9.78,9.796,9.676,10.037,9.732,9.718,10.017,10.392,10.438,10.375,10.387,10.422,10.658,11.068,11.213,11.119,11.329,11.671,12.28,12.779
"23","15","      Equipment and software","B873RG3",20.825,21.359,21.717,22.138,22.246,22.368,23.371,23.49,24.023,23.325,23.212,23.335,23.725,23.927,24.083,25.653,25.742,26.028,25.991,26.457,26.351,26.203,26.377,26.531,25.814,25.678,25.532,25.388,25.663,25.68,26.438,26.911,26.452,26.838,27.186,27.906,29.074,29.358,29.745,29.937,30.845,30.85,31.315,31.705,31.289,31.204,31.609,31.853,31.912,31.989,32.17,32.257,32.013,32.045,32.143,32.161,32.458,32.512,32.636,32.802,32.574,32.763,33.022,33.591,33.223,33.418,33.157,33.283,33.095,33.189,33.201,33.228,33.019,33.285,33.304,33.481,33.138,33.641,33.573,33.9,33.658,33.995,34.24,34.48,34.358,34.692,34.868,35.466,35.547,36.538
"24","16","  Nondefense","B825RG3",9.69,9.343,10.635,10.54,10.023,9.774,9.774,9.689,10.488,10.594,10.161,10.658,10.647,10.491,10.199,9.709,11.179,10.736,10.669,10.645,11.125,11.305,11.455,11.614,11.648,11.685,11.621,11.73,11.562,11.737,11.667,11.751,12.119,12.323,12.125,12.155,12.184,12.4,12.613,12.488,12.653,12.903,12.976,13.238,13.475,13.827,13.787,13.867,13.975,13.845,13.645,13.635,13.701,13.718,14.133,14.233,14.376,14.312,14.351,14.397,14.679,14.672,14.705,15.074,14.916,14.985,15.042,15.203,15.502,15.743,15.976,15.973,16.019,15.98,16.083,16.334,16.535,16.6,16.764,16.934,16.992,17.153,17.27,17.444,17.888,18.136,18.486,18.798,18.83,18.981
"25","17","    Consumption expenditures","B542RG3",8.552,8.095,9.103,9.123,8.624,8.344,8.269,8.205,8.954,9.025,8.874,9.209,9.276,9.155,8.813,8.085,9.683,9.171,9.004,9.099,9.557,9.641,9.744,9.934,9.948,10.06,9.958,10.106,9.936,10.154,10.055,10.165,10.54,10.729,10.518,10.542,10.55,10.721,10.908,10.771,10.929,11.12,11.141,11.399,11.761,12.094,12.039,12.114,12.194,12.048,11.843,11.839,11.891,11.893,12.32,12.426,12.61,12.53,12.554,12.583,12.869,12.841,12.87,13.252,13.063,13.114,13.201,13.279,13.574,13.735,14.048,14.076,14.163,14.18,14.295,14.565,14.767,14.78,14.967,15.084,15.102,15.232,15.327,15.514,15.92,16.14,16.497,16.799,16.821,16.931
"26","18","    Gross investment","B798RG3",19.022,19.349,23.532,21.784,21.44,21.718,22.945,22.663,23.476,24.093,20.431,22.403,21.944,21.773,21.768,22.627,23.395,23.518,24.295,23.449,24.087,24.959,25.466,25.332,25.663,24.81,25.337,24.891,24.825,24.34,24.614,24.203,24.035,24.226,24.606,24.663,24.971,25.626,26.076,26.168,26.363,27.2,27.719,27.858,26.841,27.247,27.326,27.444,27.856,28.003,28.056,27.933,28.076,28.221,28.396,28.415,28.201,28.3,28.473,28.655,28.883,29.048,29.107,29.33,29.456,29.677,29.489,30.309,30.633,31.502,31.108,30.877,30.645,30.21,30.24,30.393,30.622,31.04,31.076,31.624,31.985,32.403,32.693,32.741,33.491,33.967,34.175,34.504,34.62,35.161
"27","19","      Structures","B830RG3",8.045,8.971,10.682,9.858,9.824,9.988,10.494,10.672,10.815,11.112,9.209,10.514,10.104,9.759,9.911,10.034,10.476,10.749,10.999,11.07,11.114,11.328,11.654,11.684,11.578,11.715,11.868,11.597,11.563,11.572,11.553,11.378,11.172,11.29,11.472,11.708,11.897,12.222,12.469,12.572,12.712,13.01,13.286,13.363,12.792,12.936,13.047,13.079,13.07,13.034,12.971,12.921,12.927,12.888,12.999,13.018,13.029,13.085,13.1,13.146,13.246,13.284,13.348,13.401,13.451,13.479,13.476,13.538,13.618,13.696,13.824,13.852,13.965,14.014,14.152,14.231,14.339,14.523,14.634,14.758,14.942,15.076,15.186,15.255,15.553,15.716,15.898,16.142,16.388,16.707
"28","20","      Equipment and software","B880RG3",30.949,31.161,39.424,36.285,34.747,34.981,37.305,34.623,37.322,37.934,35.566,34.364,35.233,37.901,36.374,40.736,40.656,38.467,41.11,35.688,38.585,41.778,41.936,41.128,44.481,37.037,38.87,38.846,38.727,35.886,37.634,36.831,37.658,37.777,38.344,36.478,36.599,37.442,37.751,37.145,36.812,39.357,39.751,39.843,39.761,41.446,39.908,40.455,45.631,48.642,51.255,50.642,52.324,55.112,54.722,54.565,52.376,52.438,53.618,54.446,54.915,55.665,55.362,56.351,56.707,57.854,56.791,60.812,61.923,66.073,62.967,61.599,59.714,57.339,56.677,56.929,57.364,58.23,57.81,59.527,60.135,61.204,61.867,61.734,63.395,64.588,64.557,64.748,64.098,64.831
"29","21","State and local","B829RG3",7.233,7.357,7.515,7.759,8.039,8.206,8.503,8.635,8.541,8.404,8.39,8.336,8.261,8.322,8.569,8.823,9.13,9.289,9.46,9.582,9.589,9.703,9.898,9.884,9.987,9.956,9.954,9.936,9.909,10.137,10.194,10.251,10.173,10.212,10.384,10.511,10.75,10.898,11.083,11.194,11.308,11.475,11.525,11.514,11.487,11.588,11.656,11.702,11.832,11.85,11.851,11.872,11.985,12.042,12.096,12.141,12.203,12.318,12.402,12.504,12.669,12.726,12.75,12.828,12.934,13.006,13.035,13.139,13.198,13.264,13.325,13.383,13.517,13.596,13.711,13.821,14.009,14.247,14.447,14.633,14.874,15.029,15.235,15.412,15.657,15.847,15.987,16.286,16.537,16.869
"30","22","  Consumption expenditures","B991RG3",6.188,6.294,6.408,6.616,6.86,6.994,7.263,7.405,7.327,7.224,7.252,7.22,7.24,7.324,7.523,7.693,7.892,7.99,8.136,8.264,8.317,8.406,8.559,8.621,8.709,8.722,8.717,8.793,8.854,9.026,9.149,9.193,9.209,9.248,9.304,9.408,9.596,9.673,9.813,9.921,10.048,10.187,10.257,10.308,10.387,10.468,10.511,10.576,10.723,10.799,10.834,10.891,11.052,11.127,11.195,11.256,11.336,11.48,11.587,11.709,11.888,11.934,11.954,12.03,12.161,12.234,12.263,12.375,12.447,12.523,12.594,12.655,12.784,12.842,12.962,13.072,13.289,13.495,13.719,13.906,14.2,14.407,14.614,14.8,15.007,15.213,15.401,15.664,15.886,16.19
"31","23","  Gross investment","B799RG3",11.499,11.698,12.104,12.488,12.893,13.212,13.593,13.647,13.482,13.187,12.982,12.835,12.348,12.308,12.753,13.354,14.11,14.524,14.793,14.89,14.703,14.923,15.286,14.957,15.123,14.914,14.925,14.548,14.206,14.645,14.48,14.582,14.182,14.224,14.801,15.015,15.447,15.842,16.196,16.326,16.404,16.675,16.663,16.441,16.062,16.241,16.395,16.382,16.465,16.296,16.186,16.087,16.045,16.043,16.05,16.047,16.054,16.074,16.083,16.125,16.258,16.36,16.395,16.487,16.519,16.592,16.623,16.713,16.735,16.774,16.809,16.863,17.022,17.177,17.285,17.406,17.516,17.876,18.015,18.212,18.303,18.312,18.533,18.697,19.087,19.239,19.239,19.678,20.049,20.498
"32","24","    Structures","B842RG3",9.14,9.295,9.643,9.965,10.309,10.576,10.85,10.869,10.721,10.521,10.355,10.228,9.803,9.755,10.097,10.561,11.186,11.538,11.782,11.852,11.686,11.88,12.195,11.917,12.041,11.871,11.887,11.562,11.271,11.622,11.471,11.545,11.176,11.197,11.65,11.804,12.154,12.515,12.824,12.928,13.012,13.266,13.266,13.081,12.761,12.915,13.04,13.001,13.142,12.994,12.896,12.817,12.773,12.771,12.777,12.774,12.778,12.795,12.804,12.841,12.961,13.05,13.081,13.162,13.19,13.25,13.277,13.351,13.371,13.402,13.435,13.481,13.616,13.75,13.848,13.949,14.039,14.349,14.466,14.624,14.696,14.701,14.892,15.011,15.339,15.466,15.462,15.831,16.15,16.542
"33","25","    Equipment and software","B881RG3",33.534,34.147,34.596,35.181,35.733,36.274,38.222,39.192,39.399,37.221,36.768,36.769,36.777,37.35,39.164,41.552,42.72,42.942,42.395,42.957,43.198,43.017,43.01,42.73,43.553,43.062,42.807,42.767,42.627,43.819,44.194,44.858,46.165,46.873,48.823,50.27,51.154,50.036,49.794,50.165,49.47,48.709,48.295,47.991,47.62,47.629,48.005,49.242,46.173,46.309,46.445,46.192,46.446,46.44,46.423,46.439,46.537,46.522,46.507,46.488,46.342,46.323,46.299,46.261,46.258,46.409,46.42,46.598,46.585,46.673,46.601,46.66,46.821,46.935,46.828,47.024,47.235,47.52,47.697,48.238,48.505,48.617,48.752,49.589,50.096,50.335,50.514,51.112,51.426,51.675
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","are valued at their cost of production.  Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
