"","Table 2#8#4# Price Indexes for Personal Consumption Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135"
"12","4","  Nondurable goods","DNDGRG3",21.634,21.643,21.627,21.641,21.617,21.665,21.688,21.729,21.786,21.839,21.802,21.806,21.771,21.772,21.812,21.949,21.939,21.934,21.97,22.018,22.03,22.067,22.145,22.177,22.171,22.182,22.135,22.034,22.014,21.977,22.047,22.059,22.041,22.015,22.017,21.991,22.027,22.123,22.132,22.185,22.155,22.116,22.048,22.108,22.365,22.309,22.304,22.254,22.333,22.351,22.28,22.251,22.28,22.368,22.46,22.515,22.414,22.455,22.506,22.566,22.641,22.648,22.642,22.648,22.611,22.657,22.695,22.679,22.748,22.762,22.8,22.836,22.861,22.846,22.899,22.96,23.035,23.259,23.262,23.205,23.166,23.209,23.239,23.343,23.431,23.594,23.702,23.781,23.758,23.787,23.803,23.97,24.053,24.083,24.09,24.103,24.084,24.095,24.078,24.068,24.105,24.198,24.298,24.39,24.443,24.473,24.564,24.583,24.711,24.81,24.863,24.943,25.045,25.101,25.171,25.286,25.352,25.476,25.549,25.574,25.675,25.693,25.802,25.948,26.049,26.248,26.366,26.422,26.55,26.574,26.723,26.885
"13","5","Services","DSERRG3",13.048,13.065,13.087,13.132,13.153,13.2,13.247,13.286,13.325,13.369,13.404,13.433,13.446,13.467,13.475,13.503,13.54,13.566,13.6,13.624,13.653,13.67,13.702,13.719,13.717,13.737,13.743,13.772,13.789,13.817,13.84,13.852,13.885,13.9,13.92,13.936,13.978,14.001,14.026,14.039,14.071,14.097,14.111,14.121,14.13,14.145,14.168,14.183,14.223,14.234,14.239,14.25,14.279,14.289,14.305,14.319,14.337,14.374,14.397,14.413,14.434,14.466,14.494,14.513,14.54,14.561,14.579,14.619,14.635,14.658,14.674,14.696,14.718,14.741,14.755,14.777,14.804,14.818,14.843,14.874,14.907,14.935,14.97,15.002,15.033,15.067,15.091,15.15,15.2,15.259,15.3,15.335,15.394,15.456,15.497,15.532,15.568,15.606,15.63,15.675,15.708,15.76,15.792,15.831,15.886,15.936,15.985,16.037,16.103,16.179,16.249,16.305,16.368,16.438,16.493,16.56,16.626,16.697,16.758,16.829,16.908,16.967,17.052,17.126,17.217,17.278,17.367,17.429,17.514,17.601,17.674,17.761
"14",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","6","  PCE excluding food and energy","DPCCRG3",18.526,18.538,18.557,18.602,18.624,18.677,18.72,18.75,18.798,18.831,18.866,18.895,18.901,18.935,18.937,18.972,19.003,19.016,19.05,19.078,19.093,19.105,19.156,19.151,19.155,19.174,19.18,19.207,19.232,19.261,19.292,19.312,19.351,19.357,19.361,19.379,19.403,19.435,19.48,19.484,19.51,19.546,19.562,19.563,19.601,19.598,19.612,19.619,19.657,19.677,19.687,19.71,19.745,19.778,19.795,19.812,19.848,19.893,19.911,19.94,19.969,20.008,20.027,20.047,20.064,20.08,20.101,20.128,20.138,20.146,20.175,20.204,20.23,20.254,20.266,20.29,20.327,20.321,20.341,20.38,20.404,20.397,20.435,20.497,20.504,20.555,20.582,20.655,20.711,20.778,20.84,20.879,20.943,21.013,21.066,21.13,21.15,21.188,21.22,21.278,21.325,21.379,21.451,21.517,21.592,21.673,21.741,21.794,21.889,21.983,22.07,22.15,22.234,22.321,22.395,22.483,22.574,22.666,22.752,22.822,22.91,22.99,23.098,23.188,23.281,23.361,23.47,23.537,23.632,23.733,23.825,23.914
"16","7","  Food \1\","DFXARG3",19.97,19.895,19.857,19.802,19.757,19.824,19.859,19.785,19.876,19.881,19.795,19.788,19.758,19.735,19.838,20.039,20.039,20.005,20.003,20.01,20.022,20.134,20.21,20.289,20.262,20.28,20.251,20.205,20.111,20.034,20.085,20.055,20.01,20.013,19.976,20.009,20.1,20.208,20.258,20.268,20.229,20.207,20.14,20.207,20.447,20.383,20.401,20.269,20.447,20.479,20.391,20.296,20.291,20.485,20.562,20.569,20.492,20.467,20.574,20.618,20.766,20.771,20.772,20.787,20.743,20.841,20.905,20.894,21.016,21.032,21.05,21.061,21.019,20.962,21.036,21.109,21.217,21.584,21.591,21.44,21.362,21.388,21.427,21.564,21.688,21.998,22.177,22.279,22.15,22.153,22.077,22.386,22.445,22.444,22.368,22.317,22.197,22.161,22.096,21.983,22.017,22.176,22.268,22.362,22.337,22.375,22.414,22.435,22.552,22.641,22.677,22.75,22.825,22.817,22.884,22.972,23.057,23.216,23.255,23.259,23.34,23.302,23.373,23.513,23.656,23.936,24.077,24.152,24.307,24.3,24.528,24.744
"17","8","  Energy goods and services \2\","DNRGRG3",11.962,12.13,12.141,12.205,12.175,12.156,12.144,12.295,12.255,12.434,12.456,12.48,12.425,12.416,12.347,12.419,12.4,12.455,12.552,12.65,12.637,12.577,12.699,12.639,12.674,12.683,12.584,12.386,12.462,12.478,12.564,12.624,12.638,12.572,12.622,12.498,12.532,12.622,12.462,12.626,12.612,12.511,12.403,12.537,12.774,12.697,12.705,12.791,12.7,12.687,12.6,12.573,12.623,12.487,12.604,12.718,12.548,12.632,12.596,12.614,12.573,12.565,12.541,12.534,12.496,12.507,12.506,12.486,12.522,12.56,12.585,12.635,12.709,12.702,12.752,12.766,12.766,12.806,12.791,12.789,12.815,12.898,12.884,12.931,12.923,12.898,12.91,12.91,12.949,12.947,12.997,13.013,13.087,13.112,13.138,13.16,13.208,13.219,13.193,13.268,13.257,13.275,13.287,13.306,13.403,13.329,13.44,13.352,13.427,13.452,13.438,13.389,13.437,13.482,13.484,13.579,13.529,13.555,13.598,13.531,13.618,13.644,13.769,13.866,13.861,13.923,13.89,13.91,13.914,13.943,13.91,13.973
"18","9","  Market-based PCE \3\","DPCMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","10","  Market-based PCE excluding food and energy \3\","DPCXRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1. Food consists of food and beverages purchased for off-premises consumption; food",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","services, which include purchased meals and beverages, are not classified as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2. Consists of gasoline and other energy goods and of electricity and gas services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","3. Market-based PCE is a supplemental measure that is based on household expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","for which there are observable price measures.  It excludes most imputed transactions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","(for example, financial services furnished without payment) and the final consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","expenditures of nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
