"","Table 2#3#6# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67"
"24","5","    Furnishings and durable household equipment","DFDHRX1","164,177.0","168,065.0","173,615.0","179,079.0","183,579.0","187,110.0","189,592.0","190,707.0","193,558.0","195,296.0","197,175.0","203,146.0","209,596.0","211,393.0","211,098.0","214,708.0","213,971.0","223,393.0","232,557.0","237,253.0","241,873.0","245,802.0","251,341.0","254,290.0","257,752.0","261,922.0","266,764.0","272,910.0","280,314.0","276,953.0","278,274.0","277,654.0","281,323.0","279,621.0","280,672.0","280,157.0","273,271.0","276,586.0","267,208.0","253,613.0","245,184.0","240,874.0","243,576.0","247,609.0","253,974.0","261,398.0","262,690.0","267,944.0","270,744.0","274,637.0","277,582.0","283,437.0","288,727.0","285,795.0","287,623.0","291,545.0","297,654.0","301,811.0","308,847.0","312,108.0","312,711.0","322,294.0","327,051.0","331,670.0"
"25","6","    Recreational goods and vehicles","DREQRX1","105,317.0","110,333.0","115,722.0","121,013.0","128,519.0","130,169.0","133,360.0","136,137.0","138,161.0","141,899.0","144,888.0","151,863.0","157,112.0","159,357.0","161,397.0","164,740.0","167,480.0","175,943.0","187,619.0","195,297.0","200,794.0","206,231.0","212,565.0","217,717.0","227,723.0","236,189.0","240,097.0","246,538.0","261,175.0","263,603.0","269,375.0","281,000.0","286,066.0","293,508.0","304,723.0","311,590.0","308,154.0","318,108.0","312,767.0","295,939.0","298,585.0","294,740.0","305,759.0","316,017.0","324,073.0","333,828.0","340,970.0","348,343.0","357,850.0","364,947.0","373,747.0","384,102.0","397,775.0","404,897.0","415,205.0","425,459.0","437,951.0","448,453.0","457,713.0","464,073.0","468,271.0","483,078.0","500,983.0","512,910.0"
"26","7","    Other durable goods","DODGRX1","102,032.0","103,403.0","106,508.0","111,979.0","112,550.0","116,150.0","116,813.0","116,075.0","114,495.0","111,745.0","110,988.0","114,444.0","117,372.0","119,371.0","120,239.0","122,541.0","122,724.0","128,563.0","134,538.0","138,700.0","142,074.0","141,313.0","142,603.0","145,103.0","149,543.0","152,350.0","152,976.0","158,434.0","163,838.0","163,156.0","163,951.0","166,763.0","167,661.0","172,113.0","174,619.0","174,392.0","170,591.0","169,746.0","167,615.0","158,034.0","156,921.0","157,765.0","158,909.0","159,102.0","162,206.0","162,489.0","165,418.0","169,391.0","171,255.0","173,761.0","176,247.0","174,505.0","178,435.0","181,416.0","185,398.0","188,898.0","192,398.0","193,956.0","193,705.0","197,669.0","198,069.0","201,498.0","200,845.0","204,657.0"
"27","8","  Nondurable goods","DNDGRX1","1,780,218.0","1,796,766.0","1,805,080.0","1,841,834.0","1,825,701.0","1,862,049.0","1,874,305.0","1,892,339.0","1,881,040.0","1,889,822.0","1,898,574.0","1,914,659.0","1,921,736.0","1,922,707.0","1,927,430.0","1,952,556.0","1,965,967.0","1,980,296.0","2,016,969.0","2,030,935.0","2,046,289.0","2,052,617.0","2,068,522.0","2,087,172.0","2,114,017.0","2,123,202.0","2,127,909.0","2,164,197.0","2,182,086.0","2,189,304.0","2,200,274.0","2,237,006.0","2,241,568.0","2,237,132.0","2,240,189.0","2,238,413.0","2,226,156.0","2,241,750.0","2,212,166.0","2,178,566.0","2,180,158.0","2,164,376.0","2,172,498.0","2,183,471.0","2,201,628.0","2,212,076.0","2,225,986.0","2,254,452.0","2,265,077.0","2,265,580.0","2,259,731.0","2,262,357.0","2,273,414.0","2,277,975.0","2,284,149.0","2,285,000.0","2,311,682.0","2,310,485.0","2,326,396.0","2,341,837.0","2,341,931.0","2,354,621.0","2,369,412.0","2,394,964.0"
"28","9","    Food and beverages purchased for off-premises consumption","DFXARX1","657,368.0","664,160.0","670,148.0","680,818.0","674,406.0","684,742.0","686,015.0","693,031.0","690,910.0","695,842.0","693,794.0","695,352.0","692,995.0","694,443.0","697,314.0","703,373.0","708,922.0","707,928.0","718,735.0","717,442.0","724,510.0","725,121.0","730,823.0","738,611.0","749,982.0","752,813.0","759,337.0","768,319.0","771,637.0","779,102.0","780,806.0","791,738.0","793,152.0","789,122.0","789,788.0","793,064.0","789,279.0","792,690.0","782,239.0","763,257.0","761,448.0","767,189.0","771,896.0","779,300.0","786,130.0","780,569.0","783,831.0","795,354.0","797,522.0","797,115.0","793,899.0","792,043.0","797,582.0","800,940.0","803,304.0","804,744.0","810,155.0","804,575.0","808,876.0","814,034.0","811,946.0","809,159.0","809,027.0","805,984.0"
"29","10","    Clothing and footwear","DCLORX1","240,668.0","242,744.0","244,358.0","244,989.0","248,981.0","254,374.0","257,151.0","259,325.0","255,164.0","256,830.0","256,528.0","260,953.0","263,899.0","263,976.0","262,420.0","270,618.0","269,692.0","276,913.0","283,003.0","283,664.0","290,795.0","287,376.0","290,329.0","296,149.0","300,171.0","306,489.0","305,668.0","314,753.0","316,629.0","314,417.0","317,703.0","321,032.0","323,087.0","322,893.0","325,434.0","324,191.0","321,616.0","331,113.0","324,243.0","312,274.0","308,498.0","302,726.0","305,931.0","308,840.0","315,859.0","321,042.0","321,801.0","331,955.0","334,840.0","338,048.0","332,855.0","335,431.0","340,391.0","334,512.0","338,967.0","336,989.0","341,129.0","342,704.0","339,383.0","341,450.0","338,263.0","342,887.0","343,941.0","354,883.0"
"30","11","    Gasoline and other energy goods","DGOERX1","299,488.0","305,757.0","301,565.0","302,474.0","290,983.0","295,950.0","296,593.0","294,216.0","294,966.0","290,628.0","295,398.0","295,615.0","293,942.0","296,397.0","297,524.0","297,910.0","294,844.0","293,973.0","297,378.0","300,837.0","299,788.0","300,271.0","298,364.0","298,738.0","304,202.0","296,762.0","292,330.0","298,692.0","296,252.0","294,056.0","296,101.0","303,307.0","301,631.0","297,659.0","295,463.0","292,599.0","290,164.0","285,759.0","275,861.0","281,827.0","291,862.0","284,742.0","282,297.0","279,098.0","279,326.0","282,543.0","284,191.0","282,822.0","280,155.0","273,070.0","272,692.0","271,463.0","267,431.0","271,659.0","270,890.0","266,711.0","270,492.0","270,393.0","272,921.0","272,874.0","274,361.0","272,097.0","272,738.0","280,708.0"
"31","12","    Other nondurable goods","DONGRX1","596,017.0","599,230.0","601,932.0","626,123.0","618,857.0","634,054.0","640,738.0","650,819.0","646,455.0","651,524.0","658,886.0","667,322.0","673,774.0","671,748.0","674,635.0","682,835.0","693,778.0","700,677.0","716,141.0","727,595.0","728,404.0","737,655.0","746,132.0","750,186.0","756,258.0","762,684.0","766,780.0","777,918.0","793,810.0","799,046.0","802,717.0","817,797.0","820,779.0","825,101.0","827,531.0","827,194.0","823,730.0","833,296.0","834,300.0","821,943.0","818,972.0","809,401.0","811,931.0","816,373.0","821,028.0","828,417.0","836,621.0","845,831.0","855,110.0","862,872.0","865,468.0","869,382.0","876,551.0","877,700.0","878,535.0","886,102.0","899,266.0","902,221.0","914,425.0","923,521.0","926,842.0","941,703.0","955,567.0","964,287.0"
"32","13","Services","DSERRX1","5,245,389.0","5,297,451.0","5,356,195.0","5,427,430.0","5,510,763.0","5,577,287.0","5,629,228.0","5,679,888.0","5,709,575.0","5,723,745.0","5,733,702.0","5,756,818.0","5,791,933.0","5,825,165.0","5,848,159.0","5,887,428.0","5,909,399.0","5,942,311.0","5,986,872.0","6,028,993.0","6,083,984.0","6,126,762.0","6,177,086.0","6,238,426.0","6,271,489.0","6,331,814.0","6,388,449.0","6,421,912.0","6,464,403.0","6,511,278.0","6,541,209.0","6,589,501.0","6,623,820.0","6,644,894.0","6,673,418.0","6,683,577.0","6,710,521.0","6,715,490.0","6,708,062.0","6,700,304.0","6,662,509.0","6,639,488.0","6,642,706.0","6,649,398.0","6,670,610.0","6,710,336.0","6,743,979.0","6,785,643.0","6,811,987.0","6,839,240.0","6,876,640.0","6,877,739.0","6,908,819.0","6,930,506.0","6,952,756.0","6,977,516.0","7,019,253.0","7,054,456.0","7,076,643.0","7,141,908.0","7,165,353.0","7,181,361.0","7,225,922.0","7,291,955.0"
"33","14","  Household consumption expenditures (for services)","DHCERX1","5,108,068.0","5,159,012.0","5,216,795.0","5,286,215.0","5,363,834.0","5,429,973.0","5,474,635.0","5,519,394.0","5,548,089.0","5,557,575.0","5,563,566.0","5,581,933.0","5,612,964.0","5,639,596.0","5,653,063.0","5,686,527.0","5,708,416.0","5,737,980.0","5,781,754.0","5,823,742.0","5,875,141.0","5,918,994.0","5,970,277.0","6,032,092.0","6,073,180.0","6,127,909.0","6,183,445.0","6,204,812.0","6,237,802.0","6,276,049.0","6,301,551.0","6,351,754.0","6,385,121.0","6,409,527.0","6,434,137.0","6,432,120.0","6,451,724.0","6,446,232.0","6,430,148.0","6,412,289.0","6,383,430.0","6,366,600.0","6,369,522.0","6,370,484.0","6,391,466.0","6,428,732.0","6,466,500.0","6,510,678.0","6,539,342.0","6,565,757.0","6,596,541.0","6,602,132.0","6,630,181.0","6,642,516.0","6,663,113.0","6,677,658.0","6,723,410.0","6,757,654.0","6,775,391.0","6,833,372.0","6,857,119.0","6,870,283.0","6,908,913.0","6,977,940.0"
"34","15","    Housing and utilities","DHUTRX1","1,531,197.0","1,546,073.0","1,562,209.0","1,562,348.0","1,570,511.0","1,592,101.0","1,606,656.0","1,632,833.0","1,641,322.0","1,639,633.0","1,646,294.0","1,644,905.0","1,644,706.0","1,651,617.0","1,654,422.0","1,664,544.0","1,668,048.0","1,673,011.0","1,675,315.0","1,687,556.0","1,698,335.0","1,710,582.0","1,720,338.0","1,742,366.0","1,760,857.0","1,782,259.0","1,802,123.0","1,808,224.0","1,803,771.0","1,824,542.0","1,835,961.0","1,828,474.0","1,837,500.0","1,840,125.0","1,845,439.0","1,840,048.0","1,854,624.0","1,860,228.0","1,854,743.0","1,870,817.0","1,874,043.0","1,877,955.0","1,881,417.0","1,890,556.0","1,897,157.0","1,896,528.0","1,906,495.0","1,916,842.0","1,918,306.0","1,924,406.0","1,937,367.0","1,931,909.0","1,924,312.0","1,942,135.0","1,951,697.0","1,943,290.0","1,967,208.0","1,966,946.0","1,959,619.0","1,969,066.0","1,995,978.0","1,979,533.0","1,970,908.0","1,983,661.0"
"35","16","    Health care","DHLCRX1","1,167,289.0","1,171,920.0","1,181,428.0","1,192,613.0","1,199,568.0","1,215,413.0","1,223,682.0","1,236,585.0","1,254,419.0","1,268,636.0","1,287,347.0","1,307,909.0","1,333,862.0","1,353,259.0","1,363,879.0","1,371,309.0","1,379,637.0","1,386,684.0","1,397,204.0","1,406,561.0","1,416,198.0","1,432,786.0","1,453,037.0","1,467,043.0","1,473,802.0","1,483,295.0","1,501,563.0","1,503,115.0","1,511,958.0","1,519,805.0","1,527,960.0","1,541,257.0","1,549,487.0","1,556,273.0","1,570,401.0","1,576,769.0","1,593,680.0","1,596,752.0","1,600,080.0","1,604,790.0","1,616,025.0","1,628,555.0","1,634,899.0","1,630,042.0","1,626,026.0","1,640,900.0","1,657,072.0","1,672,761.0","1,680,036.0","1,688,193.0","1,687,178.0","1,705,950.0","1,732,440.0","1,737,527.0","1,752,665.0","1,757,463.0","1,759,087.0","1,774,558.0","1,785,988.0","1,804,666.0","1,798,407.0","1,815,914.0","1,836,574.0","1,857,024.0"
"36","17","    Transportation services","DTRSRX1","310,529.0","314,364.0","320,654.0","324,309.0","328,635.0","332,272.0","334,500.0","335,721.0","336,180.0","334,717.0","328,462.0","322,770.0","323,324.0","320,300.0","319,786.0","319,871.0","321,660.0","320,561.0","323,811.0","325,761.0","329,028.0","331,804.0","331,776.0","333,485.0","333,905.0","334,982.0","335,934.0","333,987.0","333,245.0","335,219.0","335,063.0","338,587.0","340,306.0","340,336.0","338,947.0","336,445.0","332,118.0","326,510.0","319,565.0","306,938.0","296,540.0","291,074.0","286,952.0","284,213.0","284,593.0","286,171.0","288,039.0","289,634.0","290,180.0","293,497.0","295,983.0","296,857.0","297,293.0","298,640.0","300,950.0","301,459.0","305,363.0","307,117.0","307,894.0","310,027.0","311,439.0","314,282.0","316,324.0","318,733.0"
"37","18","    Recreation services","DRCARX1","308,883.0","313,772.0","320,533.0","324,116.0","323,830.0","326,596.0","327,077.0","326,321.0","328,928.0","325,533.0","323,721.0","323,508.0","325,551.0","326,059.0","326,943.0","330,647.0","330,460.0","335,647.0","341,109.0","346,194.0","351,576.0","355,220.0","357,794.0","358,556.0","362,436.0","364,471.0","364,514.0","367,279.0","372,191.0","374,357.0","377,088.0","386,071.0","388,818.0","390,514.0","394,570.0","394,393.0","393,155.0","392,505.0","387,678.0","382,548.0","378,954.0","375,332.0","373,619.0","376,095.0","379,061.0","377,044.0","382,389.0","385,330.0","383,988.0","389,757.0","392,140.0","392,475.0","394,664.0","395,551.0","396,394.0","397,826.0","403,753.0","403,605.0","407,191.0","408,152.0","406,233.0","404,383.0","405,055.0","410,920.0"
"38","19","    Food services and accommodations","DFSARX1","505,058.0","508,101.0","510,137.0","522,147.0","530,671.0","535,332.0","537,191.0","535,405.0","539,347.0","534,019.0","531,047.0","530,199.0","538,001.0","542,024.0","543,001.0","543,842.0","547,762.0","558,004.0","567,440.0","573,195.0","579,419.0","580,249.0","585,542.0","591,618.0","595,002.0","603,596.0","607,795.0","614,014.0","623,083.0","619,646.0","623,260.0","632,677.0","629,809.0","631,253.0","631,878.0","637,427.0","628,991.0","632,440.0","626,274.0","616,730.0","605,802.0","599,860.0","598,221.0","597,450.0","603,084.0","607,698.0","611,323.0","616,319.0","622,123.0","623,252.0","626,418.0","629,249.0","635,902.0","638,027.0","641,832.0","648,783.0","653,623.0","651,922.0","652,257.0","663,656.0","661,547.0","670,107.0","678,185.0","688,103.0"
"39","20","    Financial services and insurance","DIFSRX1","576,227.0","590,822.0","603,819.0","623,803.0","655,197.0","656,505.0","660,831.0","664,410.0","654,415.0","647,606.0","638,473.0","643,403.0","640,190.0","639,920.0","643,623.0","642,983.0","637,227.0","640,152.0","644,969.0","649,972.0","659,846.0","661,864.0","669,043.0","684,180.0","691,660.0","703,233.0","710,515.0","710,937.0","718,508.0","718,406.0","717,370.0","725,975.0","735,366.0","743,218.0","747,002.0","744,559.0","742,299.0","738,315.0","738,863.0","730,214.0","723,790.0","719,028.0","719,201.0","713,802.0","721,467.0","736,148.0","735,415.0","742,686.0","747,980.0","746,568.0","752,634.0","741,438.0","729,039.0","717,127.0","702,810.0","706,021.0","715,109.0","727,061.0","730,842.0","741,060.0","746,199.0","751,232.0","764,146.0","775,951.0"
