"","Table 3#9#5# Government Consumption Expenditures and Gross Inves","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"54","36","    Structures","A842RC1","25,579.0","25,789.0","26,953.0","27,106.0","29,137.0","34,740.0","38,136.0","38,148.0","36,911.0","42,846.0","49,040.0","55,058.0","55,421.0","54,245.0","54,222.0","60,536.0","67,553.0","74,207.0","78,821.0","84,793.0","88,727.0","98,539.0","103,180.0","104,232.0","104,487.0","108,710.0","117,256.0","126,838.0","139,530.0","143,562.0","159,678.0","175,975.0","192,310.0","205,844.0","211,137.0","219,141.0","231,533.0","251,246.0","271,154.0","285,289.0","289,775.0","280,537.0","271,053.0","261,556.0","255,493.0","260,714.0"
"55","37","    Equipment","Y070RC1","2,581.0","2,785.0","2,933.0","3,332.0","3,839.0","4,604.0","5,087.0","5,278.0","5,441.0","6,101.0","7,101.0","8,075.0","8,535.0","9,383.0","10,792.0","12,674.0","14,759.0","16,368.0","17,218.0","18,573.0","21,923.0","23,932.0","23,465.0","24,046.0","24,856.0","28,061.0","30,459.0","30,488.0","32,046.0","34,712.0","37,397.0","38,780.0","38,369.0","38,039.0","37,562.0","37,163.0","37,084.0","39,059.0","43,872.0","45,718.0","44,545.0","41,779.0","39,331.0","39,014.0","40,134.0","41,248.0"
"56","38","    Intellectual property products","Y071RC1","658.0","762.0","825.0","903.0","1,012.0","1,156.0","1,327.0","1,465.0","1,608.0","1,877.0","2,214.0","2,566.0","2,960.0","3,365.0","3,813.0","4,379.0","5,035.0","5,625.0","6,155.0","7,046.0","8,564.0","9,692.0","10,649.0","11,446.0","11,859.0","12,042.0","12,264.0","12,833.0","14,252.0","15,465.0","16,534.0","18,124.0","19,110.0","19,412.0","20,204.0","21,151.0","22,145.0","23,993.0","25,758.0","27,835.0","28,726.0","29,541.0","30,108.0","31,075.0","32,211.0","33,261.0"
"57","39","      Software","Y072RC1","141.0","175.0","177.0","204.0","241.0","292.0","366.0","412.0","437.0","532.0","693.0","839.0","1,000.0","1,199.0","1,434.0","1,766.0","2,072.0","2,235.0","2,410.0","2,938.0","4,059.0","4,766.0","5,406.0","6,063.0","6,328.0","6,274.0","6,254.0","6,452.0","7,360.0","8,160.0","8,661.0","9,503.0","9,809.0","9,441.0","9,729.0","10,213.0","10,595.0","11,173.0","11,655.0","12,311.0","12,224.0","12,220.0","12,898.0","13,486.0","13,998.0","14,553.0"
"58","40","      Research and development","Y073RC1","517.0","587.0","648.0","699.0","771.0","864.0","961.0","1,053.0","1,171.0","1,345.0","1,521.0","1,727.0","1,960.0","2,166.0","2,379.0","2,613.0","2,963.0","3,390.0","3,745.0","4,108.0","4,505.0","4,926.0","5,243.0","5,383.0","5,531.0","5,768.0","6,010.0","6,381.0","6,892.0","7,305.0","7,873.0","8,621.0","9,301.0","9,971.0","10,475.0","10,938.0","11,550.0","12,820.0","14,103.0","15,524.0","16,502.0","17,321.0","17,210.0","17,589.0","18,213.0","18,708.0"
"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","(construction, software, and research and development).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
