"","Table 3#19# Relation of State and Local Government Current Recei","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"19",NA,"      Current receipts"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","1","Census total revenue","L319011","132,153.0","150,106.0","166,090.0","190,798.0","217,579.0","237,916.0","264,013.0","303,287.0","337,870.0","371,607.0","404,934.0","451,537.0","506,728.0","547,719.0","593,372.0","651,997.0","720,062.0","783,378.0","844,302.0","884,117.0","953,802.0","1,032,115.0","1,080,862.0","1,189,987.0","1,270,748.0","1,331,442.0","1,417,925.0","1,513,633.0","1,614,771.0","1,720,889.0","1,794,121.0","1,942,328.0","1,890,891.0","1,806,592.0","2,047,337.0","2,434,155.0","2,528,546.0","2,742,151.0","3,067,232.0","2,620,868.0","2,099,813.0","3,180,023.0","3,440,609.0","3,033,555.0","....."
"21","2","Less: Coverage differences","L319021","14,334.0","14,492.0","14,235.0","15,256.0","18,871.0","22,480.0","25,394.0","36,026.0","37,190.0","37,208.0","42,044.0","49,393.0","61,619.0","64,617.0","77,810.0","79,731.0","90,897.0","107,875.0","120,458.0","118,018.0","123,939.0","136,672.0","131,150.0","160,871.0","178,453.0","175,511.0","191,536.0","230,259.0","270,410.0","299,894.0","298,569.0","341,068.0","177,307.0","58,390.0","208,120.0","461,979.0","420,725.0","464,959.0","649,477.0","108,994.0","-412,380.0","592,986.0","741,438.0","355,965.0","....."
"22","3","  State and local employee retirement plan transactions \1\","L319031","5,654.0","6,493.0","7,451.0","8,470.0","10,064.0","10,900.0","12,354.0","14,533.0","14,440.0","19,026.0","21,924.0","25,440.0","30,382.0","34,143.0","42,526.0","46,180.0","53,214.0","69,365.0","79,491.0","77,819.0","81,173.0","94,268.0","87,229.0","105,853.0","112,514.0","114,357.0","122,597.0","165,176.0","198,136.0","238,386.0","237,912.0","273,901.0","102,636.0","-31,505.0","120,157.0","365,319.0","316,576.0","346,295.0","533,735.0","-5,420.0","-545,317.0","417,468.0","554,286.0","172,475.0","....."
"23","4","    Contributions to defined-benefit pension plans \2\","L319041","3,511.0","4,034.0","4,539.0","4,999.0","6,000.0","6,400.0","7,060.0","8,206.0","8,273.0","10,871.0","11,375.0","12,225.0","14,035.0","15,004.0","16,535.0","17,149.0","18,668.0","20,400.0","21,826.0","22,722.0","24,349.0","26,267.0","28,154.0","28,416.0","29,178.0","31,291.0","34,357.0","35,863.0","38,072.0","39,173.0","40,424.0","42,028.0","42,380.0","43,195.0","47,385.0","49,765.0","53,889.0","56,877.0","61,067.0","66,035.0","68,721.0","68,993.0","73,430.0","77,058.0","....."
"24","5","    Interest received \3\","L319051","2,024.0","2,268.0","2,653.0","3,166.0","3,688.0","3,875.0","4,427.0","5,497.0","5,178.0","6,642.0","8,774.0","11,281.0","14,516.0","16,607.0","23,011.0","25,598.0","27,427.0","31,740.0","35,691.0","39,002.0","40,007.0","48,046.0","40,712.0","46,651.0","38,895.0","43,892.0","50,462.0","63,417.0","57,525.0","72,947.0","65,010.0","68,793.0","53,557.0","48,548.0","57,858.0","65,021.0","58,682.0","67,589.0","63,017.0","60,915.0","38,900.0","39,589.0","40,707.0","37,594.0","....."
"25","6","    Dividends received \3\","L319061","119.0","191.0","259.0","305.0","376.0","625.0","867.0","830.0","989.0","1,513.0","1,775.0","1,934.0","1,831.0","2,532.0","2,980.0","3,433.0","4,016.0","4,643.0","5,330.0","6,274.0","7,986.0","9,640.0","10,969.0","12,155.0","11,246.0","11,688.0","12,728.0","14,048.0","20,439.0","20,871.0","21,760.0","22,977.0","20,709.0","18,347.0","14,813.0","18,186.0","23,732.0","26,010.0","29,736.0","31,028.0","24,444.0","22,480.0","24,825.0","27,428.0","....."
"26","7","    Capital gains net of losses \4\","L319071",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","3,103.0","12,582.0","16,644.0","9,821.0","8,831.0","10,315.0","7,394.0","18,631.0","33,195.0","27,486.0","25,050.0","51,848.0","82,100.0","105,395.0","110,718.0","140,103.0","-14,010.0","-141,595.0","101.0","232,347.0","180,273.0","195,819.0","379,915.0","-163,398.0","-677,382.0","286,406.0","415,324.0","30,395.0","....."
"27","8","  Unemployment insurance fund contributions and earnings \5\","L319081","3,049.0","3,101.0","3,096.0","3,601.0","4,964.0","5,729.0","8,155.0","15,183.0","15,296.0","13,158.0","12,941.0","13,529.0","18,571.0","16,922.0","21,583.0","16,759.0","17,640.0","18,267.0","18,925.0","17,273.0","19,704.0","18,441.0","18,025.0","27,019.0","34,649.0","29,901.0","37,225.0","33,864.0","34,780.0","23,153.0","22,234.0","23,366.0","23,341.0","27,086.0","35,335.0","38,362.0","35,367.0","36,989.0","34,186.0","34,489.0","42,115.0","75,191.0","87,578.0","80,311.0","....."
"28","9","  Certain grant programs \6\","L319091","-702.0","-1,535.0","-1,549.0","-2,458.0","-2,633.0","-1,368.0","-3,198.0","-4,308.0","-4,011.0","-7,245.0","-6,966.0","-7,135.0","-6,729.0","-3,819.0","-2,632.0","-536.0","1,677.0","151.0","1,565.0","2,871.0","2,113.0","1,655.0","1,882.0","4,141.0","7,220.0","5,826.0","4,427.0","3,478.0","8,404.0","8,940.0","7,963.0","7,148.0","9,881.0","14,674.0","9,236.0","11,446.0","14,531.0","23,205.0","27,366.0","21,802.0","31,140.0","34,185.0","25,780.0","31,933.0","....."
"29","10","  Capital transfers received \7\","L319101","6,550.0","6,107.0","5,999.0","6,446.0","7,147.0","7,890.0","9,054.0","10,853.0","12,161.0","12,786.0","14,016.0","16,854.0","18,104.0","16,263.0","16,614.0","17,720.0","19,561.0","21,835.0","21,328.0","21,195.0","22,101.0","22,792.0","24,571.0","24,924.0","25,881.0","28,235.0","30,832.0","31,708.0","33,199.0","33,692.0","36,466.0","41,458.0","45,432.0","52,278.0","49,706.0","52,425.0","58,146.0","59,500.0","56,008.0","59,984.0","60,775.0","70,502.0","75,808.0","72,482.0","....."
"30","11","  Financial transactions \4\","L319111","105.0","119.0","102.0","161.0","172.0","128.0","465.0","1,175.0","400.0","558.0","793.0","921.0","1,169.0","1,461.0","1,270.0","1,513.0","1,757.0","2,086.0","2,259.0","1,532.0","1,738.0","1,924.0","2,033.0","2,107.0","2,046.0","1,920.0","1,991.0","2,314.0","2,266.0","2,265.0","1,893.0","2,950.0","2,870.0","3,396.0","3,141.0","3,882.0","4,521.0","7,061.0","9,556.0","10,525.0","10,332.0","7,844.0","10,960.0","9,636.0","....."
"31","12","  Sale of land","L319121","290.0","1,155.0","272.0","229.0","265.0","340.0","265.0","290.0","379.0","472.0","578.0","809.0","785.0","648.0","814.0","768.0","723.0","809.0","653.0","812.0","809.0","936.0","675.0","564.0","657.0","586.0","734.0","695.0","1,226.0","1,619.0","1,165.0","1,470.0","1,917.0","1,608.0","1,282.0","1,501.0","2,153.0","5,153.0","3,387.0","3,191.0","2,697.0","2,161.0","2,435.0","2,877.0","....."
"32","13","  Certain dividends","W720RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-5.0","-115.0","-210.0","-350.0","-500.0","-603.0","-792.0","-1,040.0","-1,186.0","-1,304.0","-870.0","-824.0","-821.0","-1,142.0","-1,007.0","-1,145.0","-974.0","-1,342.0","-1,297.0","-1,353.0","-1,751.0","-1,726.0","-2,400.0","....."
"33","14","  Current surplus of Indian tribal government enterprises","W721RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-16.0","-229.0","-424.0","-826.0","-1,244.0","-1,580.0","-1,882.0","-2,191.0","-2,526.0","-3,073.0","-3,418.0","-3,784.0","-4,629.0","-5,109.0","-5,240.0","-5,876.0","-7,167.0","-8,067.0","-8,237.0","-8,251.0","-8,292.0","-8,452.0","-8,645.0","....."
"34","15","  Imputed interest received and net insurance settlements","W722RC1","-612.0","-948.0","-1,136.0","-1,193.0","-1,108.0","-1,139.0","-1,701.0","-1,700.0","-1,475.0","-1,547.0","-1,242.0","-1,025.0","-663.0","-1,001.0","-2,365.0","-2,673.0","-3,676.0","-4,638.0","-3,763.0","-3,484.0","-3,699.0","-3,323.0","-2,921.0","-3,103.0","-3,338.0","-3,570.0","-4,087.0","-4,302.0","-4,370.0","-4,449.0","-4,687.0","-4,937.0","-4,162.0","-3,697.0","-4,486.0","-4,709.0","-3,548.0","-5,103.0","-5,352.0","-6,043.0","-4,518.0","-4,322.0","-5,231.0","-2,704.0","....."
"35","16","Less: Netting and grossing differences","L319141","21,452.0","23,920.0","27,025.0","30,100.0","32,998.0","37,251.0","41,888.0","47,506.0","53,752.0","60,255.0","68,861.0","79,083.0","91,023.0","103,289.0","111,877.0","121,652.0","130,973.0","140,978.0","151,359.0","162,595.0","176,973.0","191,415.0","205,024.0","221,611.0","237,285.0","252,832.0","267,675.0","281,774.0","291,932.0","305,281.0","318,552.0","339,563.0","371,133.0","395,130.0","419,988.0","444,836.0","473,250.0","509,988.0","544,783.0","581,857.0","607,271.0","624,613.0","644,890.0","656,237.0","....."
"36","17","  Current expenditures of government enterprises \8\","W723RC1","10,510.0","11,684.0","13,072.0","14,627.0","16,325.0","18,766.0","21,908.0","24,953.0","28,248.0","32,044.0","36,689.0","42,703.0","49,719.0","56,110.0","61,268.0","65,955.0","71,134.0","76,367.0","81,556.0","86,868.0","93,277.0","99,357.0","105,191.0","111,276.0","117,940.0","125,512.0","132,289.0","137,481.0","142,566.0","148,536.0","155,509.0","163,863.0","182,228.0","192,949.0","204,908.0","217,325.0","233,867.0","251,945.0","274,846.0","293,574.0","304,865.0","308,794.0","314,533.0","320,751.0","....."
"37","18","  Government sales included in Census total revenue \9\","L319161","10,533.0","11,807.0","13,536.0","15,088.0","16,311.0","18,119.0","19,601.0","22,249.0","25,282.0","27,988.0","31,922.0","36,059.0","40,917.0","46,710.0","50,007.0","54,905.0","58,819.0","63,559.0","68,676.0","74,625.0","82,680.0","91,117.0","99,136.0","109,854.0","118,990.0","127,149.0","135,304.0","143,832.0","149,018.0","156,327.0","162,555.0","175,141.0","187,875.0","201,054.0","214,261.0","228,893.0","243,667.0","260,343.0","269,194.0","286,941.0","301,115.0","314,854.0","329,175.0","335,444.0","....."
"38","19","  Insurance claims included in Census total revenue","W724RC1","440.0","462.0","457.0","428.0","407.0","420.0","423.0","378.0","339.0","365.0","458.0","554.0","620.0","717.0","838.0","998.0","1,222.0","1,345.0","1,373.0","1,338.0","1,321.0","1,258.0","1,084.0","1,112.0","1,099.0","1,029.0","1,118.0","1,159.0","1,113.0","1,177.0","1,300.0","1,310.0","1,746.0","1,864.0","1,587.0","-511.0","-3,460.0","-1,405.0","1,528.0","1,954.0","1,958.0","1,577.0","1,807.0","689.0","....."
"39","20","  Employer contributions to own social insurance funds","L319181","-31.0","-33.0","-40.0","-43.0","-45.0","-54.0","-44.0","-74.0","-117.0","-142.0","-208.0","-233.0","-233.0","-248.0","-236.0","-206.0","-202.0","-293.0","-246.0","-236.0","-305.0","-317.0","-387.0","-631.0","-744.0","-858.0","-1,036.0","-698.0","-765.0","-759.0","-812.0","-751.0","-716.0","-737.0","-768.0","-871.0","-824.0","-895.0","-785.0","-612.0","-667.0","-612.0","-625.0","-647.0","....."
"40","21","Plus: Timing and other differences \10\","L319191","850.0","859.0","-359.0","-81.0","-262.0","384.0","-337.0","-485.0","-3,236.0","-109.0","-546.0","-1,552.0","-1,346.0","-2,114.0","-1,889.0","3,751.0","-6,619.0","2,325.0","3,260.0","4,865.0","2,785.0","-493.0","4,856.0","1,292.0","-1,453.0","3,398.0","3,525.0","4,669.0","3,685.0","2,034.0","6,535.0","6,663.0","-4,686.0","6,783.0","-7,365.0","4,282.0","12,841.0","2,872.0","-9,784.0","-22,914.0","-12,926.0","-10,236.0","-11,546.0","5,912.0","....."
"41","22","  Corporate profits taxes timing differences","L319201","172.0","-307.0","292.0","121.0","109.0","27.0","-239.0","1,350.0","905.0","600.0","486.0","300.0","322.0","-1,651.0","-183.0","1,654.0","137.0","1,457.0","454.0","1,188.0","551.0","-1,181.0","805.0","737.0","-1,658.0","-295.0","-6.0","658.0","-617.0","571.0","1,139.0","840.0","-2,982.0","927.0","-813.0","3,407.0","5,625.0","5,651.0","522.0","-2,176.0","-751.0","1,471.0","1,916.0","2,029.0","....."
"42","23","  Other timing differences and other","L319211","678.0","1,166.0","-651.0","-202.0","-371.0","357.0","-98.0","-1,835.0","-4,141.0","-709.0","-1,032.0","-1,852.0","-1,668.0","-463.0","-1,706.0","2,097.0","-6,756.0","868.0","2,806.0","3,677.0","2,234.0","688.0","4,051.0","555.0","205.0","3,693.0","3,531.0","4,011.0","4,302.0","1,463.0","5,396.0","5,823.0","-1,704.0","5,856.0","-6,552.0","875.0","7,216.0","-2,779.0","-10,306.0","-20,738.0","-12,175.0","-11,707.0","-13,462.0","3,883.0","....."
"43","24","Equals: State and local government current receipts, NIPAs","L319221","97,217.0","112,554.0","124,470.0","145,361.0","165,448.0","178,568.0","196,394.0","219,269.0","243,692.0","274,035.0","293,483.0","321,510.0","352,740.0","377,699.0","401,796.0","454,365.0","491,573.0","536,850.0","575,745.0","608,369.0","655,675.0","703,535.0","749,544.0","808,797.0","853,557.0","906,497.0","962,239.0","1,006,269.0","1,056,114.0","1,117,748.0","1,183,535.0","1,268,360.0","1,337,765.0","1,359,855.0","1,411,864.0","1,531,621.0","1,647,412.0","1,770,076.0","1,863,188.0","1,907,103.0","1,891,996.0","1,952,188.0","2,042,735.0","2,027,265.0","....."
"44",NA,"      Current expenditures"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","25","Census total expenditures","L319231","131,600.0","148,052.0","170,766.0","190,496.0","205,195.0","226,032.0","269,215.0","304,229.0","324,554.0","346,786.0","381,867.0","434,073.0","487,048.0","524,817.0","566,911.0","600,222.0","657,888.0","717,458.0","777,045.0","826,849.0","890,863.0","975,940.0","1,063,270.0","1,156,781.0","1,213,723.0","1,264,289.0","1,351,438.0","1,397,634.0","1,460,749.0","1,529,308.0","1,625,939.0","1,746,943.0","1,899,150.0","2,051,537.0","2,164,176.0","2,266,647.0","2,368,316.0","2,502,264.0","2,663,812.0","2,839,548.0","2,990,634.0","3,115,172.0","3,159,581.0","3,151,703.0","....."
"46","26","Less: Coverage differences","L319241","16,436.0","16,754.0","20,030.0","18,130.0","17,542.0","19,319.0","27,204.0","33,712.0","29,675.0","23,061.0","27,501.0","37,620.0","44,924.0","40,912.0","42,527.0","35,985.0","45,443.0","53,757.0","62,458.0","66,664.0","66,447.0","74,163.0","88,110.0","91,288.0","82,778.0","79,237.0","92,795.0","94,787.0","110,243.0","116,370.0","138,529.0","163,425.0","181,476.0","207,375.0","198,093.0","172,878.0","160,420.0","170,274.0","194,795.0","228,928.0","230,084.0","257,320.0","233,622.0","198,763.0","....."
"47","27","  State and local employee retirement plan transactions \1\","L319251","-4,590.0","-5,127.0","-5,832.0","-7,735.0","-7,591.0","-7,180.0","-9,385.0","-8,831.0","-7,204.0","-8,232.0","-8,550.0","-7,993.0","-7,293.0","-6,730.0","-7,465.0","-5,741.0","-4,178.0","-2,674.0","62.0","3,547.0","-1,556.0","-5,640.0","-2,411.0","-11,891.0","-18,288.0","-11,775.0","-12,805.0","-7,174.0","383.0","11,138.0","21,157.0","34,012.0","38,835.0","29,074.0","11,263.0","-4,911.0","1,096.0","6,723.0","16,241.0","33,548.0","2,457.0","-29,362.0","-12,487.0","-5,126.0","....."
"48","28","    Contributions from general government employers to own defined-benefit pension plans","L319261","-5,891.0","-6,600.0","-7,558.0","-9,383.0","-9,916.0","-9,962.0","-11,752.0","-12,033.0","-11,845.0","-13,345.0","-14,847.0","-16,020.0","-16,983.0","-18,223.0","-19,893.0","-21,642.0","-23,382.0","-25,225.0","-27,469.0","-28,899.0","-34,530.0","-41,712.0","-44,121.0","-53,123.0","-61,993.0","-63,922.0","-68,348.0","-72,266.0","-76,446.0","-81,697.0","-86,860.0","-93,420.0","-100,518.0","-106,942.0","-111,978.0","-126,679.0","-138,330.0","-141,755.0","-150,486.0","-155,959.0","-158,029.0","-170,138.0","-178,087.0","-175,889.0","....."
"49","29","    Benefits paid","L319271","3,221.0","3,629.0","4,155.0","4,757.0","5,824.0","6,639.0","7,443.0","8,422.0","9,558.0","10,774.0","12,273.0","14,008.0","15,695.0","17,813.0","19,254.0","22,270.0","24,414.0","26,521.0","29,603.0","32,129.0","34,894.0","38,355.0","42,121.0","46,358.0","50,805.0","56,441.0","61,427.0","68,106.0","72,854.0","80,294.0","85,574.0","95,706.0","105,088.0","114,931.0","127,198.0","137,537.0","145,796.0","156,180.0","167,496.0","181,582.0","192,934.0","204,803.0","220,551.0","233,227.0","....."
"50","30","    Administrative expenses","L319281","112.0","123.0","139.0","153.0","164.0","175.0","185.0","203.0","217.0","222.0","240.0","256.0","304.0","410.0","442.0","387.0","504.0","751.0","857.0","950.0","1,145.0","1,340.0","1,516.0","1,692.0","1,794.0","2,119.0","2,207.0","2,894.0","3,407.0","3,719.0","4,477.0","4,752.0","7,170.0","7,772.0","7,671.0","7,912.0","10,255.0","10,228.0","15,426.0","12,983.0","8,810.0","11,737.0","13,354.0","13,324.0","....."
"51","31","    Imputed interest for unfunded actuarial liability","Y396RC1","-2,032.0","-2,279.0","-2,568.0","-3,262.0","-3,663.0","-4,032.0","-5,261.0","-5,423.0","-5,134.0","-5,883.0","-6,216.0","-6,237.0","-6,309.0","-6,730.0","-7,268.0","-6,756.0","-5,714.0","-4,721.0","-2,929.0","-633.0","-3,065.0","-3,623.0","-1,927.0","-6,818.0","-8,894.0","-6,413.0","-8,091.0","-5,908.0","568.0","8,822.0","17,966.0","26,974.0","27,095.0","13,313.0","-11,628.0","-23,681.0","-16,625.0","-17,930.0","-16,195.0","-5,058.0","-41,258.0","-75,764.0","-68,305.0","-75,788.0","....."
"52","32","  Unemployment insurance fund benefits paid \5\","L319291","1,992.0","2,723.0","4,708.0","4,741.0","4,081.0","4,703.0","12,311.0","17,903.0","14,697.0","10,740.0","8,886.0","12,070.0","17,932.0","18,126.0","24,172.0","14,060.0","14,995.0","14,887.0","15,248.0","13,093.0","12,862.0","16,499.0","22,135.0","32,887.0","35,409.0","28,624.0","35,204.0","29,509.0","27,158.0","17,779.0","19,223.0","18,648.0","22,986.0","42,196.0","51,547.0","43,278.0","29,849.0","28,097.0","28,934.0","35,568.0","66,159.0","135,367.0","121,870.0","95,554.0","....."
"53","33","  Net investment \11\","L319301","18,000.0","18,464.0","20,316.0","20,552.0","20,191.0","20,908.0","23,636.0","24,270.0","21,711.0","20,146.0","26,243.0","32,040.0","32,141.0","27,364.0","26,152.0","28,180.0","35,599.0","43,235.0","47,903.0","49,717.0","54,892.0","61,882.0","66,210.0","68,655.0","64,936.0","62,480.0","70,813.0","73,414.0","85,156.0","89,877.0","99,896.0","112,143.0","121,911.0","137,404.0","138,289.0","139,266.0","135,523.0","142,549.0","155,169.0","166,205.0","168,560.0","161,382.0","136,741.0","122,356.0","....."
"54","34","  Services provided without payment by domestic securities brokers","L319311","-12.0","-14.0","-16.0","-15.0","-18.0","-25.0","-30.0","-43.0","-63.0","-63.0","-95.0","-140.0","-133.0","-139.0","-197.0","-258.0","-423.0","-677.0","-816.0","-723.0","-720.0","-754.0","-751.0","-859.0","-1,164.0","-1,015.0","-865.0","-858.0","-663.0","-692.0","-760.0","-787.0","-943.0","-913.0","-1,080.0","-1,129.0","-1,404.0","-1,650.0","-1,865.0","-2,291.0","-2,142.0","-2,123.0","-2,261.0","-1,885.0","....."
"55","35","  Purchases of land","L319321","1,757.0","1,650.0","1,973.0","1,784.0","2,022.0","2,029.0","2,328.0","2,115.0","2,045.0","1,957.0","2,118.0","2,476.0","2,602.0","2,737.0","2,806.0","3,057.0","3,459.0","4,151.0","4,571.0","5,209.0","5,061.0","6,248.0","6,638.0","6,418.0","6,489.0","6,476.0","7,102.0","7,473.0","6,600.0","7,804.0","9,714.0","10,202.0","10,311.0","12,796.0","12,734.0","12,828.0","13,420.0","13,864.0","16,354.0","17,166.0","16,520.0","13,672.0","12,601.0","11,571.0","....."
"56","36","  Indian tribal government expenditures","W725RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-547.0","-680.0","-960.0","-1,381.0","-1,919.0","-2,531.0","-3,253.0","-3,945.0","-4,887.0","-5,924.0","-5,712.0","-6,750.0","-8,566.0","-9,503.0","-11,129.0","-12,321.0","-13,265.0","-13,963.0","-15,355.0","-16,391.0","-16,885.0","-17,653.0","-18,178.0","....."
