"","Table 3#1# Government Current Receipts and Expenditures         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187"
"32","13","Current transfer receipts","W060RC1","2,531.0","2,577.0","2,613.0","2,659.0","2,715.0","2,754.0","2,676.0","2,703.0","2,826.0","2,870.0","2,936.0","3,032.0","3,297.0","3,424.0","3,517.0","3,574.0","3,779.0","3,845.0","3,411.0","3,505.0","3,906.0","4,073.0","4,200.0","4,293.0","4,512.0","4,621.0","4,736.0","4,871.0","5,329.0","5,373.0","5,476.0","5,662.0","5,999.0","6,240.0","6,685.0","6,904.0","7,413.0","7,660.0","7,891.0","8,104.0","8,569.0","8,766.0","8,948.0","9,137.0","9,625.0","9,894.0","10,044.0","11,713.0","11,697.0","11,443.0","11,696.0","11,920.0","13,299.0","13,779.0","14,227.0","14,679.0","15,240.0","15,721.0","16,180.0","16,919.0","17,855.0","18,454.0","18,878.0","19,209.0","20,118.0","26,218.0","21,062.0","21,502.0","30,055.0","22,780.0","22,296.0","24,757.0","25,401.0","26,703.0","26,260.0","26,676.0","25,669.0","26,323.0","27,474.0","28,554.0","29,882.0","30,826.0","32,613.0","33,031.0","33,369.0","33,902.0","35,658.0","38,423.0","41,525.0","42,790.0","44,567.0","46,414.0","47,358.0","47,807.0","49,055.0","53,972.0","53,191.0","53,477.0","54,088.0","56,076.0","58,811.0","58,377.0","59,629.0","58,363.0","57,758.0","57,453.0","57,452.0","57,357.0","58,745.0","60,438.0","62,080.0","81,365.0","65,033.0","66,544.0","71,968.0","68,575.0","70,196.0","69,744.0","71,796.0","84,916.0","77,936.0","79,716.0","80,848.0","83,552.0","87,892.0","89,972.0","91,384.0","93,428.0","94,364.0","95,700.0","97,620.0","99,528.0","101,780.0","101,852.0","102,644.0","104,156.0","105,732.0","107,336.0","109,736.0","112,456.0","116,331.0","118,822.0","120,664.0","121,256.0","122,423.0","124,253.0","125,472.0","127,941.0","131,768.0","133,858.0","135,979.0","138,089.0","140,683.0","141,557.0","143,005.0","146,500.0","149,349.0","149,833.0","148,995.0","165,108.0","169,076.0","183,763.0","166,517.0","168,628.0","169,394.0","168,355.0","173,003.0","173,450.0","175,962.0","174,429.0","175,775.0","172,599.0","170,547.0","164,794.0","158,224.0","153,713.0","175,522.0","181,941.0","176,959.0","186,998.0","178,500.0","178,589.0","234,213.0","188,420.0"
"33","14","  From business (net)","W061RC1","1,456.0","1,471.0","1,469.0","1,472.0","1,493.0","1,495.0","1,377.0","1,359.0","1,455.0","1,448.0","1,457.0","1,484.0","1,624.0","1,659.0","1,686.0","1,699.0","1,948.0","2,025.0","1,583.0","1,644.0","1,966.0","2,058.0","2,092.0","2,084.0","2,208.0","2,197.0","2,180.0","2,183.0","2,501.0","2,414.0","2,394.0","2,459.0","2,692.0","2,819.0","3,169.0","3,284.0","3,708.0","3,858.0","3,983.0","4,095.0","4,430.0","4,507.0","4,562.0","4,609.0","4,983.0","5,064.0","4,997.0","6,424.0","6,085.0","5,587.0","5,621.0","5,659.0","6,608.0","6,855.0","7,040.0","7,217.0","7,520.0","7,733.0","7,903.0","8,384.0","9,076.0","9,399.0","9,572.0","9,677.0","10,255.0","15,998.0","10,455.0","10,492.0","18,711.0","11,060.0","10,241.0","12,040.0","12,739.0","13,792.0","12,753.0","12,980.0","11,516.0","11,564.0","12,403.0","13,153.0","13,961.0","14,533.0","15,936.0","15,950.0","16,094.0","16,026.0","17,000.0","18,824.0","20,598.0","20,722.0","21,456.0","22,236.0","22,371.0","22,030.0","22,672.0","27,139.0","25,149.0","25,146.0","25,406.0","26,855.0","28,697.0","27,681.0","28,447.0","26,787.0","25,875.0","25,110.0","24,566.0","23,877.0","24,718.0","25,805.0","26,845.0","45,536.0","27,793.0","28,525.0","33,385.0","29,621.0","31,144.0","30,404.0","31,800.0","43,852.0","35,648.0","36,200.0","36,176.0","37,780.0","40,956.0","41,844.0","42,044.0","42,832.0","42,828.0","43,244.0","44,232.0","45,224.0","46,608.0","45,856.0","45,856.0","46,592.0","47,224.0","47,644.0","48,644.0","49,712.0","51,483.0","52,464.0","53,011.0","52,518.0","52,159.0","53,099.0","53,405.0","54,926.0","56,669.0","57,721.0","58,826.0","59,940.0","60,861.0","60,922.0","61,639.0","64,503.0","67,143.0","67,165.0","66,017.0","81,950.0","85,774.0","100,250.0","82,872.0","84,926.0","85,381.0","84,472.0","89,206.0","89,710.0","91,799.0","89,603.0","89,984.0","85,535.0","81,905.0","75,000.0","67,682.0","62,841.0","84,739.0","90,970.0","85,507.0","94,788.0","85,247.0","84,328.0","138,950.0","92,198.0"
"34","15","  From persons","W062RC1","1,075.0","1,106.0","1,144.0","1,187.0","1,222.0","1,259.0","1,299.0","1,344.0","1,371.0","1,422.0","1,479.0","1,548.0","1,673.0","1,765.0","1,831.0","1,875.0","1,831.0","1,820.0","1,828.0","1,861.0","1,940.0","2,015.0","2,108.0","2,209.0","2,304.0","2,424.0","2,556.0","2,688.0","2,828.0","2,959.0","3,082.0","3,203.0","3,307.0","3,421.0","3,516.0","3,620.0","3,705.0","3,802.0","3,908.0","4,009.0","4,139.0","4,259.0","4,386.0","4,528.0","4,642.0","4,830.0","5,047.0","5,289.0","5,612.0","5,856.0","6,075.0","6,261.0","6,691.0","6,924.0","7,187.0","7,462.0","7,720.0","7,988.0","8,277.0","8,535.0","8,779.0","9,055.0","9,306.0","9,532.0","9,863.0","10,220.0","10,607.0","11,010.0","11,344.0","11,720.0","12,055.0","12,717.0","12,662.0","12,911.0","13,507.0","13,696.0","14,153.0","14,759.0","15,071.0","15,401.0","15,921.0","16,293.0","16,677.0","17,081.0","17,275.0","17,876.0","18,658.0","19,599.0","20,927.0","22,068.0","23,111.0","24,178.0","24,987.0","25,777.0","26,383.0","26,833.0","28,042.0","28,331.0","28,682.0","29,221.0","30,114.0","30,696.0","31,182.0","31,576.0","31,883.0","32,343.0","32,886.0","33,480.0","34,027.0","34,633.0","35,235.0","35,829.0","37,240.0","38,019.0","38,583.0","38,954.0","39,052.0","39,340.0","39,996.0","41,064.0","42,288.0","43,516.0","44,672.0","45,772.0","46,936.0","48,128.0","49,340.0","50,596.0","51,536.0","52,456.0","53,388.0","54,304.0","55,172.0","55,996.0","56,788.0","57,564.0","58,508.0","59,692.0","61,092.0","62,744.0","64,848.0","66,358.0","67,653.0","68,738.0","70,264.0","71,154.0","72,067.0","73,015.0","75,099.0","76,137.0","77,153.0","78,149.0","79,822.0","80,635.0","81,366.0","81,997.0","82,206.0","82,668.0","82,978.0","83,158.0","83,302.0","83,513.0","83,645.0","83,702.0","84,013.0","83,883.0","83,797.0","83,740.0","84,163.0","84,826.0","85,791.0","87,064.0","88,642.0","89,794.0","90,542.0","90,872.0","90,783.0","90,971.0","91,452.0","92,210.0","93,253.0","94,261.0","95,263.0","96,222.0"
"35","16","Current surplus of government enterprises \2\","A108RC1","13.0","-4.0","-32.0","42.0","-677.0","-1,294.0","-1,276.0","-1,549.0","-1,942.0","-1,425.0","-1,754.0","-1,671.0","-1,589.0","-1,256.0","-1,124.0","-654.0","-1,597.0","-2,004.0","-2,423.0","-2,792.0","-2,704.0","-2,134.0","-2,688.0","-3,205.0","-3,952.0","-4,169.0","-4,569.0","-4,729.0","-2,734.0","-2,738.0","-2,634.0","-2,717.0","-2,955.0","-3,082.0","-3,604.0","-3,695.0","-3,646.0","-3,184.0","-1,861.0","-2,698.0","-2,781.0","-2,939.0","-3,117.0","-4,011.0","-4,126.0","-4,768.0","-5,092.0","-6,218.0","-6,649.0","-4,601.0","-5,078.0","-4,358.0","-3,823.0","-3,720.0","-3,871.0","-3,764.0","-2,986.0","-2,490.0","-2,145.0","-1,628.0","-2,118.0","-1,611.0","-1,291.0","-483.0","228.0","1,544.0","1,843.0","1,613.0","1,888.0","1,950.0","1,953.0","2,062.0","2,463.0","2,248.0","1,994.0","1,961.0","1,687.0","5,925.0","6,046.0","6,503.0","6,544.0","6,724.0","6,624.0","6,799.0","4,648.0","3,255.0","2,841.0","2,190.0","5,535.0","7,969.0","8,216.0","9,635.0","9,409.0","10,193.0","10,724.0","9,387.0","9,113.0","11,329.0","11,050.0","11,592.0","12,172.0","12,111.0","11,742.0","11,292.0","15,663.0","15,434.0","15,564.0","15,812.0","16,486.0","16,658.0","17,155.0","17,260.0","17,364.0","18,058.0","17,306.0","17,086.0","16,399.0","16,662.0","16,569.0","15,416.0","17,320.0","16,664.0","16,158.0","14,542.0","14,212.0","12,796.0","9,396.0","6,507.0","5,767.0","3,961.0","8,767.0","2,151.0","4,326.0","4,806.0","9,777.0","9,061.0","6,082.0","4,493.0","2,980.0","2,000.0","107.0","-937.0","-2,706.0","-3,652.0","-4,932.0","-5,729.0","-7,341.0","-7,591.0","-5,923.0","-8,107.0","-10,395.0","-12,825.0","-15,682.0","-15,749.0","-15,587.0","-18,750.0","-20,217.0","-21,204.0","-21,458.0","-21,948.0","-21,830.0","-20,415.0","-19,531.0","-20,743.0","-21,179.0","-22,587.0","-23,466.0","-24,313.0","-24,461.0","-24,094.0","-24,641.0","-24,851.0","-23,873.0","-24,530.0","-25,432.0","-27,318.0","-27,785.0","-29,644.0","-30,121.0","-30,985.0","-31,064.0","-33,606.0","-36,337.0","-39,040.0"
"36","17","    Current expenditures","W022RC1","271,170.0","280,157.0","287,428.0","295,344.0","301,755.0","315,869.0","322,206.0","330,085.0","339,750.0","352,006.0","355,295.0","362,453.0","377,559.0","381,800.0","385,226.0","398,858.0","405,266.0","414,939.0","418,378.0","427,768.0","441,327.0","460,500.0","475,778.0","495,706.0","517,786.0","544,555.0","549,523.0","562,071.0","569,413.0","573,560.0","587,913.0","597,359.0","609,062.0","620,640.0","635,688.0","655,115.0","669,095.0","681,153.0","699,374.0","717,518.0","734,416.0","749,750.0","773,904.0","801,481.0","833,256.0","858,996.0","898,883.0","927,038.0","959,535.0","981,393.0","1,014,288.0","1,043,682.0","1,066,002.0","1,086,125.0","1,121,497.0","1,164,934.0","1,178,345.0","1,201,805.0","1,219,061.0","1,220,200.0","1,244,033.0","1,272,465.0","1,297,069.0","1,327,866.0","1,354,613.0","1,377,424.0","1,405,591.0","1,427,777.0","1,446,090.0","1,475,892.0","1,502,090.0","1,511,601.0","1,525,575.0","1,547,190.0","1,559,680.0","1,594,047.0","1,617,152.0","1,628,393.0","1,647,817.0","1,690,247.0","1,728,732.0","1,767,087.0","1,793,717.0","1,826,445.0","1,870,192.0","1,902,789.0","1,929,410.0","1,970,657.0","1,941,136.0","2,016,926.0","2,061,303.0","2,110,015.0","2,164,246.0","2,203,918.0","2,235,771.0","2,260,558.0","2,269,141.0","2,283,760.0","2,312,750.0","2,330,888.0","2,327,892.0","2,352,462.0","2,387,717.0","2,430,361.0","2,464,463.0","2,491,862.0","2,507,165.0","2,499,035.0","2,545,656.0","2,570,279.0","2,573,798.0","2,603,153.0","2,616,373.0","2,639,131.0","2,652,785.0","2,686,968.0","2,676,820.0","2,703,785.0","2,715,794.0","2,757,920.0","2,776,999.0","2,802,073.0","2,839,507.0","2,891,436.0","2,895,656.0","2,959,804.0","2,982,860.0","3,028,561.0","3,098,767.0","3,158,468.0","3,191,476.0","3,227,348.0","3,291,434.0","3,337,444.0","3,372,109.0","3,432,765.0","3,497,260.0","3,567,122.0","3,586,052.0","3,618,025.0","3,710,938.0","3,743,046.0","3,792,485.0","3,844,175.0","3,947,761.0","3,997,180.0","4,064,559.0","4,129,987.0","4,189,630.0","4,249,999.0","4,314,530.0","4,318,933.0","4,461,249.0","4,520,138.0","4,560,493.0","4,621,258.0","4,705,788.0","4,883,128.0","4,901,456.0","4,872,823.0","4,972,140.0","5,252,611.0","5,307,902.0","5,306,238.0","5,392,754.0","5,437,558.0","5,474,028.0","5,499,634.0","5,505,687.0","5,585,145.0","5,533,564.0","5,526,132.0","5,567,534.0","5,628,058.0","5,611,479.0","5,643,533.0","5,612,942.0","5,678,354.0","5,695,298.0","5,664,970.0","5,730,497.0","5,791,270.0","5,885,592.0","5,844,988.0"
"37","18","Consumption expenditures","A955RC1","173,531.0","178,513.0","184,078.0","187,322.0","190,445.0","191,893.0","195,998.0","199,275.0","205,644.0","209,635.0","212,512.0","215,497.0","224,233.0","227,994.0","227,127.0","230,862.0","235,136.0","239,305.0","241,007.0","247,449.0","255,171.0","261,148.0","270,172.0","281,315.0","288,626.0","296,543.0","301,543.0","307,446.0","309,981.0","314,167.0","316,232.0","324,356.0","331,269.0","338,813.0","345,487.0","354,839.0","361,211.0","368,316.0","374,295.0","383,461.0","393,100.0","400,263.0","406,450.0","421,936.0","435,466.0","452,202.0","457,463.0","474,448.0","489,534.0","503,629.0","509,496.0","526,896.0","537,179.0","544,397.0","557,042.0","573,669.0","584,240.0","593,697.0","606,222.0","594,156.0","610,344.0","629,424.0","638,592.0","649,602.0","666,692.0","679,823.0","697,823.0","709,893.0","715,587.0","731,176.0","746,703.0","752,065.0","760,586.0","771,342.0","776,965.0","795,586.0","803,498.0","812,328.0","819,698.0","843,570.0","853,437.0","878,563.0","889,558.0","904,395.0","927,401.0","940,147.0","949,690.0","974,739.0","996,436.0","1,001,420.0","1,006,826.0","1,011,602.0","1,026,589.0","1,040,935.0","1,061,145.0","1,068,344.0","1,063,065.0","1,067,530.0","1,079,164.0","1,086,944.0","1,090,651.0","1,102,101.0","1,122,062.0","1,123,457.0","1,134,487.0","1,145,550.0","1,150,607.0","1,147,284.0","1,158,186.0","1,174,637.0","1,178,798.0","1,194,373.0","1,201,856.0","1,222,184.0","1,228,505.0","1,245,961.0","1,242,132.0","1,267,556.0","1,276,794.0","1,301,970.0","1,319,681.0","1,339,432.0","1,369,690.0","1,401,483.0","1,407,422.0","1,442,939.0","1,453,412.0","1,472,921.0","1,510,212.0","1,536,912.0","1,558,750.0","1,574,650.0","1,613,936.0","1,641,193.0","1,659,750.0","1,690,579.0","1,722,603.0","1,755,845.0","1,759,000.0","1,784,922.0","1,827,830.0","1,855,996.0","1,887,353.0","1,904,589.0","1,944,049.0","1,960,108.0","2,002,172.0","2,013,863.0","2,057,934.0","2,076,942.0","2,099,605.0","2,124,904.0","2,160,068.0","2,191,751.0","2,227,091.0","2,259,974.0","2,312,458.0","2,350,620.0","2,410,125.0","2,401,056.0","2,392,633.0","2,434,599.0","2,461,099.0","2,479,916.0","2,500,301.0","2,526,141.0","2,534,178.0","2,528,218.0","2,516,172.0","2,544,744.0","2,539,388.0","2,523,141.0","2,542,936.0","2,535,616.0","2,570,335.0","2,550,037.0","2,543,555.0","2,544,937.0","2,555,936.0","2,545,937.0","2,564,514.0","2,572,076.0","2,616,232.0","2,588,408.0"
"38","19","Current transfer payments","A084RC1","61,388.0","64,072.0","64,196.0","66,760.0","67,860.0","78,780.0","79,348.0","83,116.0","85,804.0","93,620.0","93,256.0","96,260.0","100,140.0","99,452.0","101,728.0","110,480.0","111,520.0","115,332.0","116,180.0","117,676.0","123,148.0","135,220.0","139,064.0","146,060.0","158,664.0","175,656.0","173,328.0","177,376.0","180,160.0","179,088.0","189,568.0","188,400.0","191,460.0","193,228.0","198,532.0","200,572.0","204,976.0","206,460.0","214,620.0","217,580.0","222,772.0","227,588.0","243,236.0","250,332.0","261,692.0","264,720.0","297,404.0","303,040.0","305,716.0","308,808.0","328,132.0","329,920.0","335,840.0","343,736.0","360,672.0","378,512.0","377,588.0","384,344.0","380,440.0","387,632.0","387,816.0","390,940.0","395,200.0","407,220.0","413,036.0","416,836.0","424,068.0","427,792.0","434,380.0","444,748.0","452,876.0","454,452.0","456,424.0","462,748.0","464,628.0","473,716.0","485,624.0","487,540.0","494,700.0","506,684.0","523,732.0","529,556.0","542,364.0","556,788.0","573,512.0","589,368.0","598,032.0","608,716.0","552,012.0","617,576.0","654,092.0","691,832.0","730,260.0","752,172.0","762,264.0","780,324.0","786,528.0","794,296.0","811,548.0","826,044.0","823,664.0","830,396.0","837,860.0","867,732.0","875,828.0","882,544.0","888,512.0","882,680.0","918,788.0","930,508.0","927,080.0","940,224.0","946,180.0","947,172.0","953,740.0","971,132.0","968,160.0","971,744.0","975,880.0","996,604.0","1,002,140.0","1,005,932.0","1,015,936.0","1,035,016.0","1,036,132.0","1,064,764.0","1,079,096.0","1,103,520.0","1,127,600.0","1,159,536.0","1,167,604.0","1,219,220.0","1,257,643.0","1,270,454.0","1,282,628.0","1,303,848.0","1,329,023.0","1,347,360.0","1,369,879.0","1,372,292.0","1,424,770.0","1,433,024.0","1,441,360.0","1,463,931.0","1,516,492.0","1,523,523.0","1,544,574.0","1,566,182.0","1,603,732.0","1,626,723.0","1,653,623.0","1,653,982.0","1,737,621.0","1,717,373.0","1,744,460.0","1,787,438.0","1,825,747.0","1,960,710.0","1,897,125.0","1,935,140.0","2,048,103.0","2,202,125.0","2,209,665.0","2,207,865.0","2,283,680.0","2,278,099.0","2,310,618.0","2,328,476.0","2,333,465.0","2,335,295.0","2,321,312.0","2,331,250.0","2,353,714.0","2,374,035.0","2,381,567.0","2,388,699.0","2,417,109.0","2,430,670.0","2,454,169.0","2,447,850.0","2,489,713.0","2,489,826.0","2,570,159.0","2,587,799.0"
"39","20","  Government social benefits","W063RC1","57,740.0","58,756.0","60,124.0","61,612.0","63,616.0","73,848.0","74,256.0","78,112.0","80,108.0","87,760.0","87,692.0","89,332.0","92,348.0","92,808.0","93,752.0","104,184.0","106,560.0","108,732.0","110,400.0","113,452.0","118,496.0","126,696.0","133,704.0","140,616.0","151,564.0","166,592.0","169,768.0","172,560.0","176,724.0","175,148.0","182,272.0","184,936.0","187,644.0","188,564.0","193,992.0","196,604.0","200,104.0","201,396.0","209,656.0","212,512.0","217,472.0","221,940.0","237,488.0","243,644.0","253,832.0","258,980.0","290,860.0","293,864.0","299,560.0","302,536.0","320,816.0","323,016.0","327,652.0","336,840.0","353,168.0","368,536.0","371,108.0","376,820.0","371,528.0","374,824.0","379,312.0","382,192.0","383,584.0","391,224.0","401,596.0","403,972.0","409,196.0","411,900.0","423,632.0","429,320.0","436,628.0","440,084.0","445,564.0","451,220.0","453,244.0","456,628.0","473,804.0","476,964.0","482,456.0","488,548.0","511,392.0","518,916.0","528,352.0","539,592.0","560,204.0","571,780.0","582,484.0","601,044.0","626,320.0","647,176.0","657,408.0","687,108.0","713,916.0","733,816.0","745,372.0","749,712.0","769,932.0","775,796.0","790,440.0","795,480.0","809,408.0","814,224.0","817,872.0","838,360.0","859,548.0","868,092.0","873,236.0","867,172.0","895,744.0","915,224.0","911,016.0","913,104.0","932,624.0","933,564.0","939,328.0","944,884.0","954,036.0","958,276.0","959,532.0","968,676.0","987,216.0","988,908.0","1,000,112.0","1,008,324.0","1,021,112.0","1,046,652.0","1,059,152.0","1,070,072.0","1,112,648.0","1,143,936.0","1,150,228.0","1,196,292.0","1,226,063.0","1,251,774.0","1,264,664.0","1,280,720.0","1,299,562.0","1,318,024.0","1,341,821.0","1,347,358.0","1,387,074.0","1,406,802.0","1,414,773.0","1,433,612.0","1,472,114.0","1,493,028.0","1,506,872.0","1,518,104.0","1,574,510.0","1,591,421.0","1,615,942.0","1,620,510.0","1,688,066.0","1,686,743.0","1,708,775.0","1,738,346.0","1,776,149.0","1,923,233.0","1,856,890.0","1,895,025.0","2,009,964.0","2,148,787.0","2,147,917.0","2,163,444.0","2,229,017.0","2,235,461.0","2,261,771.0","2,275,651.0","2,279,068.0","2,275,245.0","2,267,250.0","2,277,460.0","2,299,894.0","2,323,472.0","2,330,756.0","2,348,612.0","2,371,503.0","2,381,041.0","2,403,073.0","2,408,697.0","2,446,759.0","2,487,233.0","2,520,536.0","2,540,518.0"
"40","21","    To persons","A063RC1","57,184.0","58,180.0","59,528.0","61,000.0","62,980.0","73,112.0","73,500.0","77,356.0","79,348.0","86,928.0","86,872.0","88,500.0","91,432.0","91,860.0","92,852.0","103,088.0","105,428.0","107,588.0","109,232.0","112,264.0","117,544.0","125,376.0","132,240.0","139,064.0","149,756.0","164,644.0","167,728.0","170,408.0","174,356.0","172,688.0","179,712.0","182,364.0","185,136.0","186,056.0","191,344.0","193,952.0","197,448.0","198,700.0","206,892.0","209,660.0","214,624.0","218,948.0","234,348.0","240,428.0","250,572.0","255,568.0","287,196.0","290,028.0","295,504.0","298,348.0","316,372.0","318,552.0","323,632.0","332,600.0","349,032.0","364,520.0","367,400.0","373,184.0","367,956.0","371,240.0","375,780.0","378,512.0","379,928.0","387,400.0","397,620.0","400,000.0","405,132.0","407,800.0","419,308.0","425,028.0","432,480.0","435,256.0","441,332.0","447,004.0","448,920.0","452,280.0","469,328.0","472,416.0","477,848.0","483,860.0","506,536.0","514,032.0","523,044.0","534,112.0","554,252.0","565,560.0","576,172.0","594,872.0","620,208.0","641,192.0","651,476.0","680,048.0","708,228.0","726,860.0","739,056.0","743,772.0","764,280.0","769,460.0","784,056.0","789,056.0","802,768.0","807,500.0","811,060.0","831,232.0","853,432.0","861,112.0","866,236.0","860,096.0","888,112.0","907,732.0","903,416.0","905,532.0","924,840.0","925,600.0","931,552.0","937,008.0","945,848.0","949,988.0","951,400.0","960,452.0","978,780.0","980,416.0","991,528.0","999,724.0","1,012,608.0","1,037,964.0","1,050,416.0","1,061,328.0","1,103,280.0","1,134,596.0","1,140,724.0","1,186,752.0","1,216,503.0","1,242,118.0","1,254,964.0","1,271,024.0","1,289,598.0","1,307,960.0","1,331,705.0","1,337,142.0","1,376,542.0","1,396,234.0","1,404,181.0","1,422,696.0","1,461,026.0","1,481,856.0","1,495,568.0","1,506,728.0","1,562,254.0","1,579,049.0","1,603,534.0","1,607,838.0","1,674,914.0","1,673,403.0","1,695,351.0","1,724,998.0","1,762,441.0","1,903,749.0","1,842,758.0","1,880,445.0","1,994,628.0","2,131,967.0","2,132,045.0","2,147,408.0","2,212,749.0","2,218,993.0","2,245,127.0","2,258,963.0","2,262,080.0","2,258,173.0","2,250,134.0","2,260,324.0","2,282,090.0","2,305,472.0","2,312,572.0","2,330,312.0","2,352,851.0","2,362,173.0","2,384,045.0","2,389,677.0","2,427,843.0","2,468,016.0","2,500,804.0","2,520,808.0"
"41","22","    To the rest of the world \3\","W016RC1","556.0","576.0","596.0","612.0","636.0","736.0","756.0","756.0","760.0","832.0","820.0","832.0","916.0","948.0","900.0","1,096.0","1,132.0","1,144.0","1,168.0","1,188.0","952.0","1,320.0","1,464.0","1,552.0","1,808.0","1,948.0","2,040.0","2,152.0","2,368.0","2,460.0","2,560.0","2,572.0","2,508.0","2,508.0","2,648.0","2,652.0","2,656.0","2,696.0","2,764.0","2,852.0","2,848.0","2,992.0","3,140.0","3,216.0","3,260.0","3,412.0","3,664.0","3,836.0","4,056.0","4,188.0","4,444.0","4,464.0","4,020.0","4,240.0","4,136.0","4,016.0","3,708.0","3,636.0","3,572.0","3,584.0","3,532.0","3,680.0","3,656.0","3,824.0","3,976.0","3,972.0","4,064.0","4,100.0","4,324.0","4,292.0","4,148.0","4,828.0","4,232.0","4,216.0","4,324.0","4,348.0","4,476.0","4,548.0","4,608.0","4,688.0","4,856.0","4,884.0","5,308.0","5,480.0","5,952.0","6,220.0","6,312.0","6,172.0","6,112.0","5,984.0","5,932.0","7,060.0","5,688.0","6,956.0","6,316.0","5,940.0","5,652.0","6,336.0","6,384.0","6,424.0","6,640.0","6,724.0","6,812.0","7,128.0","6,116.0","6,980.0","7,000.0","7,076.0","7,632.0","7,492.0","7,600.0","7,572.0","7,784.0","7,964.0","7,776.0","7,876.0","8,188.0","8,288.0","8,132.0","8,224.0","8,436.0","8,492.0","8,584.0","8,600.0","8,504.0","8,688.0","8,736.0","8,744.0","9,368.0","9,340.0","9,504.0","9,540.0","9,560.0","9,656.0","9,700.0","9,696.0","9,964.0","10,064.0","10,116.0","10,216.0","10,532.0","10,568.0","10,592.0","10,916.0","11,088.0","11,172.0","11,304.0","11,376.0","12,256.0","12,372.0","12,408.0","12,672.0","13,152.0","13,340.0","13,424.0","13,348.0","13,708.0","19,484.0","14,132.0","14,580.0","15,336.0","16,820.0","15,872.0","16,036.0","16,268.0","16,468.0","16,644.0","16,688.0","16,988.0","17,072.0","17,116.0","17,136.0","17,804.0","18,000.0","18,184.0","18,300.0","18,652.0","18,868.0","19,028.0","19,020.0","18,916.0","19,217.0","19,732.0","19,710.0"
"42","23","  Other current transfer payments to the rest of the world (net) \3\","W017RC1","3,648.0","5,316.0","4,072.0","5,148.0","4,244.0","4,932.0","5,092.0","5,004.0","5,696.0","5,860.0","5,564.0","6,928.0","7,792.0","6,644.0","7,976.0","6,296.0","4,960.0","6,600.0","5,780.0","4,224.0","4,652.0","8,524.0","5,360.0","5,444.0","7,100.0","9,064.0","3,560.0","4,816.0","3,436.0","3,940.0","7,296.0","3,464.0","3,816.0","4,664.0","4,540.0","3,968.0","4,872.0","5,064.0","4,964.0","5,068.0","5,300.0","5,648.0","5,748.0","6,688.0","7,860.0","5,740.0","6,544.0","9,176.0","6,156.0","6,272.0","7,316.0","6,904.0","8,188.0","6,896.0","7,504.0","9,976.0","6,480.0","7,524.0","8,912.0","12,808.0","8,504.0","8,748.0","11,616.0","15,996.0","11,440.0","12,864.0","14,872.0","15,892.0","10,748.0","15,428.0","16,248.0","14,368.0","10,860.0","11,528.0","11,384.0","17,088.0","11,820.0","10,576.0","12,244.0","18,136.0","12,340.0","10,640.0","14,012.0","17,196.0","13,308.0","17,588.0","15,548.0","7,672.0","-74,308.0","-29,600.0","-3,316.0","4,724.0","16,344.0","18,356.0","16,892.0","30,612.0","16,596.0","18,500.0","21,108.0","30,564.0","14,256.0","16,172.0","19,988.0","29,372.0","16,280.0","14,452.0","15,276.0","15,508.0","23,044.0","15,284.0","16,064.0","27,120.0","13,556.0","13,608.0","14,412.0","26,248.0","14,124.0","13,468.0","16,348.0","27,928.0","14,924.0","17,024.0","15,824.0","26,692.0","15,020.0","18,112.0","19,944.0","33,448.0","14,952.0","15,600.0","17,376.0","22,928.0","31,580.0","18,680.0","17,964.0","23,128.0","29,461.0","29,336.0","28,058.0","24,934.0","37,696.0","26,222.0","26,587.0","30,319.0","44,378.0","30,495.0","37,702.0","48,078.0","29,222.0","35,302.0","37,681.0","33,472.0","49,555.0","30,630.0","35,685.0","49,092.0","49,598.0","37,477.0","40,235.0","40,115.0","38,139.0","53,338.0","61,748.0","44,421.0","54,663.0","42,638.0","48,847.0","52,825.0","54,397.0","60,050.0","54,062.0","53,790.0","53,820.0","50,563.0","50,811.0","40,087.0","45,606.0","49,629.0","51,096.0","39,153.0","42,954.0","2,593.0","49,623.0","47,281.0"
