"","Table 3#15#6# Real Government Consumption Expenditures and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"18","Line",NA,NA,"1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"19","1","      Government","A822RX1","2,451,696.0","2,498,199.0","2,592,406.0","2,705,762.0","2,764,268.0","2,808,188.0","2,826,176.0","2,869,282.0","2,914,409.0","2,994,753.0","3,089,091.0","3,091,387.0","2,997,374.0","2,953,932.0","2,894,452.0"
"20","2","General public service","W575RX1","214,898.0","214,639.0","227,330.0","240,972.0","237,399.0","242,733.0","244,084.0","244,562.0","245,051.0","248,499.0","261,374.0","257,764.0","247,287.0","246,649.0","243,451.0"
"21","3","National defense","A824RX1","516,945.0","512,250.0","529,992.0","567,302.0","615,433.0","652,654.0","665,519.0","678,819.0","695,617.0","748,072.0","788,276.0","813,526.0","795,010.0","768,704.0","717,725.0"
"22","4","Public order and safety","W579RX1","283,970.0","291,262.0","302,450.0","314,760.0","312,750.0","314,905.0","317,797.0","324,220.0","334,082.0","343,752.0","350,752.0","344,168.0","340,091.0","339,796.0","344,932.0"
"23","5","Economic affairs","W584RX1","420,925.0","432,948.0","444,606.0","457,424.0","459,834.0","452,485.0","439,427.0","439,860.0","441,983.0","442,269.0","456,976.0","464,943.0","436,830.0","430,099.0","427,980.0"
"24","6","  Transportation","W589RX1","261,707.0","269,250.0","282,798.0","291,335.0","296,176.0","288,835.0","278,687.0","275,517.0","268,086.0","267,784.0","274,580.0","273,774.0","266,762.0","262,211.0","262,202.0"
"25","7","  Space","W595RX1","28,123.0","27,493.0","27,862.0","29,389.0","29,644.0","30,128.0","29,826.0","29,011.0","30,556.0","31,697.0","32,142.0","31,274.0","29,368.0","29,269.0","28,620.0"
"26","8","  Other economic affairs","W596RX1","130,945.0","136,283.0","135,109.0","137,870.0","135,719.0","134,698.0","131,767.0","135,874.0","143,361.0","142,792.0","150,254.0","159,856.0","140,681.0","138,616.0","137,096.0"
"27","9","Housing and community services","W597RX1","52,316.0","47,871.0","52,953.0","57,454.0","58,400.0","56,950.0","56,246.0","61,237.0","60,331.0","59,872.0","60,540.0","61,857.0","54,507.0","49,914.0","49,732.0"
"28","10","Health","W598RX1","134,376.0","138,332.0","142,500.0","154,492.0","167,436.0","169,041.0","175,600.0","175,287.0","185,663.0","194,665.0","205,231.0","208,603.0","209,007.0","213,506.0","218,039.0"
"29","11","Recreation and culture","W599RX1","36,705.0","39,222.0","41,323.0","43,573.0","41,979.0","41,414.0","41,373.0","40,606.0","41,870.0","41,971.0","43,286.0","42,299.0","39,028.0","38,359.0","38,210.0"
"30","12","Education","W600RX1","716,389.0","744,135.0","768,483.0","777,307.0","776,776.0","785,193.0","788,875.0","800,667.0","815,507.0","822,485.0","827,821.0","804,187.0","787,350.0","779,606.0","765,465.0"
"31","13","Income security","W605RX1","83,015.0","86,301.0","91,760.0","100,228.0","99,390.0","95,677.0","98,568.0","105,010.0","95,040.0","93,350.0","94,834.0","94,130.0","88,395.0","87,426.0","88,580.0"
"32","14","      Federal","A823RX1","815,349.0","817,722.0","849,843.0","910,844.0","972,960.0","1,017,116.0","1,034,809.0","1,060,889.0","1,078,696.0","1,152,313.0","1,217,685.0","1,270,652.0","1,236,415.0","1,214,389.0","1,145,291.0"
"33","15","General public service","W611RX1","35,636.0","32,280.0","38,581.0","41,712.0","42,287.0","50,176.0","50,408.0","51,264.0","52,999.0","57,294.0","61,776.0","64,374.0","63,555.0","66,143.0","60,237.0"
"34","16","National defense","A824RX1","516,945.0","512,250.0","529,992.0","567,302.0","615,433.0","652,654.0","665,519.0","678,819.0","695,617.0","748,072.0","788,276.0","813,526.0","795,010.0","768,704.0","717,725.0"
"35","17","Public order and safety","W615RX1","30,493.0","33,239.0","34,935.0","40,323.0","42,105.0","44,024.0","44,863.0","46,860.0","48,473.0","54,244.0","57,446.0","57,520.0","58,115.0","58,130.0","52,973.0"
"36","18","Economic affairs","W620RX1","130,335.0","132,559.0","130,731.0","137,229.0","139,176.0","138,157.0","135,460.0","137,864.0","141,559.0","145,751.0","152,921.0","168,270.0","151,574.0","150,488.0","143,379.0"
"37","19","  Transportation","W625RX1","25,528.0","25,295.0","26,899.0","31,241.0","35,318.0","33,176.0","33,306.0","33,952.0","32,640.0","35,337.0","35,919.0","37,800.0","38,615.0","38,828.0","36,089.0"
"38","20","  Space","W631RX1","28,123.0","27,493.0","27,862.0","29,389.0","29,644.0","30,128.0","29,826.0","29,011.0","30,556.0","31,697.0","32,142.0","31,274.0","29,368.0","29,269.0","28,620.0"
"39","21","  Other economic affairs","W632RX1","76,417.0","79,571.0","75,802.0","76,543.0","74,308.0","74,849.0","72,337.0","74,938.0","78,356.0","78,729.0","84,860.0","99,157.0","83,592.0","82,393.0","78,691.0"
"40","22","Housing and community services","W633RX1","1,942.0","-183.0","999.0","1,403.0","1,618.0","1,010.0","1,750.0","1,279.0","1,573.0","1,941.0","1,779.0","2,076.0","2,320.0","2,184.0","2,053.0"
"41","23","Health","W634RX1","78,293.0","84,233.0","90,643.0","94,318.0","103,119.0","102,450.0","103,420.0","104,468.0","107,660.0","115,199.0","124,319.0","130,988.0","134,915.0","138,223.0","138,024.0"
"42","24","Recreation and culture","W635RX1","3,909.0","4,355.0","4,415.0","5,143.0","5,160.0","5,163.0","5,093.0","4,805.0","4,718.0","4,961.0","5,230.0","5,949.0","5,521.0","5,352.0","5,078.0"
"43","25","Education","W636RX1","6,967.0","7,288.0","8,158.0","8,687.0","8,511.0","8,377.0","8,722.0","7,774.0","7,372.0","7,435.0","7,779.0","7,826.0","8,311.0","8,271.0","8,009.0"
"44","26","Income security","W640RX1","10,591.0","10,960.0","11,031.0","14,493.0","15,386.0","15,154.0","19,667.0","27,804.0","18,745.0","17,394.0","18,159.0","20,073.0","17,071.0","16,849.0","17,783.0"
"45","27","      State and local","A829RX1","1,643,634.0","1,689,147.0","1,751,460.0","1,802,393.0","1,795,291.0","1,792,764.0","1,792,327.0","1,808,844.0","1,836,138.0","1,842,436.0","1,871,406.0","1,820,750.0","1,760,985.0","1,739,528.0","1,748,438.0"
"46","28","General public service","W646RX1","179,491.0","182,539.0","189,007.0","199,528.0","195,332.0","192,477.0","193,598.0","193,210.0","191,964.0","191,182.0","199,598.0","193,373.0","183,702.0","180,480.0","183,171.0"
"47","29","Public order and safety","W650RX1","254,140.0","258,532.0","268,015.0","274,696.0","270,775.0","270,932.0","272,969.0","277,365.0","285,611.0","289,501.0","293,306.0","286,650.0","281,980.0","281,671.0","291,912.0"
"48","30","Economic affairs","W655RX1","290,820.0","301,025.0","315,849.0","321,588.0","321,771.0","315,152.0","304,526.0","302,263.0","300,487.0","296,512.0","304,055.0","296,586.0","285,187.0","279,575.0","284,304.0"
"49","31","  Transportation","W660RX1","237,498.0","245,528.0","257,481.0","260,980.0","260,966.0","256,046.0","245,515.0","241,569.0","235,477.0","232,450.0","238,661.0","235,964.0","228,135.0","223,392.0","226,016.0"
"50","32","  Other economic affairs","W665RX1","54,130.0","56,291.0","59,181.0","61,266.0","61,440.0","59,796.0","59,431.0","60,920.0","65,009.0","64,062.0","65,394.0","60,629.0","57,055.0","56,191.0","58,334.0"
"51","33","Housing and community services","W666RX1","50,051.0","48,115.0","51,965.0","56,047.0","56,767.0","55,947.0","54,486.0","59,943.0","58,749.0","57,935.0","58,761.0","59,781.0","52,188.0","47,733.0","47,678.0"
"52","34","Health (net)","W671RX1","56,009.0","53,804.0","51,479.0","59,872.0","63,928.0","66,332.0","72,068.0","70,675.0","77,866.0","79,392.0","80,912.0","77,584.0","74,067.0","75,267.0","79,945.0"
"53","35","  Gross expenditures","Y650RX1","193,093.0","197,413.0","206,758.0","216,226.0","217,569.0","220,546.0","222,637.0","225,358.0","236,657.0","241,741.0","248,080.0","248,372.0","247,614.0","252,400.0","258,506.0"
"54","36","  Less: Sales to other sectors","Y651RX1","136,860.0","143,526.0","155,588.0","156,314.0","153,594.0","154,203.0","150,590.0","154,725.0","158,763.0","162,329.0","167,168.0","170,773.0","173,562.0","177,153.0","178,571.0"
"55","37","Recreation and culture","W672RX1","32,829.0","34,891.0","36,943.0","38,435.0","36,809.0","36,236.0","36,268.0","35,795.0","37,146.0","37,008.0","38,056.0","36,350.0","33,506.0","33,005.0","33,125.0"
"56","38","Education","W673RX1","709,448.0","736,869.0","760,303.0","768,569.0","768,224.0","776,787.0","780,110.0","792,883.0","808,134.0","815,050.0","820,042.0","796,362.0","779,045.0","771,340.0","757,460.0"
"57","39","  Elementary and secondary","W674RX1","567,882.0","587,617.0","601,468.0","613,694.0","616,769.0","618,782.0","620,180.0","630,430.0","635,847.0","636,029.0","635,685.0","613,828.0","593,286.0","578,675.0","562,909.0"
"58","40","  Higher","W675RX1","115,135.0","121,056.0","128,788.0","124,964.0","121,820.0","128,087.0","129,830.0","132,978.0","142,733.0","149,413.0","153,593.0","152,393.0","157,184.0","164,408.0","165,879.0"
"59","41","  Libraries and other","W677RX1","27,026.0","28,574.0","29,886.0","30,372.0","30,398.0","30,339.0","30,459.0","29,823.0","29,687.0","29,633.0","30,764.0","30,163.0","28,776.0","28,809.0","29,460.0"
"60","42","Income security","W678RX1","72,728.0","75,658.0","81,079.0","86,047.0","84,270.0","80,764.0","78,977.0","77,053.0","76,289.0","75,955.0","76,675.0","74,051.0","71,330.0","70,584.0","70,807.0"
"61","43","Residual","W687RX1","-9,800.0","-11,300.0","-12,300.0","-10,500.0","-7,800.0","-4,700.0","-2,600.0","-1,600.0","-700.0","0.0","-200.0","-200.0","-300.0","-700.0","0.0"
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Note. Government consumption expenditures and gross investment is net of sales to other sectors.  Thus, growth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","in the prices or quantities of sales to other sectors may partially, exactly, or more than offset the growth in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","the prices or quantities of gross consumption expenditures and gross investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","    The residual line is the difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
