"","Table 5#4#4U# Price Indexes for Private Fixed Investment in Stru","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53"
"24","17","      Electric","B571RG3",13.821,13.82,13.594,13.652,13.764,14.103,14.61,14.666,15.231,16.303,16.923,18.051,19.8,20.985,22.733,26.737,31.139,33.225,35.745,37.623,41.665,45.705,49.519,52.08,53.732,55.041,55.666,56.294,56.918,60.732,62.954,65.058,65.401,66.539,68.7,71.406,73.796,75.171,76.645,78.193,78.986,82.187,84.705,87.133,88.855,93.933,100,106.89,115.122,124.096
"25","18","      Other power","W029RG3",13.776,13.773,13.771,13.592,13.272,12.727,12.728,13.183,13.182,13.637,14.545,15.455,16.82,17.73,18.638,21.366,24.546,26.363,28.476,31.234,33.534,36.289,40.427,43.646,44.557,45.936,45.941,44.555,45.936,48.694,50.993,52.371,53.288,54.206,55.654,58.889,60.206,60.864,62.35,63.403,65.02,67.861,69.138,70.549,72.837,84.976,100,104.052,102.108,114.788
"26","19","    Communication","B314RG3",22.237,22.788,23.277,22.479,23.091,23.34,23.952,25.181,26.413,27.022,28.251,31.322,31.321,32.554,35.009,40.538,42.379,44.223,47.825,50.926,57.139,63.348,64.591,65.831,63.966,61.486,62.729,62.108,62.106,62.726,68.314,70.178,70.798,70.803,71.972,73.208,77.817,81.223,83.027,82.994,81.891,83.528,86.027,87.384,89.652,94.562,100,114.587,119.336,120.989
"27","20","  Mining exploration, shafts, and wells","E318RG3",5.988,5.919,5.775,5.887,5.682,5.689,5.807,6.173,6.397,6.699,7.018,7.436,7.676,8.253,8.77,10.938,13.358,14.482,17.061,20.125,23.326,23.879,31.853,36.325,29.407,26.977,27.026,25.904,22.061,24.216,25.391,26.413,27.961,25.86,26.002,26.436,28.587,29.907,33.926,38.634,37.462,38.947,48.126,57.539,64.076,74.335,100,129.399,146.745,147.142
"28","21","    Petroleum and natural gas","B319RG3",5.592,5.524,5.383,5.49,5.279,5.279,5.384,5.733,5.943,6.223,6.502,6.887,7.062,7.586,8.042,10.208,12.655,13.809,16.499,19.629,22.834,23.232,31.407,35.954,28.748,26.189,26.188,24.971,20.976,23.106,24.246,25.237,26.798,24.606,24.679,25.036,27.186,28.503,32.584,37.312,36.039,37.457,46.658,56.331,63.048,73.488,100,130.496,148.517,148.841
"29","22","    Mining","B320RG3",11.949,11.934,11.896,12.04,12.264,12.517,12.93,13.414,13.833,14.522,15.613,16.596,18.007,19.482,21.047,23.381,25.672,26.578,28.38,31.075,34.493,38.407,41.885,44.532,45.911,47.685,49.225,50.937,52.816,54.765,56.704,58.493,59.338,59.694,61.697,64.041,66.603,68.106,70.294,72.852,75.952,79.335,82.87,84.45,86.985,92.459,100,108.574,113.698,115.525
"30","23","  Other structures","W004RG3",12.507,12.5,12.452,12.6,12.808,13.045,13.449,13.932,14.353,15.09,16.19,17.23,18.648,20.049,21.603,24.536,27.233,28.238,30.344,32.631,36.054,40.15,43.972,46.887,48.462,49.954,51.343,52.769,54.636,56.552,58.404,60.289,61.328,61.845,63.746,65.966,68.546,70.287,72.416,74.808,77.637,80.873,84.305,86.106,88.439,93.253,100,107.202,112.432,115.011
"31","24","    Religious","C309RG3",11.981,11.966,11.928,12.073,12.297,12.551,12.965,13.451,13.871,14.561,15.655,16.64,18.056,19.534,21.104,23.444,25.741,26.649,28.456,31.159,34.586,38.511,41.998,44.651,46.034,47.813,49.358,51.073,52.958,54.912,56.857,58.651,59.497,59.855,61.863,64.213,66.782,68.285,70.485,73.104,76.175,79.548,83.093,84.627,87.204,92.51,100,108.574,113.698,115.525
"32","25","    Educational and vocational","W044RG3",12.136,12.121,12.082,12.229,12.456,12.713,13.132,13.624,14.05,14.749,15.858,16.856,18.289,19.786,21.377,23.747,26.074,26.994,28.824,31.562,35.033,39.008,42.541,45.229,46.629,48.431,49.996,51.734,53.643,55.622,57.592,59.409,60.266,60.628,62.663,65.043,67.646,69.173,71.392,74.337,77.369,80.547,83.512,86.021,87.988,92.765,100,106.598,114.007,119.328
"33","26","    Lodging","W045RG3",12.043,12.018,11.978,12.14,12.365,12.605,13.017,13.514,13.945,14.7,15.802,16.884,18.288,19.686,21.232,23.895,26.52,27.432,29.333,31.718,35.006,39.023,42.757,45.569,46.768,48.26,49.767,51.403,53.332,55.107,56.992,58.855,59.862,60.422,62.094,64.315,66.934,68.46,70.606,72.948,76.065,79.426,82.966,84.499,87.07,92.525,100,108.574,113.698,115.525
"34","27","    Amusement and recreation","W046RG3",12.058,12.032,11.993,12.155,12.38,12.62,13.033,13.531,13.961,14.717,15.822,16.904,18.311,19.71,21.258,23.924,26.552,27.465,29.369,31.757,35.048,39.07,42.809,45.624,46.825,48.318,49.827,51.465,53.396,55.173,57.061,58.926,59.934,60.495,62.169,64.392,67.014,68.542,70.691,73.036,76.156,79.522,83.065,84.6,87.176,92.497,100,108.574,113.698,115.525
"35","28","    Transportation","W047RG3",14.66,14.766,14.589,14.588,14.602,14.716,14.96,15.256,15.554,16.374,17.3,18.159,19.508,20.601,21.987,26.838,30.673,32.227,35.524,36.768,40.513,44.695,48.733,51.949,55.905,57.896,58.768,58.16,58.985,61.72,63.28,64.768,65.897,66.494,70.741,72.988,75.066,78.011,79.742,81.641,83.462,86.096,89.805,91.817,94.299,97.389,100,103.327,106.049,109.448
"36","29","      Air","W048RG3",12.066,12.041,12.001,12.164,12.389,12.629,13.042,13.54,13.971,14.728,15.833,16.916,18.324,19.724,21.273,23.941,26.571,27.485,29.39,31.779,35.073,39.098,42.839,45.656,46.858,48.352,49.862,51.502,53.434,55.212,57.102,58.968,59.976,60.538,62.213,64.438,67.062,68.581,70.74,73.102,76.188,79.589,83.134,84.662,87.254,92.522,100,108.574,113.698,115.525
"37","30","      Land \3\","W049RG3",15.273,15.403,15.198,15.164,15.135,15.226,15.437,15.69,15.963,16.801,17.726,18.572,19.934,21.01,22.4,27.55,31.563,33.201,36.676,37.847,41.697,45.961,50.091,53.398,57.801,59.888,60.655,59.597,60.142,63.141,64.593,65.974,67.13,67.733,72.562,74.806,76.744,80.028,81.652,83.445,84.934,87.254,90.959,93.127,95.567,98.204,100,102.663,105.114,108.672
"38","31","    Farm","B316RG3",11.945,11.931,11.893,12.037,12.26,12.514,12.926,13.411,13.829,14.517,15.609,16.591,18.002,19.476,21.041,23.374,25.664,26.57,28.372,31.067,34.483,38.396,41.873,44.519,45.897,47.671,49.211,50.922,52.801,54.749,56.688,58.477,59.321,59.677,61.679,64.023,66.584,68.088,70.268,72.887,75.949,79.312,82.855,84.387,86.952,92.083,100,108.574,113.698,115.525
"39","32","    Other \4\","W050RG3",13.056,12.855,12.896,13.173,13.455,13.65,14.017,14.541,15.096,15.901,16.98,18.461,19.785,21.006,22.531,26.972,30.607,31.442,33.432,34.507,37.376,42.454,48.017,51.87,52.004,51.522,52.288,53.85,55.854,56.987,58.355,60.571,62.09,62.785,63.48,65.288,68.217,70.466,72.781,74.371,76.613,80.031,82.781,84.709,86.597,91.53,100,107.731,115.669,122.196
"40","33","    Brokers' commissions on sale of structures","B321RG3",14.306,14.297,14.26,14.401,14.669,14.942,15.341,16,16.459,17.175,18.802,20.014,21.737,23.421,25.365,28.22,30.887,32.076,34.592,37.705,41.956,46.417,50.395,54.1,56.695,59.451,62.423,65.685,69.225,73.223,76.036,78.857,80.009,80.467,81.777,84.002,86.371,87.876,89.54,91.551,91.326,93.128,97.485,98.544,99.011,99.582,100,100.338,100.224,96.23
"41","34","    Net purchases of used structures","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","35","Residential","B012RG3",12.465,12.554,12.579,12.604,12.507,12.611,12.981,13.467,13.945,14.695,15.728,16.241,17.201,18.269,19.923,22.002,24.043,25.597,28.224,31.727,35.326,39.19,42.398,44.657,45.679,47.019,48.272,50.343,52.436,54.281,56.061,57.402,58.182,58.911,61.344,63.525,65.885,67.321,69.071,70.954,73.746,77.055,80.683,82.729,86.773,93.238,100,106.142,107.587,105.832
"43","36","  Permanent site","B943RG3",11.946,12.026,12.029,12.088,11.974,12.061,12.482,13.012,13.481,14.232,15.128,15.484,16.421,17.585,19.262,21.164,23.123,24.593,27.116,30.725,34.242,38.017,41.098,43.291,44.138,45.34,46.442,48.527,50.541,52.323,53.965,55.115,55.517,56.123,58.744,61.323,63.795,65.028,67.029,69.228,72.29,75.641,79.27,81.506,85.882,92.962,100,106.832,108.258,105.756
"44","37","    Single-family structures","B944RG3",12.06,12.146,12.148,12.21,12.095,12.178,12.597,13.137,13.606,14.366,15.267,15.65,16.585,17.761,19.446,21.391,23.379,24.845,27.432,31.063,34.806,38.773,41.846,43.522,43.857,45.03,45.924,47.824,49.835,51.679,53.578,55.031,55.31,55.869,58.607,61.344,63.914,65.087,66.975,68.732,71.856,75.176,78.966,81.149,85.655,92.972,100,106.361,107.501,103.358
"45","38","    Multifamily structures","B292RG3",12.619,12.675,12.68,12.733,12.613,12.72,13.181,13.722,14.234,15.023,15.974,16.303,17.314,18.539,20.324,22.279,24.316,25.972,28.398,32.293,35.057,38.451,41.78,45.614,48.125,49.507,51.393,54.283,56.423,57.928,58.09,57.467,58.68,59.687,60.996,61.62,63.157,64.898,67.823,73.659,76.19,79.823,82.049,84.743,87.988,92.875,100,110.908,114.454,121.226
"46","39","  Other structures","A863RG3",13.431,13.541,13.618,13.56,13.511,13.656,13.871,14.228,14.716,15.443,16.804,17.691,18.677,19.419,20.913,23.381,25.562,27.259,30.055,33.254,36.959,40.949,44.349,46.707,48.015,49.607,51.139,53.159,55.375,57.316,59.324,60.984,62.373,63.293,65.43,66.985,69.172,70.916,72.294,73.706,76.079,79.323,82.951,84.702,88.231,93.701,100,104.996,106.467,105.572
"47","40","    Manufactured homes","B945RG3",34.004,32.722,31.811,27.751,24.504,24.021,23.733,22.51,22.065,22.197,23.76,24.685,24.672,24.195,25.37,27.867,31.083,32.893,35.566,38.518,42.102,45.769,47.851,49.404,49.867,49.833,50.247,50.758,51.538,53.982,56.37,58.246,59.753,60.631,63.353,68.093,72.466,74.553,75.778,76.79,78.856,80.291,81.688,82.917,84.442,92.092,100,103.926,105.047,108.904
"48","41","    Dormitories","B295RG3",11.911,12.001,12.005,12.066,11.953,12.048,12.443,12.993,13.426,14.177,15.078,15.46,16.314,17.504,19.208,21.235,23.082,24.339,27.459,31.003,34.871,38.758,41.807,43.49,43.77,44.931,45.829,47.725,49.784,51.598,53.471,54.961,55.313,55.773,58.532,61.209,63.815,64.987,66.872,68.627,71.746,75.06,78.845,81.024,85.523,92.59,100,106.2,107.2,103.1
"49","42","    Improvements","B946RG3",12.346,12.503,12.62,12.68,12.794,13.008,13.252,13.734,14.352,15.191,16.539,17.557,18.824,19.853,21.495,24.235,26.443,28.156,30.875,33.977,37.612,41.915,45.825,48.366,49.695,51.388,52.614,54.049,55.632,57.441,59.299,61.203,62.848,63.793,65.615,66.179,68.25,70.037,71.87,73.24,75.879,79.118,82.293,83.945,87.455,93.874,100,106.193,108.658,109.342
"50","43","    Brokers' commissions on sale of structures","B758RG3",11.386,11.458,11.459,11.507,11.424,11.451,11.64,12.022,12.335,12.936,14.21,14.628,15.459,16.435,17.988,19.89,21.617,23.232,26.153,29.551,33.344,36.678,39.163,41.32,42.889,44.852,47.402,51.126,55.164,57.306,59.592,60.592,61.309,62.165,64.951,68.168,69.953,71.454,71.865,73.498,75.48,79.13,84.01,86.027,89.859,93.579,100,103.205,102.946,98.405
"51","44","    Net purchases of used structures","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","45","  Private fixed investment in new structures \5\","W040RG3",12.095,12.139,12.119,12.174,12.165,12.298,12.662,13.129,13.57,14.277,15.236,15.983,17.064,18.198,19.741,22.113,24.478,25.858,28.291,31.452,35.033,38.58,42.998,45.974,45.657,46.461,47.558,48.928,50.265,52.188,54.033,55.571,56.459,56.822,58.857,60.892,63.362,64.845,66.984,69.4,71.949,74.987,78.61,81.175,84.798,91.488,100,108.957,113.516,114.919
"54","46","    Nonresidential structures","A771RG3",11.509,11.495,11.424,11.514,11.614,11.779,12.12,12.555,12.947,13.595,14.488,15.441,16.629,17.825,19.205,21.866,24.487,25.693,27.92,30.618,34.175,37.352,42.491,45.844,44.672,45.058,46.124,47.004,47.752,49.774,51.721,53.389,54.356,54.367,55.969,57.955,60.466,62.005,64.383,67.352,69.447,72.193,75.98,79.197,82.089,88.383,100,112.993,121.39,125.37
"55","47","    Residential structures","A756RG3",12.559,12.65,12.676,12.7,12.602,12.711,13.093,13.589,14.077,14.839,15.857,16.375,17.344,18.423,20.089,22.179,24.248,25.791,28.377,31.883,35.45,39.365,42.644,44.904,45.86,47.132,48.243,50.123,51.997,53.806,55.527,56.903,57.687,58.397,60.786,62.848,65.27,66.694,68.61,70.524,73.432,76.69,80.139,82.189,86.268,93.18,100,106.623,108.348,107.059
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1. Consists of office buildings, except those constructed at manufacturing sites and those",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","constructed by power utilities for their own use. Includes all financial buildings.  Medical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","buildings are included in health care.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2. Includes buildings and structures used by the retail, wholesale and selected service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","industries.  Consists of auto dealerships, garages, service stations, drug stores,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","restaurants, mobile structures, and other structures used for commercial purposes. Bus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","conservation and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
