"","Table 5U# BEA Retail and Food Service Sales                     ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"37","30","S4 EN4511ZZMA       Sporting goods, hobby, and musical instrument stores","T050300",36254,38181,41811,43698,45945,46665,48959,51896,54864,55457,56184,56999,59118,61278,65318,68311,69704
"38","31","S4 EN4512ZZMA       Book, periodical, and music Stores","T050310",16074,17344,19201,20916,21980,22779,24078,25231,25551,25805,25725,25490,25917,25300,24370,23829,23326
"39","32","S1 EN453ZZZMA     Miscellaneous store retailers","T050320",58788,65819,74197,81119,88373,96215,104736,110899,113991,109819,109693,108151,110347,113721,119934,123436,123511
"40","33","S3 EN4531ZZMA       Florists","T050330",6799,6827,6993,7047,7564,7761,8049,8269,8668,8324,7924,7309,7096,7430,7616,7564,7377
"41","34","S3 EN4532ZZMA       Office supplies, stationery, and gift stores","T050340",22848,25428,28895,31223,32876,35776,39453,42525,44699,42123,41725,41016,41881,42638,44555,44740,41912
"42","35","S4 EN4533ZZMA       Used merchandise stores","T050350",6009,6609,6606,7154,7852,8698,9713,10079,10572,10201,10195,10009,10219,10364,11638,12502,13164
"43","36","S4 EN4539ZZMA       Other miscellaneous store retailers","T050360",23132,26955,31703,35695,40081,43980,47521,50026,50052,49171,49849,49817,51151,53289,56125,58630,61058
"44","37","S1 EN454ZZZMA     Nonstore retailers","T050370",80624,88048,98793,106215,120803,129355,137272,155527,184706,184788,193602,208452,228732,252350,275104,296335,304260
"45","38","S2 EN4541ZZMA       Electronic shopping and mail-order houses","T050380",36027,41604,48110,53887,62500,71623,82082,96345,116095,117091,124480,133896,150074,167904,186928,203395,208555
"46","39","S4 EN4542ZZMA       Vending machine operators","T050390",7256,7070,7182,6975,7711,8021,8114,8497,8873,8110,8209,7995,8447,8304,8448,8255,8586
"47","40","S4 EN4543ZZMA       Direct selling establishments","T050400",37341,39374,43501,45353,50592,49711,47076,50685,59738,59587,60913,66561,70211,76142,79728,84685,87119
"48","41","S1 EN722ZZZMA Food services and drinking places","T050410",215138,228302,238455,246989,256765,272465,287501,301306,322671,335514,350028,368837,392566,415567,441922,462526,477390
"49","42","S4 EN7221ZZMA   Full-service restaurants","T050420",91812,97002,102992,105478,110855,121395,127191,133767,142393,149149,156985,164341,173635,182193,193395,202025,208755
"50","43","S4 EN7222ZZMA   Limited-service eating places","T050430",92628,100266,104200,109204,112419,115568,122465,126710,135108,140393,146035,155239,167704,178779,189202,197132,200837
"51","44","S4 EN7223ZZMA   Special food Services","T050440",17719,18216,18846,19163,19824,21397,23118,25508,28852,29370,29674,30706,32120,34676,37489,40422,42949
"52","45","S4 EN7224ZZMA   Drinking places (alcoholic beverages)","T050450",12979,12818,12417,13144,13667,14105,14727,15321,16318,16602,17334,18551,19107,19919,21836,22947,24849
"53",NA,"              Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","46","S1 EN04472BMA   Retail and food services except motor vehicle and parts dealers","T050460",1673584,1761186,1875758,1961925,2071925,2170568,2268572,2433643,2607053,2678717,2758526,2892970,3110430,3334378,3540991,3681480,3776968
"55","47","S1 EN44GZZZMA   Retail trade except motor vehicle and parts dealers","T050470",1458446,1532884,1637303,1714936,1815160,1898103,1981071,2132337,2284382,2343203,2408498,2524133,2717864,2918811,3099069,3218954,3299578
"56","48","S2 EN44BZZZMA   GAFO-Department store merchandise stores \1\","T050480",569133,608321,656870,692867,727404,759129,806804,867754,916208,935593,967083,1004400,1065290,1125907,1186222,1226958,1228600
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","S1=Based on Census advance data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","S2=Based on Census preliminary and final data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","S3=Based on unpublished Census data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","S4=Based on unpublished Census data, seasonally adjusted by BEA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","1. Includes industries EN442ZZZMA, EN443ZZZMA, EN448ZZZMA, EN451ZZZMA,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","EN452ZZZMA, and EN4532ZZMA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
