"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75"
"11","3","  Durable goods","DDURRX0",497326,502383,516565,525538,531244,548145,552026,562807,578055,576190,601881,617239,622411,654147,673033,712983,714746,749120,767361,776903,820606,805838,819772,825801,839800,839383,849543,920908,910357,919932,946874,934405,937172,975919,1016893,1026538,1040919,1047456,1068178,1087199,1098695,1130582,1146642,1117488,1160885,1161781,1178979,1195214,1210070,1227048,1242747,1249906,1218707,1209775,1170776,1087977,1091390,1085771,1138569,1120707,1135919,1164522,1184896,1227665,1249392,1242277,1258582,1300117,1336076,1335282,1364011,1409148
"12","4","    Motor vehicles and parts","DMOTRX0",251538,251337,257558,261940,264646,268772,268149,270390,282467,272833,290690,298465,289801,312148,316404,345768,329603,353079,354135,343667,372865,346086,352221,353238,363089,356970,361233,415914,386285,388432,412879,388436,388487,404904,416953,408675,408505,406507,411502,415225,407633,422393,426298,376440,391038,391067,398165,397267,399440,405137,401846,399317,381945,360740,340847,303781,312819,313712,347712,316298,312367,324208,330983,350255,355028,336562,338117,360056,371203,361770,370549,393062
"13","5","      New motor vehicles (55)","DNMVRX0",142398,143597,142802,149805,148802,147342,143998,148639,149974,144921,159301,166042,159000,178847,167471,184054,183406,192756,194690,198513,211243,200975,203959,195116,209803,208128,205751,266801,239812,228710,252688,237282,235692,254084,261343,253538,256899,250744,253626,253433,242185,263854,269294,220245,232130,232649,238375,235078,240958,240161,233033,235007,220421,201491,187182,156021,156653,158131,194524,168542,164840,175025,179136,193817,199186,188244,191768,212813,221066,217290,221409,233836
"14","6","        New autos","DNEARX0",77631,79056,78990,82803,79981,78718,75801,77730,78593,72872,80276,82332,79306,86487,81124,87056,86480,92652,93445,97345,102281,98609,95888,91782,95264,91304,87688,110490,95909,92937,98511,91051,92974,90883,92667,90084,93844,91515,90496,95287,94220,99280,102031,94260,99408,98818,100752,97355,97490,96951,90770,97144,96372,97981,81577,66384,61922,63321,89822,70050,63777,65472,68423,72986,77880,74558,71195,81260,90629,86669,89008,96707
"15","7","          New domestic autos","DNDCRX0",52122,53175,54805,58678,57406,55785,51248,52754,51672,47831,52548,52604,50810,57365,53241,57737,57585,60500,60940,61307,68287,65069,62800,58397,64172,58745,56583,76824,63886,62058,66865,60323,60476,60796,61611,59931,61490,58362,58922,60427,61436,65254,66466,59659,65133,61939,63439,58660,61190,60843,55987,61501,61078,59754,49498,41270,38121,39398,60611,45091,41046,41966,42936,46795,50787,48946,46412,54786,61577,59207,60862,65544
"16","8","          New foreign autos","DNFCRX0",25510,25881,24186,24125,22576,22934,24553,24976,26921,25041,27728,29728,28496,29122,27883,29319,28895,32152,32505,36038,33994,33540,33088,33385,31092,32559,31105,33666,32023,30879,31647,30728,32498,30087,31056,30153,32354,33153,31574,34860,32785,34026,35565,34601,34275,36879,37313,38695,36300,36109,34784,35643,35294,38228,32078,25114,23802,23922,29212,24959,22732,23507,25488,26191,27093,25612,24783,26474,29052,27461,28146,31162
"17","9","        New light trucks","DNWTRX0",64788,64535,63796,66990,68859,68676,68272,70997,71468,72158,79144,83841,79819,92507,86482,97138,97055,100251,101386,101346,109133,102546,108202,103459,114638,116888,118106,156340,143915,135787,154192,146244,142748,163165,168630,163406,163026,159199,163093,158146,148008,164600,167286,125893,132602,133715,137513,137687,143530,143275,142420,137776,123704,102684,105383,89535,94952,94941,104171,98441,101279,109903,111018,121193,121560,113874,120985,131892,130506,130792,132548,137190
"18","10","      Net purchases of used motor vehicles (56)","DNPVRX0",73298,71181,77689,74291,77302,82479,85049,81915,92242,87776,90045,90688,89031,90790,107889,119842,103286,116643,115058,100234,116256,100436,103261,114133,110258,105162,112319,104897,103491,116247,116550,107927,109689,107028,110804,110541,106348,110854,112559,115642,119137,111663,110390,109636,111507,112421,113666,116070,111985,118405,122006,118010,116524,114449,110485,106684,116917,117168,114329,108689,107472,107952,110197,114296,114012,106253,103886,105217,108274,103055,107908,118417
"19","11","        Used autos","DNPURX0",52623,49745,54956,49745,50929,55160,56678,52128,59948,54658,54509,55895,53979,53525,64251,68802,58172,65230,64385,54237,64646,53752,54760,64601,59340,57714,59554,53356,54305,59911,59225,54498,55719,53924,55693,55527,52380,55179,55397,56807,58735,55445,54400,54115,54385,54478,54276,53846,51134,53444,54896,54053,54742,54115,50833,46164,49748,49165,48569,46723,46058,45546,47167,49506,49553,46176,44666,45653,47138,43889,45644,50427
"20","12","          Net transactions in used autos","DNETRX0",27583,24863,29442,25947,26053,29369,30943,27796,34574,29884,28848,30899,30225,29179,38310,41434,33773,38448,37737,30339,37609,29567,29606,37429,32386,29910,32661,27765,28673,35508,36740,31977,31687,31295,31514,31633,30833,30626,30833,32249,32008,30918,31696,31089,30707,30808,29915,29366,28734,30078,30478,29749,29822,30141,28420,26576,29445,29689,29912,28346,27431,27294,28146,29903,29783,27112,25795,26166,27054,25810,27091,31131
"21","13","          Used auto margin","DMARRX0",27601,28001,27782,26379,27639,28162,27832,26668,27027,26851,27940,27004,25671,26435,27128,28414,25922,28090,28029,25643,28454,26079,27190,28478,28976,30367,28954,27950,27718,25853,23740,24056,25739,24233,25926,25616,23303,26291,26326,26350,28499,26282,24433,24708,25359,25359,26072,26110,24050,25063,26021,25905,26518,25469,23987,21206,21730,20838,20012,19778,20061,19715,20450,21035,21229,20448,20252,20852,21467,19455,19963,20759
"22","14","          Employee reimbursement","DREERX0",-1973,-1990,-1969,-1962,-1924,-1945,-1941,-1977,-1918,-1894,-1869,-1844,-1843,-1838,-1779,-1794,-1815,-1771,-1775,-1713,-1734,-1712,-1708,-1715,-1729,-1781,-1834,-1806,-1716,-1666,-1663,-1731,-1746,-1715,-1703,-1687,-1739,-1744,-1767,-1794,-1761,-1760,-1732,-1686,-1691,-1695,-1697,-1622,-1634,-1685,-1614,-1611,-1590,-1527,-1567,-1600,-1494,-1440,-1418,-1453,-1495,-1514,-1492,-1477,-1504,-1475,-1498,-1494,-1514,-1463,-1497,-1515
"23","15","        Used light trucks","DUTRRX0",20888,21631,22958,24699,26514,27493,28550,29955,32449,33293,35682,34958,35204,37402,43809,51201,45236,51544,50800,46082,51722,46748,48553,49705,50991,47553,52821,51541,49224,56360,57341,53441,53984,53112,55118,55022,53964,55674,57165,58838,60403,56221,55990,55517,57125,57946,59388,62213,60846,64961,67108,63952,61797,60349,59647,60498,67122,67935,65700,61916,61363,62353,62980,64739,64402,60021,59174,59510,61078,59123,62220,67939
"24","16","          Net transactions in used trucks","DUTNRX0",11508,11916,12829,14110,15470,16091,16785,17794,19335,20312,22185,21785,22173,23490,28656,34304,30077,34593,33936,30267,34314,30765,31842,32908,33872,30093,35341,33789,31702,38844,40721,36322,35856,35346,35960,36075,36477,36106,37193,39165,39456,37142,38149,37312,38453,39442,40093,42208,42068,45057,46290,44426,42772,42726,42265,43647,49658,50350,49270,45169,44115,44867,45288,46985,46543,42537,41948,41855,42818,42070,44918,50375
"25","17","          Used truck margin","DUTMRX0",10267,10635,11002,11366,11729,12090,12449,12806,13792,13487,13932,13588,13394,14315,15267,16779,15133,16854,16815,15914,17417,16060,16827,16825,17125,17929,17403,17830,17654,17306,16250,16938,18072,17704,19226,18997,17511,19556,19958,19665,20942,19078,17843,18210,18671,18500,19294,20004,18790,19926,20831,19562,19058,17635,17413,16841,17436,17581,16469,16709,17175,17402,17596,17698,17785,17357,17101,17517,18110,16932,17186,17483
"26","18","      Motor vehicle parts and accessories (58)","DMVPRX0",36599,37330,38023,38634,39448,39957,40231,40928,41412,41385,42373,42632,42806,43019,42136,42746,43555,44333,45034,45537,45812,45219,45483,44430,43153,43902,43289,44029,43002,43235,43568,43306,43111,43670,44664,44566,45002,44909,45330,46207,46473,46880,46641,46367,47291,45940,46113,46100,46475,46574,46733,46305,44906,44471,42808,40637,39745,39078,39229,39008,39810,41186,41696,42640,42567,42421,42928,43391,43550,43072,43040,43151
"27","19","        Tires","DTATRX0",15844,15971,16028,16206,16450,16573,16470,16528,16494,16414,16799,16961,17008,16753,16394,16485,16728,16753,16913,17016,17224,16901,16861,16297,16375,16853,16754,16428,16283,16560,16754,16929,16976,17247,17803,17970,18259,18494,18632,19098,19605,19798,19812,20145,20392,19986,20111,20213,20631,20867,21028,20894,20567,20394,19739,19225,18761,18435,18463,18326,18762,19556,19684,19912,19896,19785,20001,20058,19995,19959,19950,19930
"28","20","        Accessories and parts","DPAARX0",20657,21272,21925,22362,22937,23329,23717,24368,24898,24954,25557,25652,25780,26262,25739,26264,26831,27593,28137,28538,28603,28334,28641,28156,26788,27054,26535,27619,26729,26680,26817,26378,26134,26421,26858,26593,26739,26413,26696,27109,26867,27082,26829,26222,26900,25954,26003,25890,25849,25713,25712,25419,24353,24091,23084,21436,21009,20669,20790,20705,21073,21660,22038,22751,22694,22659,22952,23360,23586,23138,23114,23246
"29","21","    Furnishings and durable household equipment","DFDHRX0",130826,131989,133924,135496,134401,139234,139308,142352,142830,143383,146577,148520,152444,154839,158412,163551,168315,172301,177991,183593,188207,191827,194371,195514,198437,200218,202145,208266,214858,216702,216384,220092,218734,226119,234033,237608,241669,244585,249660,252921,254985,258349,263169,268622,274862,271269,272108,271933,274975,272808,274403,275216,268852,271407,261935,248899,241050,237326,240199,244208,250334,256990,258619,264050,266649,269564,273701,280191,286032,285548,289502,292460
"30","22","      Furniture and furnishings (parts of 31 and 32)","DFFFRX0",74800,75254,76278,77481,76843,80048,80626,82303,83474,83412,85695,87570,89402,90298,92230,95066,97285,99495,103002,106630,109294,112108,113302,112382,114589,115149,116438,119880,123969,124457,123581,125375,124482,129233,133344,136493,138646,140308,144270,146116,147921,151071,155302,157714,161325,160318,161459,161696,164086,164484,165452,166247,161737,162788,155904,147912,143518,140521,142095,144547,148917,152686,155563,157965,159264,160758,163899,167589,172868,173280,175374,177420
"31","23","        Furniture","DFNRRX0",45666,45942,46946,47827,47559,49454,49640,50837,52119,52140,53875,55314,56769,57069,57888,59748,61163,62107,64507,66813,68631,71085,71557,70255,71776,72273,73597,76228,78617,78719,77730,78969,77516,79717,81300,83123,83862,84531,86732,88509,88829,90148,93086,93300,93786,92534,93669,93677,94410,93821,93949,94719,91677,91433,86642,82172,79768,76734,77704,79361,81781,83797,85448,86393,87409,87145,88521,89578,91826,91750,92599,92415
"32","24","        Clocks, lamps, lighting fixtures, and other household decorative items","DCLFRX0",11247,11623,11728,11776,11714,12378,12725,13159,13146,13064,13396,13468,13711,13646,14110,14385,14983,15331,15743,16325,16768,17105,17834,18145,18343,18236,18193,18454,19387,19689,19701,20233,20406,21489,23030,23231,23741,24269,25103,24125,24947,26109,27396,28239,30102,30518,31777,32785,33664,34346,35469,36114,36530,36625,36310,35842,35179,35363,35755,36755,37665,38971,40497,41851,42323,43713,45062,47024,48730,49176,50036,51812
"33","25","        Carpets and other floor coverings","DFLRRX0",13902,13364,13136,13316,12860,13340,13130,12837,12775,12731,12819,13007,13082,13593,13943,14631,14773,15350,15883,16338,16931,16800,16719,16439,16569,16804,16857,17100,17460,17540,17377,17418,17774,18584,19149,19909,20421,20823,21518,22003,22106,22475,22496,22999,23906,23768,22862,22418,22992,23006,22675,22368,21330,21938,20547,18749,17862,17570,17539,17421,17918,18153,17900,17691,17537,17941,18260,19002,20259,20329,20575,21425
"34","26","        Window coverings","DWCTRX0",4824,4940,5024,5154,5206,5342,5460,5649,5639,5688,5791,6005,6053,6305,6566,6673,6668,7031,7233,7504,7363,7473,7427,7659,8021,8010,8001,8336,8679,8652,8880,8828,8839,9464,9830,10224,10620,10689,10927,11532,12057,12337,12318,13165,13568,13581,13370,13176,13431,13822,14053,13849,13261,13796,13631,12655,12286,12613,12899,12954,13521,13884,14118,14732,14774,15015,15315,15559,15727,15819,16103,16109
"35","27","      Household appliances (part of 33)","DAPPRX0",23684,23563,24102,23958,23787,24319,23827,24344,23648,23900,24092,24137,24895,25980,26619,27214,28266,29334,30238,30382,31303,31851,32280,33292,33349,33555,33983,35066,35716,36377,36104,36378,36128,37314,39078,39725,40740,41556,42156,43337,42976,43194,43007,44026,44531,43335,43465,42819,42710,41683,42073,42206,42040,42109,40459,38375,37255,36263,37101,38099,38473,40636,38991,39998,40992,41062,41280,41648,40334,39692,40347,40155
"36","28","        Major household appliances","DMHARX0",20896,20792,21281,21081,20894,21319,20915,21428,20839,21061,21172,21181,21923,23088,23701,24210,25153,26150,27003,27107,28028,28506,28865,29810,29838,30007,30443,31433,31991,32580,32314,32527,32158,33116,34690,35238,36114,36835,37250,38309,37852,37943,37663,38564,38926,37725,37779,37027,36774,35812,36134,36136,35961,35859,34341,32510,31483,30613,31526,32144,32333,34353,32693,33484,34387,34348,34501,34659,33347,32684,33213,32927
"37","29","        Small electric household appliances","DSEARX0",2758,2741,2794,2837,2847,2946,2863,2876,2774,2805,2875,2906,2933,2889,2922,3005,3115,3194,3252,3289,3304,3373,3440,3513,3539,3574,3573,3670,3759,3831,3822,3880,3989,4211,4401,4499,4637,4732,4911,5033,5125,5250,5344,5462,5605,5613,5692,5808,5963,5903,5973,6114,6127,6314,6191,5941,5853,5731,5642,6040,6239,6368,6408,6632,6720,6835,6903,7131,7156,7196,7327,7443
"38","30","      Glassware, tableware, and household utensils (34)","DUTERX0",19770,20638,20843,21250,20987,21811,21748,22546,22457,22560,23001,22861,23840,23887,24593,25759,26710,27449,28661,30019,30620,31021,31838,32763,33135,33751,34182,35509,37036,37552,38368,39674,39217,40237,41291,40775,41585,41266,41501,41700,42192,41940,42532,43936,45067,44599,44591,44757,45305,44126,44369,44417,42928,43924,43176,41585,39793,40353,40645,41064,42186,42385,43340,44660,45400,46231,46739,48933,50459,50695,51940,52857
"39","31","        Dishes and flatware","DCHNRX0",9535,9885,9916,10038,9845,10156,10053,10344,10251,10299,10500,10435,10948,10824,11378,12083,12466,12746,13455,14460,14789,15027,15566,16074,16417,16975,17270,18039,19039,19438,20043,20521,20046,20232,20451,19885,20220,19969,20028,20030,19969,19410,19985,20696,21113,20655,20562,20763,20917,20313,20359,20528,19881,20544,20268,19635,18426,19029,19308,19623,20058,20339,21051,22040,22641,23035,23448,25333,26098,26730,27595,28278
"40","32","        Nonelectric cookware and tableware","DNECRX0",10259,10784,10964,11256,11192,11714,11760,12276,12284,12339,12582,12506,12971,13159,13284,13730,14307,14775,15264,15582,15853,16013,16280,16692,16711,16756,16888,17440,17958,18070,18277,19108,19133,19976,20819,20880,21358,21291,21467,21663,22217,22535,22547,23242,23953,23934,24014,23990,24371,23788,23975,23874,23039,23403,22942,22002,21356,21370,21410,21538,22206,22163,22463,22881,23084,23521,23661,24212,24985,24755,25223,25540
"41","33","      Tools and equipment for house and garden (35)","DTOORX0",12771,12686,12858,12961,12950,13214,13275,13307,13417,13685,13965,14145,14489,14888,15179,15713,16268,16208,16225,16667,17105,16926,17005,17145,17425,17832,17583,17829,18132,18311,18324,18665,18932,19344,20351,20631,20713,21492,21751,21801,21898,22142,22328,22944,23940,23043,22624,22722,22972,22646,22639,22490,22211,22669,22462,21101,20545,20276,20405,20519,20858,21290,20987,21628,21173,21691,22029,22341,23034,22688,22673,22969
"42","34","        Tools, hardware, and supplies","DHDWRX0",10813,10708,10807,10895,10864,11041,11074,11051,11143,11397,11570,11710,12018,12417,12752,13206,13655,13694,13721,14058,14425,14317,14332,14422,14697,15072,14950,15200,15457,15643,15659,15984,16125,16351,17139,17301,17220,17920,18079,18024,17998,18052,18150,18587,19334,18497,18071,18071,18183,17824,17719,17575,17314,17682,17510,16411,15945,15634,15793,15875,16122,16409,16143,16627,16221,16613,16831,17037,17581,17372,17256,17507
"43","35","        Outdoor equipment and supplies","DLWNRX0",1968,1987,2057,2074,2092,2177,2204,2256,2274,2290,2394,2433,2470,2475,2438,2519,2623,2533,2524,2627,2697,2629,2690,2738,2746,2779,2658,2657,2703,2698,2695,2715,2834,3013,3230,3343,3499,3580,3678,3780,3901,4090,4178,4357,4606,4548,4556,4656,4795,4830,4930,4927,4910,5000,4965,4704,4614,4658,4626,4659,4752,4898,4861,5018,4972,5097,5220,5328,5477,5337,5444,5488
"44","36","    Recreational goods and vehicles","DREQRX0",70879,73041,77438,79458,81434,85936,88428,91571,94475,98423,102494,106008,111215,116729,124251,129989,135954,142569,149731,156810,166793,169188,173566,177434,180404,185505,189818,199504,206742,210053,212882,217311,221404,231538,246390,255745,264015,269606,278637,286456,299333,309116,316060,326753,344156,348387,357957,374347,382733,392528,408847,419404,415758,428396,421822,398840,403006,397790,412789,427271,438159,449379,460020,474304,490507,501327,514045,528532,545027,554584,569941,585659
"45","37","      Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)","DVAPRX0",22429,23272,25086,26631,27743,29666,30822,32107,33714,36220,38321,40026,43052,45941,50553,53669,56868,60327,64453,68040,72624,75209,77962,80656,83080,85879,89767,95679,100427,103842,106018,109490,112529,119167,128629,134883,141143,146980,153934,161586,170921,177742,186757,196272,207589,214985,224245,238462,249126,258047,271606,282511,281767,296361,297357,291987,301864,298197,310259,327923,344768,356759,368728,378526,394629,404931,415384,432102,445185,457812,475607,490587
"46","38","        Video and audio equipment","DVAARX0",29574,29858,31462,32073,32353,33037,33225,33395,33245,34418,35065,35540,37456,39670,42300,43846,45541,47886,50852,53311,56557,57803,59147,60708,62441,63793,66204,70114,72203,74133,74771,75767,76595,79089,83071,85984,89342,92478,96149,99916,105206,107930,112424,118246,124108,126933,131305,137890,143000,146753,153665,159782,161127,171653,172774,170369,178348,174422,180192,191538,201003,204699,210385,218397,227914,235356,242724,251068,259438,268855,278022,283792
"47","39","          Televisions","DTVSRX0",4659,4679,4844,4917,4903,4969,4968,5024,4884,4950,5051,5093,5351,5563,5778,5948,6327,6705,7020,7308,7857,8195,8596,8916,9166,9537,10066,10848,11166,11578,11965,12663,13470,14903,16663,18004,19361,20988,22232,23661,25635,27157,29708,32862,35778,38481,42461,48218,52608,56553,61423,65128,67090,72650,75189,77746,84874,87680,94887,105692,114812,118305,122184,128315,136433,145707,154166,161266,167761,178568,187830,193089
"48","40","          Other video equipment","DOVARX0",2672,2714,2852,2941,3003,3030,3059,3038,3002,3134,3255,3293,3560,3856,4206,4542,4899,5270,5727,6180,6852,7337,7858,8406,8787,9439,10158,10902,11396,11785,12133,12757,13445,14502,15563,16317,17092,18167,19099,20068,21167,21676,22594,23629,24783,25903,27257,28631,29397,30278,32435,34618,35563,38698,40039,39842,39873,38425,39135,41947,43523,44881,46845,49096,51232,52910,54529,56986,59867,61787,63596,66042
"49","41","          Audio equipment","DAUDRX0",8212,8272,8644,8858,8850,9019,9056,9169,9069,9485,9518,9514,9911,10325,10795,11028,11145,11759,12454,12988,13616,13267,13259,13561,13640,13934,14212,14576,14871,15299,15582,15605,15350,15486,16144,16301,16831,17282,18147,19004,20485,21451,22640,22986,24031,23440,23346,23677,23641,23567,23659,24145,24039,25162,24485,22866,23167,22240,22207,22759,23479,23732,23942,24438,25195,25748,25921,26925,27547,28415,28614,29340
"50","42","          Recording media","DRECRX0",16500,16686,17888,18114,18397,19004,19157,19216,19526,20230,20599,21124,22189,23694,25597,26335,26982,27920,29569,30766,31965,32464,32534,32641,33711,33371,34081,36154,37153,37803,37148,36422,35631,35079,35278,35794,36398,36227,36807,37268,37949,37639,37459,38768,39563,39303,38776,38568,39182,38939,39638,40102,39302,40928,39935,38276,40210,37729,38066,38917,40030,40072,40952,42071,43267,43260,43967,44454,45300,45831,47402,47285
"51","43","            Prerecorded and blank audio discs/tapes/digital files/downloads","DRTDRX0",14275,14398,15551,15689,15889,16536,16651,16770,17130,17742,17921,18431,18743,18992,19594,19557,19514,19806,20427,20503,20610,20804,20564,20192,20250,19790,19615,19770,20138,20253,19582,19047,18437,17741,17387,17447,17698,17215,17300,17341,17140,16864,16575,16758,16792,16579,16336,16109,16095,15993,15898,16248,15996,16875,16452,15892,16375,16051,16319,16807,17505,17537,17966,18516,19203,19486,20030,20725,20842,21425,22131,22000
"52","44","            Video cassettes and discs, blank and prerecorded","DOVERX0",3647,3711,3908,3993,4083,4140,4187,4157,4168,4320,4490,4564,5200,6237,7362,7993,8575,9167,10126,11125,12111,12397,12645,13038,13969,14043,14849,16656,17275,17784,17758,17546,17340,17446,17966,18409,18761,19047,19532,19944,20809,20773,20882,22013,22786,22742,22460,22485,23133,22993,23827,23924,23368,24093,23525,22408,23910,21645,21693,22034,22412,22416,22858,23412,23889,23549,23670,23383,24156,24035,24892,24924
"53","45","        Photographic equipment","DCAMRX0",1652,1668,1674,1699,1719,1758,1792,1808,1852,1846,1900,1875,1935,1967,2002,2095,2125,2148,2195,2317,2236,2295,2390,2556,2474,2422,2440,2472,2590,2585,2649,2680,2827,3054,3253,3428,3614,3895,4112,4353,4623,4830,5077,5352,5673,5939,6476,7204,7945,8532,8978,9547,10011,10651,9769,7784,8083,8979,9529,9781,9906,9780,10039,10471,10848,10538,11057,10984,11340,11352,11616,11717
"54","46","        Information processing equipment","DIPERX0",1684,1868,2137,2490,2784,3284,3643,4074,4729,5460,6176,6824,7633,8296,9727,10797,11907,12891,13981,14950,16275,17285,18353,19220,19966,21235,22595,24508,26777,28171,29481,31708,33622,37337,42455,45570,48274,50681,53723,57339,61103,64977,69254,72669,77810,82149,86531,93471,98308,102889,109067,113318,110894,114462,115106,113879,115687,115061,120720,126893,134047,141877,147676,149458,155680,159019,161842,169970,174479,178075,186157,194590
"55","47","          Personal computers and peripheral equipment","DCPPRX0",786,875,1004,1178,1323,1570,1747,1956,2281,2642,3002,3325,3750,4138,5004,5577,6244,6824,7577,8209,8969,9633,10333,10827,11472,12467,13576,15022,16560,17522,18386,20137,21022,22683,25273,26440,27579,28627,30227,32570,34563,36344,39035,41224,44120,46441,48322,51139,53088,54828,57785,62136,62015,66108,67691,67708,70318,70962,75745,79361,82783,85439,87303,90439,97471,101698,107066,115284,117209,120003,124793,132824
