"","Table 6#11D# Employer Contributions for Employee Pension and Ins","F2","F3","F4","F5","F6","F7","F8","F9"
"43","34","      Group life insurance","B4924C0",11442,11563,12363,13044,12316,12556
"44","35","    Workers' compensation","B4925C0",38106,38768,41734,43835,47537,52888
"45","36","    Supplemental unemployment","B4926C0",2080,1940,1843,1751,1698,1732
"46",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA
"47","37","  Benefits paid by pension and insurance funds","B4928C0",760699,816319,885442,944200,1014236,1086167
"48","38","    Pension and profit-sharing","B4937C0",397546,424466,453414,484583,517260,542395
"49","39","      Private pension and profit-sharing","B4929C0",236428,252896,270135,288675,308808,320359
"50","40","      Publicly administered government employee retirement plans","B4938C0",161118,171570,183279,195908,208452,222036
"51","41","        Federal civilian \2\","B4946C0",45871,47274,49779,51682,53183,54964
"52","42","        Federal military \3\","B1593C0",31452,32172,33220,34640,35418,35893
"53","43","        State and local","S121000",83795,92124,100280,109586,119851,131179
"54","44","    Private insurance funds","B4939C0",363153,391853,432028,459617,496976,543772
"55","45","      Group insurance","B4940C0",327878,354899,392980,417274,454388,500830
"56","46","        Group health insurance","B4930C0",309610,334755,375962,400409,436610,482252
"57","47","        Group life insurance","B4931C0",18268,20144,17018,16865,17778,18578
"58","48","      Workers' compensation","B4932C0",33246,35071,37282,40501,40709,41044
"59","49","      Supplemental unemployment","B4933C0",2029,1883,1766,1842,1879,1898
"60","50","  Employee contributions for publicly administered government employee retirement plans","B4941C0",32391,34722,36755,38623,41732,43539
"61","51","    Federal civilian","B4947C0",9547,10254,10934,11526,13457,13844
"62","52","    State and local","S251200",22844,24468,25821,27097,28275,29695
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","1. Consists of professional, scientific, and technical services; management of companies and",NA,NA,NA,NA,NA,NA,NA,NA
"65","enterprises; and administrative and waste management services.",NA,NA,NA,NA,NA,NA,NA,NA
"66","2. Consists of civil service, foreign service, Public Health Service officers, Tennessee",NA,NA,NA,NA,NA,NA,NA,NA
"67","Valley Authority, Thrift Savings Fund, and several small retirement programs.",NA,NA,NA,NA,NA,NA,NA,NA
"68","3. Includes the Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA
"69","Note.  Estimates in this table are based on the 1997 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA
"70","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA
