"","Table 5#6#5BU3# Inventory Valuation Adjustment by Industry      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15"
"74","63","D         Miscellaneous nondurable goods wholesalers","I42290",-157,-57,-678,-582,-502,-297,-351,-360,-677,-385,-1326,-2577
"75","64","D     Nonmerchant wholesale industries","I42N0",1432,1330,-60,-1150,808,-204,-1056,-3309,-4058,-3442,-4254,-4350
"76","65","D       Durable goods industries","I42ND0",1093,800,294,-276,352,394,-96,-1680,-916,-2351,-1486,-3087
"77","66","D       Nondurable goods industries","I42NN0",339,530,-354,-874,456,-598,-960,-1629,-3142,-1091,-2768,-1263
"78","67","D Retail trade industries","I440",4204,3077,-1934,-1649,929,875,-345,-6692,-6576,-5699,-7244,-7521
"79","68","D   Motor vehicle and parts dealers","I4410",938,323,-1072,-1101,286,1240,1714,-1470,-1097,-1325,-554,-485
"80","69","D   Furniture, furnishings, electronics, and appliance stores","I44230",1462,1564,839,669,769,389,319,227,134,76,213,-888
"81","70","D   Building material and garden equipment and supplies dealers","I4440",-92,-10,-164,-258,-27,-531,-369,-2131,-1337,-1440,-807,-2908
"82","71","D   Food and beverage stores","I4450",126,-36,-288,-5,-638,483,-656,-551,-491,-68,-771,-707
"83","72","D   Clothing and clothing accessories stores","I4480",-56,-10,81,-102,109,180,-353,-217,-337,-964,-1293,-1438
"84","73","D   General merchandise stores","I4520",56,-15,-18,278,-219,-130,-71,-21,-224,-435,-718,-1101
"85","74","D     Department stores","I45210",87,66,186,354,-158,-48,-45,53,-116,-141,-122,-176
"86","75","D     Other general merchandise stores","I45290",-31,-81,-204,-76,-61,-82,-26,-74,-108,-294,-596,-925
"87","76","D   Other retail stores","I44X0",1770,1261,-1312,-1130,649,-756,-929,-2529,-3224,-1543,-3314,6
"88","77","D Other industries","IOTH0",468,847,-479,-1004,924,257,-396,-1135,-2546,-2103,-3622,-2915
"89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","B=Quarterly data published in the Survey of Current Business monthly (NIPA table 5.6.5B).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","D=Detail underlying published data.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
