"","Table 5U# BEA Retail and Food Service Sales","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"37","30","S4 EN4511ZZMA       Sporting goods, hobby, and musical instrument stores","T050300",36207,38136,41759,43645,45894,46614,49412,52875,55881,57060,57876,58594,60789,62258,66681,70128,71876
"38","31","S4 EN4512ZZMA       Book, periodical, and music Stores","T050310",16067,17336,19194,20908,21973,22774,24099,25507,25876,26463,26404,26148,26456,25750,24616,23954,23910
"39","32","S1 EN453ZZZMA     Miscellaneous store retailers","T050320",58725,65752,74122,81041,88293,96129,104672,110997,114344,109841,110251,108620,111490,114755,122563,125713,125847
"40","33","S3 EN4531ZZMA       Florists","T050330",6791,6819,6985,7040,7556,7753,8094,8371,8833,8588,8321,7615,7390,7590,7723,6946,6628
"41","34","S3 EN4532ZZMA       Office supplies, stationery, and gift stores","T050340",22820,25397,28861,31187,32840,35736,39476,42689,45136,43094,42832,42215,43534,44446,46622,48703,46490
"42","35","S4 EN4533ZZMA       Used merchandise stores","T050350",6003,6602,6600,7148,7845,8690,9768,10224,10811,10405,10231,10102,10305,10496,11858,12387,13004
"43","36","S4 EN4539ZZMA       Other miscellaneous store retailers","T050360",23110,26934,31675,35667,40052,43950,47335,49713,49564,47754,48867,48688,50260,52223,56360,57677,59726
"44","37","S1 EN454ZZZMA     Nonstore retailers","T050370",83235,90388,100844,107934,122333,130311,136389,153027,179974,177119,184149,198436,217164,239433,268008,295447,309265
"45","38","S2 EN4541ZZMA       Electronic shopping and mail-order houses","T050380",36015,41592,48097,53872,62484,71606,81160,94519,112407,111235,118214,127221,141851,158357,184083,202958,210760
"46","39","S4 EN4542ZZMA       Vending machine operators","T050390",7252,7066,7179,6971,7706,8016,8437,9171,9946,9545,9727,9480,10002,9977,10198,10407,10940
"47","40","S4 EN4543ZZMA       Direct selling establishments","T050400",39968,41730,45568,47090,52143,50689,46791,49336,57621,56339,56208,61734,65310,71099,73726,82083,87564
"48","41","S1 EN722ZZZMA Food services and drinking places","T050410",215104,228275,238432,246973,256758,272466,287897,302269,323569,337009,351419,369976,394231,418351,446553,468806,486425
"49","42","S4 EN7221ZZMA   Full-service restaurants","T050420",91799,96992,102983,105473,110855,121398,126775,132968,140995,145558,152412,159535,168636,177306,188989,199063,207599
"50","43","S4 EN7222ZZMA   Limited-service eating places","T050430",92611,100250,104187,109194,112412,115566,123539,129010,138718,146765,153161,162682,176077,187966,199790,207009,211618
"51","44","S4 EN7223ZZMA   Special food Services","T050440",17717,18216,18846,19162,19823,21397,22780,24803,27285,27816,28171,29023,30386,32894,35608,38103,40165
"52","45","S4 EN7224ZZMA   Drinking places (alcoholic beverages)","T050450",12978,12817,12416,13143,13667,14105,14803,15489,16571,16870,17675,18736,19133,20185,22166,24632,27044
"53",NA,"              Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","46","S1 EN04472BMA   Retail and food services except motor vehicle and parts dealers","T050460",1708686,1797393,1914293,2000714,2111551,2211415,2317135,2490478,2671913,2745186,2827205,2959454,3181711,3410074,3634976,3791083,3900232
"55","47","S1 EN44GZZZMA   Retail trade except motor vehicle and parts dealers","T050470",1493581,1569118,1675861,1753741,1854793,1938949,2029238,2188209,2348344,2408177,2475786,2589479,2787480,2991723,3188423,3322277,3413807
"56","48","S2 EN44BZZZMA   GAFO-Department store merchandise stores\1\","T050480",571008,609980,658333,694053,728206,759569,809469,873087,923300,944351,978191,1015336,1078847,1138013,1201315,1246962,1258325
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","S1=Based on Census advance data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","S2=Based on Census preliminary and final data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","S3=Based on unpublished Census data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","S4=Based on unpublished Census data, seasonally adjusted by BEA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","1. Includes industries EN442ZZZMA, EN443ZZZMA, EN448ZZZMA, EN451ZZZMA,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","EN452ZZZMA, and EN4532ZZMA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
