"","Table 5#6#5BU2# Change in Book Value by Industry                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15"
"78","67","D Retail trade industries","X440",10400,13930,29292,23265,-11748,23343,16241,29098,10231,16166,1028,-9712
"79","68","D   Motor vehicle and parts dealers","X4410",4050,1874,14010,13405,-9120,16938,10615,8866,-1600,973,-8031,-6375
"80","69","D   Furniture, furnishings, electronics, and appliance stores","X44230",-217,550,1326,1432,-1348,1322,1212,3055,767,752,1219,-1941
"81","70","D   Building material and garden equipment and supplies dealers","X4440",1455,2317,2437,1638,2,2021,1533,4353,3605,1682,1221,826
"82","71","D   Food and beverage stores","X4450",219,1240,2109,-148,1384,-319,-384,958,319,918,1636,1275
"83","72","D   Clothing and clothing accessories stores","X4480",1228,1162,1195,2633,-1175,1412,778,2750,1764,4155,-355,-970
"84","73","D   General merchandise stores","X4520",114,876,2704,786,90,1360,928,4377,2340,2383,267,-1316
"85","74","D     Department stores","X45210",171,-770,469,-979,-1943,-1508,-1662,581,98,42,-419,-2663
"86","75","D     Other general merchandise stores","X45290",-57,1646,2235,1765,2033,2868,2590,3796,2242,2341,686,1347
"87","76","D   Other retail stores","X44X0",3551,5911,5511,3519,-1581,609,1559,4739,3036,5303,5071,-1211
"88","77","D Other industries","XOTH0",4861,4849,7595,13400,-746,-1610,1696,6890,3770,6307,6942,2823
"89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","B=Quarterly data published in the Survey of Current Business monthly (NIPA table 5.6.5B).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","D=Detail underlying published data.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
