"","Table 2#3#6U# Real Personal Consumption Expenditures by Major Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"11","2","Q1TDG1 A Durable goods","Q1TDG10",470901,455292,450466,437413,424644,426863,433614,426466,443145,446642,456363,465790,470366,486191,492079,505123,517279,523322,529055,547944,537274,543516,559694,570020,576149,595160,600081,612262,629926,627906,656689,673222,676217,707470,727162,770311,767419,803627,820729,826419,872797,851317,863809,865381,879531,878883,885565,958732,948441,956911,983389,970413,971423,1009841,1049623,1051384,1066225,1071336,1091520,1110065,1111627,1143717,1158894,1123291,1173061,1178310,1188386,1200722,1227322,1242274,1249405,1250580,1237008,1228288,1180123,1108623,1133884
"12","3","Q1TAP1 B   Motor vehicles and parts","Q1TAP10",271772,258267,254603,239660,224227,222565,231980,227586,240178,242494,245787,251287,248002,259906,259535,269546,278042,274068,272113,280747,267679,268247,274702,278421,281428,285842,285915,288254,300765,290777,309396,317675,310289,333905,339974,371683,355094,380245,382475,371931,403270,376117,383167,383515,392648,388582,392725,449389,422051,422503,445590,425850,424834,442296,454781,446359,448894,445721,450885,457807,447943,464332,469040,418120,435443,437295,439409,439618,449532,451325,443514,442617,430245,407228,376925,334609,350580
"13","4","Q1FUR1 B   Furniture and household equipment","Q1FUR10",122168,120213,118983,118079,118770,121874,122609,121101,124606,125557,128858,132022,136196,139794,142773,145586,148712,154229,158813,165312,166166,169474,176076,181546,183201,192663,195636,201978,206387,212683,220171,225847,233460,238554,249033,257604,266140,275073,285650,296066,306671,311280,315898,317779,323796,328146,332238,343018,356889,363454,365231,371649,373270,388727,410021,419098,429089,438771,451675,460824,470740,482036,497012,513956,537865,544596,553811,564475,580283,588293,600800,606592,609274,629600,616220,602164,608495
"14","5","Q1TOD1 B   Other","Q1TOD10",94617,92237,91991,92075,90623,89969,88046,86366,88300,88687,91534,92380,94391,95789,98316,99411,100448,103095,104888,108548,108266,110148,112884,113452,114972,119210,120693,123637,124816,125084,128298,130927,132676,136187,138870,142497,146562,148950,152910,158371,162942,163858,164702,164101,163250,162601,161170,165645,170323,172062,172689,174419,174945,180581,187534,189932,192985,192880,195894,198709,201952,206066,203496,208969,218721,216592,216736,219763,222022,227688,232871,230766,229407,230779,228108,217733,219583
"15","6","Q1TND1 A Nondurable goods","Q1TND10",1483214,1486388,1491003,1475250,1474043,1485648,1486524,1475912,1500622,1498733,1508606,1532576,1530492,1544434,1559623,1566827,1582016,1596990,1610581,1626023,1627989,1636187,1642243,1648046,1657509,1677040,1686542,1700679,1710843,1711408,1736157,1742953,1765424,1787155,1799734,1825457,1849213,1867867,1873670,1915730,1917190,1944003,1954966,1972705,1975217,1974652,1986511,2010345,2026760,2033400,2034977,2053125,2072519,2084164,2122991,2132455,2156717,2164876,2181388,2207539,2220664,2243680,2260095,2286265,2310761,2328676,2342014,2359773,2380121,2391473,2398620,2400158,2397938,2420721,2376285,2318570,2326203
"16","7","Q1TFD1 B   Food","Q1TFD10",777563,787444,789877,782605,779691,786528,786426,780653,789489,780635,783096,798472,795225,799647,806169,807594,810814,821869,825237,829456,826634,826468,827291,827976,830714,835312,834156,838652,844684,841881,848755,845665,852872,862697,869571,877065,878425,889018,894476,912387,916134,925580,927754,931178,937136,938255,940577,945000,950153,954501,954390,959506,969350,970303,985281,985762,1000796,1003396,1008864,1024702,1032992,1040893,1053308,1063717,1077844,1090306,1093294,1099076,1102453,1110077,1110937,1118745,1122363,1133640,1112343,1069018,1066890
"17","8","Q1TCS1 B   Clothing and shoes","Q1TCS10",191033,188053,187749,185781,187847,190807,190021,186335,194186,197332,201420,203965,203066,206883,208619,210962,215454,215011,218628,224904,224070,225669,229771,230021,232132,237833,241641,243171,242918,240831,248467,251653,258262,263204,262132,268786,278903,282261,284672,284872,291272,296384,301103,302091,300531,301755,302874,309832,315878,316998,315709,324426,323887,332151,340845,340112,349505,345599,350160,357531,362420,371458,371607,383718,390193,390973,396088,400429,409408,412158,416624,413242,416264,427181,412218,402331,406130
"18","9","Q1GFO1 B   Gasoline, fuel oil, and other energy goods","Q1GFO10",159566,158737,160483,155001,154382,156701,158616,157203,159476,163212,163832,164676,164115,166084,169082,168249,170496,169496,170182,168504,172740,174206,172311,172634,175273,176665,176590,176186,177163,179758,180478,181238,184908,185533,185194,189558,193179,193540,188891,195059,191551,190163,189062,195151,196428,188372,191072,197690,195932,197617,198674,197544,197165,196750,199289,200966,200851,201778,201056,200945,198839,200945,201408,200755,197638,195631,196122,196708,199329,198035,197858,197037,194027,190839,184085,187934,190860
"19","10","Q1GAO1 B     Gasoline and oil","Q1GAO10",144010,141238,142014,140108,138636,140553,141155,140788,143428,144958,147539,147909,147272,149459,151419,150513,151266,152376,151958,151031,155171,155343,153831,153511,155812,158573,158377,158812,161010,162686,163251,164145,169310,168899,169125,173796,177049,176525,172297,179218,176719,174423,172975,178505,180413,173515,176051,183051,181330,182002,183162,181230,181591,181904,183878,185240,185978,187156,186480,187023,184774,187745,188570,188590,186274,183172,183566,183826,185061,184279,184695,183766,181353,179088,173269,176288,178412
"20","11","Q1FUL1 B     Fuel oil and coal","Q1FUL10",15758,17644,18632,14951,15844,16266,17657,16569,16158,18482,16376,16881,16976,16731,17807,17890,19465,17246,18430,17604,17655,19094,18683,19377,19713,18219,18341,17456,16193,17127,17288,17150,15599,16651,16098,15792,16135,17062,16648,15788,14803,15744,16105,16651,16038,14875,15021,14693,14651,15638,15526,16317,15585,14895,15438,15750,14929,14673,14627,13993,14097,13307,12963,12305,11534,12566,12669,12991,14305,13821,13253,13357,12783,11946,11073,11792,12420
"21","12","Q1TON1 B   Other","Q1TON10",362125,360185,361320,360303,359674,358672,358917,359828,364198,363654,365493,370837,373533,376800,381047,384723,389439,395072,400496,405825,407929,413253,415363,419983,422045,429377,435931,444436,448075,451602,460491,466379,471350,477222,484261,491753,500391,504270,505746,523991,518364,531894,537052,544123,540787,546041,551748,558398,564984,564648,566497,572172,582089,585670,598602,606462,607117,615046,623002,626891,630227,635108,638247,645440,655261,663259,669009,676991,683497,687136,690520,687888,684797,695103,695513,681589,685138
"22","13","Q1TSS1 A Services","Q1TSS10",2813518,2849506,2872372,2871272,2868325,2896809,2908832,2925804,2960574,2987880,3016089,3038680,3053884,3065435,3099930,3123464,3151948,3167860,3185815,3200901,3221331,3251190,3273624,3293425,3326231,3345365,3366541,3385871,3417773,3446886,3485545,3521612,3562001,3601957,3642070,3653739,3696367,3738484,3782251,3815018,3871082,3908170,3949305,3986786,3997905,4015978,4027843,4051180,4069449,4095694,4108973,4127439,4143272,4161305,4190654,4220120,4262866,4294571,4325177,4361126,4379277,4398175,4439388,4466929,4484727,4515726,4537609,4581494,4616147,4632726,4659796,4676101,4704349,4712128,4711303,4729376,4746466
"23","14","Q1HOS1 B   Housing","Q1HOS10",796036,800062,804370,808224,811576,817876,823663,827116,829702,831393,833658,836194,836979,837925,843108,849046,859825,865462,873171,878858,882783,885862,888972,892545,895162,898574,902791,907894,913902,919337,925426,931223,939366,945767,952419,957814,969368,975165,981788,987887,995747,1003306,1009898,1016883,1024441,1031235,1036479,1042789,1044399,1043695,1040977,1039287,1042034,1046322,1054655,1064599,1073275,1079666,1087134,1095054,1103649,1113221,1123728,1133149,1143173,1151728,1158773,1164671,1168012,1170398,1172531,1175933,1177332,1182274,1184468,1185595,1185193
"24","15","Q1HOP1 B   Household operation","Q1HOP10",258725,267670,271029,268048,263593,273389,272562,269866,269941,276686,279104,283895,285416,286169,295590,297100,300541,305499,303818,303408,302628,310945,319348,318607,326971,328051,323616,330447,331160,336372,341120,352792,350229,358538,363489,356089,362787,371092,379932,373702,376339,388561,392540,402995,397596,389462,390250,386564,387968,395123,392408,397315,397471,397444,397963,402285,405480,407107,408757,412822,412885,413322,417496,417199,406565,413638,416528,417340,419318,419825,421455,424034,425934,421323,412409,420578,429148
"25","16","Q1GEL1 B     Electricity and gas","Q1GEL10",111294,118519,120481,119310,117267,125481,122610,118981,116742,120554,120285,124112,125052,123171,129512,129398,129880,132591,127745,124870,123602,129801,135201,132009,138593,136480,129820,134057,130912,132808,132014,139184,133822,140242,141100,131549,135476,138515,143167,135416,133910,141959,143767,153563,148508,138841,138937,137287,139759,145825,144059,149809,148596,146670,145902,148824,149849,148598,147234,150863,151591,151640,154470,153519,144221,148844,150141,149810,151527,150621,151037,151239,153980,149569,141153,147471,154495
"26","17","Q1HLU1 B     Other household operation","Q1HLU10",147910,149574,150966,149152,146750,148300,150361,151306,153629,156578,159273,160233,160811,163474,166537,168181,171167,173433,176555,178971,179420,181612,184670,187039,188910,192045,194167,196788,200614,203931,209435,213986,216683,218722,222770,224512,227343,232622,236929,238232,242440,246750,248855,249191,248793,251002,251558,249435,248297,249233,248255,247288,248663,250694,252061,253332,255516,258594,261847,262022,261307,261689,262738,263530,263752,265502,266978,268264,268313,270046,271322,273909,272487,273161,274602,275244,275565
"27","18","Q1TOT1 B   Transportation","Q1TOT10",196294,196690,195874,193902,187946,186510,185095,185820,189228,192065,197496,198009,198286,200677,203560,207315,211931,216326,220514,224740,226928,229223,233411,237538,242268,245629,249008,253097,259429,261875,265143,266337,268431,271781,273263,274536,279251,281870,285458,287042,289897,291854,291560,291705,292917,291484,285892,281584,281919,280961,279106,278954,280670,279881,280687,281182,282339,284334,284960,286611,287037,287666,288304,288574,290782,293182,294038,296948,297665,298774,300493,299901,301180,298908,297155,292160,288373
"28","19","Q1TMD1 B   Medical care","Q1TMD10",780778,793942,805165,810576,813061,818586,827426,838999,851505,861743,868910,872360,875717,875450,878089,879506,882556,885513,888296,892044,900094,904191,908524,912775,913576,920897,923546,931956,932644,939062,947276,952236,966436,968274,972423,975513,977957,983677,992456,1001800,1010733,1021977,1032091,1042451,1053541,1065657,1082692,1099080,1113527,1129864,1144352,1158810,1170454,1177375,1184203,1191041,1199040,1210315,1223253,1233480,1241181,1250853,1263442,1273792,1283711,1287932,1289800,1299216,1316025,1319444,1331355,1344540,1360753,1370292,1378856,1389227,1395993
"29","20","Q1REC1 B   Recreation","Q1REC10",167483,170445,171585,172875,170343,170512,171539,174056,180228,182474,184784,188378,191437,193765,197977,198369,200434,203377,206779,208592,212989,218110,221007,224645,225302,227564,230713,230957,234329,235966,235370,236942,241546,242718,246396,249140,251812,255960,260636,262868,264233,267640,270105,271082,274733,274127,274534,276187,278459,280133,281147,285056,285603,289208,292234,296237,301476,304446,306691,307408,309513,310104,311268,312446,314720,315984,321102,330993,332525,334588,336616,336310,332273,333354,332115,331203,333185
"30","21","Q1OSR1 B   Other","Q1OSR10",616952,622930,626789,620839,625815,632853,632058,634366,644847,647941,656426,663624,669716,674985,684227,694689,699144,693790,695777,696032,698936,705321,704252,709389,724429,726198,738826,733179,747974,755702,772313,782623,796822,815334,834385,841168,855508,870936,882174,901859,934050,934873,953167,961671,954633,964206,957812,964622,962702,965511,970468,967564,966543,970440,980221,984061,1000521,1007937,1013452,1024775,1023980,1021880,1033856,1040326,1044479,1051904,1056085,1071135,1081257,1088427,1096023,1093866,1104990,1104044,1104555,1108415,1112132
"31",NA,"         Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","22","Q1NRG1 B   Energy goods and services","Q1NRG10",270531,277759,281549,274930,272225,283230,281897,276624,276306,283980,284271,289253,289755,289487,299360,298466,301010,303186,298339,293608,296132,304355,308606,305299,315021,313986,306628,310853,308338,312818,312590,321251,318566,326561,327274,319932,327692,331579,332510,330119,325262,332038,332885,348948,345114,327260,329962,334200,335309,343531,342563,347548,345928,343511,345118,349798,350742,350447,348405,351773,350243,352493,355580,354060,342289,344314,345995,346343,350685,348476,348640,347883,346608,339430,324984,334676,344649
"33","23","Q1XEF1 B   Personal consumption expenditures excluding food and energy","Q1XEF10",3714507,3713356,3726781,3706507,3691822,3715384,3737521,3744205,3814671,3844150,3890068,3927492,3947986,3988259,4027656,4072533,4123985,4148588,4187272,4240149,4248971,4285628,4327710,4366943,4403436,4459819,4503326,4541627,4599216,4624421,4712038,4767544,4827982,4905845,4971379,5052310,5106337,5190008,5250447,5314501,5419761,5445898,5507541,5544582,5570391,5605185,5630171,5738500,5756801,5785897,5826390,5841348,5869622,5935650,6022663,6058937,6123868,6167210,6229676,6289237,6316415,6375429,6431538,6450168,6536140,6576086,6615757,6684469,6754112,6790496,6831701,6844961,6861619,6887810,6851920,6790057,6824139
"34",NA,"Real PCE by Major Type of Expenditure (From NIPA table 2.5.6):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","24","Q1PCE1 A     Personal consumption expenditures","Q1PCE10",4757125,4772962,4792574,4758270,4738052,4779432,4800122,4795944,4874996,4903032,4951825,5009380,5027306,5071854,5127251,5172944,5230296,5267970,5305710,5358749,5367241,5411653,5458829,5496098,5544554,5604939,5640657,5687631,5749094,5775849,5870672,5931394,5996833,6092061,6165655,6248819,6311293,6409688,6476744,6556808,6661269,6703322,6767953,6824968,6853071,6870257,6900517,7017580,7042178,7083491,7123186,7148256,7184986,7249279,7352864,7394311,7475116,7520472,7585507,7664290,7697515,7766392,7838099,7864922,7947412,8002135,8046346,8119940,8197173,8237272,8278517,8298196,8316055,8341328,8260590,8170485,8214156
"36","25","Q1FTB1 C Food and tobacco","Q1FTB10",860970,870766,872412,864322,858521,865095,864985,859846,870927,862234,864392,879318,875835,880050,886594,888110,891904,903537,907251,911828,909057,909108,910172,911105,914156,919094,918041,922778,929061,926100,932996,929523,936619,946104,952377,959082,958932,968637,973415,990960,994975,1004249,1006216,1009378,1015531,1016484,1018522,1022537,1027123,1030887,1030165,1034591,1043735,1044086,1058379,1058329,1072862,1074930,1079828,1094994,1101860,1108795,1120428,1130295,1144387,1156461,1159081,1164400,1167100,1174116,1174458,1181694,1184816,1195485,1173986,1130736,1127564
"37","26","Q1FXA1 C   Food excluding alcoholic beverages","Q1FXA10",677652,685327,686095,677661,680437,688495,689034,684805,693402,686185,688095,701714,700432,704564,710483,712525,715064,725156,728144,732382,730218,729679,729801,730455,732627,737068,735803,740310,745486,742955,748393,745233,751414,760771,767050,773810,775655,784563,790222,805817,808258,816872,818660,822163,827715,828441,831397,835978,839807,843612,844665,849760,857835,858749,871217,871536,884240,885718,890543,904016,911960,918141,926967,935165,946873,956426,958336,964052,966134,971074,971555,977108,979051,986260,964844,932086,932560
"38","27","Q1ALC1 C   Alcoholic beverages","Q1ALC10",99904,102179,103924,105224,99239,97967,97302,95767,96032,94407,94963,96719,94784,95071,95678,95075,95754,96721,97092,97076,96420,96796,97490,97519,98091,98253,98362,98345,99204,98932,100370,100448,101476,101935,102525,103262,102768,104455,104251,106562,107883,108709,109098,109015,109423,109812,109178,109019,110346,110881,109726,109746,111518,111559,114067,114220,116552,117669,118306,120673,121021,122740,126337,128553,130969,133874,134947,135009,136310,139014,139385,141662,143347,147467,147672,136920,134236
"39","28","Q1TOB1 C   Tobacco products","Q1TOB10",89270,88446,86995,86106,81644,80860,80869,82113,85070,85706,85134,83845,83621,83172,82947,82990,83700,84049,84404,84743,84952,85281,85619,85958,86304,86586,86807,86947,87040,86934,86669,86235,85768,84928,83877,82662,80853,79780,79002,78539,78821,78661,78469,78219,78405,78241,77980,77616,77108,76600,76050,75472,74911,74369,73853,73369,73019,72559,72075,71575,70340,69539,68936,68544,68645,68416,68125,67758,67197,66753,66318,65897,65514,65110,64708,64309,63412
"40","29","Q1CAJ1 C Clothing, accessories, and jewelry","Q1CAJ10",250981,247877,247818,244229,244297,247599,244765,239851,250811,255431,260774,264037,263374,268543,272421,274517,279844,279888,284734,293126,292249,295567,300513,302145,305821,312779,317320,319400,319460,317943,327069,332035,340740,347675,348044,356845,369682,374168,378534,381587,388859,395504,401816,401629,398704,398696,399343,407202,415610,418174,417126,427383,427360,436871,447680,449764,460918,457064,462935,471898,477685,488324,487486,502558,512359,512117,517178,521195,529122,532957,537308,532564,534600,544354,528519,513459,519461
"41","30","Q1PCR1 C Personal care","Q1PCR10",68879,68190,68656,68357,68218,68181,68146,68480,70016,70463,71076,71727,71793,71995,72310,73107,73530,74433,75741,76685,78102,79046,79810,80104,80609,82333,83040,85220,86766,87285,89086,88843,88982,89433,90499,91180,91300,91196,91056,92782,92860,93337,93509,93781,92488,92824,92234,93091,94118,94343,93854,93786,95140,95822,98130,99192,100215,101338,102884,103719,104866,105183,105145,106349,106649,107248,107463,107854,108205,108514,109655,109584,110934,112180,111582,111510,111213
"42","31","Q1HOS1 B Housing","Q1HOS10",796036,800062,804370,808224,811576,817876,823663,827116,829702,831393,833658,836194,836979,837925,843108,849046,859825,865462,873171,878858,882783,885862,888972,892545,895162,898574,902791,907894,913902,919337,925426,931223,939366,945767,952419,957814,969368,975165,981788,987887,995747,1003306,1009898,1016883,1024441,1031235,1036479,1042789,1044399,1043695,1040977,1039287,1042034,1046322,1054655,1064599,1073275,1079666,1087134,1095054,1103649,1113221,1123728,1133149,1143173,1151728,1158773,1164671,1168012,1170398,1172531,1175933,1177332,1182274,1184468,1185595,1185193
"43","32","Q1HHO1 C Household operation","Q1HHO10",481197,487167,489778,481700,478701,490440,489188,484542,489800,499143,503638,512694,516701,520239,533654,536517,543530,552262,556023,560648,558153,569690,580278,582939,589743,597849,595490,606848,607783,614184,624038,639071,638812,649084,657830,656305,669209,682156,696160,697865,703353,717214,722745,733800,729672,721278,722062,722249,732052,742158,738778,748970,751020,758831,771584,782157,789990,796047,804196,810792,813352,818344,829141,835492,832406,842828,848331,852834,864026,866039,870485,871664,872002,870341,847878,849295,857602
"44","33","Q1MED1 C Medical care","Q1MED10",888926,901426,913841,919372,921724,926475,934236,945810,959054,969105,976890,980850,985431,985394,988903,992375,996274,1000794,1005046,1010382,1019959,1026075,1031521,1037844,1040329,1050856,1055985,1067449,1070203,1079158,1092194,1101392,1119180,1125089,1133471,1141232,1148335,1156888,1165757,1187870,1190441,1214138,1226321,1242464,1251309,1266088,1289809,1311276,1328576,1344427,1361167,1378772,1395195,1403760,1416772,1428286,1433403,1450216,1466176,1478189,1486693,1497317,1510231,1521050,1533660,1543053,1547062,1561718,1580408,1584148,1596027,1606699,1618054,1632297,1645199,1651278,1662633
"45","34","Q1PBU1 C Personal business","Q1PBU10",327168,329141,330774,332942,340613,350268,351163,353993,357988,355934,358543,363142,373201,378387,382894,389514,390388,382269,379352,378501,379924,385870,389466,392582,399466,401256,401860,406739,416081,420674,432238,436394,439796,451527,459484,464870,478924,490466,497900,513960,536537,531761,541966,546128,539357,534688,526618,530839,524354,524769,529971,527448,518769,524391,531146,539448,548974,554505,559379,569358,570932,572231,580215,583536,583552,586878,591159,603261,615477,624701,632658,635769,636109,636675,641607,637187,634960
"46","35","Q1TRN1 C Transportation","Q1TRN10",609407,592800,588789,569603,546578,545204,554225,549906,568929,575543,586672,593269,589531,606326,610542,624129,638407,639508,641206,653760,645499,648511,658283,666118,675949,686387,689604,696508,718015,711281,734870,745597,744095,772532,780733,819794,809272,838467,840917,837571,870053,842333,847599,853727,865939,853479,854555,914175,884937,885082,907569,885918,887079,903482,918391,912315,916761,917205,921702,930185,918621,937397,943055,900554,914107,913552,916667,920021,930655,932029,928009,925270,913023,889793,855869,823643,835412
"47","36","Q1USE1 C   User-operated transportation","Q1USE10",565502,549761,545467,525591,504095,501992,511327,506897,526504,533521,542213,551142,547293,563510,567137,579742,593213,593149,593911,605143,597269,600499,610176,616605,624956,634783,637434,643895,664414,657842,681171,692149,688982,716470,724463,763001,751611,780758,782496,778909,810644,782052,787854,794554,807032,794792,799491,861453,828837,828504,850856,828623,828591,844689,858421,852047,855349,854627,859143,866938,855278,873733,879139,838601,852515,850571,854039,856191,866803,868177,864041,862715,850460,829290,796261,766851,780782
"48","37","Q1PLT1 C   Purchased local transportation","Q1PLT10",10738,10643,10835,11421,10862,10844,10833,10700,10752,10760,10576,10572,10497,10648,10859,11098,11033,11308,11238,11336,11371,11322,11170,11078,11004,10994,11005,10834,10841,10885,11024,11065,11616,11612,11928,12120,12039,12108,12053,12173,12186,12254,12226,12243,12163,12194,12100,11973,11847,11713,11620,11688,11654,11633,11529,11348,11406,11490,11633,11730,11626,11611,11763,11817,11955,12115,12255,12409,12452,12368,12417,12535,12889,13373,13492,12659,12135
"49","38","Q1PIT1 C   Purchased intercity transportation","Q1PIT10",33082,32302,32362,32410,31424,32107,31839,32043,31510,31150,33706,31495,31669,32151,32516,33251,34105,34938,35912,37139,36726,36553,36819,38292,39889,40526,41094,41739,42711,42498,42609,42331,43378,44384,44279,44686,45583,45617,46376,46483,47199,48020,47516,46965,46827,46613,42826,40180,44109,44766,44852,45599,47014,47275,48678,49291,50542,51834,51583,52219,52618,52808,52840,50830,50022,51549,50868,52130,51971,52074,52208,50267,49994,47055,46265,44239,42437
