"","Table 5#6#6BU# Real Change in Private Inventories by Industry   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15"
"54","43","D         Motor vehicles, parts, and supplies wholesalers","KC42110",1421,444,2320,724,-1684,2849,1436,1815,2889,959,1038,3621
"55","44","D         Furniture and home furnishings wholesalers","KC42120",179,146,278,423,-494,260,346,117,215,151,-56,-202
"56","45","D         Lumber and other construction materials wholesalers","KC42130",376,-51,387,448,44,448,1270,1774,579,505,-480,-1111
"57","46","D         Professional and commercial equipment wholesalers","KC42140",4055,1941,3434,889,-1918,1666,1296,3297,2175,4322,1879,2251
"58","47","D           Computers and software wholesalers","K421430",2691,1760,2193,-420,-1106,1069,2502,2929,2210,3102,2112,2353
"59","48","D           Other professional and commercial equipment wholesalers","K4214X0",734,-191,1180,1309,-836,670,-495,925,512,1670,437,602
"60","49","D         Metal and mineral (except petroleum) wholesalers","KC42150",797,1417,292,346,-891,-269,-228,2297,12,1451,-1789,946
"61","50","D         Electrical goods wholesalers","KC42160",774,1921,3266,3477,-4691,-915,-395,2635,1096,2395,858,1065
"62","51","D         Hardware and plumbing and heating equipment wholesalers","KC42170",115,820,218,913,-593,-27,-25,776,290,633,179,-1041
"63","52","D         Machinery, equipment, and supplies wholesalers","KC42180",4543,5666,1099,747,-2921,-2774,-2102,3398,3007,1840,1443,3276
"64","53","D         Miscellaneous durable goods wholesalers","KC42190",1186,2498,434,2041,-1148,-953,233,569,904,-1858,-1831,1389
"65","54","B       Nondurable goods industries","KC42WN0",7715,5378,5534,5059,5669,1779,-188,936,3071,3772,5541,-1016
"66","55","D         Paper and paper products wholesalers","KC42210",737,151,46,479,-422,-220,124,476,258,-191,56,0
"67","56","D         Drugs and druggists' sundries wholesalers","KC42220",1731,960,3177,4245,6423,825,59,-543,-1091,552,267,-179
"68","57","D         Apparel, piece goods, and notions wholesalers","KC42230",1413,14,-789,-35,-111,568,-700,263,296,1386,-56,474
"69","58","D         Grocery and related products wholesalers","KC42240",957,-21,2004,449,-1201,1662,-631,-93,1343,1412,937,429
"70","59","D         Farm product raw material wholesalers","KC42250",1112,1908,944,621,349,-806,1059,-1386,1441,1576,1853,-1966
"71","60","D         Chemical and allied products wholesalers","KC42260",301,416,155,-399,195,290,-224,-281,32,-17,83,-230
"72","61","D         Petroleum amd petroleum products wholesalers","KC42270",103,734,-1432,-479,1345,-503,-276,717,130,-477,167,896
"73","62","D         Beer, wine, and distilled alcoholic beverages wholesalers","KC42280",351,204,353,237,-205,483,212,346,347,597,729,645
"74","63","D         Miscellaneous nondurable goods wholesalers","KC42290",900,961,506,-59,-552,-570,-14,1480,385,-464,1002,44
"75","64","B     Nonmerchant wholesale industries","KC42N0",2756,2140,2140,2539,-2344,-546,-469,947,2436,2030,-1820,-6799
"76","65","D       Durable goods industries","KC42ND0",1786,1847,1382,1950,-1974,-439,-267,720,1929,1060,-466,-5186
"77","66","D       Nondurable goods industries","KC42NN0",927,148,737,589,-364,-106,-203,252,636,943,-1163,-2176
"78","67","B Retail trade industries","KC440",14645,17298,27658,21616,-10822,24278,15858,22148,3574,9887,-5633,-14804
"79","68","D   Motor vehicle and parts dealers","KC4410",5078,2268,13060,12304,-8828,18421,12652,7744,-2743,-355,-8623,-6839
"80","69","D   Furniture, furnishings, electronics, and appliance stores","KC44230",1014,1928,2118,2101,-593,1775,1611,3478,942,866,1494,-2867
"81","70","D   Building material and garden equipment and supplies dealers","KC4440",1381,2339,2291,1380,-24,1478,1138,2059,2016,222,345,-1610
"82","71","D   Food and beverage stores","KC4450",359,1246,1845,-153,728,160,-964,370,-155,744,705,427
"83","72","D   Clothing and clothing accessories stores","KC4480",1169,1150,1273,2531,-1067,1596,422,2471,1385,2910,-1456,-2052
"84","73","D   General merchandise stores","KC4520",171,874,2697,1064,-131,1220,838,4220,2025,1820,-406,-2108
"85","74","D     Department stores","KC45210",259,-703,656,-625,-2095,-1557,-1697,625,-16,-110,-506,-2604
"86","75","D     Other general merchandise stores","KC45290",-90,1595,2051,1689,1945,2738,2483,3532,1992,1876,84,354
"87","76","D   Other retail stores","KC44X0",5432,7468,4352,2389,-926,-121,666,2123,-105,3352,1545,-544
"88","77","B Other industries","KCOTH0",5414,5868,7346,12396,159,-1359,1316,5682,1144,3835,3009,331
"89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","B=Quarterly data published in the Survey of Current Business (NIPA table 5.6.6B).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","D=Detail underlying published data.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
