"","Table 3#21U# Federal Grants-in-Aid to State and Local Government","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88"
"11","3","  Space","GRN0100",168,192,164,172,188,192,200,184,204,212,228,224,220,240,248,320,340,356,372,360,396,428,464,356,372,408,504,612,548,476,220,656,476,368,356,376,436,500,516,860,808,900,952,784,812,924,888,828,844,828,796,788,832,836,856,924,976,1008,1076,968,1064,1124,1072,600,608,544,532,560,576,520,552,536,536,560,576,536,580,600,580,704,632,704,648,1180,1000
"12","4","  National defense","GRN0110",1792,1880,1948,1988,2040,1964,2176,2276,2496,2584,2584,2664,2848,2848,2848,2860,2820,2880,2664,3016,2872,3096,3068,2876,2872,2752,2944,2684,2844,2708,2660,2652,2724,2792,2752,2816,2824,2872,2864,3076,3008,3092,3164,3200,3080,3096,3188,3428,3312,3232,3264,2840,3028,2956,2968,2760,3196,3100,3160,3300,3256,3628,3604,4184,3116,3660,3912,4004,4536,3876,3764,3632,3820,3768,3668,3828,3336,3876,4076,3792,3668,3824,4220,3968,3572
"13","5","  Civilian safety","GRN0160",260,296,268,292,272,296,284,296,276,332,328,308,100,116,156,188,156,180,408,432,612,608,656,648,656,716,704,776,528,584,628,712,764,748,736,712,1816,1960,2116,2192,2400,2732,2820,3136,3576,3604,3868,3860,3576,3204,3040,2780,3116,3456,3716,4056,3376,3280,2996,2780,3060,3016,3192,3820,3868,4288,4232,4516,5364,5172,5828,5524,5656,6304,5896,5288,5636,5668,5456,5636,4860,5388,5324,4660,3132
"14","6","  Education","GRN0200",9872,9636,10280,9796,11088,9816,10904,11340,10884,11972,10348,11960,12880,12328,12432,13052,14532,13308,13804,14728,15288,15104,14296,15368,14952,15940,15728,16244,15172,15912,16128,13904,17232,17656,16808,16788,15520,16832,17576,17616,18792,16336,18788,19312,20112,18096,20792,22872,20056,21152,21828,22208,22868,24792,22668,24516,26976,27348,27268,29392,32356,35528,35496,33084,37604,37288,38160,42124,37856,39724,41260,40128,39760,42476,43072,40764,38936,40200,40792,38280,42476,39420,42016,42812,37224
"15","7","  Health and hospitals","GRN0240",4096,4356,4212,4520,4544,4140,4264,4944,5180,5488,5672,5516,5768,6088,6224,6148,5916,6312,7052,6964,7156,7400,7136,7436,9064,5876,7668,7404,7676,7288,7704,7432,8084,8620,8304,6868,5940,7148,6316,7496,8132,8320,8164,11664,12040,11768,12648,12768,12660,13060,14392,13704,15684,20284,17056,17520,18416,18672,19172,20376,20064,21432,21624,21840,22072,21632,23352,25048,25840,24316,25780,25288,26996,30136,27780,30524,27896,28092,28032,28548,29912,29296,27744,29736,31164
"16","8","  Income support, social security and welfare","GRN0250",60872,61332,62472,64352,64484,66992,71048,69624,75592,77684,79860,83608,88312,94228,99420,105312,107796,110836,114808,115672,117508,119700,125564,133604,128556,130744,132096,136588,141888,141908,140764,139416,139452,147948,146332,144944,147616,147944,149888,154984,153308,154640,155628,160592,164712,162948,171080,174456,173364,176924,186224,184512,196384,200544,199608,209092,212964,221296,224996,229044,224816,234292,249256,240752,247948,252560,244484,253272,256540,256296,253156,260144,248820,245436,253972,243968,266084,261480,261432,267212,267428,274912,274416,288220,329056
"17","9","    Disability","GRN0310",832,808,692,856,852,864,868,868,864,876,884,908,908,920,928,916,916,928,936,928,928,940,952,932,940,952,960,1160,1168,1192,1204,1220,1232,1256,1268,1376,1388,1408,1424,1332,1340,1364,1372,1636,1644,1668,1676,1608,1620,1636,1644,1640,1648,1664,1676,1736,1748,1764,1776,1764,1776,1792,1804,1824,1836,1848,1868,1940,1956,1964,1972,1992,2000,2008,2012,1856,1864,1864,1872,1868,1876,1876,1884,2032,2044
"18","10","    Unemployment insurance","GRN0370",2344,2708,2612,2792,2460,2308,2708,2444,2868,2816,2660,2704,2984,2980,3116,3020,3732,3136,3916,3412,3812,3332,3680,3576,3380,2708,3360,3360,3464,3188,3392,3320,3260,3480,3196,3412,3072,3152,3276,3136,3228,3136,3460,3504,3604,3416,3492,3164,3124,3684,3056,2392,3760,3440,3216,2684,4084,3768,3456,3188,3644,3764,3636,3076,3412,3300,3668,3320,3596,3192,3456,3380,3504,3268,3600,3236,3140,3344,2864,3220,3712,3380,3072,3796,3380
"19","12","    Medical care (Medicaid)","GRN0410",30396,30848,31740,32944,33724,34872,36512,37432,39948,42264,44468,46492,49736,54700,58796,66012,65368,68404,71332,72468,74696,75900,79740,84292,79568,81636,82220,85728,90924,90412,88816,87760,88916,96352,94644,94000,96044,94904,96964,101484,99444,101696,102080,104044,107064,107280,113284,114728,114700,116452,125260,121748,129988,133220,132056,143268,144872,149676,150728,154828,153368,158716,174508,170540,177636,182960,172980,177504,183436,186080,179292,183548,174840,176864,186520,178660,198304,191036,193744,197860,197832,203876,205044,210640,252536
"20","13","    Welfare and social services","GRN0440",26680,26468,27000,27256,26936,28340,30248,27488,30696,30808,30872,32796,34092,35108,36364,35052,37544,37908,37860,38148,36836,37532,39348,43440,40724,42776,42876,44260,44136,45116,45956,45280,43780,44740,44684,43740,45208,45856,46316,46680,46956,45904,46092,47360,49488,47736,49904,51320,50972,52256,53652,55800,57516,58360,58188,56672,58704,61428,64340,65456,61364,65084,61372,61680,62108,61236,61980,63452,63152,61840,62328,63908,63052,63932,63536,62640,65656,66800,65440,67252,67384,68908,67648,72532,72976
"21","14","    Other income support","GRN0450",620,500,428,504,512,608,712,1392,1216,920,976,708,592,520,216,312,236,460,764,716,1236,1996,1844,1364,3944,2672,2680,2080,2196,2000,1396,1836,2264,2120,2540,2416,1904,2624,1908,2352,2340,2540,2624,4048,2912,2848,2724,3636,2948,2896,2612,2932,3472,3860,4472,4732,3556,4660,4696,3808,4664,4936,7936,3632,2956,3216,3988,7056,4400,3220,6108,7316,5424,6772,5416,4952,4108,5156,4336,4108,3668,3732,3936,6564,5448
"22","15","  Veterans benefits and services","GRN0460",172,192,180,196,212,216,164,232,236,192,164,216,200,220,208,228,224,212,232,228,256,232,256,244,280,256,268,296,312,312,308,300,340,344,320,344,332,340,332,288,284,296,280,320,316,332,304,504,532,520,532,504,560,524,552,440,468,452,484,532,580,588,620,648,704,532,652,608,572,572,616,648,632,684,648,612,584,636,624,664,652,652,652,552,552
"23","16","  Housing and community services","GRN0520",4104,4328,4232,3892,3960,3916,3908,3760,3516,3472,3436,3348,3640,3364,3468,3292,3448,3444,3464,3512,3396,3560,3836,4156,4428,4684,5168,6176,6128,5936,6108,6272,6432,6496,6436,6556,6884,6848,6924,10664,10692,11092,11528,11508,11392,11784,12032,12668,12788,12820,12960,13192,12740,13032,12632,13928,13140,14264,14300,15400,13688,14548,13788,15448,13080,14188,14320,14640,13600,14064,14244,14232,13464,13616,14184,18244,16300,23096,21456,21716,17564,15384,17540,17952,14896
"24","17","  Recreational and cultural activities","GRN0560",100,116,120,96,112,84,88,96,68,108,76,92,88,100,100,84,88,100,92,108,120,88,104,120,136,120,128,100,128,100,116,124,292,280,244,244,248,264,240,152,232,176,176,428,184,212,300,228,256,280,252,252,268,300,280,276,368,352,360,384,324,308,476,420,412,444,532,444,436,460,572,256,300,800,568,432,444,440,532,460,364,412,504,448,404
"25","18","  Energy","GRN0570",1272,1280,1280,1300,1312,1360,1348,1416,1468,1396,1504,1496,1480,1444,1548,1084,1060,1044,964,1036,1016,1068,1036,1016,1088,1256,1032,1092,1084,1016,1084,1060,1020,1024,1076,1064,1076,1056,1012,1188,1016,1036,1000,1120,1144,1048,1176,1064,1112,1152,1124,1020,1056,1056,1056,1152,1104,1160,1220,1216,1276,1268,1276,1288,1292,1296,1288,1344,1284,1136,1652,1232,1348,1296,1220,1212,1316,1276,1312,1336,1356,1368,1288,1544,3444
"26","19","  Agriculture","GRN0610",936,952,892,1124,1100,1096,1004,1188,1388,1280,1300,1176,1612,1456,1396,1344,1128,1072,1100,1472,1488,1124,1224,1700,1828,1460,1452,1284,1348,1332,1404,2032,1160,1124,1180,984,996,996,924,876,880,916,928,868,868,956,904,772,772,892,760,744,884,896,820,792,868,992,836,780,872,948,852,808,892,948,860,848,808,964,924,824,932,976,944,892,960,1168,1096,828,1336,1176,948,904,1052
"27","20","  Natural resources","GRN0660",1176,1228,2184,1888,1124,1304,2244,1764,1052,1452,2840,1356,1224,1256,2504,1648,1144,1320,2252,1884,1404,1664,1960,1356,1544,1268,1488,1828,1592,1468,2256,1304,1548,1368,2012,1804,2012,1700,2444,1816,1692,1536,2688,1968,1268,1660,2640,1936,2052,1716,2820,2064,2476,2304,2840,2112,1136,2748,2380,3620,2108,3592,2500,4300,2580,2712,4008,4528,3448,4396,3900,4268,4548,5040,3804,4040,3844,4616,4260,4292,4032,5252,4996,4548,4436
"28","21","  Transportation","GRN0670",40,48,56,60,48,52,12,40,40,40,40,32,32,32,40,36,32,36,36,40,36,44,40,40,40,44,48,64,64,60,68,36,40,40,40,32,28,28,32,32,28,28,36,20,20,20,20,8,8,8,8,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","22","  Economic development, regulation, and services","GRN0740",520,468,464,428,424,376,448,368,496,424,424,428,464,512,424,452,300,412,508,428,348,712,664,664,632,616,656,740,680,628,696,700,732,836,792,784,768,756,820,748,596,680,684,672,652,532,572,596,600,588,668,560,492,536,704,580,636,528,724,532,468,464,544,528,404,3856,2172,1448,1152,2300,764,584,388,412,356,320,324,308,480,360,336,576,780,788,1572
"30","23","  Labor training and services","GRN0780",3148,2716,2848,2776,3268,3084,2616,3164,2932,2880,3048,3072,3020,2848,2848,3288,3076,3504,3472,3520,3020,3184,3328,3268,3340,3964,3592,3828,3576,3780,3412,3452,3592,3124,3268,3352,3280,3496,3668,3696,3476,3676,3676,3708,3712,3664,3896,4172,4120,3612,3596,4788,3312,3932,4016,5264,4596,4888,4768,6856,6108,5636,4668,4768,4288,4376,3800,3980,3740,3780,3348,5004,4952,5128,4100,3292,3852,3276,3496,3480,2596,2876,2964,2272,2548
