"","Table 5#6#5BU2# Change in Book Value by Industry                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52"
"21","12","D       Transportation equipment manufacturing","X3360",2100,-772,2744,48,14992,13444,4296,9688,-2148,-5584,3204,3636,-4476,-10292,-7012,-8544,-5648,-1800,-664,64,-8896,680,-3348,7180,-3736,128,-3128,736,116,2168,-376,1900,12048,-1240,3508,8000,848,9972,7788,6268,4820,5264,3208,14328,13084,9708,4984,27176,-8224
"22","13","D         Motor vehicle and parts manufacturing","X336MV0",1552,4,1936,-2484,2844,-1092,-2524,2644,2108,-736,-128,4104,380,1184,768,-1604,-3072,-940,-3032,-3476,-936,2772,1844,396,-100,344,480,1448,3180,1712,1524,-1628,5756,1004,-2972,1752,540,2168,1172,2100,-84,-2604,-1688,-804,-2000,-1332,-3156,-4660,-7128
"23","14","D         Other transportation equipment manufacturing","X336OT0",548,-776,808,2532,12148,14536,6820,7044,-4256,-4848,3332,-468,-4856,-11476,-7780,-6940,-2576,-860,2368,3540,-7960,-2092,-5192,6784,-3636,-216,-3608,-712,-3064,456,-1900,3528,6292,-2244,6480,6248,308,7804,6616,4168,4904,7868,4896,15132,15084,11040,8140,31836,-1096
"24","15","D       Furniture and related product manufacturing","X3370",-40,636,-152,220,216,232,-64,-92,312,252,152,820,716,620,232,-452,428,-384,-676,-1356,-300,584,400,568,872,40,-656,-256,-84,1408,660,472,436,292,612,724,652,-24,208,-468,-416,-472,-364,-212,-236,-376,-76,-924,-1588
"25","16","D       Miscellaneous durable goods manufacturing","X3390",-200,-184,-92,1576,800,280,416,-828,416,828,1100,920,1644,812,1988,184,260,-460,-328,-60,-1008,620,-52,-632,2164,16,308,1596,628,4,784,1612,1032,2468,2904,1448,620,1376,3364,1624,1172,164,1192,900,-4,1012,1120,1336,-220
"26","17","D     Nondurable goods industries","X30N0",-40,3816,4872,9300,-1248,-4420,-5076,-5132,-448,6736,8852,18044,11024,11824,6024,792,612,-7544,-7720,-10064,-2512,-116,10520,-1644,14696,4716,284,-3748,11876,15140,7808,12820,26392,5920,9976,23020,21160,20968,8716,-2824,-2816,15388,9856,9956,35536,15076,-15236,-79536,-28796
"27","18","D       Food manufacturing","X3110",-440,992,-12,2148,-740,-904,-928,-328,-20,96,2544,2308,4344,80,-492,1000,56,1240,-780,-580,-364,2348,1192,-256,3104,388,908,548,892,1416,-620,-448,1396,1876,1640,1224,1844,188,932,4532,-1180,4512,4244,-1404,3448,2280,-2904,-1664,-5162
"28","19","D       Beverage and tobacco product manufacturing","X3120",-200,1184,1520,1040,1044,-1268,-476,1128,-908,32,-1368,1736,732,372,528,-976,776,32,1104,188,792,236,424,-856,-804,432,-224,-112,340,1356,1840,-1464,-1296,-1036,-980,452,-600,-440,804,1168,596,524,-548,168,652,-84,108,508,-1156
"29","20","D       Textile mills","X3130",88,-24,-100,-132,304,0,48,-172,-440,-128,-24,452,-640,-200,-492,-288,-460,-696,-964,-1208,-1100,-632,88,56,268,256,-300,-608,-172,-64,-64,-184,-144,112,-112,492,268,-268,208,-628,-684,-136,-124,16,-76,-592,360,-236,-886
"30","21","D       Textile product mills","X3140",248,472,236,112,-40,-444,-308,-436,92,372,-8,324,440,776,400,304,16,-400,-140,328,-1644,-604,-768,-1200,228,-152,-192,296,-104,112,276,-176,704,-124,-96,504,112,244,208,-260,-384,-68,-88,-24,-44,-440,304,-320,-1268
"31","22","D       Apparel manufacturing","X3150",172,1112,456,-68,152,-576,-108,-96,-404,508,912,344,-688,-832,-120,508,-732,-1344,-2612,-2540,-1652,-464,604,476,688,32,-480,-488,-892,-60,344,44,604,-76,-200,-716,316,-48,-732,748,124,612,268,140,268,268,-112,-700,-686
"32","23","D       Leather and allied product manufacturing","X3160",-136,264,-92,128,-28,52,-40,-196,-180,68,44,104,8,-96,0,-76,144,-368,-48,-352,-540,-100,44,156,-296,-124,-28,320,-104,-80,-72,268,64,64,100,-20,-180,264,300,240,44,-16,-68,-84,48,-132,68,128,-38
"33","24","D       Paper manufacturing","X3220",36,-1624,916,1264,368,468,-528,-1716,132,20,1132,92,1428,968,-108,-1596,-752,-488,-88,304,-408,-60,308,1180,-1056,732,-316,-880,-732,1096,1328,1480,1796,1056,-552,-380,1780,332,768,-132,-60,-312,324,1292,-128,648,200,-2368,-1060
"34","25","D       Printing and related support activities","X3230",-1128,988,-24,1056,-804,-144,752,-1436,-36,68,-228,924,672,-380,316,-400,296,-600,-596,-696,-1292,820,-444,792,0,-624,60,-64,-256,380,592,408,364,404,388,-128,504,768,356,-208,-56,-304,180,1456,-736,-128,-496,1108,-2128
"35","26","D       Petroleum and coal product manufacturing","X3240",344,-1904,-28,-480,-4904,-2000,-2008,-656,140,1116,3944,3892,2624,2844,164,228,-80,784,-68,-2076,2012,1440,2340,804,3540,888,2008,1344,5888,4600,1520,2576,12992,824,10832,6280,4216,13376,-4064,-5332,-2040,5072,3648,7472,23352,9900,-17120,-59460,-5853
"36","27","D       Chemical manufacturing","X3250",360,1384,2248,3948,3444,56,-940,-1548,1240,3964,80,6168,2076,5588,5768,1840,1472,-3452,-2048,-2260,-1680,-908,5396,-1328,7200,704,616,-3488,6552,4976,-48,8224,5400,2660,172,11888,9480,5152,7316,-1280,320,3788,480,-4,7508,1908,2356,-9924,-7161
"37","28","D       Plastics and rubber product manufacturing","X3260",616,972,-248,284,-44,340,-540,324,-64,620,1824,1700,28,2704,60,248,-124,-2252,-1480,-1172,3364,-2192,1336,-1468,1824,2184,-1768,-616,464,1408,2712,2092,4512,160,-1216,3424,3420,1400,2620,-1672,504,1716,1540,928,1244,1448,2000,-6608,-3399
"38",NA,"    By stage of fabrication:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","29","D     Materials and supplies","X30M0",7592,5712,10412,4416,10032,2108,-2692,-11724,1728,64,5692,20108,2956,17020,9164,4128,-1108,-11772,-18488,-14924,-2908,-5760,-316,-4212,3864,-4908,-7928,3836,14524,12856,14420,17344,21836,6212,7328,18704,14396,19356,21220,-48,968,7064,4020,1752,17840,14328,9588,-32848,-23327
"40","30","D       Durable goods industries","X30DM0",5632,5920,8908,3428,7876,5560,-716,-7228,2976,-1176,3108,11964,16,15096,9144,8052,-3244,-9420,-15772,-10496,-3144,-6088,-2436,-3072,-1456,-5488,-7436,4276,8976,10940,10028,12776,13556,5368,3900,8856,8036,11544,16900,5348,-1008,1092,-4372,5036,8500,8008,11140,200,-11056
"41","31","D       Nondurable goods industries","X30NM0",1960,-208,1504,988,2156,-3452,-1976,-4496,-1248,1240,2584,8144,2940,1924,20,-3924,2136,-2352,-2716,-4428,236,328,2120,-1140,5320,580,-492,-440,5548,1916,4392,4568,8280,844,3428,9848,6360,7812,4320,-5396,1976,5972,8392,-3284,9340,6320,-1552,-33048,-12271
"42","32","D     Work-in-process","X30W0",-3128,-3916,2824,6584,4476,10184,-108,160,-3584,-3744,3388,5788,84,-1908,-8800,3904,-7452,-10488,-6136,-16288,-10372,480,2808,5732,6640,-5660,-3080,3180,4128,5472,-3444,9632,15200,260,14368,16020,3288,19808,5284,9120,2744,7448,2720,27872,30408,15036,9940,3272,-17114
"43","33","D       Durable goods industries","X30DW0",-2312,-5076,-724,3856,7044,10060,2192,928,-5156,-6868,5276,2208,248,-4300,-9772,2128,-5496,-8440,-7360,-13072,-11792,-1012,-1716,9752,168,-5076,-3556,6044,-1204,3744,-888,6116,10364,944,8688,12648,2668,9604,4480,7888,3020,6940,6572,16708,17284,15372,10788,23512,-15596
"44","34","D       Nondurable goods industries","X30NW0",-816,1160,3548,2728,-2568,124,-2300,-768,1572,3124,-1888,3580,-164,2392,972,1776,-1956,-2048,1224,-3216,1420,1492,4524,-4020,6472,-584,476,-2864,5332,1728,-2556,3516,4836,-684,5680,3372,620,10204,804,1232,-276,508,-3852,11164,13124,-336,-848,-20240,-1518
"45","35","D     Finished goods","X30F0",1048,13284,1576,7056,5464,-3288,1432,5616,688,5656,8992,11092,11324,11168,12536,7668,3008,-3876,-15996,-10700,-12360,-5332,3772,2376,3136,816,-1864,1584,1000,18296,18500,10044,29344,8592,2848,13876,21372,13488,17564,5276,2400,4464,7492,4152,12400,10260,-8248,-33048,-33355
"46","36","D       Durable goods industries","X30DF0",2232,10420,1756,1472,6300,-2196,2232,5484,1460,3284,836,4772,3076,3660,7504,4728,2576,-732,-9768,-8280,-8192,-3396,-104,-1140,232,-3904,-2164,2028,4,6800,12528,5308,16068,2832,1980,4076,7192,10536,13972,3936,6916,-4444,2176,2076,-672,1168,4588,-6800,-18348
"47","37","D       Nondurable goods industries","X30NF0",-1184,2864,-180,5584,-836,-1092,-800,132,-772,2372,8156,6320,8248,7508,5032,2940,432,-3144,-6228,-2420,-4168,-1936,3876,3516,2904,4720,300,-444,996,11496,5972,4736,13276,5760,868,9800,14180,2952,3592,1340,-4516,8908,5316,2076,13072,9092,-12836,-26248,-15007
"48","38","D Wholesale trade industries","XWT0",17696,26860,8388,23572,19696,2804,18328,13624,14464,6604,24916,30208,30536,28236,12280,14520,-1176,-1356,-23524,-38112,-17436,308,20604,10156,5380,-5488,4664,22328,22492,29280,37464,35432,44748,22972,13708,35144,28340,45508,47352,14716,20628,19080,26872,31292,41508,54344,26552,-71236,-82156
"49",NA,"    By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","39","D     Durable goods industries","XWTD0",12104,24288,1808,10760,19396,-944,13552,11468,7812,6708,11104,20372,16240,22252,3948,2964,-5796,-19372,-23980,-30064,-19060,-2660,11600,4108,2952,-4392,-5712,16420,21232,25456,34212,21280,27152,12876,876,27824,13940,29724,39652,3356,10496,-6276,2368,8488,17528,24720,42156,-23828,-67004
"51","40","D     Nondurable goods industries","XWTN0",5592,2572,6580,12812,300,3748,4776,2156,6652,-104,13812,9836,14296,5984,8332,11556,4620,18016,456,-8048,1624,2968,9004,6048,2428,-1096,10376,5908,1260,3824,3252,14152,17596,10096,12832,7320,14400,15784,7700,11360,10132,25356,24504,22804,23980,29624,-15604,-47408,-15152
"52",NA,"    By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","41","D     Merchant wholesale industries","X42W0",15836,24440,9324,21548,18420,3672,17948,11736,13592,3836,21952,28356,26428,25368,7616,11404,-1812,-272,-16688,-33184,-13668,1472,18200,8804,7208,-6756,4632,19416,20192,22240,31120,33820,28744,19096,12684,28668,20244,41664,36616,13560,16408,18188,26132,29280,39280,51036,34008,-52224,-60812
"54","42","D       Durable goods industries","X42WD0",10208,22224,3264,9864,17116,-180,12508,9576,6912,4464,10296,19964,13876,21004,664,956,-6144,-18684,-18964,-26372,-15956,-1640,10660,4184,5264,-4460,-4964,14124,19428,22792,29068,21172,17504,12208,1344,25980,12444,27652,29268,3400,3388,-3128,4188,6752,21896,26456,41968,-18560,-51612
"55","43","D         Motor vehicles, parts, and supplies wholesalers","X42110",1404,3828,540,-2680,4468,-6980,1276,3528,1688,2392,3776,2176,3152,2912,-3508,1572,-1504,-3060,752,-4264,-2588,2920,4320,3912,1700,512,-4688,7356,4192,-260,5376,-4040,-444,8416,-1540,4040,3864,1608,1392,-2340,-916,-2620,3100,5208,-64,4848,6080,4804,-20800
"56","44","D         Furniture and home furnishings wholesalers","X42120",-748,688,388,204,-56,676,220,-48,108,200,88,780,576,1120,-204,420,136,-1156,-256,-664,-524,416,904,528,556,576,-224,764,576,-80,420,-60,344,-232,804,784,-624,860,368,888,596,-236,72,-128,680,-172,-172,-84,-2292
"57","45","D         Lumber and other construction materials wholesalers","X42130",520,1316,280,-412,-324,-128,-372,-156,632,928,920,240,956,300,-804,504,-596,-580,1360,-64,-340,240,1000,832,848,352,1308,3780,2724,3944,2512,1456,3112,-2212,-2304,5268,1124,2368,556,-1904,-1244,-2068,24,740,-1688,1924,568,-2844,-3681
"58","46","D         Professional and commercial equipment wholesalers","X42140",196,7816,2512,1900,4660,-3856,-2296,-3628,816,-584,8,5044,-1452,-596,2016,-1752,-3692,-2372,-4960,-3464,-584,2848,572,-948,1832,-1276,1376,-888,704,1964,1480,2872,-552,2016,-432,1632,1260,1196,4700,2332,1496,1292,448,-764,4828,2384,2108,-4684,-4398
"59","47","D           Computers and software wholesalers","X421430",828,6280,2108,-104,3500,-3264,-3608,-1072,-1556,60,-1204,3152,-4668,-2188,1568,-2156,-2652,-3300,-3160,-2468,580,1320,-784,-2720,1668,84,-428,1020,-380,1704,-276,1752,-332,-484,760,12,-92,-1032,2252,636,-268,892,952,-1616,2692,1020,1060,-3936,-2560
"60","48","D           Other professional and commercial equipment wholesalers","X4214X0",-632,1536,404,2004,1160,-592,1312,-2556,2372,-644,1212,1892,3216,1592,448,404,-1040,928,-1800,-996,-1164,1528,1356,1772,164,-1360,1804,-1908,1084,260,1756,1120,-220,2500,-1192,1620,1352,2228,2448,1696,1764,400,-504,852,2136,1364,1048,-748,-1838
"61","49","D         Metal and mineral (except petroleum) wholesalers","X42150",2300,1220,-272,64,1096,36,1412,368,-2588,488,-588,2668,3748,1816,-340,-3088,-1752,-888,-1332,-1772,-1512,136,2696,-480,-856,-528,-344,2520,7040,5232,6468,8244,4284,-924,-3296,1444,1468,7852,9004,1964,-2828,-316,-4760,-1256,5072,10320,7168,-6420,-6295
"62","50","D         Electrical goods wholesalers","X42160",2568,232,-292,-1048,2396,2352,1024,852,412,1160,3956,6388,1068,3600,4244,4264,-48,-4400,-7956,-7832,-4628,-2388,2152,-340,-1324,-1140,-520,128,3516,3076,108,1356,2168,288,1024,1080,1540,2644,5688,1884,180,120,412,2808,2804,2760,5820,-5132,-5865
"63","51","D         Hardware and plumbing and heating equipment wholesalers","X42170",-624,952,268,72,1588,1168,48,396,324,72,48,716,936,2076,140,772,-768,-680,476,-856,-588,52,432,140,1756,-944,-644,20,152,1344,2208,1328,296,400,100,2584,2148,944,920,-4,356,984,1116,-248,-1204,0,764,-2540,-1023
"64","52","D         Machinery, equipment, and supplies wholesalers","X42180",3232,7356,-2148,8968,3500,5216,7432,7896,4320,964,1000,-904,1304,4812,964,-2576,2624,-656,-5332,-6720,-3684,-5940,-700,-20,148,-2388,-1944,-2768,572,5264,4980,9140,6000,4728,6460,4936,3772,9736,5552,776,3724,640,4108,4536,6636,-216,16576,6172,-1806
"65","53","D         Miscellaneous durable goods wholesalers","X42190",1360,-1184,1988,2796,-212,1336,3764,368,1200,-1156,1088,2856,3588,4964,-1844,840,-544,-4892,-1716,-736,-1508,76,-716,560,604,376,716,3212,-48,2308,5516,876,2296,-272,528,4212,-2108,444,1088,-196,2024,-924,-332,-4144,4832,4608,3056,-7832,-5452
"66","54","D       Nondurable goods industries","X42WN0",5628,2216,6060,11684,1304,3852,5440,2160,6680,-628,11656,8392,12552,4364,6952,10448,4332,18412,2276,-6812,2288,3112,7540,4620,1944,-2296,9596,5292,764,-552,2052,12648,11240,6888,11340,2688,7800,14012,7348,10160,13020,21316,21944,22528,17384,24580,-7960,-33664,-9200
"67","55","D         Paper and paper products wholesalers","X42210",468,-60,1648,504,664,-148,-352,44,216,444,644,-440,1752,680,664,540,-336,-524,-776,-840,-856,276,-556,-48,296,-176,-412,784,348,768,1360,372,-624,1368,128,864,-1012,332,1064,504,-700,1140,148,316,556,8,616,-280,-1392
"68","56","D         Drugs and druggists' sundries wholesalers","X42220",1148,960,3016,1364,3968,836,724,2464,3320,5608,2176,1804,4560,2924,4800,5356,1896,10128,8644,4936,-724,-1480,-688,7256,4596,172,916,-4024,3176,-1564,-172,-2896,-2484,-2240,-716,2236,1920,3456,688,-2436,-2664,3376,-64,2284,1536,-2484,2784,-668,1346
"69","57","D         Apparel, piece goods, and notions wholesalers","X42230",2244,1712,8,2156,-736,488,-88,392,-1516,-2876,-892,1692,776,-212,148,-928,2308,2292,-1440,-3576,-596,-136,3732,-1524,-60,200,-2304,-480,-580,-1828,2264,688,1296,1716,-688,-1036,228,564,2660,2216,492,572,588,-1384,2588,-1328,304,896,98
"70","58","D         Grocery and related products wholesalers","X42240",-224,420,-388,3328,-164,2108,-132,-1048,2872,-328,3756,2296,-188,-1048,2708,1056,-1272,-304,-1540,-128,1504,4196,-32,548,1112,-2544,3312,-392,176,1824,-784,1116,1320,72,2760,3276,-1024,1928,4148,2284,5472,3008,-664,1740,-996,2516,3872,-52,-993
"71","59","D         Farm product raw material wholesalers","X42250",1356,140,-1236,2604,-3120,-644,3120,664,-768,-464,2152,-2168,3448,272,-1652,3092,36,2020,652,-2540,1368,88,2604,-2548,-3976,1948,3116,9244,1608,-6576,-7716,-492,7944,1924,-1636,-2660,1944,5292,-888,14692,-48,7500,20856,7624,6848,11960,-20232,-13468,-4134
"72","60","D         Chemical and allied products wholesalers","X42260",444,548,84,-40,-496,368,1008,136,-16,-272,240,968,388,0,-524,-380,168,492,-40,-384,112,472,888,536,-4,-80,-404,572,-1420,612,1592,1748,1640,1052,-112,540,1252,724,-600,-552,1428,220,172,1424,800,132,2620,-3000,-7856
"73","61","D         Petroleum amd petroleum products wholesalers","X42270",-1292,-1124,72,220,-1080,212,220,-1716,652,676,688,-600,1016,392,-36,948,-780,280,-604,296,1864,-644,600,156,-1196,308,1308,420,-356,636,4760,6472,4824,-1372,9564,-3556,4120,1188,-1152,-6196,3020,3716,-2604,7924,-2164,9144,348,-16276,3422
"74","62","D         Beer, wine, and distilled alcoholic beverages wholesalers","X42280",-1080,964,428,1228,1408,-392,572,-344,2452,-920,-196,140,440,40,420,772,-660,580,-256,-256,1144,-152,528,896,576,-92,436,48,-920,1416,-188,1412,528,144,984,496,596,336,816,916,1452,900,1084,72,572,756,524,1968,-425
"75","63","D         Miscellaneous nondurable goods wholesalers","X42290",2564,-1344,2428,320,860,1024,368,1568,-532,-2496,3088,4700,360,1316,424,-8,2972,3448,-2364,-4320,-1528,492,464,-652,600,-2032,3628,-880,-1268,4160,936,4228,-3204,4224,1056,2528,-224,192,612,-1268,4568,884,2428,2528,7644,3876,1204,-2784,733
"76","64","D     Nonmerchant wholesale industries","X42N0",1860,2420,-936,2024,1276,-868,380,1888,872,2768,2964,1852,4108,2868,4664,3116,636,-1084,-6836,-4928,-3768,-1164,2404,1352,-1828,1268,32,2912,2300,7040,6344,1612,16004,3876,1024,6476,8096,3844,10736,1156,4220,892,740,2012,2228,3308,-7456,-19012,-21344
"77","65","D       Durable goods industries","X42ND0",1896,2064,-1456,896,2280,-764,1044,1892,900,2244,808,408,2364,1248,3284,2008,348,-688,-5016,-3692,-3104,-1020,940,-76,-2312,68,-748,2296,1804,2664,5144,108,9648,668,-468,1844,1496,2072,10384,-44,7108,-3148,-1820,1736,-4368,-1736,188,-5268,-15392
"78","66","D       Nondurable goods industries","X42NN0",-36,356,520,1128,-1004,-104,-664,-4,-28,524,2156,1444,1744,1620,1380,1108,288,-396,-1820,-1236,-664,-144,1464,1428,484,1200,780,616,496,4376,1200,1504,6356,3208,1492,4632,6600,1772,352,1200,-2888,4040,2560,276,6596,5044,-7644,-13744,-5952
"79","67","D Retail trade industries","X440",-6316,17380,14092,16444,33012,8700,6664,7344,31160,12396,21756,51856,9588,38756,23584,21132,-16328,8436,3480,-42580,18916,26088,18868,29500,26820,8788,19068,10288,25436,37992,23596,29368,18092,-7980,7860,22952,23872,21244,13456,6092,-7796,7960,16368,-12420,-10924,-2956,18932,-43900,-73056
"80","68","D   Motor vehicle and parts dealers","X4410",-4260,3788,5056,11616,13352,-940,-3688,-1228,19600,516,10004,25920,3836,25836,17096,6852,-20048,10472,5784,-32688,20592,17724,2892,26544,18492,15308,5244,3416,11340,16332,9776,-1984,772,-19724,-584,13136,7560,7036,-3192,-7512,-15748,-4216,13068,-25228,-8840,-12216,6340,-10784,-46146
