"","Table 5#6#1# Percent Change from Preceding Period in Real Privat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"14","7","  Business","Y007RL1",7,0.2,-0.3,4.7,7.1,0.1,-2.2,6.2,5.2,7.4,7.4,7.1,6.5,5.5,5.9,10.7,8.7,3.5,1.4,3.5,6.8,5.6,4.5,0.1,-0.8,0,5.6,9,5.7,4.8,6.4,5.3,1.3,-3.2,-0.9,1.1,6.3,6.6,6.3,3.4,-3.8,2,0.4,1.7,4.2
"15","8","    Manufacturing","Y027RL1",6.8,0.1,-0.5,4.7,7.2,0.4,-3,4.9,3.9,6.1,6.1,5.7,5.1,4.1,4.5,9.3,7.2,2,1.6,0.7,3.9,1.7,1.8,0.9,-3.4,4.3,8.2,10.7,5.5,5.5,3.5,6.6,4.6,-5,0.7,3,5,7.8,6.7,1.8,-2.6,1.7,0.4,2.5,3.3
"16","9","      Pharmaceutical and medicine manufacturing","Y009RL1",7.7,6.2,8.7,8.1,8.3,3.7,12.5,5.9,-2.7,10.8,7.2,5,7.8,11.7,11.6,9.9,3.1,3.6,30.8,10.5,11.2,9.6,13.8,8.9,10.1,5.2,13.2,11.7,9.7,16.2,9.8,11.6,5.3,10.7,1.9,8.8,5.5,9.9,20.9,4.8,-6.2,9,-8.2,-1.9,0.6
"17","10","      Chemical manufacturing, excluding pharmaceutical and medicine","Y010RL1",1.8,3.3,-3.5,1.7,3.4,3.8,-3.5,2.3,1.2,3.2,3,2.4,1.6,0.4,0.6,4.9,2.6,-2.7,0.4,5.4,3.4,10,1.7,-4.9,2.4,-8.6,-3,8.5,-10.3,21.5,-0.8,0,-1.5,-16,7.7,-0.1,3.5,3.1,2.1,22.9,-6.9,7.6,-9.3,2,0.5
"18","11","      Semiconductor and other electronic component manufacturing","Y012RL1",5.7,8.5,0.4,35.8,19.5,4.9,-15.5,12.6,4,24,38.9,46.1,-4.6,3.2,28.6,25.1,17.7,17.1,24.6,-1.5,-2.5,1.2,-1.7,3.5,-1.4,9.7,11.2,17.3,19.2,7.4,3.3,6.4,17.6,-1.5,2.4,10.4,4.6,-3.6,1.8,15.2,-5.7,6.9,7.7,12.3,6.1
"19","12","      Other computer and electronic product manufacturing","Y013RL1",12.4,4.7,2.9,4.1,7,0.5,-5.5,3.2,2.1,4.2,4.1,3.6,2.9,1.8,2,6.6,4.4,-0.7,0.4,-1.5,-2.2,0.4,-2.3,2.9,-1.3,8.9,10.5,17.1,18.4,7.3,-0.7,24.6,17.1,-26.1,-9.8,-4.6,2.2,21.5,0.1,6.6,-8.1,-1.2,2.3,0.2,5.7
"20","13","      Motor vehicles, bodies and trailers, and parts manufacturing","Y014RL1",8.7,-3.6,10.2,12.5,13.8,-7.1,-10.7,12.8,13,9.8,2.6,2,-9.2,-5.5,5.5,8.5,11.2,14.5,-2.3,2.7,8,-4.6,2.8,-0.1,13.1,9.3,7.5,7.2,-5.8,-2.4,7.2,-3.7,-3.8,-0.2,3.1,-0.8,-0.1,0.4,-6,-19.8,-12.1,-1.4,13.8,11.6,3.7
"21","14","      Aerospace products and parts manufacturing","Y015RL1",6,-13.9,-19.3,-7,11.2,-0.9,-7.5,10.5,9.2,11.4,11.3,10.8,10,8.9,9.2,14.1,11.9,6.5,0.4,-6.4,-6.7,-8,-3.9,5.9,-9,-7.4,-6,3.4,-4.1,-1.7,4.4,-6.5,6.8,-5.6,-5.2,15.7,8,12.6,6.7,0.5,6.6,-23.6,-17.9,-3.6,-1.8
"22","15","      Other manufacturing","Y016RL1",5.3,2.4,-0.3,4.3,3.8,2.3,1.8,1.8,1.7,3.1,6.2,4.8,13.8,7.4,1,8.1,5.9,-4.8,-6.7,0.5,9.3,4,1.4,-3.3,-19,5.7,11.6,9.3,4,-1.8,0.8,-0.6,-7.9,1.5,6.2,-2,9.4,6,2.9,-8.4,13.6,-2.8,12.2,2.7,4.7
"23","16","    Nonmanufacturing","Y028RL1",17.2,7,7.3,5.9,2.2,-9.7,31.3,47.4,34.6,31,26.8,23.4,20.6,17.9,17,21.3,18.2,11.8,0.4,18.8,19.6,21,13.4,-2.3,7.3,-12,-3.1,2.5,6.9,1.9,17.8,0.9,-11.4,4.7,-7.2,-7.5,12.4,1.2,4.4,11.3,-9.2,3.2,0.4,-2.3,8.8
"24","17","      Scientific research and development services","Y029RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.8,50.5,69.5,35,-0.2,0,1.5,0.1,13.1,17.5,29.4,10.6,22.3,3.5,-10.7,-9.2,19,5.1,7.6,12.3,23.1,-0.5,-17.2,0.5,9.5,-10
"25","18","      All other nonmanufacturing","Y008RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.1,18.4,18.7,11.9,-2.5,7.9,-13.1,-3.4,1.5,5.8,-1.3,18.9,-2.2,-14.1,8.1,-6.9,-12.1,14.2,-0.2,2.6,8.3,-11.7,9.9,0.4,-5.3,14.2
"26","19","  Nonprofit institutions serving households","Y017RL1",-1.4,2.7,3.3,4.4,0.6,5.7,8.3,8,8.1,13.3,7.2,1.3,6,1.7,1.6,2.2,6.4,15.6,10.2,12.3,2.9,1.2,4.9,2.7,1.6,-0.4,-0.7,6.2,3,9.4,2.1,-0.1,2.2,7.5,1.2,0.2,0.5,1.3,1.4,2.3,14.6,8,8.5,5.2,1.1
"27","20","    Universities and colleges \4\","Y018RL1",-2.1,0.8,3.4,-3.8,-7,-3.1,3.8,5.5,13,15.5,8.8,2,5.8,6.6,0,5.6,9.6,9.7,9.6,6.6,6,9.4,10.2,1.2,-1.8,2.2,4.6,9.7,1.7,0.4,6.9,7.9,7.6,11.6,7.2,4.3,11,12,8,4.6,11.4,8.6,7.3,6.8,2.6
"28","21","    Other nonprofit institutions","Y019RL1",-1.3,3,3.3,5.4,1.5,6.6,8.8,8.2,7.7,13.1,7,1.3,6,1.3,1.8,1.8,6.1,16.2,10.3,12.9,2.6,0.4,4.4,2.9,2,-0.7,-1.3,5.8,3.2,10.5,1.5,-1,1.6,7,0.3,-0.4,-1.1,-0.5,0.1,1.8,15.3,7.9,8.7,4.9,0.8
"29","22","Entertainment, literary, and artistic originals","Y020RL1",-5.7,-12.3,-1.3,7.6,-4.3,1.4,-3.2,27.1,11.6,-1.7,14.7,-9.4,20.8,0.8,5.4,11.5,-0.5,10.4,-1.6,1,4.5,3.5,1.1,4.8,5.4,5.3,8.3,7.3,2.9,4.7,3,5.9,-3,5,7.5,1.5,8.4,1.1,-2.4,-4.6,-2.9,11.6,0.6,4.1,2.5
"30","23","  Theatrical movies","Y021RL1",-26.2,-36.6,10.4,9.5,-18,-9.6,-4.6,97.4,-7,-20,63.3,-18.6,41.4,-0.3,7.6,10.2,-9,23.8,-1.8,-0.4,13.8,-7.4,14.4,-9.2,23.3,0.9,19.5,20.4,-3.6,7.8,-7.3,21.5,-4.9,2.9,10.8,1.3,5.4,5.1,-2,-8,-6.3,24.5,1.2,2.6,5.1
"31","24","  Long-lived television programs","Y022RL1",2.7,-4.3,-4.2,15.1,-6.3,10.3,-3.5,30.6,16.5,5.9,9.7,-13.5,32.7,3.5,12.3,8.8,4.4,8.1,-9.1,1.9,-0.6,7.5,-4.3,13.5,-3.1,5.4,10.6,9.7,5,7.1,4.8,1,-0.4,12,10.3,0.9,17.4,1.7,-3.1,-5,0.3,10.2,4.3,8.9,3.3
"32","25","  Books","Y023RL1",1.5,0.9,-1.9,-2.3,4.6,4.4,-1.6,-0.8,11.9,2.6,-2.8,0.7,1.1,-0.8,0,4.2,1.5,1.9,4.9,3.2,4.8,0.3,-0.6,2.4,4.1,1,-0.8,-4.4,7.2,4.1,3.5,0.6,-1.5,1.4,-0.4,0.7,2.9,-4.5,1.5,-2.7,-7.1,12.6,-4,-3,-4.8
"33","26","  Music","Y024RL1",10.7,-9.8,-10.3,5.3,3.3,-9.1,-4.3,4.2,27.1,-5.6,6.6,-1.8,-2.1,-3.6,-13.7,41.2,-8.6,9.1,17.9,-2.5,10.1,12,-1.5,8.6,2.2,18.4,-2.7,-8.7,8.4,-5,20,-0.8,-8.3,-2.9,3.7,4.2,-4.8,-3.3,-4.4,0.8,1.3,-1.8,-10,-0.8,0.6
"34","27","  Other","Y025RL1",2.7,-0.1,9.3,-1.8,4,5.7,-0.1,4.5,6.3,5.6,5.3,6,6.3,0.1,2.6,7.7,5,7.6,2.7,2.7,-5.5,12,0,3,12.7,1.2,2.4,0.5,0.8,-0.8,-0.2,2.6,-0.5,-4.1,-1.2,2.1,1.4,-2.2,-4.8,0.9,-9.3,-17.7,2.7,-0.2,2.5
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","1. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Research and development (R&D) asset types are defined by the type of funder.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","3. R&D investment excludes expenditures for software development. Software development",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","expenditures are included in software investment on line 2.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","4. Includes R&D investment by private universities and colleges. R&D investment by public universities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","and colleges is included in state and local government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
