"","Table 6#21B# Undistributed Corporate Profits by Industry        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"13","6","  Mining","A3406C0",-169,47,22,-694,-545,-2019,3900,1782,49,-972,-888,1339,-649,-5520,-6129,-5047,-7174,-7761,-4940
"14","7","    Metal mining","B3407C0",-91,-12,-160,-118,163,214,-94,114,-57,-201,207,-79,-186,-655,-465,-620,-1133,-984,-1437
"15","8","    Coal mining","B3408C0",85,284,163,131,243,1243,994,688,426,96,64,229,399,203,-8,56,-186,-229,-107
"16","9","    Oil and gas extraction","B3409C0",-299,-302,-120,-842,-1235,-3831,2739,693,-587,-1368,-1778,561,-1233,-5089,-5712,-4831,-6004,-6648,-3452
"17","10","    Nonmetallic minerals, except fuels","B3410C0",137,77,138,136,284,355,261,287,267,501,619,629,371,21,56,347,150,99,56
"18","11","  Construction","B3411C0",859,774,1018,964,936,810,520,1021,2055,3312,3904,2813,952,278,-558,245,2986,3181,4593
"19","12","  Manufacturing","A3412C0",15089,10792,15903,21132,32151,41569,30832,44207,50750,60997,71223,59794,63893,46656,44044,51635,46568,12222,35019
"20","13","    Durable goods","A3413C0",8130,4053,7641,11640,16306,16515,13936,20270,27678,34148,34473,19707,18711,10643,16564,26736,22077,16040,24627
"21","14","      Lumber and wood products","B3414C0",754,304,594,862,1486,1023,611,1462,1939,2605,2684,797,-828,-651,1147,1395,361,1171,2875
"22","15","      Furniture and fixtures","B3415C0",203,161,178,261,257,212,216,323,427,505,505,437,485,432,640,582,764,597,797
"23","16","      Stone, clay, and glass products","B3416C0",379,260,464,617,759,698,607,1058,1386,1634,1887,1036,193,-1351,623,1591,1925,2525,1551
"24","17","      Primary metal industries","B3417C0",577,15,376,804,1666,4096,1516,1720,781,2774,3748,2133,1546,-4661,-4656,-1788,-2459,-189,1775
"25","18","      Fabricated metal products","B3418C0",788,463,635,1146,1774,2176,1825,2368,2912,3308,3974,2928,2955,1246,1374,2306,2672,2287,3244
"26","19","      Machinery, except electrical","B3419C0",1320,1097,1126,2071,3011,3160,3439,3803,5745,7201,8037,5906,6418,2581,1565,2260,2156,-2250,1564
"27","20","      Electric and electronic equipment","B3420C0",1565,973,1283,2185,2867,2426,2734,3457,5452,6083,5855,6876,6927,3340,4595,5880,3485,2149,4731
"28","21","      Motor vehicles and equipment","B3421C0",1267,103,2401,2667,2878,1014,1126,3923,6303,6900,5307,-1554,1818,3220,5350,7018,6915,3642,621
"29","22","      Other transportation equipment","B3422C0",526,134,43,213,528,768,725,701,864,930,466,-553,-3126,5066,5314,5933,5667,6583,6733
"30","23","      Instruments and related products","B3423C0",606,432,440,544,677,633,727,977,1326,1621,1379,1422,1824,1136,1036,1344,352,-92,798
"31","24","      Miscellaneous manufacturing industries","B3424C0",146,111,102,272,402,308,410,477,545,587,630,281,501,286,-424,214,237,-383,-62
"32","25","    Nondurable goods","A3425C0",6960,6738,8261,9492,15845,25053,16896,23937,23072,26850,36750,40087,45181,36013,27480,24898,24491,-3818,10392
"33","26","      Food and kindred products","B3426C0",922,1031,1294,1146,1876,2079,3136,2981,2988,3246,3304,2887,3188,2789,2142,2525,2141,1340,1556
"34","27","      Tobacco manufactures","B3427C0",175,221,289,248,235,291,375,436,495,862,754,897,603,531,440,155,1263,342,990
"35","28","      Textile mill products","B3428C0",311,246,344,417,574,292,213,572,639,988,673,759,588,432,841,559,428,856,1087
"36","29","      Apparel and other textile products","B3429C0",314,308,399,593,577,402,658,695,830,906,858,829,965,1034,1350,820,497,540,827
"37","30","      Paper and allied products","B3430C0",639,414,401,738,1260,1631,1096,1460,1620,1899,2787,1883,1816,1602,1230,1906,1330,1818,2981
"38","31","      Printing and publishing","B3431C0",962,897,1013,1137,1409,1449,1678,1922,2427,2877,3102,3038,2703,2203,2822,3577,3408,3156,3863
"39","32","      Chemicals and allied products","B3432C0",1346,1306,1491,2058,3021,3819,3251,4246,3669,3724,4325,2990,4101,1121,2748,3324,889,-125,4847
"40","33","      Petroleum and coal products","B3433C0",1806,2082,2538,2517,6074,14263,5742,10645,9242,10967,19571,25748,29774,24860,14281,10373,12418,-12966,-7018
"41","34","      Rubber and miscellaneous plastics products","B3434C0",426,207,433,572,765,761,606,715,1001,1133,1095,700,1108,1212,1432,1459,2002,1113,978
"42","35","      Leather and leather products","B3435C0",58,26,60,66,54,67,140,265,162,245,280,358,333,228,194,201,116,109,281
"43","36","  Transportation and public utilities","A3436C0",967,-189,266,780,296,714,923,4699,6735,8121,6632,5236,5441,4970,5213,9001,1505,-2834,-3086
"44","37","    Transportation","A3437C0",-714,-1316,-558,-110,-54,812,-860,792,1432,1910,1875,450,-1457,-3409,-1199,946,-1579,-3216,-2731
"45","38","      Railroad transportation","B3438C0",-412,-739,-577,-512,-487,63,-514,-318,40,-384,272,533,-665,-1049,-627,812,-209,-478,-560
"46","39","      Local and interurban passenger transit","B3439C0",5,-22,-32,8,6,26,30,55,68,80,119,147,102,96,169,49,53,-14,-76
"47","40","      Trucking and warehousing","B3440C0",171,87,342,452,394,362,55,515,560,857,857,277,317,-130,674,664,1055,755,-475
"48","41","      Water transportation","B3441C0",-15,-32,-74,-54,-23,194,75,140,142,142,76,53,-209,-460,-599,-658,-800,-755,-353
"49","42","      Transportation by air","B3442C0",-372,-532,-190,20,136,169,-439,434,740,1118,3,-880,-1387,-2020,-919,289,-1738,-2377,-1061
"50","43","      Pipelines, except natural gas","B3443C0",-32,-27,6,7,-4,78,73,43,-12,141,405,410,508,422,253,77,125,-38,144
"51","44","      Transportation services","B3444C0",-58,-51,-33,-31,-75,-79,-140,-78,-107,-44,143,-89,-125,-267,-150,-287,-65,-310,-351
"52","45","    Communication","A3445C0",1478,1273,1000,1226,1423,1465,1714,3108,3816,5049,4735,4195,5603,5199,5371,5263,4725,5766,3582
"53","46","      Telephone and telegraph","B3446C0",1041,870,641,546,904,753,1000,1569,1820,2844,2348,2694,3250,3255,3567,3031,3196,5254,3349
"54","47","      Radio and television","B3447C0",437,403,359,680,519,712,714,1539,1995,2205,2387,1501,2353,1944,1804,2231,1530,511,234
"55","48","    Electric, gas, and sanitary services","B3448C0",203,-146,-176,-336,-1073,-1563,69,799,1487,1163,22,591,1295,3180,1041,2793,-1641,-5384,-3937
"56","49","  Wholesale trade","B3449C0",2831,2941,3271,5526,8772,11377,9088,9308,10076,12749,16166,14549,14926,9894,11198,15539,6948,7555,9450
"57","50","  Retail trade","B3450C0",3196,3160,3778,3931,4794,4562,5526,6889,8729,10202,9661,7316,6617,8023,9508,10967,11552,10249,10915
"58","51","  Finance, insurance, and real estate","A3451C0",5649,5785,7421,8225,8473,8027,8097,11189,16159,20170,18850,12694,3103,-1756,5508,-4230,-2671,-375,336
"59","52","    Banking","J3452C0",4118,3963,3719,4160,4685,5130,5803,6370,5705,6556,6682,5506,13295,30786,9484,9359,13950,16761,16312
"60","53","      Federal Reserve banks","B3453C0",17,-9,-89,67,86,78,173,-55,112,576,87,22,294,-39,272,286,-1553,-2398,-1607
"61","54","      Commercial and mutual banks","J3454C0",4101,3972,3808,4093,4599,5052,5630,6425,5593,5980,6595,5484,13001,30825,9212,9073,15503,19159,17919
"62","55","    Credit agencies other than banks","J3455C0",996,992,1678,2060,2512,2201,1965,2944,4090,4850,3875,-918,-15488,-32206,-1041,-1576,-779,-771,3403
"63","56","    Security and commodity brokers","B3456C0",-84,-306,-33,-64,84,7,176,-356,-274,107,-209,51,-580,-1293,-245,-1477,-622,-1771,-345
"64","57","    Insurance carriers","B3457C0",718,1610,2744,3254,3056,2186,1533,3385,7253,8088,8085,9074,8029,5162,2422,-3044,-7898,-8154,-8489
"65","58","    Insurance agents, brokers, and service","B3458C0",160,194,264,238,132,297,284,311,763,761,668,581,618,486,313,141,545,631,1645
"66","59","    Real estate","B3459C0",22,-159,-100,-411,-703,-898,-758,-338,201,395,323,-897,-3044,-3946,-3694,-6028,-7151,-7851,-4400
"67","60","    Holding and other investment offices","B3460C0",-282,-509,-852,-1013,-1293,-896,-906,-1128,-1578,-587,-574,-702,272,-746,-1731,-1604,-717,779,-7789
"68","61","  Services","A3461C0",1200,774,1221,1968,2766,2682,2860,4922,6651,7752,8903,9010,10395,9707,8654,7962,7539,6041,3405
"69","62","    Hotels and other lodging places","B3462C0",51,-68,-117,-19,-113,-182,-81,68,130,390,406,313,27,-146,-278,-465,-658,-1175,-2449
"70","63","    Personal services","B3463C0",143,121,135,168,163,235,250,246,303,344,346,375,414,528,403,523,277,270,348
"71","64","    Business services","B3464C0",105,45,255,444,762,383,629,900,1637,1823,1827,1622,1819,2028,1528,1912,1657,1736,1037
"72","65","    Auto repair, services, and parking","B3465C0",85,32,41,63,131,101,132,252,306,246,192,104,157,106,43,-109,-487,-367,-617
"73","66","    Miscellaneous repair services","B3466C0",44,39,32,49,60,104,97,108,158,185,168,207,226,133,171,111,158,250,358
"74","67","    Motion pictures","B3467C0",256,19,61,169,42,45,68,753,580,544,1011,469,584,337,-76,-778,-892,-924,-1370
"75","68","    Amusement and recreation services","B3468C0",58,60,92,3,42,121,144,232,308,324,352,304,249,102,-216,-814,-389,-44,-366
"76","69","    Other services","A3469C0",457,526,723,1091,1679,1874,1620,2364,3229,3896,4602,5616,6919,6619,7078,7582,7873,6296,6463
"77","70","      Health services","B3470C0",119,251,381,598,921,1195,1155,1522,1940,2375,2897,3651,4455,4520,4814,4692,4700,3644,3406
"78","71","      Legal services","B3471C0",-10,-38,49,55,96,112,123,169,208,255,343,362,542,803,924,989,948,1163,1284
"79","72","      Educational services","B3472C0",28,69,68,101,196,227,207,287,311,399,314,465,412,406,381,413,286,-8,98
"80","73","      Other \1\","B3473C0",322,243,225,337,466,340,135,386,770,867,1048,1137,1510,889,959,1487,1938,1497,1674
"81","74","Rest of the world","A3474C0",2759,3164,3165,4640,8098,7704,8075,7589,8034,11685,18570,18723,14234,16202,22911,24277,26261,21591,31304
"82","75","  Receipts from the rest of the world \2\","B3475C0",3198,3610,3716,5220,9019,8780,9284,9262,9641,14280,22652,22353,17346,12817,21577,26454,25810,20844,31010
"83","76","  Less: Payments to the rest of the world \3\","B3476C0",439,446,551,580,921,1076,1209,1673,1607,2595,4082,3630,3112,-3385,-1334,2177,-451,-747,-294
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","1. Consists of social services, membership organizations, and miscellaneous professional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","2. Consists of receipts by all U.S. residents of their share of the reinvested earnings of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","their incorporated foreign affiliates and reinvested earnings of their unincorporated foreign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","affiliates.  Prior to 1982, reinvested earnings of unincorporated foreign affiliates were",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","treated as dividends.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","3. Consists of payments to foreign residents of their share of the reinvested earnings of their",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","incorporated U.S. affiliates and reinvested earnings of their unincorporated U.S. affiliates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Prior to 1980, reinvested earnings of unincorporated  U.S. affiliates were treated as dividends.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
