"","Table 2#5#4# Price Indexes for Personal Consumption Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","    Food and nonalcoholic beverages purchased for off-premises consumption","DTFDRG3",8.898,8.357,6.794,5.592,5.652,6.433,6.914,6.914,7.155,6.554,6.493,6.493,7.155,8.598,9.921,9.981,10.281,11.544,13.588,14.43,13.889,14.069,15.632,15.933,15.632,15.632,15.332,15.452,15.933,16.654,16.465,16.602,16.69,16.819,17.009,17.397,17.761,18.564,18.567,19.143,20.049
"12","5","    Alcoholic beverages purchased for off-premises consumption","DAOPRG3",NA,NA,NA,NA,15.025,14.292,13.983,13.811,13.951,14.086,14.224,14.571,15.476,17.636,19.586,22.049,22.501,23.341,24.016,23.675,23.359,22.805,23.648,25.453,25.034,25.587,25.446,25.691,26.25,26.395,26.635,27.055,27.147,27.275,27.54,27.7,27.864,28.181,28.589,29.234,29.873
"13","6","    Food produced and consumed on farms","DFFDRG3",20.383,18.442,14.03,10.853,10.411,12.001,15.352,15.97,16.499,13.941,13.147,13.5,16.94,21.44,26.119,26.56,28.059,30.088,34.853,36,31.237,29.557,34.85,34.588,33.267,30.528,29.468,28.943,30.001,32.032,30.251,29.438,29.479,29.996,29.125,28.171,31.072,34.254,32.916,34.781,38.157
"14","7","  Clothing, footwear, and related services","DCAFRG3",26.242,25.16,22.285,18.659,18.889,21.53,21.157,21.137,22.189,21.74,21.278,21.482,23.405,27.735,30.785,34.53,37.277,40.232,43.497,46.118,44.505,44.291,48.074,47.434,47.494,47.633,47.603,48.623,49.489,49.793,48.948,49.749,50.064,50.282,50.779,51.28,51.796,53.3,55.525,58.56,61.682
"15","8","    Clothing","DCLTRG3",27.934,26.856,23.895,19.976,20.455,23.588,23.202,23.139,24.298,23.741,23.193,23.402,25.64,30.459,33.842,38.183,41.382,44.532,47.549,50.252,48.286,47.88,51.651,51,51.123,51.09,50.942,51.779,52.587,52.827,51.911,52.592,52.886,53.018,53.534,54.106,54.577,55.875,58.128,61.325,64.499
"16","9","      Garments","DGARRG3",29.696,28.418,24.91,20.362,21.034,24.769,24.363,24.352,25.651,24.93,24.297,24.561,27.176,32.748,37.016,42.571,46.754,50.426,53.592,56.691,53.956,53.27,57.521,56.626,56.547,56.455,56.139,56.878,57.567,57.695,57.793,58.327,58.615,58.657,59.159,59.777,60.193,61.493,63.925,67.582,71.129
"17","10","        Women's and girls' clothing","DWGCRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.72,68.022,68.141,68.036,68.471,69.046,69.326,70.652,73.663,77.909,81.479
"18","11","        Men's and boys' clothing","DMBCRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.113,48.97,49.558,49.827,50.459,51.181,51.797,53.166,55.075,58.227,61.973
"19","12","        Children's and infants' clothing","DCICRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.486,34.355,33.134,32.481,32.471,32.585,32.752,33.01,33.371,34.797,35.912
"20","13","      Other clothing materials","DOCMRG3",31.089,29.701,26.017,21.277,22.488,26.756,26.184,26.168,27.56,26.788,25.949,26.314,29.043,34.347,35.799,37.7,39.613,43.146,46.98,49.566,46.701,46.317,50.139,48.519,48.382,48.293,48.067,48.563,49.008,49.12,49.891,50.178,50.356,50.294,50.655,50.964,51.376,52.344,54.467,57.411,60.369
"21","14","      Cleaning, repair, and rental of clothing","DCRCRG3",7.481,7.429,7.315,7.084,6.815,6.759,6.658,6.529,6.706,6.798,6.766,6.733,6.873,7.412,7.745,8.175,8.287,8.703,9.511,9.998,10.287,10.487,11.227,11.394,11.725,11.797,11.974,12.45,12.949,13.214,11.341,11.814,11.938,12.128,12.357,12.526,12.799,13.332,13.95,14.476,15.141
"22","15","        Laundry and dry cleaning services","DDRYRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.51,12.124,12.299,12.551,12.897,13.124,13.391,13.929,14.533,15.062,15.752
"23","16","        Clothing repair, rental, and alterations","DLGRRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.655,10.949,11.014,11.132,11.234,11.336,11.604,12.112,12.731,13.239,13.848
"24","17","    Footwear \2\","DFTWRG3",18.587,17.58,15.223,12.837,12.363,13.379,13.087,13.189,13.825,13.719,13.547,13.713,14.513,16.974,18.739,20.232,21.296,23.393,27.137,29.294,28.952,29.365,32.933,32.358,32.187,32.965,33.377,35.037,36.099,36.632,36.077,37.283,37.664,38.195,38.601,38.812,39.49,41.782,43.838,46.159,48.987
"25","18","  Housing, utilities, and fuels","DHUFRG3",10.533,10.261,9.722,8.809,8.053,7.558,7.558,7.684,7.948,8.123,8.093,8.139,8.282,8.512,8.612,8.707,8.79,8.98,9.379,10.017,10.276,10.584,10.993,11.391,11.891,12.191,12.374,12.58,12.839,13.05,13.259,13.479,13.678,13.817,13.971,14.074,14.204,14.41,14.668,15.01,15.484
"26","19","    Housing","DHSGRG3",11.667,11.336,10.691,9.572,8.591,7.834,7.87,8.048,8.424,8.69,8.685,8.713,8.862,9.088,9.146,9.224,9.336,9.552,9.914,10.525,10.874,11.246,11.738,12.238,12.864,13.254,13.446,13.676,13.932,14.211,14.451,14.681,14.884,15.066,15.252,15.407,15.56,15.795,16.099,16.494,17.039
"27","20","      Rental of tenant-occupied nonfarm housing \3\","DTENRG3",11.877,11.56,10.945,9.828,9.178,7.911,7.911,8.097,8.47,8.749,8.75,8.786,8.935,9.121,9.14,9.158,9.196,9.252,9.549,10.183,10.63,11.002,11.449,11.914,12.547,12.993,13.179,13.421,13.664,13.924,14.115,14.325,14.51,14.689,14.853,14.983,15.138,15.352,15.618,16.003,16.512
"28","21","      Imputed rental of owner-occupied nonfarm housing \4\","DOWNRG3",12.286,11.957,11.322,10.166,8.761,8.202,8.183,8.376,8.761,9.049,9.051,9.088,9.241,9.455,9.454,9.474,9.511,9.57,9.878,10.532,10.994,11.379,11.842,12.323,12.996,13.44,13.632,13.882,14.133,14.402,14.598,14.823,15.006,15.181,15.349,15.498,15.646,15.866,16.158,16.553,17.076
"29","22","      Rental value of farm dwellings","DFARRG3",7.118,6.77,6.092,5.256,4.89,5.132,5.48,5.556,5.857,5.957,5.904,5.874,5.986,6.375,6.817,7.412,8.19,9.91,10.818,11,10.093,10.335,11.195,11.984,12.085,11.643,11.825,11.725,12.043,12.515,13.587,14.003,14.596,14.897,15.493,15.935,16.121,16.781,17.606,18.075,19.303
"30","23","      Group housing","DGRHRG3",9.24,9.059,8.574,7.828,7.03,6.624,6.619,6.748,7.07,7.259,7.325,7.234,7.344,7.751,8.076,8.196,8.3,8.488,8.935,9.466,9.876,10.201,10.873,11.346,11.858,12.228,12.555,12.943,13.433,13.796,14.124,14.34,14.439,14.598,14.807,14.943,15.164,15.386,15.625,15.883,16.53
"31","24","    Household utilities and fuels","DUTFRG3",7.285,7.168,6.904,6.523,6.331,6.466,6.386,6.388,6.397,6.363,6.283,6.361,6.482,6.704,6.884,7.009,7.025,7.148,7.592,8.239,8.287,8.436,8.637,8.777,8.962,9.035,9.185,9.326,9.577,9.622,9.746,9.929,10.109,10.139,10.207,10.179,10.249,10.374,10.51,10.707,10.984
"32","25","      Water supply and sanitation","DWRSRG3",3.278,3.278,3.278,3.171,2.886,2.921,3.064,3.064,3.064,3.064,3.028,3.1,3.064,3.1,3.099,3.171,3.242,3.314,3.456,3.563,3.598,3.812,3.955,4.311,4.561,4.81,5.273,5.415,5.843,6.199,6.451,6.655,6.83,7.006,7.22,7.327,7.507,7.785,7.965,8.345,8.91
"33","26","      Electricity, gas, and other fuels","DEGFRG3",8.318,8.17,7.836,7.383,7.221,7.383,7.236,7.239,7.25,7.207,7.115,7.195,7.357,7.628,7.856,7.994,7.996,8.132,8.653,9.434,9.485,9.62,9.838,9.933,10.107,10.145,10.237,10.382,10.609,10.602,10.711,10.897,11.084,11.088,11.129,11.073,11.123,11.222,11.354,11.524,11.754
"34","27","        Electricity","DELCRG3",19.485,18.869,18.147,17.601,17.399,16.915,16.409,15.879,15.545,15.311,15.06,14.898,14.805,14.713,14.692,14.66,14.585,14.01,13.842,13.971,14.099,14.118,14.25,14.378,14.561,14.636,14.82,14.857,14.931,15.119,15.319,15.546,15.604,15.605,15.546,15.494,15.436,15.436,15.546,15.663,16.006
"35","28","        Natural gas","DGHERG3",8.597,8.597,8.597,8.597,8.597,8.597,8.597,8.597,8.597,8.597,8.597,8.597,8.597,8.597,8.597,8.597,8.597,8.597,8.597,8.597,8.597,8.597,8.597,8.597,8.597,8.597,8.597,8.597,8.597,8.597,8.597,9.139,9.285,9.285,9.285,9.337,9.337,9.384,9.384,9.483,9.634
"36","29","        Fuel oil and other fuels","DFULRG3",3.133,3.075,2.896,2.612,2.514,2.667,2.608,2.656,2.694,2.686,2.644,2.721,2.853,3.069,3.247,3.359,3.37,3.555,4.009,4.66,4.683,4.813,5.007,5.079,5.229,5.252,5.308,5.487,5.776,5.692,5.771,5.687,5.898,5.904,6.016,5.906,6.035,6.195,6.387,6.59,6.729
"37","30","  Furnishings, household equipment, and routine household maintenance","DFHHRG3",17.205,16.363,14.416,12.447,12.287,13.042,13.164,13.325,14.206,13.756,13.693,13.89,14.96,17.417,20.241,23.305,25.404,26.214,28.915,30.086,28.944,29.269,32.022,31.718,31.977,32.035,31.932,32.284,32.988,33.237,32.631,33.189,33.317,33.413,33.557,33.736,33.857,34.409,35.294,36.824,38.201
"38","31","    Furniture, furnishings, and floor coverings \5\","DFURRG3",19.474,18.794,16.495,13.92,14.391,15.717,15.536,15.903,17.418,16.917,16.814,17.302,18.895,21.79,25.181,29.27,32.208,32.224,34.079,35.577,34.697,35.785,40.21,39.625,39.679,39.658,39.616,40.391,41.388,41.476,42.482,42.879,43.223,43.379,43.475,43.703,43.746,44.577,46.069,47.891,49.87
"39","32","    Household textiles","DTEXRG3",26.364,24.257,20.088,16.597,17.585,19.812,19.822,19.728,20.556,18.809,18.05,18.645,21.36,27.585,31.863,36.209,39.146,41.36,50.682,52.214,45.75,46.309,50.535,46.542,45.933,44.778,44.589,45.053,45.38,45.365,54.025,55.76,56.792,56.641,56.84,56.894,57.252,58.049,59.62,61.783,63.705
"40","33","    Household appliances \6\","DHAPRG3",54.572,52.151,48.245,42.122,39.864,40.282,39.719,40.262,41.72,41.825,41.292,39.902,41.955,48.135,53.243,56.775,59.573,59.723,65.714,69.43,67.523,66.748,71.512,71.591,71.181,70.19,68.024,65.044,64.229,62.789,56.522,55.87,54.852,53.677,52.722,52.218,51.154,50.505,50.717,51.916,53.258
"41","34","    Glassware, tableware, and household utensils \7\","DUTERG3",14.108,13.692,12.414,11.578,11.318,12.542,13.659,12.864,13.065,13.061,13.068,13.074,13.374,15.065,16.948,19.113,19.873,19.737,20.226,20.585,21.29,22.061,24.155,24.733,25.363,25.71,26.2,28.365,29.897,30.75,30.742,31.707,32.1,32.927,34.029,34.656,34.643,35.378,36.411,39.243,40.877
"42","35","    Tools and equipment for house and garden","DTOORG3",25.194,24.144,21.292,19.032,18.936,20.948,21.012,21.247,23.105,22.775,22.482,22.989,25.003,28.429,30.835,33.79,35.381,37.318,41.275,43.107,41.985,42.795,46.961,46.146,46.788,47.302,48.451,50.438,52.485,53.645,55.167,55.544,57.138,58.101,58.377,57.967,56.931,55.871,55.761,58.043,60.353
"43","36","    Other household goods and services \8\","DOGSRG3",7.108,6.696,5.895,5.114,4.831,4.92,4.998,5.145,5.532,5.315,5.387,5.48,5.811,6.628,7.974,9.319,10.311,11.044,12.379,12.848,12.382,12.326,13.284,13.55,13.983,14.333,14.414,14.674,15.235,15.688,14.321,14.82,14.865,15.029,15.211,15.412,15.739,16.237,16.722,17.593,18.299
"44","37","  Health","DHLTRG3",3.661,3.663,3.452,3.103,3.03,3.088,3.204,3.253,3.324,3.379,3.36,3.439,3.511,3.691,3.908,4.121,4.261,4.543,4.988,5.267,5.349,5.449,5.689,5.915,6.131,6.301,6.489,6.698,6.963,7.218,7.403,7.794,7.902,8.018,8.173,8.391,8.602,8.923,9.389,9.885,10.492
"45","38","    Medical products, appliances, and equipment","DMPARG3",13.985,13.903,13.685,13.129,12.465,12.09,11.851,11.845,11.929,11.999,11.987,12.001,12.124,12.37,12.53,12.675,12.782,13.047,13.964,14.727,15.022,15.193,15.782,15.985,16.036,16.114,16.298,16.641,17.181,17.687,17.945,17.966,17.65,17.242,17.001,16.953,16.943,17.038,17.036,17.092,17.349
"46","39","      Pharmaceutical and other medical products \9\","DPHMRG3",13.527,13.454,13.21,12.709,12.036,11.57,11.266,11.273,11.359,11.441,11.387,11.375,11.511,11.793,11.86,11.951,12.036,12.281,13.277,14.063,14.289,14.466,14.988,15.182,15.3,15.442,15.599,15.951,16.439,16.999,17.254,17.217,16.793,16.304,16.022,15.942,15.884,15.918,15.804,15.785,15.962
"47","40","        Pharmaceutical products","DPNPRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.129,17.09,16.661,16.167,15.883,15.803,15.746,15.779,15.664,15.644,15.82
"48","41","        Other medical products","DOMPRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.216,28.265,27.916,27.498,27.221,27.153,27.082,27.154,27.051,27.102,27.378
"49","42","      Therapeutic appliances and equipment","DTAERG3",16.407,16.285,16.154,15.358,14.703,14.654,14.626,14.577,14.661,14.694,14.83,14.935,15.023,15.172,15.647,15.982,16.171,16.523,17.248,17.992,18.535,18.702,19.563,19.807,19.628,19.49,19.781,20.112,20.882,21.176,21.455,21.762,22.026,22.062,22.06,22.187,22.43,22.837,23.452,23.955,24.673
"50","43","    Outpatient services","DOUTRG3",3.913,4.008,3.709,3.177,3.178,3.279,3.489,3.56,3.633,3.775,3.736,3.873,3.944,4.172,4.519,4.833,4.971,5.221,5.531,5.771,5.836,5.875,6.024,6.321,6.657,6.939,7.209,7.5,7.775,8.037,8.303,8.499,8.665,8.918,9.13,9.372,9.678,10.227,10.883,11.49,12.317
"51","44","      Physician services \10\","DPHYRG3",3.793,3.878,3.593,3.092,3.106,3.206,3.407,3.478,3.536,3.664,3.636,3.765,3.836,4.05,4.408,4.695,4.81,5.037,5.31,5.525,5.553,5.581,5.724,6.04,6.355,6.612,6.912,7.214,7.514,7.771,8.029,8.225,8.418,8.662,8.858,9.103,9.395,9.987,10.666,11.258,12.086
"52","45","      Dental services","DDENRG3",3.23,3.321,3.071,2.587,2.565,2.633,2.824,2.87,2.97,3.094,3.061,3.184,3.218,3.432,3.67,3.962,4.131,4.377,4.694,4.94,5.087,5.142,5.276,5.447,5.76,6.02,6.145,6.335,6.493,6.684,6.853,6.989,7.027,7.23,7.425,7.627,7.877,8.131,8.54,9.004,9.644
"53","46","      Paramedical services","DPMSRG3",4.515,4.617,4.261,3.703,3.704,3.856,4.059,4.161,4.212,4.415,4.314,4.466,4.616,4.82,5.277,5.632,5.733,5.986,6.341,6.595,6.647,6.697,6.851,7.205,7.559,7.916,8.27,8.625,8.931,9.286,9.73,9.98,10.222,10.536,10.785,11.024,11.399,12.107,12.922,13.676,14.59
"54","47","        Home health care","DHHCRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","48","        Medical laboratories","DMLBRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","49","        Other professional medical services \11\","DOMDRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","50","    Hospital and nursing home services","DHPNRG3",1.62,1.53,1.44,1.35,1.29,1.35,1.41,1.44,1.5,1.47,1.47,1.5,1.56,1.68,1.8,1.95,2.1,2.43,2.94,3.18,3.24,3.39,3.66,3.84,3.99,4.08,4.2,4.32,4.53,4.74,4.845,5.474,5.619,5.734,5.928,6.187,6.368,6.559,6.973,7.464,7.981
"58","51","      Hospitals \12\","DHSPRG3",1.517,1.432,1.348,1.264,1.208,1.264,1.32,1.348,1.404,1.376,1.376,1.404,1.461,1.573,1.685,1.826,1.966,2.275,2.753,2.977,3.034,3.174,3.427,3.595,3.736,3.82,3.932,4.045,4.241,4.438,4.537,5.154,5.291,5.401,5.578,5.824,5.996,6.174,6.563,7.021,7.513
"59","52","      Nursing homes","DNRSRG3",2.47,2.333,2.196,2.058,1.967,2.059,2.15,2.196,2.287,2.242,2.241,2.287,2.379,2.562,2.745,2.973,3.202,3.705,4.483,4.849,4.94,5.169,5.581,5.855,6.084,6.221,6.404,6.587,6.907,7.228,7.389,7.744,7.929,8.077,8.418,8.761,9.006,9.297,9.885,10.617,11.301
"60","53","  Transportation","DTRNRG3",11.175,10.846,9.885,9.554,9.166,9.523,9.545,9.648,9.803,9.86,9.628,9.53,10.051,11.084,11.334,11.417,11.508,12.365,13.555,14.739,15.337,15.526,16.278,16.842,17.072,17.022,17.256,17.925,18.846,19.245,19.901,19.984,20.113,20.405,20.49,20.599,20.791,20.926,21.436,22.11,22.841
"61","54","    Motor vehicles","DMTRRG3",7.398,7.195,6.91,6.536,5.917,6.233,6.102,6.13,6.251,6.597,6.427,6.529,7.213,10.049,10.776,11.617,12.098,19.183,21.543,23.506,24.475,24.465,25.468,26.689,26.164,25.219,25.538,26.793,28.67,29.904,31.655,31.118,31.469,32.053,32.266,32.564,32.096,31.759,32.141,33.238,33.843
"62","55","      New motor vehicles","DNMVRG3",18.526,17.993,17.17,16.106,14.551,15.408,15.163,15.285,15.573,16.35,15.939,15.979,17.173,20.436,21.721,24.413,19.045,22.322,25.292,27.657,30.295,30.498,31.8,34.72,35.011,35.575,32.166,33.872,35.822,37.12,38.733,38.232,38.24,38.085,37.857,37.759,36.914,36.234,36.567,37.601,38.189
"63","56","      Net purchases of used motor vehicles","DNPVRG3",0.49,0.511,0.631,0.752,0.716,0.647,0.523,0.45,0.477,0.611,0.582,0.883,1.712,3.112,3.351,3.564,3.883,7.917,8.5,9.167,7.378,7.033,7.249,6.024,4.691,1.636,8.69,8.906,10.177,10.918,12.268,11.806,12.619,14.335,15.42,16.573,17.075,17.654,18.118,19.274,19.889
"64","57","    Motor vehicle operation","DMVORG3",10.004,9.537,8.269,8.154,7.966,8.313,8.384,8.574,8.777,8.588,8.301,8.138,8.46,9.033,9.137,9.282,9.266,9.522,10.406,11.301,11.522,11.642,12.23,12.48,12.963,13.226,13.389,13.785,14.298,14.3,14.501,14.757,14.719,14.828,14.887,14.883,15.359,15.668,16.195,16.642,17.316
"65","58","      Motor vehicle parts and accessories","DMVPRG3",31.779,29.569,25.276,23.28,23.754,24.45,24.652,24.77,26.066,25.553,25.218,23.883,24.228,27.763,28.581,30.585,30.632,31.351,32.485,33.13,33.05,33.964,38.373,38.303,37.78,36.963,37.057,37.525,37.85,37.96,37.714,36.565,35.496,35.573,36.151,36.174,37.547,38.328,39.267,40.708,42.025
"66","59","      Motor vehicle fuels, lubricants, and fluids","DMFLRG3",7.966,7.607,6.433,6.691,6.633,6.963,6.977,7.206,7.378,7.177,6.848,6.733,7.035,7.364,7.436,7.451,7.393,7.579,8.496,9.527,9.728,9.742,9.943,10.144,10.573,10.803,10.917,11.247,11.734,11.619,11.784,12.124,12.005,12.08,12.051,11.972,12.425,12.711,13.131,13.324,13.763
"67","60","      Motor vehicle maintenance and repair","DVMRRG3",7.552,7.303,6.856,5.962,5.324,5.5,5.696,5.699,5.715,5.715,5.698,5.679,5.93,6.45,6.519,6.61,6.662,6.876,7.447,7.859,8.054,8.233,8.841,9.073,9.555,9.895,10.11,10.501,10.876,11.055,11.291,11.488,11.789,11.942,12.09,12.238,12.489,12.692,13.239,13.94,14.838
"68","61","      Other motor vehicle services","DOVSRG3",13.666,13.401,12.896,11.841,11.045,11.313,11.393,11.33,11.289,11.245,11.327,11.331,11.752,12.486,12.091,12.101,12.155,12.92,13.756,14.914,15.824,15.891,16.783,18.054,19.36,19.718,19.826,19.984,20.74,21.699,22.393,22.507,22.61,22.684,22.68,22.739,22.85,22.937,23.097,23.273,23.551
"69","62","    Public transportation","DPUBRG3",8.212,8.239,7.853,7.408,7.13,7.231,7.355,7.296,7.228,7.306,7.354,7.166,7.199,7.561,7.766,7.691,7.802,8.06,8.624,9.343,10.3,10.996,11.776,12.277,12.732,13.165,13.554,13.996,14.539,15.155,15.773,16.3,16.938,17.608,17.466,17.771,18.029,18.48,19.127,19.907,21.265
"70","63","      Ground transportation \13\","DGRDRG3",4.767,4.786,4.562,4.304,4.142,4.203,4.275,4.24,4.2,4.25,4.275,4.168,4.186,4.394,4.512,4.466,4.537,4.698,5.024,5.433,6.009,6.44,6.922,7.233,7.526,7.821,8.095,8.398,8.776,9.107,9.477,9.713,10.026,10.386,10.538,10.808,11.012,11.408,12.02,12.659,13.449
"71","64","      Air transportation","DAITRG3",30.979,21.496,21.426,18.919,18.873,16.03,16.888,16.903,16.917,14.915,16.064,15.109,15.275,16.718,17.455,18.411,17.184,16.117,17.525,20.046,20.384,20.046,20.237,20.478,20.455,20.151,19.87,19.854,19.856,21.225,22.099,23.647,25.187,26.485,24.575,24.464,24.572,24.631,24.662,25.187,27.108
"72","65","      Water transportation","DWATRG3",28.331,27.704,27.851,27.688,27.489,28.065,27.637,28.136,28.136,26.799,27.24,27.011,27.955,28.57,29.385,30.561,30.542,30.55,30.496,32.229,31.094,30.768,30.768,30.768,30.091,30.322,30.091,30.333,30.333,30.333,31.408,32.66,33.373,33.842,34.699,35.089,36.181,37.595,38.757,40.535,43.262
"73","66","  Communication","DCMCRG3",29.314,29.303,29.135,29.089,29.074,28.917,28.911,28.705,28.601,28.445,28.359,28.502,28.921,30.573,31.794,32.942,33.549,33.784,34.864,36.736,38.212,40.792,41.922,43.634,45.112,44.747,44.46,45.077,45.969,47.331,48.577,49.46,49.667,49.721,50.673,50.959,50.397,49.496,50.243,51.11,51.902
"74","67","    Telephone and facsimile equipment","DTCERG3",15.666,14.789,12.891,11.004,11.312,12.849,12.932,13.421,14.875,14.655,15.003,15.403,17.251,20.156,23.627,28.033,31.163,30.807,30.585,30.541,29.526,30.239,33.272,32.874,33.277,32.74,32.794,34.185,35.026,35.826,36.567,36.781,36.759,36.011,35.966,35.977,37.755,39.597,40.905,43.005,45.387
"75","68","    Postal and delivery services","DPSSRG3",3.978,3.818,3.606,3.539,3.624,3.772,3.884,3.822,3.998,3.871,3.825,3.906,4.154,4.427,4.774,5.101,5.23,5.447,6.071,6.476,6.657,6.811,7.249,7.701,7.914,8.203,8.37,8.548,8.74,8.995,9.402,9.724,9.816,9.906,11.368,11.737,11.829,11.924,12.246,13.888,14.303
"76","69","      First-class postal service by U.S. Postal Service (USPS)","DPSTRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.951,10.293,10.39,10.485,12.049,12.441,12.537,12.634,12.975,14.732,15.168
