"","Table 5#7#5A# Change in Private Inventories by Industry         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32"
"26","19","    Durable goods","A630RC1",1.2,-1,3.5,2,3,0.5,-1.4,3.3,3.2,3.2,-0.3,-5.2,2.1,-2.7,5.9,8.7,8.5,0.1,13.2,4.7,6.4,-1.2,-4.5,1.2,8.9,13.5,9.3,5,9.6
"27","20","      Motor vehicle dealers \4\","A631RC1",0.7,-1.2,2.8,0.3,2.2,0.2,-1.4,1.7,2.8,1.7,0,-4.6,0.2,-1.8,3.3,5.2,6.1,-1.2,9.1,1.8,4.2,-1.4,-3.6,1.3,3.7,7.4,5.7,2.6,4.4
"28","21","      Other \4\","A632RC1",0.5,0.2,0.7,1.7,0.8,0.3,0,1.5,0.4,1.5,-0.3,-0.6,1.9,-0.8,2.6,3.5,2.4,1.3,4.1,2.9,2.2,0.2,-0.9,-0.1,5.2,6.1,3.6,2.4,5.3
"29","22","    Nondurable goods","A633RC1",1.1,1,1.7,1.5,1.1,-1.3,-1.8,1.8,1.1,2.4,0.2,2.1,4.2,-0.2,4.3,8.3,3.7,2.6,4.1,1.8,6.3,-0.4,5,3.1,5.7,6.3,2.7,2.4,4.1
"30","23","  Other","A154RC1",0.6,0.2,0.5,0.7,0.8,1.3,0.7,0.2,2.2,2.1,-0.1,-0.8,6.7,-2.2,-0.8,1,3.7,2.4,1.7,-1.1,-3.3,-3.2,2.7,2.2,2.6,3.7,2,1.5,5.8
"31","24","    Durable goods","A636RC1",0,-0.1,-0.2,0.1,0.4,0,-0.1,-0.1,0.1,0.5,0,-0.2,0.1,0.7,-0.6,0.1,-0.3,-0.6,0.2,-0.3,0.4,0,-0.3,0.4,0.3,0.5,0,0.4,0.9
"32","25","    Nondurable goods","A637RC1",0.6,0.2,0.7,0.6,0.4,1.3,0.8,0.3,2.1,1.6,0,-0.6,6.5,-2.8,-0.2,0.9,4.1,3,1.5,-0.8,-3.7,-3.2,3,1.7,2.4,3.2,1.9,1.1,4.8
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1. Beginning with 1991, includes change in farm materials and supplies inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2. Beginning with 1982, this series is derived from the Census Bureau series ""current cost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","inventories.""  For earlier periods, it is derived from the Census Bureau ""book value inventories""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","series.  The series differ in the treatment of inventories reported on a last-in, first-out (LIFO)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","basis:  The series prior to 1982 is a mix of LIFO and non-LIFO inventories; the series beginning with",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1982 is entirely on a non-LIFO basis.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","3. Beginning with 1973, the inventory valuation adjustment (IVA) shown in this table differs from the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","IVA that adjusts business incomes.  The IVA in this table reflects the mix of methods (first-in,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","first-out; last-in, first-out; etc.) underlying inventories derived primarily from Census Bureau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","statistics (see footnote 1).  This mix differs from that underlying business income derived primarily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","from Internal Revenue Service statistics.  Prior to 1973, the two IVA's are the same because information",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","required for separate estimates is not available.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","4. Prior to 1981, inventories of auto and home supply stores are included in motor vehicle dealers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Beginning with 1981, these inventories are included in ""other durable goods.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Note.  Estimates for nonfarm industries other than manufacturing and trade for 1986 and earlier periods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","are based on the 1972 Standard Industrial Classification (SIC).  Manufacturing estimates for 1981 and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","earlier periods and trade estimates for 1966 and earlier periods are based on the 1972 SIC; later estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","for these industries are based on the 1987 SIC.  The resulting discontinuities are small.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
